Rank 107641: 104985 - [001, 107638, 000] - HP: 510, STR: 818, VIT: 207, SPD: 15, LUK: 1, Attack: 131804, Defense: 87632, Current HP: 510, A Avg: 1097927, D Avg: 122684, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105019 - [001, 107638, 000] - HP: 228, STR: 354, VIT: 58, SPD: 15, LUK: 1, Attack: 131108, Defense: 86847, Current HP: 228, A Avg: 1092129, D Avg: 121585, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 105020 - [001, 107638, 000] - HP: 348, STR: 393, VIT: 49, SPD: 15, LUK: 1, Attack: 131167, Defense: 86838, Current HP: 348, A Avg: 1092621, D Avg: 121573, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 105021 - [001, 107638, 000] - HP: 266, STR: 344, VIT: 49, SPD: 29, LUK: 1, Attack: 131093, Defense: 86838, Current HP: 266, A Avg: 1092004, D Avg: 121573, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 105022 - [001, 107638, 000] - HP: 247, STR: 344, VIT: 60, SPD: 25, LUK: 1, Attack: 131093, Defense: 86849, Current HP: 247, A Avg: 1092004, D Avg: 121588, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 105023 - [001, 107638, 000] - HP: 228, STR: 354, VIT: 89, SPD: 15, LUK: 1, Attack: 131108, Defense: 86878, Current HP: 228, A Avg: 1092129, D Avg: 121629, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 105024 - [001, 107638, 000] - HP: 247, STR: 365, VIT: 60, SPD: 15, LUK: 2, Attack: 131125, Defense: 86849, Current HP: 247, A Avg: 1092271, D Avg: 121588, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 105025 - [001, 107638, 000] - HP: 228, STR: 570, VIT: 60, SPD: 15, LUK: 1, Attack: 131432, Defense: 86849, Current HP: 228, A Avg: 1094828, D Avg: 121588, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 105026 - [001, 107638, 000] - HP: 493, STR: 456, VIT: 70, SPD: 15, LUK: 1, Attack: 131261, Defense: 86859, Current HP: 493, A Avg: 1093404, D Avg: 121602, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105027 - [001, 107638, 000] - HP: 415, STR: 407, VIT: 49, SPD: 15, LUK: 1, Attack: 131188, Defense: 86838, Current HP: 415, A Avg: 1092796, D Avg: 121573, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 105028 - [001, 107638, 000] - HP: 484, STR: 344, VIT: 89, SPD: 15, LUK: 1, Attack: 131093, Defense: 86878, Current HP: 484, A Avg: 1092004, D Avg: 121629, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 105029 - [001, 107638, 000] - HP: 396, STR: 407, VIT: 39, SPD: 15, LUK: 2, Attack: 131188, Defense: 86828, Current HP: 396, A Avg: 1092796, D Avg: 121559, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 105030 - [001, 107638, 000] - HP: 285, STR: 344, VIT: 80, SPD: 25, LUK: 1, Attack: 131093, Defense: 86869, Current HP: 285, A Avg: 1092004, D Avg: 121616, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107641: 105031 - [001, 107638, 000] - HP: 228, STR: 818, VIT: 39, SPD: 15, LUK: 1, Attack: 131804, Defense: 86828, Current HP: 228, A Avg: 1097927, D Avg: 121559, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105032 - [001, 107638, 000] - HP: 240, STR: 716, VIT: 150, SPD: 17, LUK: 1, Attack: 131651, Defense: 86939, Current HP: 240, A Avg: 1096652, D Avg: 121714, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 105033 - [001, 107638, 000] - HP: 323, STR: 570, VIT: 118, SPD: 15, LUK: 1, Attack: 131432, Defense: 86907, Current HP: 323, A Avg: 1094828, D Avg: 121669, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 105034 - [001, 107638, 000] - HP: 228, STR: 445, VIT: 39, SPD: 15, LUK: 2, Attack: 131245, Defense: 86828, Current HP: 228, A Avg: 1093270, D Avg: 121559, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 105035 - [001, 107638, 000] - HP: 461, STR: 492, VIT: 258, SPD: 18, LUK: 1, Attack: 131315, Defense: 87047, Current HP: 461, A Avg: 1093853, D Avg: 121865, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 105036 - [001, 107638, 000] - HP: 503, STR: 630, VIT: 104, SPD: 18, LUK: 1, Attack: 131522, Defense: 86893, Current HP: 503, A Avg: 1095578, D Avg: 121650, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 105037 - [001, 107638, 000] - HP: 589, STR: 592, VIT: 421, SPD: 15, LUK: 1, Attack: 131465, Defense: 87210, Current HP: 589, A Avg: 1095103, D Avg: 122093, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 105038 - [001, 107638, 000] - HP: 374, STR: 384, VIT: 116, SPD: 15, LUK: 1, Attack: 131153, Defense: 86905, Current HP: 374, A Avg: 1092504, D Avg: 121666, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 105039 - [001, 107638, 000] - HP: 323, STR: 625, VIT: 80, SPD: 15, LUK: 1, Attack: 131515, Defense: 86869, Current HP: 323, A Avg: 1095519, D Avg: 121616, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 105040 - [001, 107638, 000] - HP: 399, STR: 787, VIT: 226, SPD: 19, LUK: 1, Attack: 131758, Defense: 87015, Current HP: 399, A Avg: 1097544, D Avg: 121820, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 105041 - [001, 107638, 000] - HP: 237, STR: 442, VIT: 611, SPD: 15, LUK: 1, Attack: 131240, Defense: 90389, Current HP: 237, A Avg: 1093229, D Avg: 126544, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 105042 - [001, 107638, 000] - HP: 228, STR: 354, VIT: 611, SPD: 15, LUK: 1, Attack: 131108, Defense: 90389, Current HP: 228, A Avg: 1092129, D Avg: 126544, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 105043 - [001, 107638, 000] - HP: 348, STR: 393, VIT: 423, SPD: 15, LUK: 1, Attack: 131167, Defense: 90201, Current HP: 348, A Avg: 1092621, D Avg: 126281, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 105044 - [001, 107638, 000] - HP: 266, STR: 344, VIT: 423, SPD: 29, LUK: 1, Attack: 131093, Defense: 90201, Current HP: 266, A Avg: 1092004, D Avg: 126281, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 105045 - [001, 107638, 000] - HP: 247, STR: 344, VIT: 433, SPD: 25, LUK: 1, Attack: 131093, Defense: 90211, Current HP: 247, A Avg: 1092004, D Avg: 126295, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 105046 - [001, 107638, 000] - HP: 228, STR: 354, VIT: 642, SPD: 15, LUK: 1, Attack: 131108, Defense: 90420, Current HP: 228, A Avg: 1092129, D Avg: 126587, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 105047 - [001, 107638, 000] - HP: 247, STR: 365, VIT: 433, SPD: 15, LUK: 2, Attack: 131125, Defense: 90211, Current HP: 247, A Avg: 1092271, D Avg: 126295, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 105048 - [001, 107638, 000] - HP: 228, STR: 570, VIT: 433, SPD: 15, LUK: 1, Attack: 131432, Defense: 90211, Current HP: 228, A Avg: 1094828, D Avg: 126295, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 105049 - [001, 107638, 000] - HP: 493, STR: 456, VIT: 444, SPD: 15, LUK: 1, Attack: 131261, Defense: 90222, Current HP: 493, A Avg: 1093404, D Avg: 126310, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105050 - [001, 107638, 000] - HP: 415, STR: 407, VIT: 423, SPD: 15, LUK: 1, Attack: 131188, Defense: 90201, Current HP: 415, A Avg: 1092796, D Avg: 126281, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 105051 - [001, 107638, 000] - HP: 484, STR: 344, VIT: 642, SPD: 15, LUK: 1, Attack: 131093, Defense: 90420, Current HP: 484, A Avg: 1092004, D Avg: 126587, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 105052 - [001, 107638, 000] - HP: 396, STR: 407, VIT: 412, SPD: 15, LUK: 2, Attack: 131188, Defense: 90190, Current HP: 396, A Avg: 1092796, D Avg: 126265, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 105053 - [001, 107638, 000] - HP: 285, STR: 344, VIT: 454, SPD: 25, LUK: 1, Attack: 131093, Defense: 90232, Current HP: 285, A Avg: 1092004, D Avg: 126324, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107641: 105054 - [001, 107638, 000] - HP: 228, STR: 818, VIT: 412, SPD: 15, LUK: 1, Attack: 131804, Defense: 90190, Current HP: 228, A Avg: 1097927, D Avg: 126265, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105055 - [001, 107638, 000] - HP: 240, STR: 716, VIT: 541, SPD: 17, LUK: 1, Attack: 131651, Defense: 90319, Current HP: 240, A Avg: 1096652, D Avg: 126446, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 105056 - [001, 107638, 000] - HP: 323, STR: 570, VIT: 491, SPD: 15, LUK: 1, Attack: 131432, Defense: 90269, Current HP: 323, A Avg: 1094828, D Avg: 126376, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 105057 - [001, 107638, 000] - HP: 228, STR: 445, VIT: 412, SPD: 15, LUK: 2, Attack: 131245, Defense: 90190, Current HP: 228, A Avg: 1093270, D Avg: 126265, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 105058 - [001, 107638, 000] - HP: 461, STR: 492, VIT: 848, SPD: 18, LUK: 1, Attack: 131315, Defense: 90626, Current HP: 461, A Avg: 1093853, D Avg: 126876, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 105059 - [001, 107638, 000] - HP: 503, STR: 630, VIT: 514, SPD: 18, LUK: 1, Attack: 131522, Defense: 90292, Current HP: 503, A Avg: 1095578, D Avg: 126408, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 105060 - [001, 107638, 000] - HP: 589, STR: 592, VIT: 974, SPD: 15, LUK: 1, Attack: 131465, Defense: 90752, Current HP: 589, A Avg: 1095103, D Avg: 127052, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 105061 - [001, 107638, 000] - HP: 374, STR: 384, VIT: 670, SPD: 15, LUK: 1, Attack: 131153, Defense: 90448, Current HP: 374, A Avg: 1092504, D Avg: 126627, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 105062 - [001, 107638, 000] - HP: 323, STR: 625, VIT: 454, SPD: 15, LUK: 1, Attack: 131515, Defense: 90232, Current HP: 323, A Avg: 1095519, D Avg: 126324, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 105063 - [001, 107638, 000] - HP: 399, STR: 787, VIT: 599, SPD: 19, LUK: 1, Attack: 131758, Defense: 90377, Current HP: 399, A Avg: 1097544, D Avg: 126527, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 105064 - [001, 107638, 000] - HP: 712, STR: 442, VIT: 1092, SPD: 15, LUK: 1, Attack: 131240, Defense: 87880, Current HP: 712, A Avg: 1093229, D Avg: 123031, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 105065 - [001, 107638, 000] - HP: 703, STR: 354, VIT: 1092, SPD: 15, LUK: 1, Attack: 131108, Defense: 87880, Current HP: 703, A Avg: 1092129, D Avg: 123031, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 105066 - [001, 107638, 000] - HP: 1073, STR: 393, VIT: 759, SPD: 15, LUK: 1, Attack: 131167, Defense: 87547, Current HP: 1073, A Avg: 1092621, D Avg: 122565, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 105067 - [001, 107638, 000] - HP: 741, STR: 344, VIT: 759, SPD: 29, LUK: 1, Attack: 131093, Defense: 87547, Current HP: 741, A Avg: 1092004, D Avg: 122565, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 105068 - [001, 107638, 000] - HP: 722, STR: 344, VIT: 769, SPD: 25, LUK: 1, Attack: 131093, Defense: 87557, Current HP: 722, A Avg: 1092004, D Avg: 122579, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 105069 - [001, 107638, 000] - HP: 703, STR: 354, VIT: 1123, SPD: 15, LUK: 1, Attack: 131108, Defense: 87911, Current HP: 703, A Avg: 1092129, D Avg: 123075, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 105070 - [001, 107638, 000] - HP: 722, STR: 365, VIT: 769, SPD: 15, LUK: 2, Attack: 131125, Defense: 87557, Current HP: 722, A Avg: 1092271, D Avg: 122579, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 105071 - [001, 107638, 000] - HP: 703, STR: 570, VIT: 769, SPD: 15, LUK: 1, Attack: 131432, Defense: 87557, Current HP: 703, A Avg: 1094828, D Avg: 122579, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 105072 - [001, 107638, 000] - HP: 1218, STR: 456, VIT: 780, SPD: 15, LUK: 1, Attack: 131261, Defense: 87568, Current HP: 1218, A Avg: 1093404, D Avg: 122595, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105073 - [001, 107638, 000] - HP: 1215, STR: 407, VIT: 759, SPD: 15, LUK: 1, Attack: 131188, Defense: 87547, Current HP: 1215, A Avg: 1092796, D Avg: 122565, [Tekken[188, 0, 0, 0], Golem Shield[245, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
