Rank 107639: 106640 - [000, 107639, 000] - HP: 247, STR: 897, VIT: 100, SPD: 12, LUK: 1, Attack: 132837, Defense: 83937, Current HP: 247, A Avg: 1106532, D Avg: 117511, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106659 - [000, 107639, 000] - HP: 377, STR: 833, VIT: 87, SPD: 7, LUK: 1, Attack: 132741, Defense: 84093, Current HP: 377, A Avg: 1105732, D Avg: 117730, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107639: 106660 - [000, 107639, 000] - HP: 287, STR: 888, VIT: 66, SPD: 7, LUK: 1, Attack: 132824, Defense: 84072, Current HP: 287, A Avg: 1106423, D Avg: 117700, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107639: 106661 - [000, 107639, 000] - HP: 396, STR: 822, VIT: 113, SPD: 7, LUK: 1, Attack: 132725, Defense: 84119, Current HP: 396, A Avg: 1105599, D Avg: 117766, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107639: 106662 - [000, 107639, 000] - HP: 308, STR: 888, VIT: 56, SPD: 7, LUK: 2, Attack: 132824, Defense: 84062, Current HP: 308, A Avg: 1106423, D Avg: 117686, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107639: 106663 - [000, 107639, 000] - HP: 209, STR: 935, VIT: 97, SPD: 12, LUK: 1, Attack: 132894, Defense: 84103, Current HP: 209, A Avg: 1107007, D Avg: 117744, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106664 - [000, 107639, 000] - HP: 152, STR: 1801, VIT: 56, SPD: 7, LUK: 1, Attack: 134193, Defense: 84062, Current HP: 152, A Avg: 1117827, D Avg: 117686, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107639: 106665 - [000, 107639, 000] - HP: 160, STR: 1432, VIT: 167, SPD: 8, LUK: 1, Attack: 133640, Defense: 84173, Current HP: 160, A Avg: 1113221, D Avg: 117842, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107639: 106666 - [000, 107639, 000] - HP: 247, STR: 1260, VIT: 114, SPD: 7, LUK: 1, Attack: 133382, Defense: 84120, Current HP: 247, A Avg: 1111072, D Avg: 117767, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107639: 106667 - [000, 107639, 000] - HP: 152, STR: 906, VIT: 56, SPD: 7, LUK: 2, Attack: 132851, Defense: 84062, Current HP: 152, A Avg: 1106648, D Avg: 117686, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107639: 106668 - [000, 107639, 000] - HP: 377, STR: 1017, VIT: 284, SPD: 9, LUK: 1, Attack: 133017, Defense: 84290, Current HP: 377, A Avg: 1108031, D Avg: 118005, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107639: 106669 - [000, 107639, 000] - HP: 380, STR: 1621, VIT: 80, SPD: 7, LUK: 1, Attack: 133923, Defense: 84086, Current HP: 380, A Avg: 1115578, D Avg: 117720, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107639: 106670 - [000, 107639, 000] - HP: 418, STR: 1349, VIT: 415, SPD: 7, LUK: 1, Attack: 133515, Defense: 84421, Current HP: 418, A Avg: 1112179, D Avg: 118189, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107639: 106671 - [000, 107639, 000] - HP: 286, STR: 853, VIT: 126, SPD: 7, LUK: 1, Attack: 132771, Defense: 84132, Current HP: 286, A Avg: 1105982, D Avg: 117784, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107639: 106672 - [000, 107639, 000] - HP: 247, STR: 1260, VIT: 97, SPD: 7, LUK: 1, Attack: 133382, Defense: 84103, Current HP: 247, A Avg: 1111072, D Avg: 117744, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107639: 106673 - [000, 107639, 000] - HP: 228, STR: 1324, VIT: 139, SPD: 9, LUK: 1, Attack: 133478, Defense: 84145, Current HP: 228, A Avg: 1111871, D Avg: 117802, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107639: 106674 - [000, 107639, 000] - HP: 210, STR: 785, VIT: 70, SPD: 7, LUK: 1, Attack: 132669, Defense: 83842, Current HP: 210, A Avg: 1105132, D Avg: 117378, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107639: 106675 - [000, 107639, 000] - HP: 200, STR: 795, VIT: 70, SPD: 7, LUK: 1, Attack: 132684, Defense: 83842, Current HP: 200, A Avg: 1105257, D Avg: 117378, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107639: 106676 - [000, 107639, 000] - HP: 300, STR: 785, VIT: 58, SPD: 7, LUK: 1, Attack: 132669, Defense: 83830, Current HP: 300, A Avg: 1105132, D Avg: 117361, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107639: 106677 - [000, 107639, 000] - HP: 240, STR: 785, VIT: 58, SPD: 14, LUK: 1, Attack: 132669, Defense: 83830, Current HP: 240, A Avg: 1105132, D Avg: 117361, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107639: 106678 - [000, 107639, 000] - HP: 220, STR: 1009, VIT: 68, SPD: 12, LUK: 1, Attack: 133005, Defense: 83840, Current HP: 220, A Avg: 1107931, D Avg: 117375, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107639: 106679 - [000, 107639, 000] - HP: 200, STR: 795, VIT: 101, SPD: 7, LUK: 1, Attack: 132684, Defense: 83873, Current HP: 200, A Avg: 1105257, D Avg: 117422, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107639: 106680 - [000, 107639, 000] - HP: 220, STR: 806, VIT: 68, SPD: 7, LUK: 2, Attack: 132701, Defense: 83840, Current HP: 220, A Avg: 1105399, D Avg: 117375, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107639: 106681 - [000, 107639, 000] - HP: 200, STR: 1221, VIT: 68, SPD: 7, LUK: 1, Attack: 133323, Defense: 83840, Current HP: 200, A Avg: 1110580, D Avg: 117375, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107639: 106682 - [000, 107639, 000] - HP: 450, STR: 795, VIT: 78, SPD: 7, LUK: 1, Attack: 132684, Defense: 83850, Current HP: 450, A Avg: 1105257, D Avg: 117389, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107639: 106683 - [000, 107639, 000] - HP: 363, STR: 848, VIT: 58, SPD: 7, LUK: 1, Attack: 132764, Defense: 83830, Current HP: 363, A Avg: 1105924, D Avg: 117361, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107639: 106684 - [000, 107639, 000] - HP: 460, STR: 785, VIT: 101, SPD: 7, LUK: 1, Attack: 132669, Defense: 83873, Current HP: 460, A Avg: 1105132, D Avg: 117422, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107639: 106685 - [000, 107639, 000] - HP: 368, STR: 848, VIT: 47, SPD: 7, LUK: 2, Attack: 132764, Defense: 83819, Current HP: 368, A Avg: 1105924, D Avg: 117346, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107639: 106686 - [000, 107639, 000] - HP: 260, STR: 897, VIT: 89, SPD: 12, LUK: 1, Attack: 132837, Defense: 83861, Current HP: 260, A Avg: 1106532, D Avg: 117405, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106687 - [000, 107639, 000] - HP: 200, STR: 1753, VIT: 47, SPD: 7, LUK: 1, Attack: 134121, Defense: 83819, Current HP: 200, A Avg: 1117227, D Avg: 117346, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107639: 106688 - [000, 107639, 000] - HP: 210, STR: 1388, VIT: 158, SPD: 8, LUK: 1, Attack: 133574, Defense: 83930, Current HP: 210, A Avg: 1112671, D Avg: 117501, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107639: 106689 - [000, 107639, 000] - HP: 300, STR: 1221, VIT: 105, SPD: 7, LUK: 1, Attack: 133323, Defense: 83877, Current HP: 300, A Avg: 1110580, D Avg: 117427, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107639: 106690 - [000, 107639, 000] - HP: 200, STR: 865, VIT: 47, SPD: 7, LUK: 2, Attack: 132789, Defense: 83819, Current HP: 200, A Avg: 1106132, D Avg: 117346, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107639: 106691 - [000, 107639, 000] - HP: 440, STR: 975, VIT: 271, SPD: 9, LUK: 1, Attack: 132954, Defense: 84043, Current HP: 440, A Avg: 1107506, D Avg: 117660, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107639: 106692 - [000, 107639, 000] - HP: 440, STR: 1582, VIT: 72, SPD: 7, LUK: 1, Attack: 133865, Defense: 83844, Current HP: 440, A Avg: 1115095, D Avg: 117381, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107639: 106693 - [000, 107639, 000] - HP: 480, STR: 1301, VIT: 402, SPD: 7, LUK: 1, Attack: 133443, Defense: 84174, Current HP: 480, A Avg: 1111580, D Avg: 117843, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107639: 106694 - [000, 107639, 000] - HP: 345, STR: 814, VIT: 113, SPD: 7, LUK: 1, Attack: 132713, Defense: 83885, Current HP: 345, A Avg: 1105499, D Avg: 117438, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107639: 106695 - [000, 107639, 000] - HP: 300, STR: 1221, VIT: 89, SPD: 7, LUK: 1, Attack: 133323, Defense: 83861, Current HP: 300, A Avg: 1110580, D Avg: 117405, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107639: 106696 - [000, 107639, 000] - HP: 280, STR: 1283, VIT: 130, SPD: 9, LUK: 1, Attack: 133416, Defense: 83902, Current HP: 280, A Avg: 1111355, D Avg: 117462, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107639: 106697 - [000, 107639, 000] - HP: 250, STR: 785, VIT: 83, SPD: 7, LUK: 1, Attack: 132669, Defense: 84102, Current HP: 250, A Avg: 1105132, D Avg: 117742, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107639: 106698 - [000, 107639, 000] - HP: 240, STR: 795, VIT: 83, SPD: 7, LUK: 1, Attack: 132684, Defense: 84102, Current HP: 240, A Avg: 1105257, D Avg: 117742, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107639: 106699 - [000, 107639, 000] - HP: 360, STR: 785, VIT: 66, SPD: 7, LUK: 1, Attack: 132669, Defense: 84085, Current HP: 360, A Avg: 1105132, D Avg: 117718, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107639: 106700 - [000, 107639, 000] - HP: 280, STR: 785, VIT: 66, SPD: 14, LUK: 1, Attack: 132669, Defense: 84085, Current HP: 280, A Avg: 1105132, D Avg: 117718, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107639: 106701 - [000, 107639, 000] - HP: 260, STR: 1009, VIT: 76, SPD: 12, LUK: 1, Attack: 133005, Defense: 84095, Current HP: 260, A Avg: 1107931, D Avg: 117732, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107639: 106702 - [000, 107639, 000] - HP: 240, STR: 795, VIT: 113, SPD: 7, LUK: 1, Attack: 132684, Defense: 84132, Current HP: 240, A Avg: 1105257, D Avg: 117784, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107639: 106703 - [000, 107639, 000] - HP: 260, STR: 806, VIT: 76, SPD: 7, LUK: 2, Attack: 132701, Defense: 84095, Current HP: 260, A Avg: 1105399, D Avg: 117732, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107639: 106704 - [000, 107639, 000] - HP: 240, STR: 1221, VIT: 76, SPD: 7, LUK: 1, Attack: 133323, Defense: 84095, Current HP: 240, A Avg: 1110580, D Avg: 117732, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107639: 106705 - [000, 107639, 000] - HP: 510, STR: 795, VIT: 87, SPD: 7, LUK: 1, Attack: 132684, Defense: 84106, Current HP: 510, A Avg: 1105257, D Avg: 117748, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107639: 106706 - [000, 107639, 000] - HP: 429, STR: 848, VIT: 66, SPD: 7, LUK: 1, Attack: 132764, Defense: 84085, Current HP: 429, A Avg: 1105924, D Avg: 117718, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107639: 106707 - [000, 107639, 000] - HP: 506, STR: 785, VIT: 113, SPD: 7, LUK: 1, Attack: 132669, Defense: 84132, Current HP: 506, A Avg: 1105132, D Avg: 117784, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107639: 106708 - [000, 107639, 000] - HP: 414, STR: 848, VIT: 56, SPD: 7, LUK: 2, Attack: 132764, Defense: 84075, Current HP: 414, A Avg: 1105924, D Avg: 117704, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107639: 106709 - [000, 107639, 000] - HP: 300, STR: 897, VIT: 97, SPD: 12, LUK: 1, Attack: 132837, Defense: 84116, Current HP: 300, A Avg: 1106532, D Avg: 117762, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106710 - [000, 107639, 000] - HP: 240, STR: 1753, VIT: 56, SPD: 7, LUK: 1, Attack: 134121, Defense: 84075, Current HP: 240, A Avg: 1117227, D Avg: 117704, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107639: 106711 - [000, 107639, 000] - HP: 252, STR: 1388, VIT: 167, SPD: 8, LUK: 1, Attack: 133574, Defense: 84186, Current HP: 252, A Avg: 1112671, D Avg: 117860, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107639: 106712 - [000, 107639, 000] - HP: 340, STR: 1221, VIT: 114, SPD: 7, LUK: 1, Attack: 133323, Defense: 84133, Current HP: 340, A Avg: 1110580, D Avg: 117786, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107639: 106713 - [000, 107639, 000] - HP: 240, STR: 865, VIT: 56, SPD: 7, LUK: 2, Attack: 132789, Defense: 84075, Current HP: 240, A Avg: 1106132, D Avg: 117704, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107639: 106714 - [000, 107639, 000] - HP: 484, STR: 975, VIT: 284, SPD: 9, LUK: 1, Attack: 132954, Defense: 84303, Current HP: 484, A Avg: 1107506, D Avg: 118024, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107639: 106715 - [000, 107639, 000] - HP: 480, STR: 1582, VIT: 80, SPD: 7, LUK: 1, Attack: 133865, Defense: 84099, Current HP: 480, A Avg: 1115095, D Avg: 117738, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107639: 106716 - [000, 107639, 000] - HP: 520, STR: 1301, VIT: 415, SPD: 7, LUK: 1, Attack: 133443, Defense: 84434, Current HP: 520, A Avg: 1111580, D Avg: 118207, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107639: 106717 - [000, 107639, 000] - HP: 391, STR: 814, VIT: 126, SPD: 7, LUK: 1, Attack: 132713, Defense: 84145, Current HP: 391, A Avg: 1105499, D Avg: 117802, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107639: 106718 - [000, 107639, 000] - HP: 340, STR: 1221, VIT: 97, SPD: 7, LUK: 1, Attack: 133323, Defense: 84116, Current HP: 340, A Avg: 1110580, D Avg: 117762, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107639: 106719 - [000, 107639, 000] - HP: 320, STR: 1283, VIT: 139, SPD: 9, LUK: 1, Attack: 133416, Defense: 84158, Current HP: 320, A Avg: 1111355, D Avg: 117821, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107639: 106720 - [000, 107639, 000] - HP: 218, STR: 785, VIT: 73, SPD: 7, LUK: 1, Attack: 132669, Defense: 84001, Current HP: 218, A Avg: 1105132, D Avg: 117601, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107639: 106721 - [000, 107639, 000] - HP: 209, STR: 795, VIT: 73, SPD: 7, LUK: 1, Attack: 132684, Defense: 84001, Current HP: 209, A Avg: 1105257, D Avg: 117601, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107639: 106722 - [000, 107639, 000] - HP: 319, STR: 785, VIT: 60, SPD: 7, LUK: 1, Attack: 132669, Defense: 83988, Current HP: 319, A Avg: 1105132, D Avg: 117583, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107639: 106723 - [000, 107639, 000] - HP: 247, STR: 785, VIT: 60, SPD: 14, LUK: 1, Attack: 132669, Defense: 83988, Current HP: 247, A Avg: 1105132, D Avg: 117583, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107639: 106724 - [000, 107639, 000] - HP: 228, STR: 1009, VIT: 71, SPD: 12, LUK: 1, Attack: 133005, Defense: 83999, Current HP: 228, A Avg: 1107931, D Avg: 117598, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107639: 106725 - [000, 107639, 000] - HP: 209, STR: 795, VIT: 104, SPD: 7, LUK: 1, Attack: 132684, Defense: 84032, Current HP: 209, A Avg: 1105257, D Avg: 117644, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107639: 106726 - [000, 107639, 000] - HP: 228, STR: 806, VIT: 71, SPD: 7, LUK: 2, Attack: 132701, Defense: 83999, Current HP: 228, A Avg: 1105399, D Avg: 117598, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
