Rank 1000: HP: 1322, STR: 601, VIT: 418412, SPD: 45, LUK: 1, Attack: 86947, Defense: 502216, Current HP: 1322, A Avg: 91294, D Avg: 502216, [Progress[147, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 965: HP: 1495, STR: 705, VIT: 418359, SPD: 45, LUK: 1, Attack: 85543, Defense: 502287, Current HP: 1495, A Avg: 89820, D Avg: 502287, [Willow Blade[157, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 964: HP: 2104, STR: 583, VIT: 418359, SPD: 45, LUK: 1, Attack: 85506, Defense: 502287, Current HP: 2104, A Avg: 89781, D Avg: 502287, [Pangaea[164, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 963: HP: 1322, STR: 342, VIT: 418458, SPD: 45, LUK: 1, Attack: 85817, Defense: 502295, Current HP: 1322, A Avg: 90107, D Avg: 502295, [Elemental[121, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 962: HP: 1574, STR: 446, VIT: 418458, SPD: 45, LUK: 1, Attack: 85096, Defense: 502295, Current HP: 1574, A Avg: 89350, D Avg: 502295, [Diamond Knuckle[152, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 961: HP: 1049, STR: 604, VIT: 418464, SPD: 45, LUK: 1, Attack: 85442, Defense: 502301, Current HP: 1049, A Avg: 89714, D Avg: 502301, [Classic[168, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 960: HP: 1133, STR: 705, VIT: 418374, SPD: 45, LUK: 1, Attack: 85543, Defense: 502302, Current HP: 1133, A Avg: 89820, D Avg: 502302, [Willow Blade[157, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 959: HP: 1742, STR: 583, VIT: 418374, SPD: 45, LUK: 1, Attack: 85506, Defense: 502302, Current HP: 1742, A Avg: 89781, D Avg: 502302, [Pangaea[164, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 958: HP: 1285, STR: 612, VIT: 418362, SPD: 45, LUK: 1, Attack: 85346, Defense: 502303, Current HP: 1285, A Avg: 89613, D Avg: 502303, [Irruption[154, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 957: HP: 1133, STR: 428, VIT: 418417, SPD: 45, LUK: 1, Attack: 85760, Defense: 502306, Current HP: 1133, A Avg: 90048, D Avg: 502306, [Tower[149, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 956: HP: 797, STR: 550, VIT: 418443, SPD: 45, LUK: 1, Attack: 87078, Defense: 502312, Current HP: 797, A Avg: 91431, D Avg: 502312, [Moon Knuckle[153, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 955: HP: 1213, STR: 466, VIT: 418449, SPD: 45, LUK: 1, Attack: 85509, Defense: 502312, Current HP: 1213, A Avg: 89784, D Avg: 502312, [White Snake[160, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 954: HP: 776, STR: 1663, VIT: 418443, SPD: 45, LUK: 1, Attack: 87541, Defense: 502312, Current HP: 776, A Avg: 91918, D Avg: 502312, [Blue Sword[180, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 953: HP: 1579, STR: 428, VIT: 418388, SPD: 45, LUK: 1, Attack: 85760, Defense: 502316, Current HP: 1579, A Avg: 90048, D Avg: 502316, [Tower[149, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 952: HP: 1322, STR: 601, VIT: 418458, SPD: 45, LUK: 1, Attack: 86947, Defense: 502321, Current HP: 1322, A Avg: 91294, D Avg: 502321, [Progress[147, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 951: HP: 3716, STR: 2642, VIT: 418455, SPD: 45, LUK: 1, Attack: 88455, Defense: 502324, Current HP: 3716, A Avg: 92877, D Avg: 502324, [Spear of Regression[182, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 950: HP: 1276, STR: 392, VIT: 418385, SPD: 45, LUK: 1, Attack: 84502, Defense: 502326, Current HP: 1276, A Avg: 88727, D Avg: 502326, [Dragon Killer[139, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 949: HP: 1285, STR: 396, VIT: 418385, SPD: 45, LUK: 1, Attack: 84909, Defense: 502326, Current HP: 1285, A Avg: 89154, D Avg: 502326, [Volcano[142, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 948: HP: 1306, STR: 392, VIT: 418388, SPD: 45, LUK: 1, Attack: 86361, Defense: 502329, Current HP: 1306, A Avg: 90679, D Avg: 502329, [Fire Chariot[138, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 947: HP: 1322, STR: 705, VIT: 418499, SPD: 45, LUK: 1, Attack: 85543, Defense: 502336, Current HP: 1322, A Avg: 89820, D Avg: 502336, [Willow Blade[157, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 946: HP: 1931, STR: 583, VIT: 418499, SPD: 45, LUK: 1, Attack: 85506, Defense: 502336, Current HP: 1931, A Avg: 89781, D Avg: 502336, [Pangaea[164, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 945: HP: 1133, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 83938, Defense: 502338, Current HP: 1133, A Avg: 88134, D Avg: 502338, [Wooden Stick[101, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 944: HP: 1133, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 83977, Defense: 502338, Current HP: 1133, A Avg: 88175, D Avg: 502338, [Club[102, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 943: HP: 1133, STR: 217, VIT: 418098, SPD: 45, LUK: 1, Attack: 83989, Defense: 502338, Current HP: 1133, A Avg: 88188, D Avg: 502338, [Short Sword[103, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 942: HP: 1133, STR: 264, VIT: 418098, SPD: 45, LUK: 1, Attack: 84075, Defense: 502338, Current HP: 1133, A Avg: 88278, D Avg: 502338, [Long Sword[104, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 941: HP: 1133, STR: 298, VIT: 418098, SPD: 45, LUK: 1, Attack: 84070, Defense: 502338, Current HP: 1133, A Avg: 88273, D Avg: 502338, [Wasp Knife[105, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 940: HP: 1133, STR: 255, VIT: 418098, SPD: 45, LUK: 1, Attack: 84079, Defense: 502338, Current HP: 1133, A Avg: 88282, D Avg: 502338, [Stun Knuckle[106, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 939: HP: 1133, STR: 307, VIT: 418098, SPD: 45, LUK: 1, Attack: 84150, Defense: 502338, Current HP: 1133, A Avg: 88357, D Avg: 502338, [Battle Scythe[107, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 938: HP: 1154, STR: 307, VIT: 418098, SPD: 45, LUK: 1, Attack: 84196, Defense: 502338, Current HP: 1154, A Avg: 88405, D Avg: 502338, [Iron Lumps[108, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 937: HP: 1133, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 83980, Defense: 502338, Current HP: 1133, A Avg: 88179, D Avg: 502338, [Decorative Swords[109, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 936: HP: 1133, STR: 325, VIT: 418098, SPD: 45, LUK: 1, Attack: 84448, Defense: 502338, Current HP: 1133, A Avg: 88670, D Avg: 502338, [Pinpoint[112, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 935: HP: 1154, STR: 351, VIT: 418098, SPD: 45, LUK: 1, Attack: 84357, Defense: 502338, Current HP: 1154, A Avg: 88574, D Avg: 502338, [Great Iron Mass[122, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 934: HP: 1144, STR: 255, VIT: 418098, SPD: 45, LUK: 1, Attack: 84248, Defense: 502338, Current HP: 1144, A Avg: 88460, D Avg: 502338, [Sword of Wood[124, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 933: HP: 1406, STR: 403, VIT: 418098, SPD: 45, LUK: 1, Attack: 84591, Defense: 502338, Current HP: 1406, A Avg: 88820, D Avg: 502338, [Sword of the Spirit Tree[125, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 932: HP: 1144, STR: 307, VIT: 418098, SPD: 45, LUK: 1, Attack: 84306, Defense: 502338, Current HP: 1144, A Avg: 88521, D Avg: 502338, [Greatsword[127, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 931: HP: 1402, STR: 356, VIT: 418098, SPD: 45, LUK: 1, Attack: 84778, Defense: 502338, Current HP: 1402, A Avg: 89016, D Avg: 502338, [Dreaming Sword[128, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 930: HP: 1154, STR: 230, VIT: 418098, SPD: 45, LUK: 1, Attack: 84005, Defense: 502338, Current HP: 1154, A Avg: 88205, D Avg: 502338, [Peacemaker[131, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 929: HP: 1196, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 84114, Defense: 502338, Current HP: 1196, A Avg: 88319, D Avg: 502338, [Daydream[132, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 928: HP: 1847, STR: 428, VIT: 418098, SPD: 45, LUK: 1, Attack: 86111, Defense: 502338, Current HP: 1847, A Avg: 90416, D Avg: 502338, [Dancing[155, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 927: HP: 1133, STR: 705, VIT: 418098, SPD: 45, LUK: 1, Attack: 85361, Defense: 502338, Current HP: 1133, A Avg: 89629, D Avg: 502338, [Penetra[161, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 926: HP: 1133, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 85053, Defense: 502338, Current HP: 1133, A Avg: 89305, D Avg: 502338, [Grand Slam[163, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 925: HP: 1343, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 85180, Defense: 502338, Current HP: 1343, A Avg: 89439, D Avg: 502338, [Cluster Bomb[170, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 924: HP: 1763, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 92398, Defense: 502338, Current HP: 1763, A Avg: 97017, D Avg: 502338, [Big Bang[171, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 923: HP: 4157, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 85265, Defense: 502338, Current HP: 4157, A Avg: 89528, D Avg: 502338, [Common Key[174, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 922: HP: 1763, STR: 212, VIT: 418098, SPD: 45, LUK: 1, Attack: 86454, Defense: 502338, Current HP: 1763, A Avg: 90776, D Avg: 502338, [Droid Hammer[177, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 921: HP: 1133, STR: 1526, VIT: 418098, SPD: 45, LUK: 1, Attack: 86455, Defense: 502338, Current HP: 1133, A Avg: 90777, D Avg: 502338, [Jack Knife[185, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 920: HP: 1133, STR: 1940, VIT: 418098, SPD: 45, LUK: 1, Attack: 86518, Defense: 502338, Current HP: 1133, A Avg: 90843, D Avg: 502338, [Magical[187, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 919: HP: 1133, STR: 608, VIT: 418098, SPD: 45, LUK: 1, Attack: 87659, Defense: 502338, Current HP: 1133, A Avg: 92041, D Avg: 502338, [Tekken[188, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 918: HP: 1133, STR: -42945, VIT: 418098, SPD: 45, LUK: 1, Attack: 56321, Defense: 502338, Current HP: 1133, A Avg: 59137, D Avg: 502338, [Sword of Evil[189, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 917: HP: 1133, STR: 2300, VIT: 418098, SPD: 45, LUK: 1, Attack: 89961, Defense: 502338, Current HP: 1133, A Avg: 94459, D Avg: 502338, [Neural Edge[190, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 916: HP: 1537, STR: 489, VIT: 418403, SPD: 45, LUK: 1, Attack: 85587, Defense: 502344, Current HP: 1537, A Avg: 89866, D Avg: 502344, [Yggdrasil[126, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 915: HP: 1285, STR: 451, VIT: 418403, SPD: 45, LUK: 1, Attack: 85276, Defense: 502344, Current HP: 1285, A Avg: 89539, D Avg: 502344, [Kraken[145, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 914: HP: 1348, STR: 394, VIT: 418403, SPD: 45, LUK: 1, Attack: 85206, Defense: 502344, Current HP: 1348, A Avg: 89466, D Avg: 502344, [Granada[150, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 913: HP: 1385, STR: 403, VIT: 418409, SPD: 45, LUK: 1, Attack: 84435, Defense: 502350, Current HP: 1385, A Avg: 88656, D Avg: 502350, [Alucard[146, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 912: HP: 1385, STR: 354, VIT: 418116, SPD: 45, LUK: 1, Attack: 84321, Defense: 502356, Current HP: 1385, A Avg: 88537, D Avg: 502356, [Phantom Sword[117, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 911: HP: 797, STR: 550, VIT: 418499, SPD: 45, LUK: 1, Attack: 87078, Defense: 502362, Current HP: 797, A Avg: 91431, D Avg: 502362, [Moon Knuckle[153, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 910: HP: 776, STR: 1663, VIT: 418499, SPD: 45, LUK: 1, Attack: 87541, Defense: 502362, Current HP: 776, A Avg: 91918, D Avg: 502362, [Blue Sword[180, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 909: HP: 1406, STR: 428, VIT: 418528, SPD: 45, LUK: 1, Attack: 85760, Defense: 502365, Current HP: 1406, A Avg: 90048, D Avg: 502365, [Tower[149, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 908: HP: 1213, STR: 466, VIT: 418478, SPD: 45, LUK: 1, Attack: 85509, Defense: 502367, Current HP: 1213, A Avg: 89784, D Avg: 502367, [White Snake[160, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 907: HP: 1144, STR: 298, VIT: 418127, SPD: 45, LUK: 1, Attack: 84141, Defense: 502367, Current HP: 1144, A Avg: 88348, D Avg: 502367, [Salamander[110, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 906: HP: 1133, STR: 342, VIT: 418127, SPD: 45, LUK: 1, Attack: 84426, Defense: 502367, Current HP: 1133, A Avg: 88647, D Avg: 502367, [Phantom Scythe[116, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 905: HP: 1144, STR: 298, VIT: 418127, SPD: 45, LUK: 1, Attack: 84170, Defense: 502367, Current HP: 1144, A Avg: 88378, D Avg: 502367, [Undine[118, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 904: HP: 1144, STR: 298, VIT: 418127, SPD: 45, LUK: 1, Attack: 84197, Defense: 502367, Current HP: 1144, A Avg: 88406, D Avg: 502367, [Sylph[119, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 903: HP: 1144, STR: 298, VIT: 418127, SPD: 45, LUK: 1, Attack: 84224, Defense: 502367, Current HP: 1144, A Avg: 88435, D Avg: 502367, [Gnome[120, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
