Rank 1000: HP: 247, STR: 278, VIT: 233, SPD: 8, LUK: 1, Attack: 86806, Defense: 90011, Current HP: 247, A Avg: 93316, D Avg: 90011, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 989: HP: 285, STR: 194, VIT: 235, SPD: 9, LUK: 1, Attack: 84707, Defense: 90013, Current HP: 285, A Avg: 88942, D Avg: 90013, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 988: HP: 203, STR: 278, VIT: 235, SPD: 8, LUK: 1, Attack: 85066, Defense: 90013, Current HP: 203, A Avg: 89319, D Avg: 90013, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 987: HP: 171, STR: 278, VIT: 235, SPD: 14, LUK: 1, Attack: 85066, Defense: 90013, Current HP: 171, A Avg: 89319, D Avg: 108015, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 986: HP: 255, STR: 326, VIT: 235, SPD: 8, LUK: 1, Attack: 85114, Defense: 90013, Current HP: 255, A Avg: 89369, D Avg: 90013, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 985: HP: 522, STR: 151, VIT: 235, SPD: 8, LUK: 1, Attack: 86497, Defense: 90013, Current HP: 522, A Avg: 90821, D Avg: 90013, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 984: HP: 266, STR: 207, VIT: 236, SPD: 9, LUK: 1, Attack: 84889, Defense: 90014, Current HP: 266, A Avg: 89133, D Avg: 90014, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 983: HP: 371, STR: 92, VIT: 236, SPD: 8, LUK: 1, Attack: 85736, Defense: 90014, Current HP: 371, A Avg: 90022, D Avg: 90014, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 982: HP: 281, STR: 92, VIT: 236, SPD: 14, LUK: 1, Attack: 85736, Defense: 90014, Current HP: 281, A Avg: 90022, D Avg: 108016, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 981: HP: 441, STR: 140, VIT: 236, SPD: 8, LUK: 1, Attack: 85784, Defense: 90014, Current HP: 441, A Avg: 90073, D Avg: 90014, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 980: HP: 323, STR: 187, VIT: 236, SPD: 8, LUK: 1, Attack: 85285, Defense: 90014, Current HP: 323, A Avg: 89549, D Avg: 90014, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 979: HP: 285, STR: 184, VIT: 236, SPD: 8, LUK: 1, Attack: 85009, Defense: 90014, Current HP: 285, A Avg: 89259, D Avg: 90014, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 978: HP: 323, STR: 76, VIT: 236, SPD: 12, LUK: 1, Attack: 85408, Defense: 90014, Current HP: 323, A Avg: 89678, D Avg: 90014, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 977: HP: 361, STR: 197, VIT: 236, SPD: 8, LUK: 1, Attack: 85529, Defense: 90014, Current HP: 361, A Avg: 91943, D Avg: 90014, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 976: HP: 342, STR: 153, VIT: 236, SPD: 8, LUK: 1, Attack: 84965, Defense: 90014, Current HP: 342, A Avg: 89213, D Avg: 90014, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 975: HP: 503, STR: 179, VIT: 237, SPD: 9, LUK: 1, Attack: 85277, Defense: 90015, Current HP: 503, A Avg: 89540, D Avg: 90015, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 974: HP: 461, STR: 176, VIT: 237, SPD: 9, LUK: 1, Attack: 85001, Defense: 90015, Current HP: 461, A Avg: 89251, D Avg: 90015, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 973: HP: 524, STR: 142, VIT: 237, SPD: 9, LUK: 1, Attack: 84954, Defense: 90015, Current HP: 524, A Avg: 89201, D Avg: 90015, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 972: HP: 218, STR: 207, VIT: 238, SPD: 9, LUK: 1, Attack: 84317, Defense: 90016, Current HP: 218, A Avg: 88532, D Avg: 90016, [Windmill[137, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 971: HP: 247, STR: 179, VIT: 238, SPD: 9, LUK: 1, Attack: 88346, Defense: 90016, Current HP: 247, A Avg: 92763, D Avg: 90016, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 970: HP: 696, STR: 217, VIT: 238, SPD: 8, LUK: 1, Attack: 86095, Defense: 90016, Current HP: 696, A Avg: 90399, D Avg: 90016, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 969: HP: 638, STR: 222, VIT: 238, SPD: 8, LUK: 1, Attack: 85762, Defense: 90016, Current HP: 638, A Avg: 90050, D Avg: 90016, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 968: HP: 319, STR: 78, VIT: 238, SPD: 12, LUK: 1, Attack: 85121, Defense: 90016, Current HP: 319, A Avg: 89377, D Avg: 90016, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 967: HP: 357, STR: 200, VIT: 238, SPD: 8, LUK: 1, Attack: 85243, Defense: 90016, Current HP: 357, A Avg: 91636, D Avg: 90016, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 966: HP: 928, STR: 1204, VIT: 238, SPD: 8, LUK: 1, Attack: 91113, Defense: 90016, Current HP: 928, A Avg: 95668, D Avg: 90016, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 965: HP: 209, STR: 181, VIT: 240, SPD: 9, LUK: 1, Attack: 84181, Defense: 90018, Current HP: 209, A Avg: 88390, D Avg: 90018, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 964: HP: 266, STR: 194, VIT: 240, SPD: 9, LUK: 1, Attack: 84315, Defense: 90018, Current HP: 266, A Avg: 88530, D Avg: 90018, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 963: HP: 254, STR: 223, VIT: 240, SPD: 9, LUK: 1, Attack: 85971, Defense: 90018, Current HP: 254, A Avg: 90269, D Avg: 90018, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 962: HP: 300, STR: 166, VIT: 240, SPD: 8, LUK: 1, Attack: 84198, Defense: 90018, Current HP: 300, A Avg: 88407, D Avg: 90018, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 961: HP: 285, STR: 270, VIT: 241, SPD: 9, LUK: 1, Attack: 84380, Defense: 90019, Current HP: 285, A Avg: 88599, D Avg: 90019, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 960: HP: 478, STR: 156, VIT: 241, SPD: 9, LUK: 1, Attack: 84188, Defense: 90019, Current HP: 478, A Avg: 88397, D Avg: 90019, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 959: HP: 152, STR: 278, VIT: 243, SPD: 12, LUK: 1, Attack: 85066, Defense: 90021, Current HP: 152, A Avg: 89319, D Avg: 90021, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 958: HP: 152, STR: 294, VIT: 243, SPD: 8, LUK: 2, Attack: 85082, Defense: 90021, Current HP: 152, A Avg: 89336, D Avg: 90021, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 957: HP: 133, STR: 562, VIT: 243, SPD: 8, LUK: 1, Attack: 85350, Defense: 90021, Current HP: 133, A Avg: 89617, D Avg: 90021, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 956: HP: 285, STR: 191, VIT: 243, SPD: 8, LUK: 1, Attack: 85666, Defense: 90021, Current HP: 285, A Avg: 89949, D Avg: 90021, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 955: HP: 304, STR: 102, VIT: 243, SPD: 12, LUK: 1, Attack: 86448, Defense: 90021, Current HP: 304, A Avg: 90770, D Avg: 90021, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 954: HP: 342, STR: 243, VIT: 243, SPD: 8, LUK: 1, Attack: 86589, Defense: 90021, Current HP: 342, A Avg: 93083, D Avg: 90021, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 953: HP: 323, STR: 202, VIT: 243, SPD: 8, LUK: 1, Attack: 84852, Defense: 90021, Current HP: 323, A Avg: 89094, D Avg: 90021, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 952: HP: 142, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 83756, Defense: 90022, Current HP: 142, A Avg: 87943, D Avg: 90022, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 951: HP: 133, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 83756, Defense: 90022, Current HP: 133, A Avg: 87943, D Avg: 90022, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 950: HP: 142, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 83795, Defense: 90022, Current HP: 142, A Avg: 87984, D Avg: 90022, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 949: HP: 133, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 83795, Defense: 90022, Current HP: 133, A Avg: 87984, D Avg: 90022, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 948: HP: 142, STR: 27, VIT: 244, SPD: 8, LUK: 1, Attack: 83799, Defense: 90022, Current HP: 142, A Avg: 87988, D Avg: 90022, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 947: HP: 133, STR: 35, VIT: 244, SPD: 8, LUK: 1, Attack: 83807, Defense: 90022, Current HP: 133, A Avg: 87997, D Avg: 90022, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 946: HP: 142, STR: 36, VIT: 244, SPD: 8, LUK: 1, Attack: 83847, Defense: 90022, Current HP: 142, A Avg: 88039, D Avg: 90022, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 945: HP: 133, STR: 44, VIT: 244, SPD: 8, LUK: 1, Attack: 83855, Defense: 90022, Current HP: 133, A Avg: 88047, D Avg: 90022, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 944: HP: 142, STR: 35, VIT: 244, SPD: 8, LUK: 1, Attack: 83807, Defense: 90022, Current HP: 142, A Avg: 87997, D Avg: 90022, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 943: HP: 133, STR: 43, VIT: 244, SPD: 8, LUK: 1, Attack: 83815, Defense: 90022, Current HP: 133, A Avg: 88005, D Avg: 90022, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 942: HP: 142, STR: 39, VIT: 244, SPD: 8, LUK: 1, Attack: 83863, Defense: 90022, Current HP: 142, A Avg: 88056, D Avg: 90022, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 941: HP: 133, STR: 36, VIT: 244, SPD: 8, LUK: 1, Attack: 83860, Defense: 90022, Current HP: 133, A Avg: 88053, D Avg: 90022, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 940: HP: 142, STR: 43, VIT: 244, SPD: 8, LUK: 1, Attack: 83886, Defense: 90022, Current HP: 142, A Avg: 88080, D Avg: 90022, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 939: HP: 133, STR: 51, VIT: 244, SPD: 8, LUK: 1, Attack: 83894, Defense: 90022, Current HP: 133, A Avg: 88088, D Avg: 90022, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 938: HP: 161, STR: 59, VIT: 244, SPD: 8, LUK: 1, Attack: 83948, Defense: 90022, Current HP: 161, A Avg: 88145, D Avg: 90022, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 937: HP: 152, STR: 51, VIT: 244, SPD: 8, LUK: 1, Attack: 83940, Defense: 90022, Current HP: 152, A Avg: 88137, D Avg: 90022, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 936: HP: 142, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 83798, Defense: 90022, Current HP: 142, A Avg: 87987, D Avg: 90022, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 935: HP: 133, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 83798, Defense: 90022, Current HP: 133, A Avg: 87987, D Avg: 90022, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 934: HP: 142, STR: 81, VIT: 244, SPD: 8, LUK: 1, Attack: 84204, Defense: 90022, Current HP: 142, A Avg: 88414, D Avg: 90022, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 933: HP: 133, STR: 67, VIT: 244, SPD: 8, LUK: 1, Attack: 84190, Defense: 90022, Current HP: 133, A Avg: 88399, D Avg: 90022, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 932: HP: 161, STR: 68, VIT: 244, SPD: 8, LUK: 1, Attack: 84074, Defense: 90022, Current HP: 161, A Avg: 88277, D Avg: 90022, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 931: HP: 152, STR: 57, VIT: 244, SPD: 8, LUK: 1, Attack: 84063, Defense: 90022, Current HP: 152, A Avg: 88266, D Avg: 90022, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 930: HP: 152, STR: 39, VIT: 244, SPD: 8, LUK: 1, Attack: 84032, Defense: 90022, Current HP: 152, A Avg: 88233, D Avg: 90022, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 929: HP: 142, STR: 36, VIT: 244, SPD: 8, LUK: 1, Attack: 84029, Defense: 90022, Current HP: 142, A Avg: 88230, D Avg: 90022, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 928: HP: 199, STR: 64, VIT: 244, SPD: 8, LUK: 1, Attack: 84252, Defense: 90022, Current HP: 199, A Avg: 88464, D Avg: 90022, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 927: HP: 190, STR: 72, VIT: 244, SPD: 8, LUK: 1, Attack: 84260, Defense: 90022, Current HP: 190, A Avg: 88473, D Avg: 90022, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 926: HP: 152, STR: 59, VIT: 244, SPD: 8, LUK: 1, Attack: 84058, Defense: 90022, Current HP: 152, A Avg: 88260, D Avg: 90022, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 925: HP: 142, STR: 51, VIT: 244, SPD: 8, LUK: 1, Attack: 84050, Defense: 90022, Current HP: 142, A Avg: 88252, D Avg: 90022, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 924: HP: 195, STR: 54, VIT: 244, SPD: 8, LUK: 1, Attack: 84476, Defense: 90022, Current HP: 195, A Avg: 88699, D Avg: 90022, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 923: HP: 186, STR: 62, VIT: 244, SPD: 8, LUK: 1, Attack: 84484, Defense: 90022, Current HP: 186, A Avg: 88708, D Avg: 90022, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 922: HP: 161, STR: 38, VIT: 244, SPD: 8, LUK: 1, Attack: 83813, Defense: 90022, Current HP: 161, A Avg: 88003, D Avg: 90022, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 921: HP: 152, STR: 63, VIT: 244, SPD: 8, LUK: 1, Attack: 83838, Defense: 90022, Current HP: 152, A Avg: 88029, D Avg: 90022, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 920: HP: 199, STR: 22, VIT: 244, SPD: 8, LUK: 1, Attack: 83924, Defense: 90022, Current HP: 199, A Avg: 88120, D Avg: 90022, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 919: HP: 190, STR: 41, VIT: 244, SPD: 8, LUK: 1, Attack: 83943, Defense: 90022, Current HP: 190, A Avg: 88140, D Avg: 90022, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 918: HP: 408, STR: 54, VIT: 244, SPD: 8, LUK: 1, Attack: 85737, Defense: 90022, Current HP: 408, A Avg: 90023, D Avg: 90022, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 917: HP: 399, STR: 62, VIT: 244, SPD: 8, LUK: 1, Attack: 85745, Defense: 90022, Current HP: 399, A Avg: 90032, D Avg: 90022, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 916: HP: 142, STR: 108, VIT: 244, SPD: 8, LUK: 1, Attack: 84764, Defense: 90022, Current HP: 142, A Avg: 89002, D Avg: 90022, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 915: HP: 133, STR: 116, VIT: 244, SPD: 8, LUK: 1, Attack: 84772, Defense: 90022, Current HP: 133, A Avg: 89010, D Avg: 90022, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 914: HP: 142, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 84871, Defense: 90022, Current HP: 142, A Avg: 89114, D Avg: 90022, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 913: HP: 133, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 84871, Defense: 90022, Current HP: 133, A Avg: 89114, D Avg: 90022, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 912: HP: 332, STR: 22, VIT: 244, SPD: 8, LUK: 1, Attack: 84990, Defense: 90022, Current HP: 332, A Avg: 89239, D Avg: 90022, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 911: HP: 323, STR: 41, VIT: 244, SPD: 8, LUK: 1, Attack: 85009, Defense: 90022, Current HP: 323, A Avg: 89259, D Avg: 90022, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 910: HP: 712, STR: 22, VIT: 244, SPD: 8, LUK: 1, Attack: 92208, Defense: 90022, Current HP: 712, A Avg: 96818, D Avg: 90022, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 909: HP: 703, STR: 41, VIT: 244, SPD: 8, LUK: 1, Attack: 92227, Defense: 90022, Current HP: 703, A Avg: 96838, D Avg: 90022, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 908: HP: 598, STR: 22, VIT: 244, SPD: 8, LUK: 1, Attack: 85075, Defense: 90022, Current HP: 598, A Avg: 89328, D Avg: 90022, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 907: HP: 589, STR: 41, VIT: 244, SPD: 8, LUK: 1, Attack: 85094, Defense: 90022, Current HP: 589, A Avg: 89348, D Avg: 90022, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 906: HP: 712, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 86272, Defense: 90022, Current HP: 712, A Avg: 90585, D Avg: 90022, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 905: HP: 703, STR: 30, VIT: 244, SPD: 8, LUK: 1, Attack: 86272, Defense: 90022, Current HP: 703, A Avg: 90585, D Avg: 90022, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 904: HP: 142, STR: 550, VIT: 244, SPD: 8, LUK: 1, Attack: 85479, Defense: 90022, Current HP: 142, A Avg: 89752, D Avg: 90022, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 903: HP: 133, STR: 558, VIT: 244, SPD: 8, LUK: 1, Attack: 85487, Defense: 90022, Current HP: 133, A Avg: 89761, D Avg: 90022, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 902: HP: 142, STR: 278, VIT: 244, SPD: 8, LUK: 1, Attack: 84856, Defense: 90022, Current HP: 142, A Avg: 89098, D Avg: 90022, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 901: HP: 133, STR: 393, VIT: 244, SPD: 8, LUK: 1, Attack: 84971, Defense: 90022, Current HP: 133, A Avg: 89219, D Avg: 90022, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
