Rank 1000: HP: 840, STR: 626, VIT: 926, SPD: 34, LUK: 1, Attack: 85724, Defense: 90704, Current HP: 840, A Avg: 107155, D Avg: 90704, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 985: HP: 3973, STR: 3465, VIT: 944, SPD: 32, LUK: 1, Attack: 89278, Defense: 90722, Current HP: 3973, A Avg: 93741, D Avg: 90722, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 984: HP: 2641, STR: 3465, VIT: 944, SPD: 58, LUK: 1, Attack: 89278, Defense: 90722, Current HP: 2641, A Avg: 93741, D Avg: 108866, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 983: HP: 4415, STR: 3543, VIT: 944, SPD: 32, LUK: 1, Attack: 89356, Defense: 90722, Current HP: 4415, A Avg: 93823, D Avg: 90722, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 982: HP: 788, STR: 449, VIT: 945, SPD: 32, LUK: 1, Attack: 85781, Defense: 90723, Current HP: 788, A Avg: 90070, D Avg: 90723, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 981: HP: 724, STR: 523, VIT: 946, SPD: 36, LUK: 1, Attack: 84633, Defense: 90724, Current HP: 724, A Avg: 88864, D Avg: 90724, [Windmill[137, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 980: HP: 713, STR: 453, VIT: 948, SPD: 36, LUK: 1, Attack: 84453, Defense: 90726, Current HP: 713, A Avg: 88675, D Avg: 90726, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 979: HP: 934, STR: 467, VIT: 948, SPD: 36, LUK: 1, Attack: 84588, Defense: 90726, Current HP: 934, A Avg: 88817, D Avg: 90726, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 978: HP: 921, STR: 624, VIT: 948, SPD: 36, LUK: 1, Attack: 86372, Defense: 90726, Current HP: 921, A Avg: 90690, D Avg: 90726, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 977: HP: 955, STR: 467, VIT: 950, SPD: 36, LUK: 1, Attack: 84577, Defense: 90728, Current HP: 955, A Avg: 88805, D Avg: 90728, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 976: HP: 2622, STR: 3465, VIT: 952, SPD: 51, LUK: 1, Attack: 89278, Defense: 90730, Current HP: 2622, A Avg: 93741, D Avg: 90730, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 975: HP: 2622, STR: 3491, VIT: 952, SPD: 32, LUK: 2, Attack: 89304, Defense: 90730, Current HP: 2622, A Avg: 93769, D Avg: 90730, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 974: HP: 2603, STR: 5276, VIT: 952, SPD: 32, LUK: 1, Attack: 91089, Defense: 90730, Current HP: 2603, A Avg: 95643, D Avg: 90730, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 973: HP: 1054, STR: 579, VIT: 954, SPD: 36, LUK: 1, Attack: 85545, Defense: 90732, Current HP: 1054, A Avg: 89822, D Avg: 90732, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 972: HP: 779, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 84295, Defense: 90736, Current HP: 779, A Avg: 88509, D Avg: 90736, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 971: HP: 779, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 84334, Defense: 90736, Current HP: 779, A Avg: 88550, D Avg: 90736, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 970: HP: 779, STR: 577, VIT: 958, SPD: 38, LUK: 1, Attack: 84349, Defense: 90736, Current HP: 779, A Avg: 88566, D Avg: 90736, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 969: HP: 779, STR: 631, VIT: 958, SPD: 38, LUK: 1, Attack: 84442, Defense: 90736, Current HP: 779, A Avg: 88664, D Avg: 90736, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 968: HP: 779, STR: 668, VIT: 958, SPD: 38, LUK: 1, Attack: 84440, Defense: 90736, Current HP: 779, A Avg: 88662, D Avg: 90736, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 967: HP: 779, STR: 618, VIT: 958, SPD: 38, LUK: 1, Attack: 84442, Defense: 90736, Current HP: 779, A Avg: 88664, D Avg: 90736, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 966: HP: 779, STR: 681, VIT: 958, SPD: 38, LUK: 1, Attack: 84524, Defense: 90736, Current HP: 779, A Avg: 88750, D Avg: 90736, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 965: HP: 798, STR: 681, VIT: 958, SPD: 38, LUK: 1, Attack: 84570, Defense: 90736, Current HP: 798, A Avg: 88798, D Avg: 90736, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 964: HP: 779, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 84337, Defense: 90736, Current HP: 779, A Avg: 88553, D Avg: 90736, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 963: HP: 779, STR: 707, VIT: 958, SPD: 38, LUK: 1, Attack: 84830, Defense: 90736, Current HP: 779, A Avg: 89071, D Avg: 90736, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 962: HP: 798, STR: 730, VIT: 958, SPD: 38, LUK: 1, Attack: 84736, Defense: 90736, Current HP: 798, A Avg: 88972, D Avg: 90736, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 961: HP: 788, STR: 618, VIT: 958, SPD: 38, LUK: 1, Attack: 84611, Defense: 90736, Current HP: 788, A Avg: 88841, D Avg: 90736, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 960: HP: 978, STR: 792, VIT: 958, SPD: 38, LUK: 1, Attack: 84980, Defense: 90736, Current HP: 978, A Avg: 89229, D Avg: 90736, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 959: HP: 788, STR: 681, VIT: 958, SPD: 38, LUK: 1, Attack: 84680, Defense: 90736, Current HP: 788, A Avg: 88914, D Avg: 90736, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 958: HP: 974, STR: 738, VIT: 958, SPD: 38, LUK: 1, Attack: 85160, Defense: 90736, Current HP: 974, A Avg: 89418, D Avg: 90736, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 957: HP: 798, STR: 595, VIT: 958, SPD: 38, LUK: 1, Attack: 84370, Defense: 90736, Current HP: 798, A Avg: 88588, D Avg: 90736, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 956: HP: 836, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 84471, Defense: 90736, Current HP: 836, A Avg: 88694, D Avg: 90736, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 955: HP: 1330, STR: 816, VIT: 958, SPD: 38, LUK: 1, Attack: 86499, Defense: 90736, Current HP: 1330, A Avg: 90823, D Avg: 90736, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 954: HP: 779, STR: 1138, VIT: 958, SPD: 38, LUK: 1, Attack: 85794, Defense: 90736, Current HP: 779, A Avg: 90083, D Avg: 90736, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 953: HP: 779, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 85410, Defense: 90736, Current HP: 779, A Avg: 89680, D Avg: 90736, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 969, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 85537, Defense: 90736, Current HP: 969, A Avg: 89813, D Avg: 90736, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 951: HP: 1349, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 92755, Defense: 90736, Current HP: 1349, A Avg: 97392, D Avg: 90736, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 950: HP: 2945, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 85622, Defense: 90736, Current HP: 2945, A Avg: 89903, D Avg: 90736, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 949: HP: 1349, STR: 569, VIT: 958, SPD: 38, LUK: 1, Attack: 86811, Defense: 90736, Current HP: 1349, A Avg: 91151, D Avg: 90736, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 948: HP: 880, STR: 702, VIT: 958, SPD: 32, LUK: 2, Attack: 86580, Defense: 90736, Current HP: 880, A Avg: 90909, D Avg: 90736, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 947: HP: 646, STR: 1323, VIT: 958, SPD: 32, LUK: 1, Attack: 87201, Defense: 90736, Current HP: 646, A Avg: 91561, D Avg: 90736, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 946: HP: 646, STR: 763, VIT: 958, SPD: 32, LUK: 2, Attack: 86641, Defense: 90736, Current HP: 646, A Avg: 90973, D Avg: 90736, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 945: HP: 836, STR: 1006, VIT: 958, SPD: 32, LUK: 2, Attack: 86546, Defense: 90736, Current HP: 836, A Avg: 90873, D Avg: 90736, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 944: HP: 608, STR: 2935, VIT: 958, SPD: 32, LUK: 1, Attack: 88475, Defense: 90736, Current HP: 608, A Avg: 92898, D Avg: 90736, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 943: HP: 608, STR: 1067, VIT: 958, SPD: 32, LUK: 2, Attack: 86607, Defense: 90736, Current HP: 608, A Avg: 90937, D Avg: 90736, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 942: HP: 779, STR: 2207, VIT: 958, SPD: 38, LUK: 1, Attack: 87136, Defense: 90736, Current HP: 779, A Avg: 91492, D Avg: 90736, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 941: HP: 779, STR: 2545, VIT: 958, SPD: 38, LUK: 1, Attack: 87123, Defense: 90736, Current HP: 779, A Avg: 91479, D Avg: 90736, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 940: HP: 779, STR: 1076, VIT: 958, SPD: 38, LUK: 1, Attack: 88127, Defense: 90736, Current HP: 779, A Avg: 92533, D Avg: 90736, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 939: HP: 779, STR: -48782, VIT: 958, SPD: 38, LUK: 1, Attack: 50484, Defense: 90736, Current HP: 779, A Avg: 53008, D Avg: 90736, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 938: HP: 779, STR: 3065, VIT: 958, SPD: 38, LUK: 1, Attack: 90726, Defense: 90736, Current HP: 779, A Avg: 95262, D Avg: 90736, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 937: HP: 650, STR: 472, VIT: 958, SPD: 34, LUK: 1, Attack: 85947, Defense: 90736, Current HP: 650, A Avg: 107433, D Avg: 90736, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 936: HP: 840, STR: 602, VIT: 958, SPD: 34, LUK: 1, Attack: 85252, Defense: 90736, Current HP: 840, A Avg: 106565, D Avg: 90736, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 935: HP: 1112, STR: 453, VIT: 959, SPD: 36, LUK: 1, Attack: 84771, Defense: 90737, Current HP: 1112, A Avg: 89009, D Avg: 90737, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 934: HP: 4118, STR: 3478, VIT: 960, SPD: 32, LUK: 1, Attack: 89291, Defense: 90738, Current HP: 4118, A Avg: 93755, D Avg: 90738, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 933: HP: 440, STR: 785, VIT: 962, SPD: 34, LUK: 1, Attack: 85623, Defense: 90740, Current HP: 440, A Avg: 107028, D Avg: 90740, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 932: HP: 986, STR: 777, VIT: 966, SPD: 32, LUK: 1, Attack: 86655, Defense: 90744, Current HP: 986, A Avg: 90987, D Avg: 90744, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 931: HP: 684, STR: 654, VIT: 966, SPD: 58, LUK: 1, Attack: 86532, Defense: 90744, Current HP: 684, A Avg: 90858, D Avg: 108892, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 930: HP: 1119, STR: 702, VIT: 966, SPD: 32, LUK: 1, Attack: 86580, Defense: 90744, Current HP: 1119, A Avg: 90909, D Avg: 90744, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 929: HP: 928, STR: 958, VIT: 966, SPD: 32, LUK: 1, Attack: 86498, Defense: 90744, Current HP: 928, A Avg: 90822, D Avg: 90744, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 928: HP: 646, STR: 958, VIT: 966, SPD: 58, LUK: 1, Attack: 86498, Defense: 90744, Current HP: 646, A Avg: 90822, D Avg: 108892, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 927: HP: 1055, STR: 1006, VIT: 966, SPD: 32, LUK: 1, Attack: 86546, Defense: 90744, Current HP: 1055, A Avg: 90873, D Avg: 90744, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 926: HP: 959, STR: 735, VIT: 968, SPD: 38, LUK: 1, Attack: 84702, Defense: 90746, Current HP: 959, A Avg: 88937, D Avg: 90746, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 925: HP: 2660, STR: 3465, VIT: 968, SPD: 51, LUK: 1, Attack: 89278, Defense: 90746, Current HP: 2660, A Avg: 93741, D Avg: 90746, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 924: HP: 2698, STR: 4870, VIT: 968, SPD: 32, LUK: 1, Attack: 90683, Defense: 90746, Current HP: 2698, A Avg: 97484, D Avg: 90746, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 923: HP: 841, STR: 491, VIT: 971, SPD: 32, LUK: 1, Attack: 85534, Defense: 90749, Current HP: 841, A Avg: 89810, D Avg: 90749, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 922: HP: 788, STR: 668, VIT: 974, SPD: 38, LUK: 1, Attack: 84511, Defense: 90752, Current HP: 788, A Avg: 88736, D Avg: 90752, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 921: HP: 779, STR: 717, VIT: 974, SPD: 38, LUK: 1, Attack: 84801, Defense: 90752, Current HP: 779, A Avg: 89041, D Avg: 90752, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 920: HP: 788, STR: 668, VIT: 974, SPD: 38, LUK: 1, Attack: 84540, Defense: 90752, Current HP: 788, A Avg: 88767, D Avg: 90752, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 919: HP: 788, STR: 668, VIT: 974, SPD: 38, LUK: 1, Attack: 84567, Defense: 90752, Current HP: 788, A Avg: 88795, D Avg: 90752, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 918: HP: 788, STR: 668, VIT: 974, SPD: 38, LUK: 1, Attack: 84594, Defense: 90752, Current HP: 788, A Avg: 88823, D Avg: 90752, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 917: HP: 665, STR: 654, VIT: 974, SPD: 51, LUK: 1, Attack: 86532, Defense: 90752, Current HP: 665, A Avg: 90858, D Avg: 90752, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 916: HP: 665, STR: 670, VIT: 974, SPD: 32, LUK: 2, Attack: 86548, Defense: 90752, Current HP: 665, A Avg: 90875, D Avg: 90752, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 915: HP: 646, STR: 1115, VIT: 974, SPD: 32, LUK: 1, Attack: 86993, Defense: 90752, Current HP: 646, A Avg: 91342, D Avg: 90752, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 914: HP: 627, STR: 1317, VIT: 974, SPD: 51, LUK: 1, Attack: 86857, Defense: 90752, Current HP: 627, A Avg: 91199, D Avg: 90752, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 913: HP: 627, STR: 974, VIT: 974, SPD: 32, LUK: 2, Attack: 86514, Defense: 90752, Current HP: 627, A Avg: 90839, D Avg: 90752, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 912: HP: 608, STR: 1609, VIT: 974, SPD: 32, LUK: 1, Attack: 87149, Defense: 90752, Current HP: 608, A Avg: 91506, D Avg: 90752, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 911: HP: 650, STR: 909, VIT: 974, SPD: 34, LUK: 1, Attack: 85747, Defense: 90752, Current HP: 650, A Avg: 107183, D Avg: 90752, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 910: HP: 1130, STR: 753, VIT: 974, SPD: 34, LUK: 1, Attack: 85676, Defense: 90752, Current HP: 1130, A Avg: 107095, D Avg: 90752, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 909: HP: 912, STR: 647, VIT: 976, SPD: 32, LUK: 1, Attack: 86993, Defense: 90754, Current HP: 912, A Avg: 91342, D Avg: 90754, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 908: HP: 934, STR: 803, VIT: 977, SPD: 36, LUK: 1, Attack: 85537, Defense: 90755, Current HP: 934, A Avg: 89813, D Avg: 90755, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 907: HP: 2831, STR: 2007, VIT: 3192, SPD: 32, LUK: 1, Attack: 89835, Defense: 90760, Current HP: 2831, A Avg: 94326, D Avg: 90760, [Stargazer[183, 0, 0, 0], Storm Wall[242, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 906: HP: 936, STR: 518, VIT: 982, SPD: 36, LUK: 1, Attack: 84628, Defense: 90760, Current HP: 936, A Avg: 88859, D Avg: 90760, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 905: HP: 934, STR: 523, VIT: 982, SPD: 36, LUK: 1, Attack: 85036, Defense: 90760, Current HP: 934, A Avg: 89287, D Avg: 90760, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 904: HP: 817, STR: 608, VIT: 982, SPD: 38, LUK: 1, Attack: 88775, Defense: 90760, Current HP: 817, A Avg: 93213, D Avg: 90760, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 903: HP: 1131, STR: 910, VIT: 982, SPD: 32, LUK: 1, Attack: 86788, Defense: 90760, Current HP: 1131, A Avg: 91127, D Avg: 90760, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 902: HP: 1073, STR: 966, VIT: 982, SPD: 32, LUK: 1, Attack: 86506, Defense: 90760, Current HP: 1073, A Avg: 90831, D Avg: 90760, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 901: HP: 955, STR: 518, VIT: 984, SPD: 36, LUK: 1, Attack: 86487, Defense: 90762, Current HP: 955, A Avg: 90811, D Avg: 90762, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
