Rank 1000: HP: 570, STR: 742, VIT: 697, SPD: 24, LUK: 1, Attack: 85580, Defense: 90475, Current HP: 570, A Avg: 89859, D Avg: 90475, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 973: HP: 598, STR: 512, VIT: 710, SPD: 28, LUK: 1, Attack: 84511, Defense: 90488, Current HP: 598, A Avg: 88736, D Avg: 90488, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 972: HP: 737, STR: 556, VIT: 710, SPD: 28, LUK: 1, Attack: 84978, Defense: 90488, Current HP: 737, A Avg: 89226, D Avg: 90488, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 971: HP: 608, STR: 452, VIT: 710, SPD: 28, LUK: 1, Attack: 84227, Defense: 90488, Current HP: 608, A Avg: 88438, D Avg: 90488, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 970: HP: 646, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 84328, Defense: 90488, Current HP: 646, A Avg: 88544, D Avg: 90488, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 969: HP: 1045, STR: 608, VIT: 710, SPD: 28, LUK: 1, Attack: 86291, Defense: 90488, Current HP: 1045, A Avg: 90605, D Avg: 90488, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 968: HP: 589, STR: 852, VIT: 710, SPD: 28, LUK: 1, Attack: 85508, Defense: 90488, Current HP: 589, A Avg: 89783, D Avg: 90488, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 967: HP: 589, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 85267, Defense: 90488, Current HP: 589, A Avg: 89530, D Avg: 90488, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 966: HP: 779, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 85394, Defense: 90488, Current HP: 779, A Avg: 89663, D Avg: 90488, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 965: HP: 1159, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 92612, Defense: 90488, Current HP: 1159, A Avg: 97242, D Avg: 90488, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 964: HP: 2185, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 85479, Defense: 90488, Current HP: 2185, A Avg: 89752, D Avg: 90488, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 963: HP: 1159, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 86668, Defense: 90488, Current HP: 1159, A Avg: 91001, D Avg: 90488, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 962: HP: 770, STR: 534, VIT: 710, SPD: 24, LUK: 2, Attack: 86412, Defense: 90488, Current HP: 770, A Avg: 90732, D Avg: 90488, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 961: HP: 551, STR: 1050, VIT: 710, SPD: 24, LUK: 1, Attack: 86928, Defense: 90488, Current HP: 551, A Avg: 91274, D Avg: 90488, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 960: HP: 551, STR: 579, VIT: 710, SPD: 24, LUK: 2, Attack: 86457, Defense: 90488, Current HP: 551, A Avg: 90779, D Avg: 90488, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 959: HP: 726, STR: 758, VIT: 710, SPD: 24, LUK: 2, Attack: 86298, Defense: 90488, Current HP: 726, A Avg: 90612, D Avg: 90488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 958: HP: 513, STR: 2284, VIT: 710, SPD: 24, LUK: 1, Attack: 87824, Defense: 90488, Current HP: 513, A Avg: 92215, D Avg: 90488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 957: HP: 513, STR: 803, VIT: 710, SPD: 24, LUK: 2, Attack: 86343, Defense: 90488, Current HP: 513, A Avg: 90660, D Avg: 90488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 956: HP: 589, STR: 1804, VIT: 710, SPD: 28, LUK: 1, Attack: 86733, Defense: 90488, Current HP: 589, A Avg: 91069, D Avg: 90488, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 955: HP: 589, STR: 1882, VIT: 710, SPD: 28, LUK: 1, Attack: 86460, Defense: 90488, Current HP: 589, A Avg: 90783, D Avg: 90488, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 954: HP: 589, STR: 868, VIT: 710, SPD: 28, LUK: 1, Attack: 87919, Defense: 90488, Current HP: 589, A Avg: 92314, D Avg: 90488, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 953: HP: 589, STR: -35938, VIT: 710, SPD: 28, LUK: 1, Attack: 63328, Defense: 90488, Current HP: 589, A Avg: 66494, D Avg: 90488, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 589, STR: 2402, VIT: 710, SPD: 28, LUK: 1, Attack: 90063, Defense: 90488, Current HP: 589, A Avg: 94566, D Avg: 90488, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 951: HP: 865, STR: 439, VIT: 711, SPD: 27, LUK: 1, Attack: 85405, Defense: 90489, Current HP: 865, A Avg: 89675, D Avg: 90489, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 950: HP: 646, STR: 358, VIT: 713, SPD: 24, LUK: 1, Attack: 85690, Defense: 90491, Current HP: 646, A Avg: 89974, D Avg: 90491, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 949: HP: 640, STR: 518, VIT: 714, SPD: 25, LUK: 1, Attack: 85616, Defense: 90492, Current HP: 640, A Avg: 107020, D Avg: 90492, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 948: HP: 500, STR: 488, VIT: 714, SPD: 25, LUK: 1, Attack: 85313, Defense: 90492, Current HP: 500, A Avg: 106641, D Avg: 90492, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 947: HP: 560, STR: 429, VIT: 714, SPD: 25, LUK: 1, Attack: 85241, Defense: 90492, Current HP: 560, A Avg: 106551, D Avg: 90492, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 946: HP: 902, STR: 341, VIT: 716, SPD: 27, LUK: 1, Attack: 84659, Defense: 90494, Current HP: 902, A Avg: 88891, D Avg: 90494, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 945: HP: 556, STR: 442, VIT: 717, SPD: 25, LUK: 1, Attack: 84474, Defense: 90495, Current HP: 556, A Avg: 105592, D Avg: 90495, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 944: HP: 841, STR: 577, VIT: 718, SPD: 24, LUK: 1, Attack: 86455, Defense: 90496, Current HP: 841, A Avg: 90777, D Avg: 90496, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 943: HP: 589, STR: 486, VIT: 718, SPD: 43, LUK: 1, Attack: 86364, Defense: 90496, Current HP: 589, A Avg: 90682, D Avg: 108595, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 942: HP: 959, STR: 534, VIT: 718, SPD: 24, LUK: 1, Attack: 86412, Defense: 90496, Current HP: 959, A Avg: 90732, D Avg: 90496, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 941: HP: 783, STR: 710, VIT: 718, SPD: 24, LUK: 1, Attack: 86250, Defense: 90496, Current HP: 783, A Avg: 90562, D Avg: 90496, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 940: HP: 551, STR: 710, VIT: 718, SPD: 43, LUK: 1, Attack: 86250, Defense: 90496, Current HP: 551, A Avg: 90562, D Avg: 108595, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 939: HP: 895, STR: 758, VIT: 718, SPD: 24, LUK: 1, Attack: 86298, Defense: 90496, Current HP: 895, A Avg: 90612, D Avg: 90496, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 938: HP: 722, STR: 553, VIT: 720, SPD: 28, LUK: 1, Attack: 84520, Defense: 90498, Current HP: 722, A Avg: 88746, D Avg: 90498, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 937: HP: 500, STR: 429, VIT: 720, SPD: 25, LUK: 1, Attack: 84370, Defense: 90498, Current HP: 500, A Avg: 105462, D Avg: 90498, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 936: HP: 598, STR: 499, VIT: 726, SPD: 28, LUK: 1, Attack: 84342, Defense: 90504, Current HP: 598, A Avg: 88559, D Avg: 90504, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 935: HP: 589, STR: 535, VIT: 726, SPD: 28, LUK: 1, Attack: 84619, Defense: 90504, Current HP: 589, A Avg: 88849, D Avg: 90504, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 934: HP: 598, STR: 499, VIT: 726, SPD: 28, LUK: 1, Attack: 84371, Defense: 90504, Current HP: 598, A Avg: 88589, D Avg: 90504, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 933: HP: 598, STR: 499, VIT: 726, SPD: 28, LUK: 1, Attack: 84398, Defense: 90504, Current HP: 598, A Avg: 88617, D Avg: 90504, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 932: HP: 598, STR: 499, VIT: 726, SPD: 28, LUK: 1, Attack: 84425, Defense: 90504, Current HP: 598, A Avg: 88646, D Avg: 90504, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 931: HP: 570, STR: 486, VIT: 726, SPD: 38, LUK: 1, Attack: 86364, Defense: 90504, Current HP: 570, A Avg: 90682, D Avg: 90504, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 930: HP: 570, STR: 502, VIT: 726, SPD: 24, LUK: 2, Attack: 86380, Defense: 90504, Current HP: 570, A Avg: 90699, D Avg: 90504, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 929: HP: 551, STR: 842, VIT: 726, SPD: 24, LUK: 1, Attack: 86720, Defense: 90504, Current HP: 551, A Avg: 91056, D Avg: 90504, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 928: HP: 532, STR: 976, VIT: 726, SPD: 38, LUK: 1, Attack: 86516, Defense: 90504, Current HP: 532, A Avg: 90841, D Avg: 90504, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 927: HP: 532, STR: 726, VIT: 726, SPD: 24, LUK: 2, Attack: 86266, Defense: 90504, Current HP: 532, A Avg: 90579, D Avg: 90504, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 926: HP: 513, STR: 1206, VIT: 726, SPD: 24, LUK: 1, Attack: 86746, Defense: 90504, Current HP: 513, A Avg: 91083, D Avg: 90504, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 925: HP: 789, STR: 392, VIT: 730, SPD: 27, LUK: 1, Attack: 84502, Defense: 90508, Current HP: 789, A Avg: 88727, D Avg: 90508, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 924: HP: 776, STR: 397, VIT: 730, SPD: 27, LUK: 1, Attack: 84910, Defense: 90508, Current HP: 776, A Avg: 89155, D Avg: 90508, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 923: HP: 680, STR: 387, VIT: 731, SPD: 24, LUK: 1, Attack: 85430, Defense: 90509, Current HP: 680, A Avg: 89701, D Avg: 90509, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 922: HP: 589, STR: 512, VIT: 732, SPD: 28, LUK: 1, Attack: 84388, Defense: 90510, Current HP: 589, A Avg: 88607, D Avg: 90510, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 921: HP: 722, STR: 499, VIT: 732, SPD: 28, LUK: 1, Attack: 84524, Defense: 90510, Current HP: 722, A Avg: 88750, D Avg: 90510, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 920: HP: 589, STR: 561, VIT: 732, SPD: 28, LUK: 1, Attack: 84710, Defense: 90510, Current HP: 589, A Avg: 88945, D Avg: 90510, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 919: HP: 602, STR: 512, VIT: 732, SPD: 28, LUK: 1, Attack: 84328, Defense: 90510, Current HP: 602, A Avg: 88544, D Avg: 90510, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 918: HP: 608, STR: 535, VIT: 732, SPD: 28, LUK: 1, Attack: 84528, Defense: 90510, Current HP: 608, A Avg: 88754, D Avg: 90510, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 917: HP: 797, STR: 392, VIT: 732, SPD: 27, LUK: 1, Attack: 86361, Defense: 90510, Current HP: 797, A Avg: 90679, D Avg: 90510, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 916: HP: 659, STR: 517, VIT: 734, SPD: 28, LUK: 1, Attack: 84315, Defense: 90512, Current HP: 659, A Avg: 88530, D Avg: 90512, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 915: HP: 627, STR: 465, VIT: 734, SPD: 28, LUK: 1, Attack: 88632, Defense: 90512, Current HP: 627, A Avg: 93063, D Avg: 90512, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 914: HP: 986, STR: 679, VIT: 734, SPD: 24, LUK: 1, Attack: 86557, Defense: 90512, Current HP: 986, A Avg: 90884, D Avg: 90512, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 913: HP: 928, STR: 718, VIT: 734, SPD: 24, LUK: 1, Attack: 86258, Defense: 90512, Current HP: 928, A Avg: 90570, D Avg: 90512, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 912: HP: 776, STR: 621, VIT: 734, SPD: 27, LUK: 1, Attack: 85355, Defense: 90512, Current HP: 776, A Avg: 89622, D Avg: 90512, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 911: HP: 604, STR: 512, VIT: 736, SPD: 28, LUK: 1, Attack: 84518, Defense: 90514, Current HP: 604, A Avg: 88743, D Avg: 90514, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 910: HP: 722, STR: 504, VIT: 736, SPD: 24, LUK: 1, Attack: 86850, Defense: 90514, Current HP: 722, A Avg: 91192, D Avg: 90514, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 909: HP: 2486, STR: 3322, VIT: 736, SPD: 24, LUK: 2, Attack: 89135, Defense: 90514, Current HP: 2486, A Avg: 93591, D Avg: 90514, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 908: HP: 2033, STR: 4852, VIT: 736, SPD: 24, LUK: 1, Attack: 90665, Defense: 90514, Current HP: 2033, A Avg: 95198, D Avg: 90514, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 907: HP: 2033, STR: 3395, VIT: 736, SPD: 24, LUK: 2, Attack: 89208, Defense: 90514, Current HP: 2033, A Avg: 93668, D Avg: 90514, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 906: HP: 500, STR: 405, VIT: 737, SPD: 25, LUK: 1, Attack: 85880, Defense: 90515, Current HP: 500, A Avg: 107350, D Avg: 90515, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 905: HP: 640, STR: 507, VIT: 737, SPD: 25, LUK: 1, Attack: 85157, Defense: 90515, Current HP: 640, A Avg: 106446, D Avg: 90515, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 904: HP: 897, STR: 300, VIT: 740, SPD: 24, LUK: 2, Attack: 85944, Defense: 90518, Current HP: 897, A Avg: 90241, D Avg: 90518, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 903: HP: 661, STR: 825, VIT: 740, SPD: 24, LUK: 1, Attack: 86469, Defense: 90518, Current HP: 661, A Avg: 90792, D Avg: 90518, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 902: HP: 661, STR: 345, VIT: 740, SPD: 24, LUK: 2, Attack: 85989, Defense: 90518, Current HP: 661, A Avg: 90288, D Avg: 90518, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 901: HP: 923, STR: 487, VIT: 741, SPD: 27, LUK: 1, Attack: 85585, Defense: 90519, Current HP: 923, A Avg: 89864, D Avg: 90519, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
