Rank 1000: HP: 1363, STR: 1702, VIT: 1710, SPD: 56, LUK: 1, Attack: 87242, Defense: 91488, Current HP: 1363, A Avg: 91604, D Avg: 91488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 989: HP: 931, STR: 1934, VIT: 1718, SPD: 56, LUK: 1, Attack: 87812, Defense: 91496, Current HP: 931, A Avg: 92202, D Avg: 91496, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 988: HP: 912, STR: 2340, VIT: 1718, SPD: 90, LUK: 1, Attack: 87880, Defense: 91496, Current HP: 912, A Avg: 92274, D Avg: 91496, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 987: HP: 912, STR: 1718, VIT: 1718, SPD: 56, LUK: 2, Attack: 87258, Defense: 91496, Current HP: 912, A Avg: 91620, D Avg: 91496, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 986: HP: 893, STR: 2818, VIT: 1718, SPD: 56, LUK: 1, Attack: 88358, Defense: 91496, Current HP: 893, A Avg: 92775, D Avg: 91496, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 985: HP: 1387, STR: 1037, VIT: 1726, SPD: 66, LUK: 1, Attack: 89204, Defense: 91504, Current HP: 1387, A Avg: 93664, D Avg: 91504, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 984: HP: 1566, STR: 1603, VIT: 1726, SPD: 56, LUK: 1, Attack: 87481, Defense: 91504, Current HP: 1566, A Avg: 91855, D Avg: 91504, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 983: HP: 1508, STR: 1710, VIT: 1726, SPD: 56, LUK: 1, Attack: 87250, Defense: 91504, Current HP: 1508, A Avg: 91612, D Avg: 91504, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 982: HP: 1296, STR: 942, VIT: 1732, SPD: 59, LUK: 1, Attack: 85985, Defense: 91510, Current HP: 1296, A Avg: 107481, D Avg: 91510, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 981: HP: 817, STR: 951, VIT: 1734, SPD: 56, LUK: 1, Attack: 87479, Defense: 91512, Current HP: 817, A Avg: 91852, D Avg: 91512, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 980: HP: 2222, STR: 398, VIT: 1734, SPD: 56, LUK: 2, Attack: 85106, Defense: 91512, Current HP: 2222, A Avg: 89361, D Avg: 91512, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 979: HP: 1805, STR: 829, VIT: 1734, SPD: 56, LUK: 1, Attack: 85537, Defense: 91512, Current HP: 1805, A Avg: 89813, D Avg: 91512, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 978: HP: 1805, STR: 507, VIT: 1734, SPD: 56, LUK: 2, Attack: 85215, Defense: 91512, Current HP: 1805, A Avg: 89475, D Avg: 91512, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 977: HP: 988, STR: 1158, VIT: 1734, SPD: 90, LUK: 1, Attack: 87036, Defense: 91512, Current HP: 988, A Avg: 91387, D Avg: 91512, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 976: HP: 1026, STR: 2157, VIT: 1734, SPD: 56, LUK: 1, Attack: 88035, Defense: 91512, Current HP: 1026, A Avg: 94637, D Avg: 91512, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 975: HP: 798, STR: 3260, VIT: 1734, SPD: 56, LUK: 1, Attack: 89138, Defense: 91512, Current HP: 798, A Avg: 93594, D Avg: 91512, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 974: HP: 950, STR: 2021, VIT: 1734, SPD: 90, LUK: 1, Attack: 87561, Defense: 91512, Current HP: 950, A Avg: 91939, D Avg: 91512, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 973: HP: 988, STR: 2818, VIT: 1734, SPD: 56, LUK: 1, Attack: 88358, Defense: 91512, Current HP: 988, A Avg: 94984, D Avg: 91512, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 972: HP: 1460, STR: 1225, VIT: 1737, SPD: 59, LUK: 1, Attack: 87571, Defense: 91515, Current HP: 1460, A Avg: 109463, D Avg: 91515, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 971: HP: 1377, STR: 896, VIT: 1738, SPD: 63, LUK: 1, Attack: 85006, Defense: 91516, Current HP: 1377, A Avg: 89256, D Avg: 91516, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 970: HP: 1406, STR: 901, VIT: 1738, SPD: 63, LUK: 1, Attack: 85414, Defense: 91516, Current HP: 1406, A Avg: 89684, D Avg: 91516, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 969: HP: 1427, STR: 896, VIT: 1740, SPD: 63, LUK: 1, Attack: 86865, Defense: 91518, Current HP: 1427, A Avg: 91208, D Avg: 91518, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 968: HP: 2755, STR: 350, VIT: 1742, SPD: 56, LUK: 1, Attack: 85058, Defense: 91520, Current HP: 2755, A Avg: 89310, D Avg: 91520, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 967: HP: 1843, STR: 350, VIT: 1742, SPD: 101, LUK: 1, Attack: 85058, Defense: 91520, Current HP: 1843, A Avg: 89310, D Avg: 109824, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 966: HP: 3071, STR: 398, VIT: 1742, SPD: 56, LUK: 1, Attack: 85106, Defense: 91520, Current HP: 3071, A Avg: 89361, D Avg: 91520, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 965: HP: 1767, STR: 2408, VIT: 5855, SPD: 56, LUK: 1, Attack: 88286, Defense: 91525, Current HP: 1767, A Avg: 92700, D Avg: 91525, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 964: HP: 1729, STR: 2833, VIT: 5855, SPD: 56, LUK: 1, Attack: 88373, Defense: 91525, Current HP: 1729, A Avg: 92791, D Avg: 91525, [Zodiac[184, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 963: HP: 712, STR: 1267, VIT: 5855, SPD: 56, LUK: 1, Attack: 86820, Defense: 91525, Current HP: 712, A Avg: 91161, D Avg: 91525, [Hammer of Justice[186, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 962: HP: 703, STR: 661, VIT: 5855, SPD: 56, LUK: 1, Attack: 86214, Defense: 91525, Current HP: 703, A Avg: 90524, D Avg: 91525, [Hammer of Justice[186, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 961: HP: 1763, STR: 1103, VIT: 1749, SPD: 63, LUK: 1, Attack: 86201, Defense: 91527, Current HP: 1763, A Avg: 90511, D Avg: 91527, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 960: HP: 1406, STR: 1016, VIT: 1749, SPD: 63, LUK: 1, Attack: 85841, Defense: 91527, Current HP: 1406, A Avg: 90133, D Avg: 91527, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 959: HP: 1469, STR: 898, VIT: 1749, SPD: 63, LUK: 1, Attack: 85710, Defense: 91527, Current HP: 1469, A Avg: 89995, D Avg: 91527, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 958: HP: 1824, STR: 350, VIT: 1750, SPD: 90, LUK: 1, Attack: 85058, Defense: 91528, Current HP: 1824, A Avg: 89310, D Avg: 91528, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 957: HP: 1824, STR: 366, VIT: 1750, SPD: 56, LUK: 2, Attack: 85074, Defense: 91528, Current HP: 1824, A Avg: 89327, D Avg: 91528, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 956: HP: 1805, STR: 693, VIT: 1750, SPD: 56, LUK: 1, Attack: 85401, Defense: 91528, Current HP: 1805, A Avg: 89671, D Avg: 91528, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 955: HP: 2222, STR: 710, VIT: 1750, SPD: 56, LUK: 2, Attack: 86562, Defense: 91528, Current HP: 2222, A Avg: 90890, D Avg: 91528, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 954: HP: 1805, STR: 1336, VIT: 1750, SPD: 56, LUK: 1, Attack: 87188, Defense: 91528, Current HP: 1805, A Avg: 91547, D Avg: 91528, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 953: HP: 1805, STR: 819, VIT: 1750, SPD: 56, LUK: 2, Attack: 86671, Defense: 91528, Current HP: 1805, A Avg: 91004, D Avg: 91528, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 952: HP: 1549, STR: 912, VIT: 1753, SPD: 63, LUK: 1, Attack: 84944, Defense: 91531, Current HP: 1549, A Avg: 89191, D Avg: 91531, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 951: HP: 1349, STR: 1188, VIT: 1756, SPD: 66, LUK: 1, Attack: 85064, Defense: 91534, Current HP: 1349, A Avg: 89317, D Avg: 91534, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 950: HP: 1672, STR: 1175, VIT: 1756, SPD: 66, LUK: 1, Attack: 85200, Defense: 91534, Current HP: 1672, A Avg: 89460, D Avg: 91534, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 949: HP: 1349, STR: 1289, VIT: 1756, SPD: 66, LUK: 1, Attack: 85438, Defense: 91534, Current HP: 1349, A Avg: 89709, D Avg: 91534, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 948: HP: 1362, STR: 1188, VIT: 1756, SPD: 66, LUK: 1, Attack: 85004, Defense: 91534, Current HP: 1362, A Avg: 89254, D Avg: 91534, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 947: HP: 1368, STR: 1263, VIT: 1756, SPD: 66, LUK: 1, Attack: 85256, Defense: 91534, Current HP: 1368, A Avg: 89518, D Avg: 91534, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 946: HP: 1495, STR: 1193, VIT: 1758, SPD: 66, LUK: 1, Attack: 84991, Defense: 91536, Current HP: 1495, A Avg: 89240, D Avg: 91536, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 945: HP: 2900, STR: 358, VIT: 1758, SPD: 56, LUK: 1, Attack: 85066, Defense: 91536, Current HP: 2900, A Avg: 89319, D Avg: 91536, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 944: HP: 2755, STR: 662, VIT: 1758, SPD: 56, LUK: 1, Attack: 86514, Defense: 91536, Current HP: 2755, A Avg: 90839, D Avg: 91536, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 943: HP: 1843, STR: 662, VIT: 1758, SPD: 101, LUK: 1, Attack: 86514, Defense: 91536, Current HP: 1843, A Avg: 90839, D Avg: 109843, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 942: HP: 3071, STR: 710, VIT: 1758, SPD: 56, LUK: 1, Attack: 86562, Defense: 91536, Current HP: 3071, A Avg: 90890, D Avg: 91536, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 941: HP: 1364, STR: 1188, VIT: 1760, SPD: 66, LUK: 1, Attack: 85194, Defense: 91538, Current HP: 1364, A Avg: 89453, D Avg: 91538, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 940: HP: 1865, STR: 620, VIT: 1764, SPD: 56, LUK: 2, Attack: 86264, Defense: 91542, Current HP: 1865, A Avg: 90577, D Avg: 91542, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 939: HP: 1497, STR: 1465, VIT: 1764, SPD: 56, LUK: 1, Attack: 87109, Defense: 91542, Current HP: 1497, A Avg: 91464, D Avg: 91542, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 938: HP: 1497, STR: 729, VIT: 1764, SPD: 56, LUK: 2, Attack: 86373, Defense: 91542, Current HP: 1497, A Avg: 90691, D Avg: 91542, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 937: HP: 1862, STR: 350, VIT: 1766, SPD: 90, LUK: 1, Attack: 85058, Defense: 91544, Current HP: 1862, A Avg: 89310, D Avg: 91544, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 936: HP: 1900, STR: 621, VIT: 1766, SPD: 56, LUK: 1, Attack: 85329, Defense: 91544, Current HP: 1900, A Avg: 91728, D Avg: 91544, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 935: HP: 1824, STR: 662, VIT: 1766, SPD: 90, LUK: 1, Attack: 86514, Defense: 91544, Current HP: 1824, A Avg: 90839, D Avg: 91544, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 934: HP: 1824, STR: 678, VIT: 1766, SPD: 56, LUK: 2, Attack: 86530, Defense: 91544, Current HP: 1824, A Avg: 90856, D Avg: 91544, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 933: HP: 1805, STR: 1258, VIT: 1766, SPD: 56, LUK: 1, Attack: 87110, Defense: 91544, Current HP: 1805, A Avg: 91465, D Avg: 91544, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 932: HP: 1729, STR: 4232, VIT: 1766, SPD: 66, LUK: 1, Attack: 94141, Defense: 91544, Current HP: 1729, A Avg: 98848, D Avg: 91544, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 931: HP: 1804, STR: 1220, VIT: 5875, SPD: 56, LUK: 1, Attack: 86554, Defense: 91545, Current HP: 1804, A Avg: 109058, D Avg: 91545, [Impulse[166, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 930: HP: 1691, STR: 1377, VIT: 1772, SPD: 66, LUK: 1, Attack: 86059, Defense: 91550, Current HP: 1691, A Avg: 90361, D Avg: 91550, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 929: HP: 2285, STR: 572, VIT: 1772, SPD: 56, LUK: 1, Attack: 86216, Defense: 91550, Current HP: 2285, A Avg: 90526, D Avg: 91550, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 928: HP: 1535, STR: 572, VIT: 1772, SPD: 101, LUK: 1, Attack: 86216, Defense: 91550, Current HP: 1535, A Avg: 90526, D Avg: 109860, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 927: HP: 2553, STR: 620, VIT: 1772, SPD: 56, LUK: 1, Attack: 86264, Defense: 91550, Current HP: 2553, A Avg: 90577, D Avg: 91550, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 926: HP: 703, STR: 661, VIT: 5881, SPD: 56, LUK: 1, Attack: 86214, Defense: 91551, Current HP: 703, A Avg: 90524, D Avg: 91551, [Hammer of Justice[186, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 925: HP: 1034, STR: 652, VIT: 5881, SPD: 56, LUK: 1, Attack: 86205, Defense: 91551, Current HP: 1034, A Avg: 90515, D Avg: 91551, [Hammer of Justice[186, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 924: HP: 2900, STR: 670, VIT: 1774, SPD: 56, LUK: 1, Attack: 86522, Defense: 91552, Current HP: 2900, A Avg: 90848, D Avg: 91552, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 923: HP: 760, STR: 1096, VIT: 1778, SPD: 59, LUK: 1, Attack: 87624, Defense: 91556, Current HP: 760, A Avg: 109530, D Avg: 91556, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 922: HP: 740, STR: 3493, VIT: 1778, SPD: 59, LUK: 1, Attack: 89371, Defense: 91556, Current HP: 740, A Avg: 111713, D Avg: 91556, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 921: HP: 1516, STR: 787, VIT: 1780, SPD: 90, LUK: 1, Attack: 86431, Defense: 91558, Current HP: 1516, A Avg: 90752, D Avg: 91558, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 920: HP: 1516, STR: 588, VIT: 1780, SPD: 56, LUK: 2, Attack: 86232, Defense: 91558, Current HP: 1516, A Avg: 90543, D Avg: 91558, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 919: HP: 1497, STR: 982, VIT: 1780, SPD: 56, LUK: 1, Attack: 86626, Defense: 91558, Current HP: 1497, A Avg: 90957, D Avg: 91558, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 918: HP: 1862, STR: 662, VIT: 1782, SPD: 90, LUK: 1, Attack: 86514, Defense: 91560, Current HP: 1862, A Avg: 90839, D Avg: 91560, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 917: HP: 1900, STR: 1128, VIT: 1782, SPD: 56, LUK: 1, Attack: 86980, Defense: 91560, Current HP: 1900, A Avg: 93503, D Avg: 91560, [Santoku[159, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 916: HP: 940, STR: 931, VIT: 5891, SPD: 56, LUK: 1, Attack: 87420, Defense: 91561, Current HP: 940, A Avg: 91791, D Avg: 91561, [Cuttlefish[178, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 915: HP: 931, STR: 940, VIT: 5891, SPD: 56, LUK: 1, Attack: 87429, Defense: 91561, Current HP: 931, A Avg: 91800, D Avg: 91561, [Cuttlefish[178, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 914: HP: 1606, STR: 1792, VIT: 1785, SPD: 56, LUK: 2, Attack: 86292, Defense: 91563, Current HP: 1606, A Avg: 90606, D Avg: 91563, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 913: HP: 1273, STR: 3807, VIT: 1785, SPD: 56, LUK: 1, Attack: 88307, Defense: 91563, Current HP: 1273, A Avg: 92722, D Avg: 91563, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 912: HP: 1273, STR: 1900, VIT: 1785, SPD: 56, LUK: 2, Attack: 86400, Defense: 91563, Current HP: 1273, A Avg: 90720, D Avg: 91563, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 911: HP: 2430, STR: 580, VIT: 1788, SPD: 56, LUK: 1, Attack: 86224, Defense: 91566, Current HP: 2430, A Avg: 90535, D Avg: 91566, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 910: HP: 1406, STR: 898, VIT: 1792, SPD: 63, LUK: 1, Attack: 84839, Defense: 91570, Current HP: 1406, A Avg: 89080, D Avg: 91570, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 909: HP: 1943, STR: 1744, VIT: 1793, SPD: 56, LUK: 1, Attack: 86244, Defense: 91571, Current HP: 1943, A Avg: 90556, D Avg: 91571, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 908: HP: 1311, STR: 1744, VIT: 1793, SPD: 101, LUK: 1, Attack: 86244, Defense: 91571, Current HP: 1311, A Avg: 90556, D Avg: 109885, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 907: HP: 2175, STR: 1792, VIT: 1793, SPD: 56, LUK: 1, Attack: 86292, Defense: 91571, Current HP: 2175, A Avg: 90606, D Avg: 91571, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 906: HP: 1554, STR: 680, VIT: 1796, SPD: 90, LUK: 1, Attack: 86324, Defense: 91574, Current HP: 1554, A Avg: 90640, D Avg: 91574, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 905: HP: 1592, STR: 982, VIT: 1796, SPD: 56, LUK: 1, Attack: 86626, Defense: 91574, Current HP: 1592, A Avg: 93122, D Avg: 91574, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 904: HP: 2641, STR: 657, VIT: 5907, SPD: 56, LUK: 1, Attack: 85365, Defense: 91577, Current HP: 2641, A Avg: 89633, D Avg: 91577, [Thin Blade[158, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 903: HP: 1292, STR: 2398, VIT: 1801, SPD: 90, LUK: 1, Attack: 86898, Defense: 91579, Current HP: 1292, A Avg: 91242, D Avg: 91579, [Divine Dragon Sword[181, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
