Rank 1000: HP: 1606, STR: 345, VIT: 641949, SPD: 72, LUK: 1, Attack: 84156, Defense: 726189, Current HP: 1606, A Avg: 88363, D Avg: 726189, [Long Sword[104, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 962: HP: 1484, STR: 266, VIT: 642286, SPD: 72, LUK: 1, Attack: 84454, Defense: 726227, Current HP: 1484, A Avg: 88676, D Avg: 726227, [Cagliostro[133, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 961: HP: 2219, STR: 477, VIT: 642300, SPD: 72, LUK: 1, Attack: 85952, Defense: 726228, Current HP: 2219, A Avg: 90249, D Avg: 726228, [Elemental[121, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 960: HP: 2629, STR: 635, VIT: 642300, SPD: 72, LUK: 1, Attack: 85285, Defense: 726228, Current HP: 2629, A Avg: 89549, D Avg: 726228, [Diamond Knuckle[152, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 959: HP: 1749, STR: 682, VIT: 642428, SPD: 72, LUK: 1, Attack: 85725, Defense: 726232, Current HP: 1749, A Avg: 90011, D Avg: 726232, [White Snake[160, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 958: HP: 1913, STR: 536, VIT: 642396, SPD: 72, LUK: 1, Attack: 84646, Defense: 726233, Current HP: 1913, A Avg: 88878, D Avg: 726233, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 957: HP: 1952, STR: 540, VIT: 642396, SPD: 72, LUK: 1, Attack: 85053, Defense: 726233, Current HP: 1952, A Avg: 89305, D Avg: 726233, [Volcano[142, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 956: HP: 1648, STR: 293, VIT: 641993, SPD: 72, LUK: 1, Attack: 88460, Defense: 726233, Current HP: 1648, A Avg: 92883, D Avg: 726233, [Basic[169, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 955: HP: 1789, STR: 901, VIT: 642306, SPD: 72, LUK: 1, Attack: 85739, Defense: 726234, Current HP: 1789, A Avg: 90025, D Avg: 726234, [Classic[168, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 954: HP: 1432, STR: 558, VIT: 642294, SPD: 72, LUK: 1, Attack: 84668, Defense: 726235, Current HP: 1432, A Avg: 88901, D Avg: 726235, [Windmill[137, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 953: HP: 1973, STR: 536, VIT: 642399, SPD: 72, LUK: 1, Attack: 86505, Defense: 726236, Current HP: 1973, A Avg: 90830, D Avg: 726236, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 952: HP: 1421, STR: 477, VIT: 642297, SPD: 72, LUK: 1, Attack: 84477, Defense: 726238, Current HP: 1421, A Avg: 88700, D Avg: 726238, [Kirisame[129, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 951: HP: 1852, STR: 486, VIT: 642297, SPD: 72, LUK: 1, Attack: 84607, Defense: 726238, Current HP: 1852, A Avg: 88837, D Avg: 726238, [Black Kirisame[130, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 950: HP: 1839, STR: 694, VIT: 642297, SPD: 72, LUK: 1, Attack: 86442, Defense: 726238, Current HP: 1839, A Avg: 90764, D Avg: 726238, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 949: HP: 1952, STR: 898, VIT: 642437, SPD: 72, LUK: 1, Attack: 87244, Defense: 726241, Current HP: 1952, A Avg: 91606, D Avg: 726241, [Progress[147, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 948: HP: 1873, STR: 486, VIT: 642300, SPD: 72, LUK: 1, Attack: 84596, Defense: 726241, Current HP: 1873, A Avg: 88825, D Avg: 726241, [Serpent[144, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 947: HP: 1606, STR: 477, VIT: 642315, SPD: 72, LUK: 1, Attack: 85952, Defense: 726243, Current HP: 1606, A Avg: 90249, D Avg: 726243, [Elemental[121, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 946: HP: 2015, STR: 635, VIT: 642315, SPD: 72, LUK: 1, Attack: 85285, Defense: 726243, Current HP: 2015, A Avg: 89549, D Avg: 726243, [Diamond Knuckle[152, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 945: HP: 1522, STR: 1056, VIT: 642384, SPD: 72, LUK: 1, Attack: 85894, Defense: 726247, Current HP: 1522, A Avg: 90188, D Avg: 726247, [Willow Blade[157, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 944: HP: 2446, STR: 880, VIT: 642384, SPD: 72, LUK: 1, Attack: 85803, Defense: 726247, Current HP: 2446, A Avg: 90093, D Avg: 726247, [Pangaea[164, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 943: HP: 2097, STR: 630, VIT: 642306, SPD: 72, LUK: 1, Attack: 85596, Defense: 726247, Current HP: 2097, A Avg: 89875, D Avg: 726247, [Red Shark[134, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 942: HP: 1175, STR: 901, VIT: 642321, SPD: 72, LUK: 1, Attack: 85739, Defense: 726249, Current HP: 1175, A Avg: 90025, D Avg: 726249, [Classic[168, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 941: HP: 2362, STR: 687, VIT: 642413, SPD: 72, LUK: 1, Attack: 85785, Defense: 726250, Current HP: 2362, A Avg: 90074, D Avg: 726250, [Yggdrasil[126, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 940: HP: 1952, STR: 622, VIT: 642413, SPD: 72, LUK: 1, Attack: 85447, Defense: 726250, Current HP: 1952, A Avg: 89719, D Avg: 726250, [Kraken[145, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 939: HP: 2015, STR: 538, VIT: 642413, SPD: 72, LUK: 1, Attack: 85350, Defense: 726250, Current HP: 2015, A Avg: 89617, D Avg: 726250, [Granada[150, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 938: HP: 2116, STR: 547, VIT: 642419, SPD: 72, LUK: 1, Attack: 84579, Defense: 726256, Current HP: 2116, A Avg: 88807, D Avg: 726256, [Alucard[146, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 937: HP: 2240, STR: 477, VIT: 642315, SPD: 72, LUK: 1, Attack: 84795, Defense: 726256, Current HP: 2240, A Avg: 89034, D Avg: 726256, [Ruby Knuckle[151, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 936: HP: 1606, STR: 617, VIT: 642413, SPD: 72, LUK: 1, Attack: 85949, Defense: 726276, Current HP: 1606, A Avg: 90246, D Avg: 726276, [Tower[149, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 935: HP: 1852, STR: 882, VIT: 642344, SPD: 72, LUK: 1, Attack: 85616, Defense: 726285, Current HP: 1852, A Avg: 89896, D Avg: 726285, [Irruption[154, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 934: HP: 1749, STR: 682, VIT: 642419, SPD: 72, LUK: 1, Attack: 85725, Defense: 726288, Current HP: 1749, A Avg: 90011, D Avg: 726288, [White Snake[160, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 933: HP: 1952, STR: 898, VIT: 642428, SPD: 72, LUK: 1, Attack: 87244, Defense: 726297, Current HP: 1952, A Avg: 91606, D Avg: 726297, [Progress[147, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 932: HP: 1522, STR: 1056, VIT: 642413, SPD: 72, LUK: 1, Attack: 85894, Defense: 726302, Current HP: 1522, A Avg: 90188, D Avg: 726302, [Willow Blade[157, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 931: HP: 2446, STR: 880, VIT: 642413, SPD: 72, LUK: 1, Attack: 85803, Defense: 726302, Current HP: 2446, A Avg: 90093, D Avg: 726302, [Pangaea[164, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 930: HP: 1606, STR: 415, VIT: 642062, SPD: 72, LUK: 1, Attack: 84291, Defense: 726302, Current HP: 1606, A Avg: 88505, D Avg: 726302, [Tornado[111, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 929: HP: 2015, STR: 406, VIT: 642062, SPD: 72, LUK: 1, Attack: 84431, Defense: 726302, Current HP: 2015, A Avg: 88652, D Avg: 726302, [Fairy Sword[113, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 928: HP: 1606, STR: 495, VIT: 642062, SPD: 72, LUK: 1, Attack: 84644, Defense: 726302, Current HP: 1606, A Avg: 88876, D Avg: 726302, [Giant Tornado[114, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 927: HP: 1621, STR: 415, VIT: 642062, SPD: 72, LUK: 1, Attack: 84231, Defense: 726302, Current HP: 1621, A Avg: 88442, D Avg: 726302, [Hand Axe[140, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 926: HP: 1627, STR: 477, VIT: 642062, SPD: 72, LUK: 1, Attack: 84470, Defense: 726302, Current HP: 1627, A Avg: 88693, D Avg: 726302, [Wooden Boomerang[167, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 925: HP: 1789, STR: 419, VIT: 642065, SPD: 72, LUK: 1, Attack: 84217, Defense: 726305, Current HP: 1789, A Avg: 88427, D Avg: 726305, [Ninja[135, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 924: HP: 2026, STR: 2658, VIT: 642065, SPD: 72, LUK: 1, Attack: 92567, Defense: 726305, Current HP: 2026, A Avg: 97195, D Avg: 726305, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 923: HP: 1623, STR: 415, VIT: 642068, SPD: 72, LUK: 1, Attack: 84421, Defense: 726308, Current HP: 1623, A Avg: 88642, D Avg: 726308, [Crescent[141, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 922: HP: 5606, STR: 3101, VIT: 642448, SPD: 72, LUK: 1, Attack: 88914, Defense: 726311, Current HP: 5606, A Avg: 93359, D Avg: 726311, [Spear of Regression[182, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 921: HP: 2219, STR: 1056, VIT: 642384, SPD: 72, LUK: 1, Attack: 85894, Defense: 726312, Current HP: 2219, A Avg: 90188, D Avg: 726312, [Willow Blade[157, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 920: HP: 3143, STR: 880, VIT: 642384, SPD: 72, LUK: 1, Attack: 85803, Defense: 726312, Current HP: 3143, A Avg: 90093, D Avg: 726312, [Pangaea[164, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 919: HP: 1112, STR: 793, VIT: 642521, SPD: 72, LUK: 1, Attack: 87321, Defense: 726325, Current HP: 1112, A Avg: 91687, D Avg: 726325, [Moon Knuckle[153, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 918: HP: 1091, STR: 2635, VIT: 642521, SPD: 72, LUK: 1, Attack: 88513, Defense: 726325, Current HP: 1091, A Avg: 92938, D Avg: 726325, [Blue Sword[180, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 917: HP: 1606, STR: 1056, VIT: 642399, SPD: 72, LUK: 1, Attack: 85894, Defense: 726327, Current HP: 1606, A Avg: 90188, D Avg: 726327, [Willow Blade[157, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 916: HP: 2530, STR: 880, VIT: 642399, SPD: 72, LUK: 1, Attack: 85803, Defense: 726327, Current HP: 2530, A Avg: 90093, D Avg: 726327, [Pangaea[164, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 915: HP: 1606, STR: 617, VIT: 642442, SPD: 72, LUK: 1, Attack: 85949, Defense: 726331, Current HP: 1606, A Avg: 90246, D Avg: 726331, [Tower[149, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 914: HP: 2036, STR: 565, VIT: 642091, SPD: 72, LUK: 1, Attack: 85247, Defense: 726331, Current HP: 2036, A Avg: 89509, D Avg: 726331, [Thunder Whip[143, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 913: HP: 1952, STR: 538, VIT: 642497, SPD: 72, LUK: 1, Attack: 84479, Defense: 726334, Current HP: 1952, A Avg: 88702, D Avg: 726334, [Rusty Knife[156, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 912: HP: 2303, STR: 617, VIT: 642413, SPD: 72, LUK: 1, Attack: 85949, Defense: 726341, Current HP: 2303, A Avg: 90246, D Avg: 726341, [Tower[149, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 911: HP: 1812, STR: 554, VIT: 642410, SPD: 72, LUK: 1, Attack: 84664, Defense: 726351, Current HP: 1812, A Avg: 88897, D Avg: 726351, [Dragon Killer[139, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 910: HP: 1852, STR: 558, VIT: 642410, SPD: 72, LUK: 1, Attack: 85071, Defense: 726351, Current HP: 1852, A Avg: 89324, D Avg: 726351, [Volcano[142, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 909: HP: 1873, STR: 554, VIT: 642413, SPD: 72, LUK: 1, Attack: 86523, Defense: 726354, Current HP: 1873, A Avg: 90849, D Avg: 726354, [Fire Chariot[138, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 908: HP: 1952, STR: 477, VIT: 642526, SPD: 72, LUK: 1, Attack: 85952, Defense: 726363, Current HP: 1952, A Avg: 90249, D Avg: 726363, [Elemental[121, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 907: HP: 2362, STR: 635, VIT: 642526, SPD: 72, LUK: 1, Attack: 85285, Defense: 726363, Current HP: 2362, A Avg: 89549, D Avg: 726363, [Diamond Knuckle[152, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 906: HP: 5606, STR: 3101, VIT: 642477, SPD: 72, LUK: 1, Attack: 88914, Defense: 726366, Current HP: 5606, A Avg: 93359, D Avg: 726366, [Spear of Regression[182, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 905: HP: 1522, STR: 901, VIT: 642532, SPD: 72, LUK: 1, Attack: 85739, Defense: 726369, Current HP: 1522, A Avg: 90025, D Avg: 726369, [Classic[168, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 904: HP: 2261, STR: 705, VIT: 642428, SPD: 72, LUK: 1, Attack: 85803, Defense: 726369, Current HP: 2261, A Avg: 90093, D Avg: 726369, [Yggdrasil[126, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
