Rank 1000: HP: 1553, STR: 428, VIT: 477737, SPD: 54, LUK: 1, Attack: 86397, Defense: 561574, Current HP: 1553, A Avg: 90716, D Avg: 561574, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 989: HP: 881, STR: 703, VIT: 477702, SPD: 54, LUK: 1, Attack: 85541, Defense: 561591, Current HP: 881, A Avg: 89818, D Avg: 561591, [Classic[168, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 988: HP: 1211, STR: 230, VIT: 477653, SPD: 54, LUK: 1, Attack: 84418, Defense: 561594, Current HP: 1211, A Avg: 88638, D Avg: 561594, [Cagliostro[133, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 987: HP: 1654, STR: 439, VIT: 477757, SPD: 54, LUK: 1, Attack: 84471, Defense: 561594, Current HP: 1654, A Avg: 88694, D Avg: 561594, [Alucard[146, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 986: HP: 1736, STR: 387, VIT: 477667, SPD: 54, LUK: 1, Attack: 85862, Defense: 561595, Current HP: 1736, A Avg: 90155, D Avg: 561595, [Elemental[121, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 985: HP: 2041, STR: 509, VIT: 477667, SPD: 54, LUK: 1, Attack: 85159, Defense: 561595, Current HP: 2041, A Avg: 89416, D Avg: 561595, [Diamond Knuckle[152, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 984: HP: 1411, STR: 703, VIT: 477673, SPD: 54, LUK: 1, Attack: 85541, Defense: 561601, Current HP: 1411, A Avg: 89818, D Avg: 561601, [Classic[168, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 983: HP: 1159, STR: 450, VIT: 477661, SPD: 54, LUK: 1, Attack: 84560, Defense: 561602, Current HP: 1159, A Avg: 88788, D Avg: 561602, [Windmill[137, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 982: HP: 1148, STR: 387, VIT: 477664, SPD: 54, LUK: 1, Attack: 84387, Defense: 561605, Current HP: 1148, A Avg: 88606, D Avg: 561605, [Kirisame[129, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 981: HP: 1474, STR: 396, VIT: 477664, SPD: 54, LUK: 1, Attack: 84517, Defense: 561605, Current HP: 1474, A Avg: 88742, D Avg: 561605, [Black Kirisame[130, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 980: HP: 1461, STR: 550, VIT: 477664, SPD: 54, LUK: 1, Attack: 86298, Defense: 561605, Current HP: 1461, A Avg: 90612, D Avg: 561605, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 979: HP: 1495, STR: 396, VIT: 477667, SPD: 54, LUK: 1, Attack: 84506, Defense: 561608, Current HP: 1495, A Avg: 88731, D Avg: 561608, [Serpent[144, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 978: HP: 1291, STR: 387, VIT: 477682, SPD: 54, LUK: 1, Attack: 85862, Defense: 561610, Current HP: 1291, A Avg: 90155, D Avg: 561610, [Elemental[121, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 977: HP: 1595, STR: 509, VIT: 477682, SPD: 54, LUK: 1, Attack: 85159, Defense: 561610, Current HP: 1595, A Avg: 89416, D Avg: 561610, [Diamond Knuckle[152, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 976: HP: 1656, STR: 504, VIT: 477673, SPD: 54, LUK: 1, Attack: 85470, Defense: 561614, Current HP: 1656, A Avg: 89743, D Avg: 561614, [Red Shark[134, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 975: HP: 1291, STR: 491, VIT: 477751, SPD: 54, LUK: 1, Attack: 85823, Defense: 561614, Current HP: 1291, A Avg: 90114, D Avg: 561614, [Tower[149, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 974: HP: 965, STR: 703, VIT: 477688, SPD: 54, LUK: 1, Attack: 85541, Defense: 561616, Current HP: 965, A Avg: 89818, D Avg: 561616, [Classic[168, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 973: HP: 1757, STR: 387, VIT: 477682, SPD: 54, LUK: 1, Attack: 84705, Defense: 561623, Current HP: 1757, A Avg: 88940, D Avg: 561623, [Ruby Knuckle[151, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 972: HP: 1392, STR: 538, VIT: 477757, SPD: 54, LUK: 1, Attack: 85581, Defense: 561626, Current HP: 1392, A Avg: 89860, D Avg: 561626, [White Snake[160, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 971: HP: 902, STR: 631, VIT: 477830, SPD: 54, LUK: 1, Attack: 87159, Defense: 561634, Current HP: 902, A Avg: 91516, D Avg: 561634, [Moon Knuckle[153, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 970: HP: 881, STR: 1987, VIT: 477830, SPD: 54, LUK: 1, Attack: 87865, Defense: 561634, Current HP: 881, A Avg: 92258, D Avg: 561634, [Blue Sword[180, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 969: HP: 1532, STR: 700, VIT: 477766, SPD: 54, LUK: 1, Attack: 87046, Defense: 561635, Current HP: 1532, A Avg: 91398, D Avg: 561635, [Progress[147, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 968: HP: 1207, STR: 822, VIT: 477751, SPD: 54, LUK: 1, Attack: 85660, Defense: 561640, Current HP: 1207, A Avg: 89943, D Avg: 561640, [Willow Blade[157, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 967: HP: 1921, STR: 682, VIT: 477751, SPD: 54, LUK: 1, Attack: 85605, Defense: 561640, Current HP: 1921, A Avg: 89885, D Avg: 561640, [Pangaea[164, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 966: HP: 1291, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 83956, Defense: 561643, Current HP: 1291, A Avg: 88153, D Avg: 561643, [Wooden Stick[101, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 965: HP: 1291, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 83995, Defense: 561643, Current HP: 1291, A Avg: 88194, D Avg: 561643, [Club[102, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 964: HP: 1291, STR: 235, VIT: 477403, SPD: 54, LUK: 1, Attack: 84007, Defense: 561643, Current HP: 1291, A Avg: 88207, D Avg: 561643, [Short Sword[103, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 963: HP: 1291, STR: 291, VIT: 477403, SPD: 54, LUK: 1, Attack: 84102, Defense: 561643, Current HP: 1291, A Avg: 88307, D Avg: 561643, [Long Sword[104, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 962: HP: 1291, STR: 334, VIT: 477403, SPD: 54, LUK: 1, Attack: 84106, Defense: 561643, Current HP: 1291, A Avg: 88311, D Avg: 561643, [Wasp Knife[105, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 961: HP: 1291, STR: 282, VIT: 477403, SPD: 54, LUK: 1, Attack: 84106, Defense: 561643, Current HP: 1291, A Avg: 88311, D Avg: 561643, [Stun Knuckle[106, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 960: HP: 1291, STR: 343, VIT: 477403, SPD: 54, LUK: 1, Attack: 84186, Defense: 561643, Current HP: 1291, A Avg: 88395, D Avg: 561643, [Battle Scythe[107, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 959: HP: 1312, STR: 343, VIT: 477403, SPD: 54, LUK: 1, Attack: 84232, Defense: 561643, Current HP: 1312, A Avg: 88443, D Avg: 561643, [Iron Lumps[108, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 958: HP: 1291, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 83998, Defense: 561643, Current HP: 1291, A Avg: 88197, D Avg: 561643, [Decorative Swords[109, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 957: HP: 1291, STR: 361, VIT: 477403, SPD: 54, LUK: 1, Attack: 84484, Defense: 561643, Current HP: 1291, A Avg: 88708, D Avg: 561643, [Pinpoint[112, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 956: HP: 1312, STR: 396, VIT: 477403, SPD: 54, LUK: 1, Attack: 84402, Defense: 561643, Current HP: 1312, A Avg: 88622, D Avg: 561643, [Great Iron Mass[122, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 955: HP: 1301, STR: 282, VIT: 477403, SPD: 54, LUK: 1, Attack: 84275, Defense: 561643, Current HP: 1301, A Avg: 88488, D Avg: 561643, [Sword of Wood[124, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 954: HP: 1616, STR: 457, VIT: 477403, SPD: 54, LUK: 1, Attack: 84645, Defense: 561643, Current HP: 1616, A Avg: 88877, D Avg: 561643, [Sword of the Spirit Tree[125, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 953: HP: 1301, STR: 343, VIT: 477403, SPD: 54, LUK: 1, Attack: 84342, Defense: 561643, Current HP: 1301, A Avg: 88559, D Avg: 561643, [Greatsword[127, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 952: HP: 1612, STR: 401, VIT: 477403, SPD: 54, LUK: 1, Attack: 84823, Defense: 561643, Current HP: 1612, A Avg: 89064, D Avg: 561643, [Dreaming Sword[128, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 951: HP: 1312, STR: 248, VIT: 477403, SPD: 54, LUK: 1, Attack: 84023, Defense: 561643, Current HP: 1312, A Avg: 88224, D Avg: 561643, [Peacemaker[131, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 950: HP: 1354, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 84132, Defense: 561643, Current HP: 1354, A Avg: 88338, D Avg: 561643, [Daydream[132, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 949: HP: 2110, STR: 491, VIT: 477403, SPD: 54, LUK: 1, Attack: 86174, Defense: 561643, Current HP: 2110, A Avg: 90482, D Avg: 561643, [Dancing[155, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 948: HP: 1532, STR: 430, VIT: 477806, SPD: 54, LUK: 1, Attack: 84371, Defense: 561643, Current HP: 1532, A Avg: 88589, D Avg: 561643, [Rusty Knife[156, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 947: HP: 1291, STR: 822, VIT: 477403, SPD: 54, LUK: 1, Attack: 85478, Defense: 561643, Current HP: 1291, A Avg: 89751, D Avg: 561643, [Penetra[161, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 946: HP: 1291, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 85071, Defense: 561643, Current HP: 1291, A Avg: 89324, D Avg: 561643, [Grand Slam[163, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 945: HP: 1501, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 85198, Defense: 561643, Current HP: 1501, A Avg: 89457, D Avg: 561643, [Cluster Bomb[170, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 944: HP: 1921, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 92416, Defense: 561643, Current HP: 1921, A Avg: 97036, D Avg: 561643, [Big Bang[171, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 943: HP: 4945, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 85283, Defense: 561643, Current HP: 4945, A Avg: 89547, D Avg: 561643, [Common Key[174, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 942: HP: 1921, STR: 230, VIT: 477403, SPD: 54, LUK: 1, Attack: 86472, Defense: 561643, Current HP: 1921, A Avg: 90795, D Avg: 561643, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 941: HP: 1291, STR: 1724, VIT: 477403, SPD: 54, LUK: 1, Attack: 86653, Defense: 561643, Current HP: 1291, A Avg: 90985, D Avg: 561643, [Jack Knife[185, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 940: HP: 1291, STR: 2318, VIT: 477403, SPD: 54, LUK: 1, Attack: 86896, Defense: 561643, Current HP: 1291, A Avg: 91240, D Avg: 561643, [Magical[187, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 939: HP: 1291, STR: 671, VIT: 477403, SPD: 54, LUK: 1, Attack: 87722, Defense: 561643, Current HP: 1291, A Avg: 92108, D Avg: 561643, [Tekken[188, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 938: HP: 1291, STR: -51918, VIT: 477403, SPD: 54, LUK: 1, Attack: 47348, Defense: 561643, Current HP: 1291, A Avg: 49715, D Avg: 561643, [Sword of Evil[189, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 937: HP: 1291, STR: 2678, VIT: 477403, SPD: 54, LUK: 1, Attack: 90339, Defense: 561643, Current HP: 1291, A Avg: 94855, D Avg: 561643, [Neural Edge[190, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 936: HP: 4346, STR: 2795, VIT: 477775, SPD: 54, LUK: 1, Attack: 88608, Defense: 561644, Current HP: 4346, A Avg: 93038, D Avg: 561644, [Spear of Regression[182, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 935: HP: 1736, STR: 822, VIT: 477722, SPD: 54, LUK: 1, Attack: 85660, Defense: 561650, Current HP: 1736, A Avg: 89943, D Avg: 561650, [Willow Blade[157, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 934: HP: 2450, STR: 682, VIT: 477722, SPD: 54, LUK: 1, Attack: 85605, Defense: 561650, Current HP: 2450, A Avg: 89885, D Avg: 561650, [Pangaea[164, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 933: HP: 1474, STR: 702, VIT: 477711, SPD: 54, LUK: 1, Attack: 85436, Defense: 561652, Current HP: 1474, A Avg: 89707, D Avg: 561652, [Irruption[154, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 932: HP: 1595, STR: 399, VIT: 477421, SPD: 54, LUK: 1, Attack: 84366, Defense: 561661, Current HP: 1595, A Avg: 88584, D Avg: 561661, [Phantom Sword[117, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 931: HP: 1291, STR: 822, VIT: 477737, SPD: 54, LUK: 1, Attack: 85660, Defense: 561665, Current HP: 1291, A Avg: 89943, D Avg: 561665, [Willow Blade[157, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 930: HP: 2005, STR: 682, VIT: 477737, SPD: 54, LUK: 1, Attack: 85605, Defense: 561665, Current HP: 2005, A Avg: 89885, D Avg: 561665, [Pangaea[164, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 929: HP: 1291, STR: 491, VIT: 477780, SPD: 54, LUK: 1, Attack: 85823, Defense: 561669, Current HP: 1291, A Avg: 90114, D Avg: 561669, [Tower[149, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 928: HP: 1301, STR: 334, VIT: 477432, SPD: 54, LUK: 1, Attack: 84177, Defense: 561672, Current HP: 1301, A Avg: 88385, D Avg: 561672, [Salamander[110, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 927: HP: 1291, STR: 387, VIT: 477432, SPD: 54, LUK: 1, Attack: 84471, Defense: 561672, Current HP: 1291, A Avg: 88694, D Avg: 561672, [Phantom Scythe[116, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 926: HP: 1301, STR: 334, VIT: 477432, SPD: 54, LUK: 1, Attack: 84206, Defense: 561672, Current HP: 1301, A Avg: 88416, D Avg: 561672, [Undine[118, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 925: HP: 1301, STR: 334, VIT: 477432, SPD: 54, LUK: 1, Attack: 84233, Defense: 561672, Current HP: 1301, A Avg: 88444, D Avg: 561672, [Sylph[119, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 924: HP: 1301, STR: 334, VIT: 477432, SPD: 54, LUK: 1, Attack: 84260, Defense: 561672, Current HP: 1301, A Avg: 88473, D Avg: 561672, [Gnome[120, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 923: HP: 1532, STR: 387, VIT: 477835, SPD: 54, LUK: 1, Attack: 85862, Defense: 561672, Current HP: 1532, A Avg: 90155, D Avg: 561672, [Elemental[121, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 922: HP: 1837, STR: 509, VIT: 477835, SPD: 54, LUK: 1, Attack: 85159, Defense: 561672, Current HP: 1837, A Avg: 89416, D Avg: 561672, [Diamond Knuckle[152, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 921: HP: 1207, STR: 703, VIT: 477841, SPD: 54, LUK: 1, Attack: 85541, Defense: 561678, Current HP: 1207, A Avg: 89818, D Avg: 561678, [Classic[168, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 920: HP: 1820, STR: 491, VIT: 477751, SPD: 54, LUK: 1, Attack: 85823, Defense: 561679, Current HP: 1820, A Avg: 90114, D Avg: 561679, [Tower[149, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 919: HP: 1333, STR: 257, VIT: 477447, SPD: 54, LUK: 1, Attack: 88424, Defense: 561687, Current HP: 1333, A Avg: 92845, D Avg: 561687, [Basic[169, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 918: HP: 1455, STR: 446, VIT: 477748, SPD: 54, LUK: 1, Attack: 84556, Defense: 561689, Current HP: 1455, A Avg: 88783, D Avg: 561689, [Dragon Killer[139, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 917: HP: 1474, STR: 450, VIT: 477748, SPD: 54, LUK: 1, Attack: 84963, Defense: 561689, Current HP: 1474, A Avg: 89211, D Avg: 561689, [Volcano[142, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 916: HP: 902, STR: 631, VIT: 477821, SPD: 54, LUK: 1, Attack: 87159, Defense: 561690, Current HP: 902, A Avg: 91516, D Avg: 561690, [Moon Knuckle[153, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 915: HP: 1392, STR: 538, VIT: 477827, SPD: 54, LUK: 1, Attack: 85581, Defense: 561690, Current HP: 1392, A Avg: 89860, D Avg: 561690, [White Snake[160, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 914: HP: 881, STR: 1987, VIT: 477821, SPD: 54, LUK: 1, Attack: 87865, Defense: 561690, Current HP: 881, A Avg: 92258, D Avg: 561690, [Blue Sword[180, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 913: HP: 1495, STR: 446, VIT: 477751, SPD: 54, LUK: 1, Attack: 86415, Defense: 561692, Current HP: 1495, A Avg: 90735, D Avg: 561692, [Fire Chariot[138, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 912: HP: 1532, STR: 700, VIT: 477835, SPD: 54, LUK: 1, Attack: 87046, Defense: 561698, Current HP: 1532, A Avg: 91398, D Avg: 561698, [Progress[147, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 911: HP: 1778, STR: 561, VIT: 477766, SPD: 54, LUK: 1, Attack: 85659, Defense: 561707, Current HP: 1778, A Avg: 89941, D Avg: 561707, [Yggdrasil[126, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 910: HP: 1474, STR: 514, VIT: 477766, SPD: 54, LUK: 1, Attack: 85339, Defense: 561707, Current HP: 1474, A Avg: 89605, D Avg: 561707, [Kraken[145, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 909: HP: 1537, STR: 448, VIT: 477766, SPD: 54, LUK: 1, Attack: 85260, Defense: 561707, Current HP: 1537, A Avg: 89523, D Avg: 561707, [Granada[150, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 908: HP: 4346, STR: 2795, VIT: 477844, SPD: 54, LUK: 1, Attack: 88608, Defense: 561707, Current HP: 4346, A Avg: 93038, D Avg: 561707, [Spear of Regression[182, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 907: HP: 1595, STR: 457, VIT: 477772, SPD: 54, LUK: 1, Attack: 84489, Defense: 561713, Current HP: 1595, A Avg: 88713, D Avg: 561713, [Alucard[146, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 906: HP: 1291, STR: 343, VIT: 477487, SPD: 54, LUK: 1, Attack: 84219, Defense: 561727, Current HP: 1291, A Avg: 88429, D Avg: 561727, [Tornado[111, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 905: HP: 1595, STR: 334, VIT: 477487, SPD: 54, LUK: 1, Attack: 84359, Defense: 561727, Current HP: 1595, A Avg: 88576, D Avg: 561727, [Fairy Sword[113, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 904: HP: 1291, STR: 405, VIT: 477487, SPD: 54, LUK: 1, Attack: 84554, Defense: 561727, Current HP: 1291, A Avg: 88781, D Avg: 561727, [Giant Tornado[114, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 903: HP: 1306, STR: 343, VIT: 477487, SPD: 54, LUK: 1, Attack: 84159, Defense: 561727, Current HP: 1306, A Avg: 88366, D Avg: 561727, [Hand Axe[140, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
