Rank 1000: HP: 171, STR: 101, VIT: 48, SPD: 1, LUK: 1, Attack: 84107, Defense: 89826, Current HP: 171, A Avg: 90415, D Avg: 89826, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 981: HP: 171, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 83878, Defense: 89826, Current HP: 171, A Avg: 90168, D Avg: 89826, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 980: HP: 171, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 83918, Defense: 89826, Current HP: 171, A Avg: 88113, D Avg: 89826, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 979: HP: 209, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 83979, Defense: 89826, Current HP: 209, A Avg: 88177, D Avg: 89826, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 978: HP: 209, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 83979, Defense: 89826, Current HP: 209, A Avg: 90277, D Avg: 89826, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 977: HP: 171, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84204, Defense: 89826, Current HP: 171, A Avg: 88414, D Avg: 89826, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 976: HP: 209, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84265, Defense: 89826, Current HP: 209, A Avg: 88478, D Avg: 89826, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 975: HP: 209, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84265, Defense: 89826, Current HP: 209, A Avg: 90584, D Avg: 89826, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 974: HP: 290, STR: 30, VIT: 48, SPD: 1, LUK: 1, Attack: 85999, Defense: 89826, Current HP: 290, A Avg: 90298, D Avg: 89826, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 973: HP: 127, STR: 24, VIT: 48, SPD: 2, LUK: 1, Attack: 83840, Defense: 89826, Current HP: 127, A Avg: 88032, D Avg: 89826, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 972: HP: 165, STR: 90, VIT: 48, SPD: 1, LUK: 1, Attack: 83906, Defense: 89826, Current HP: 165, A Avg: 88101, D Avg: 89826, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 971: HP: 165, STR: 101, VIT: 48, SPD: 1, LUK: 1, Attack: 83917, Defense: 89826, Current HP: 165, A Avg: 90210, D Avg: 89826, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 970: HP: 95, STR: 32, VIT: 48, SPD: 2, LUK: 1, Attack: 84714, Defense: 89826, Current HP: 95, A Avg: 88949, D Avg: 89826, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 969: HP: 95, STR: 48, VIT: 48, SPD: 1, LUK: 2, Attack: 84730, Defense: 89826, Current HP: 95, A Avg: 88966, D Avg: 89826, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 968: HP: 76, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 84785, Defense: 89826, Current HP: 76, A Avg: 89024, D Avg: 89826, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 967: HP: 290, STR: 44, VIT: 48, SPD: 1, LUK: 1, Attack: 84154, Defense: 89826, Current HP: 290, A Avg: 88361, D Avg: 89826, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 966: HP: 95, STR: 36, VIT: 48, SPD: 2, LUK: 1, Attack: 84861, Defense: 89826, Current HP: 95, A Avg: 89104, D Avg: 89826, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 965: HP: 95, STR: 52, VIT: 48, SPD: 1, LUK: 2, Attack: 84877, Defense: 89826, Current HP: 95, A Avg: 89120, D Avg: 89826, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 964: HP: 76, STR: 111, VIT: 48, SPD: 1, LUK: 1, Attack: 84936, Defense: 89826, Current HP: 76, A Avg: 89182, D Avg: 89826, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 963: HP: 114, STR: 32, VIT: 48, SPD: 2, LUK: 1, Attack: 86378, Defense: 89826, Current HP: 114, A Avg: 90696, D Avg: 89826, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 962: HP: 114, STR: 48, VIT: 48, SPD: 1, LUK: 2, Attack: 86394, Defense: 89826, Current HP: 114, A Avg: 90713, D Avg: 89826, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 961: HP: 95, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 86449, Defense: 89826, Current HP: 95, A Avg: 90771, D Avg: 89826, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 960: HP: 171, STR: 32, VIT: 48, SPD: 2, LUK: 1, Attack: 85364, Defense: 89826, Current HP: 171, A Avg: 89632, D Avg: 89826, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 959: HP: 171, STR: 48, VIT: 48, SPD: 1, LUK: 2, Attack: 85380, Defense: 89826, Current HP: 171, A Avg: 89649, D Avg: 89826, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 958: HP: 152, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 85435, Defense: 89826, Current HP: 152, A Avg: 89706, D Avg: 89826, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 957: HP: 152, STR: 24, VIT: 48, SPD: 2, LUK: 1, Attack: 84836, Defense: 89826, Current HP: 152, A Avg: 89077, D Avg: 89826, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 956: HP: 152, STR: 47, VIT: 48, SPD: 1, LUK: 2, Attack: 84859, Defense: 89826, Current HP: 152, A Avg: 89101, D Avg: 89826, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 955: HP: 133, STR: 90, VIT: 48, SPD: 1, LUK: 1, Attack: 84902, Defense: 89826, Current HP: 133, A Avg: 89147, D Avg: 89826, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 954: HP: 76, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84334, Defense: 89826, Current HP: 76, A Avg: 88550, D Avg: 89826, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 953: HP: 76, STR: 32, VIT: 48, SPD: 1, LUK: 2, Attack: 84350, Defense: 89826, Current HP: 76, A Avg: 88567, D Avg: 89826, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 952: HP: 57, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84395, Defense: 89826, Current HP: 57, A Avg: 88614, D Avg: 89826, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 951: HP: 95, STR: 48, VIT: 48, SPD: 2, LUK: 1, Attack: 84698, Defense: 89826, Current HP: 95, A Avg: 88932, D Avg: 89826, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 950: HP: 95, STR: 64, VIT: 48, SPD: 1, LUK: 2, Attack: 84714, Defense: 89826, Current HP: 95, A Avg: 88949, D Avg: 89826, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 949: HP: 76, STR: 129, VIT: 48, SPD: 1, LUK: 1, Attack: 84779, Defense: 89826, Current HP: 76, A Avg: 89017, D Avg: 89826, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 948: HP: 133, STR: 64, VIT: 48, SPD: 2, LUK: 1, Attack: 86592, Defense: 89826, Current HP: 133, A Avg: 90921, D Avg: 89826, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 947: HP: 171, STR: 155, VIT: 48, SPD: 1, LUK: 1, Attack: 86683, Defense: 89826, Current HP: 171, A Avg: 91017, D Avg: 89826, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 946: HP: 171, STR: 174, VIT: 48, SPD: 1, LUK: 1, Attack: 86702, Defense: 89826, Current HP: 171, A Avg: 93204, D Avg: 89826, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 945: HP: 220, STR: 112, VIT: 48, SPD: 1, LUK: 2, Attack: 84846, Defense: 89826, Current HP: 220, A Avg: 89088, D Avg: 89826, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 944: HP: 76, STR: 447, VIT: 48, SPD: 1, LUK: 1, Attack: 85181, Defense: 89826, Current HP: 76, A Avg: 89440, D Avg: 89826, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 943: HP: 76, STR: 112, VIT: 48, SPD: 1, LUK: 2, Attack: 84846, Defense: 89826, Current HP: 76, A Avg: 89088, D Avg: 89826, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 942: HP: 76, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 84837, Defense: 89826, Current HP: 76, A Avg: 89078, D Avg: 89826, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 941: HP: 304, STR: 29, VIT: 48, SPD: 2, LUK: 1, Attack: 85712, Defense: 89826, Current HP: 304, A Avg: 89997, D Avg: 89826, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 940: HP: 342, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 85760, Defense: 89826, Current HP: 342, A Avg: 90048, D Avg: 89826, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 939: HP: 342, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 85760, Defense: 89826, Current HP: 342, A Avg: 92192, D Avg: 89826, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 938: HP: 133, STR: 24, VIT: 48, SPD: 2, LUK: 1, Attack: 83965, Defense: 89826, Current HP: 133, A Avg: 88163, D Avg: 89826, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 937: HP: 171, STR: 111, VIT: 48, SPD: 1, LUK: 1, Attack: 84052, Defense: 89826, Current HP: 171, A Avg: 88254, D Avg: 89826, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 936: HP: 171, STR: 90, VIT: 48, SPD: 1, LUK: 1, Attack: 84031, Defense: 89826, Current HP: 171, A Avg: 90333, D Avg: 89826, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 935: HP: 133, STR: 48, VIT: 48, SPD: 2, LUK: 1, Attack: 84886, Defense: 89826, Current HP: 133, A Avg: 89130, D Avg: 89826, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 934: HP: 171, STR: 159, VIT: 48, SPD: 1, LUK: 1, Attack: 84997, Defense: 89826, Current HP: 171, A Avg: 89246, D Avg: 89826, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 933: HP: 171, STR: 129, VIT: 48, SPD: 1, LUK: 1, Attack: 84967, Defense: 89826, Current HP: 171, A Avg: 91339, D Avg: 89826, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 932: HP: 352, STR: 72, VIT: 48, SPD: 1, LUK: 2, Attack: 84780, Defense: 89826, Current HP: 352, A Avg: 89019, D Avg: 89826, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 931: HP: 190, STR: 298, VIT: 48, SPD: 1, LUK: 1, Attack: 85006, Defense: 89826, Current HP: 190, A Avg: 89256, D Avg: 89826, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 930: HP: 190, STR: 72, VIT: 48, SPD: 1, LUK: 2, Attack: 84780, Defense: 89826, Current HP: 190, A Avg: 89019, D Avg: 89826, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 929: HP: 190, STR: 38, VIT: 48, SPD: 1, LUK: 1, Attack: 84746, Defense: 89826, Current HP: 190, A Avg: 88983, D Avg: 89826, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 928: HP: 114, STR: 32, VIT: 48, SPD: 2, LUK: 1, Attack: 84688, Defense: 89826, Current HP: 114, A Avg: 88922, D Avg: 89826, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 927: HP: 152, STR: 127, VIT: 48, SPD: 1, LUK: 1, Attack: 84783, Defense: 89826, Current HP: 152, A Avg: 89022, D Avg: 89826, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 926: HP: 152, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 84759, Defense: 89826, Current HP: 152, A Avg: 91115, D Avg: 89826, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 925: HP: 261, STR: 36, VIT: 48, SPD: 1, LUK: 1, Attack: 85680, Defense: 89826, Current HP: 261, A Avg: 89964, D Avg: 89826, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 924: HP: 114, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84857, Defense: 89826, Current HP: 114, A Avg: 89099, D Avg: 89826, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 923: HP: 152, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84918, Defense: 89826, Current HP: 152, A Avg: 89163, D Avg: 89826, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 922: HP: 152, STR: 87, VIT: 48, SPD: 1, LUK: 1, Attack: 84928, Defense: 89826, Current HP: 152, A Avg: 91297, D Avg: 89826, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 921: HP: 228, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84939, Defense: 89826, Current HP: 228, A Avg: 89185, D Avg: 89826, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 920: HP: 266, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 85000, Defense: 89826, Current HP: 266, A Avg: 89250, D Avg: 89826, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 919: HP: 266, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 85000, Defense: 89826, Current HP: 266, A Avg: 91375, D Avg: 89826, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 918: HP: 114, STR: 176, VIT: 48, SPD: 2, LUK: 1, Attack: 84964, Defense: 89826, Current HP: 114, A Avg: 89212, D Avg: 89826, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 917: HP: 152, STR: 545, VIT: 48, SPD: 1, LUK: 1, Attack: 85333, Defense: 89826, Current HP: 152, A Avg: 89599, D Avg: 89826, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 916: HP: 152, STR: 337, VIT: 48, SPD: 1, LUK: 1, Attack: 85125, Defense: 89826, Current HP: 152, A Avg: 91509, D Avg: 89826, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 915: HP: 133, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84009, Defense: 89826, Current HP: 133, A Avg: 88209, D Avg: 89826, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 914: HP: 171, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84070, Defense: 89826, Current HP: 171, A Avg: 88273, D Avg: 89826, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 913: HP: 171, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84070, Defense: 89826, Current HP: 171, A Avg: 90375, D Avg: 89826, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 912: HP: 145, STR: 40, VIT: 48, SPD: 1, LUK: 1, Attack: 88207, Defense: 89826, Current HP: 145, A Avg: 92617, D Avg: 89826, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 911: HP: 133, STR: 40, VIT: 48, SPD: 2, LUK: 1, Attack: 88207, Defense: 89826, Current HP: 133, A Avg: 92617, D Avg: 107791, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 910: HP: 191, STR: 88, VIT: 48, SPD: 1, LUK: 1, Attack: 88255, Defense: 89826, Current HP: 191, A Avg: 92667, D Avg: 89826, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 909: HP: 304, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84984, Defense: 89826, Current HP: 304, A Avg: 89233, D Avg: 89826, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 908: HP: 342, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 85045, Defense: 89826, Current HP: 342, A Avg: 89297, D Avg: 89826, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 907: HP: 342, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 85045, Defense: 89826, Current HP: 342, A Avg: 91423, D Avg: 89826, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 906: HP: 684, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 92202, Defense: 89826, Current HP: 684, A Avg: 96812, D Avg: 89826, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 905: HP: 722, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 92263, Defense: 89826, Current HP: 722, A Avg: 96876, D Avg: 89826, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 904: HP: 722, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 92263, Defense: 89826, Current HP: 722, A Avg: 99182, D Avg: 89826, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 903: HP: 114, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84404, Defense: 89826, Current HP: 114, A Avg: 88624, D Avg: 89826, [Encryption Key[173, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 902: HP: 152, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84465, Defense: 89826, Current HP: 152, A Avg: 88688, D Avg: 89826, [Encryption Key[173, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
