Rank 1000: HP: 661, STR: 216, VIT: 417985, SPD: 18, LUK: 1, Attack: 84729, Defense: 501913, Current HP: 661, A Avg: 88965, D Avg: 501913, [Volcano[142, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 989: HP: 659, STR: 199, VIT: 417979, SPD: 18, LUK: 1, Attack: 84101, Defense: 501920, Current HP: 659, A Avg: 88306, D Avg: 501920, [Crossed Shuriken[136, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 988: HP: 482, STR: 307, VIT: 418052, SPD: 18, LUK: 1, Attack: 86835, Defense: 501921, Current HP: 482, A Avg: 91176, D Avg: 501921, [Moon Knuckle[153, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 987: HP: 678, STR: 250, VIT: 418058, SPD: 18, LUK: 1, Attack: 85293, Defense: 501921, Current HP: 678, A Avg: 89557, D Avg: 501921, [White Snake[160, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 986: HP: 461, STR: 691, VIT: 418052, SPD: 18, LUK: 1, Attack: 86569, Defense: 501921, Current HP: 461, A Avg: 90897, D Avg: 501921, [Blue Sword[180, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 985: HP: 808, STR: 223, VIT: 417994, SPD: 18, LUK: 1, Attack: 84255, Defense: 501922, Current HP: 808, A Avg: 88467, D Avg: 501922, [Alucard[146, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 984: HP: 692, STR: 304, VIT: 418055, SPD: 18, LUK: 1, Attack: 86650, Defense: 501924, Current HP: 692, A Avg: 90982, D Avg: 501924, [Progress[147, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 983: HP: 482, STR: 307, VIT: 418064, SPD: 18, LUK: 1, Attack: 86835, Defense: 501927, Current HP: 482, A Avg: 91176, D Avg: 501927, [Moon Knuckle[153, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 982: HP: 461, STR: 691, VIT: 418064, SPD: 18, LUK: 1, Attack: 86569, Defense: 501927, Current HP: 461, A Avg: 90897, D Avg: 501927, [Blue Sword[180, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 981: HP: 661, STR: 214, VIT: 418000, SPD: 18, LUK: 1, Attack: 84155, Defense: 501928, Current HP: 661, A Avg: 88362, D Avg: 501928, [Rusty Knife[156, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 980: HP: 692, STR: 304, VIT: 418066, SPD: 18, LUK: 1, Attack: 86650, Defense: 501929, Current HP: 692, A Avg: 90982, D Avg: 501929, [Progress[147, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 979: HP: 577, STR: 354, VIT: 418040, SPD: 18, LUK: 1, Attack: 85192, Defense: 501929, Current HP: 577, A Avg: 89451, D Avg: 501929, [Willow Blade[157, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 978: HP: 871, STR: 286, VIT: 418040, SPD: 18, LUK: 1, Attack: 85209, Defense: 501929, Current HP: 871, A Avg: 89469, D Avg: 501929, [Pangaea[164, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 977: HP: 739, STR: 216, VIT: 417988, SPD: 18, LUK: 1, Attack: 84729, Defense: 501929, Current HP: 739, A Avg: 88965, D Avg: 501929, [Maximum Iron Mass[123, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 976: HP: 776, STR: 239, VIT: 418093, SPD: 18, LUK: 1, Attack: 85571, Defense: 501930, Current HP: 776, A Avg: 89849, D Avg: 501930, [Tower[149, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 975: HP: 755, STR: 255, VIT: 418003, SPD: 18, LUK: 1, Attack: 85353, Defense: 501931, Current HP: 755, A Avg: 89620, D Avg: 501931, [Yggdrasil[126, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 974: HP: 661, STR: 244, VIT: 418003, SPD: 18, LUK: 1, Attack: 85069, Defense: 501931, Current HP: 661, A Avg: 89322, D Avg: 501931, [Kraken[145, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 973: HP: 724, STR: 214, VIT: 418003, SPD: 18, LUK: 1, Attack: 85026, Defense: 501931, Current HP: 724, A Avg: 89277, D Avg: 501931, [Granada[150, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 972: HP: 577, STR: 207, VIT: 418043, SPD: 18, LUK: 1, Attack: 85682, Defense: 501932, Current HP: 577, A Avg: 89966, D Avg: 501932, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 971: HP: 671, STR: 257, VIT: 418043, SPD: 18, LUK: 1, Attack: 84907, Defense: 501932, Current HP: 671, A Avg: 89152, D Avg: 501932, [Diamond Knuckle[152, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 970: HP: 661, STR: 324, VIT: 418006, SPD: 18, LUK: 1, Attack: 85058, Defense: 501934, Current HP: 661, A Avg: 89310, D Avg: 501934, [Irruption[154, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 969: HP: 699, STR: 223, VIT: 418008, SPD: 18, LUK: 1, Attack: 84255, Defense: 501936, Current HP: 699, A Avg: 88467, D Avg: 501936, [Alucard[146, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 968: HP: 461, STR: 307, VIT: 418049, SPD: 18, LUK: 1, Attack: 85145, Defense: 501938, Current HP: 461, A Avg: 89402, D Avg: 501938, [Classic[168, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 967: HP: 770, STR: 354, VIT: 418011, SPD: 18, LUK: 1, Attack: 85192, Defense: 501939, Current HP: 770, A Avg: 89451, D Avg: 501939, [Willow Blade[157, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 966: HP: 1064, STR: 286, VIT: 418011, SPD: 18, LUK: 1, Attack: 85209, Defense: 501939, Current HP: 1064, A Avg: 89469, D Avg: 501939, [Pangaea[164, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 965: HP: 665, STR: 158, VIT: 418000, SPD: 18, LUK: 1, Attack: 84346, Defense: 501941, Current HP: 665, A Avg: 88563, D Avg: 501941, [Cagliostro[133, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 964: HP: 770, STR: 207, VIT: 418014, SPD: 18, LUK: 1, Attack: 85682, Defense: 501942, Current HP: 770, A Avg: 89966, D Avg: 501942, [Elemental[121, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 963: HP: 865, STR: 257, VIT: 418014, SPD: 18, LUK: 1, Attack: 84907, Defense: 501942, Current HP: 865, A Avg: 89152, D Avg: 501942, [Diamond Knuckle[152, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 962: HP: 793, STR: 250, VIT: 418110, SPD: 18, LUK: 1, Attack: 85293, Defense: 501947, Current HP: 793, A Avg: 89557, D Avg: 501947, [White Snake[160, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 961: HP: 655, STR: 307, VIT: 418020, SPD: 18, LUK: 1, Attack: 85145, Defense: 501948, Current HP: 655, A Avg: 89402, D Avg: 501948, [Classic[168, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 960: HP: 613, STR: 234, VIT: 418008, SPD: 18, LUK: 1, Attack: 84344, Defense: 501949, Current HP: 613, A Avg: 88561, D Avg: 501949, [Windmill[137, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 959: HP: 602, STR: 207, VIT: 418011, SPD: 18, LUK: 1, Attack: 84207, Defense: 501952, Current HP: 602, A Avg: 88417, D Avg: 501952, [Kirisame[129, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 958: HP: 718, STR: 216, VIT: 418011, SPD: 18, LUK: 1, Attack: 84337, Defense: 501952, Current HP: 718, A Avg: 88553, D Avg: 501952, [Black Kirisame[130, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 957: HP: 705, STR: 262, VIT: 418011, SPD: 18, LUK: 1, Attack: 86010, Defense: 501952, Current HP: 705, A Avg: 90310, D Avg: 501952, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 956: HP: 598, STR: 307, VIT: 418116, SPD: 18, LUK: 1, Attack: 86835, Defense: 501953, Current HP: 598, A Avg: 91176, D Avg: 501953, [Moon Knuckle[153, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 955: HP: 577, STR: 691, VIT: 418116, SPD: 18, LUK: 1, Attack: 86569, Defense: 501953, Current HP: 577, A Avg: 90897, D Avg: 501953, [Blue Sword[180, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 954: HP: 661, STR: 354, VIT: 418026, SPD: 18, LUK: 1, Attack: 85192, Defense: 501954, Current HP: 661, A Avg: 89451, D Avg: 501954, [Willow Blade[157, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 953: HP: 955, STR: 286, VIT: 418026, SPD: 18, LUK: 1, Attack: 85209, Defense: 501954, Current HP: 955, A Avg: 89469, D Avg: 501954, [Pangaea[164, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 952: HP: 739, STR: 216, VIT: 418014, SPD: 18, LUK: 1, Attack: 84326, Defense: 501955, Current HP: 739, A Avg: 88542, D Avg: 501955, [Serpent[144, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 951: HP: 808, STR: 304, VIT: 418119, SPD: 18, LUK: 1, Attack: 86650, Defense: 501956, Current HP: 808, A Avg: 90982, D Avg: 501956, [Progress[147, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 950: HP: 709, STR: 284, VIT: 418153, SPD: 18, LUK: 1, Attack: 85928, Defense: 501957, Current HP: 709, A Avg: 90224, D Avg: 501957, [Gladius[162, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 949: HP: 661, STR: 207, VIT: 418029, SPD: 18, LUK: 1, Attack: 85682, Defense: 501957, Current HP: 661, A Avg: 89966, D Avg: 501957, [Elemental[121, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 948: HP: 755, STR: 257, VIT: 418029, SPD: 18, LUK: 1, Attack: 84907, Defense: 501957, Current HP: 755, A Avg: 89152, D Avg: 501957, [Diamond Knuckle[152, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 947: HP: 661, STR: 239, VIT: 418069, SPD: 18, LUK: 1, Attack: 85571, Defense: 501958, Current HP: 661, A Avg: 89849, D Avg: 501958, [Tower[149, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 946: HP: 774, STR: 252, VIT: 418020, SPD: 18, LUK: 1, Attack: 85218, Defense: 501961, Current HP: 774, A Avg: 89478, D Avg: 501961, [Red Shark[134, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 945: HP: 545, STR: 307, VIT: 418035, SPD: 18, LUK: 1, Attack: 85145, Defense: 501963, Current HP: 545, A Avg: 89402, D Avg: 501963, [Classic[168, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 944: HP: 854, STR: 239, VIT: 418040, SPD: 18, LUK: 1, Attack: 85571, Defense: 501968, Current HP: 854, A Avg: 89849, D Avg: 501968, [Tower[149, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 943: HP: 461, STR: 547, VIT: 418165, SPD: 18, LUK: 1, Attack: 85335, Defense: 501969, Current HP: 461, A Avg: 89601, D Avg: 501969, [Pulse Knife[165, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 942: HP: 791, STR: 207, VIT: 418029, SPD: 18, LUK: 1, Attack: 84525, Defense: 501970, Current HP: 791, A Avg: 88751, D Avg: 501970, [Ruby Knuckle[151, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 941: HP: 713, STR: 448, VIT: 418104, SPD: 18, LUK: 1, Attack: 86326, Defense: 501973, Current HP: 713, A Avg: 90642, D Avg: 501973, [God Hand[179, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 940: HP: 671, STR: 610, VIT: 418104, SPD: 18, LUK: 1, Attack: 86150, Defense: 501973, Current HP: 671, A Avg: 90457, D Avg: 501973, [Zodiac[184, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 939: HP: 892, STR: 214, VIT: 418171, SPD: 18, LUK: 1, Attack: 84922, Defense: 501975, Current HP: 892, A Avg: 89168, D Avg: 501975, [Thin Blade[158, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 938: HP: 678, STR: 250, VIT: 418087, SPD: 18, LUK: 1, Attack: 85293, Defense: 501976, Current HP: 678, A Avg: 89557, D Avg: 501976, [White Snake[160, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 937: HP: 741, STR: 230, VIT: 418037, SPD: 18, LUK: 1, Attack: 84340, Defense: 501978, Current HP: 741, A Avg: 88557, D Avg: 501978, [Dragon Killer[139, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 936: HP: 718, STR: 234, VIT: 418037, SPD: 18, LUK: 1, Attack: 84747, Defense: 501978, Current HP: 718, A Avg: 88984, D Avg: 501978, [Volcano[142, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 935: HP: 1022, STR: 1616, VIT: 418037, SPD: 18, LUK: 1, Attack: 91525, Defense: 501978, Current HP: 1022, A Avg: 96101, D Avg: 501978, [Spectral Sword Shigure[172, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 934: HP: 713, STR: 448, VIT: 418116, SPD: 18, LUK: 1, Attack: 86326, Defense: 501979, Current HP: 713, A Avg: 90642, D Avg: 501979, [God Hand[179, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 933: HP: 671, STR: 610, VIT: 418116, SPD: 18, LUK: 1, Attack: 86150, Defense: 501979, Current HP: 671, A Avg: 90457, D Avg: 501979, [Zodiac[184, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 932: HP: 739, STR: 230, VIT: 418040, SPD: 18, LUK: 1, Attack: 86199, Defense: 501981, Current HP: 739, A Avg: 90508, D Avg: 501981, [Fire Chariot[138, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 931: HP: 482, STR: 307, VIT: 418093, SPD: 18, LUK: 1, Attack: 86835, Defense: 501982, Current HP: 482, A Avg: 91176, D Avg: 501982, [Moon Knuckle[153, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 930: HP: 461, STR: 691, VIT: 418093, SPD: 18, LUK: 1, Attack: 86569, Defense: 501982, Current HP: 461, A Avg: 90897, D Avg: 501982, [Blue Sword[180, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 929: HP: 692, STR: 304, VIT: 418095, SPD: 18, LUK: 1, Attack: 86650, Defense: 501984, Current HP: 692, A Avg: 90982, D Avg: 501984, [Progress[147, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 928: HP: 871, STR: 250, VIT: 418058, SPD: 18, LUK: 1, Attack: 85293, Defense: 501986, Current HP: 871, A Avg: 89557, D Avg: 501986, [White Snake[160, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 927: HP: 676, STR: 307, VIT: 418064, SPD: 18, LUK: 1, Attack: 86835, Defense: 501992, Current HP: 676, A Avg: 91176, D Avg: 501992, [Moon Knuckle[153, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 926: HP: 655, STR: 691, VIT: 418064, SPD: 18, LUK: 1, Attack: 86569, Defense: 501992, Current HP: 655, A Avg: 90897, D Avg: 501992, [Blue Sword[180, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 925: HP: 718, STR: 232, VIT: 418052, SPD: 18, LUK: 1, Attack: 84173, Defense: 501993, Current HP: 718, A Avg: 88381, D Avg: 501993, [Rusty Knife[156, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 924: HP: 886, STR: 304, VIT: 418066, SPD: 18, LUK: 1, Attack: 86650, Defense: 501994, Current HP: 886, A Avg: 90982, D Avg: 501994, [Progress[147, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 923: HP: 812, STR: 273, VIT: 418055, SPD: 18, LUK: 1, Attack: 85371, Defense: 501996, Current HP: 812, A Avg: 89639, D Avg: 501996, [Yggdrasil[126, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 922: HP: 718, STR: 262, VIT: 418055, SPD: 18, LUK: 1, Attack: 85087, Defense: 501996, Current HP: 718, A Avg: 89341, D Avg: 501996, [Kraken[145, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 921: HP: 781, STR: 232, VIT: 418055, SPD: 18, LUK: 1, Attack: 85044, Defense: 501996, Current HP: 781, A Avg: 89296, D Avg: 501996, [Granada[150, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 920: HP: 718, STR: 342, VIT: 418058, SPD: 18, LUK: 1, Attack: 85076, Defense: 501999, Current HP: 718, A Avg: 89329, D Avg: 501999, [Irruption[154, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 919: HP: 762, STR: 250, VIT: 418072, SPD: 18, LUK: 1, Attack: 85293, Defense: 502000, Current HP: 762, A Avg: 89557, D Avg: 502000, [White Snake[160, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 918: HP: 755, STR: 241, VIT: 418061, SPD: 18, LUK: 1, Attack: 84273, Defense: 502002, Current HP: 755, A Avg: 88486, D Avg: 502002, [Alucard[146, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 917: HP: 892, STR: 340, VIT: 418200, SPD: 18, LUK: 1, Attack: 86192, Defense: 502004, Current HP: 892, A Avg: 90501, D Avg: 502004, [Santoku[159, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 916: HP: 829, STR: 448, VIT: 418168, SPD: 18, LUK: 1, Attack: 86326, Defense: 502005, Current HP: 829, A Avg: 90642, D Avg: 502005, [God Hand[179, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 915: HP: 787, STR: 610, VIT: 418168, SPD: 18, LUK: 1, Attack: 86150, Defense: 502005, Current HP: 787, A Avg: 90457, D Avg: 502005, [Zodiac[184, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 914: HP: 566, STR: 307, VIT: 418078, SPD: 18, LUK: 1, Attack: 86835, Defense: 502006, Current HP: 566, A Avg: 91176, D Avg: 502006, [Moon Knuckle[153, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 913: HP: 545, STR: 691, VIT: 418078, SPD: 18, LUK: 1, Attack: 86569, Defense: 502006, Current HP: 545, A Avg: 90897, D Avg: 502006, [Blue Sword[180, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 912: HP: 776, STR: 304, VIT: 418081, SPD: 18, LUK: 1, Attack: 86650, Defense: 502009, Current HP: 776, A Avg: 90982, D Avg: 502009, [Progress[147, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 911: HP: 709, STR: 284, VIT: 418145, SPD: 18, LUK: 1, Attack: 85928, Defense: 502014, Current HP: 709, A Avg: 90224, D Avg: 502014, [Gladius[162, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 910: HP: 709, STR: 284, VIT: 418156, SPD: 18, LUK: 1, Attack: 85928, Defense: 502019, Current HP: 709, A Avg: 90224, D Avg: 502019, [Gladius[162, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 909: HP: 718, STR: 372, VIT: 418078, SPD: 18, LUK: 1, Attack: 85210, Defense: 502019, Current HP: 718, A Avg: 89470, D Avg: 502019, [Willow Blade[157, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 908: HP: 1012, STR: 304, VIT: 418078, SPD: 18, LUK: 1, Attack: 85227, Defense: 502019, Current HP: 1012, A Avg: 89488, D Avg: 502019, [Pangaea[164, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 907: HP: 718, STR: 225, VIT: 418081, SPD: 18, LUK: 1, Attack: 85700, Defense: 502022, Current HP: 718, A Avg: 89985, D Avg: 502022, [Elemental[121, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 906: HP: 812, STR: 275, VIT: 418081, SPD: 18, LUK: 1, Attack: 84925, Defense: 502022, Current HP: 812, A Avg: 89171, D Avg: 502022, [Diamond Knuckle[152, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 905: HP: 461, STR: 547, VIT: 418156, SPD: 18, LUK: 1, Attack: 85335, Defense: 502025, Current HP: 461, A Avg: 89601, D Avg: 502025, [Pulse Knife[165, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 904: HP: 602, STR: 325, VIT: 418087, SPD: 18, LUK: 1, Attack: 85163, Defense: 502028, Current HP: 602, A Avg: 89421, D Avg: 502028, [Classic[168, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 903: HP: 461, STR: 547, VIT: 418168, SPD: 18, LUK: 1, Attack: 85335, Defense: 502031, Current HP: 461, A Avg: 89601, D Avg: 502031, [Pulse Knife[165, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 902: HP: 892, STR: 214, VIT: 418162, SPD: 18, LUK: 1, Attack: 84922, Defense: 502031, Current HP: 892, A Avg: 89168, D Avg: 502031, [Thin Blade[158, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
