Rank 1000: HP: 1713, STR: 482, VIT: 560065, SPD: 63, LUK: 1, Attack: 84592, Defense: 643902, Current HP: 1713, A Avg: 88821, D Avg: 643902, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 973: HP: 1469, STR: 266, VIT: 559676, SPD: 63, LUK: 1, Attack: 84041, Defense: 643916, Current HP: 1469, A Avg: 88243, D Avg: 643916, [Peacemaker[131, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 972: HP: 1511, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 84150, Defense: 643916, Current HP: 1511, A Avg: 88357, D Avg: 643916, [Daydream[132, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 971: HP: 2372, STR: 554, VIT: 559676, SPD: 63, LUK: 1, Attack: 86237, Defense: 643916, Current HP: 2372, A Avg: 90548, D Avg: 643916, [Dancing[155, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 970: HP: 1448, STR: 939, VIT: 559676, SPD: 63, LUK: 1, Attack: 85595, Defense: 643916, Current HP: 1448, A Avg: 89874, D Avg: 643916, [Penetra[161, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 969: HP: 1448, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 85089, Defense: 643916, Current HP: 1448, A Avg: 89343, D Avg: 643916, [Grand Slam[163, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 968: HP: 1658, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 85216, Defense: 643916, Current HP: 1658, A Avg: 89476, D Avg: 643916, [Cluster Bomb[170, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 967: HP: 2078, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 92434, Defense: 643916, Current HP: 2078, A Avg: 97055, D Avg: 643916, [Big Bang[171, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 966: HP: 5732, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 85301, Defense: 643916, Current HP: 5732, A Avg: 89566, D Avg: 643916, [Common Key[174, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 965: HP: 2078, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 86490, Defense: 643916, Current HP: 2078, A Avg: 90814, D Avg: 643916, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 964: HP: 1448, STR: 1922, VIT: 559676, SPD: 63, LUK: 1, Attack: 86851, Defense: 643916, Current HP: 1448, A Avg: 91193, D Avg: 643916, [Jack Knife[185, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 963: HP: 1448, STR: 2696, VIT: 559676, SPD: 63, LUK: 1, Attack: 87274, Defense: 643916, Current HP: 1448, A Avg: 91637, D Avg: 643916, [Magical[187, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 962: HP: 1448, STR: 734, VIT: 559676, SPD: 63, LUK: 1, Attack: 87785, Defense: 643916, Current HP: 1448, A Avg: 92174, D Avg: 643916, [Tekken[188, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 961: HP: 1448, STR: -60891, VIT: 559676, SPD: 63, LUK: 1, Attack: 38375, Defense: 643916, Current HP: 1448, A Avg: 40293, D Avg: 643916, [Sword of Evil[189, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 960: HP: 1448, STR: 3056, VIT: 559676, SPD: 63, LUK: 1, Attack: 90717, Defense: 643916, Current HP: 1448, A Avg: 95252, D Avg: 643916, [Neural Edge[190, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 959: HP: 1600, STR: 802, VIT: 559990, SPD: 63, LUK: 1, Attack: 85640, Defense: 643918, Current HP: 1600, A Avg: 89922, D Avg: 643918, [Classic[168, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 958: HP: 2099, STR: 615, VIT: 560082, SPD: 63, LUK: 1, Attack: 85713, Defense: 643919, Current HP: 2099, A Avg: 89998, D Avg: 643919, [Yggdrasil[126, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 957: HP: 1742, STR: 559, VIT: 560082, SPD: 63, LUK: 1, Attack: 85384, Defense: 643919, Current HP: 1742, A Avg: 89653, D Avg: 643919, [Kraken[145, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 956: HP: 1805, STR: 484, VIT: 560082, SPD: 63, LUK: 1, Attack: 85296, Defense: 643919, Current HP: 1805, A Avg: 89560, D Avg: 643919, [Granada[150, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 955: HP: 1295, STR: 504, VIT: 559978, SPD: 63, LUK: 1, Attack: 84614, Defense: 643919, Current HP: 1295, A Avg: 88844, D Avg: 643919, [Windmill[137, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 954: HP: 1285, STR: 432, VIT: 559981, SPD: 63, LUK: 1, Attack: 84432, Defense: 643922, Current HP: 1285, A Avg: 88653, D Avg: 643922, [Kirisame[129, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 953: HP: 1663, STR: 441, VIT: 559981, SPD: 63, LUK: 1, Attack: 84562, Defense: 643922, Current HP: 1663, A Avg: 88790, D Avg: 643922, [Black Kirisame[130, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 952: HP: 1650, STR: 622, VIT: 559981, SPD: 63, LUK: 1, Attack: 86370, Defense: 643922, Current HP: 1650, A Avg: 90688, D Avg: 643922, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 951: HP: 1885, STR: 493, VIT: 560088, SPD: 63, LUK: 1, Attack: 84525, Defense: 643925, Current HP: 1885, A Avg: 88751, D Avg: 643925, [Alucard[146, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 950: HP: 1684, STR: 441, VIT: 559984, SPD: 63, LUK: 1, Attack: 84551, Defense: 643925, Current HP: 1684, A Avg: 88778, D Avg: 643925, [Serpent[144, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 949: HP: 1448, STR: 432, VIT: 559998, SPD: 63, LUK: 1, Attack: 85907, Defense: 643926, Current HP: 1448, A Avg: 90202, D Avg: 643926, [Elemental[121, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 948: HP: 1805, STR: 572, VIT: 559998, SPD: 63, LUK: 1, Attack: 85222, Defense: 643926, Current HP: 1805, A Avg: 89483, D Avg: 643926, [Diamond Knuckle[152, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 947: HP: 1877, STR: 567, VIT: 559990, SPD: 63, LUK: 1, Attack: 85533, Defense: 643931, Current HP: 1877, A Avg: 89809, D Avg: 643931, [Red Shark[134, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 946: HP: 4976, STR: 2948, VIT: 560062, SPD: 63, LUK: 1, Attack: 88761, Defense: 643931, Current HP: 4976, A Avg: 93199, D Avg: 643931, [Spear of Regression[182, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 945: HP: 1070, STR: 802, VIT: 560004, SPD: 63, LUK: 1, Attack: 85640, Defense: 643932, Current HP: 1070, A Avg: 89922, D Avg: 643932, [Classic[168, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 944: HP: 1805, STR: 444, VIT: 559694, SPD: 63, LUK: 1, Attack: 84411, Defense: 643934, Current HP: 1805, A Avg: 88631, D Avg: 643934, [Phantom Sword[117, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 943: HP: 1999, STR: 432, VIT: 559998, SPD: 63, LUK: 1, Attack: 84750, Defense: 643939, Current HP: 1999, A Avg: 88987, D Avg: 643939, [Ruby Knuckle[151, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 942: HP: 1448, STR: 554, VIT: 560082, SPD: 63, LUK: 1, Attack: 85886, Defense: 643945, Current HP: 1448, A Avg: 90180, D Avg: 643945, [Tower[149, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 941: HP: 1459, STR: 370, VIT: 559705, SPD: 63, LUK: 1, Attack: 84213, Defense: 643945, Current HP: 1459, A Avg: 88423, D Avg: 643945, [Salamander[110, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 940: HP: 1448, STR: 432, VIT: 559705, SPD: 63, LUK: 1, Attack: 84516, Defense: 643945, Current HP: 1448, A Avg: 88741, D Avg: 643945, [Phantom Scythe[116, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 939: HP: 1459, STR: 370, VIT: 559705, SPD: 63, LUK: 1, Attack: 84242, Defense: 643945, Current HP: 1459, A Avg: 88454, D Avg: 643945, [Undine[118, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 938: HP: 1459, STR: 370, VIT: 559705, SPD: 63, LUK: 1, Attack: 84269, Defense: 643945, Current HP: 1459, A Avg: 88482, D Avg: 643945, [Sylph[119, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 937: HP: 1459, STR: 370, VIT: 559705, SPD: 63, LUK: 1, Attack: 84296, Defense: 643945, Current HP: 1459, A Avg: 88510, D Avg: 643945, [Gnome[120, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 936: HP: 1570, STR: 610, VIT: 560088, SPD: 63, LUK: 1, Attack: 85653, Defense: 643957, Current HP: 1570, A Avg: 89935, D Avg: 643957, [White Snake[160, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 935: HP: 1490, STR: 275, VIT: 559720, SPD: 63, LUK: 1, Attack: 88442, Defense: 643960, Current HP: 1490, A Avg: 92864, D Avg: 643960, [Basic[169, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 934: HP: 1742, STR: 799, VIT: 560097, SPD: 63, LUK: 1, Attack: 87145, Defense: 643966, Current HP: 1742, A Avg: 91502, D Avg: 643966, [Progress[147, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 933: HP: 1663, STR: 792, VIT: 560027, SPD: 63, LUK: 1, Attack: 85526, Defense: 643968, Current HP: 1663, A Avg: 89802, D Avg: 643968, [Irruption[154, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 932: HP: 1364, STR: 939, VIT: 560082, SPD: 63, LUK: 1, Attack: 85777, Defense: 643971, Current HP: 1364, A Avg: 90065, D Avg: 643971, [Willow Blade[157, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 931: HP: 2183, STR: 781, VIT: 560082, SPD: 63, LUK: 1, Attack: 85704, Defense: 643971, Current HP: 2183, A Avg: 89989, D Avg: 643971, [Pangaea[164, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 930: HP: 1007, STR: 712, VIT: 560175, SPD: 63, LUK: 1, Attack: 87240, Defense: 643979, Current HP: 1007, A Avg: 91602, D Avg: 643979, [Moon Knuckle[153, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 929: HP: 986, STR: 2311, VIT: 560175, SPD: 63, LUK: 1, Attack: 88189, Defense: 643979, Current HP: 986, A Avg: 92598, D Avg: 643979, [Blue Sword[180, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 928: HP: 1978, STR: 939, VIT: 560053, SPD: 63, LUK: 1, Attack: 85777, Defense: 643981, Current HP: 1978, A Avg: 90065, D Avg: 643981, [Willow Blade[157, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 927: HP: 2797, STR: 781, VIT: 560053, SPD: 63, LUK: 1, Attack: 85704, Defense: 643981, Current HP: 2797, A Avg: 89989, D Avg: 643981, [Pangaea[164, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 926: HP: 1742, STR: 484, VIT: 560152, SPD: 63, LUK: 1, Attack: 84425, Defense: 643989, Current HP: 1742, A Avg: 88646, D Avg: 643989, [Rusty Knife[156, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 925: HP: 1448, STR: 939, VIT: 560068, SPD: 63, LUK: 1, Attack: 85777, Defense: 643996, Current HP: 1448, A Avg: 90065, D Avg: 643996, [Willow Blade[157, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 924: HP: 2267, STR: 781, VIT: 560068, SPD: 63, LUK: 1, Attack: 85704, Defense: 643996, Current HP: 2267, A Avg: 89989, D Avg: 643996, [Pangaea[164, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 923: HP: 1448, STR: 554, VIT: 560111, SPD: 63, LUK: 1, Attack: 85886, Defense: 644000, Current HP: 1448, A Avg: 90180, D Avg: 644000, [Tower[149, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 922: HP: 4976, STR: 2948, VIT: 560146, SPD: 63, LUK: 1, Attack: 88761, Defense: 644009, Current HP: 4976, A Avg: 93199, D Avg: 644009, [Spear of Regression[182, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 921: HP: 2062, STR: 554, VIT: 560082, SPD: 63, LUK: 1, Attack: 85886, Defense: 644010, Current HP: 2062, A Avg: 90180, D Avg: 644010, [Tower[149, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 920: HP: 1448, STR: 379, VIT: 559775, SPD: 63, LUK: 1, Attack: 84255, Defense: 644015, Current HP: 1448, A Avg: 88467, D Avg: 644015, [Tornado[111, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 919: HP: 1805, STR: 370, VIT: 559775, SPD: 63, LUK: 1, Attack: 84395, Defense: 644015, Current HP: 1805, A Avg: 88614, D Avg: 644015, [Fairy Sword[113, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 918: HP: 1448, STR: 450, VIT: 559775, SPD: 63, LUK: 1, Attack: 84599, Defense: 644015, Current HP: 1448, A Avg: 88828, D Avg: 644015, [Giant Tornado[114, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 917: HP: 1463, STR: 379, VIT: 559775, SPD: 63, LUK: 1, Attack: 84195, Defense: 644015, Current HP: 1463, A Avg: 88404, D Avg: 644015, [Hand Axe[140, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 916: HP: 1469, STR: 432, VIT: 559775, SPD: 63, LUK: 1, Attack: 84425, Defense: 644015, Current HP: 1469, A Avg: 88646, D Avg: 644015, [Wooden Boomerang[167, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 915: HP: 1742, STR: 432, VIT: 560181, SPD: 63, LUK: 1, Attack: 85907, Defense: 644018, Current HP: 1742, A Avg: 90202, D Avg: 644018, [Elemental[121, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 914: HP: 2099, STR: 572, VIT: 560181, SPD: 63, LUK: 1, Attack: 85222, Defense: 644018, Current HP: 2099, A Avg: 89483, D Avg: 644018, [Diamond Knuckle[152, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 913: HP: 1610, STR: 383, VIT: 559778, SPD: 63, LUK: 1, Attack: 84181, Defense: 644018, Current HP: 1610, A Avg: 88390, D Avg: 644018, [Ninja[135, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 912: HP: 1633, STR: 500, VIT: 560079, SPD: 63, LUK: 1, Attack: 84610, Defense: 644020, Current HP: 1633, A Avg: 88840, D Avg: 644020, [Dragon Killer[139, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 911: HP: 1663, STR: 504, VIT: 560079, SPD: 63, LUK: 1, Attack: 85017, Defense: 644020, Current HP: 1663, A Avg: 89267, D Avg: 644020, [Volcano[142, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 910: HP: 1465, STR: 379, VIT: 559781, SPD: 63, LUK: 1, Attack: 84385, Defense: 644021, Current HP: 1465, A Avg: 88604, D Avg: 644021, [Crescent[141, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 909: HP: 1684, STR: 500, VIT: 560082, SPD: 63, LUK: 1, Attack: 86469, Defense: 644023, Current HP: 1684, A Avg: 90792, D Avg: 644023, [Fire Chariot[138, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 908: HP: 1364, STR: 802, VIT: 560187, SPD: 63, LUK: 1, Attack: 85640, Defense: 644024, Current HP: 1364, A Avg: 89922, D Avg: 644024, [Classic[168, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 907: HP: 1868, STR: 2487, VIT: 559792, SPD: 63, LUK: 1, Attack: 92396, Defense: 644032, Current HP: 1868, A Avg: 97015, D Avg: 644032, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 906: HP: 1007, STR: 712, VIT: 560166, SPD: 63, LUK: 1, Attack: 87240, Defense: 644035, Current HP: 1007, A Avg: 91602, D Avg: 644035, [Moon Knuckle[153, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 905: HP: 1570, STR: 610, VIT: 560172, SPD: 63, LUK: 1, Attack: 85653, Defense: 644035, Current HP: 1570, A Avg: 89935, D Avg: 644035, [White Snake[160, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 904: HP: 986, STR: 2311, VIT: 560166, SPD: 63, LUK: 1, Attack: 88189, Defense: 644035, Current HP: 986, A Avg: 92598, D Avg: 644035, [Blue Sword[180, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 903: HP: 2020, STR: 633, VIT: 560097, SPD: 63, LUK: 1, Attack: 85731, Defense: 644038, Current HP: 2020, A Avg: 90017, D Avg: 644038, [Yggdrasil[126, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
