Rank 1000: HP: 2551, STR: 302, VIT: 806495, SPD: 90, LUK: 1, Attack: 86544, Defense: 890735, Current HP: 2551, A Avg: 90871, D Avg: 890735, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 972: HP: 1837, STR: 567, VIT: 806933, SPD: 90, LUK: 1, Attack: 86042, Defense: 890796, Current HP: 1837, A Avg: 90344, D Avg: 890796, [Elemental[121, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 971: HP: 2351, STR: 761, VIT: 806933, SPD: 90, LUK: 1, Attack: 85411, Defense: 890796, Current HP: 2351, A Avg: 89681, D Avg: 890796, [Diamond Knuckle[152, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 970: HP: 2372, STR: 1044, VIT: 806962, SPD: 90, LUK: 1, Attack: 85778, Defense: 890799, Current HP: 2372, A Avg: 90066, D Avg: 890799, [Irruption[154, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 969: HP: 1301, STR: 1099, VIT: 806939, SPD: 90, LUK: 1, Attack: 85937, Defense: 890802, Current HP: 1301, A Avg: 90233, D Avg: 890802, [Classic[168, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 968: HP: 1921, STR: 743, VIT: 806948, SPD: 90, LUK: 1, Attack: 86075, Defense: 890817, Current HP: 1921, A Avg: 90378, D Avg: 890817, [Tower[149, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 967: HP: 1837, STR: 646, VIT: 806933, SPD: 90, LUK: 1, Attack: 84587, Defense: 890822, Current HP: 1837, A Avg: 88816, D Avg: 890822, [Rusty Knife[156, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 966: HP: 2702, STR: 646, VIT: 806904, SPD: 90, LUK: 1, Attack: 84587, Defense: 890832, Current HP: 2702, A Avg: 88816, D Avg: 890832, [Rusty Knife[156, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 965: HP: 1921, STR: 646, VIT: 806919, SPD: 90, LUK: 1, Attack: 84587, Defense: 890847, Current HP: 1921, A Avg: 88816, D Avg: 890847, [Rusty Knife[156, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 964: HP: 1837, STR: 567, VIT: 806962, SPD: 90, LUK: 1, Attack: 86042, Defense: 890851, Current HP: 1837, A Avg: 90344, D Avg: 890851, [Elemental[121, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 963: HP: 2351, STR: 761, VIT: 806962, SPD: 90, LUK: 1, Attack: 85411, Defense: 890851, Current HP: 2351, A Avg: 89681, D Avg: 890851, [Diamond Knuckle[152, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 962: HP: 2341, STR: 3000, VIT: 806611, SPD: 90, LUK: 1, Attack: 92909, Defense: 890851, Current HP: 2341, A Avg: 97554, D Avg: 890851, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 961: HP: 1301, STR: 1099, VIT: 806968, SPD: 90, LUK: 1, Attack: 85937, Defense: 890857, Current HP: 1301, A Avg: 90233, D Avg: 890857, [Classic[168, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 960: HP: 1757, STR: 302, VIT: 806919, SPD: 90, LUK: 1, Attack: 84490, Defense: 890860, Current HP: 1757, A Avg: 88714, D Avg: 890860, [Cagliostro[133, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 959: HP: 2702, STR: 567, VIT: 806933, SPD: 90, LUK: 1, Attack: 86042, Defense: 890861, Current HP: 2702, A Avg: 90344, D Avg: 890861, [Elemental[121, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 958: HP: 3217, STR: 761, VIT: 806933, SPD: 90, LUK: 1, Attack: 85411, Defense: 890861, Current HP: 3217, A Avg: 89681, D Avg: 890861, [Diamond Knuckle[152, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 957: HP: 2167, STR: 1099, VIT: 806939, SPD: 90, LUK: 1, Attack: 85937, Defense: 890867, Current HP: 2167, A Avg: 90233, D Avg: 890867, [Classic[168, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 956: HP: 1705, STR: 666, VIT: 806927, SPD: 90, LUK: 1, Attack: 84776, Defense: 890868, Current HP: 1705, A Avg: 89014, D Avg: 890868, [Windmill[137, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 955: HP: 1694, STR: 567, VIT: 806930, SPD: 90, LUK: 1, Attack: 84567, Defense: 890871, Current HP: 1694, A Avg: 88795, D Avg: 890871, [Kirisame[129, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 954: HP: 2230, STR: 576, VIT: 806930, SPD: 90, LUK: 1, Attack: 84697, Defense: 890871, Current HP: 2230, A Avg: 88931, D Avg: 890871, [Black Kirisame[130, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 953: HP: 2217, STR: 838, VIT: 806930, SPD: 90, LUK: 1, Attack: 86586, Defense: 890871, Current HP: 2217, A Avg: 90915, D Avg: 890871, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 952: HP: 2251, STR: 576, VIT: 806933, SPD: 90, LUK: 1, Attack: 84686, Defense: 890874, Current HP: 2251, A Avg: 88920, D Avg: 890874, [Serpent[144, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 951: HP: 1921, STR: 567, VIT: 806948, SPD: 90, LUK: 1, Attack: 86042, Defense: 890876, Current HP: 1921, A Avg: 90344, D Avg: 890876, [Elemental[121, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 950: HP: 2435, STR: 761, VIT: 806948, SPD: 90, LUK: 1, Attack: 85411, Defense: 890876, Current HP: 2435, A Avg: 89681, D Avg: 890876, [Diamond Knuckle[152, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 949: HP: 1921, STR: 487, VIT: 806637, SPD: 90, LUK: 1, Attack: 84363, Defense: 890877, Current HP: 1921, A Avg: 88581, D Avg: 890877, [Tornado[111, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 948: HP: 2435, STR: 478, VIT: 806637, SPD: 90, LUK: 1, Attack: 84503, Defense: 890877, Current HP: 2435, A Avg: 88728, D Avg: 890877, [Fairy Sword[113, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 947: HP: 1921, STR: 585, VIT: 806637, SPD: 90, LUK: 1, Attack: 84734, Defense: 890877, Current HP: 1921, A Avg: 88970, D Avg: 890877, [Giant Tornado[114, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 946: HP: 1936, STR: 487, VIT: 806637, SPD: 90, LUK: 1, Attack: 84303, Defense: 890877, Current HP: 1936, A Avg: 88518, D Avg: 890877, [Hand Axe[140, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 945: HP: 1942, STR: 567, VIT: 806637, SPD: 90, LUK: 1, Attack: 84560, Defense: 890877, Current HP: 1942, A Avg: 88788, D Avg: 890877, [Wooden Boomerang[167, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 944: HP: 2538, STR: 756, VIT: 806939, SPD: 90, LUK: 1, Attack: 85722, Defense: 890880, Current HP: 2538, A Avg: 90008, D Avg: 890880, [Red Shark[134, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 943: HP: 2146, STR: 491, VIT: 806640, SPD: 90, LUK: 1, Attack: 84289, Defense: 890880, Current HP: 2146, A Avg: 88503, D Avg: 890880, [Ninja[135, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 942: HP: 1385, STR: 1099, VIT: 806954, SPD: 90, LUK: 1, Attack: 85937, Defense: 890882, Current HP: 1385, A Avg: 90233, D Avg: 890882, [Classic[168, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 941: HP: 1938, STR: 487, VIT: 806643, SPD: 90, LUK: 1, Attack: 84493, Defense: 890883, Current HP: 1938, A Avg: 88717, D Avg: 890883, [Crescent[141, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 940: HP: 2723, STR: 567, VIT: 806948, SPD: 90, LUK: 1, Attack: 84885, Defense: 890889, Current HP: 2723, A Avg: 89129, D Avg: 890889, [Ruby Knuckle[151, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 939: HP: 2106, STR: 826, VIT: 807090, SPD: 90, LUK: 1, Attack: 85869, Defense: 890894, Current HP: 2106, A Avg: 90162, D Avg: 890894, [White Snake[160, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 938: HP: 2312, STR: 644, VIT: 807058, SPD: 90, LUK: 1, Attack: 84754, Defense: 890895, Current HP: 2312, A Avg: 88991, D Avg: 890895, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 937: HP: 2372, STR: 648, VIT: 807058, SPD: 90, LUK: 1, Attack: 85161, Defense: 890895, Current HP: 2372, A Avg: 89419, D Avg: 890895, [Volcano[142, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 936: HP: 2393, STR: 644, VIT: 807061, SPD: 90, LUK: 1, Attack: 86613, Defense: 890898, Current HP: 2393, A Avg: 90943, D Avg: 890898, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 935: HP: 2372, STR: 1096, VIT: 807099, SPD: 90, LUK: 1, Attack: 87442, Defense: 890903, Current HP: 2372, A Avg: 91814, D Avg: 890903, [Progress[147, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 934: HP: 2456, STR: 673, VIT: 806666, SPD: 90, LUK: 1, Attack: 85355, Defense: 890906, Current HP: 2456, A Avg: 89622, D Avg: 890906, [Thunder Whip[143, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 933: HP: 1837, STR: 1290, VIT: 807046, SPD: 90, LUK: 1, Attack: 86128, Defense: 890909, Current HP: 1837, A Avg: 90434, D Avg: 890909, [Willow Blade[157, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 932: HP: 2971, STR: 1078, VIT: 807046, SPD: 90, LUK: 1, Attack: 86001, Defense: 890909, Current HP: 2971, A Avg: 90301, D Avg: 890909, [Pangaea[164, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 931: HP: 2887, STR: 831, VIT: 807075, SPD: 90, LUK: 1, Attack: 85929, Defense: 890912, Current HP: 2887, A Avg: 90225, D Avg: 890912, [Yggdrasil[126, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 930: HP: 2372, STR: 748, VIT: 807075, SPD: 90, LUK: 1, Attack: 85573, Defense: 890912, Current HP: 2372, A Avg: 89851, D Avg: 890912, [Kraken[145, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 929: HP: 2435, STR: 646, VIT: 807075, SPD: 90, LUK: 1, Attack: 85458, Defense: 890912, Current HP: 2435, A Avg: 89730, D Avg: 890912, [Granada[150, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 928: HP: 6866, STR: 3407, VIT: 807052, SPD: 90, LUK: 1, Attack: 89220, Defense: 890915, Current HP: 6866, A Avg: 93681, D Avg: 890915, [Spear of Regression[182, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 927: HP: 2578, STR: 655, VIT: 807081, SPD: 90, LUK: 1, Attack: 84687, Defense: 890918, Current HP: 2578, A Avg: 88921, D Avg: 890918, [Alucard[146, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 926: HP: 2230, STR: 1062, VIT: 806977, SPD: 90, LUK: 1, Attack: 85796, Defense: 890918, Current HP: 2230, A Avg: 90085, D Avg: 890918, [Irruption[154, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 925: HP: 1921, STR: 743, VIT: 807075, SPD: 90, LUK: 1, Attack: 86075, Defense: 890938, Current HP: 1921, A Avg: 90378, D Avg: 890938, [Tower[149, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 924: HP: 2106, STR: 826, VIT: 807081, SPD: 90, LUK: 1, Attack: 85869, Defense: 890950, Current HP: 2106, A Avg: 90162, D Avg: 890950, [White Snake[160, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 923: HP: 2372, STR: 1096, VIT: 807090, SPD: 90, LUK: 1, Attack: 87442, Defense: 890959, Current HP: 2372, A Avg: 91814, D Avg: 890959, [Progress[147, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 922: HP: 1837, STR: 1290, VIT: 807075, SPD: 90, LUK: 1, Attack: 86128, Defense: 890964, Current HP: 1837, A Avg: 90434, D Avg: 890964, [Willow Blade[157, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 921: HP: 2971, STR: 1078, VIT: 807075, SPD: 90, LUK: 1, Attack: 86001, Defense: 890964, Current HP: 2971, A Avg: 90301, D Avg: 890964, [Pangaea[164, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 920: HP: 6866, STR: 3407, VIT: 807081, SPD: 90, LUK: 1, Attack: 89220, Defense: 890970, Current HP: 6866, A Avg: 93681, D Avg: 890970, [Spear of Regression[182, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 919: HP: 2702, STR: 1290, VIT: 807046, SPD: 90, LUK: 1, Attack: 86128, Defense: 890974, Current HP: 2702, A Avg: 90434, D Avg: 890974, [Willow Blade[157, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 918: HP: 3836, STR: 1078, VIT: 807046, SPD: 90, LUK: 1, Attack: 86001, Defense: 890974, Current HP: 3836, A Avg: 90301, D Avg: 890974, [Pangaea[164, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 917: HP: 7732, STR: 3407, VIT: 807052, SPD: 90, LUK: 1, Attack: 89220, Defense: 890980, Current HP: 7732, A Avg: 93681, D Avg: 890980, [Spear of Regression[182, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 916: HP: 1921, STR: 1290, VIT: 807061, SPD: 90, LUK: 1, Attack: 86128, Defense: 890989, Current HP: 1921, A Avg: 90434, D Avg: 890989, [Willow Blade[157, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 915: HP: 3055, STR: 1078, VIT: 807061, SPD: 90, LUK: 1, Attack: 86001, Defense: 890989, Current HP: 3055, A Avg: 90301, D Avg: 890989, [Pangaea[164, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 914: HP: 1921, STR: 743, VIT: 807104, SPD: 90, LUK: 1, Attack: 86075, Defense: 890993, Current HP: 1921, A Avg: 90378, D Avg: 890993, [Tower[149, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 913: HP: 6950, STR: 3407, VIT: 807067, SPD: 90, LUK: 1, Attack: 89220, Defense: 890995, Current HP: 6950, A Avg: 93681, D Avg: 890995, [Spear of Regression[182, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 912: HP: 2786, STR: 743, VIT: 807075, SPD: 90, LUK: 1, Attack: 86075, Defense: 891003, Current HP: 2786, A Avg: 90378, D Avg: 891003, [Tower[149, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 911: HP: 2169, STR: 662, VIT: 807072, SPD: 90, LUK: 1, Attack: 84772, Defense: 891013, Current HP: 2169, A Avg: 89010, D Avg: 891013, [Dragon Killer[139, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 910: HP: 2230, STR: 666, VIT: 807072, SPD: 90, LUK: 1, Attack: 85179, Defense: 891013, Current HP: 2230, A Avg: 89437, D Avg: 891013, [Volcano[142, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 909: HP: 1322, STR: 955, VIT: 807212, SPD: 90, LUK: 1, Attack: 87483, Defense: 891016, Current HP: 1322, A Avg: 91857, D Avg: 891016, [Moon Knuckle[153, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 908: HP: 1301, STR: 3283, VIT: 807212, SPD: 90, LUK: 1, Attack: 89161, Defense: 891016, Current HP: 1301, A Avg: 93619, D Avg: 891016, [Blue Sword[180, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 907: HP: 2251, STR: 662, VIT: 807075, SPD: 90, LUK: 1, Attack: 86631, Defense: 891016, Current HP: 2251, A Avg: 90962, D Avg: 891016, [Fire Chariot[138, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 906: HP: 2477, STR: 478, VIT: 806780, SPD: 90, LUK: 1, Attack: 84334, Defense: 891020, Current HP: 2477, A Avg: 88550, D Avg: 891020, [Emerald Sword[115, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 905: HP: 2372, STR: 646, VIT: 807188, SPD: 90, LUK: 1, Attack: 84587, Defense: 891025, Current HP: 2372, A Avg: 88816, D Avg: 891025, [Rusty Knife[156, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 904: HP: 2230, STR: 576, VIT: 806785, SPD: 90, LUK: 1, Attack: 84478, Defense: 891025, Current HP: 2230, A Avg: 88701, D Avg: 891025, [Crossed Shuriken[136, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 903: HP: 2744, STR: 849, VIT: 807090, SPD: 90, LUK: 1, Attack: 85947, Defense: 891031, Current HP: 2744, A Avg: 90244, D Avg: 891031, [Yggdrasil[126, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
