Rank 1000: HP: 399, STR: 566, VIT: 462, SPD: 19, LUK: 1, Attack: 85222, Defense: 90240, Current HP: 399, A Avg: 89483, D Avg: 90240, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 989: HP: 418, STR: 539, VIT: 462, SPD: 16, LUK: 2, Attack: 86079, Defense: 90240, Current HP: 418, A Avg: 90382, D Avg: 90240, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 988: HP: 399, STR: 1401, VIT: 462, SPD: 19, LUK: 1, Attack: 86330, Defense: 90240, Current HP: 399, A Avg: 90646, D Avg: 90240, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 987: HP: 399, STR: 1219, VIT: 462, SPD: 19, LUK: 1, Attack: 85797, Defense: 90240, Current HP: 399, A Avg: 90086, D Avg: 90240, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 986: HP: 399, STR: 660, VIT: 462, SPD: 19, LUK: 1, Attack: 87711, Defense: 90240, Current HP: 399, A Avg: 92096, D Avg: 90240, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 985: HP: 399, STR: -23094, VIT: 462, SPD: 19, LUK: 1, Attack: 76172, Defense: 90240, Current HP: 399, A Avg: 79980, D Avg: 90240, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 984: HP: 399, STR: 1739, VIT: 462, SPD: 19, LUK: 1, Attack: 89400, Defense: 90240, Current HP: 399, A Avg: 93870, D Avg: 90240, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 983: HP: 503, STR: 229, VIT: 462, SPD: 18, LUK: 1, Attack: 84229, Defense: 90240, Current HP: 503, A Avg: 88440, D Avg: 90240, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 982: HP: 619, STR: 243, VIT: 462, SPD: 18, LUK: 1, Attack: 84364, Defense: 90240, Current HP: 619, A Avg: 88582, D Avg: 90240, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 981: HP: 606, STR: 316, VIT: 462, SPD: 18, LUK: 1, Attack: 86064, Defense: 90240, Current HP: 606, A Avg: 90367, D Avg: 90240, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 980: HP: 480, STR: 142, VIT: 462, SPD: 25, LUK: 1, Attack: 85185, Defense: 90240, Current HP: 480, A Avg: 89444, D Avg: 90240, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 979: HP: 518, STR: 316, VIT: 462, SPD: 16, LUK: 1, Attack: 85359, Defense: 90240, Current HP: 518, A Avg: 91760, D Avg: 90240, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 978: HP: 370, STR: 324, VIT: 462, SPD: 17, LUK: 1, Attack: 84837, Defense: 90240, Current HP: 370, A Avg: 106046, D Avg: 90240, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 977: HP: 640, STR: 243, VIT: 464, SPD: 18, LUK: 1, Attack: 84353, Defense: 90242, Current HP: 640, A Avg: 88570, D Avg: 90242, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 976: HP: 304, STR: 193, VIT: 465, SPD: 25, LUK: 1, Attack: 86721, Defense: 90243, Current HP: 304, A Avg: 91057, D Avg: 90243, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 975: HP: 342, STR: 408, VIT: 465, SPD: 16, LUK: 1, Attack: 86936, Defense: 90243, Current HP: 342, A Avg: 93456, D Avg: 90243, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 974: HP: 427, STR: 534, VIT: 465, SPD: 16, LUK: 1, Attack: 85372, Defense: 90243, Current HP: 427, A Avg: 89640, D Avg: 90243, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 973: HP: 693, STR: 335, VIT: 465, SPD: 16, LUK: 1, Attack: 85258, Defense: 90243, Current HP: 693, A Avg: 89520, D Avg: 90243, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 972: HP: 285, STR: 634, VIT: 465, SPD: 25, LUK: 1, Attack: 86512, Defense: 90243, Current HP: 285, A Avg: 90837, D Avg: 90243, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 971: HP: 323, STR: 920, VIT: 465, SPD: 16, LUK: 1, Attack: 86798, Defense: 90243, Current HP: 323, A Avg: 93307, D Avg: 90243, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 970: HP: 427, STR: 271, VIT: 467, SPD: 16, LUK: 1, Attack: 85746, Defense: 90245, Current HP: 427, A Avg: 90033, D Avg: 90245, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 969: HP: 494, STR: 190, VIT: 467, SPD: 25, LUK: 1, Attack: 86536, Defense: 90245, Current HP: 494, A Avg: 90862, D Avg: 90245, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 968: HP: 532, STR: 403, VIT: 467, SPD: 16, LUK: 1, Attack: 86749, Defense: 90245, Current HP: 532, A Avg: 93255, D Avg: 90245, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 967: HP: 513, STR: 293, VIT: 467, SPD: 16, LUK: 1, Attack: 84943, Defense: 90245, Current HP: 513, A Avg: 89190, D Avg: 90245, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 966: HP: 676, STR: 299, VIT: 468, SPD: 18, LUK: 1, Attack: 85265, Defense: 90246, Current HP: 676, A Avg: 89528, D Avg: 90246, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 965: HP: 300, STR: 237, VIT: 469, SPD: 17, LUK: 1, Attack: 84425, Defense: 90247, Current HP: 300, A Avg: 105531, D Avg: 90247, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 964: HP: 696, STR: 378, VIT: 470, SPD: 16, LUK: 1, Attack: 86256, Defense: 90248, Current HP: 696, A Avg: 90568, D Avg: 90248, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 963: HP: 494, STR: 318, VIT: 470, SPD: 29, LUK: 1, Attack: 86196, Defense: 90248, Current HP: 494, A Avg: 90505, D Avg: 108297, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 962: HP: 799, STR: 366, VIT: 470, SPD: 16, LUK: 1, Attack: 86244, Defense: 90248, Current HP: 799, A Avg: 90556, D Avg: 90248, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 961: HP: 638, STR: 462, VIT: 470, SPD: 16, LUK: 1, Attack: 86002, Defense: 90248, Current HP: 638, A Avg: 90302, D Avg: 90248, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 960: HP: 456, STR: 462, VIT: 470, SPD: 29, LUK: 1, Attack: 86002, Defense: 90248, Current HP: 456, A Avg: 90302, D Avg: 108297, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 959: HP: 735, STR: 510, VIT: 470, SPD: 16, LUK: 1, Attack: 86050, Defense: 90248, Current HP: 735, A Avg: 90352, D Avg: 90248, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 958: HP: 323, STR: 366, VIT: 470, SPD: 16, LUK: 1, Attack: 85204, Defense: 90248, Current HP: 323, A Avg: 89464, D Avg: 90248, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 957: HP: 484, STR: 371, VIT: 472, SPD: 19, LUK: 1, Attack: 84338, Defense: 90250, Current HP: 484, A Avg: 88554, D Avg: 90250, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 956: HP: 692, STR: 229, VIT: 473, SPD: 18, LUK: 1, Attack: 84547, Defense: 90251, Current HP: 692, A Avg: 88774, D Avg: 90251, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 955: HP: 250, STR: 351, VIT: 474, SPD: 17, LUK: 1, Attack: 84461, Defense: 90252, Current HP: 250, A Avg: 105576, D Avg: 90252, [Windmill[137, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 954: HP: 399, STR: 343, VIT: 476, SPD: 19, LUK: 1, Attack: 84219, Defense: 90254, Current HP: 399, A Avg: 88429, D Avg: 90254, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 953: HP: 484, STR: 330, VIT: 476, SPD: 19, LUK: 1, Attack: 84355, Defense: 90254, Current HP: 484, A Avg: 88572, D Avg: 90254, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 399, STR: 379, VIT: 476, SPD: 19, LUK: 1, Attack: 84528, Defense: 90254, Current HP: 399, A Avg: 88754, D Avg: 90254, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 951: HP: 412, STR: 343, VIT: 476, SPD: 19, LUK: 1, Attack: 84159, Defense: 90254, Current HP: 412, A Avg: 88366, D Avg: 90254, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 950: HP: 418, STR: 353, VIT: 476, SPD: 19, LUK: 1, Attack: 84346, Defense: 90254, Current HP: 418, A Avg: 88563, D Avg: 90254, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 949: HP: 240, STR: 310, VIT: 476, SPD: 17, LUK: 1, Attack: 84310, Defense: 90254, Current HP: 240, A Avg: 105387, D Avg: 90254, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 948: HP: 350, STR: 324, VIT: 476, SPD: 17, LUK: 1, Attack: 84445, Defense: 90254, Current HP: 350, A Avg: 105556, D Avg: 90254, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 947: HP: 338, STR: 394, VIT: 476, SPD: 17, LUK: 1, Attack: 86142, Defense: 90254, Current HP: 338, A Avg: 107677, D Avg: 90254, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 946: HP: 370, STR: 324, VIT: 477, SPD: 17, LUK: 1, Attack: 84434, Defense: 90255, Current HP: 370, A Avg: 105542, D Avg: 90255, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 945: HP: 450, STR: 348, VIT: 478, SPD: 19, LUK: 1, Attack: 84146, Defense: 90256, Current HP: 450, A Avg: 88353, D Avg: 90256, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 944: HP: 642, STR: 266, VIT: 478, SPD: 18, LUK: 1, Attack: 84376, Defense: 90256, Current HP: 642, A Avg: 88594, D Avg: 90256, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 943: HP: 619, STR: 271, VIT: 478, SPD: 18, LUK: 1, Attack: 84784, Defense: 90256, Current HP: 619, A Avg: 89023, D Avg: 90256, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 942: HP: 408, STR: 330, VIT: 478, SPD: 19, LUK: 1, Attack: 84173, Defense: 90256, Current HP: 408, A Avg: 88381, D Avg: 90256, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 941: HP: 399, STR: 353, VIT: 478, SPD: 19, LUK: 1, Attack: 84437, Defense: 90256, Current HP: 399, A Avg: 88658, D Avg: 90256, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 940: HP: 408, STR: 330, VIT: 478, SPD: 19, LUK: 1, Attack: 84202, Defense: 90256, Current HP: 408, A Avg: 88412, D Avg: 90256, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 939: HP: 408, STR: 330, VIT: 478, SPD: 19, LUK: 1, Attack: 84229, Defense: 90256, Current HP: 408, A Avg: 88440, D Avg: 90256, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 938: HP: 408, STR: 330, VIT: 478, SPD: 19, LUK: 1, Attack: 84256, Defense: 90256, Current HP: 408, A Avg: 88468, D Avg: 90256, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 937: HP: 475, STR: 318, VIT: 478, SPD: 25, LUK: 1, Attack: 86196, Defense: 90256, Current HP: 475, A Avg: 90505, D Avg: 90256, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 936: HP: 475, STR: 334, VIT: 478, SPD: 16, LUK: 2, Attack: 86212, Defense: 90256, Current HP: 475, A Avg: 90522, D Avg: 90256, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 935: HP: 456, STR: 569, VIT: 478, SPD: 16, LUK: 1, Attack: 86447, Defense: 90256, Current HP: 456, A Avg: 90769, D Avg: 90256, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 934: HP: 437, STR: 635, VIT: 478, SPD: 25, LUK: 1, Attack: 86175, Defense: 90256, Current HP: 437, A Avg: 90483, D Avg: 90256, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 933: HP: 437, STR: 478, VIT: 478, SPD: 16, LUK: 2, Attack: 86018, Defense: 90256, Current HP: 437, A Avg: 90318, D Avg: 90256, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 932: HP: 418, STR: 803, VIT: 478, SPD: 16, LUK: 1, Attack: 86343, Defense: 90256, Current HP: 418, A Avg: 90660, D Avg: 90256, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 931: HP: 923, STR: 2422, VIT: 478, SPD: 18, LUK: 1, Attack: 92331, Defense: 90256, Current HP: 923, A Avg: 96947, D Avg: 90256, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 930: HP: 414, STR: 343, VIT: 480, SPD: 19, LUK: 1, Attack: 84349, Defense: 90258, Current HP: 414, A Avg: 88566, D Avg: 90258, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 929: HP: 640, STR: 266, VIT: 480, SPD: 18, LUK: 1, Attack: 86235, Defense: 90258, Current HP: 640, A Avg: 90546, D Avg: 90258, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 928: HP: 503, STR: 267, VIT: 481, SPD: 16, LUK: 1, Attack: 85599, Defense: 90259, Current HP: 503, A Avg: 89878, D Avg: 90259, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 927: HP: 404, STR: 378, VIT: 481, SPD: 17, LUK: 1, Attack: 85344, Defense: 90259, Current HP: 404, A Avg: 106680, D Avg: 90259, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 926: HP: 655, STR: 220, VIT: 484, SPD: 16, LUK: 2, Attack: 85864, Defense: 90262, Current HP: 655, A Avg: 90157, D Avg: 90262, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 925: HP: 452, STR: 665, VIT: 484, SPD: 16, LUK: 1, Attack: 86309, Defense: 90262, Current HP: 452, A Avg: 90624, D Avg: 90262, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 924: HP: 452, STR: 249, VIT: 484, SPD: 16, LUK: 2, Attack: 85893, Defense: 90262, Current HP: 452, A Avg: 90187, D Avg: 90262, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 923: HP: 437, STR: 322, VIT: 486, SPD: 19, LUK: 1, Attack: 88489, Defense: 90264, Current HP: 437, A Avg: 92913, D Avg: 90264, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 922: HP: 841, STR: 448, VIT: 486, SPD: 16, LUK: 1, Attack: 86326, Defense: 90264, Current HP: 841, A Avg: 90642, D Avg: 90264, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 921: HP: 783, STR: 470, VIT: 486, SPD: 16, LUK: 1, Attack: 86010, Defense: 90264, Current HP: 783, A Avg: 90310, D Avg: 90264, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 920: HP: 420, STR: 310, VIT: 486, SPD: 17, LUK: 1, Attack: 84628, Defense: 90264, Current HP: 420, A Avg: 105785, D Avg: 90264, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 919: HP: 619, STR: 268, VIT: 487, SPD: 18, LUK: 1, Attack: 84209, Defense: 90265, Current HP: 619, A Avg: 88419, D Avg: 90265, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 918: HP: 713, STR: 333, VIT: 489, SPD: 18, LUK: 1, Attack: 85431, Defense: 90267, Current HP: 713, A Avg: 89702, D Avg: 90267, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 917: HP: 619, STR: 316, VIT: 489, SPD: 18, LUK: 1, Attack: 85141, Defense: 90267, Current HP: 619, A Avg: 89398, D Avg: 90267, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 916: HP: 682, STR: 268, VIT: 489, SPD: 18, LUK: 1, Attack: 85080, Defense: 90267, Current HP: 682, A Avg: 89334, D Avg: 90267, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 915: HP: 522, STR: 330, VIT: 491, SPD: 19, LUK: 1, Attack: 84186, Defense: 90269, Current HP: 522, A Avg: 88395, D Avg: 90269, [Emerald Sword[115, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 914: HP: 396, STR: 454, VIT: 491, SPD: 16, LUK: 2, Attack: 85242, Defense: 90269, Current HP: 396, A Avg: 89504, D Avg: 90269, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 913: HP: 228, STR: 920, VIT: 491, SPD: 16, LUK: 1, Attack: 85708, Defense: 90269, Current HP: 228, A Avg: 89993, D Avg: 90269, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 912: HP: 228, STR: 483, VIT: 491, SPD: 16, LUK: 2, Attack: 85271, Defense: 90269, Current HP: 228, A Avg: 89534, D Avg: 90269, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 911: HP: 619, STR: 439, VIT: 491, SPD: 18, LUK: 1, Attack: 85173, Defense: 90269, Current HP: 619, A Avg: 89431, D Avg: 90269, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 910: HP: 518, STR: 283, VIT: 491, SPD: 16, LUK: 1, Attack: 85326, Defense: 90269, Current HP: 518, A Avg: 89592, D Avg: 90269, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 909: HP: 372, STR: 345, VIT: 491, SPD: 17, LUK: 1, Attack: 84455, Defense: 90269, Current HP: 372, A Avg: 105568, D Avg: 90269, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 908: HP: 350, STR: 351, VIT: 491, SPD: 17, LUK: 1, Attack: 84864, Defense: 90269, Current HP: 350, A Avg: 106080, D Avg: 90269, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 907: HP: 640, STR: 2424, VIT: 491, SPD: 17, LUK: 1, Attack: 92333, Defense: 90269, Current HP: 640, A Avg: 115416, D Avg: 90269, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 906: HP: 503, STR: 402, VIT: 492, SPD: 19, LUK: 1, Attack: 85084, Defense: 90270, Current HP: 503, A Avg: 89338, D Avg: 90270, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 905: HP: 690, STR: 172, VIT: 492, SPD: 16, LUK: 1, Attack: 85816, Defense: 90270, Current HP: 690, A Avg: 90106, D Avg: 90270, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 904: HP: 490, STR: 172, VIT: 492, SPD: 29, LUK: 1, Attack: 85816, Defense: 90270, Current HP: 490, A Avg: 90106, D Avg: 108324, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 903: HP: 793, STR: 220, VIT: 492, SPD: 16, LUK: 1, Attack: 85864, Defense: 90270, Current HP: 793, A Avg: 90157, D Avg: 90270, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 902: HP: 657, STR: 282, VIT: 493, SPD: 18, LUK: 1, Attack: 84314, Defense: 90271, Current HP: 657, A Avg: 88529, D Avg: 90271, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 901: HP: 370, STR: 345, VIT: 493, SPD: 17, LUK: 1, Attack: 86314, Defense: 90271, Current HP: 370, A Avg: 107892, D Avg: 90271, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
