Rank 1000: HP: 1249, STR: 691, VIT: 1434, SPD: 54, LUK: 1, Attack: 84812, Defense: 91212, Current HP: 1249, A Avg: 89052, D Avg: 91212, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 959: HP: 1159, STR: 4391, VIT: 1454, SPD: 57, LUK: 1, Attack: 92052, Defense: 91232, Current HP: 1159, A Avg: 96654, D Avg: 91232, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 958: HP: 1292, STR: 933, VIT: 1456, SPD: 48, LUK: 1, Attack: 87279, Defense: 91234, Current HP: 1292, A Avg: 91642, D Avg: 91234, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 957: HP: 3838, STR: 6396, VIT: 1460, SPD: 48, LUK: 1, Attack: 92209, Defense: 91238, Current HP: 3838, A Avg: 96819, D Avg: 91238, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 956: HP: 1919, STR: 504, VIT: 3671, SPD: 48, LUK: 1, Attack: 84892, Defense: 91239, Current HP: 1919, A Avg: 89136, D Avg: 91239, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 955: HP: 5225, STR: 1737, VIT: 3671, SPD: 48, LUK: 1, Attack: 89619, Defense: 91239, Current HP: 5225, A Avg: 94099, D Avg: 91239, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 954: HP: 1919, STR: 1096, VIT: 3671, SPD: 48, LUK: 1, Attack: 86740, Defense: 91239, Current HP: 1919, A Avg: 91077, D Avg: 91239, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 953: HP: 1276, STR: 1176, VIT: 1462, SPD: 48, LUK: 1, Attack: 87054, Defense: 91240, Current HP: 1276, A Avg: 91406, D Avg: 91240, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 952: HP: 874, STR: 990, VIT: 1462, SPD: 87, LUK: 1, Attack: 86868, Defense: 91240, Current HP: 874, A Avg: 91211, D Avg: 109488, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 951: HP: 1439, STR: 1038, VIT: 1462, SPD: 48, LUK: 1, Attack: 86916, Defense: 91240, Current HP: 1439, A Avg: 91261, D Avg: 91240, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 950: HP: 1218, STR: 1454, VIT: 1462, SPD: 48, LUK: 1, Attack: 86994, Defense: 91240, Current HP: 1218, A Avg: 91343, D Avg: 91240, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 949: HP: 836, STR: 1454, VIT: 1462, SPD: 87, LUK: 1, Attack: 86994, Defense: 91240, Current HP: 836, A Avg: 91343, D Avg: 109488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 948: HP: 1375, STR: 1502, VIT: 1462, SPD: 48, LUK: 1, Attack: 87042, Defense: 91240, Current HP: 1375, A Avg: 91394, D Avg: 91240, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 947: HP: 1249, STR: 1167, VIT: 1463, SPD: 54, LUK: 1, Attack: 85901, Defense: 91241, Current HP: 1249, A Avg: 90196, D Avg: 91241, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 946: HP: 1434, STR: 1099, VIT: 1464, SPD: 57, LUK: 1, Attack: 85066, Defense: 91242, Current HP: 1434, A Avg: 89319, D Avg: 91242, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 945: HP: 1511, STR: 359, VIT: 3679, SPD: 54, LUK: 1, Attack: 84747, Defense: 91247, Current HP: 1511, A Avg: 88984, D Avg: 91247, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 944: HP: 5165, STR: 1736, VIT: 3679, SPD: 54, LUK: 1, Attack: 89618, Defense: 91247, Current HP: 5165, A Avg: 94098, D Avg: 91247, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 943: HP: 1511, STR: 1020, VIT: 3679, SPD: 54, LUK: 1, Attack: 86664, Defense: 91247, Current HP: 1511, A Avg: 90997, D Avg: 91247, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 942: HP: 1168, STR: 1006, VIT: 1470, SPD: 57, LUK: 1, Attack: 84849, Defense: 91248, Current HP: 1168, A Avg: 89091, D Avg: 91248, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 941: HP: 1159, STR: 1081, VIT: 1470, SPD: 57, LUK: 1, Attack: 85165, Defense: 91248, Current HP: 1159, A Avg: 89423, D Avg: 91248, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 940: HP: 1168, STR: 1006, VIT: 1470, SPD: 57, LUK: 1, Attack: 84878, Defense: 91248, Current HP: 1168, A Avg: 89121, D Avg: 91248, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 939: HP: 1168, STR: 1006, VIT: 1470, SPD: 57, LUK: 1, Attack: 84905, Defense: 91248, Current HP: 1168, A Avg: 89150, D Avg: 91248, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 938: HP: 1168, STR: 1006, VIT: 1470, SPD: 57, LUK: 1, Attack: 84932, Defense: 91248, Current HP: 1168, A Avg: 89178, D Avg: 91248, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 937: HP: 855, STR: 990, VIT: 1470, SPD: 77, LUK: 1, Attack: 86868, Defense: 91248, Current HP: 855, A Avg: 91211, D Avg: 91248, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 936: HP: 855, STR: 1006, VIT: 1470, SPD: 48, LUK: 2, Attack: 86884, Defense: 91248, Current HP: 855, A Avg: 91228, D Avg: 91248, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 935: HP: 836, STR: 1661, VIT: 1470, SPD: 48, LUK: 1, Attack: 87539, Defense: 91248, Current HP: 836, A Avg: 91915, D Avg: 91248, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 934: HP: 817, STR: 1999, VIT: 1470, SPD: 77, LUK: 1, Attack: 87539, Defense: 91248, Current HP: 817, A Avg: 91915, D Avg: 91248, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 933: HP: 817, STR: 1470, VIT: 1470, SPD: 48, LUK: 2, Attack: 87010, Defense: 91248, Current HP: 817, A Avg: 91360, D Avg: 91248, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 932: HP: 798, STR: 2415, VIT: 1470, SPD: 48, LUK: 1, Attack: 87955, Defense: 91248, Current HP: 798, A Avg: 92352, D Avg: 91248, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 931: HP: 3971, STR: 5723, VIT: 1475, SPD: 48, LUK: 1, Attack: 91536, Defense: 91253, Current HP: 3971, A Avg: 96112, D Avg: 91253, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 930: HP: 1197, STR: 894, VIT: 1478, SPD: 57, LUK: 1, Attack: 89061, Defense: 91256, Current HP: 1197, A Avg: 93514, D Avg: 91256, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 929: HP: 1421, STR: 1372, VIT: 1478, SPD: 48, LUK: 1, Attack: 87250, Defense: 91256, Current HP: 1421, A Avg: 91612, D Avg: 91256, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 928: HP: 1363, STR: 1462, VIT: 1478, SPD: 48, LUK: 1, Attack: 87002, Defense: 91256, Current HP: 1363, A Avg: 91352, D Avg: 91256, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 927: HP: 881, STR: 720, VIT: 5591, SPD: 54, LUK: 1, Attack: 86273, Defense: 91261, Current HP: 881, A Avg: 90586, D Avg: 91261, [Hammer of Justice[186, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 926: HP: 1230, STR: 770, VIT: 1486, SPD: 54, LUK: 1, Attack: 84880, Defense: 91264, Current HP: 1230, A Avg: 89124, D Avg: 91264, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 925: HP: 1249, STR: 775, VIT: 1486, SPD: 54, LUK: 1, Attack: 85288, Defense: 91264, Current HP: 1249, A Avg: 89552, D Avg: 91264, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 924: HP: 722, STR: 834, VIT: 1486, SPD: 48, LUK: 1, Attack: 87362, Defense: 91264, Current HP: 722, A Avg: 91730, D Avg: 91264, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 923: HP: 1947, STR: 350, VIT: 1486, SPD: 48, LUK: 2, Attack: 85058, Defense: 91264, Current HP: 1947, A Avg: 89310, D Avg: 91264, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 922: HP: 1567, STR: 751, VIT: 1486, SPD: 48, LUK: 1, Attack: 85459, Defense: 91264, Current HP: 1567, A Avg: 89731, D Avg: 91264, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 921: HP: 1567, STR: 443, VIT: 1486, SPD: 48, LUK: 2, Attack: 85151, Defense: 91264, Current HP: 1567, A Avg: 89408, D Avg: 91264, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 920: HP: 893, STR: 990, VIT: 1486, SPD: 77, LUK: 1, Attack: 86868, Defense: 91264, Current HP: 893, A Avg: 91211, D Avg: 91264, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 919: HP: 931, STR: 1853, VIT: 1486, SPD: 48, LUK: 1, Attack: 87731, Defense: 91264, Current HP: 931, A Avg: 94310, D Avg: 91264, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 918: HP: 703, STR: 2792, VIT: 1486, SPD: 48, LUK: 1, Attack: 88670, Defense: 91264, Current HP: 703, A Avg: 93103, D Avg: 91264, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 917: HP: 855, STR: 1727, VIT: 1486, SPD: 77, LUK: 1, Attack: 87267, Defense: 91264, Current HP: 855, A Avg: 91630, D Avg: 91264, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 916: HP: 893, STR: 2415, VIT: 1486, SPD: 48, LUK: 1, Attack: 87955, Defense: 91264, Current HP: 893, A Avg: 94551, D Avg: 91264, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 915: HP: 1270, STR: 770, VIT: 1488, SPD: 54, LUK: 1, Attack: 86739, Defense: 91266, Current HP: 1270, A Avg: 91075, D Avg: 91266, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 914: HP: 2392, STR: 302, VIT: 1494, SPD: 48, LUK: 1, Attack: 85010, Defense: 91272, Current HP: 2392, A Avg: 89260, D Avg: 91272, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 913: HP: 1605, STR: 302, VIT: 1494, SPD: 87, LUK: 1, Attack: 85010, Defense: 91272, Current HP: 1605, A Avg: 89260, D Avg: 109526, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 912: HP: 2671, STR: 350, VIT: 1494, SPD: 48, LUK: 1, Attack: 85058, Defense: 91272, Current HP: 2671, A Avg: 89310, D Avg: 91272, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 911: HP: 1126, STR: 834, VIT: 1494, SPD: 51, LUK: 1, Attack: 85877, Defense: 91272, Current HP: 1126, A Avg: 107346, D Avg: 91272, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 910: HP: 1553, STR: 949, VIT: 1497, SPD: 54, LUK: 1, Attack: 86047, Defense: 91275, Current HP: 1553, A Avg: 90349, D Avg: 91275, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 909: HP: 1249, STR: 876, VIT: 1497, SPD: 54, LUK: 1, Attack: 85701, Defense: 91275, Current HP: 1249, A Avg: 89986, D Avg: 91275, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 908: HP: 1312, STR: 772, VIT: 1497, SPD: 54, LUK: 1, Attack: 85584, Defense: 91275, Current HP: 1312, A Avg: 89863, D Avg: 91275, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 907: HP: 1260, STR: 1077, VIT: 1499, SPD: 51, LUK: 1, Attack: 87423, Defense: 91277, Current HP: 1260, A Avg: 109278, D Avg: 91277, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 906: HP: 1159, STR: 1019, VIT: 1500, SPD: 57, LUK: 1, Attack: 84895, Defense: 91278, Current HP: 1159, A Avg: 89139, D Avg: 91278, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 905: HP: 1434, STR: 1006, VIT: 1500, SPD: 57, LUK: 1, Attack: 85031, Defense: 91278, Current HP: 1434, A Avg: 89282, D Avg: 91278, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 904: HP: 1159, STR: 1107, VIT: 1500, SPD: 57, LUK: 1, Attack: 85256, Defense: 91278, Current HP: 1159, A Avg: 89518, D Avg: 91278, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 903: HP: 1172, STR: 1019, VIT: 1500, SPD: 57, LUK: 1, Attack: 84835, Defense: 91278, Current HP: 1172, A Avg: 89076, D Avg: 91278, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
