Rank 1000: HP: 2248, STR: 612, VIT: 6949, SPD: 80, LUK: 1, Attack: 85578, Defense: 92619, Current HP: 2248, A Avg: 89856, D Avg: 92619, [Red Shark[134, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 988: HP: 1254, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 83953, Defense: 92632, Current HP: 1254, A Avg: 105780, D Avg: 92632, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 987: HP: 1254, STR: 193, VIT: 2854, SPD: 80, LUK: 1, Attack: 83965, Defense: 92632, Current HP: 1254, A Avg: 105795, D Avg: 92632, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 986: HP: 1254, STR: 275, VIT: 2854, SPD: 80, LUK: 1, Attack: 84086, Defense: 92632, Current HP: 1254, A Avg: 105948, D Avg: 92632, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 985: HP: 1254, STR: 345, VIT: 2854, SPD: 80, LUK: 1, Attack: 84117, Defense: 92632, Current HP: 1254, A Avg: 105987, D Avg: 92632, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 984: HP: 1254, STR: 267, VIT: 2854, SPD: 80, LUK: 1, Attack: 84091, Defense: 92632, Current HP: 1254, A Avg: 105954, D Avg: 92632, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 983: HP: 1254, STR: 353, VIT: 2854, SPD: 80, LUK: 1, Attack: 84196, Defense: 92632, Current HP: 1254, A Avg: 106086, D Avg: 92632, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 982: HP: 1276, STR: 353, VIT: 2854, SPD: 80, LUK: 1, Attack: 84242, Defense: 92632, Current HP: 1276, A Avg: 106144, D Avg: 92632, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 981: HP: 1254, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 83956, Defense: 92632, Current HP: 1254, A Avg: 105784, D Avg: 92632, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 980: HP: 988, STR: 267, VIT: 2854, SPD: 80, LUK: 1, Attack: 84143, Defense: 92632, Current HP: 988, A Avg: 88350, D Avg: 92632, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 979: HP: 1364, STR: 259, VIT: 2854, SPD: 80, LUK: 1, Attack: 84135, Defense: 92632, Current HP: 1364, A Avg: 88341, D Avg: 92632, [Tornado[111, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 978: HP: 1254, STR: 369, VIT: 2854, SPD: 80, LUK: 1, Attack: 84492, Defense: 92632, Current HP: 1254, A Avg: 106459, D Avg: 92632, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 977: HP: 1453, STR: 259, VIT: 2854, SPD: 80, LUK: 1, Attack: 84284, Defense: 92632, Current HP: 1453, A Avg: 88498, D Avg: 92632, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 976: HP: 1903, STR: 251, VIT: 2854, SPD: 80, LUK: 1, Attack: 84276, Defense: 92632, Current HP: 1903, A Avg: 88489, D Avg: 92632, [Fairy Sword[113, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 975: HP: 988, STR: 353, VIT: 2854, SPD: 80, LUK: 1, Attack: 84502, Defense: 92632, Current HP: 988, A Avg: 88727, D Avg: 92632, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 974: HP: 1364, STR: 345, VIT: 2854, SPD: 80, LUK: 1, Attack: 84494, Defense: 92632, Current HP: 1364, A Avg: 88718, D Avg: 92632, [Giant Tornado[114, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 973: HP: 1276, STR: 432, VIT: 2854, SPD: 80, LUK: 1, Attack: 84438, Defense: 92632, Current HP: 1276, A Avg: 106391, D Avg: 92632, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 972: HP: 1265, STR: 267, VIT: 2854, SPD: 80, LUK: 1, Attack: 84260, Defense: 92632, Current HP: 1265, A Avg: 106167, D Avg: 92632, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 971: HP: 1815, STR: 518, VIT: 2854, SPD: 80, LUK: 1, Attack: 84706, Defense: 92632, Current HP: 1815, A Avg: 106729, D Avg: 92632, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 970: HP: 1265, STR: 353, VIT: 2854, SPD: 80, LUK: 1, Attack: 84352, Defense: 92632, Current HP: 1265, A Avg: 106283, D Avg: 92632, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 969: HP: 1810, STR: 436, VIT: 2854, SPD: 80, LUK: 1, Attack: 84858, Defense: 92632, Current HP: 1810, A Avg: 106921, D Avg: 92632, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 968: HP: 1276, STR: 204, VIT: 2854, SPD: 80, LUK: 1, Attack: 83979, Defense: 92632, Current HP: 1276, A Avg: 105813, D Avg: 92632, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 967: HP: 1320, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 84090, Defense: 92632, Current HP: 1320, A Avg: 105953, D Avg: 92632, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 966: HP: 1001, STR: 267, VIT: 2854, SPD: 80, LUK: 1, Attack: 84083, Defense: 92632, Current HP: 1001, A Avg: 88287, D Avg: 92632, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 965: HP: 1379, STR: 259, VIT: 2854, SPD: 80, LUK: 1, Attack: 84075, Defense: 92632, Current HP: 1379, A Avg: 88278, D Avg: 92632, [Hand Axe[140, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 964: HP: 1482, STR: 583, VIT: 2854, SPD: 80, LUK: 1, Attack: 85265, Defense: 92632, Current HP: 1482, A Avg: 89528, D Avg: 92632, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 963: HP: 1472, STR: 432, VIT: 2854, SPD: 80, LUK: 1, Attack: 85114, Defense: 92632, Current HP: 1472, A Avg: 89369, D Avg: 92632, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 962: HP: 2552, STR: 580, VIT: 2854, SPD: 80, LUK: 1, Attack: 86263, Defense: 92632, Current HP: 2552, A Avg: 108691, D Avg: 92632, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 961: HP: 1254, STR: 1067, VIT: 2854, SPD: 80, LUK: 1, Attack: 85723, Defense: 92632, Current HP: 1254, A Avg: 108010, D Avg: 92632, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 960: HP: 1254, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 85029, Defense: 92632, Current HP: 1254, A Avg: 107136, D Avg: 92632, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 959: HP: 1007, STR: 337, VIT: 2854, SPD: 80, LUK: 1, Attack: 84330, Defense: 92632, Current HP: 1007, A Avg: 88546, D Avg: 92632, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 958: HP: 1386, STR: 329, VIT: 2854, SPD: 80, LUK: 1, Attack: 84322, Defense: 92632, Current HP: 1386, A Avg: 88538, D Avg: 92632, [Wooden Boomerang[167, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 957: HP: 1474, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 85156, Defense: 92632, Current HP: 1474, A Avg: 107296, D Avg: 92632, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 956: HP: 1914, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 92374, Defense: 92632, Current HP: 1914, A Avg: 116391, D Avg: 92632, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 955: HP: 7722, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 85241, Defense: 92632, Current HP: 7722, A Avg: 107403, D Avg: 92632, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 954: HP: 1914, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 86430, Defense: 92632, Current HP: 1914, A Avg: 108901, D Avg: 92632, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 953: HP: 1254, STR: 2156, VIT: 2854, SPD: 80, LUK: 1, Attack: 87085, Defense: 92632, Current HP: 1254, A Avg: 109727, D Avg: 92632, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 952: HP: 1254, STR: 3324, VIT: 2854, SPD: 80, LUK: 1, Attack: 87902, Defense: 92632, Current HP: 1254, A Avg: 110756, D Avg: 92632, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 951: HP: 1254, STR: 740, VIT: 2854, SPD: 80, LUK: 1, Attack: 87791, Defense: 92632, Current HP: 1254, A Avg: 110616, D Avg: 92632, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 950: HP: 1254, STR: -78133, VIT: 2854, SPD: 80, LUK: 1, Attack: 21133, Defense: 92632, Current HP: 1254, A Avg: 26627, D Avg: 92632, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 949: HP: 1254, STR: 3644, VIT: 2854, SPD: 80, LUK: 1, Attack: 91305, Defense: 92632, Current HP: 1254, A Avg: 115044, D Avg: 92632, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 948: HP: 1919, STR: 2732, VIT: 2857, SPD: 95, LUK: 1, Attack: 87570, Defense: 92635, Current HP: 1919, A Avg: 91948, D Avg: 92635, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 947: HP: 1191, STR: 270, VIT: 2857, SPD: 80, LUK: 1, Attack: 84068, Defense: 92635, Current HP: 1191, A Avg: 88271, D Avg: 92635, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 946: HP: 1599, STR: 262, VIT: 2857, SPD: 80, LUK: 1, Attack: 84060, Defense: 92635, Current HP: 1599, A Avg: 88263, D Avg: 92635, [Ninja[135, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 945: HP: 1003, STR: 267, VIT: 2859, SPD: 80, LUK: 1, Attack: 84273, Defense: 92637, Current HP: 1003, A Avg: 88486, D Avg: 92637, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 944: HP: 1381, STR: 259, VIT: 2859, SPD: 80, LUK: 1, Attack: 84265, Defense: 92637, Current HP: 1381, A Avg: 88478, D Avg: 92637, [Crescent[141, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 943: HP: 2584, STR: 1747, VIT: 5859, SPD: 80, LUK: 1, Attack: 86535, Defense: 92647, Current HP: 2584, A Avg: 90861, D Avg: 92647, [Pulse Knife[165, 0, 0, 0], Golem Shield[245, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 942: HP: 1793, STR: 435, VIT: 2870, SPD: 80, LUK: 1, Attack: 84402, Defense: 92648, Current HP: 1793, A Avg: 106346, D Avg: 92648, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 941: HP: 1472, STR: 909, VIT: 6983, SPD: 80, LUK: 1, Attack: 85643, Defense: 92653, Current HP: 1472, A Avg: 89925, D Avg: 92653, [Irruption[154, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 940: HP: 1925, STR: 901, VIT: 6983, SPD: 80, LUK: 1, Attack: 85635, Defense: 92653, Current HP: 1925, A Avg: 89916, D Avg: 92653, [Irruption[154, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 939: HP: 4180, STR: 2583, VIT: 5608, SPD: 90, LUK: 1, Attack: 90411, Defense: 92656, Current HP: 4180, A Avg: 94931, D Avg: 92656, [Stargazer[183, 0, 0, 0], Ghost shield[251, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 938: HP: 1265, STR: 345, VIT: 2880, SPD: 80, LUK: 1, Attack: 84188, Defense: 92658, Current HP: 1265, A Avg: 106076, D Avg: 92658, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 937: HP: 1254, STR: 424, VIT: 2880, SPD: 80, LUK: 1, Attack: 84508, Defense: 92658, Current HP: 1254, A Avg: 106480, D Avg: 92658, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 936: HP: 1265, STR: 345, VIT: 2880, SPD: 80, LUK: 1, Attack: 84217, Defense: 92658, Current HP: 1265, A Avg: 106113, D Avg: 92658, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 935: HP: 1265, STR: 345, VIT: 2880, SPD: 80, LUK: 1, Attack: 84244, Defense: 92658, Current HP: 1265, A Avg: 106147, D Avg: 92658, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 934: HP: 1265, STR: 345, VIT: 2880, SPD: 80, LUK: 1, Attack: 84271, Defense: 92658, Current HP: 1265, A Avg: 106181, D Avg: 92658, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 933: HP: 1472, STR: 432, VIT: 2880, SPD: 80, LUK: 1, Attack: 85114, Defense: 92658, Current HP: 1472, A Avg: 89369, D Avg: 92658, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 932: HP: 1925, STR: 424, VIT: 2880, SPD: 80, LUK: 1, Attack: 85106, Defense: 92658, Current HP: 1925, A Avg: 89361, D Avg: 92658, [Thunder Whip[143, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 931: HP: 1298, STR: 212, VIT: 2893, SPD: 80, LUK: 1, Attack: 88379, Defense: 92671, Current HP: 1298, A Avg: 111357, D Avg: 92671, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 930: HP: 1826, STR: 1699, VIT: 5892, SPD: 90, LUK: 1, Attack: 86487, Defense: 92680, Current HP: 1826, A Avg: 90811, D Avg: 92680, [Pulse Knife[165, 0, 0, 0], Golem Shield[245, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 929: HP: 2403, STR: 3008, VIT: 2916, SPD: 95, LUK: 1, Attack: 87846, Defense: 92694, Current HP: 2403, A Avg: 92238, D Avg: 92694, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 928: HP: 3429, STR: 2701, VIT: 2916, SPD: 95, LUK: 1, Attack: 87624, Defense: 92694, Current HP: 3429, A Avg: 92005, D Avg: 92694, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 927: HP: 2128, STR: 3922, VIT: 2918, SPD: 80, LUK: 1, Attack: 89256, Defense: 92696, Current HP: 2128, A Avg: 93718, D Avg: 92696, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 926: HP: 6954, STR: 8398, VIT: 2920, SPD: 95, LUK: 1, Attack: 94211, Defense: 92698, Current HP: 6954, A Avg: 98921, D Avg: 92698, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 925: HP: 1567, STR: 270, VIT: 5132, SPD: 80, LUK: 1, Attack: 84658, Defense: 92700, Current HP: 1567, A Avg: 88890, D Avg: 92700, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 924: HP: 1558, STR: 377, VIT: 5132, SPD: 80, LUK: 1, Attack: 84765, Defense: 92700, Current HP: 1558, A Avg: 89003, D Avg: 92700, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 923: HP: 7153, STR: 2352, VIT: 5132, SPD: 80, LUK: 1, Attack: 90234, Defense: 92700, Current HP: 7153, A Avg: 94745, D Avg: 92700, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 922: HP: 7144, STR: 3194, VIT: 5132, SPD: 80, LUK: 1, Attack: 91076, Defense: 92700, Current HP: 7144, A Avg: 95629, D Avg: 92700, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 921: HP: 1567, STR: 1269, VIT: 5132, SPD: 80, LUK: 1, Attack: 86913, Defense: 92700, Current HP: 1567, A Avg: 91258, D Avg: 92700, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 920: HP: 1558, STR: 1278, VIT: 5132, SPD: 80, LUK: 1, Attack: 86922, Defense: 92700, Current HP: 1558, A Avg: 91268, D Avg: 92700, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 919: HP: 2109, STR: 436, VIT: 7038, SPD: 80, LUK: 1, Attack: 84162, Defense: 92708, Current HP: 2109, A Avg: 88370, D Avg: 92708, [Wooden Stick[101, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 918: HP: 2109, STR: 436, VIT: 7038, SPD: 80, LUK: 1, Attack: 84201, Defense: 92708, Current HP: 2109, A Avg: 88411, D Avg: 92708, [Club[102, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 917: HP: 2109, STR: 598, VIT: 7038, SPD: 80, LUK: 1, Attack: 84370, Defense: 92708, Current HP: 2109, A Avg: 88588, D Avg: 92708, [Short Sword[103, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 916: HP: 2109, STR: 715, VIT: 7038, SPD: 80, LUK: 1, Attack: 84526, Defense: 92708, Current HP: 2109, A Avg: 88752, D Avg: 92708, [Long Sword[104, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 915: HP: 2109, STR: 603, VIT: 7038, SPD: 80, LUK: 1, Attack: 84375, Defense: 92708, Current HP: 2109, A Avg: 88593, D Avg: 92708, [Wasp Knife[105, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 914: HP: 2109, STR: 520, VIT: 7038, SPD: 80, LUK: 1, Attack: 84344, Defense: 92708, Current HP: 2109, A Avg: 88561, D Avg: 92708, [Stun Knuckle[106, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 913: HP: 2109, STR: 828, VIT: 7038, SPD: 80, LUK: 1, Attack: 84671, Defense: 92708, Current HP: 2109, A Avg: 88904, D Avg: 92708, [Battle Scythe[107, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 912: HP: 2128, STR: 612, VIT: 7038, SPD: 80, LUK: 1, Attack: 84501, Defense: 92708, Current HP: 2128, A Avg: 88726, D Avg: 92708, [Iron Lumps[108, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 911: HP: 2109, STR: 436, VIT: 7038, SPD: 80, LUK: 1, Attack: 84204, Defense: 92708, Current HP: 2109, A Avg: 88414, D Avg: 92708, [Decorative Swords[109, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 910: HP: 2109, STR: 629, VIT: 7038, SPD: 80, LUK: 1, Attack: 84752, Defense: 92708, Current HP: 2109, A Avg: 88989, D Avg: 92708, [Pinpoint[112, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 909: HP: 2128, STR: 695, VIT: 7038, SPD: 80, LUK: 1, Attack: 84701, Defense: 92708, Current HP: 2128, A Avg: 88936, D Avg: 92708, [Great Iron Mass[122, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 908: HP: 2118, STR: 520, VIT: 7038, SPD: 80, LUK: 1, Attack: 84513, Defense: 92708, Current HP: 2118, A Avg: 88738, D Avg: 92708, [Sword of Wood[124, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 907: HP: 2593, STR: 1064, VIT: 7038, SPD: 80, LUK: 1, Attack: 85252, Defense: 92708, Current HP: 2593, A Avg: 89514, D Avg: 92708, [Sword of the Spirit Tree[125, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 906: HP: 2118, STR: 612, VIT: 7038, SPD: 80, LUK: 1, Attack: 84611, Defense: 92708, Current HP: 2118, A Avg: 88841, D Avg: 92708, [Greatsword[127, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 905: HP: 2589, STR: 947, VIT: 7038, SPD: 80, LUK: 1, Attack: 85369, Defense: 92708, Current HP: 2589, A Avg: 89637, D Avg: 92708, [Dreaming Sword[128, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 904: HP: 2128, STR: 453, VIT: 7038, SPD: 80, LUK: 1, Attack: 84228, Defense: 92708, Current HP: 2128, A Avg: 88439, D Avg: 92708, [Peacemaker[131, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
