Rank 1000: HP: 1396, STR: 484, VIT: 418243, SPD: 36, LUK: 1, Attack: 85407, Defense: 502106, Current HP: 1396, A Avg: 89677, D Avg: 502106, [Pangaea[164, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 982: HP: 1453, STR: 383, VIT: 418217, SPD: 36, LUK: 1, Attack: 85033, Defense: 502145, Current HP: 1453, A Avg: 89284, D Avg: 502145, [Diamond Knuckle[152, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 981: HP: 1035, STR: 394, VIT: 418278, SPD: 36, LUK: 1, Attack: 85437, Defense: 502147, Current HP: 1035, A Avg: 89708, D Avg: 502147, [White Snake[160, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 980: HP: 1033, STR: 505, VIT: 418223, SPD: 36, LUK: 1, Attack: 85343, Defense: 502151, Current HP: 1033, A Avg: 89610, D Avg: 502151, [Classic[168, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 979: HP: 886, STR: 342, VIT: 418211, SPD: 36, LUK: 1, Attack: 84452, Defense: 502152, Current HP: 886, A Avg: 88674, D Avg: 502152, [Windmill[137, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 978: HP: 875, STR: 297, VIT: 418214, SPD: 36, LUK: 1, Attack: 84297, Defense: 502155, Current HP: 875, A Avg: 88511, D Avg: 502155, [Kirisame[129, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 977: HP: 1096, STR: 306, VIT: 418214, SPD: 36, LUK: 1, Attack: 84427, Defense: 502155, Current HP: 1096, A Avg: 88648, D Avg: 502155, [Black Kirisame[130, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 976: HP: 1083, STR: 406, VIT: 418214, SPD: 36, LUK: 1, Attack: 86154, Defense: 502155, Current HP: 1083, A Avg: 90461, D Avg: 502155, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 975: HP: 1112, STR: 502, VIT: 418287, SPD: 36, LUK: 1, Attack: 86848, Defense: 502156, Current HP: 1112, A Avg: 91190, D Avg: 502156, [Progress[147, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 974: HP: 1117, STR: 306, VIT: 418217, SPD: 36, LUK: 1, Attack: 84416, Defense: 502158, Current HP: 1117, A Avg: 88636, D Avg: 502158, [Serpent[144, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 973: HP: 976, STR: 297, VIT: 418232, SPD: 36, LUK: 1, Attack: 85772, Defense: 502160, Current HP: 976, A Avg: 90060, D Avg: 502160, [Elemental[121, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 972: HP: 1175, STR: 383, VIT: 418232, SPD: 36, LUK: 1, Attack: 85033, Defense: 502160, Current HP: 1175, A Avg: 89284, D Avg: 502160, [Diamond Knuckle[152, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 971: HP: 892, STR: 588, VIT: 418272, SPD: 36, LUK: 1, Attack: 85426, Defense: 502161, Current HP: 892, A Avg: 89697, D Avg: 502161, [Willow Blade[157, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 970: HP: 1396, STR: 484, VIT: 418272, SPD: 36, LUK: 1, Attack: 85407, Defense: 502161, Current HP: 1396, A Avg: 89677, D Avg: 502161, [Pangaea[164, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 969: HP: 1112, STR: 297, VIT: 418327, SPD: 36, LUK: 1, Attack: 85772, Defense: 502164, Current HP: 1112, A Avg: 90060, D Avg: 502164, [Elemental[121, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 968: HP: 1312, STR: 383, VIT: 418327, SPD: 36, LUK: 1, Attack: 85033, Defense: 502164, Current HP: 1312, A Avg: 89284, D Avg: 502164, [Diamond Knuckle[152, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 967: HP: 1215, STR: 378, VIT: 418223, SPD: 36, LUK: 1, Attack: 85344, Defense: 502164, Current HP: 1215, A Avg: 89611, D Avg: 502164, [Red Shark[134, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 966: HP: 755, STR: 505, VIT: 418238, SPD: 36, LUK: 1, Attack: 85343, Defense: 502166, Current HP: 755, A Avg: 89610, D Avg: 502166, [Classic[168, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 965: HP: 892, STR: 505, VIT: 418333, SPD: 36, LUK: 1, Attack: 85343, Defense: 502170, Current HP: 892, A Avg: 89610, D Avg: 502170, [Classic[168, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 964: HP: 1253, STR: 588, VIT: 418243, SPD: 36, LUK: 1, Attack: 85426, Defense: 502171, Current HP: 1253, A Avg: 89697, D Avg: 502171, [Willow Blade[157, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 963: HP: 1757, STR: 484, VIT: 418243, SPD: 36, LUK: 1, Attack: 85407, Defense: 502171, Current HP: 1757, A Avg: 89677, D Avg: 502171, [Pangaea[164, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 962: HP: 1274, STR: 297, VIT: 418232, SPD: 36, LUK: 1, Attack: 84615, Defense: 502173, Current HP: 1274, A Avg: 88845, D Avg: 502173, [Ruby Knuckle[151, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 961: HP: 692, STR: 469, VIT: 418313, SPD: 36, LUK: 1, Attack: 86997, Defense: 502182, Current HP: 692, A Avg: 91346, D Avg: 502182, [Moon Knuckle[153, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 960: HP: 1035, STR: 394, VIT: 418319, SPD: 36, LUK: 1, Attack: 85437, Defense: 502182, Current HP: 1035, A Avg: 89708, D Avg: 502182, [White Snake[160, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 959: HP: 671, STR: 1339, VIT: 418313, SPD: 36, LUK: 1, Attack: 87217, Defense: 502182, Current HP: 671, A Avg: 91577, D Avg: 502182, [Blue Sword[180, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 958: HP: 976, STR: 588, VIT: 418258, SPD: 36, LUK: 1, Attack: 85426, Defense: 502186, Current HP: 976, A Avg: 89697, D Avg: 502186, [Willow Blade[157, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 957: HP: 1480, STR: 484, VIT: 418258, SPD: 36, LUK: 1, Attack: 85407, Defense: 502186, Current HP: 1480, A Avg: 89677, D Avg: 502186, [Pangaea[164, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 956: HP: 1112, STR: 502, VIT: 418327, SPD: 36, LUK: 1, Attack: 86848, Defense: 502190, Current HP: 1112, A Avg: 91190, D Avg: 502190, [Progress[147, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 955: HP: 976, STR: 365, VIT: 418301, SPD: 36, LUK: 1, Attack: 85697, Defense: 502190, Current HP: 976, A Avg: 89981, D Avg: 502190, [Tower[149, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 954: HP: 1112, STR: 588, VIT: 418354, SPD: 36, LUK: 1, Attack: 85426, Defense: 502191, Current HP: 1112, A Avg: 89697, D Avg: 502191, [Willow Blade[157, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 953: HP: 1616, STR: 484, VIT: 418354, SPD: 36, LUK: 1, Attack: 85407, Defense: 502191, Current HP: 1616, A Avg: 89677, D Avg: 502191, [Pangaea[164, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 952: HP: 3086, STR: 2489, VIT: 418391, SPD: 36, LUK: 1, Attack: 88302, Defense: 502195, Current HP: 3086, A Avg: 92717, D Avg: 502195, [Spear of Regression[182, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 951: HP: 1337, STR: 365, VIT: 418272, SPD: 36, LUK: 1, Attack: 85697, Defense: 502200, Current HP: 1337, A Avg: 89981, D Avg: 502200, [Tower[149, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 950: HP: 1096, STR: 522, VIT: 418261, SPD: 36, LUK: 1, Attack: 85256, Defense: 502202, Current HP: 1096, A Avg: 89518, D Avg: 502202, [Irruption[154, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 949: HP: 1098, STR: 338, VIT: 418269, SPD: 36, LUK: 1, Attack: 84448, Defense: 502210, Current HP: 1098, A Avg: 88670, D Avg: 502210, [Dragon Killer[139, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 948: HP: 1096, STR: 342, VIT: 418269, SPD: 36, LUK: 1, Attack: 84855, Defense: 502210, Current HP: 1096, A Avg: 89097, D Avg: 502210, [Volcano[142, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 947: HP: 1117, STR: 338, VIT: 418272, SPD: 36, LUK: 1, Attack: 86307, Defense: 502213, Current HP: 1117, A Avg: 90622, D Avg: 502213, [Fire Chariot[138, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 946: HP: 692, STR: 469, VIT: 418354, SPD: 36, LUK: 1, Attack: 86997, Defense: 502217, Current HP: 692, A Avg: 91346, D Avg: 502217, [Moon Knuckle[153, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 945: HP: 671, STR: 1339, VIT: 418354, SPD: 36, LUK: 1, Attack: 87217, Defense: 502217, Current HP: 671, A Avg: 91577, D Avg: 502217, [Blue Sword[180, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 944: HP: 1196, STR: 365, VIT: 418383, SPD: 36, LUK: 1, Attack: 85697, Defense: 502220, Current HP: 1196, A Avg: 89981, D Avg: 502220, [Tower[149, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 943: HP: 1295, STR: 417, VIT: 418287, SPD: 36, LUK: 1, Attack: 85515, Defense: 502228, Current HP: 1295, A Avg: 89790, D Avg: 502228, [Yggdrasil[126, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 942: HP: 1096, STR: 388, VIT: 418287, SPD: 36, LUK: 1, Attack: 85213, Defense: 502228, Current HP: 1096, A Avg: 89473, D Avg: 502228, [Kraken[145, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 941: HP: 1159, STR: 340, VIT: 418287, SPD: 36, LUK: 1, Attack: 85152, Defense: 502228, Current HP: 1159, A Avg: 89409, D Avg: 502228, [Granada[150, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 940: HP: 1175, STR: 349, VIT: 418293, SPD: 36, LUK: 1, Attack: 84381, Defense: 502234, Current HP: 1175, A Avg: 88600, D Avg: 502234, [Alucard[146, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 939: HP: 923, STR: 826, VIT: 418432, SPD: 36, LUK: 1, Attack: 86704, Defense: 502236, Current HP: 923, A Avg: 91039, D Avg: 502236, [God Hand[179, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 938: HP: 881, STR: 1168, VIT: 418432, SPD: 36, LUK: 1, Attack: 86708, Defense: 502236, Current HP: 881, A Avg: 91043, D Avg: 502236, [Zodiac[184, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 937: HP: 1035, STR: 394, VIT: 418348, SPD: 36, LUK: 1, Attack: 85437, Defense: 502237, Current HP: 1035, A Avg: 89708, D Avg: 502237, [White Snake[160, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 936: HP: 1112, STR: 502, VIT: 418356, SPD: 36, LUK: 1, Attack: 86848, Defense: 502245, Current HP: 1112, A Avg: 91190, D Avg: 502245, [Progress[147, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 935: HP: 1396, STR: 394, VIT: 418319, SPD: 36, LUK: 1, Attack: 85437, Defense: 502247, Current HP: 1396, A Avg: 89708, D Avg: 502247, [White Snake[160, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 934: HP: 3086, STR: 2489, VIT: 418383, SPD: 36, LUK: 1, Attack: 88302, Defense: 502252, Current HP: 3086, A Avg: 92717, D Avg: 502252, [Spear of Regression[182, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 933: HP: 1096, STR: 340, VIT: 418313, SPD: 36, LUK: 1, Attack: 84281, Defense: 502254, Current HP: 1096, A Avg: 88495, D Avg: 502254, [Rusty Knife[156, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 932: HP: 1474, STR: 502, VIT: 418327, SPD: 36, LUK: 1, Attack: 86848, Defense: 502255, Current HP: 1474, A Avg: 91190, D Avg: 502255, [Progress[147, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 931: HP: 1119, STR: 394, VIT: 418333, SPD: 36, LUK: 1, Attack: 85437, Defense: 502261, Current HP: 1119, A Avg: 89708, D Avg: 502261, [White Snake[160, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 930: HP: 1255, STR: 394, VIT: 418429, SPD: 36, LUK: 1, Attack: 85437, Defense: 502266, Current HP: 1255, A Avg: 89708, D Avg: 502266, [White Snake[160, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 929: HP: 1196, STR: 502, VIT: 418342, SPD: 36, LUK: 1, Attack: 86848, Defense: 502270, Current HP: 1196, A Avg: 91190, D Avg: 502270, [Progress[147, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 928: HP: 692, STR: 469, VIT: 418383, SPD: 36, LUK: 1, Attack: 86997, Defense: 502272, Current HP: 692, A Avg: 91346, D Avg: 502272, [Moon Knuckle[153, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 927: HP: 671, STR: 1339, VIT: 418383, SPD: 36, LUK: 1, Attack: 87217, Defense: 502272, Current HP: 671, A Avg: 91577, D Avg: 502272, [Blue Sword[180, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 926: HP: 1333, STR: 502, VIT: 418438, SPD: 36, LUK: 1, Attack: 86848, Defense: 502275, Current HP: 1333, A Avg: 91190, D Avg: 502275, [Progress[147, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 925: HP: 976, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 83920, Defense: 502280, Current HP: 976, A Avg: 88116, D Avg: 502280, [Wooden Stick[101, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 924: HP: 976, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 83959, Defense: 502280, Current HP: 976, A Avg: 88156, D Avg: 502280, [Club[102, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 923: HP: 976, STR: 199, VIT: 418040, SPD: 36, LUK: 1, Attack: 83971, Defense: 502280, Current HP: 976, A Avg: 88169, D Avg: 502280, [Short Sword[103, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 922: HP: 976, STR: 237, VIT: 418040, SPD: 36, LUK: 1, Attack: 84048, Defense: 502280, Current HP: 976, A Avg: 88250, D Avg: 502280, [Long Sword[104, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 921: HP: 976, STR: 262, VIT: 418040, SPD: 36, LUK: 1, Attack: 84034, Defense: 502280, Current HP: 976, A Avg: 88235, D Avg: 502280, [Wasp Knife[105, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 920: HP: 976, STR: 228, VIT: 418040, SPD: 36, LUK: 1, Attack: 84052, Defense: 502280, Current HP: 976, A Avg: 88254, D Avg: 502280, [Stun Knuckle[106, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 919: HP: 976, STR: 271, VIT: 418040, SPD: 36, LUK: 1, Attack: 84114, Defense: 502280, Current HP: 976, A Avg: 88319, D Avg: 502280, [Battle Scythe[107, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 918: HP: 997, STR: 271, VIT: 418040, SPD: 36, LUK: 1, Attack: 84160, Defense: 502280, Current HP: 997, A Avg: 88368, D Avg: 502280, [Iron Lumps[108, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 917: HP: 976, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 83962, Defense: 502280, Current HP: 976, A Avg: 88160, D Avg: 502280, [Decorative Swords[109, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 916: HP: 976, STR: 289, VIT: 418040, SPD: 36, LUK: 1, Attack: 84412, Defense: 502280, Current HP: 976, A Avg: 88632, D Avg: 502280, [Pinpoint[112, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 915: HP: 997, STR: 306, VIT: 418040, SPD: 36, LUK: 1, Attack: 84312, Defense: 502280, Current HP: 997, A Avg: 88527, D Avg: 502280, [Great Iron Mass[122, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 914: HP: 986, STR: 228, VIT: 418040, SPD: 36, LUK: 1, Attack: 84221, Defense: 502280, Current HP: 986, A Avg: 88432, D Avg: 502280, [Sword of Wood[124, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 913: HP: 1196, STR: 349, VIT: 418040, SPD: 36, LUK: 1, Attack: 84537, Defense: 502280, Current HP: 1196, A Avg: 88763, D Avg: 502280, [Sword of the Spirit Tree[125, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 912: HP: 986, STR: 271, VIT: 418040, SPD: 36, LUK: 1, Attack: 84270, Defense: 502280, Current HP: 986, A Avg: 88483, D Avg: 502280, [Greatsword[127, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 911: HP: 1192, STR: 311, VIT: 418040, SPD: 36, LUK: 1, Attack: 84733, Defense: 502280, Current HP: 1192, A Avg: 88969, D Avg: 502280, [Dreaming Sword[128, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 910: HP: 997, STR: 212, VIT: 418040, SPD: 36, LUK: 1, Attack: 83987, Defense: 502280, Current HP: 997, A Avg: 88186, D Avg: 502280, [Peacemaker[131, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 909: HP: 1039, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 84096, Defense: 502280, Current HP: 1039, A Avg: 88300, D Avg: 502280, [Daydream[132, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 908: HP: 1585, STR: 365, VIT: 418040, SPD: 36, LUK: 1, Attack: 86048, Defense: 502280, Current HP: 1585, A Avg: 90350, D Avg: 502280, [Dancing[155, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 907: HP: 976, STR: 588, VIT: 418040, SPD: 36, LUK: 1, Attack: 85244, Defense: 502280, Current HP: 976, A Avg: 89506, D Avg: 502280, [Penetra[161, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 906: HP: 976, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 85035, Defense: 502280, Current HP: 976, A Avg: 89286, D Avg: 502280, [Grand Slam[163, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 905: HP: 1186, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 85162, Defense: 502280, Current HP: 1186, A Avg: 89420, D Avg: 502280, [Cluster Bomb[170, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 904: HP: 1606, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 92380, Defense: 502280, Current HP: 1606, A Avg: 96999, D Avg: 502280, [Big Bang[171, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 903: HP: 3370, STR: 194, VIT: 418040, SPD: 36, LUK: 1, Attack: 85247, Defense: 502280, Current HP: 3370, A Avg: 89509, D Avg: 502280, [Common Key[174, 330, 330, 330], Dragon's Wings[216, 330, 330, 330], Endpoint[318, 330, 330, 330]]
