Rank 1000: HP: 2166, STR: 2391, VIT: 2441, SPD: 85, LUK: 1, Attack: 87125, Defense: 92219, Current HP: 2166, A Avg: 91481, D Avg: 92219, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 979: HP: 1254, STR: 156, VIT: 2454, SPD: 72, LUK: 1, Attack: 83980, Defense: 92232, Current HP: 1254, A Avg: 88179, D Avg: 92232, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 978: HP: 893, STR: 243, VIT: 2454, SPD: 72, LUK: 1, Attack: 84086, Defense: 92232, Current HP: 893, A Avg: 88290, D Avg: 92232, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 977: HP: 1254, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84078, Defense: 92232, Current HP: 1254, A Avg: 88281, D Avg: 92232, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 976: HP: 912, STR: 243, VIT: 2454, SPD: 72, LUK: 1, Attack: 84132, Defense: 92232, Current HP: 912, A Avg: 88338, D Avg: 92232, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 975: HP: 1276, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84124, Defense: 92232, Current HP: 1276, A Avg: 88330, D Avg: 92232, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 974: HP: 893, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 83862, Defense: 92232, Current HP: 893, A Avg: 88055, D Avg: 92232, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 973: HP: 1254, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 83854, Defense: 92232, Current HP: 1254, A Avg: 88046, D Avg: 92232, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 972: HP: 912, STR: 227, VIT: 2454, SPD: 72, LUK: 1, Attack: 84070, Defense: 92232, Current HP: 912, A Avg: 88273, D Avg: 92232, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 971: HP: 902, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84078, Defense: 92232, Current HP: 902, A Avg: 88281, D Avg: 92232, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 970: HP: 893, STR: 259, VIT: 2454, SPD: 72, LUK: 1, Attack: 84382, Defense: 92232, Current HP: 893, A Avg: 88601, D Avg: 92232, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 969: HP: 1254, STR: 251, VIT: 2454, SPD: 72, LUK: 1, Attack: 84374, Defense: 92232, Current HP: 1254, A Avg: 88592, D Avg: 92232, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 968: HP: 902, STR: 297, VIT: 2454, SPD: 72, LUK: 1, Attack: 84381, Defense: 92232, Current HP: 902, A Avg: 88600, D Avg: 92232, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 967: HP: 893, STR: 305, VIT: 2454, SPD: 72, LUK: 1, Attack: 84389, Defense: 92232, Current HP: 893, A Avg: 88608, D Avg: 92232, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 966: HP: 912, STR: 227, VIT: 2454, SPD: 72, LUK: 1, Attack: 84099, Defense: 92232, Current HP: 912, A Avg: 88303, D Avg: 92232, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 965: HP: 902, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84107, Defense: 92232, Current HP: 902, A Avg: 88312, D Avg: 92232, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 964: HP: 912, STR: 227, VIT: 2454, SPD: 72, LUK: 1, Attack: 84126, Defense: 92232, Current HP: 912, A Avg: 88332, D Avg: 92232, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 963: HP: 902, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84134, Defense: 92232, Current HP: 902, A Avg: 88340, D Avg: 92232, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 962: HP: 912, STR: 227, VIT: 2454, SPD: 72, LUK: 1, Attack: 84153, Defense: 92232, Current HP: 912, A Avg: 88360, D Avg: 92232, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 961: HP: 902, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84161, Defense: 92232, Current HP: 902, A Avg: 88369, D Avg: 92232, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 960: HP: 912, STR: 313, VIT: 2454, SPD: 72, LUK: 1, Attack: 84319, Defense: 92232, Current HP: 912, A Avg: 88534, D Avg: 92232, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 959: HP: 1276, STR: 305, VIT: 2454, SPD: 72, LUK: 1, Attack: 84311, Defense: 92232, Current HP: 1276, A Avg: 88526, D Avg: 92232, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 958: HP: 902, STR: 164, VIT: 2454, SPD: 72, LUK: 1, Attack: 84157, Defense: 92232, Current HP: 902, A Avg: 88364, D Avg: 92232, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 957: HP: 1265, STR: 156, VIT: 2454, SPD: 72, LUK: 1, Attack: 84149, Defense: 92232, Current HP: 1265, A Avg: 88356, D Avg: 92232, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 956: HP: 1330, STR: 392, VIT: 2454, SPD: 72, LUK: 1, Attack: 84580, Defense: 92232, Current HP: 1330, A Avg: 88809, D Avg: 92232, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 955: HP: 1760, STR: 384, VIT: 2454, SPD: 72, LUK: 1, Attack: 84572, Defense: 92232, Current HP: 1760, A Avg: 88800, D Avg: 92232, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 954: HP: 902, STR: 243, VIT: 2454, SPD: 72, LUK: 1, Attack: 84242, Defense: 92232, Current HP: 902, A Avg: 88454, D Avg: 92232, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 953: HP: 1265, STR: 235, VIT: 2454, SPD: 72, LUK: 1, Attack: 84234, Defense: 92232, Current HP: 1265, A Avg: 88445, D Avg: 92232, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 952: HP: 1326, STR: 318, VIT: 2454, SPD: 72, LUK: 1, Attack: 84740, Defense: 92232, Current HP: 1326, A Avg: 88977, D Avg: 92232, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 951: HP: 1755, STR: 310, VIT: 2454, SPD: 72, LUK: 1, Attack: 84732, Defense: 92232, Current HP: 1755, A Avg: 88968, D Avg: 92232, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 950: HP: 912, STR: 110, VIT: 2454, SPD: 72, LUK: 1, Attack: 83885, Defense: 92232, Current HP: 912, A Avg: 88079, D Avg: 92232, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 949: HP: 1276, STR: 102, VIT: 2454, SPD: 72, LUK: 1, Attack: 83877, Defense: 92232, Current HP: 1276, A Avg: 88070, D Avg: 92232, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 948: HP: 950, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 83996, Defense: 92232, Current HP: 950, A Avg: 88195, D Avg: 92232, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 947: HP: 1320, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 83988, Defense: 92232, Current HP: 1320, A Avg: 88187, D Avg: 92232, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 946: HP: 1919, STR: 446, VIT: 2454, SPD: 72, LUK: 1, Attack: 86129, Defense: 92232, Current HP: 1919, A Avg: 90435, D Avg: 92232, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 945: HP: 2442, STR: 438, VIT: 2454, SPD: 72, LUK: 1, Attack: 86121, Defense: 92232, Current HP: 2442, A Avg: 90427, D Avg: 92232, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 944: HP: 893, STR: 1216, VIT: 2454, SPD: 72, LUK: 1, Attack: 85872, Defense: 92232, Current HP: 893, A Avg: 90165, D Avg: 92232, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 943: HP: 1254, STR: 876, VIT: 2454, SPD: 72, LUK: 1, Attack: 85532, Defense: 92232, Current HP: 1254, A Avg: 89808, D Avg: 92232, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 942: HP: 893, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 84935, Defense: 92232, Current HP: 893, A Avg: 89181, D Avg: 92232, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 941: HP: 1254, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 84927, Defense: 92232, Current HP: 1254, A Avg: 89173, D Avg: 92232, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 940: HP: 1083, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 85062, Defense: 92232, Current HP: 1083, A Avg: 89315, D Avg: 92232, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 939: HP: 1474, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 85054, Defense: 92232, Current HP: 1474, A Avg: 89306, D Avg: 92232, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 938: HP: 1463, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 92280, Defense: 92232, Current HP: 1463, A Avg: 96894, D Avg: 92232, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 937: HP: 1914, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 92272, Defense: 92232, Current HP: 1914, A Avg: 96885, D Avg: 92232, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 936: HP: 5909, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 85147, Defense: 92232, Current HP: 5909, A Avg: 89404, D Avg: 92232, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 935: HP: 7062, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 85139, Defense: 92232, Current HP: 7062, A Avg: 89395, D Avg: 92232, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 934: HP: 1463, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 86336, Defense: 92232, Current HP: 1463, A Avg: 90652, D Avg: 92232, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 933: HP: 1914, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 86328, Defense: 92232, Current HP: 1914, A Avg: 90644, D Avg: 92232, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 932: HP: 893, STR: 2615, VIT: 2454, SPD: 72, LUK: 1, Attack: 87544, Defense: 92232, Current HP: 893, A Avg: 91921, D Avg: 92232, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 931: HP: 1254, STR: 1894, VIT: 2454, SPD: 72, LUK: 1, Attack: 86823, Defense: 92232, Current HP: 1254, A Avg: 91164, D Avg: 92232, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 930: HP: 893, STR: 2910, VIT: 2454, SPD: 72, LUK: 1, Attack: 87488, Defense: 92232, Current HP: 893, A Avg: 91862, D Avg: 92232, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 929: HP: 1254, STR: 2902, VIT: 2454, SPD: 72, LUK: 1, Attack: 87480, Defense: 92232, Current HP: 1254, A Avg: 91854, D Avg: 92232, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 928: HP: 893, STR: 606, VIT: 2454, SPD: 72, LUK: 1, Attack: 87657, Defense: 92232, Current HP: 893, A Avg: 92039, D Avg: 92232, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 927: HP: 1254, STR: 598, VIT: 2454, SPD: 72, LUK: 1, Attack: 87649, Defense: 92232, Current HP: 1254, A Avg: 92031, D Avg: 92232, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 926: HP: 893, STR: -70236, VIT: 2454, SPD: 72, LUK: 1, Attack: 29030, Defense: 92232, Current HP: 893, A Avg: 30481, D Avg: 92232, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 925: HP: 1254, STR: -70244, VIT: 2454, SPD: 72, LUK: 1, Attack: 29022, Defense: 92232, Current HP: 1254, A Avg: 30473, D Avg: 92232, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 924: HP: 893, STR: 3230, VIT: 2454, SPD: 72, LUK: 1, Attack: 90891, Defense: 92232, Current HP: 893, A Avg: 95435, D Avg: 92232, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 923: HP: 1254, STR: 3222, VIT: 2454, SPD: 72, LUK: 1, Attack: 90883, Defense: 92232, Current HP: 1254, A Avg: 95427, D Avg: 92232, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 922: HP: 2400, STR: 915, VIT: 2454, SPD: 76, LUK: 1, Attack: 85623, Defense: 92232, Current HP: 2400, A Avg: 107028, D Avg: 92232, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 921: HP: 2266, STR: 1382, VIT: 2457, SPD: 72, LUK: 2, Attack: 86716, Defense: 92235, Current HP: 2266, A Avg: 91051, D Avg: 92235, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 920: HP: 1843, STR: 2428, VIT: 2457, SPD: 72, LUK: 1, Attack: 87762, Defense: 92235, Current HP: 1843, A Avg: 92150, D Avg: 92235, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 919: HP: 1843, STR: 1523, VIT: 2457, SPD: 72, LUK: 2, Attack: 86857, Defense: 92235, Current HP: 1843, A Avg: 91199, D Avg: 92235, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 918: HP: 1415, STR: 754, VIT: 6572, SPD: 72, LUK: 1, Attack: 86086, Defense: 92242, Current HP: 1415, A Avg: 90390, D Avg: 92242, [Tower[149, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 917: HP: 1406, STR: 566, VIT: 6572, SPD: 72, LUK: 1, Attack: 85898, Defense: 92242, Current HP: 1406, A Avg: 90192, D Avg: 92242, [Tower[149, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 916: HP: 1650, STR: 566, VIT: 6572, SPD: 72, LUK: 1, Attack: 84507, Defense: 92242, Current HP: 1650, A Avg: 106478, D Avg: 92242, [Rusty Knife[156, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 915: HP: 1330, STR: 1396, VIT: 6572, SPD: 72, LUK: 1, Attack: 86234, Defense: 92242, Current HP: 1330, A Avg: 90545, D Avg: 92242, [Willow Blade[157, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 914: HP: 1760, STR: 1023, VIT: 6572, SPD: 72, LUK: 1, Attack: 85861, Defense: 92242, Current HP: 1760, A Avg: 90154, D Avg: 92242, [Willow Blade[157, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 913: HP: 2261, STR: 848, VIT: 6572, SPD: 72, LUK: 1, Attack: 85771, Defense: 92242, Current HP: 2261, A Avg: 90059, D Avg: 92242, [Pangaea[164, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 912: HP: 2838, STR: 839, VIT: 6572, SPD: 72, LUK: 1, Attack: 85762, Defense: 92242, Current HP: 2838, A Avg: 90050, D Avg: 92242, [Pangaea[164, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 911: HP: 2813, STR: 1334, VIT: 2465, SPD: 72, LUK: 1, Attack: 86668, Defense: 92243, Current HP: 2813, A Avg: 91001, D Avg: 92243, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 910: HP: 1881, STR: 1334, VIT: 2465, SPD: 130, LUK: 1, Attack: 86668, Defense: 92243, Current HP: 1881, A Avg: 91001, D Avg: 110691, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 909: HP: 3135, STR: 1382, VIT: 2465, SPD: 72, LUK: 1, Attack: 86716, Defense: 92243, Current HP: 3135, A Avg: 91051, D Avg: 92243, [Impulse[166, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 908: HP: 940, STR: 110, VIT: 2467, SPD: 72, LUK: 1, Attack: 88277, Defense: 92245, Current HP: 940, A Avg: 92690, D Avg: 92245, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 907: HP: 931, STR: 236, VIT: 2467, SPD: 72, LUK: 1, Attack: 88403, Defense: 92245, Current HP: 931, A Avg: 92823, D Avg: 92245, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 906: HP: 2375, STR: 759, VIT: 6577, SPD: 72, LUK: 1, Attack: 84615, Defense: 92247, Current HP: 2375, A Avg: 88845, D Avg: 92247, [Emerald Sword[115, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 905: HP: 5462, STR: 2988, VIT: 6577, SPD: 72, LUK: 1, Attack: 88801, Defense: 92247, Current HP: 5462, A Avg: 93241, D Avg: 92247, [Spear of Regression[182, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 904: HP: 5453, STR: 2997, VIT: 6577, SPD: 72, LUK: 1, Attack: 88810, Defense: 92247, Current HP: 5453, A Avg: 93250, D Avg: 92247, [Spear of Regression[182, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 903: HP: 1311, STR: 316, VIT: 2469, SPD: 72, LUK: 1, Attack: 84283, Defense: 92247, Current HP: 1311, A Avg: 88497, D Avg: 92247, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
