Rank 1000: HP: 1774, STR: 363, VIT: 724222, SPD: 81, LUK: 1, Attack: 84356, Defense: 808462, Current HP: 1774, A Avg: 88573, D Avg: 808462, [Sword of Wood[124, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 977: HP: 2162, STR: 954, VIT: 724646, SPD: 81, LUK: 1, Attack: 85688, Defense: 808483, Current HP: 2162, A Avg: 89972, D Avg: 808483, [Irruption[154, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 976: HP: 1196, STR: 1000, VIT: 724623, SPD: 81, LUK: 1, Attack: 85838, Defense: 808486, Current HP: 1196, A Avg: 90129, D Avg: 808486, [Classic[168, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 975: HP: 1774, STR: 442, VIT: 724251, SPD: 81, LUK: 1, Attack: 84285, Defense: 808491, Current HP: 1774, A Avg: 88499, D Avg: 808491, [Salamander[110, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 974: HP: 1763, STR: 522, VIT: 724251, SPD: 81, LUK: 1, Attack: 84606, Defense: 808491, Current HP: 1763, A Avg: 88836, D Avg: 808491, [Phantom Scythe[116, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 973: HP: 1774, STR: 442, VIT: 724251, SPD: 81, LUK: 1, Attack: 84314, Defense: 808491, Current HP: 1774, A Avg: 88529, D Avg: 808491, [Undine[118, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 972: HP: 1774, STR: 442, VIT: 724251, SPD: 81, LUK: 1, Attack: 84341, Defense: 808491, Current HP: 1774, A Avg: 88558, D Avg: 808491, [Sylph[119, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 971: HP: 1774, STR: 442, VIT: 724251, SPD: 81, LUK: 1, Attack: 84368, Defense: 808491, Current HP: 1774, A Avg: 88586, D Avg: 808491, [Gnome[120, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 970: HP: 1763, STR: 680, VIT: 724631, SPD: 81, LUK: 1, Attack: 86012, Defense: 808500, Current HP: 1763, A Avg: 90312, D Avg: 808500, [Tower[149, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 969: HP: 1679, STR: 592, VIT: 724617, SPD: 81, LUK: 1, Attack: 84533, Defense: 808506, Current HP: 1679, A Avg: 88759, D Avg: 808506, [Rusty Knife[156, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 968: HP: 6236, STR: 3254, VIT: 724637, SPD: 81, LUK: 1, Attack: 89067, Defense: 808506, Current HP: 6236, A Avg: 93520, D Avg: 808506, [Spear of Regression[182, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 967: HP: 1805, STR: 311, VIT: 724266, SPD: 81, LUK: 1, Attack: 88478, Defense: 808506, Current HP: 1805, A Avg: 92901, D Avg: 808506, [Basic[169, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 966: HP: 2461, STR: 592, VIT: 724588, SPD: 81, LUK: 1, Attack: 84533, Defense: 808516, Current HP: 2461, A Avg: 88759, D Avg: 808516, [Rusty Knife[156, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 965: HP: 1763, STR: 592, VIT: 724602, SPD: 81, LUK: 1, Attack: 84533, Defense: 808530, Current HP: 1763, A Avg: 88759, D Avg: 808530, [Rusty Knife[156, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 964: HP: 1679, STR: 522, VIT: 724646, SPD: 81, LUK: 1, Attack: 85997, Defense: 808535, Current HP: 1679, A Avg: 90296, D Avg: 808535, [Elemental[121, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 963: HP: 2141, STR: 698, VIT: 724646, SPD: 81, LUK: 1, Attack: 85348, Defense: 808535, Current HP: 2141, A Avg: 89615, D Avg: 808535, [Diamond Knuckle[152, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 962: HP: 1196, STR: 1000, VIT: 724652, SPD: 81, LUK: 1, Attack: 85838, Defense: 808541, Current HP: 1196, A Avg: 90129, D Avg: 808541, [Classic[168, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 961: HP: 1621, STR: 284, VIT: 724602, SPD: 81, LUK: 1, Attack: 84472, Defense: 808543, Current HP: 1621, A Avg: 88695, D Avg: 808543, [Cagliostro[133, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 960: HP: 2461, STR: 522, VIT: 724617, SPD: 81, LUK: 1, Attack: 85997, Defense: 808545, Current HP: 2461, A Avg: 90296, D Avg: 808545, [Elemental[121, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 959: HP: 2923, STR: 698, VIT: 724617, SPD: 81, LUK: 1, Attack: 85348, Defense: 808545, Current HP: 2923, A Avg: 89615, D Avg: 808545, [Diamond Knuckle[152, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 958: HP: 1978, STR: 1000, VIT: 724623, SPD: 81, LUK: 1, Attack: 85838, Defense: 808551, Current HP: 1978, A Avg: 90129, D Avg: 808551, [Classic[168, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 957: HP: 1568, STR: 612, VIT: 724611, SPD: 81, LUK: 1, Attack: 84722, Defense: 808552, Current HP: 1568, A Avg: 88958, D Avg: 808552, [Windmill[137, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 956: HP: 1558, STR: 522, VIT: 724614, SPD: 81, LUK: 1, Attack: 84522, Defense: 808555, Current HP: 1558, A Avg: 88748, D Avg: 808555, [Kirisame[129, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 955: HP: 2041, STR: 531, VIT: 724614, SPD: 81, LUK: 1, Attack: 84652, Defense: 808555, Current HP: 2041, A Avg: 88884, D Avg: 808555, [Black Kirisame[130, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 954: HP: 2028, STR: 766, VIT: 724614, SPD: 81, LUK: 1, Attack: 86514, Defense: 808555, Current HP: 2028, A Avg: 90839, D Avg: 808555, [Scythe of the Grim Reaper[148, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 953: HP: 2062, STR: 531, VIT: 724617, SPD: 81, LUK: 1, Attack: 84641, Defense: 808558, Current HP: 2062, A Avg: 88873, D Avg: 808558, [Serpent[144, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 952: HP: 1763, STR: 522, VIT: 724631, SPD: 81, LUK: 1, Attack: 85997, Defense: 808559, Current HP: 1763, A Avg: 90296, D Avg: 808559, [Elemental[121, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 951: HP: 2225, STR: 698, VIT: 724631, SPD: 81, LUK: 1, Attack: 85348, Defense: 808559, Current HP: 2225, A Avg: 89615, D Avg: 808559, [Diamond Knuckle[152, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 950: HP: 1927, STR: 754, VIT: 724759, SPD: 81, LUK: 1, Attack: 85797, Defense: 808563, Current HP: 1927, A Avg: 90086, D Avg: 808563, [White Snake[160, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 949: HP: 2112, STR: 590, VIT: 724727, SPD: 81, LUK: 1, Attack: 84700, Defense: 808564, Current HP: 2112, A Avg: 88935, D Avg: 808564, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 948: HP: 2162, STR: 594, VIT: 724727, SPD: 81, LUK: 1, Attack: 85107, Defense: 808564, Current HP: 2162, A Avg: 89362, D Avg: 808564, [Volcano[142, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 947: HP: 2318, STR: 693, VIT: 724623, SPD: 81, LUK: 1, Attack: 85659, Defense: 808564, Current HP: 2318, A Avg: 89941, D Avg: 808564, [Red Shark[134, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 946: HP: 1280, STR: 1000, VIT: 724637, SPD: 81, LUK: 1, Attack: 85838, Defense: 808565, Current HP: 1280, A Avg: 90129, D Avg: 808565, [Classic[168, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 945: HP: 2183, STR: 590, VIT: 724730, SPD: 81, LUK: 1, Attack: 86559, Defense: 808567, Current HP: 2183, A Avg: 90886, D Avg: 808567, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 944: HP: 2162, STR: 997, VIT: 724768, SPD: 81, LUK: 1, Attack: 87343, Defense: 808572, Current HP: 2162, A Avg: 91710, D Avg: 808572, [Progress[147, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 943: HP: 2482, STR: 522, VIT: 724631, SPD: 81, LUK: 1, Attack: 84840, Defense: 808572, Current HP: 2482, A Avg: 89082, D Avg: 808572, [Ruby Knuckle[151, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 942: HP: 1679, STR: 1173, VIT: 724715, SPD: 81, LUK: 1, Attack: 86011, Defense: 808578, Current HP: 1679, A Avg: 90311, D Avg: 808578, [Willow Blade[157, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 941: HP: 2708, STR: 979, VIT: 724715, SPD: 81, LUK: 1, Attack: 85902, Defense: 808578, Current HP: 2708, A Avg: 90197, D Avg: 808578, [Pangaea[164, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 940: HP: 2183, STR: 2829, VIT: 724338, SPD: 81, LUK: 1, Attack: 92738, Defense: 808578, Current HP: 2183, A Avg: 97374, D Avg: 808578, [Spectral Sword Shigure[172, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 939: HP: 2624, STR: 759, VIT: 724744, SPD: 81, LUK: 1, Attack: 85857, Defense: 808581, Current HP: 2624, A Avg: 90149, D Avg: 808581, [Yggdrasil[126, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 938: HP: 2162, STR: 685, VIT: 724744, SPD: 81, LUK: 1, Attack: 85510, Defense: 808581, Current HP: 2162, A Avg: 89785, D Avg: 808581, [Kraken[145, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 937: HP: 2225, STR: 592, VIT: 724744, SPD: 81, LUK: 1, Attack: 85404, Defense: 808581, Current HP: 2225, A Avg: 89674, D Avg: 808581, [Granada[150, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 936: HP: 2347, STR: 601, VIT: 724750, SPD: 81, LUK: 1, Attack: 84633, Defense: 808587, Current HP: 2347, A Avg: 88864, D Avg: 808587, [Alucard[146, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 935: HP: 1763, STR: 451, VIT: 724350, SPD: 81, LUK: 1, Attack: 84327, Defense: 808590, Current HP: 1763, A Avg: 88543, D Avg: 808590, [Tornado[111, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 934: HP: 2225, STR: 442, VIT: 724350, SPD: 81, LUK: 1, Attack: 84467, Defense: 808590, Current HP: 2225, A Avg: 88690, D Avg: 808590, [Fairy Sword[113, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 933: HP: 1763, STR: 540, VIT: 724350, SPD: 81, LUK: 1, Attack: 84689, Defense: 808590, Current HP: 1763, A Avg: 88923, D Avg: 808590, [Giant Tornado[114, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 932: HP: 1778, STR: 451, VIT: 724350, SPD: 81, LUK: 1, Attack: 84267, Defense: 808590, Current HP: 1778, A Avg: 88480, D Avg: 808590, [Hand Axe[140, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 931: HP: 1784, STR: 522, VIT: 724350, SPD: 81, LUK: 1, Attack: 84515, Defense: 808590, Current HP: 1784, A Avg: 88740, D Avg: 808590, [Wooden Boomerang[167, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 930: HP: 1967, STR: 455, VIT: 724353, SPD: 81, LUK: 1, Attack: 84253, Defense: 808593, Current HP: 1967, A Avg: 88465, D Avg: 808593, [Ninja[135, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 929: HP: 1780, STR: 451, VIT: 724356, SPD: 81, LUK: 1, Attack: 84457, Defense: 808596, Current HP: 1780, A Avg: 88679, D Avg: 808596, [Crescent[141, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 928: HP: 2041, STR: 972, VIT: 724660, SPD: 81, LUK: 1, Attack: 85706, Defense: 808601, Current HP: 2041, A Avg: 89991, D Avg: 808601, [Irruption[154, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 927: HP: 1763, STR: 680, VIT: 724744, SPD: 81, LUK: 1, Attack: 86012, Defense: 808607, Current HP: 1763, A Avg: 90312, D Avg: 808607, [Tower[149, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 926: HP: 6236, STR: 3254, VIT: 724750, SPD: 81, LUK: 1, Attack: 89067, Defense: 808613, Current HP: 6236, A Avg: 93520, D Avg: 808613, [Spear of Regression[182, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 925: HP: 1927, STR: 754, VIT: 724750, SPD: 81, LUK: 1, Attack: 85797, Defense: 808619, Current HP: 1927, A Avg: 90086, D Avg: 808619, [White Snake[160, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 924: HP: 2246, STR: 619, VIT: 724379, SPD: 81, LUK: 1, Attack: 85301, Defense: 808619, Current HP: 2246, A Avg: 89566, D Avg: 808619, [Thunder Whip[143, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 923: HP: 2162, STR: 997, VIT: 724759, SPD: 81, LUK: 1, Attack: 87343, Defense: 808628, Current HP: 2162, A Avg: 91710, D Avg: 808628, [Progress[147, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 922: HP: 1679, STR: 1173, VIT: 724744, SPD: 81, LUK: 1, Attack: 86011, Defense: 808633, Current HP: 1679, A Avg: 90311, D Avg: 808633, [Willow Blade[157, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 921: HP: 2708, STR: 979, VIT: 724744, SPD: 81, LUK: 1, Attack: 85902, Defense: 808633, Current HP: 2708, A Avg: 90197, D Avg: 808633, [Pangaea[164, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 920: HP: 2461, STR: 1173, VIT: 724715, SPD: 81, LUK: 1, Attack: 86011, Defense: 808643, Current HP: 2461, A Avg: 90311, D Avg: 808643, [Willow Blade[157, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 919: HP: 3490, STR: 979, VIT: 724715, SPD: 81, LUK: 1, Attack: 85902, Defense: 808643, Current HP: 3490, A Avg: 90197, D Avg: 808643, [Pangaea[164, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 918: HP: 1763, STR: 1173, VIT: 724730, SPD: 81, LUK: 1, Attack: 86011, Defense: 808658, Current HP: 1763, A Avg: 90311, D Avg: 808658, [Willow Blade[157, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 917: HP: 2792, STR: 979, VIT: 724730, SPD: 81, LUK: 1, Attack: 85902, Defense: 808658, Current HP: 2792, A Avg: 90197, D Avg: 808658, [Pangaea[164, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 916: HP: 1763, STR: 680, VIT: 724773, SPD: 81, LUK: 1, Attack: 86012, Defense: 808662, Current HP: 1763, A Avg: 90312, D Avg: 808662, [Tower[149, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 915: HP: 6236, STR: 3254, VIT: 724779, SPD: 81, LUK: 1, Attack: 89067, Defense: 808668, Current HP: 6236, A Avg: 93520, D Avg: 808668, [Spear of Regression[182, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 914: HP: 1217, STR: 874, VIT: 724866, SPD: 81, LUK: 1, Attack: 87402, Defense: 808670, Current HP: 1217, A Avg: 91772, D Avg: 808670, [Moon Knuckle[153, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 913: HP: 1196, STR: 2959, VIT: 724866, SPD: 81, LUK: 1, Attack: 88837, Defense: 808670, Current HP: 1196, A Avg: 93278, D Avg: 808670, [Blue Sword[180, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 912: HP: 2545, STR: 680, VIT: 724744, SPD: 81, LUK: 1, Attack: 86012, Defense: 808672, Current HP: 2545, A Avg: 90312, D Avg: 808672, [Tower[149, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 911: HP: 7018, STR: 3254, VIT: 724750, SPD: 81, LUK: 1, Attack: 89067, Defense: 808678, Current HP: 7018, A Avg: 93520, D Avg: 808678, [Spear of Regression[182, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 910: HP: 2162, STR: 592, VIT: 724843, SPD: 81, LUK: 1, Attack: 84533, Defense: 808680, Current HP: 2162, A Avg: 88759, D Avg: 808680, [Rusty Knife[156, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 909: HP: 1990, STR: 608, VIT: 724741, SPD: 81, LUK: 1, Attack: 84718, Defense: 808682, Current HP: 1990, A Avg: 88953, D Avg: 808682, [Dragon Killer[139, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 908: HP: 2041, STR: 612, VIT: 724741, SPD: 81, LUK: 1, Attack: 85125, Defense: 808682, Current HP: 2041, A Avg: 89381, D Avg: 808682, [Volcano[142, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 907: HP: 2062, STR: 608, VIT: 724744, SPD: 81, LUK: 1, Attack: 86577, Defense: 808685, Current HP: 2062, A Avg: 90905, D Avg: 808685, [Fire Chariot[138, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 906: HP: 6320, STR: 3254, VIT: 724765, SPD: 81, LUK: 1, Attack: 89067, Defense: 808693, Current HP: 6320, A Avg: 93520, D Avg: 808693, [Spear of Regression[182, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 905: HP: 2503, STR: 777, VIT: 724759, SPD: 81, LUK: 1, Attack: 85875, Defense: 808700, Current HP: 2503, A Avg: 90168, D Avg: 808700, [Yggdrasil[126, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 904: HP: 2041, STR: 703, VIT: 724759, SPD: 81, LUK: 1, Attack: 85528, Defense: 808700, Current HP: 2041, A Avg: 89804, D Avg: 808700, [Kraken[145, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 903: HP: 2104, STR: 610, VIT: 724759, SPD: 81, LUK: 1, Attack: 85422, Defense: 808700, Current HP: 2104, A Avg: 89693, D Avg: 808700, [Granada[150, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
