Rank 1000: HP: 491, STR: 172, VIT: 417887, SPD: 9, LUK: 1, Attack: 85920, Defense: 501815, Current HP: 491, A Avg: 90216, D Avg: 501815, [Scythe of the Grim Reaper[148, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 987: HP: 508, STR: 167, VIT: 417881, SPD: 9, LUK: 1, Attack: 84134, Defense: 501822, Current HP: 508, A Avg: 88340, D Avg: 501822, [Phantom Sword[117, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 986: HP: 529, STR: 237, VIT: 417895, SPD: 9, LUK: 1, Attack: 85075, Defense: 501823, Current HP: 529, A Avg: 89328, D Avg: 501823, [Willow Blade[157, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 985: HP: 718, STR: 187, VIT: 417895, SPD: 9, LUK: 1, Attack: 85110, Defense: 501823, Current HP: 718, A Avg: 89365, D Avg: 501823, [Pangaea[164, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 984: HP: 529, STR: 171, VIT: 417895, SPD: 9, LUK: 1, Attack: 85137, Defense: 501823, Current HP: 529, A Avg: 89393, D Avg: 501823, [Red Shark[134, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 983: HP: 419, STR: 403, VIT: 417988, SPD: 9, LUK: 1, Attack: 85191, Defense: 501825, Current HP: 419, A Avg: 89450, D Avg: 501825, [Pulse Knife[165, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 982: HP: 436, STR: 169, VIT: 417936, SPD: 9, LUK: 1, Attack: 84201, Defense: 501825, Current HP: 436, A Avg: 88411, D Avg: 501825, [Alucard[146, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 981: HP: 503, STR: 160, VIT: 417898, SPD: 9, LUK: 1, Attack: 84101, Defense: 501826, Current HP: 503, A Avg: 88306, D Avg: 501826, [Rusty Knife[156, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 980: HP: 503, STR: 162, VIT: 417898, SPD: 9, LUK: 1, Attack: 84675, Defense: 501826, Current HP: 503, A Avg: 88908, D Avg: 501826, [Volcano[142, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 979: HP: 541, STR: 194, VIT: 417991, SPD: 9, LUK: 1, Attack: 85838, Defense: 501828, Current HP: 541, A Avg: 90129, D Avg: 501828, [Gladius[162, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 978: HP: 356, STR: 403, VIT: 417965, SPD: 9, LUK: 1, Attack: 85191, Defense: 501828, Current HP: 356, A Avg: 89450, D Avg: 501828, [Pulse Knife[165, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 977: HP: 550, STR: 147, VIT: 417887, SPD: 9, LUK: 1, Attack: 84003, Defense: 501828, Current HP: 550, A Avg: 88203, D Avg: 501828, [Emerald Sword[115, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 976: HP: 524, STR: 158, VIT: 417901, SPD: 9, LUK: 1, Attack: 86127, Defense: 501829, Current HP: 524, A Avg: 90433, D Avg: 501829, [Fire Chariot[138, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 975: HP: 529, STR: 181, VIT: 417901, SPD: 9, LUK: 1, Attack: 85006, Defense: 501829, Current HP: 529, A Avg: 89256, D Avg: 501829, [Kraken[145, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 974: HP: 592, STR: 160, VIT: 417901, SPD: 9, LUK: 1, Attack: 84972, Defense: 501829, Current HP: 592, A Avg: 89220, D Avg: 501829, [Granada[150, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 973: HP: 478, STR: 194, VIT: 417968, SPD: 9, LUK: 1, Attack: 85838, Defense: 501831, Current HP: 478, A Avg: 90129, D Avg: 501831, [Gladius[162, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 972: HP: 419, STR: 162, VIT: 417942, SPD: 9, LUK: 1, Attack: 85637, Defense: 501831, Current HP: 419, A Avg: 89918, D Avg: 501831, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 971: HP: 461, STR: 194, VIT: 417942, SPD: 9, LUK: 1, Attack: 84844, Defense: 501831, Current HP: 461, A Avg: 89086, D Avg: 501831, [Diamond Knuckle[152, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 970: HP: 524, STR: 144, VIT: 417904, SPD: 9, LUK: 1, Attack: 84462, Defense: 501832, Current HP: 524, A Avg: 88685, D Avg: 501832, [Ruby Knuckle[151, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 969: HP: 491, STR: 163, VIT: 417892, SPD: 9, LUK: 1, Attack: 84065, Defense: 501833, Current HP: 491, A Avg: 88268, D Avg: 501833, [Crossed Shuriken[136, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 968: HP: 476, STR: 147, VIT: 417892, SPD: 9, LUK: 1, Attack: 83990, Defense: 501833, Current HP: 476, A Avg: 88189, D Avg: 501833, [Salamander[110, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 967: HP: 466, STR: 154, VIT: 417892, SPD: 9, LUK: 1, Attack: 84238, Defense: 501833, Current HP: 466, A Avg: 88449, D Avg: 501833, [Phantom Scythe[116, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 966: HP: 476, STR: 147, VIT: 417892, SPD: 9, LUK: 1, Attack: 84019, Defense: 501833, Current HP: 476, A Avg: 88219, D Avg: 501833, [Undine[118, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 965: HP: 476, STR: 147, VIT: 417892, SPD: 9, LUK: 1, Attack: 84046, Defense: 501833, Current HP: 476, A Avg: 88248, D Avg: 501833, [Sylph[119, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 964: HP: 476, STR: 147, VIT: 417892, SPD: 9, LUK: 1, Attack: 84073, Defense: 501833, Current HP: 476, A Avg: 88276, D Avg: 501833, [Gnome[120, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 963: HP: 545, STR: 169, VIT: 417907, SPD: 9, LUK: 1, Attack: 84201, Defense: 501835, Current HP: 545, A Avg: 88411, D Avg: 501835, [Alucard[146, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 962: HP: 356, STR: 403, VIT: 417968, SPD: 9, LUK: 1, Attack: 85191, Defense: 501837, Current HP: 356, A Avg: 89450, D Avg: 501837, [Pulse Knife[165, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 961: HP: 377, STR: 226, VIT: 417948, SPD: 9, LUK: 1, Attack: 86754, Defense: 501837, Current HP: 377, A Avg: 91091, D Avg: 501837, [Moon Knuckle[153, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 960: HP: 356, STR: 367, VIT: 417948, SPD: 9, LUK: 1, Attack: 86245, Defense: 501837, Current HP: 356, A Avg: 90557, D Avg: 501837, [Blue Sword[180, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 959: HP: 356, STR: 208, VIT: 417948, SPD: 9, LUK: 1, Attack: 85046, Defense: 501837, Current HP: 356, A Avg: 89298, D Avg: 501837, [Classic[168, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 958: HP: 419, STR: 234, VIT: 417948, SPD: 9, LUK: 1, Attack: 84968, Defense: 501837, Current HP: 419, A Avg: 89216, D Avg: 501837, [Irruption[154, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 957: HP: 503, STR: 237, VIT: 417910, SPD: 9, LUK: 1, Attack: 85075, Defense: 501838, Current HP: 503, A Avg: 89328, D Avg: 501838, [Willow Blade[157, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 956: HP: 692, STR: 187, VIT: 417910, SPD: 9, LUK: 1, Attack: 85110, Defense: 501838, Current HP: 692, A Avg: 89365, D Avg: 501838, [Pangaea[164, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 955: HP: 529, STR: 140, VIT: 417898, SPD: 9, LUK: 1, Attack: 84328, Defense: 501839, Current HP: 529, A Avg: 88544, D Avg: 501839, [Cagliostro[133, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 954: HP: 478, STR: 194, VIT: 417971, SPD: 9, LUK: 1, Attack: 85838, Defense: 501840, Current HP: 478, A Avg: 90129, D Avg: 501840, [Gladius[162, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 953: HP: 529, STR: 162, VIT: 417913, SPD: 9, LUK: 1, Attack: 85637, Defense: 501841, Current HP: 529, A Avg: 89918, D Avg: 501841, [Elemental[121, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 952: HP: 571, STR: 194, VIT: 417913, SPD: 9, LUK: 1, Attack: 84844, Defense: 501841, Current HP: 571, A Avg: 89086, D Avg: 501841, [Diamond Knuckle[152, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 951: HP: 503, STR: 176, VIT: 417953, SPD: 9, LUK: 1, Attack: 85508, Defense: 501842, Current HP: 503, A Avg: 89783, D Avg: 501842, [Tower[149, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 950: HP: 550, STR: 171, VIT: 417901, SPD: 9, LUK: 1, Attack: 84684, Defense: 501842, Current HP: 550, A Avg: 88918, D Avg: 501842, [Maximum Iron Mass[123, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 949: HP: 629, STR: 241, VIT: 418040, SPD: 9, LUK: 1, Attack: 86093, Defense: 501844, Current HP: 629, A Avg: 90397, D Avg: 501844, [Santoku[159, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 948: HP: 545, STR: 183, VIT: 417916, SPD: 9, LUK: 1, Attack: 85281, Defense: 501844, Current HP: 545, A Avg: 89545, D Avg: 501844, [Yggdrasil[126, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 947: HP: 503, STR: 181, VIT: 417916, SPD: 9, LUK: 1, Attack: 85006, Defense: 501844, Current HP: 503, A Avg: 89256, D Avg: 501844, [Kraken[145, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 946: HP: 566, STR: 160, VIT: 417916, SPD: 9, LUK: 1, Attack: 84972, Defense: 501844, Current HP: 566, A Avg: 89220, D Avg: 501844, [Granada[150, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 945: HP: 499, STR: 178, VIT: 417956, SPD: 9, LUK: 1, Attack: 85221, Defense: 501845, Current HP: 499, A Avg: 89482, D Avg: 501845, [White Snake[160, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 944: HP: 529, STR: 180, VIT: 417904, SPD: 9, LUK: 1, Attack: 84862, Defense: 501845, Current HP: 529, A Avg: 89105, D Avg: 501845, [Thunder Whip[143, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 943: HP: 487, STR: 226, VIT: 417919, SPD: 9, LUK: 1, Attack: 86754, Defense: 501847, Current HP: 487, A Avg: 91091, D Avg: 501847, [Moon Knuckle[153, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 942: HP: 466, STR: 367, VIT: 417919, SPD: 9, LUK: 1, Attack: 86245, Defense: 501847, Current HP: 466, A Avg: 90557, D Avg: 501847, [Blue Sword[180, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 941: HP: 466, STR: 208, VIT: 417919, SPD: 9, LUK: 1, Attack: 85046, Defense: 501847, Current HP: 466, A Avg: 89298, D Avg: 501847, [Classic[168, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 940: HP: 529, STR: 234, VIT: 417919, SPD: 9, LUK: 1, Attack: 84968, Defense: 501847, Current HP: 529, A Avg: 89216, D Avg: 501847, [Irruption[154, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 939: HP: 476, STR: 180, VIT: 417907, SPD: 9, LUK: 1, Attack: 84290, Defense: 501848, Current HP: 476, A Avg: 88504, D Avg: 501848, [Windmill[137, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 938: HP: 508, STR: 160, VIT: 417907, SPD: 9, LUK: 1, Attack: 88327, Defense: 501848, Current HP: 508, A Avg: 92743, D Avg: 501848, [Basic[169, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 937: HP: 520, STR: 169, VIT: 417921, SPD: 9, LUK: 1, Attack: 84201, Defense: 501849, Current HP: 520, A Avg: 88411, D Avg: 501849, [Alucard[146, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 936: HP: 466, STR: 162, VIT: 417910, SPD: 9, LUK: 1, Attack: 84162, Defense: 501851, Current HP: 466, A Avg: 88370, D Avg: 501851, [Kirisame[129, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 935: HP: 529, STR: 171, VIT: 417910, SPD: 9, LUK: 1, Attack: 84292, Defense: 501851, Current HP: 529, A Avg: 88506, D Avg: 501851, [Black Kirisame[130, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 934: HP: 516, STR: 190, VIT: 417910, SPD: 9, LUK: 1, Attack: 85938, Defense: 501851, Current HP: 516, A Avg: 90234, D Avg: 501851, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 933: HP: 613, STR: 176, VIT: 417924, SPD: 9, LUK: 1, Attack: 85508, Defense: 501852, Current HP: 613, A Avg: 89783, D Avg: 501852, [Tower[149, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 932: HP: 482, STR: 205, VIT: 417965, SPD: 9, LUK: 1, Attack: 86551, Defense: 501854, Current HP: 482, A Avg: 90878, D Avg: 501854, [Progress[147, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 931: HP: 550, STR: 171, VIT: 417913, SPD: 9, LUK: 1, Attack: 84281, Defense: 501854, Current HP: 550, A Avg: 88495, D Avg: 501854, [Serpent[144, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 930: HP: 608, STR: 178, VIT: 417927, SPD: 9, LUK: 1, Attack: 85221, Defense: 501855, Current HP: 608, A Avg: 89482, D Avg: 501855, [White Snake[160, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 929: HP: 503, STR: 162, VIT: 417927, SPD: 9, LUK: 1, Attack: 85637, Defense: 501855, Current HP: 503, A Avg: 89918, D Avg: 501855, [Elemental[121, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 928: HP: 545, STR: 194, VIT: 417927, SPD: 9, LUK: 1, Attack: 84844, Defense: 501855, Current HP: 545, A Avg: 89086, D Avg: 501855, [Diamond Knuckle[152, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 927: HP: 692, STR: 160, VIT: 418023, SPD: 9, LUK: 1, Attack: 84868, Defense: 501860, Current HP: 692, A Avg: 89111, D Avg: 501860, [Thin Blade[158, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 926: HP: 608, STR: 259, VIT: 417971, SPD: 9, LUK: 1, Attack: 86137, Defense: 501860, Current HP: 608, A Avg: 90443, D Avg: 501860, [God Hand[179, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 925: HP: 566, STR: 331, VIT: 417971, SPD: 9, LUK: 1, Attack: 85871, Defense: 501860, Current HP: 566, A Avg: 90164, D Avg: 501860, [Zodiac[184, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 924: HP: 554, STR: 189, VIT: 417919, SPD: 9, LUK: 1, Attack: 85155, Defense: 501860, Current HP: 554, A Avg: 89412, D Avg: 501860, [Red Shark[134, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 923: HP: 776, STR: 1436, VIT: 417971, SPD: 9, LUK: 1, Attack: 91345, Defense: 501860, Current HP: 776, A Avg: 95912, D Avg: 501860, [Spectral Sword Shigure[172, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 922: HP: 461, STR: 226, VIT: 417933, SPD: 9, LUK: 1, Attack: 86754, Defense: 501861, Current HP: 461, A Avg: 91091, D Avg: 501861, [Moon Knuckle[153, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 921: HP: 440, STR: 367, VIT: 417933, SPD: 9, LUK: 1, Attack: 86245, Defense: 501861, Current HP: 440, A Avg: 90557, D Avg: 501861, [Blue Sword[180, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 920: HP: 440, STR: 208, VIT: 417933, SPD: 9, LUK: 1, Attack: 85046, Defense: 501861, Current HP: 440, A Avg: 89298, D Avg: 501861, [Classic[168, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 919: HP: 503, STR: 234, VIT: 417933, SPD: 9, LUK: 1, Attack: 84968, Defense: 501861, Current HP: 503, A Avg: 89216, D Avg: 501861, [Irruption[154, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 918: HP: 529, STR: 178, VIT: 417921, SPD: 9, LUK: 1, Attack: 84119, Defense: 501862, Current HP: 529, A Avg: 88324, D Avg: 501862, [Rusty Knife[156, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 917: HP: 562, STR: 176, VIT: 417921, SPD: 9, LUK: 1, Attack: 84286, Defense: 501862, Current HP: 562, A Avg: 88500, D Avg: 501862, [Dragon Killer[139, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 916: HP: 529, STR: 180, VIT: 417921, SPD: 9, LUK: 1, Attack: 84693, Defense: 501862, Current HP: 529, A Avg: 88927, D Avg: 501862, [Volcano[142, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 915: HP: 629, STR: 160, VIT: 418000, SPD: 9, LUK: 1, Attack: 84868, Defense: 501863, Current HP: 629, A Avg: 89111, D Avg: 501863, [Thin Blade[158, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 914: HP: 592, STR: 205, VIT: 417936, SPD: 9, LUK: 1, Attack: 86551, Defense: 501864, Current HP: 592, A Avg: 90878, D Avg: 501864, [Progress[147, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 913: HP: 550, STR: 176, VIT: 417924, SPD: 9, LUK: 1, Attack: 86145, Defense: 501865, Current HP: 550, A Avg: 90452, D Avg: 501865, [Fire Chariot[138, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 912: HP: 550, STR: 162, VIT: 417927, SPD: 9, LUK: 1, Attack: 84480, Defense: 501868, Current HP: 550, A Avg: 88704, D Avg: 501868, [Ruby Knuckle[151, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 911: HP: 718, STR: 259, VIT: 417942, SPD: 9, LUK: 1, Attack: 86137, Defense: 501870, Current HP: 718, A Avg: 90443, D Avg: 501870, [God Hand[179, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 910: HP: 676, STR: 331, VIT: 417942, SPD: 9, LUK: 1, Attack: 85871, Defense: 501870, Current HP: 676, A Avg: 90164, D Avg: 501870, [Zodiac[184, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 909: HP: 583, STR: 178, VIT: 417942, SPD: 9, LUK: 1, Attack: 85221, Defense: 501870, Current HP: 583, A Avg: 89482, D Avg: 501870, [White Snake[160, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 908: HP: 886, STR: 1436, VIT: 417942, SPD: 9, LUK: 1, Attack: 91345, Defense: 501870, Current HP: 886, A Avg: 95912, D Avg: 501870, [Spectral Sword Shigure[172, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 907: HP: 629, STR: 160, VIT: 418003, SPD: 9, LUK: 1, Attack: 84868, Defense: 501872, Current HP: 629, A Avg: 89111, D Avg: 501872, [Thin Blade[158, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 906: HP: 356, STR: 115, VIT: 418069, SPD: 9, LUK: 1, Attack: 84503, Defense: 501873, Current HP: 356, A Avg: 88728, D Avg: 501873, [Encryption Key[173, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 905: HP: 860, STR: 295, VIT: 418069, SPD: 9, LUK: 1, Attack: 88177, Defense: 501873, Current HP: 860, A Avg: 92585, D Avg: 501873, [Wild Card[175, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 904: HP: 356, STR: 201, VIT: 418069, SPD: 9, LUK: 1, Attack: 85845, Defense: 501873, Current HP: 356, A Avg: 90137, D Avg: 501873, [Portal Sword[176, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 903: HP: 529, STR: 255, VIT: 417933, SPD: 9, LUK: 1, Attack: 85093, Defense: 501874, Current HP: 529, A Avg: 89347, D Avg: 501874, [Willow Blade[157, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 902: HP: 718, STR: 205, VIT: 417933, SPD: 9, LUK: 1, Attack: 85128, Defense: 501874, Current HP: 718, A Avg: 89384, D Avg: 501874, [Pangaea[164, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
