Rank 1000: HP: 734, STR: 268, VIT: 418116, SPD: 27, LUK: 1, Attack: 84209, Defense: 502005, Current HP: 734, A Avg: 88419, D Avg: 502005, [Rusty Knife[156, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 988: HP: 856, STR: 322, VIT: 418162, SPD: 27, LUK: 1, Attack: 85365, Defense: 502031, Current HP: 856, A Avg: 89633, D Avg: 502031, [White Snake[160, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 987: HP: 902, STR: 252, VIT: 418197, SPD: 27, LUK: 1, Attack: 85727, Defense: 502034, Current HP: 902, A Avg: 90013, D Avg: 502034, [Elemental[121, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 986: HP: 1049, STR: 320, VIT: 418197, SPD: 27, LUK: 1, Attack: 84970, Defense: 502034, Current HP: 1049, A Avg: 89218, D Avg: 502034, [Diamond Knuckle[152, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 985: HP: 734, STR: 252, VIT: 418145, SPD: 27, LUK: 1, Attack: 85727, Defense: 502034, Current HP: 734, A Avg: 90013, D Avg: 502034, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 984: HP: 881, STR: 320, VIT: 418145, SPD: 27, LUK: 1, Attack: 84970, Defense: 502034, Current HP: 881, A Avg: 89218, D Avg: 502034, [Diamond Knuckle[152, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 983: HP: 1159, STR: 1778, VIT: 418095, SPD: 27, LUK: 1, Attack: 91687, Defense: 502036, Current HP: 1159, A Avg: 96271, D Avg: 502036, [Spectral Sword Shigure[172, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 982: HP: 734, STR: 406, VIT: 418203, SPD: 27, LUK: 1, Attack: 85244, Defense: 502040, Current HP: 734, A Avg: 89506, D Avg: 502040, [Classic[168, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 981: HP: 902, STR: 403, VIT: 418171, SPD: 27, LUK: 1, Attack: 86749, Defense: 502040, Current HP: 902, A Avg: 91086, D Avg: 502040, [Progress[147, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 980: HP: 566, STR: 406, VIT: 418151, SPD: 27, LUK: 1, Attack: 85244, Defense: 502040, Current HP: 566, A Avg: 89506, D Avg: 502040, [Classic[168, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 979: HP: 802, STR: 176, VIT: 418101, SPD: 27, LUK: 1, Attack: 84364, Defense: 502042, Current HP: 802, A Avg: 88582, D Avg: 502042, [Cagliostro[133, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 978: HP: 1012, STR: 252, VIT: 418116, SPD: 27, LUK: 1, Attack: 85727, Defense: 502044, Current HP: 1012, A Avg: 90013, D Avg: 502044, [Elemental[121, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 977: HP: 1159, STR: 320, VIT: 418116, SPD: 27, LUK: 1, Attack: 84970, Defense: 502044, Current HP: 1159, A Avg: 89218, D Avg: 502044, [Diamond Knuckle[152, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 976: HP: 734, STR: 471, VIT: 418156, SPD: 27, LUK: 1, Attack: 85309, Defense: 502045, Current HP: 734, A Avg: 89574, D Avg: 502045, [Willow Blade[157, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 975: HP: 1133, STR: 385, VIT: 418156, SPD: 27, LUK: 1, Attack: 85308, Defense: 502045, Current HP: 1133, A Avg: 89573, D Avg: 502045, [Pangaea[164, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 974: HP: 902, STR: 471, VIT: 418209, SPD: 27, LUK: 1, Attack: 85309, Defense: 502046, Current HP: 902, A Avg: 89574, D Avg: 502046, [Willow Blade[157, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 973: HP: 1301, STR: 385, VIT: 418209, SPD: 27, LUK: 1, Attack: 85308, Defense: 502046, Current HP: 1301, A Avg: 89573, D Avg: 502046, [Pangaea[164, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 972: HP: 844, STR: 406, VIT: 418122, SPD: 27, LUK: 1, Attack: 85244, Defense: 502050, Current HP: 844, A Avg: 89506, D Avg: 502050, [Classic[168, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 971: HP: 587, STR: 388, VIT: 418182, SPD: 27, LUK: 1, Attack: 86916, Defense: 502051, Current HP: 587, A Avg: 91261, D Avg: 502051, [Moon Knuckle[153, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 970: HP: 856, STR: 322, VIT: 418188, SPD: 27, LUK: 1, Attack: 85365, Defense: 502051, Current HP: 856, A Avg: 89633, D Avg: 502051, [White Snake[160, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 969: HP: 566, STR: 1015, VIT: 418182, SPD: 27, LUK: 1, Attack: 86893, Defense: 502051, Current HP: 566, A Avg: 91237, D Avg: 502051, [Blue Sword[180, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 968: HP: 749, STR: 288, VIT: 418110, SPD: 27, LUK: 1, Attack: 84398, Defense: 502051, Current HP: 749, A Avg: 88617, D Avg: 502051, [Windmill[137, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 967: HP: 739, STR: 252, VIT: 418113, SPD: 27, LUK: 1, Attack: 84252, Defense: 502054, Current HP: 739, A Avg: 88464, D Avg: 502054, [Kirisame[129, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 966: HP: 907, STR: 261, VIT: 418113, SPD: 27, LUK: 1, Attack: 84382, Defense: 502054, Current HP: 907, A Avg: 88601, D Avg: 502054, [Black Kirisame[130, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 965: HP: 894, STR: 334, VIT: 418113, SPD: 27, LUK: 1, Attack: 86082, Defense: 502054, Current HP: 894, A Avg: 90386, D Avg: 502054, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 964: HP: 1012, STR: 471, VIT: 418127, SPD: 27, LUK: 1, Attack: 85309, Defense: 502055, Current HP: 1012, A Avg: 89574, D Avg: 502055, [Willow Blade[157, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 963: HP: 1411, STR: 385, VIT: 418127, SPD: 27, LUK: 1, Attack: 85308, Defense: 502055, Current HP: 1411, A Avg: 89573, D Avg: 502055, [Pangaea[164, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 962: HP: 928, STR: 261, VIT: 418116, SPD: 27, LUK: 1, Attack: 84371, Defense: 502057, Current HP: 928, A Avg: 88589, D Avg: 502057, [Serpent[144, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 961: HP: 818, STR: 252, VIT: 418130, SPD: 27, LUK: 1, Attack: 85727, Defense: 502058, Current HP: 818, A Avg: 90013, D Avg: 502058, [Elemental[121, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 960: HP: 965, STR: 320, VIT: 418130, SPD: 27, LUK: 1, Attack: 84970, Defense: 502058, Current HP: 965, A Avg: 89218, D Avg: 502058, [Diamond Knuckle[152, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 959: HP: 902, STR: 403, VIT: 418197, SPD: 27, LUK: 1, Attack: 86749, Defense: 502060, Current HP: 902, A Avg: 91086, D Avg: 502060, [Progress[147, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 958: HP: 995, STR: 315, VIT: 418122, SPD: 27, LUK: 1, Attack: 85281, Defense: 502063, Current HP: 995, A Avg: 89545, D Avg: 502063, [Red Shark[134, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 957: HP: 650, STR: 406, VIT: 418136, SPD: 27, LUK: 1, Attack: 85244, Defense: 502064, Current HP: 650, A Avg: 89506, D Avg: 502064, [Classic[168, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 956: HP: 818, STR: 471, VIT: 418142, SPD: 27, LUK: 1, Attack: 85309, Defense: 502070, Current HP: 818, A Avg: 89574, D Avg: 502070, [Willow Blade[157, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 955: HP: 1217, STR: 385, VIT: 418142, SPD: 27, LUK: 1, Attack: 85308, Defense: 502070, Current HP: 1217, A Avg: 89573, D Avg: 502070, [Pangaea[164, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 954: HP: 1033, STR: 252, VIT: 418130, SPD: 27, LUK: 1, Attack: 84570, Defense: 502071, Current HP: 1033, A Avg: 88798, D Avg: 502071, [Ruby Knuckle[151, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 953: HP: 587, STR: 388, VIT: 418209, SPD: 27, LUK: 1, Attack: 86916, Defense: 502072, Current HP: 587, A Avg: 91261, D Avg: 502072, [Moon Knuckle[153, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 952: HP: 566, STR: 1015, VIT: 418209, SPD: 27, LUK: 1, Attack: 86893, Defense: 502072, Current HP: 566, A Avg: 91237, D Avg: 502072, [Blue Sword[180, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 951: HP: 818, STR: 302, VIT: 418185, SPD: 27, LUK: 1, Attack: 85634, Defense: 502074, Current HP: 818, A Avg: 89915, D Avg: 502074, [Tower[149, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 950: HP: 986, STR: 302, VIT: 418238, SPD: 27, LUK: 1, Attack: 85634, Defense: 502075, Current HP: 986, A Avg: 89915, D Avg: 502075, [Tower[149, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 949: HP: 818, STR: 637, VIT: 418272, SPD: 27, LUK: 1, Attack: 86515, Defense: 502076, Current HP: 818, A Avg: 90840, D Avg: 502076, [God Hand[179, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 948: HP: 776, STR: 889, VIT: 418272, SPD: 27, LUK: 1, Attack: 86429, Defense: 502076, Current HP: 776, A Avg: 90750, D Avg: 502076, [Zodiac[184, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 947: HP: 1096, STR: 302, VIT: 418156, SPD: 27, LUK: 1, Attack: 85634, Defense: 502084, Current HP: 1096, A Avg: 89915, D Avg: 502084, [Tower[149, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 946: HP: 919, STR: 284, VIT: 418153, SPD: 27, LUK: 1, Attack: 84394, Defense: 502094, Current HP: 919, A Avg: 88613, D Avg: 502094, [Dragon Killer[139, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 945: HP: 907, STR: 288, VIT: 418153, SPD: 27, LUK: 1, Attack: 84801, Defense: 502094, Current HP: 907, A Avg: 89041, D Avg: 502094, [Volcano[142, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 944: HP: 928, STR: 284, VIT: 418156, SPD: 27, LUK: 1, Attack: 86253, Defense: 502097, Current HP: 928, A Avg: 90565, D Avg: 502097, [Fire Chariot[138, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 943: HP: 907, STR: 432, VIT: 418159, SPD: 27, LUK: 1, Attack: 85166, Defense: 502100, Current HP: 907, A Avg: 89424, D Avg: 502100, [Irruption[154, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 942: HP: 1024, STR: 322, VIT: 418269, SPD: 27, LUK: 1, Attack: 85365, Defense: 502106, Current HP: 1024, A Avg: 89633, D Avg: 502106, [White Snake[160, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 941: HP: 856, STR: 322, VIT: 418217, SPD: 27, LUK: 1, Attack: 85365, Defense: 502106, Current HP: 856, A Avg: 89633, D Avg: 502106, [White Snake[160, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 940: HP: 1054, STR: 345, VIT: 418171, SPD: 27, LUK: 1, Attack: 85443, Defense: 502112, Current HP: 1054, A Avg: 89715, D Avg: 502112, [Yggdrasil[126, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 939: HP: 907, STR: 325, VIT: 418171, SPD: 27, LUK: 1, Attack: 85150, Defense: 502112, Current HP: 907, A Avg: 89407, D Avg: 502112, [Kraken[145, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 938: HP: 970, STR: 286, VIT: 418171, SPD: 27, LUK: 1, Attack: 85098, Defense: 502112, Current HP: 970, A Avg: 89352, D Avg: 502112, [Granada[150, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 937: HP: 1070, STR: 403, VIT: 418278, SPD: 27, LUK: 1, Attack: 86749, Defense: 502115, Current HP: 1070, A Avg: 91086, D Avg: 502115, [Progress[147, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 936: HP: 902, STR: 403, VIT: 418226, SPD: 27, LUK: 1, Attack: 86749, Defense: 502115, Current HP: 902, A Avg: 91086, D Avg: 502115, [Progress[147, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 935: HP: 1133, STR: 322, VIT: 418188, SPD: 27, LUK: 1, Attack: 85365, Defense: 502116, Current HP: 1133, A Avg: 89633, D Avg: 502116, [White Snake[160, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 934: HP: 965, STR: 295, VIT: 418177, SPD: 27, LUK: 1, Attack: 84327, Defense: 502118, Current HP: 965, A Avg: 88543, D Avg: 502118, [Alucard[146, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 933: HP: 907, STR: 286, VIT: 418182, SPD: 27, LUK: 1, Attack: 84227, Defense: 502123, Current HP: 907, A Avg: 88438, D Avg: 502123, [Rusty Knife[156, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 932: HP: 2456, STR: 2336, VIT: 418319, SPD: 27, LUK: 1, Attack: 88149, Defense: 502123, Current HP: 2456, A Avg: 92556, D Avg: 502123, [Spear of Regression[182, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 931: HP: 1180, STR: 403, VIT: 418197, SPD: 27, LUK: 1, Attack: 86749, Defense: 502125, Current HP: 1180, A Avg: 91086, D Avg: 502125, [Progress[147, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 930: HP: 755, STR: 388, VIT: 418290, SPD: 27, LUK: 1, Attack: 86916, Defense: 502127, Current HP: 755, A Avg: 91261, D Avg: 502127, [Moon Knuckle[153, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 929: HP: 734, STR: 1015, VIT: 418290, SPD: 27, LUK: 1, Attack: 86893, Defense: 502127, Current HP: 734, A Avg: 91237, D Avg: 502127, [Blue Sword[180, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 928: HP: 587, STR: 388, VIT: 418238, SPD: 27, LUK: 1, Attack: 86916, Defense: 502127, Current HP: 587, A Avg: 91261, D Avg: 502127, [Moon Knuckle[153, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 927: HP: 566, STR: 1015, VIT: 418238, SPD: 27, LUK: 1, Attack: 86893, Defense: 502127, Current HP: 566, A Avg: 91237, D Avg: 502127, [Blue Sword[180, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 926: HP: 940, STR: 374, VIT: 418327, SPD: 27, LUK: 1, Attack: 86018, Defense: 502131, Current HP: 940, A Avg: 90318, D Avg: 502131, [Gladius[162, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 925: HP: 940, STR: 322, VIT: 418203, SPD: 27, LUK: 1, Attack: 85365, Defense: 502131, Current HP: 940, A Avg: 89633, D Avg: 502131, [White Snake[160, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 924: HP: 818, STR: 637, VIT: 418264, SPD: 27, LUK: 1, Attack: 86515, Defense: 502133, Current HP: 818, A Avg: 90840, D Avg: 502133, [God Hand[179, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 923: HP: 776, STR: 889, VIT: 418264, SPD: 27, LUK: 1, Attack: 86429, Defense: 502133, Current HP: 776, A Avg: 90750, D Avg: 502133, [Zodiac[184, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 922: HP: 1154, STR: 268, VIT: 418330, SPD: 27, LUK: 1, Attack: 84976, Defense: 502134, Current HP: 1154, A Avg: 89224, D Avg: 502134, [Thin Blade[158, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 921: HP: 865, STR: 388, VIT: 418209, SPD: 27, LUK: 1, Attack: 86916, Defense: 502137, Current HP: 865, A Avg: 91261, D Avg: 502137, [Moon Knuckle[153, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 920: HP: 844, STR: 1015, VIT: 418209, SPD: 27, LUK: 1, Attack: 86893, Defense: 502137, Current HP: 844, A Avg: 91237, D Avg: 502137, [Blue Sword[180, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 919: HP: 986, STR: 403, VIT: 418211, SPD: 27, LUK: 1, Attack: 86749, Defense: 502139, Current HP: 986, A Avg: 91086, D Avg: 502139, [Progress[147, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 918: HP: 671, STR: 388, VIT: 418223, SPD: 27, LUK: 1, Attack: 86916, Defense: 502151, Current HP: 671, A Avg: 91261, D Avg: 502151, [Moon Knuckle[153, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 917: HP: 650, STR: 1015, VIT: 418223, SPD: 27, LUK: 1, Attack: 86893, Defense: 502151, Current HP: 650, A Avg: 91237, D Avg: 502151, [Blue Sword[180, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 916: HP: 907, STR: 270, VIT: 418211, SPD: 27, LUK: 1, Attack: 85745, Defense: 502152, Current HP: 907, A Avg: 90032, D Avg: 502152, [Elemental[121, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 915: HP: 1054, STR: 338, VIT: 418211, SPD: 27, LUK: 1, Attack: 84988, Defense: 502152, Current HP: 1054, A Avg: 89237, D Avg: 502152, [Diamond Knuckle[152, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 914: HP: 818, STR: 637, VIT: 418290, SPD: 27, LUK: 1, Attack: 86515, Defense: 502153, Current HP: 818, A Avg: 90840, D Avg: 502153, [God Hand[179, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 913: HP: 776, STR: 889, VIT: 418290, SPD: 27, LUK: 1, Attack: 86429, Defense: 502153, Current HP: 776, A Avg: 90750, D Avg: 502153, [Zodiac[184, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 912: HP: 566, STR: 691, VIT: 418354, SPD: 27, LUK: 1, Attack: 85479, Defense: 502158, Current HP: 566, A Avg: 89752, D Avg: 502158, [Pulse Knife[165, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 911: HP: 739, STR: 424, VIT: 418217, SPD: 27, LUK: 1, Attack: 85262, Defense: 502158, Current HP: 739, A Avg: 89525, D Avg: 502158, [Classic[168, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 910: HP: 1154, STR: 439, VIT: 418359, SPD: 27, LUK: 1, Attack: 86291, Defense: 502163, Current HP: 1154, A Avg: 90605, D Avg: 502163, [Santoku[159, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 909: HP: 907, STR: 489, VIT: 418223, SPD: 27, LUK: 1, Attack: 85327, Defense: 502164, Current HP: 907, A Avg: 89593, D Avg: 502164, [Willow Blade[157, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 908: HP: 1306, STR: 403, VIT: 418223, SPD: 27, LUK: 1, Attack: 85326, Defense: 502164, Current HP: 1306, A Avg: 89592, D Avg: 502164, [Pangaea[164, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 907: HP: 2456, STR: 2336, VIT: 418310, SPD: 27, LUK: 1, Attack: 88149, Defense: 502179, Current HP: 2456, A Avg: 92556, D Avg: 502179, [Spear of Regression[182, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 906: HP: 940, STR: 374, VIT: 418319, SPD: 27, LUK: 1, Attack: 86018, Defense: 502188, Current HP: 940, A Avg: 90318, D Avg: 502188, [Gladius[162, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 905: HP: 1154, STR: 268, VIT: 418322, SPD: 27, LUK: 1, Attack: 84976, Defense: 502191, Current HP: 1154, A Avg: 89224, D Avg: 502191, [Thin Blade[158, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 904: HP: 991, STR: 320, VIT: 418252, SPD: 27, LUK: 1, Attack: 85652, Defense: 502193, Current HP: 991, A Avg: 89934, D Avg: 502193, [Tower[149, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 903: HP: 2456, STR: 2336, VIT: 418336, SPD: 27, LUK: 1, Attack: 88149, Defense: 502199, Current HP: 2456, A Avg: 92556, D Avg: 502199, [Spear of Regression[182, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 902: HP: 986, STR: 637, VIT: 418371, SPD: 27, LUK: 1, Attack: 86515, Defense: 502208, Current HP: 986, A Avg: 90840, D Avg: 502208, [God Hand[179, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
