Rank 1000: HP: 293, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 85601, Defense: 501750, Current HP: 293, A Avg: 89881, D Avg: 501750, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 961: HP: 377, STR: 144, VIT: 417817, SPD: 1, LUK: 1, Attack: 84332, Defense: 501758, Current HP: 377, A Avg: 88548, D Avg: 501758, [Sword of the Spirit Tree[125, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 960: HP: 367, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 84134, Defense: 501758, Current HP: 367, A Avg: 88340, D Avg: 501758, [Greatsword[127, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 959: HP: 373, STR: 140, VIT: 417817, SPD: 1, LUK: 1, Attack: 84562, Defense: 501758, Current HP: 373, A Avg: 88790, D Avg: 501758, [Dreaming Sword[128, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 958: HP: 377, STR: 144, VIT: 417817, SPD: 1, LUK: 1, Attack: 83919, Defense: 501758, Current HP: 377, A Avg: 88114, D Avg: 501758, [Peacemaker[131, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 957: HP: 419, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84028, Defense: 501758, Current HP: 419, A Avg: 88229, D Avg: 501758, [Daydream[132, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 956: HP: 419, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84314, Defense: 501758, Current HP: 419, A Avg: 88529, D Avg: 501758, [Cagliostro[133, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 955: HP: 371, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 83951, Defense: 501758, Current HP: 371, A Avg: 88148, D Avg: 501758, [Hand Axe[140, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 954: HP: 377, STR: 180, VIT: 417817, SPD: 1, LUK: 1, Attack: 86708, Defense: 501758, Current HP: 377, A Avg: 91043, D Avg: 501758, [Moon Knuckle[153, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 953: HP: 566, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 85809, Defense: 501758, Current HP: 566, A Avg: 90099, D Avg: 501758, [Dancing[155, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 952: HP: 377, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 84076, Defense: 501758, Current HP: 377, A Avg: 88279, D Avg: 501758, [Rusty Knife[156, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 951: HP: 377, STR: 162, VIT: 417817, SPD: 1, LUK: 1, Attack: 85000, Defense: 501758, Current HP: 377, A Avg: 89250, D Avg: 501758, [Willow Blade[157, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 950: HP: 356, STR: 144, VIT: 417817, SPD: 1, LUK: 1, Attack: 84800, Defense: 501758, Current HP: 356, A Avg: 89040, D Avg: 501758, [Penetra[161, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 949: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84967, Defense: 501758, Current HP: 356, A Avg: 89215, D Avg: 501758, [Grand Slam[163, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 948: HP: 482, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 85049, Defense: 501758, Current HP: 482, A Avg: 89301, D Avg: 501758, [Pangaea[164, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 947: HP: 356, STR: 306, VIT: 417817, SPD: 1, LUK: 1, Attack: 85094, Defense: 501758, Current HP: 356, A Avg: 89348, D Avg: 501758, [Pulse Knife[165, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 946: HP: 377, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84119, Defense: 501758, Current HP: 377, A Avg: 88324, D Avg: 501758, [Wooden Boomerang[167, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 945: HP: 566, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 85094, Defense: 501758, Current HP: 566, A Avg: 89348, D Avg: 501758, [Cluster Bomb[170, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 944: HP: 986, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 92312, Defense: 501758, Current HP: 986, A Avg: 96927, D Avg: 501758, [Big Bang[171, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 943: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84514, Defense: 501758, Current HP: 356, A Avg: 88739, D Avg: 501758, [Encryption Key[173, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 942: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 85179, Defense: 501758, Current HP: 356, A Avg: 89437, D Avg: 501758, [Common Key[174, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 941: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 88008, Defense: 501758, Current HP: 356, A Avg: 92408, D Avg: 501758, [Wild Card[175, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 940: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 85770, Defense: 501758, Current HP: 356, A Avg: 90058, D Avg: 501758, [Portal Sword[176, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 939: HP: 986, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 86368, Defense: 501758, Current HP: 986, A Avg: 90686, D Avg: 501758, [Droid Hammer[177, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 938: HP: 608, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 86004, Defense: 501758, Current HP: 608, A Avg: 90304, D Avg: 501758, [God Hand[179, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 937: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 86004, Defense: 501758, Current HP: 356, A Avg: 90304, D Avg: 501758, [Blue Sword[180, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 936: HP: 566, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 85666, Defense: 501758, Current HP: 566, A Avg: 89949, D Avg: 501758, [Zodiac[184, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 935: HP: 356, STR: 576, VIT: 417817, SPD: 1, LUK: 1, Attack: 85505, Defense: 501758, Current HP: 356, A Avg: 89780, D Avg: 501758, [Jack Knife[185, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 934: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84704, Defense: 501758, Current HP: 356, A Avg: 88939, D Avg: 501758, [Magical[187, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 933: HP: 356, STR: 306, VIT: 417817, SPD: 1, LUK: 1, Attack: 87357, Defense: 501758, Current HP: 356, A Avg: 91724, D Avg: 501758, [Tekken[188, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 932: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 99392, Defense: 501758, Current HP: 356, A Avg: 104361, D Avg: 501758, [Sword of Evil[189, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 931: HP: 356, STR: 486, VIT: 417817, SPD: 1, LUK: 1, Attack: 88147, Defense: 501758, Current HP: 356, A Avg: 92554, D Avg: 501758, [Neural Edge[190, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 930: HP: 325, STR: 108, VIT: 417832, SPD: 1, LUK: 1, Attack: 83951, Defense: 501760, Current HP: 325, A Avg: 88148, D Avg: 501760, [Salamander[110, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 929: HP: 314, STR: 108, VIT: 417832, SPD: 1, LUK: 1, Attack: 84192, Defense: 501760, Current HP: 314, A Avg: 88401, D Avg: 501760, [Phantom Scythe[116, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 928: HP: 325, STR: 108, VIT: 417832, SPD: 1, LUK: 1, Attack: 83980, Defense: 501760, Current HP: 325, A Avg: 88179, D Avg: 501760, [Undine[118, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 927: HP: 325, STR: 108, VIT: 417832, SPD: 1, LUK: 1, Attack: 84007, Defense: 501760, Current HP: 325, A Avg: 88207, D Avg: 501760, [Sylph[119, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 926: HP: 325, STR: 108, VIT: 417832, SPD: 1, LUK: 1, Attack: 84034, Defense: 501760, Current HP: 325, A Avg: 88235, D Avg: 501760, [Gnome[120, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 925: HP: 335, STR: 126, VIT: 417832, SPD: 1, LUK: 1, Attack: 85601, Defense: 501760, Current HP: 335, A Avg: 89881, D Avg: 501760, [Elemental[121, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 924: HP: 398, STR: 117, VIT: 417832, SPD: 1, LUK: 1, Attack: 84630, Defense: 501760, Current HP: 398, A Avg: 88861, D Avg: 501760, [Maximum Iron Mass[123, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 923: HP: 398, STR: 115, VIT: 417832, SPD: 1, LUK: 1, Attack: 86084, Defense: 501760, Current HP: 398, A Avg: 90388, D Avg: 501760, [Fire Chariot[138, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 922: HP: 335, STR: 126, VIT: 417832, SPD: 1, LUK: 1, Attack: 84808, Defense: 501760, Current HP: 335, A Avg: 89048, D Avg: 501760, [Thunder Whip[143, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 921: HP: 398, STR: 117, VIT: 417832, SPD: 1, LUK: 1, Attack: 84227, Defense: 501760, Current HP: 398, A Avg: 88438, D Avg: 501760, [Serpent[144, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 920: HP: 335, STR: 131, VIT: 417832, SPD: 1, LUK: 1, Attack: 84956, Defense: 501760, Current HP: 335, A Avg: 89203, D Avg: 501760, [Kraken[145, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 919: HP: 356, STR: 126, VIT: 417832, SPD: 1, LUK: 1, Attack: 86472, Defense: 501760, Current HP: 356, A Avg: 90795, D Avg: 501760, [Progress[147, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 918: HP: 419, STR: 126, VIT: 417832, SPD: 1, LUK: 1, Attack: 85458, Defense: 501760, Current HP: 419, A Avg: 89730, D Avg: 501760, [Tower[149, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 917: HP: 398, STR: 117, VIT: 417832, SPD: 1, LUK: 1, Attack: 84929, Defense: 501760, Current HP: 398, A Avg: 89175, D Avg: 501760, [Granada[150, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 916: HP: 314, STR: 108, VIT: 417832, SPD: 1, LUK: 1, Attack: 84426, Defense: 501760, Current HP: 314, A Avg: 88647, D Avg: 501760, [Ruby Knuckle[151, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 915: HP: 335, STR: 144, VIT: 417832, SPD: 1, LUK: 1, Attack: 84794, Defense: 501760, Current HP: 335, A Avg: 89033, D Avg: 501760, [Diamond Knuckle[152, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 914: HP: 377, STR: 122, VIT: 417832, SPD: 1, LUK: 1, Attack: 85766, Defense: 501760, Current HP: 377, A Avg: 90054, D Avg: 501760, [Gladius[162, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 913: HP: 375, STR: 138, VIT: 417820, SPD: 1, LUK: 1, Attack: 83936, Defense: 501761, Current HP: 375, A Avg: 88132, D Avg: 501761, [Ninja[135, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 912: HP: 356, STR: 120, VIT: 417834, SPD: 1, LUK: 1, Attack: 84087, Defense: 501762, Current HP: 356, A Avg: 88291, D Avg: 501762, [Phantom Sword[117, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 911: HP: 356, STR: 135, VIT: 417823, SPD: 1, LUK: 1, Attack: 84037, Defense: 501764, Current HP: 356, A Avg: 88238, D Avg: 501764, [Crossed Shuriken[136, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 910: HP: 373, STR: 135, VIT: 417823, SPD: 1, LUK: 1, Attack: 84141, Defense: 501764, Current HP: 373, A Avg: 88348, D Avg: 501764, [Crescent[141, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 909: HP: 314, STR: 135, VIT: 417875, SPD: 1, LUK: 1, Attack: 88302, Defense: 501764, Current HP: 314, A Avg: 92717, D Avg: 501764, [Basic[169, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 908: HP: 377, STR: 120, VIT: 417837, SPD: 1, LUK: 1, Attack: 85086, Defense: 501765, Current HP: 377, A Avg: 89340, D Avg: 501765, [Red Shark[134, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 907: HP: 335, STR: 126, VIT: 417837, SPD: 1, LUK: 1, Attack: 84158, Defense: 501765, Current HP: 335, A Avg: 88365, D Avg: 501765, [Alucard[146, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 906: HP: 440, STR: 120, VIT: 417837, SPD: 1, LUK: 1, Attack: 85163, Defense: 501765, Current HP: 440, A Avg: 89421, D Avg: 501765, [White Snake[160, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 905: HP: 314, STR: 129, VIT: 417837, SPD: 1, LUK: 1, Attack: 84967, Defense: 501765, Current HP: 314, A Avg: 89215, D Avg: 501765, [Classic[168, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 904: HP: 367, STR: 136, VIT: 417826, SPD: 1, LUK: 1, Attack: 84246, Defense: 501767, Current HP: 367, A Avg: 88458, D Avg: 501767, [Windmill[137, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 903: HP: 356, STR: 126, VIT: 417829, SPD: 1, LUK: 1, Attack: 84126, Defense: 501770, Current HP: 356, A Avg: 88332, D Avg: 501770, [Kirisame[129, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 902: HP: 377, STR: 135, VIT: 417829, SPD: 1, LUK: 1, Attack: 84256, Defense: 501770, Current HP: 377, A Avg: 88468, D Avg: 501770, [Black Kirisame[130, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
