Rank 1000: HP: 2118, STR: 725, VIT: 6167, SPD: 64, LUK: 1, Attack: 84666, Defense: 91837, Current HP: 2118, A Avg: 88899, D Avg: 91837, [Rusty Knife[156, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 978: HP: 1035, STR: 2735, VIT: 6211, SPD: 64, LUK: 1, Attack: 88613, Defense: 91881, Current HP: 1035, A Avg: 93043, D Avg: 91881, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 977: HP: 1026, STR: 2251, VIT: 6211, SPD: 64, LUK: 1, Attack: 88129, Defense: 91881, Current HP: 1026, A Avg: 92535, D Avg: 91881, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 976: HP: 997, STR: 2072, VIT: 6211, SPD: 64, LUK: 1, Attack: 87612, Defense: 91881, Current HP: 997, A Avg: 91992, D Avg: 91881, [Zodiac[184, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 975: HP: 988, STR: 2080, VIT: 6211, SPD: 64, LUK: 1, Attack: 87620, Defense: 91881, Current HP: 988, A Avg: 92001, D Avg: 91881, [Zodiac[184, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 974: HP: 1482, STR: 566, VIT: 6213, SPD: 72, LUK: 1, Attack: 84676, Defense: 91883, Current HP: 1482, A Avg: 88909, D Avg: 91883, [Dragon Killer[139, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 973: HP: 1522, STR: 570, VIT: 6213, SPD: 72, LUK: 1, Attack: 85083, Defense: 91883, Current HP: 1522, A Avg: 89337, D Avg: 91883, [Volcano[142, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 972: HP: 855, STR: 1174, VIT: 2107, SPD: 103, LUK: 1, Attack: 85962, Defense: 91885, Current HP: 855, A Avg: 90260, D Avg: 91885, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 971: HP: 893, STR: 1960, VIT: 2107, SPD: 64, LUK: 1, Attack: 86748, Defense: 91885, Current HP: 893, A Avg: 93254, D Avg: 91885, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 970: HP: 1121, STR: 2207, VIT: 2107, SPD: 64, LUK: 1, Attack: 88085, Defense: 91885, Current HP: 1121, A Avg: 92489, D Avg: 91885, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 969: HP: 1083, STR: 3221, VIT: 2107, SPD: 64, LUK: 1, Attack: 88761, Defense: 91885, Current HP: 1083, A Avg: 93199, D Avg: 91885, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 968: HP: 1543, STR: 566, VIT: 6216, SPD: 72, LUK: 1, Attack: 86535, Defense: 91886, Current HP: 1543, A Avg: 90861, D Avg: 91886, [Fire Chariot[138, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 967: HP: 2432, STR: 1257, VIT: 5100, SPD: 64, LUK: 1, Attack: 87746, Defense: 91888, Current HP: 2432, A Avg: 92133, D Avg: 91888, [Cuttlefish[178, 0, 0, 0], Golem Shield[245, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 966: HP: 1694, STR: 336, VIT: 4323, SPD: 64, LUK: 1, Attack: 84724, Defense: 91891, Current HP: 1694, A Avg: 106752, D Avg: 91891, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 965: HP: 6842, STR: 1994, VIT: 4323, SPD: 64, LUK: 1, Attack: 89876, Defense: 91891, Current HP: 6842, A Avg: 113243, D Avg: 91891, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 964: HP: 1694, STR: 1132, VIT: 4323, SPD: 64, LUK: 1, Attack: 86776, Defense: 91891, Current HP: 1694, A Avg: 109337, D Avg: 91891, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 963: HP: 1931, STR: 725, VIT: 6230, SPD: 72, LUK: 1, Attack: 85823, Defense: 91900, Current HP: 1931, A Avg: 90114, D Avg: 91900, [Yggdrasil[126, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 962: HP: 1522, STR: 657, VIT: 6230, SPD: 72, LUK: 1, Attack: 85482, Defense: 91900, Current HP: 1522, A Avg: 89756, D Avg: 91900, [Kraken[145, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 961: HP: 1585, STR: 568, VIT: 6230, SPD: 72, LUK: 1, Attack: 85380, Defense: 91900, Current HP: 1585, A Avg: 89649, D Avg: 91900, [Granada[150, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 960: HP: 1564, STR: 1831, VIT: 2124, SPD: 72, LUK: 1, Attack: 86669, Defense: 91902, Current HP: 1564, A Avg: 91002, D Avg: 91902, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 959: HP: 2488, STR: 1556, VIT: 2124, SPD: 72, LUK: 1, Attack: 86479, Defense: 91902, Current HP: 2488, A Avg: 90802, D Avg: 91902, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 958: HP: 1686, STR: 577, VIT: 6235, SPD: 72, LUK: 1, Attack: 84609, Defense: 91905, Current HP: 1686, A Avg: 88839, D Avg: 91905, [Alucard[146, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 957: HP: 1026, STR: 2251, VIT: 6237, SPD: 64, LUK: 1, Attack: 88129, Defense: 91907, Current HP: 1026, A Avg: 92535, D Avg: 91907, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 956: HP: 1408, STR: 2238, VIT: 6237, SPD: 64, LUK: 1, Attack: 88116, Defense: 91907, Current HP: 1408, A Avg: 92521, D Avg: 91907, [God Hand[179, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 955: HP: 988, STR: 2080, VIT: 6237, SPD: 64, LUK: 1, Attack: 87620, Defense: 91907, Current HP: 988, A Avg: 92001, D Avg: 91907, [Zodiac[184, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 954: HP: 1364, STR: 2072, VIT: 6237, SPD: 64, LUK: 1, Attack: 87612, Defense: 91907, Current HP: 1364, A Avg: 91992, D Avg: 91907, [Zodiac[184, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 953: HP: 1596, STR: 1242, VIT: 2137, SPD: 76, LUK: 1, Attack: 85430, Defense: 91915, Current HP: 1596, A Avg: 89701, D Avg: 91915, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 2137, STR: 860, VIT: 2139, SPD: 64, LUK: 1, Attack: 85568, Defense: 91917, Current HP: 2137, A Avg: 89846, D Avg: 91917, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 951: HP: 1548, STR: 1663, VIT: 2142, SPD: 76, LUK: 1, Attack: 85773, Defense: 91920, Current HP: 1548, A Avg: 90061, D Avg: 91920, [Windmill[137, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 950: HP: 1648, STR: 1148, VIT: 2142, SPD: 72, LUK: 1, Attack: 86480, Defense: 91920, Current HP: 1648, A Avg: 90804, D Avg: 91920, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 949: HP: 1539, STR: 1546, VIT: 2144, SPD: 76, LUK: 1, Attack: 85546, Defense: 91922, Current HP: 1539, A Avg: 89823, D Avg: 91922, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 948: HP: 1928, STR: 1559, VIT: 2144, SPD: 76, LUK: 1, Attack: 85680, Defense: 91922, Current HP: 1928, A Avg: 89964, D Avg: 91922, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 947: HP: 1917, STR: 1861, VIT: 2144, SPD: 76, LUK: 1, Attack: 87609, Defense: 91922, Current HP: 1917, A Avg: 91989, D Avg: 91922, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 946: HP: 1868, STR: 1184, VIT: 5135, SPD: 72, LUK: 1, Attack: 87673, Defense: 91923, Current HP: 1868, A Avg: 92056, D Avg: 91923, [Cuttlefish[178, 0, 0, 0], Golem Shield[245, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 945: HP: 1947, STR: 2160, VIT: 2145, SPD: 76, LUK: 1, Attack: 86270, Defense: 91923, Current HP: 1947, A Avg: 90583, D Avg: 91923, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 944: HP: 2150, STR: 1767, VIT: 2148, SPD: 76, LUK: 1, Attack: 86733, Defense: 91926, Current HP: 2150, A Avg: 91069, D Avg: 91926, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 943: HP: 1282, STR: 78, VIT: 5140, SPD: 64, LUK: 1, Attack: 84466, Defense: 91928, Current HP: 1282, A Avg: 88689, D Avg: 91928, [Encryption Key[173, 0, 0, 0], Golem Shield[245, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 942: HP: 1273, STR: 118, VIT: 5140, SPD: 64, LUK: 1, Attack: 84506, Defense: 91928, Current HP: 1273, A Avg: 88731, D Avg: 91928, [Encryption Key[173, 0, 0, 0], Golem Shield[245, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 941: HP: 5728, STR: 1638, VIT: 5140, SPD: 64, LUK: 1, Attack: 89520, Defense: 91928, Current HP: 5728, A Avg: 93996, D Avg: 91928, [Wild Card[175, 0, 0, 0], Golem Shield[245, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 940: HP: 5719, STR: 2263, VIT: 5140, SPD: 64, LUK: 1, Attack: 90145, Defense: 91928, Current HP: 5719, A Avg: 94652, D Avg: 91928, [Wild Card[175, 0, 0, 0], Golem Shield[245, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 939: HP: 1282, STR: 827, VIT: 5140, SPD: 64, LUK: 1, Attack: 86471, Defense: 91928, Current HP: 1282, A Avg: 90794, D Avg: 91928, [Portal Sword[176, 0, 0, 0], Golem Shield[245, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 938: HP: 1273, STR: 835, VIT: 5140, SPD: 64, LUK: 1, Attack: 86479, Defense: 91928, Current HP: 1273, A Avg: 90802, D Avg: 91928, [Portal Sword[176, 0, 0, 0], Golem Shield[245, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 937: HP: 2280, STR: 1546, VIT: 2153, SPD: 76, LUK: 1, Attack: 85864, Defense: 91931, Current HP: 2280, A Avg: 90157, D Avg: 91931, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 936: HP: 2052, STR: 423, VIT: 6263, SPD: 64, LUK: 1, Attack: 85131, Defense: 91933, Current HP: 2052, A Avg: 89387, D Avg: 91933, [Thin Blade[158, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 935: HP: 2042, STR: 431, VIT: 6263, SPD: 64, LUK: 1, Attack: 85139, Defense: 91933, Current HP: 2042, A Avg: 89395, D Avg: 91933, [Thin Blade[158, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 934: HP: 807, STR: 107, VIT: 2155, SPD: 64, LUK: 1, Attack: 83833, Defense: 91933, Current HP: 807, A Avg: 88024, D Avg: 91933, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 933: HP: 798, STR: 86, VIT: 2155, SPD: 64, LUK: 1, Attack: 83812, Defense: 91933, Current HP: 798, A Avg: 88002, D Avg: 91933, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 932: HP: 807, STR: 107, VIT: 2155, SPD: 64, LUK: 1, Attack: 83872, Defense: 91933, Current HP: 807, A Avg: 88065, D Avg: 91933, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 931: HP: 798, STR: 86, VIT: 2155, SPD: 64, LUK: 1, Attack: 83851, Defense: 91933, Current HP: 798, A Avg: 88043, D Avg: 91933, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 930: HP: 807, STR: 83, VIT: 2155, SPD: 64, LUK: 1, Attack: 83855, Defense: 91933, Current HP: 807, A Avg: 88047, D Avg: 91933, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 929: HP: 798, STR: 91, VIT: 2155, SPD: 64, LUK: 1, Attack: 83863, Defense: 91933, Current HP: 798, A Avg: 88056, D Avg: 91933, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 928: HP: 807, STR: 148, VIT: 2155, SPD: 64, LUK: 1, Attack: 83959, Defense: 91933, Current HP: 807, A Avg: 88156, D Avg: 91933, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 927: HP: 798, STR: 156, VIT: 2155, SPD: 64, LUK: 1, Attack: 83967, Defense: 91933, Current HP: 798, A Avg: 88165, D Avg: 91933, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 926: HP: 807, STR: 203, VIT: 2155, SPD: 64, LUK: 1, Attack: 83975, Defense: 91933, Current HP: 807, A Avg: 88173, D Avg: 91933, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 925: HP: 798, STR: 211, VIT: 2155, SPD: 64, LUK: 1, Attack: 83983, Defense: 91933, Current HP: 798, A Avg: 88182, D Avg: 91933, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 924: HP: 807, STR: 193, VIT: 2155, SPD: 64, LUK: 1, Attack: 84017, Defense: 91933, Current HP: 807, A Avg: 88217, D Avg: 91933, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 923: HP: 798, STR: 148, VIT: 2155, SPD: 64, LUK: 1, Attack: 83972, Defense: 91933, Current HP: 798, A Avg: 88170, D Avg: 91933, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 922: HP: 807, STR: 211, VIT: 2155, SPD: 64, LUK: 1, Attack: 84054, Defense: 91933, Current HP: 807, A Avg: 88256, D Avg: 91933, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 921: HP: 798, STR: 219, VIT: 2155, SPD: 64, LUK: 1, Attack: 84062, Defense: 91933, Current HP: 798, A Avg: 88265, D Avg: 91933, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 920: HP: 826, STR: 290, VIT: 2155, SPD: 64, LUK: 1, Attack: 84179, Defense: 91933, Current HP: 826, A Avg: 88387, D Avg: 91933, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 919: HP: 817, STR: 219, VIT: 2155, SPD: 64, LUK: 1, Attack: 84108, Defense: 91933, Current HP: 817, A Avg: 88313, D Avg: 91933, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 918: HP: 807, STR: 107, VIT: 2155, SPD: 64, LUK: 1, Attack: 83875, Defense: 91933, Current HP: 807, A Avg: 88068, D Avg: 91933, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 917: HP: 798, STR: 86, VIT: 2155, SPD: 64, LUK: 1, Attack: 83854, Defense: 91933, Current HP: 798, A Avg: 88046, D Avg: 91933, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 916: HP: 807, STR: 312, VIT: 2155, SPD: 64, LUK: 1, Attack: 84435, Defense: 91933, Current HP: 807, A Avg: 88656, D Avg: 91933, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 915: HP: 798, STR: 235, VIT: 2155, SPD: 64, LUK: 1, Attack: 84358, Defense: 91933, Current HP: 798, A Avg: 88575, D Avg: 91933, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 914: HP: 826, STR: 376, VIT: 2155, SPD: 64, LUK: 1, Attack: 84382, Defense: 91933, Current HP: 826, A Avg: 88601, D Avg: 91933, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 913: HP: 817, STR: 281, VIT: 2155, SPD: 64, LUK: 1, Attack: 84287, Defense: 91933, Current HP: 817, A Avg: 88501, D Avg: 91933, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 912: HP: 817, STR: 193, VIT: 2155, SPD: 64, LUK: 1, Attack: 84186, Defense: 91933, Current HP: 817, A Avg: 88395, D Avg: 91933, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 911: HP: 807, STR: 148, VIT: 2155, SPD: 64, LUK: 1, Attack: 84141, Defense: 91933, Current HP: 807, A Avg: 88348, D Avg: 91933, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 910: HP: 1197, STR: 344, VIT: 2155, SPD: 64, LUK: 1, Attack: 84532, Defense: 91933, Current HP: 1197, A Avg: 88758, D Avg: 91933, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 909: HP: 1187, STR: 352, VIT: 2155, SPD: 64, LUK: 1, Attack: 84540, Defense: 91933, Current HP: 1187, A Avg: 88767, D Avg: 91933, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 908: HP: 817, STR: 290, VIT: 2155, SPD: 64, LUK: 1, Attack: 84289, Defense: 91933, Current HP: 817, A Avg: 88503, D Avg: 91933, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 907: HP: 807, STR: 219, VIT: 2155, SPD: 64, LUK: 1, Attack: 84218, Defense: 91933, Current HP: 807, A Avg: 88428, D Avg: 91933, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 906: HP: 1193, STR: 278, VIT: 2155, SPD: 64, LUK: 1, Attack: 84700, Defense: 91933, Current HP: 1193, A Avg: 88935, D Avg: 91933, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 905: HP: 1183, STR: 286, VIT: 2155, SPD: 64, LUK: 1, Attack: 84708, Defense: 91933, Current HP: 1183, A Avg: 88943, D Avg: 91933, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 904: HP: 826, STR: 94, VIT: 2155, SPD: 64, LUK: 1, Attack: 83869, Defense: 91933, Current HP: 826, A Avg: 88062, D Avg: 91933, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
