Rank 1000: HP: 1112, STR: 579, VIT: 1150, SPD: 45, LUK: 1, Attack: 85092, Defense: 90928, Current HP: 1112, A Avg: 89346, D Avg: 90928, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 986: HP: 3230, STR: 3686, VIT: 1168, SPD: 64, LUK: 1, Attack: 89499, Defense: 90946, Current HP: 3230, A Avg: 93973, D Avg: 90946, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 985: HP: 3268, STR: 5176, VIT: 1168, SPD: 40, LUK: 1, Attack: 90989, Defense: 90946, Current HP: 3268, A Avg: 97813, D Avg: 90946, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 984: HP: 2565, STR: 1470, VIT: 3379, SPD: 40, LUK: 1, Attack: 89298, Defense: 90947, Current HP: 2565, A Avg: 93762, D Avg: 90947, [Stargazer[183, 0, 0, 0], Storm Wall[242, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 983: HP: 3190, STR: 1462, VIT: 3379, SPD: 40, LUK: 1, Attack: 89290, Defense: 90947, Current HP: 3190, A Avg: 93754, D Avg: 90947, [Stargazer[183, 0, 0, 0], Storm Wall[242, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 982: HP: 931, STR: 540, VIT: 1177, SPD: 40, LUK: 1, Attack: 85872, Defense: 90955, Current HP: 931, A Avg: 90165, D Avg: 90955, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 981: HP: 800, STR: 540, VIT: 1179, SPD: 42, LUK: 1, Attack: 86015, Defense: 90957, Current HP: 800, A Avg: 107518, D Avg: 90957, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 980: HP: 1040, STR: 696, VIT: 1179, SPD: 42, LUK: 1, Attack: 85346, Defense: 90957, Current HP: 1040, A Avg: 106682, D Avg: 90957, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 979: HP: 540, STR: 934, VIT: 1183, SPD: 42, LUK: 1, Attack: 85772, Defense: 90961, Current HP: 540, A Avg: 107215, D Avg: 90961, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 978: HP: 881, STR: 364, VIT: 1184, SPD: 45, LUK: 1, Attack: 84552, Defense: 90962, Current HP: 881, A Avg: 88779, D Avg: 90962, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 977: HP: 829, STR: 649, VIT: 1189, SPD: 45, LUK: 1, Attack: 84759, Defense: 90967, Current HP: 829, A Avg: 88996, D Avg: 90967, [Windmill[137, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 976: HP: 818, STR: 565, VIT: 1191, SPD: 45, LUK: 1, Attack: 84565, Defense: 90969, Current HP: 818, A Avg: 88793, D Avg: 90969, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 975: HP: 1091, STR: 579, VIT: 1191, SPD: 45, LUK: 1, Attack: 84700, Defense: 90969, Current HP: 1091, A Avg: 88935, D Avg: 90969, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 974: HP: 1079, STR: 778, VIT: 1191, SPD: 45, LUK: 1, Attack: 86526, Defense: 90969, Current HP: 1079, A Avg: 90852, D Avg: 90969, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 973: HP: 1112, STR: 579, VIT: 1193, SPD: 45, LUK: 1, Attack: 84689, Defense: 90971, Current HP: 1112, A Avg: 88923, D Avg: 90971, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 972: HP: 1243, STR: 719, VIT: 1197, SPD: 45, LUK: 1, Attack: 85685, Defense: 90975, Current HP: 1243, A Avg: 89969, D Avg: 90975, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 971: HP: 1322, STR: 565, VIT: 1202, SPD: 45, LUK: 1, Attack: 84883, Defense: 90980, Current HP: 1322, A Avg: 89127, D Avg: 90980, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 970: HP: 800, STR: 1085, VIT: 1203, SPD: 42, LUK: 1, Attack: 85923, Defense: 90981, Current HP: 800, A Avg: 107403, D Avg: 90981, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 969: HP: 1380, STR: 901, VIT: 1203, SPD: 42, LUK: 1, Attack: 85824, Defense: 90981, Current HP: 1380, A Avg: 107280, D Avg: 90981, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 968: HP: 969, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 84438, Defense: 90984, Current HP: 969, A Avg: 88659, D Avg: 90984, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 967: HP: 969, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 84477, Defense: 90984, Current HP: 969, A Avg: 88700, D Avg: 90984, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 966: HP: 969, STR: 720, VIT: 1206, SPD: 47, LUK: 1, Attack: 84492, Defense: 90984, Current HP: 969, A Avg: 88716, D Avg: 90984, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 965: HP: 969, STR: 787, VIT: 1206, SPD: 47, LUK: 1, Attack: 84598, Defense: 90984, Current HP: 969, A Avg: 88827, D Avg: 90984, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 964: HP: 969, STR: 837, VIT: 1206, SPD: 47, LUK: 1, Attack: 84609, Defense: 90984, Current HP: 969, A Avg: 88839, D Avg: 90984, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 963: HP: 969, STR: 774, VIT: 1206, SPD: 47, LUK: 1, Attack: 84598, Defense: 90984, Current HP: 969, A Avg: 88827, D Avg: 90984, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 962: HP: 969, STR: 850, VIT: 1206, SPD: 47, LUK: 1, Attack: 84693, Defense: 90984, Current HP: 969, A Avg: 88927, D Avg: 90984, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 961: HP: 988, STR: 850, VIT: 1206, SPD: 47, LUK: 1, Attack: 84739, Defense: 90984, Current HP: 988, A Avg: 88975, D Avg: 90984, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 960: HP: 969, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 84480, Defense: 90984, Current HP: 969, A Avg: 88704, D Avg: 90984, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 959: HP: 969, STR: 876, VIT: 1206, SPD: 47, LUK: 1, Attack: 84999, Defense: 90984, Current HP: 969, A Avg: 89248, D Avg: 90984, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 958: HP: 988, STR: 912, VIT: 1206, SPD: 47, LUK: 1, Attack: 84918, Defense: 90984, Current HP: 988, A Avg: 89163, D Avg: 90984, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 957: HP: 978, STR: 774, VIT: 1206, SPD: 47, LUK: 1, Attack: 84767, Defense: 90984, Current HP: 978, A Avg: 89005, D Avg: 90984, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 956: HP: 1216, STR: 987, VIT: 1206, SPD: 47, LUK: 1, Attack: 85175, Defense: 90984, Current HP: 1216, A Avg: 89433, D Avg: 90984, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 955: HP: 978, STR: 850, VIT: 1206, SPD: 47, LUK: 1, Attack: 84849, Defense: 90984, Current HP: 978, A Avg: 89091, D Avg: 90984, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 954: HP: 1212, STR: 920, VIT: 1206, SPD: 47, LUK: 1, Attack: 85342, Defense: 90984, Current HP: 1212, A Avg: 89609, D Avg: 90984, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 953: HP: 988, STR: 738, VIT: 1206, SPD: 47, LUK: 1, Attack: 84513, Defense: 90984, Current HP: 988, A Avg: 88738, D Avg: 90984, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 952: HP: 1026, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 84614, Defense: 90984, Current HP: 1026, A Avg: 88844, D Avg: 90984, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 951: HP: 1615, STR: 1024, VIT: 1206, SPD: 47, LUK: 1, Attack: 86707, Defense: 90984, Current HP: 1615, A Avg: 91042, D Avg: 90984, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 950: HP: 969, STR: 1424, VIT: 1206, SPD: 47, LUK: 1, Attack: 86080, Defense: 90984, Current HP: 969, A Avg: 90384, D Avg: 90984, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 949: HP: 969, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 85553, Defense: 90984, Current HP: 969, A Avg: 89830, D Avg: 90984, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 948: HP: 1159, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 85680, Defense: 90984, Current HP: 1159, A Avg: 89964, D Avg: 90984, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 947: HP: 1539, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 92898, Defense: 90984, Current HP: 1539, A Avg: 97542, D Avg: 90984, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 946: HP: 3705, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 85765, Defense: 90984, Current HP: 3705, A Avg: 90053, D Avg: 90984, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 945: HP: 1539, STR: 712, VIT: 1206, SPD: 47, LUK: 1, Attack: 86954, Defense: 90984, Current HP: 1539, A Avg: 91301, D Avg: 90984, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 944: HP: 990, STR: 870, VIT: 1206, SPD: 40, LUK: 2, Attack: 86748, Defense: 90984, Current HP: 990, A Avg: 91085, D Avg: 90984, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 943: HP: 741, STR: 1596, VIT: 1206, SPD: 40, LUK: 1, Attack: 87474, Defense: 90984, Current HP: 741, A Avg: 91847, D Avg: 90984, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 942: HP: 741, STR: 947, VIT: 1206, SPD: 40, LUK: 2, Attack: 86825, Defense: 90984, Current HP: 741, A Avg: 91166, D Avg: 90984, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 941: HP: 946, STR: 1254, VIT: 1206, SPD: 40, LUK: 2, Attack: 86794, Defense: 90984, Current HP: 946, A Avg: 91133, D Avg: 90984, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 940: HP: 703, STR: 3586, VIT: 1206, SPD: 40, LUK: 1, Attack: 89126, Defense: 90984, Current HP: 703, A Avg: 93582, D Avg: 90984, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 939: HP: 703, STR: 1331, VIT: 1206, SPD: 40, LUK: 2, Attack: 86871, Defense: 90984, Current HP: 703, A Avg: 91214, D Avg: 90984, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 938: HP: 969, STR: 2610, VIT: 1206, SPD: 47, LUK: 1, Attack: 87539, Defense: 90984, Current HP: 969, A Avg: 91915, D Avg: 90984, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 937: HP: 969, STR: 3208, VIT: 1206, SPD: 47, LUK: 1, Attack: 87786, Defense: 90984, Current HP: 969, A Avg: 92175, D Avg: 90984, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 936: HP: 969, STR: 1284, VIT: 1206, SPD: 47, LUK: 1, Attack: 88335, Defense: 90984, Current HP: 969, A Avg: 92751, D Avg: 90984, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 935: HP: 969, STR: -61626, VIT: 1206, SPD: 47, LUK: 1, Attack: 37640, Defense: 90984, Current HP: 969, A Avg: 39522, D Avg: 90984, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 934: HP: 969, STR: 3728, VIT: 1206, SPD: 47, LUK: 1, Attack: 91389, Defense: 90984, Current HP: 969, A Avg: 95958, D Avg: 90984, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 933: HP: 1003, STR: 595, VIT: 1211, SPD: 40, LUK: 1, Attack: 85638, Defense: 90989, Current HP: 1003, A Avg: 89919, D Avg: 90989, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 932: HP: 1131, STR: 976, VIT: 1214, SPD: 40, LUK: 1, Attack: 86854, Defense: 90992, Current HP: 1131, A Avg: 91196, D Avg: 90992, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 931: HP: 779, STR: 822, VIT: 1214, SPD: 72, LUK: 1, Attack: 86700, Defense: 90992, Current HP: 779, A Avg: 91035, D Avg: 109190, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 930: HP: 1279, STR: 870, VIT: 1214, SPD: 40, LUK: 1, Attack: 86748, Defense: 90992, Current HP: 1279, A Avg: 91085, D Avg: 90992, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 929: HP: 1073, STR: 1206, VIT: 1214, SPD: 40, LUK: 1, Attack: 86746, Defense: 90992, Current HP: 1073, A Avg: 91083, D Avg: 90992, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 928: HP: 741, STR: 1206, VIT: 1214, SPD: 72, LUK: 1, Attack: 86746, Defense: 90992, Current HP: 741, A Avg: 91083, D Avg: 109190, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 927: HP: 1215, STR: 1254, VIT: 1214, SPD: 40, LUK: 1, Attack: 86794, Defense: 90992, Current HP: 1215, A Avg: 91133, D Avg: 90992, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 926: HP: 1197, STR: 917, VIT: 1216, SPD: 47, LUK: 1, Attack: 84884, Defense: 90994, Current HP: 1197, A Avg: 89128, D Avg: 90994, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 925: HP: 1102, STR: 790, VIT: 1216, SPD: 40, LUK: 1, Attack: 87136, Defense: 90994, Current HP: 1102, A Avg: 91492, D Avg: 90994, [Progress[147, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 924: HP: 3173, STR: 5320, VIT: 1216, SPD: 40, LUK: 1, Attack: 91133, Defense: 90994, Current HP: 3173, A Avg: 113916, D Avg: 90994, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 923: HP: 1091, STR: 985, VIT: 1220, SPD: 45, LUK: 1, Attack: 85719, Defense: 90998, Current HP: 1091, A Avg: 90004, D Avg: 90998, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 922: HP: 880, STR: 669, VIT: 1220, SPD: 42, LUK: 1, Attack: 86001, Defense: 90998, Current HP: 880, A Avg: 107501, D Avg: 90998, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 921: HP: 978, STR: 837, VIT: 1222, SPD: 47, LUK: 1, Attack: 84680, Defense: 91000, Current HP: 978, A Avg: 88914, D Avg: 91000, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 920: HP: 969, STR: 899, VIT: 1222, SPD: 47, LUK: 1, Attack: 84983, Defense: 91000, Current HP: 969, A Avg: 89232, D Avg: 91000, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 919: HP: 978, STR: 837, VIT: 1222, SPD: 47, LUK: 1, Attack: 84709, Defense: 91000, Current HP: 978, A Avg: 88944, D Avg: 91000, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 918: HP: 978, STR: 837, VIT: 1222, SPD: 47, LUK: 1, Attack: 84736, Defense: 91000, Current HP: 978, A Avg: 88972, D Avg: 91000, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 917: HP: 978, STR: 837, VIT: 1222, SPD: 47, LUK: 1, Attack: 84763, Defense: 91000, Current HP: 978, A Avg: 89001, D Avg: 91000, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 916: HP: 760, STR: 822, VIT: 1222, SPD: 64, LUK: 1, Attack: 86700, Defense: 91000, Current HP: 760, A Avg: 91035, D Avg: 91000, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 915: HP: 760, STR: 838, VIT: 1222, SPD: 40, LUK: 2, Attack: 86716, Defense: 91000, Current HP: 760, A Avg: 91051, D Avg: 91000, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 914: HP: 741, STR: 1388, VIT: 1222, SPD: 40, LUK: 1, Attack: 87266, Defense: 91000, Current HP: 741, A Avg: 91629, D Avg: 91000, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 913: HP: 722, STR: 1658, VIT: 1222, SPD: 64, LUK: 1, Attack: 87198, Defense: 91000, Current HP: 722, A Avg: 91557, D Avg: 91000, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 912: HP: 722, STR: 1222, VIT: 1222, SPD: 40, LUK: 2, Attack: 86762, Defense: 91000, Current HP: 722, A Avg: 91100, D Avg: 91000, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 911: HP: 703, STR: 2012, VIT: 1222, SPD: 40, LUK: 1, Attack: 87552, Defense: 91000, Current HP: 703, A Avg: 91929, D Avg: 91000, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 910: HP: 1007, STR: 751, VIT: 1230, SPD: 47, LUK: 1, Attack: 88918, Defense: 91008, Current HP: 1007, A Avg: 93363, D Avg: 91008, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 909: HP: 1276, STR: 1141, VIT: 1230, SPD: 40, LUK: 1, Attack: 87019, Defense: 91008, Current HP: 1276, A Avg: 91369, D Avg: 91008, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 908: HP: 1218, STR: 1214, VIT: 1230, SPD: 40, LUK: 1, Attack: 86754, Defense: 91008, Current HP: 1218, A Avg: 91091, D Avg: 91008, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 907: HP: 3080, STR: 1519, VIT: 3442, SPD: 40, LUK: 1, Attack: 89347, Defense: 91010, Current HP: 3080, A Avg: 112577, D Avg: 91010, [Stargazer[183, 0, 0, 0], Storm Wall[242, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 906: HP: 1083, STR: 644, VIT: 1234, SPD: 45, LUK: 1, Attack: 84754, Defense: 91012, Current HP: 1083, A Avg: 88991, D Avg: 91012, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 905: HP: 1091, STR: 649, VIT: 1234, SPD: 45, LUK: 1, Attack: 85162, Defense: 91012, Current HP: 1091, A Avg: 89420, D Avg: 91012, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 904: HP: 1112, STR: 644, VIT: 1236, SPD: 45, LUK: 1, Attack: 86613, Defense: 91014, Current HP: 1112, A Avg: 90943, D Avg: 91014, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 903: HP: 627, STR: 717, VIT: 1238, SPD: 40, LUK: 1, Attack: 87245, Defense: 91016, Current HP: 627, A Avg: 91607, D Avg: 91016, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 902: HP: 1672, STR: 302, VIT: 1238, SPD: 40, LUK: 2, Attack: 85010, Defense: 91016, Current HP: 1672, A Avg: 89260, D Avg: 91016, [Thin Blade[158, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
