str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
現在の端末でセーブデータをバックアップします,Back up your save data on your current device,現在の端末でセーブデータをバックアップします,在当前设备上备份您的保存数据,현재 기기에서 세이브 파일을 백업합니다.,在目前設備上備份存檔資料,Respalde sus datos guardados en su dispositivo actual,สำรองข้อมูลที่บันทึกไว้ในอุปกรณ์ปัจจุบันของคุณ,Fazer backup dos dados salvos no dispositivo atual,Sichere deine Spieldaten auf deinem aktuellen Gerät,Sauvegardez vos données sur votre appareil actuel
iCloudやGoogleドライブにセーブデータを設置します,Place saved data in iCloud or Google Drive,iCloudやGoogleドライブにセーブデータを設置します,将保存的数据放入 iCloud 或 Google Drive,iCloud 또는 Google 드라이브에 세이브 파일을 저장합니다.,在 iCloud 或 Google 雲端硬碟中設置存檔資料,Coloque los datos guardados en iCloud o Google Drive,วางข้อมูลที่บันทึกไว้ใน iCloud หรือ Google Drive,Colocar os dados salvos no iCloud ou Google Drive,Speichere die Daten in iCloud oder Google Drive,Placez les données sauvegardées sur iCloud ou Google Drive
新しい端末でセーブデータを復元します,Restore save data on new device,新しい端末でセーブデータを復元します,在新设备上恢复保存数据,새 기기에서 세이브 파일을 복원합니다.,在新設備上恢復存檔資料,Restaurar datos guardados en un nuevo dispositivo,กู้คืนข้อมูลที่บันทึกไว้ในอุปกรณ์ใหม่,Restaurar dados salvos no novo dispositivo,Stelle die Spieldaten auf dem neuen Gerät wieder her,Restaurez les données sauvegardées sur le nouvel appareil
バックアップ,Backup,バックアップ,备份,백업,備份,Copia de seguridad,สำรองข้อมูล,Backup,Backup,Sauvegarder
復元,Restore,復元,恢复,복원,恢復,Restaurar,คืนค่า,Restaurar,Wiederherstellen,Restaurer
バックアップから復元,Restore from backup,バックアップから復元,从备份恢复,백업으로부터 복원,從備份資料恢復,Restaurar desde copia de seguridad,คืนค่าจากการสำรองข้อมูล,Restaurar do backup,Aus Backup wiederherstellen,Restaurer à partir de la sauvegarde
復元中です,Restoring...{@}Please do not close the app.,復元中です...{@}アプリを閉じないでください。,正在恢复...{@}请不要关闭应用程序。,복원 중입니다...{@}앱을 닫지 마십시오.,恢復中……{@}請勿關閉應用程式。,Restaurando...{@}No cierre la aplicación.,กำลังคืนค่า...{@}กรุณาอย่าปิดแอป,"Restaurando...{@}Por favor, não feche o aplicativo.",Wiederherstellung läuft...{@}Bitte schließe die App nicht.,Restauration...{@}Veuillez ne pas fermer l'application.
復元が完了しました,Restoration is complete.{@}Please restart the app.,復元が完了しました。{@}アプリを再起動してください。,恢复完成。{@}请重新启动应用程序。,복원이 완료되었습니다.{@}앱을 다시 시작하십시오.,恢復完成。{@}請重新啟動應用程式。,"La restauración está completa.{@}Por favor, reinicie la aplicación.",การคืนค่าเสร็จสมบูรณ์.{@}กรุณารีสตาร์ทแอป.,"Restauração concluída.{@}Por favor, reinicie o aplicativo.",Wiederherstellung abgeschlossen.{@}Bitte starte die App neu.,La restauration est terminée.{@}Veuillez redémarrer l'application.
復元に失敗しました,Restoration failed.,復元に失敗しました。,恢复失败。,복원에 실패했습니다.,恢復失敗。,La restauración falló.,การคืนค่าล้มเหลว.,Falha na restauração.,Wiederherstellung fehlgeschlagen.,La restauration a échoué.
新しいバージョンが利用可能です,A new version is available!,新しいバージョンが利用可能です!,有新版本可用！,새 버전으로 업데이트가 가능합니다!,有新版本可用。,¡Una nueva versión está disponible!,มีเวอร์ชันใหม่พร้อมใช้งาน!,Uma nova versão está disponível!,Eine neue Version ist verfügbar!,Une nouvelle version est disponible !
更新,Update,更新,更新,업데이트,更新,Actualizar,อัปเดต,Atualizar,Aktualisieren,Mettre à jour
冒険者の外見,Adventurer's Appearance,冒険者の外見,冒险者的外观,모험가의 외관,冒險者的外觀,Apariencia del aventurero,รูปลักษณ์ของนักผจญภัย,Aparência do aventureiro,Aussehen des Abenteurers,Apparence de l'aventurier
削除する,Delete,削除する,删除,삭제하기,刪除,Eliminar,ลบ,Excluir,Löschen,Supprimer
写真へのアクセス権限がありません。設定から許可してください。,No photo access permission.{@}Please allow in settings.,写真へのアクセス権限がありません。{@}設定から許可してください。,没有照片访问权限。{@}请在设置中允许。,사진 접근 권한이 없습니다.{@}설정에서 허용해 주세요.,沒有照片訪問權限。{@}請在設定中允許。,Sin permiso de acceso a fotos.{@}Permita en la configuración.,ไม่มีสิทธิ์เข้าถึงรูปภาพ{@}โปรดอนุญาตในการตั้งค่า,Sem permissão de acesso a fotos.{@}Permita nas configurações.,Kein Fotoberechtigungszugriff.{@}Bitte in den Einstellungen erlauben.,Pas d'autorisation d'accès aux photos.{@}Veuillez autoriser dans les paramètres.
通知を有効にすると帰還時にお知らせします,Enable notifications to be alerted when returning,通知を有効にすると帰還時にお知らせします,启用通知可在返回时收到提醒,알림을 활성화하면 귀환 시 알려드립니다,啟用通知可在返回時收到提醒,Active las notificaciones para recibir alertas al regresar,เปิดการแจ้งเตือนเพื่อรับการแจ้งเมื่อกลับมา,Ative as notificações para ser alertado ao retornar,Aktiviere Benachrichtigungen für Rückkehr-Hinweise,Activez les notifications pour être alerté au retour
ダンジョン階へ,Go to {dungeon} {floor}F.,{dungeon} {floor}階へ,前往{dungeon}第{floor}层,{dungeon} {floor}층으로,前往{dungeon}第{floor}層,Ir a {dungeon} {floor}F.,ไปที่ {dungeon} {floor}F.,Ir para {dungeon} {floor}F.,Gehe zu {dungeon} {floor}F.,Aller à {dungeon} {floor}e.
ダンジョン到着,Arrive at {dungeon}.,{dungeon}に到着,到达{dungeon},{dungeon}에 도착,到達{dungeon},Llegar a {dungeon}.,มาถึง {dungeon},Chegar a {dungeon}.,Ankunft in {dungeon}.,Arriver à {dungeon}.
ダンジョン内部に侵入,Enter the dungeon.,ダンジョン内部に侵入,进入迷宫内部,던전 내부에 침입,進入迷宮內部,Entrar al calabozo.,เข้าสู่ดันเจี้ยน,Entrar na masmorra.,Betrete den Dungeon.,Entrer dans le donjon.
装備品を確認した,Checked equipment.,装備品を確認した,装备检查完毕,착용중인 장비를 확인했다,裝備檢查完畢,Verificó el equipo.,ตรวจสอบอุปกรณ์,Verificou o equipamento.,Ausrüstung überprüft.,Équipement vérifié.
階の探索(魔物の巣),Start exploring {floor}F (Demon's Nest).,{floor}階の探索(魔物の巣),开始第{floor}层的探索(魔物巢穴),{floor}층을 탐색(마물의 둥지),開始第{floor}層的探索(魔物巢穴),Empezar a explorar {floor}F (Nido de demonios).,เริ่มสำรวจชั้น {floor} (รังของปีศาจ),Começar a explorar o {floor}F (Ninho dos Demônios).,Beginne Erkundung von {floor}F (Nest der Dämonen).,Commencer l'exploration de {floor}e (Nid du Démon).
階は魔物の巣だった！,{floor}F was a demon's nest!,{floor}階は魔物の巣だった！,第{floor}层是魔物的巢穴！,{floor}층은 마물의 둥지였다!,第{floor}層是魔物的巢穴！,{floor}F era un nido de demonios!,ชั้น {floor} เป็นรังของปีศาจ!,{floor}F era um ninho de demônios!,{floor}F war ein Nest der Dämonen!,{floor}É était un nid de démons !
は身構えた,{player} braced himself.,{player}は身構えた,{player}进入战斗准备,{player}은(는) 태세를 갖췄다.,{player}進入戰鬥準備,{player} se preparó.,{player} เตรียมพร้อม,{player} se preparou.,{player} machte sich bereit.,{player} s'est préparé.
階の探索(宝物庫),Start exploring {floor}F (Treasure Room).,{floor}階の探索(宝物庫),开始第{floor}层的探索(宝物库),{floor}층을 탐색(보물 창고),開始第{floor}層的探索(寶物庫),Empezar a explorar {floor}F (Sala del Tesoro).,เริ่มสำรวจชั้น {floor} (ห้องสมบัติ),Começar a explorar o {floor}F (Sala do Tesouro).,Beginne Erkundung von {floor}F (Schatzkammer).,Commencer l'exploration de {floor}e (Salle aux Trésors).
階は宝物庫だった！,{floor}F was a treasure room!,{floor}階は宝物庫だった！,第{floor}层是宝物库！,{floor}층은 보물 창고였다!,第{floor}層是寶物庫！,{floor}F era una sala del tesoro!,ชั้น {floor} เป็นห้องสมบัติ!,{floor}F era uma sala do tesouro!,{floor}F war eine Schatzkammer!,{floor}e était une salle aux trésors !
宝探しを楽しむことにした,Let's enjoy a treasure hunt!,宝探しを楽しむことにした,享受夺宝的乐趣吧,보물 찾기를 즐기기로 했다,享受尋寶的樂趣吧！,¡Vamos a disfrutar de una búsqueda de tesoros!,มาสนุกกับการล่าสมบัติกันเถอะ!,Vamos aproveitar uma caça ao tesouro!,Auf zur Schatzsuche!,Profitons d'une chasse au trésor !
階の探索(オアシス),Start exploring {floor}F (Oasis).,{floor}階の探索(オアシス),开始第{floor}层的探索(绿洲),{floor}층을 탐색(오아시스),開始第{floor}層的探索(綠洲),Empezar a explorar {floor}F (Oasis).,เริ่มสำรวจชั้น {floor} (โอเอซิส),Começar a explorar o {floor}F (Oásis).,Beginne Erkundung von {floor}F (Oase).,Commencer l'exploration de {floor}e (Oasis).
階は泉が湧き出るオアシスだった,{floor}F was an oasis with a spring gushing out of it.,{floor}階は泉が湧き出るオアシスだった,第{floor}层是泉水涌出的绿洲,{floor}층은 샘이 솟아나오는 오아시스였다,第{floor}層是泉水湧出的綠洲,{floor}F era un oasis con un manantial brotando.,ชั้น {floor} เป็นโอเอซิสที่มีน้ำพุผุดขึ้นมา,{floor}F era um oásis com uma fonte jorrando.,{floor}F war eine Oase mit sprudelnder Quelle.,{floor}e était une oasis avec une source jaillissante.
少し休んでいくことにした,Let's get some rest.,少し休んでいくことにした,稍微休息一下,잠시 쉬어가기로 했다,稍微休息一下,Vamos a descansar un poco.,มาพักผ่อนกันสักหน่อย,Vamos descansar um pouco.,Machen wir eine kurze Pause.,Reposons-nous un peu.
階の探索,Start exploring {floor}F.,{floor}階の探索,开始第{floor}层的探索,{floor}층 탐색,開始第{floor}層的探索,Empezar a explorar {floor}F.,เริ่มสำรวจชั้น {floor},Começar a explorar o {floor}F.,Beginne Erkundung von {floor}F.,Commencer l'exploration de {floor}e.
階に足を踏み入れた,Stepped into {floor}F.,{floor}階に足を踏み入れた,踏入第{floor}层,{floor}층에 발을 내딛었다,踏入第{floor}層,Entró en el {floor}F.,ก้าวเข้าสู่ชั้น {floor},{floor}F foi explorado.,Betrete {floor}F.,Entré dans {floor}e.
魔物の声が聞こえてくる,The demon's voice echoed throughout the floor.,魔物の声が聞こえてくる,魔物的声音响彻整个楼层,마물의 목소리가 들려온다,魔物的聲音響徹整個樓層,La voz del demonio resonó por todo el piso.,เสียงของปีศาจดังก้องไปทั่วทั้งชั้น,A voz do demônio ecoou por todo o andar.,Die Stimme eines Dämons hallte durch die Ebene.,La voix du démon résonnait à travers l'étage.
宝箱を見つけた,Found a treasure chest.,宝箱を見つけた,发现宝箱,보물상자를 발견했다,發現了寶箱,Encontró un cofre del tesoro.,พบหีบสมบัติ,Encontrou um baú do tesouro.,Eine Schatztruhe wurde gefunden.,Coffre au trésor trouvé.
は宝箱を開けた,{player} opened the treasure chest.,{player}は宝箱を開けた,{player}发现宝箱,{player}은(는) 보물상자를 열었다,{player}打開了寶箱,{player} abrió el cofre del tesoro.,{player} เปิดหีบสมบัติ,{player} abriu o baú do tesouro.,{player} öffnete die Schatztruhe.,{player} a ouvert le coffre au trésor.
が入っていた,{item} was in it.,{item}が入っていた,发现里面有“{item}”,{item}이(가) 들어있었다,發現裡面有“{item}”,Había {item} en él.,มี {item} อยู่ข้างใน,Tinha {item} dentro.,{item} war darin.,{item} était à l'intérieur.
はアイテムを袋に入れた,{player} put the items into the bag.,{player}はアイテムを袋に入れた,{player}把它收入囊中,{player}은(는) 아이템을 주머니에 넣었다,{player}把它收入包包中,{player} puso los objetos en la bolsa.,{player} เก็บไอเท็มลงในกระเป๋า,{player} colocou os itens na bolsa.,{player} steckte die Gegenstände in die Tasche.,{player} a mis les objets dans le sac.
水が湧き出ている,Water is gushing out.,水が湧き出ている,泉水涌出,물이 솟아나오고 있다,泉水湧出,El agua brota.,น้ำพุ่งออกมา,Água está jorrando.,Wasser sprudelt heraus.,De l'eau jaillit.
は泉に近づいて水を一口飲んだ,{player} approached the spring and took a sip of the water.,{player}は泉に近づいて水を一口飲んだ,{player}靠近泉水，喝了一口,{player}은(는) 샘에 다가가 물을 한 모금 마셨다,{player}靠近泉水，喝了一口,{player} se acercó al manantial y tomó un sorbo de agua.,{player} เข้าใกล้แหล่งน้ำและดื่มน้ำหนึ่งอึก,{player} se aproximou da fonte e tomou um gole da água.,{player} näherte sich der Quelle und nahm einen Schluck Wasser.,{player} s'est approché de la source et a pris une gorgée d'eau.
体力回復の泉だった,It was a fountain of recovery.,体力回復の泉だった,这是恢复体力(HP)的泉水,체력 회복의 샘이었다,這是恢復體力(HP)的泉水,Era una fuente de recuperación.,เป็นน้ำพุฟื้นฟูพลังชีวิต,Era uma fonte de recuperação.,Es war ein Brunnen der Erholung.,C'était une fontaine de récupération.
力上昇の泉だった,It was a fountain of STR.,力上昇の泉だった,这是提升力量(STR)的泉水,힘 상승의 샘이었다,這是提升力量(STR)的泉水,Era una fuente de STR.,เป็นน้ำพุเพิ่มพลัง STR,Era uma fonte de STR.,Es war ein Brunnen der Stärke.,C'était une fontaine de FOR.
頑丈さ上昇の泉だった,It was a fountain of VIT.,頑丈さ上昇の泉だった,这是提升耐力(VIT)的泉水,방어력 상승의 샘이었다,這是提升耐力(VIT)的泉水,Era una fuente de VIT.,เป็นน้ำพุเพิ่มพลัง VIT,Era uma fonte de VIT.,Es war ein Brunnen der Vitalität.,C'était une fontaine de VIT.
速度上昇の泉だった,It was a fountain of SPD.,速度上昇の泉だった,这是提升敏捷(SPD)的泉水,속도 상승의 샘이었다,這是提升敏捷(SPD)的泉水,Era una fuente de SPD.,เป็นน้ำพุเพิ่มพลัง SPD,Era uma fonte de SPD.,Es war ein Brunnen der Geschwindigkeit.,C'était une fontaine de VIT.
運上昇の泉だった,It was a fountain of LUK.,運上昇の泉だった,这是提升幸运(LUK)的泉水,운 상승의 샘이었다,這是提升幸運(LUK)的泉水,Era una fuente de LUK.,เป็นน้ำพุเพิ่มพลัง LUK,Era uma fonte de LUK.,Es war ein Brunnen des Glücks.,C'était une fontaine de CHN.
レベルアップの泉だった,It was a fountain of level-up.,レベルアップの泉だった,这是提升等级(Lv)的泉水,레벨 업의 샘이었다,這是提升等級(Lv)的泉水,Era una fuente de nivelación.,เป็นน้ำพุเพิ่มระดับ,Era uma fonte de subir de nível.,Es war ein Brunnen des Level-Ups.,C'était une fontaine de montée de niveau.
泉を見つけた,Found a Fountain.,泉を見つけた,发现泉水,샘을 발견했다,發現了泉水,Encontró una fuente.,พบแหล่งน้ำ,Encontrou uma fonte.,Ein Brunnen wurde gefunden.,Fontaine trouvée.
ダンジョン階の探索成功,{dungeon} {floor}F adventure succeeded!,{dungeon} {floor}階の探索成功,{dungeon}第{floor}层的探索成功,{dungeon} {floor}층 탐색 성공,{dungeon}第{floor}層的探索成功,¡Aventura en {dungeon} {floor}F completada!,การผจญภัยใน {dungeon} ชั้น {floor} สำเร็จ!,Aventura em {dungeon} {floor}F concluída!,Abenteuer in {dungeon} {floor}F erfolgreich!,Aventure réussie dans {dungeon} {floor}e !
ダンジョン階まで踏破しました,Cleared up to {floor}F in {dungeon}.,{dungeon} {floor}階まで踏破しました,通关至{dungeon}第{floor}层,{dungeon} {floor}층까지 클리어했습니다,通關至{dungeon}第{floor}層,Completó hasta el {floor}F en {dungeon}.,เคลียร์ถึงชั้น {floor} ใน {dungeon},Concluiu até o {floor}F em {dungeon}.,Bis zu {floor}F in {dungeon} durchquert.,Étagé jusqu'à {floor}e dans {dungeon}.
今週の踏破記録を更新しました,This week's clear record has been updated.,今週の踏破記録を更新しました,本周的通关记录更新了,이번 주 클리어 기록을 갱신했습니다,本週的通關記錄更新了,Se ha actualizado el registro de esta semana.,อัปเดตสถิติการเคลียร์ของสัปดาห์นี้แล้ว,Registro semanal atualizado.,Diese Woche wurde ein neuer Durchquerungsrekord aufgestellt.,Le record de la semaine a été mis à jour.
宝箱が現れた！,A treasure chest appeared!,宝箱が現れた！,宝箱出现了！,보물상자가 나타났다!,寶箱出現了！,¡Apareció un cofre del tesoro!,หีบสมบัติปรากฏขึ้น!,Um baú do tesouro apareceu!,Eine Schatztruhe ist erschienen!,Un coffre au trésor est apparu !
個のアイテムを入手した！,Got {num} items!,{num}個のアイテムを入手した！,得到了{num}个物品！,{num}개의 아이템을 입수했다!,得到了{num}個物品！,¡Conseguiste {num} objetos!,ได้รับ {num} ไอเท็ม!,Conseguiu {num} itens!,{num} Gegenstände erhalten!,Obtenu {num} objets !
を手に入れた,Got {item}!,{item}を手に入れた,得到了“{item}”,{item}을(를) 획득했다,得到了“{item}”,¡Conseguiste {item}!,ได้รับ {item}!,Conseguiu {item}!,{item} erhalten!,Obtenu {item} !
探索時間ボーナス！,Adventure time bonus!,探索時間ボーナス！,探索时间奖励！,탐색시간 보너스!,探索時間獎勵！,¡Bonificación por tiempo de aventura!,โบนัสเวลาสำรวจ!,Bônus de tempo de aventura!,Bonuszeit für das Abenteuer!,Bonus de temps d'aventure !
時間以上の探索,{hour}h or more of adventure!,{hour}時間以上の探索,{hour}小时以上的探索,{hour}시간 이상 탐색,{hour}小時以上的探索,¡Más de {hour}h de aventura!,สำรวจเกิน {hour} ชั่วโมง!,Mais de {hour}h de aventura!,Abenteuer von mindestens {hour} Std.!,{hour}h ou plus d'aventure !
扉の近くに何かが落ちている,Something has fallen near the door.,扉の近くに何かが落ちている,有东西落在大门附近,문 가까이에 무언가가 떨어져 있다,有東西落在大門附近,Algo cayó cerca de la puerta.,บางสิ่งตกอยู่ใกล้ประตู,Algo caiu perto da porta.,Etwas liegt in der Nähe der Tür.,Quelque chose est tombé près de la porte.
近づいてそれを拾い上げた,Approached it and picked it up.,近づいてそれを拾い上げた,走上前去，捡起来,다가가서 그것을 집어 들었다,走上前去，撿起來,Se acercó y lo recogió.,เดินเข้าไปหยิบมันขึ้นมา,Aproximou-se e pegou.,Näherte sich und hob es auf.,Vous vous en êtes approché et l'avez ramassé.
言葉によって形状が変化する不思議な鍵だ,It's a strange key that changes shape depending on your words.,言葉によって形状が変化する不思議な鍵だ,这是一把奇怪的钥匙，它会根据你说的话改变外形,내 말에 따라 형태가 변하는 신기한 열쇠다,這是一把不可思議的鑰匙，它會根據你說的話改變外形,Es una llave extraña que cambia de forma según tus palabras.,เป็นกุญแจแปลกๆ ที่เปลี่ยนรูปร่างตามคำพูดของคุณ,É uma chave estranha que muda de forma dependendo de suas palavras.,"Es ist ein seltsamer Schlüssel, der seine Form je nach deinen Worten verändert.",C'est une clé étrange qui change de forme selon vos mots.
残された人類へ,"A.D. 2122.{@}From Teba, leader of the Survival Task Force,{@}{@}To the remaining humanity.",A.D.2122{@}生存対策本部リーダー テバより{@}{@}残された人類へ,A.D. 2122.{@}来自生存对策本部的领袖Teba{@}{@}写给幸存的人类,A.D.2122{@}생존대책본부 리더 테바로부터{@}{@}남겨진 인류에게,A.D. 2122.{@}來自生存對策本部的領袖 Teba {@}{@}寫給倖存的人類,"A.D. 2122.{@}De Teba, líder de la Fuerza de Tarea de Supervivencia,{@}{@}Para la humanidad que queda.",A.D.2122{@}จากเตบา หัวหน้าหน่วยปฏิบัติการเพื่อความอยู่รอด{@}{@}ถึงมนุษยชาติที่เหลือ,"A.D.2122{@}De Teba, líder da Força-Tarefa de Sobrevivência,{@}{@}Para a humanidade restante.","A.D. 2122.{@}Von Teba, Leiter der Überlebens-Taskforce,{@}{@}an die verbleibende Menschheit.","A.D. 2122.{@}De Teba, chef de la Force de Tâche de Survie,{@}{@}À l'humanité restante."
WNEA,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”,“W.N.E..A..”
ODRD,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”,“.O.D.R...D”
DELA,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”,“...DE.LA..”
WOND,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”,“WO......ND”
受信メール,Received Email,受信メール,收到的邮件,수신 메일,收到的郵件,Correo recibido,อีเมลที่ได้รับ,Email recebido,Empfangene E-Mail,Email reçu
拾ったメモ,Picked-up Note,拾ったメモ,捡到的便条,줏은 메모,撿到的便條,Nota recogida,โน้ตที่เก็บได้,Nota encontrada,Aufgehobene Notiz,Note ramassée
遭難者の手記,Survivor's Log,遭難者の手記,遇难者的日记,조난자의 수기,遇難者的日記,Diario del sobreviviente,บันทึกผู้รอดชีวิต,Registro do sobrevivente,Überlebendenprotokoll,Journal du survivant
研究所長の書き置き,Director's Note,研究所長の書き置き,研究所长的遗言,연구소장이 남겨둔 편지,研究所長的遺言,Nota del director,บันทึกของผู้อำนวยการ,Nota do diretor,Notiz des Direktors,Note du directeur
偽霊媒師の独白,Impostor Medium's Monologue,偽霊媒師の独白,假灵媒的独白,가짜 영매사의 독백,假靈媒的獨白,Monólogo del médium impostor,บทพูดคนเดียวของสื่อปลอม,Monólogo do médium impostor,Monolog des falschen Mediums,Monologue du médium imposteur
戦況報告書,Combat Report,戦況報告書,战况报告,전황 보고서,戰況報告,Informe de combate,รายงานสถานการณ์การต่อสู้,Relatório de combate,Kampfbericht,Rapport de combat
迷いの森メモ,"How long has it been since I wandered into this forest?{@}I was able to escape from the demons, but now I'm going to be lost in the forest...{@}We've already run out of food, we'll have to take food from the other lost people.",この森に迷い込んでどれくらい経っただろう{@}魔物からは逃げきれたが、今度は森で遭難するはめになるとは…{@}もう食料も尽きた{@}他の遭難者から食料を奪うしかない,我不知道迷失在这片森林多久了。{@}好不容易逃离魔爪，如今又深陷这片森林。{@}粮食消耗殆尽，我们只好从遇难者的遗体上搜寻食物。,이 숲으로 헤매어 들어온지 얼마나 지났을까{@}마물로부턴 도망칠 수 있었지만 이번엔 숲에서 조난하게 되다니…{@}이젠 식량도 다 떨어졌다{@}다른 조난자로부터 식량을 빼앗을 수 밖에 없다,我這片森林裡迷失了多久了呢？{@}好不容易逃離魔物的追殺，如今又深陷這片森林……{@}糧食消耗殆盡，我只能從其他遇難者身上搶奪食物。,"¿Cuánto tiempo ha pasado desde que me perdí en este bosque?{@}Pude escapar de los demonios, pero ahora estoy perdido en el bosque...{@}Ya nos quedamos sin comida, tendremos que tomar comida de otros perdidos.",ฉันหลงในป่านี้มานานแค่ไหนแล้วนะ{@}ฉันหนีจากปีศาจมาได้ แต่ตอนนี้ฉันหลงป่า...{@}เราไม่มีอาหารเหลือแล้ว ต้องแย่งอาหารจากผู้หลงทางคนอื่น,"Quanto tempo se passou desde que me perdi nesta floresta?{@}Consegui escapar dos demônios, mas agora estou perdido na floresta...{@}Já ficamos sem comida, teremos que pegar comida de outros perdidos.","Wie lange ist es her, dass ich in diesen Wald geraten bin?{@}Ich konnte den Dämonen entkommen, aber jetzt werde ich mich im Wald verirren...{@}Wir haben bereits kein Essen mehr, wir müssen das Essen von den anderen Verirrten nehmen.","Combien de temps s'est écoulé depuis que j'ai erré dans cette forêt ?{@}J'ai réussi à échapper aux démons, mais maintenant je vais me perdre dans la forêt...{@}Nous n'avons déjà plus de nourriture, nous devrons en prendre aux autres personnes perdues."
