Rank 1000: HP: 268, STR: 403678, VIT: 22, SPD: 1, LUK: 1, Attack: 489218, Defense: 85640, Current HP: 268, A Avg: 993112, D Avg: 85640, [Zodiac(184)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 977: HP: 266, STR: 288120, VIT: 72, SPD: 1, LUK: 1, Attack: 373452, Defense: 84078, Current HP: 266, A Avg: 993382, D Avg: 84078, [Tower(149)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 976: HP: 247, STR: 288120, VIT: 64, SPD: 1, LUK: 1, Attack: 373452, Defense: 85734, Current HP: 247, A Avg: 993382, D Avg: 85734, [Tower(149)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 975: HP: 437, STR: 288612, VIT: 272, SPD: 1, LUK: 1, Attack: 373453, Defense: 85266, Current HP: 437, A Avg: 993384, D Avg: 85266, [Grand Slam(163)[230, 230, 230], Metalization(228)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 974: HP: 798, STR: 288411, VIT: 379, SPD: 1, LUK: 1, Attack: 373454, Defense: 87947, Current HP: 798, A Avg: 993387, D Avg: 87947, [White Snake(160)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 973: HP: 152, STR: 404585, VIT: 48, SPD: 1, LUK: 1, Attack: 489373, Defense: 84184, Current HP: 152, A Avg: 993427, D Avg: 84184, [Pulse Knife(165)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 972: HP: 520, STR: 404039, VIT: 192, SPD: 1, LUK: 1, Attack: 489373, Defense: 86304, Current HP: 520, A Avg: 993427, D Avg: 86304, [Impulse(166)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 971: HP: 475, STR: 289476, VIT: 22, SPD: 1, LUK: 1, Attack: 373476, Defense: 86810, Current HP: 475, A Avg: 993446, D Avg: 86810, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 970: HP: 247, STR: 289476, VIT: 22, SPD: 2, LUK: 1, Attack: 373476, Defense: 86810, Current HP: 247, A Avg: 993446, D Avg: 86810, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 969: HP: 228, STR: 288144, VIT: 59, SPD: 1, LUK: 1, Attack: 373476, Defense: 83987, Current HP: 228, A Avg: 993446, D Avg: 83987, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 968: HP: 323, STR: 288144, VIT: 76, SPD: 1, LUK: 1, Attack: 373476, Defense: 84004, Current HP: 323, A Avg: 993446, D Avg: 84004, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 967: HP: 285, STR: 288150, VIT: 72, SPD: 1, LUK: 1, Attack: 373482, Defense: 84572, Current HP: 285, A Avg: 993462, D Avg: 84572, [Tower(149)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 966: HP: 304, STR: 288165, VIT: 80, SPD: 1, LUK: 1, Attack: 373497, Defense: 84086, Current HP: 304, A Avg: 993502, D Avg: 84086, [Tower(149)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 965: HP: 1140, STR: 403559, VIT: 153, SPD: 1, LUK: 1, Attack: 489411, Defense: 86070, Current HP: 1140, A Avg: 993504, D Avg: 86070, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 964: HP: 500, STR: 403871, VIT: 112, SPD: 1, LUK: 1, Attack: 489411, Defense: 86224, Current HP: 500, A Avg: 993504, D Avg: 86224, [Zodiac(184)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 963: HP: 646, STR: 404081, VIT: 357, SPD: 1, LUK: 1, Attack: 489415, Defense: 85351, Current HP: 646, A Avg: 993512, D Avg: 85351, [Impulse(166)[230, 230, 230], Metalization(228)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 962: HP: 380, STR: 403466, VIT: 120, SPD: 1, LUK: 1, Attack: 489435, Defense: 85998, Current HP: 380, A Avg: 993553, D Avg: 85998, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 961: HP: 76, STR: 403695, VIT: 28, SPD: 1, LUK: 1, Attack: 489443, Defense: 85646, Current HP: 76, A Avg: 993569, D Avg: 85646, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 960: HP: 722, STR: 404945, VIT: 316, SPD: 1, LUK: 1, Attack: 489445, Defense: 85180, Current HP: 722, A Avg: 993573, D Avg: 85180, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 959: HP: 627, STR: 403913, VIT: 272, SPD: 1, LUK: 1, Attack: 489453, Defense: 85266, Current HP: 627, A Avg: 993589, D Avg: 85266, [Zodiac(184)[230, 230, 230], Metalization(228)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 958: HP: 152, STR: 288690, VIT: 48, SPD: 1, LUK: 1, Attack: 373531, Defense: 87876, Current HP: 152, A Avg: 993592, D Avg: 87876, [Grand Slam(163)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 957: HP: 266, STR: 288210, VIT: 72, SPD: 1, LUK: 1, Attack: 373542, Defense: 83935, Current HP: 266, A Avg: 993621, D Avg: 83935, [Tower(149)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 956: HP: 304, STR: 288210, VIT: 72, SPD: 1, LUK: 1, Attack: 373542, Defense: 83961, Current HP: 304, A Avg: 993621, D Avg: 83961, [Tower(149)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 955: HP: 342, STR: 289548, VIT: 54, SPD: 1, LUK: 1, Attack: 373548, Defense: 86842, Current HP: 342, A Avg: 993637, D Avg: 86842, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 954: HP: 247, STR: 289548, VIT: 38, SPD: 1, LUK: 1, Attack: 373548, Defense: 86826, Current HP: 247, A Avg: 993637, D Avg: 86826, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 953: HP: 342, STR: 289548, VIT: 54, SPD: 1, LUK: 1, Attack: 373548, Defense: 86842, Current HP: 342, A Avg: 993637, D Avg: 86842, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 952: HP: 342, STR: 289548, VIT: 54, SPD: 1, LUK: 1, Attack: 373548, Defense: 86842, Current HP: 342, A Avg: 993637, D Avg: 86842, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 951: HP: 266, STR: 405362, VIT: 22, SPD: 1, LUK: 1, Attack: 489483, Defense: 86810, Current HP: 266, A Avg: 993650, D Avg: 86810, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 950: HP: 171, STR: 288729, VIT: 64, SPD: 1, LUK: 1, Attack: 373554, Defense: 87892, Current HP: 171, A Avg: 993653, D Avg: 87892, [Kraken(145)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 949: HP: 300, STR: 403661, VIT: 48, SPD: 1, LUK: 1, Attack: 489539, Defense: 84782, Current HP: 300, A Avg: 993764, D Avg: 84782, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 948: HP: 247, STR: 288270, VIT: 64, SPD: 1, LUK: 1, Attack: 373602, Defense: 84252, Current HP: 247, A Avg: 993781, D Avg: 84252, [Tower(149)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 947: HP: 285, STR: 289494, VIT: 24, SPD: 2, LUK: 1, Attack: 373604, Defense: 86812, Current HP: 285, A Avg: 993786, D Avg: 86812, [Serpent(144)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 946: HP: 494, STR: 289494, VIT: 22, SPD: 1, LUK: 1, Attack: 373615, Defense: 86810, Current HP: 494, A Avg: 993815, D Avg: 86810, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 945: HP: 266, STR: 289494, VIT: 22, SPD: 2, LUK: 1, Attack: 373615, Defense: 86810, Current HP: 266, A Avg: 993815, D Avg: 86810, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 944: HP: 228, STR: 288288, VIT: 127, SPD: 1, LUK: 1, Attack: 373620, Defense: 84055, Current HP: 228, A Avg: 993829, D Avg: 84055, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 943: HP: 228, STR: 288288, VIT: 127, SPD: 1, LUK: 1, Attack: 373620, Defense: 84055, Current HP: 228, A Avg: 993829, D Avg: 84055, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 942: HP: 76, STR: 288802, VIT: 32, SPD: 2, LUK: 1, Attack: 373627, Defense: 84168, Current HP: 76, A Avg: 993847, D Avg: 84168, [Kraken(145)[230, 230, 230], Magnum(237)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 941: HP: 285, STR: 288300, VIT: 83, SPD: 1, LUK: 1, Attack: 373632, Defense: 85311, Current HP: 285, A Avg: 993861, D Avg: 85311, [Tower(149)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 940: HP: 171, STR: 288090, VIT: 216, SPD: 1, LUK: 1, Attack: 373643, Defense: 84222, Current HP: 171, A Avg: 993890, D Avg: 84222, [Hammer of Justice(186)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 939: HP: 152, STR: 288090, VIT: 208, SPD: 1, LUK: 1, Attack: 373643, Defense: 85878, Current HP: 152, A Avg: 993890, D Avg: 85878, [Hammer of Justice(186)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 938: HP: 190, STR: 288120, VIT: 216, SPD: 1, LUK: 1, Attack: 373673, Defense: 84716, Current HP: 190, A Avg: 993970, D Avg: 84716, [Hammer of Justice(186)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 937: HP: 361, STR: 289566, VIT: 54, SPD: 1, LUK: 1, Attack: 373687, Defense: 86842, Current HP: 361, A Avg: 994007, D Avg: 86842, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 936: HP: 266, STR: 289566, VIT: 38, SPD: 1, LUK: 1, Attack: 373687, Defense: 86826, Current HP: 266, A Avg: 994007, D Avg: 86826, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 935: HP: 361, STR: 289566, VIT: 54, SPD: 1, LUK: 1, Attack: 373687, Defense: 86842, Current HP: 361, A Avg: 994007, D Avg: 86842, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 934: HP: 361, STR: 289566, VIT: 54, SPD: 1, LUK: 1, Attack: 373687, Defense: 86842, Current HP: 361, A Avg: 994007, D Avg: 86842, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 933: HP: 209, STR: 288135, VIT: 224, SPD: 1, LUK: 1, Attack: 373688, Defense: 84230, Current HP: 209, A Avg: 994010, D Avg: 84230, [Hammer of Justice(186)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 932: HP: 247, STR: 289692, VIT: 102, SPD: 1, LUK: 1, Attack: 373692, Defense: 86890, Current HP: 247, A Avg: 994020, D Avg: 86890, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 931: HP: 247, STR: 289692, VIT: 102, SPD: 1, LUK: 1, Attack: 373692, Defense: 86890, Current HP: 247, A Avg: 994020, D Avg: 86890, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 930: HP: 171, STR: 288180, VIT: 216, SPD: 1, LUK: 1, Attack: 373733, Defense: 84079, Current HP: 171, A Avg: 994129, D Avg: 84079, [Hammer of Justice(186)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 929: HP: 209, STR: 288180, VIT: 216, SPD: 1, LUK: 1, Attack: 373733, Defense: 84105, Current HP: 209, A Avg: 994129, D Avg: 84105, [Hammer of Justice(186)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 928: HP: 817, STR: 288420, VIT: 384, SPD: 1, LUK: 1, Attack: 373752, Defense: 87952, Current HP: 817, A Avg: 994180, D Avg: 87952, [Tower(149)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 927: HP: 228, STR: 288711, VIT: 59, SPD: 1, LUK: 1, Attack: 373754, Defense: 87887, Current HP: 228, A Avg: 994185, D Avg: 87887, [White Snake(160)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 926: HP: 228, STR: 288432, VIT: 42, SPD: 1, LUK: 1, Attack: 373764, Defense: 83970, Current HP: 228, A Avg: 994212, D Avg: 83970, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 925: HP: 152, STR: 405005, VIT: 48, SPD: 1, LUK: 1, Attack: 489793, Defense: 84392, Current HP: 152, A Avg: 994279, D Avg: 84392, [Pulse Knife(165)[230, 230, 230], V Magnum(238)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 924: HP: 152, STR: 288240, VIT: 208, SPD: 1, LUK: 1, Attack: 373793, Defense: 84396, Current HP: 152, A Avg: 994289, D Avg: 84396, [Hammer of Justice(186)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 923: HP: 316, STR: 288064, VIT: 28, SPD: 1, LUK: 1, Attack: 373812, Defense: 85646, Current HP: 316, A Avg: 994339, D Avg: 85646, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 922: HP: 76, STR: 288064, VIT: 28, SPD: 1, LUK: 1, Attack: 373812, Defense: 85646, Current HP: 76, A Avg: 994339, D Avg: 85646, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 921: HP: 190, STR: 288270, VIT: 227, SPD: 1, LUK: 1, Attack: 373823, Defense: 85455, Current HP: 190, A Avg: 994369, D Avg: 85455, [Hammer of Justice(186)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 920: HP: 133, STR: 288781, VIT: 27, SPD: 2, LUK: 1, Attack: 373824, Defense: 84163, Current HP: 133, A Avg: 994371, D Avg: 84163, [White Snake(160)[230, 230, 230], Magnum(237)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 919: HP: 266, STR: 289710, VIT: 102, SPD: 1, LUK: 1, Attack: 373831, Defense: 86890, Current HP: 266, A Avg: 994390, D Avg: 86890, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 918: HP: 266, STR: 289710, VIT: 102, SPD: 1, LUK: 1, Attack: 373831, Defense: 86890, Current HP: 266, A Avg: 994390, D Avg: 86890, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 917: HP: 266, STR: 404917, VIT: 107, SPD: 1, LUK: 1, Attack: 489883, Defense: 86895, Current HP: 266, A Avg: 994462, D Avg: 86895, [Red Shark(134)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 916: HP: 513, STR: 288936, VIT: 102, SPD: 1, LUK: 1, Attack: 373865, Defense: 86318, Current HP: 513, A Avg: 994480, D Avg: 86318, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 915: HP: 285, STR: 288936, VIT: 102, SPD: 1, LUK: 1, Attack: 373865, Defense: 86318, Current HP: 285, A Avg: 994480, D Avg: 86318, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 914: HP: 722, STR: 405404, VIT: 231, SPD: 1, LUK: 1, Attack: 489904, Defense: 85095, Current HP: 722, A Avg: 994505, D Avg: 85095, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 913: HP: 176, STR: 288136, VIT: 60, SPD: 1, LUK: 1, Attack: 373884, Defense: 85678, Current HP: 176, A Avg: 994531, D Avg: 85678, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 912: HP: 76, STR: 288136, VIT: 44, SPD: 1, LUK: 1, Attack: 373884, Defense: 85662, Current HP: 76, A Avg: 994531, D Avg: 85662, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 911: HP: 176, STR: 288136, VIT: 60, SPD: 1, LUK: 1, Attack: 373884, Defense: 85678, Current HP: 176, A Avg: 994531, D Avg: 85678, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 910: HP: 176, STR: 288136, VIT: 60, SPD: 1, LUK: 1, Attack: 373884, Defense: 85678, Current HP: 176, A Avg: 994531, D Avg: 85678, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 909: HP: 540, STR: 288036, VIT: 48, SPD: 1, LUK: 1, Attack: 373914, Defense: 84782, Current HP: 540, A Avg: 994611, D Avg: 84782, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 908: HP: 300, STR: 288036, VIT: 48, SPD: 1, LUK: 1, Attack: 373914, Defense: 84782, Current HP: 300, A Avg: 994611, D Avg: 84782, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 907: HP: 380, STR: 289008, VIT: 136, SPD: 1, LUK: 1, Attack: 373937, Defense: 86352, Current HP: 380, A Avg: 994672, D Avg: 86352, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 906: HP: 380, STR: 289008, VIT: 136, SPD: 1, LUK: 1, Attack: 373937, Defense: 86352, Current HP: 380, A Avg: 994672, D Avg: 86352, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 905: HP: 722, STR: 288390, VIT: 528, SPD: 1, LUK: 1, Attack: 373943, Defense: 88096, Current HP: 722, A Avg: 994688, D Avg: 88096, [Hammer of Justice(186)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 904: HP: 266, STR: 404669, VIT: 96, SPD: 1, LUK: 1, Attack: 490003, Defense: 84232, Current HP: 266, A Avg: 994706, D Avg: 84232, [Impulse(166)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 903: HP: 399, STR: 288090, VIT: 56, SPD: 1, LUK: 1, Attack: 373968, Defense: 84062, Current HP: 399, A Avg: 994754, D Avg: 84062, [God Hand(179)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 902: HP: 180, STR: 437034, VIT: 288, SPD: 1, LUK: 1, Attack: 523562, Defense: 87076, Current HP: 180, A Avg: 994767, D Avg: 87076, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
