Rank 1000: HP: 750, STR: 289092, VIT: 672, SPD: 32, LUK: 1, Attack: 374645, Defense: 84561, Current HP: 750, A Avg: 996555, D Avg: 84561, [Hammer of Justice(186)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 989: HP: 1653, STR: 288447, VIT: 854, SPD: 32, LUK: 1, Attack: 374689, Defense: 88422, Current HP: 1653, A Avg: 996672, D Avg: 88422, [Droid Hammer(177)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 988: HP: 1174, STR: 406051, VIT: 426, SPD: 32, LUK: 1, Attack: 490980, Defense: 86642, Current HP: 1174, A Avg: 996689, D Avg: 86642, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 987: HP: 1114, STR: 288954, VIT: 424, SPD: 32, LUK: 1, Attack: 374702, Defense: 86042, Current HP: 1114, A Avg: 996707, D Avg: 86042, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 986: HP: 874, STR: 288964, VIT: 412, SPD: 32, LUK: 1, Attack: 374712, Defense: 86030, Current HP: 874, A Avg: 996733, D Avg: 86030, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 985: HP: 874, STR: 288964, VIT: 412, SPD: 32, LUK: 1, Attack: 374712, Defense: 86030, Current HP: 874, A Avg: 996733, D Avg: 86030, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 984: HP: 1145, STR: 289702, VIT: 804, SPD: 38, LUK: 1, Attack: 374745, Defense: 85395, Current HP: 1145, A Avg: 996821, D Avg: 85395, [White Snake(160)[230, 230, 230], Black Hole(229)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 983: HP: 1326, STR: 289702, VIT: 835, SPD: 38, LUK: 1, Attack: 374745, Defense: 87753, Current HP: 1326, A Avg: 996821, D Avg: 87753, [White Snake(160)[230, 230, 230], White Hole(230)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 982: HP: 1660, STR: 405715, VIT: 860, SPD: 32, LUK: 1, Attack: 491049, Defense: 86972, Current HP: 1660, A Avg: 996829, D Avg: 86972, [Impulse(166)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 981: HP: 532, STR: 290871, VIT: 78, SPD: 32, LUK: 1, Attack: 374760, Defense: 87906, Current HP: 532, A Avg: 996861, D Avg: 87906, [Iron Lumps(108)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 980: HP: 1320, STR: 288522, VIT: 147, SPD: 32, LUK: 1, Attack: 374764, Defense: 84036, Current HP: 1320, A Avg: 996872, D Avg: 84036, [Droid Hammer(177)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 979: HP: 1168, STR: 406958, VIT: 144, SPD: 34, LUK: 1, Attack: 491079, Defense: 86932, Current HP: 1168, A Avg: 996890, D Avg: 86932, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 978: HP: 1248, STR: 288534, VIT: 155, SPD: 32, LUK: 1, Attack: 374776, Defense: 84161, Current HP: 1248, A Avg: 996904, D Avg: 84161, [Droid Hammer(177)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 977: HP: 1368, STR: 405757, VIT: 1035, SPD: 32, LUK: 1, Attack: 491091, Defense: 86029, Current HP: 1368, A Avg: 996914, D Avg: 86029, [Impulse(166)[230, 230, 230], Metalization(228)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 976: HP: 921, STR: 288820, VIT: 435, SPD: 34, LUK: 1, Attack: 374789, Defense: 86313, Current HP: 921, A Avg: 996938, D Avg: 86313, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 975: HP: 522, STR: 290799, VIT: 78, SPD: 32, LUK: 1, Attack: 374792, Defense: 87906, Current HP: 522, A Avg: 996946, D Avg: 87906, [Sword of Wood(124)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 974: HP: 788, STR: 289467, VIT: 276, SPD: 32, LUK: 1, Attack: 374799, Defense: 84464, Current HP: 788, A Avg: 996965, D Avg: 84464, [Tower(149)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 973: HP: 997, STR: 290707, VIT: 449, SPD: 40, LUK: 1, Attack: 374817, Defense: 84793, Current HP: 997, A Avg: 997013, D Avg: 84793, [Serpent(144)[230, 230, 230], V Magnum(238)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 972: HP: 2679, STR: 288968, VIT: 457, SPD: 32, LUK: 1, Attack: 374820, Defense: 86374, Current HP: 2679, A Avg: 997021, D Avg: 86374, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 971: HP: 2679, STR: 288968, VIT: 457, SPD: 32, LUK: 1, Attack: 374820, Defense: 86374, Current HP: 2679, A Avg: 997021, D Avg: 86374, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 970: HP: 1786, STR: 289814, VIT: 852, SPD: 38, LUK: 1, Attack: 374857, Defense: 86964, Current HP: 1786, A Avg: 997119, D Avg: 86964, [White Snake(160)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 969: HP: 522, STR: 290871, VIT: 78, SPD: 32, LUK: 1, Attack: 374870, Defense: 87906, Current HP: 522, A Avg: 997154, D Avg: 87906, [Greatsword(127)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 968: HP: 513, STR: 406421, VIT: 504, SPD: 34, LUK: 1, Attack: 491209, Defense: 84640, Current HP: 513, A Avg: 997154, D Avg: 84640, [Pulse Knife(165)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 967: HP: 1487, STR: 289850, VIT: 1026, SPD: 38, LUK: 1, Attack: 374893, Defense: 86020, Current HP: 1487, A Avg: 997215, D Avg: 86020, [White Snake(160)[230, 230, 230], Metalization(228)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 966: HP: 1064, STR: 290916, VIT: 176, SPD: 34, LUK: 1, Attack: 374916, Defense: 86964, Current HP: 1064, A Avg: 997276, D Avg: 86964, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 965: HP: 969, STR: 290916, VIT: 160, SPD: 34, LUK: 1, Attack: 374916, Defense: 86948, Current HP: 969, A Avg: 997276, D Avg: 86948, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 964: HP: 1064, STR: 290916, VIT: 236, SPD: 34, LUK: 1, Attack: 374916, Defense: 87024, Current HP: 1064, A Avg: 997276, D Avg: 87024, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 963: HP: 1064, STR: 290916, VIT: 176, SPD: 34, LUK: 1, Attack: 374916, Defense: 86964, Current HP: 1064, A Avg: 997276, D Avg: 86964, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 962: HP: 1060, STR: 289887, VIT: 443, SPD: 32, LUK: 1, Attack: 374930, Defense: 85671, Current HP: 1060, A Avg: 997313, D Avg: 85671, [White Snake(160)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 961: HP: 532, STR: 290928, VIT: 78, SPD: 32, LUK: 1, Attack: 374934, Defense: 87906, Current HP: 532, A Avg: 997324, D Avg: 87906, [Great Iron Mass(122)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 960: HP: 2812, STR: 289101, VIT: 520, SPD: 32, LUK: 1, Attack: 374953, Defense: 86437, Current HP: 2812, A Avg: 997374, D Avg: 86437, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 959: HP: 2584, STR: 289112, VIT: 508, SPD: 32, LUK: 1, Attack: 374964, Defense: 86425, Current HP: 2584, A Avg: 997404, D Avg: 86425, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 958: HP: 2584, STR: 289112, VIT: 508, SPD: 32, LUK: 1, Attack: 374964, Defense: 86425, Current HP: 2584, A Avg: 997404, D Avg: 86425, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 957: HP: 1276, STR: 406421, VIT: 228, SPD: 34, LUK: 1, Attack: 491387, Defense: 87016, Current HP: 1276, A Avg: 997515, D Avg: 87016, [Red Shark(134)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 956: HP: 845, STR: 404931, VIT: 817, SPD: 34, LUK: 1, Attack: 491420, Defense: 85239, Current HP: 845, A Avg: 997582, D Avg: 85239, [Cuttlefish(178)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 955: HP: 1197, STR: 291049, VIT: 235, SPD: 34, LUK: 1, Attack: 375049, Defense: 87023, Current HP: 1197, A Avg: 997630, D Avg: 87023, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 954: HP: 1263, STR: 290934, VIT: 176, SPD: 34, LUK: 1, Attack: 375055, Defense: 86964, Current HP: 1263, A Avg: 997646, D Avg: 86964, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 953: HP: 1168, STR: 290934, VIT: 160, SPD: 34, LUK: 1, Attack: 375055, Defense: 86948, Current HP: 1168, A Avg: 997646, D Avg: 86948, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 952: HP: 1263, STR: 290934, VIT: 236, SPD: 34, LUK: 1, Attack: 375055, Defense: 87024, Current HP: 1263, A Avg: 997646, D Avg: 87024, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 951: HP: 1263, STR: 290934, VIT: 176, SPD: 34, LUK: 1, Attack: 375055, Defense: 86964, Current HP: 1263, A Avg: 997646, D Avg: 86964, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 950: HP: 969, STR: 291060, VIT: 224, SPD: 34, LUK: 1, Attack: 375060, Defense: 87012, Current HP: 969, A Avg: 997659, D Avg: 87012, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 949: HP: 969, STR: 291060, VIT: 224, SPD: 34, LUK: 1, Attack: 375060, Defense: 87012, Current HP: 969, A Avg: 997659, D Avg: 87012, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 948: HP: 784, STR: 291057, VIT: 219, SPD: 32, LUK: 1, Attack: 375089, Defense: 88047, Current HP: 784, A Avg: 997736, D Avg: 88047, [Alucard(146)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 947: HP: 931, STR: 288747, VIT: 376, SPD: 32, LUK: 1, Attack: 375093, Defense: 84382, Current HP: 931, A Avg: 997747, D Avg: 84382, [Progress(147)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 946: HP: 912, STR: 288747, VIT: 1827, SPD: 32, LUK: 1, Attack: 375093, Defense: 87497, Current HP: 912, A Avg: 997747, D Avg: 87497, [Progress(147)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 945: HP: 731, STR: 290985, VIT: 177, SPD: 32, LUK: 1, Attack: 375095, Defense: 88005, Current HP: 731, A Avg: 997752, D Avg: 88005, [Serpent(144)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 944: HP: 2584, STR: 289256, VIT: 423, SPD: 32, LUK: 1, Attack: 375108, Defense: 86340, Current HP: 2584, A Avg: 997787, D Avg: 86340, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 943: HP: 1282, STR: 289144, VIT: 739, SPD: 40, LUK: 1, Attack: 375113, Defense: 86617, Current HP: 1282, A Avg: 997800, D Avg: 86617, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 942: HP: 940, STR: 405052, VIT: 830, SPD: 34, LUK: 1, Attack: 491541, Defense: 85252, Current HP: 940, A Avg: 997828, D Avg: 85252, [Cuttlefish(178)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 941: HP: 714, STR: 291039, VIT: 206, SPD: 32, LUK: 1, Attack: 375149, Defense: 88034, Current HP: 714, A Avg: 997896, D Avg: 88034, [Dragon Killer(139)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 940: HP: 760, STR: 289287, VIT: 451, SPD: 32, LUK: 1, Attack: 375165, Defense: 84457, Current HP: 760, A Avg: 997938, D Avg: 84457, [God Hand(179)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 939: HP: 1007, STR: 289839, VIT: 417, SPD: 32, LUK: 1, Attack: 375171, Defense: 85645, Current HP: 1007, A Avg: 997954, D Avg: 85645, [Tower(149)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 938: HP: 1254, STR: 289432, VIT: 636, SPD: 38, LUK: 1, Attack: 375180, Defense: 86254, Current HP: 1254, A Avg: 997978, D Avg: 86254, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 937: HP: 1022, STR: 288834, VIT: 376, SPD: 32, LUK: 1, Attack: 375180, Defense: 84876, Current HP: 1022, A Avg: 997978, D Avg: 84876, [Progress(147)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 936: HP: 1396, STR: 291067, VIT: 235, SPD: 34, LUK: 1, Attack: 375188, Defense: 87023, Current HP: 1396, A Avg: 998000, D Avg: 87023, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 935: HP: 1168, STR: 291078, VIT: 224, SPD: 34, LUK: 1, Attack: 375199, Defense: 87012, Current HP: 1168, A Avg: 998029, D Avg: 87012, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 934: HP: 1168, STR: 291078, VIT: 224, SPD: 34, LUK: 1, Attack: 375199, Defense: 87012, Current HP: 1168, A Avg: 998029, D Avg: 87012, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 933: HP: 1263, STR: 407160, VIT: 651, SPD: 32, LUK: 1, Attack: 491660, Defense: 85515, Current HP: 1263, A Avg: 998069, D Avg: 85515, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 932: HP: 513, STR: 289665, VIT: 603, SPD: 32, LUK: 1, Attack: 375218, Defense: 84791, Current HP: 513, A Avg: 998079, D Avg: 84791, [Hammer of Justice(186)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 931: HP: 551, STR: 288693, VIT: 390, SPD: 32, LUK: 1, Attack: 375221, Defense: 84396, Current HP: 551, A Avg: 998087, D Avg: 84396, [Moon Knuckle(153)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 930: HP: 532, STR: 288693, VIT: 1841, SPD: 32, LUK: 1, Attack: 375221, Defense: 87511, Current HP: 532, A Avg: 998087, D Avg: 87511, [Moon Knuckle(153)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 929: HP: 640, STR: 406135, VIT: 350, SPD: 32, LUK: 1, Attack: 491675, Defense: 84073, Current HP: 640, A Avg: 998100, D Avg: 84073, [Zodiac(184)[230, 230, 230], Pot Lid(201)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 928: HP: 640, STR: 406135, VIT: 350, SPD: 32, LUK: 1, Attack: 491675, Defense: 84083, Current HP: 640, A Avg: 998100, D Avg: 84083, [Zodiac(184)[230, 230, 230], High Pot Lid(202)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 927: HP: 608, STR: 406135, VIT: 380, SPD: 32, LUK: 1, Attack: 491675, Defense: 84249, Current HP: 608, A Avg: 998100, D Avg: 84249, [Zodiac(184)[230, 230, 230], Wooden Shield(203)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 926: HP: 608, STR: 406135, VIT: 385, SPD: 32, LUK: 1, Attack: 491675, Defense: 84189, Current HP: 608, A Avg: 998100, D Avg: 84189, [Zodiac(184)[230, 230, 230], Iron Shield(204)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 925: HP: 608, STR: 406135, VIT: 404, SPD: 32, LUK: 1, Attack: 491675, Defense: 84267, Current HP: 608, A Avg: 998100, D Avg: 84267, [Zodiac(184)[230, 230, 230], Titanium Shield(205)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 924: HP: 608, STR: 406135, VIT: 421, SPD: 32, LUK: 1, Attack: 491675, Defense: 84310, Current HP: 608, A Avg: 998100, D Avg: 84310, [Zodiac(184)[230, 230, 230], Large iron Shield(206)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 923: HP: 640, STR: 406135, VIT: 419, SPD: 32, LUK: 1, Attack: 491675, Defense: 84295, Current HP: 640, A Avg: 998100, D Avg: 84295, [Zodiac(184)[230, 230, 230], Magic Shield(207)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 922: HP: 807, STR: 406135, VIT: 469, SPD: 32, LUK: 1, Attack: 491675, Defense: 84306, Current HP: 807, A Avg: 998100, D Avg: 84306, [Zodiac(184)[230, 230, 230], Emerald Shield(209)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 921: HP: 700, STR: 406135, VIT: 388, SPD: 32, LUK: 1, Attack: 491675, Defense: 84160, Current HP: 700, A Avg: 998100, D Avg: 84160, [Zodiac(184)[230, 230, 230], Clear Shield(211)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 920: HP: 740, STR: 406135, VIT: 419, SPD: 32, LUK: 1, Attack: 491675, Defense: 84438, Current HP: 740, A Avg: 998100, D Avg: 84438, [Zodiac(184)[230, 230, 230], Prism Shield(212)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 919: HP: 684, STR: 406135, VIT: 413, SPD: 32, LUK: 1, Attack: 491675, Defense: 84341, Current HP: 684, A Avg: 998100, D Avg: 84341, [Zodiac(184)[230, 230, 230], Tower Shield(213)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 918: HP: 1006, STR: 406135, VIT: 518, SPD: 32, LUK: 1, Attack: 491675, Defense: 85080, Current HP: 1006, A Avg: 998100, D Avg: 85080, [Zodiac(184)[230, 230, 230], Slime Shield(221)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 917: HP: 934, STR: 406135, VIT: 404, SPD: 32, LUK: 1, Attack: 491675, Defense: 84332, Current HP: 934, A Avg: 998100, D Avg: 84332, [Zodiac(184)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 916: HP: 640, STR: 406135, VIT: 803, SPD: 32, LUK: 1, Attack: 491675, Defense: 87591, Current HP: 640, A Avg: 998100, D Avg: 87591, [Zodiac(184)[230, 230, 230], Energy Shield(227)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 915: HP: 2099, STR: 406135, VIT: 372, SPD: 32, LUK: 1, Attack: 491675, Defense: 86289, Current HP: 2099, A Avg: 998100, D Avg: 86289, [Zodiac(184)[230, 230, 230], Frying Pan(231)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 914: HP: 1184, STR: 406135, VIT: 564, SPD: 32, LUK: 1, Attack: 491675, Defense: 85298, Current HP: 1184, A Avg: 998100, D Avg: 85298, [Zodiac(184)[230, 230, 230], Slafield(232)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 913: HP: 970, STR: 406135, VIT: 518, SPD: 32, LUK: 1, Attack: 491675, Defense: 85993, Current HP: 970, A Avg: 998100, D Avg: 85993, [Zodiac(184)[230, 230, 230], Mist Shield(233)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 912: HP: 798, STR: 406135, VIT: 695, SPD: 32, LUK: 1, Attack: 491675, Defense: 85663, Current HP: 798, A Avg: 998100, D Avg: 85663, [Zodiac(184)[230, 230, 230], Huge Shield(234)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 911: HP: 722, STR: 406135, VIT: 766, SPD: 32, LUK: 1, Attack: 491675, Defense: 87606, Current HP: 722, A Avg: 998100, D Avg: 87606, [Zodiac(184)[230, 230, 230], Aurora Shield(240)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 910: HP: 1210, STR: 406135, VIT: 624, SPD: 32, LUK: 1, Attack: 491675, Defense: 88049, Current HP: 1210, A Avg: 998100, D Avg: 88049, [Zodiac(184)[230, 230, 230], Cloud Shield(241)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 909: HP: 608, STR: 406135, VIT: 350, SPD: 32, LUK: 1, Attack: 491675, Defense: 87139, Current HP: 608, A Avg: 998100, D Avg: 87139, [Zodiac(184)[230, 230, 230], Graffiti(243)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 908: HP: 608, STR: 406135, VIT: 958, SPD: 32, LUK: 1, Attack: 491675, Defense: 90736, Current HP: 608, A Avg: 998100, D Avg: 90736, [Zodiac(184)[230, 230, 230], Blank Shield(244)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 907: HP: 1083, STR: 406135, VIT: 1349, SPD: 32, LUK: 1, Attack: 491675, Defense: 88137, Current HP: 1083, A Avg: 998100, D Avg: 88137, [Zodiac(184)[230, 230, 230], Golem Shield(245)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 906: HP: 893, STR: 406135, VIT: 609, SPD: 34, LUK: 1, Attack: 491675, Defense: 86487, Current HP: 893, A Avg: 998100, D Avg: 86487, [Zodiac(184)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 905: HP: 1269, STR: 406135, VIT: 651, SPD: 32, LUK: 1, Attack: 491675, Defense: 86867, Current HP: 1269, A Avg: 998100, D Avg: 86867, [Zodiac(184)[230, 230, 230], King Shield(248)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 904: HP: 1040, STR: 406135, VIT: 792, SPD: 32, LUK: 1, Attack: 491675, Defense: 87827, Current HP: 1040, A Avg: 998100, D Avg: 87827, [Zodiac(184)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 903: HP: 640, STR: 406135, VIT: 715, SPD: 32, LUK: 1, Attack: 491675, Defense: 87763, Current HP: 640, A Avg: 998100, D Avg: 87763, [Zodiac(184)[230, 230, 230], Ghost shield(251)[230, 230, 230], Ring of power(314)[67, 68, 807]]
