Rank 1000: HP: 1080, STR: 449193, VIT: 265, SPD: 64, LUK: 1, Attack: 536854, Defense: 83988, Current HP: 1080, A Avg: 1428031, D Avg: 83988, [Neural Edge(190)[630, 630, 630], Pot Lid(201)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 989: HP: 1726, STR: 449193, VIT: 593, SPD: 64, LUK: 1, Attack: 536854, Defense: 85155, Current HP: 1726, A Avg: 1428031, D Avg: 85155, [Neural Edge(190)[630, 630, 630], Slime Shield(221)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 988: HP: 1656, STR: 449193, VIT: 348, SPD: 64, LUK: 1, Attack: 536854, Defense: 84276, Current HP: 1656, A Avg: 1428031, D Avg: 84276, [Neural Edge(190)[630, 630, 630], Hardwood Shield(223)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 987: HP: 1080, STR: 449193, VIT: 942, SPD: 64, LUK: 1, Attack: 536854, Defense: 87730, Current HP: 1080, A Avg: 1428031, D Avg: 87730, [Neural Edge(190)[630, 630, 630], Energy Shield(227)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 986: HP: 3087, STR: 449193, VIT: 282, SPD: 64, LUK: 1, Attack: 536854, Defense: 86199, Current HP: 3087, A Avg: 1428031, D Avg: 86199, [Neural Edge(190)[630, 630, 630], Frying Pan(231)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 985: HP: 1944, STR: 449193, VIT: 672, SPD: 64, LUK: 1, Attack: 536854, Defense: 85406, Current HP: 1944, A Avg: 1428031, D Avg: 85406, [Neural Edge(190)[630, 630, 630], Slafield(232)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 984: HP: 1610, STR: 449193, VIT: 593, SPD: 64, LUK: 1, Attack: 536854, Defense: 86068, Current HP: 1610, A Avg: 1428031, D Avg: 86068, [Neural Edge(190)[630, 630, 630], Mist Shield(233)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 983: HP: 1216, STR: 449193, VIT: 945, SPD: 64, LUK: 1, Attack: 536854, Defense: 85913, Current HP: 1216, A Avg: 1428031, D Avg: 85913, [Neural Edge(190)[630, 630, 630], Huge Shield(234)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 982: HP: 1140, STR: 449193, VIT: 1001, SPD: 64, LUK: 1, Attack: 536854, Defense: 87841, Current HP: 1140, A Avg: 1428031, D Avg: 87841, [Neural Edge(190)[630, 630, 630], Aurora Shield(240)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 981: HP: 2250, STR: 449193, VIT: 827, SPD: 64, LUK: 1, Attack: 536854, Defense: 88252, Current HP: 2250, A Avg: 1428031, D Avg: 88252, [Neural Edge(190)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 980: HP: 1026, STR: 449193, VIT: 265, SPD: 64, LUK: 1, Attack: 536854, Defense: 87054, Current HP: 1026, A Avg: 1428031, D Avg: 87054, [Neural Edge(190)[630, 630, 630], Graffiti(243)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 979: HP: 1026, STR: 449193, VIT: 1513, SPD: 64, LUK: 1, Attack: 536854, Defense: 91291, Current HP: 1026, A Avg: 1428031, D Avg: 91291, [Neural Edge(190)[630, 630, 630], Blank Shield(244)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 978: HP: 1501, STR: 449193, VIT: 2109, SPD: 64, LUK: 1, Attack: 536854, Defense: 88897, Current HP: 1501, A Avg: 1428031, D Avg: 88897, [Neural Edge(190)[630, 630, 630], Golem Shield(245)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 977: HP: 1311, STR: 449193, VIT: 780, SPD: 68, LUK: 1, Attack: 536854, Defense: 86658, Current HP: 1311, A Avg: 1428031, D Avg: 86658, [Neural Edge(190)[630, 630, 630], Sticky thread shield(247)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 976: HP: 2143, STR: 449193, VIT: 765, SPD: 64, LUK: 1, Attack: 536854, Defense: 86981, Current HP: 2143, A Avg: 1428031, D Avg: 86981, [Neural Edge(190)[630, 630, 630], King Shield(248)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 975: HP: 1480, STR: 449193, VIT: 835, SPD: 64, LUK: 1, Attack: 536854, Defense: 87870, Current HP: 1480, A Avg: 1428031, D Avg: 87870, [Neural Edge(190)[630, 630, 630], Warrior's Shield(249)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 974: HP: 1080, STR: 449193, VIT: 1014, SPD: 64, LUK: 1, Attack: 536854, Defense: 88062, Current HP: 1080, A Avg: 1428031, D Avg: 88062, [Neural Edge(190)[630, 630, 630], Ghost shield(251)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 973: HP: 2517, STR: 444682, VIT: 1187, SPD: 76, LUK: 1, Attack: 536868, Defense: 88105, Current HP: 2517, A Avg: 1428068, D Avg: 88105, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 972: HP: 1324, STR: 449229, VIT: 489, SPD: 64, LUK: 1, Attack: 536890, Defense: 84430, Current HP: 1324, A Avg: 1428127, D Avg: 84430, [Neural Edge(190)[630, 630, 630], Dragon's Scales(215)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 971: HP: 874, STR: 619714, VIT: 243, SPD: 64, LUK: 1, Attack: 703525, Defense: 84171, Current HP: 874, A Avg: 1428155, D Avg: 84171, [Long Sword(104)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 970: HP: 893, STR: 619781, VIT: 316, SPD: 64, LUK: 1, Attack: 703553, Defense: 84179, Current HP: 893, A Avg: 1428212, D Avg: 84179, [Wasp Knife(105)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 969: HP: 874, STR: 619802, VIT: 158, SPD: 64, LUK: 1, Attack: 703574, Defense: 84086, Current HP: 874, A Avg: 1428255, D Avg: 84086, [Short Sword(103)[630, 630, 630], Tower Shield(213)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 968: HP: 798, STR: 619837, VIT: 234, SPD: 64, LUK: 1, Attack: 703609, Defense: 84097, Current HP: 798, A Avg: 1428326, D Avg: 84097, [Wasp Knife(105)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 967: HP: 1248, STR: 619862, VIT: 737, SPD: 68, LUK: 1, Attack: 703660, Defense: 86615, Current HP: 1248, A Avg: 1428429, D Avg: 86615, [Ninja(135)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 966: HP: 1026, STR: 449351, VIT: 398, SPD: 68, LUK: 1, Attack: 537012, Defense: 84423, Current HP: 1026, A Avg: 1428451, D Avg: 84423, [Neural Edge(190)[630, 630, 630], Conductive Barrier(208)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 965: HP: 1286, STR: 619855, VIT: 2062, SPD: 64, LUK: 1, Attack: 703671, Defense: 88850, Current HP: 1286, A Avg: 1428452, D Avg: 88850, [Hand Axe(140)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 964: HP: 1438, STR: 619696, VIT: 234, SPD: 64, LUK: 1, Attack: 703689, Defense: 84162, Current HP: 1438, A Avg: 1428488, D Avg: 84162, [Sword of Wood(124)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 963: HP: 1596, STR: 619837, VIT: 499, SPD: 64, LUK: 1, Attack: 703693, Defense: 84336, Current HP: 1596, A Avg: 1428496, D Avg: 84336, [Emerald Sword(115)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 962: HP: 1491, STR: 449369, VIT: 491, SPD: 64, LUK: 1, Attack: 537030, Defense: 84731, Current HP: 1491, A Avg: 1428499, D Avg: 84731, [Neural Edge(190)[630, 630, 630], Dragon's Wings(216)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 961: HP: 1260, STR: 619855, VIT: 728, SPD: 64, LUK: 1, Attack: 703744, Defense: 87763, Current HP: 1260, A Avg: 1428600, D Avg: 87763, [Iron Lumps(108)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 960: HP: 874, STR: 619974, VIT: 158, SPD: 64, LUK: 1, Attack: 703785, Defense: 84086, Current HP: 874, A Avg: 1428683, D Avg: 84086, [Long Sword(104)[630, 630, 630], Tower Shield(213)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 959: HP: 1282, STR: 620035, VIT: 800, SPD: 64, LUK: 1, Attack: 703810, Defense: 87601, Current HP: 1282, A Avg: 1428734, D Avg: 87601, [Peacemaker(131)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 958: HP: 1556, STR: 449488, VIT: 646, SPD: 64, LUK: 1, Attack: 537149, Defense: 86264, Current HP: 1556, A Avg: 1428816, D Avg: 86264, [Neural Edge(190)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 957: HP: 883, STR: 619855, VIT: 243, SPD: 64, LUK: 1, Attack: 703854, Defense: 84171, Current HP: 883, A Avg: 1428823, D Avg: 84171, [Greatsword(127)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 956: HP: 1322, STR: 449492, VIT: 848, SPD: 64, LUK: 1, Attack: 537153, Defense: 85686, Current HP: 1322, A Avg: 1428826, D Avg: 85686, [Neural Edge(190)[630, 630, 630], Bulletproof Shield(235)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 955: HP: 1288, STR: 619855, VIT: 2065, SPD: 64, LUK: 1, Attack: 703861, Defense: 88853, Current HP: 1288, A Avg: 1428837, D Avg: 88853, [Crescent(141)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 954: HP: 1305, STR: 619995, VIT: 801, SPD: 68, LUK: 1, Attack: 703897, Defense: 86679, Current HP: 1305, A Avg: 1428910, D Avg: 86679, [Crossed Shuriken(136)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 953: HP: 1320, STR: 619999, VIT: 800, SPD: 64, LUK: 1, Attack: 703901, Defense: 87601, Current HP: 1320, A Avg: 1428919, D Avg: 87601, [Daydream(132)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 952: HP: 1491, STR: 449528, VIT: 557, SPD: 64, LUK: 1, Attack: 537189, Defense: 85421, Current HP: 1491, A Avg: 1428922, D Avg: 85421, [Neural Edge(190)[630, 630, 630], Dragon's Head(217)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 951: HP: 1415, STR: 449528, VIT: 593, SPD: 68, LUK: 1, Attack: 537189, Defense: 85015, Current HP: 1415, A Avg: 1428922, D Avg: 85015, [Neural Edge(190)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 950: HP: 1282, STR: 620002, VIT: 904, SPD: 64, LUK: 1, Attack: 703969, Defense: 87744, Current HP: 1282, A Avg: 1429057, D Avg: 87744, [Phantom Sword(117)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 949: HP: 1596, STR: 620117, VIT: 414, SPD: 64, LUK: 1, Attack: 703973, Defense: 84251, Current HP: 1596, A Avg: 1429065, D Avg: 84251, [Emerald Sword(115)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 948: HP: 1260, STR: 619995, VIT: 728, SPD: 64, LUK: 1, Attack: 704001, Defense: 87763, Current HP: 1260, A Avg: 1429122, D Avg: 87763, [Great Iron Mass(122)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 947: HP: 1491, STR: 449636, VIT: 914, SPD: 64, LUK: 1, Attack: 537297, Defense: 87715, Current HP: 1491, A Avg: 1429210, D Avg: 87715, [Neural Edge(190)[630, 630, 630], Riot(236)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 946: HP: 1288, STR: 620138, VIT: 1980, SPD: 64, LUK: 1, Attack: 704144, Defense: 88768, Current HP: 1288, A Avg: 1429412, D Avg: 88768, [Crescent(141)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 945: HP: 3249, STR: 620276, VIT: 499, SPD: 64, LUK: 1, Attack: 704217, Defense: 86416, Current HP: 3249, A Avg: 1429560, D Avg: 86416, [Rusty Knife(156)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 944: HP: 3344, STR: 620293, VIT: 581, SPD: 64, LUK: 1, Attack: 704234, Defense: 86498, Current HP: 3344, A Avg: 1429595, D Avg: 86498, [Rusty Knife(156)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 943: HP: 1282, STR: 620310, VIT: 824, SPD: 64, LUK: 1, Attack: 704277, Defense: 87664, Current HP: 1282, A Avg: 1429682, D Avg: 87664, [Phantom Sword(117)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 942: HP: 1320, STR: 620139, VIT: 999, SPD: 64, LUK: 1, Attack: 704327, Defense: 87800, Current HP: 1320, A Avg: 1429783, D Avg: 87800, [Cagliostro(133)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 941: HP: 1818, STR: 620153, VIT: 234, SPD: 64, LUK: 1, Attack: 704341, Defense: 84162, Current HP: 1818, A Avg: 1429812, D Avg: 84162, [Sword of the Spirit Tree(125)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 940: HP: 1227, STR: 620272, VIT: 515, SPD: 64, LUK: 1, Attack: 704382, Defense: 84443, Current HP: 1227, A Avg: 1429895, D Avg: 84443, [Dragon Killer(139)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 939: HP: 1092, STR: 620279, VIT: 865, SPD: 68, LUK: 1, Attack: 704389, Defense: 86743, Current HP: 1092, A Avg: 1429909, D Avg: 86743, [Windmill(137)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 938: HP: 1860, STR: 620578, VIT: 628, SPD: 64, LUK: 1, Attack: 704402, Defense: 86740, Current HP: 1860, A Avg: 1429936, D Avg: 86740, [Stun Knuckle(106)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 937: HP: 1297, STR: 620006, VIT: 894, SPD: 64, LUK: 1, Attack: 704428, Defense: 87734, Current HP: 1297, A Avg: 1429988, D Avg: 87734, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 936: HP: 1620, STR: 620117, VIT: 1038, SPD: 64, LUK: 1, Attack: 704435, Defense: 87826, Current HP: 1620, A Avg: 1430003, D Avg: 87826, [Ruby Knuckle(151)[630, 630, 630], Energy Shield(227)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 935: HP: 1064, STR: 450035, VIT: 688, SPD: 64, LUK: 1, Attack: 537696, Defense: 85279, Current HP: 1064, A Avg: 1430271, D Avg: 85279, [Neural Edge(190)[630, 630, 630], Black Hole(229)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 934: HP: 1434, STR: 450035, VIT: 750, SPD: 64, LUK: 1, Attack: 537696, Defense: 87668, Current HP: 1434, A Avg: 1430271, D Avg: 87668, [Neural Edge(190)[630, 630, 630], White Hole(230)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 933: HP: 2100, STR: 450075, VIT: 736, SPD: 64, LUK: 1, Attack: 537736, Defense: 86848, Current HP: 2100, A Avg: 1430377, D Avg: 86848, [Neural Edge(190)[630, 630, 630], Goblin Hand(250)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 932: HP: 1670, STR: 620135, VIT: 860, SPD: 64, LUK: 1, Attack: 704648, Defense: 87895, Current HP: 1670, A Avg: 1430435, D Avg: 87895, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 931: HP: 1406, STR: 450111, VIT: 868, SPD: 64, LUK: 1, Attack: 537772, Defense: 85862, Current HP: 1406, A Avg: 1430473, D Avg: 85862, [Neural Edge(190)[630, 630, 630], Metalization(228)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 930: HP: 1818, STR: 620486, VIT: 149, SPD: 64, LUK: 1, Attack: 704674, Defense: 84077, Current HP: 1818, A Avg: 1430488, D Avg: 84077, [Sword of the Spirit Tree(125)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 929: HP: 1297, STR: 620314, VIT: 814, SPD: 64, LUK: 1, Attack: 704736, Defense: 87654, Current HP: 1297, A Avg: 1430614, D Avg: 87654, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 928: HP: 1662, STR: 620279, VIT: 2267, SPD: 64, LUK: 1, Attack: 704792, Defense: 89055, Current HP: 1662, A Avg: 1430727, D Avg: 89055, [Volcano(142)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 927: HP: 4104, STR: 620276, VIT: 865, SPD: 64, LUK: 1, Attack: 704984, Defense: 86782, Current HP: 4104, A Avg: 1431117, D Avg: 86782, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 926: HP: 4199, STR: 620293, VIT: 946, SPD: 64, LUK: 1, Attack: 705001, Defense: 86863, Current HP: 4199, A Avg: 1431152, D Avg: 86863, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 925: HP: 1640, STR: 620470, VIT: 1163, SPD: 64, LUK: 1, Attack: 705120, Defense: 87951, Current HP: 1640, A Avg: 1431393, D Avg: 87951, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 924: HP: 1662, STR: 620633, VIT: 2182, SPD: 64, LUK: 1, Attack: 705146, Defense: 88970, Current HP: 1662, A Avg: 1431446, D Avg: 88970, [Volcano(142)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 923: HP: 1178, STR: 620474, VIT: 754, SPD: 64, LUK: 1, Attack: 705315, Defense: 85748, Current HP: 1178, A Avg: 1431789, D Avg: 85748, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 922: HP: 1396, STR: 620398, VIT: 643, SPD: 64, LUK: 1, Attack: 705366, Defense: 87561, Current HP: 1396, A Avg: 1431892, D Avg: 87561, [Cluster Bomb(170)[630, 630, 630], White Hole(230)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 921: HP: 1710, STR: 620719, VIT: 1082, SPD: 64, LUK: 1, Attack: 705531, Defense: 87883, Current HP: 1710, A Avg: 1432227, D Avg: 87883, [Granada(150)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 920: HP: 1662, STR: 620927, VIT: 2228, SPD: 64, LUK: 1, Attack: 705661, Defense: 89016, Current HP: 1662, A Avg: 1432491, D Avg: 89016, [Irruption(154)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 919: HP: 2188, STR: 620575, VIT: 516, SPD: 64, LUK: 1, Attack: 705673, Defense: 84444, Current HP: 2188, A Avg: 1432516, D Avg: 84444, [Yggdrasil(126)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 918: HP: 1026, STR: 450896, VIT: 265, SPD: 68, LUK: 1, Attack: 538557, Defense: 84401, Current HP: 1026, A Avg: 1432561, D Avg: 84401, [Neural Edge(190)[630, 630, 630], Magnum(237)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 917: HP: 1339, STR: 620434, VIT: 657, SPD: 64, LUK: 1, Attack: 705766, Defense: 84585, Current HP: 1339, A Avg: 1432704, D Avg: 84585, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 916: HP: 988, STR: 621136, VIT: 831, SPD: 64, LUK: 1, Attack: 705792, Defense: 85799, Current HP: 988, A Avg: 1432757, D Avg: 85799, [Penetra(161)[630, 630, 630], Huge Shield(234)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 915: HP: 1083, STR: 621297, VIT: 912, SPD: 64, LUK: 1, Attack: 705953, Defense: 85880, Current HP: 1083, A Avg: 1433084, D Avg: 85880, [Penetra(161)[630, 630, 630], Huge Shield(234)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 914: HP: 2188, STR: 620978, VIT: 431, SPD: 64, LUK: 1, Attack: 706076, Defense: 84359, Current HP: 2188, A Avg: 1433334, D Avg: 84359, [Yggdrasil(126)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 913: HP: 1662, STR: 621389, VIT: 2143, SPD: 64, LUK: 1, Attack: 706123, Defense: 88931, Current HP: 1662, A Avg: 1433429, D Avg: 88931, [Irruption(154)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 912: HP: 3249, STR: 621313, VIT: 566, SPD: 64, LUK: 1, Attack: 706151, Defense: 86483, Current HP: 3249, A Avg: 1433486, D Avg: 86483, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 911: HP: 1491, STR: 620272, VIT: 931, SPD: 68, LUK: 1, Attack: 706241, Defense: 86809, Current HP: 1491, A Avg: 1433669, D Avg: 86809, [Fire Chariot(138)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 910: HP: 2489, STR: 621403, VIT: 1198, SPD: 64, LUK: 1, Attack: 706326, Defense: 87999, Current HP: 2489, A Avg: 1433841, D Avg: 87999, [Pangaea(164)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 909: HP: 3344, STR: 621503, VIT: 647, SPD: 64, LUK: 1, Attack: 706341, Defense: 86564, Current HP: 3344, A Avg: 1433872, D Avg: 86564, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 908: HP: 1026, STR: 451396, VIT: 265, SPD: 68, LUK: 1, Attack: 539057, Defense: 84609, Current HP: 1026, A Avg: 1433891, D Avg: 84609, [Neural Edge(190)[630, 630, 630], V Magnum(238)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 907: HP: 1523, STR: 671030, VIT: 183, SPD: 64, LUK: 1, Attack: 754756, Defense: 84111, Current HP: 1523, A Avg: 1434036, D Avg: 84111, [Wooden Stick(101)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 906: HP: 1523, STR: 671030, VIT: 183, SPD: 64, LUK: 1, Attack: 754795, Defense: 84111, Current HP: 1523, A Avg: 1434110, D Avg: 84111, [Club(102)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 905: HP: 940, STR: 671030, VIT: 110, SPD: 64, LUK: 1, Attack: 754798, Defense: 83843, Current HP: 940, A Avg: 1434116, D Avg: 83843, [Decorative Swords(109)[630, 630, 630], High Pot Lid(202)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
