Rank 1000: HP: 460, STR: 240, VIT: 272, SPD: 1, LUK: 1, Attack: 86729, Defense: 84148, Current HP: 460, A Avg: 109278, D Avg: 84148, [Cuttlefish(178)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 440, STR: 248, VIT: 272, SPD: 1, LUK: 1, Attack: 86737, Defense: 84297, Current HP: 440, A Avg: 109288, D Avg: 84297, [Cuttlefish(178)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 440, STR: 248, VIT: 432, SPD: 1, LUK: 1, Attack: 86737, Defense: 85270, Current HP: 440, A Avg: 109288, D Avg: 85270, [Cuttlefish(178)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 973: HP: 550, STR: 249, VIT: 432, SPD: 1, LUK: 1, Attack: 86738, Defense: 87233, Current HP: 550, A Avg: 109289, D Avg: 87233, [Cuttlefish(178)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 972: HP: 462, STR: 255, VIT: 272, SPD: 1, LUK: 1, Attack: 86744, Defense: 84278, Current HP: 462, A Avg: 109297, D Avg: 84278, [Cuttlefish(178)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 971: HP: 440, STR: 255, VIT: 259, SPD: 1, LUK: 1, Attack: 86744, Defense: 85929, Current HP: 440, A Avg: 109297, D Avg: 85929, [Cuttlefish(178)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 970: HP: 528, STR: 256, VIT: 283, SPD: 1, LUK: 1, Attack: 86745, Defense: 84224, Current HP: 528, A Avg: 109298, D Avg: 84224, [Cuttlefish(178)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 969: HP: 550, STR: 256, VIT: 286, SPD: 1, LUK: 1, Attack: 86745, Defense: 84526, Current HP: 550, A Avg: 109298, D Avg: 84526, [Cuttlefish(178)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 968: HP: 550, STR: 264, VIT: 286, SPD: 1, LUK: 1, Attack: 86753, Defense: 85150, Current HP: 550, A Avg: 109308, D Avg: 85150, [Cuttlefish(178)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 967: HP: 836, STR: 512, VIT: 51, SPD: 1, LUK: 1, Attack: 86754, Defense: 84395, Current HP: 836, A Avg: 109310, D Avg: 84395, [Droid Hammer(177)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 966: HP: 484, STR: 272, VIT: 272, SPD: 1, LUK: 1, Attack: 86761, Defense: 84772, Current HP: 484, A Avg: 109318, D Avg: 84772, [Cuttlefish(178)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 965: HP: 506, STR: 280, VIT: 285, SPD: 1, LUK: 1, Attack: 86769, Defense: 84291, Current HP: 506, A Avg: 109328, D Avg: 84291, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 964: HP: 858, STR: 255, VIT: 571, SPD: 1, LUK: 1, Attack: 86783, Defense: 88139, Current HP: 858, A Avg: 109346, D Avg: 88139, [Moon Knuckle(153)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 963: HP: 462, STR: 306, VIT: 272, SPD: 1, LUK: 1, Attack: 86795, Defense: 84135, Current HP: 462, A Avg: 109361, D Avg: 84135, [Cuttlefish(178)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 962: HP: 506, STR: 306, VIT: 272, SPD: 1, LUK: 1, Attack: 86795, Defense: 84161, Current HP: 506, A Avg: 109361, D Avg: 84161, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 961: HP: 736, STR: 320, VIT: 415, SPD: 1, LUK: 1, Attack: 86809, Defense: 86527, Current HP: 736, A Avg: 109379, D Avg: 86527, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 960: HP: 63, STR: 459, VIT: 102, SPD: 1, LUK: 1, Attack: 87510, Defense: 83825, Current HP: 63, A Avg: 109387, D Avg: 83825, [Tekken(188)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 63, STR: 459, VIT: 102, SPD: 1, LUK: 1, Attack: 87510, Defense: 83835, Current HP: 63, A Avg: 109387, D Avg: 83835, [Tekken(188)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 60, STR: 459, VIT: 117, SPD: 1, LUK: 1, Attack: 87510, Defense: 83986, Current HP: 60, A Avg: 109387, D Avg: 83986, [Tekken(188)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 60, STR: 459, VIT: 122, SPD: 1, LUK: 1, Attack: 87510, Defense: 83926, Current HP: 60, A Avg: 109387, D Avg: 83926, [Tekken(188)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 60, STR: 459, VIT: 108, SPD: 1, LUK: 1, Attack: 87510, Defense: 83971, Current HP: 60, A Avg: 109387, D Avg: 83971, [Tekken(188)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 60, STR: 459, VIT: 126, SPD: 1, LUK: 1, Attack: 87510, Defense: 84015, Current HP: 60, A Avg: 109387, D Avg: 84015, [Tekken(188)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 63, STR: 459, VIT: 110, SPD: 1, LUK: 1, Attack: 87510, Defense: 83986, Current HP: 63, A Avg: 109387, D Avg: 83986, [Tekken(188)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 80, STR: 459, VIT: 108, SPD: 1, LUK: 1, Attack: 87510, Defense: 83945, Current HP: 80, A Avg: 109387, D Avg: 83945, [Tekken(188)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 126, STR: 459, VIT: 110, SPD: 1, LUK: 1, Attack: 87510, Defense: 83882, Current HP: 126, A Avg: 109387, D Avg: 83882, [Tekken(188)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 168, STR: 459, VIT: 110, SPD: 1, LUK: 1, Attack: 87510, Defense: 84129, Current HP: 168, A Avg: 109387, D Avg: 84129, [Tekken(188)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 140, STR: 459, VIT: 117, SPD: 1, LUK: 1, Attack: 87510, Defense: 84045, Current HP: 140, A Avg: 109387, D Avg: 84045, [Tekken(188)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 168, STR: 459, VIT: 119, SPD: 1, LUK: 1, Attack: 87510, Defense: 84681, Current HP: 168, A Avg: 109387, D Avg: 84681, [Tekken(188)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 948: HP: 100, STR: 459, VIT: 108, SPD: 1, LUK: 1, Attack: 87510, Defense: 84036, Current HP: 100, A Avg: 109387, D Avg: 84036, [Tekken(188)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 63, STR: 459, VIT: 357, SPD: 1, LUK: 1, Attack: 87510, Defense: 87145, Current HP: 63, A Avg: 109387, D Avg: 87145, [Tekken(188)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 100, STR: 459, VIT: 153, SPD: 1, LUK: 1, Attack: 87510, Defense: 84744, Current HP: 100, A Avg: 109387, D Avg: 84744, [Tekken(188)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 945: HP: 100, STR: 459, VIT: 153, SPD: 1, LUK: 1, Attack: 87510, Defense: 87071, Current HP: 100, A Avg: 109387, D Avg: 87071, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 1060, STR: 459, VIT: 108, SPD: 1, LUK: 1, Attack: 87510, Defense: 86025, Current HP: 1060, A Avg: 109387, D Avg: 86025, [Tekken(188)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 315, STR: 459, VIT: 136, SPD: 1, LUK: 1, Attack: 87510, Defense: 84870, Current HP: 315, A Avg: 109387, D Avg: 84870, [Tekken(188)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 942: HP: 210, STR: 459, VIT: 119, SPD: 1, LUK: 1, Attack: 87510, Defense: 85594, Current HP: 210, A Avg: 109387, D Avg: 85594, [Tekken(188)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 260, STR: 459, VIT: 108, SPD: 1, LUK: 1, Attack: 87510, Defense: 85076, Current HP: 260, A Avg: 109387, D Avg: 85076, [Tekken(188)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 940: HP: 180, STR: 459, VIT: 221, SPD: 1, LUK: 1, Attack: 87510, Defense: 87061, Current HP: 180, A Avg: 109387, D Avg: 87061, [Tekken(188)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 939: HP: 63, STR: 459, VIT: 102, SPD: 1, LUK: 1, Attack: 87510, Defense: 87527, Current HP: 63, A Avg: 109387, D Avg: 87527, [Tekken(188)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 938: HP: 60, STR: 459, VIT: 102, SPD: 1, LUK: 1, Attack: 87510, Defense: 86891, Current HP: 60, A Avg: 109387, D Avg: 86891, [Tekken(188)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 937: HP: 60, STR: 459, VIT: 102, SPD: 1, LUK: 1, Attack: 87510, Defense: 89880, Current HP: 60, A Avg: 109387, D Avg: 89880, [Tekken(188)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 936: HP: 560, STR: 459, VIT: 288, SPD: 1, LUK: 1, Attack: 87510, Defense: 87076, Current HP: 560, A Avg: 109387, D Avg: 87076, [Tekken(188)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 360, STR: 459, VIT: 119, SPD: 1, LUK: 1, Attack: 87510, Defense: 85997, Current HP: 360, A Avg: 109387, D Avg: 85997, [Tekken(188)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 300, STR: 459, VIT: 198, SPD: 1, LUK: 1, Attack: 87510, Defense: 86414, Current HP: 300, A Avg: 109387, D Avg: 86414, [Tekken(188)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 933: HP: 483, STR: 459, VIT: 442, SPD: 1, LUK: 1, Attack: 87510, Defense: 87477, Current HP: 483, A Avg: 109387, D Avg: 87477, [Tekken(188)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 932: HP: 63, STR: 459, VIT: 102, SPD: 1, LUK: 1, Attack: 87510, Defense: 87150, Current HP: 63, A Avg: 109387, D Avg: 87150, [Tekken(188)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 860, STR: 1269, VIT: 102, SPD: 1, LUK: 1, Attack: 87511, Defense: 86890, Current HP: 860, A Avg: 109388, D Avg: 86890, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 930: HP: 880, STR: 336, VIT: 675, SPD: 1, LUK: 1, Attack: 86825, Defense: 85669, Current HP: 880, A Avg: 109399, D Avg: 85669, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 929: HP: 71, STR: 469, VIT: 108, SPD: 1, LUK: 1, Attack: 87520, Defense: 85726, Current HP: 71, A Avg: 109400, D Avg: 85726, [Tekken(188)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 928: HP: 60, STR: 472, VIT: 110, SPD: 1, LUK: 1, Attack: 87523, Defense: 84135, Current HP: 60, A Avg: 109403, D Avg: 84135, [Tekken(188)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 60, STR: 472, VIT: 216, SPD: 1, LUK: 1, Attack: 87523, Defense: 85054, Current HP: 60, A Avg: 109403, D Avg: 85054, [Tekken(188)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 926: HP: 440, STR: 340, VIT: 259, SPD: 1, LUK: 1, Attack: 86829, Defense: 84447, Current HP: 440, A Avg: 109404, D Avg: 84447, [Cuttlefish(178)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 925: HP: 160, STR: 475, VIT: 216, SPD: 1, LUK: 1, Attack: 87526, Defense: 87017, Current HP: 160, A Avg: 109407, D Avg: 87017, [Tekken(188)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 80, STR: 476, VIT: 110, SPD: 1, LUK: 1, Attack: 87527, Defense: 84116, Current HP: 80, A Avg: 109408, D Avg: 84116, [Tekken(188)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 60, STR: 476, VIT: 102, SPD: 1, LUK: 1, Attack: 87527, Defense: 85772, Current HP: 60, A Avg: 109408, D Avg: 85772, [Tekken(188)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 140, STR: 486, VIT: 117, SPD: 1, LUK: 1, Attack: 87537, Defense: 84058, Current HP: 140, A Avg: 109421, D Avg: 84058, [Tekken(188)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 160, STR: 486, VIT: 118, SPD: 1, LUK: 1, Attack: 87537, Defense: 84358, Current HP: 160, A Avg: 109421, D Avg: 84358, [Tekken(188)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 484, STR: 357, VIT: 291, SPD: 1, LUK: 1, Attack: 86846, Defense: 85519, Current HP: 484, A Avg: 109425, D Avg: 85519, [Cuttlefish(178)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 919: HP: 160, STR: 499, VIT: 118, SPD: 1, LUK: 1, Attack: 87550, Defense: 84982, Current HP: 160, A Avg: 109437, D Avg: 84982, [Tekken(188)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 80, STR: 499, VIT: 119, SPD: 1, LUK: 1, Attack: 87550, Defense: 84541, Current HP: 80, A Avg: 109437, D Avg: 84541, [Tekken(188)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 917: HP: 100, STR: 504, VIT: 110, SPD: 1, LUK: 1, Attack: 87555, Defense: 84610, Current HP: 100, A Avg: 109443, D Avg: 84610, [Tekken(188)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 220, STR: 528, VIT: 77, SPD: 1, LUK: 1, Attack: 86874, Defense: 84421, Current HP: 220, A Avg: 109461, D Avg: 84421, [Progress(147)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 915: HP: 300, STR: 1080, VIT: 238, SPD: 1, LUK: 1, Attack: 87569, Defense: 84374, Current HP: 300, A Avg: 109461, D Avg: 84374, [Cuttlefish(178)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 120, STR: 518, VIT: 119, SPD: 1, LUK: 1, Attack: 87569, Defense: 84125, Current HP: 120, A Avg: 109461, D Avg: 84125, [Tekken(188)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 913: HP: 80, STR: 1080, VIT: 102, SPD: 1, LUK: 1, Attack: 87608, Defense: 84446, Current HP: 80, A Avg: 109510, D Avg: 84446, [Moon Knuckle(153)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 912: HP: 1056, STR: 672, VIT: 51, SPD: 1, LUK: 1, Attack: 86914, Defense: 86839, Current HP: 1056, A Avg: 109511, D Avg: 86839, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 911: HP: 1100, STR: 425, VIT: 779, SPD: 1, LUK: 1, Attack: 86914, Defense: 88347, Current HP: 1100, A Avg: 109511, D Avg: 88347, [Cuttlefish(178)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 910: HP: 300, STR: 1120, VIT: 238, SPD: 1, LUK: 1, Attack: 87609, Defense: 88066, Current HP: 300, A Avg: 109511, D Avg: 88066, [Cuttlefish(178)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 909: HP: 80, STR: 560, VIT: 110, SPD: 1, LUK: 1, Attack: 87611, Defense: 83973, Current HP: 80, A Avg: 109513, D Avg: 83973, [Tekken(188)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 120, STR: 560, VIT: 110, SPD: 1, LUK: 1, Attack: 87611, Defense: 83999, Current HP: 120, A Avg: 109513, D Avg: 83999, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 462, STR: 428, VIT: 285, SPD: 1, LUK: 1, Attack: 86917, Defense: 84707, Current HP: 462, A Avg: 109515, D Avg: 84707, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 906: HP: 198, STR: 400, VIT: 51, SPD: 1, LUK: 1, Attack: 86928, Defense: 84187, Current HP: 198, A Avg: 109529, D Avg: 84187, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 905: HP: 300, STR: 1296, VIT: 119, SPD: 1, LUK: 1, Attack: 87642, Defense: 86907, Current HP: 300, A Avg: 109552, D Avg: 86907, [Progress(147)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 315, STR: 594, VIT: 204, SPD: 1, LUK: 1, Attack: 87645, Defense: 86316, Current HP: 315, A Avg: 109556, D Avg: 86316, [Tekken(188)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 903: HP: 198, STR: 425, VIT: 51, SPD: 1, LUK: 1, Attack: 86953, Defense: 87879, Current HP: 198, A Avg: 109560, D Avg: 87879, [Moon Knuckle(153)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 902: HP: 60, STR: 616, VIT: 102, SPD: 1, LUK: 1, Attack: 87667, Defense: 84290, Current HP: 60, A Avg: 109583, D Avg: 84290, [Tekken(188)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
