Rank 1000: HP: 1243, STR: 665, VIT: 999, SPD: 48, LUK: 1, Attack: 87716, Defense: 87800, Current HP: 1243, A Avg: 110522, D Avg: 87800, [Tekken(188)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 1210, STR: 1949, VIT: 1324, SPD: 51, LUK: 1, Attack: 88438, Defense: 88242, Current HP: 1210, A Avg: 110547, D Avg: 88242, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 988: HP: 1340, STR: 3108, VIT: 843, SPD: 51, LUK: 1, Attack: 88442, Defense: 85031, Current HP: 1340, A Avg: 110552, D Avg: 85031, [Impulse(166)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 987: HP: 1243, STR: 1865, VIT: 1166, SPD: 48, LUK: 1, Attack: 87743, Defense: 86030, Current HP: 1243, A Avg: 110556, D Avg: 86030, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 1155, STR: 1865, VIT: 1208, SPD: 51, LUK: 1, Attack: 87743, Defense: 85630, Current HP: 1155, A Avg: 110556, D Avg: 85630, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 680, STR: 3869, VIT: 498, SPD: 51, LUK: 1, Attack: 88447, Defense: 85089, Current HP: 680, A Avg: 110558, D Avg: 85089, [Magical(187)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 984: HP: 970, STR: 3869, VIT: 547, SPD: 51, LUK: 1, Attack: 88447, Defense: 87465, Current HP: 970, A Avg: 110558, D Avg: 87465, [Magical(187)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 983: HP: 680, STR: 1398, VIT: 498, SPD: 51, LUK: 1, Attack: 88449, Defense: 85089, Current HP: 680, A Avg: 110561, D Avg: 85089, [Tekken(188)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 982: HP: 970, STR: 1398, VIT: 547, SPD: 51, LUK: 1, Attack: 88449, Defense: 87465, Current HP: 970, A Avg: 110561, D Avg: 87465, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 981: HP: 1300, STR: 2486, VIT: 574, SPD: 51, LUK: 1, Attack: 88455, Defense: 85802, Current HP: 1300, A Avg: 110568, D Avg: 85802, [Fire Chariot(138)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 980: HP: 1496, STR: 1417, VIT: 756, SPD: 48, LUK: 1, Attack: 87763, Defense: 84944, Current HP: 1496, A Avg: 110581, D Avg: 84944, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 1686, STR: 2822, VIT: 919, SPD: 51, LUK: 1, Attack: 88466, Defense: 86147, Current HP: 1686, A Avg: 110582, D Avg: 86147, [Gladius(162)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 978: HP: 1177, STR: 3192, VIT: 535, SPD: 48, LUK: 1, Attack: 87770, Defense: 85763, Current HP: 1177, A Avg: 110590, D Avg: 85763, [Magical(187)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 1474, STR: 719, VIT: 1853, SPD: 48, LUK: 1, Attack: 87770, Defense: 89421, Current HP: 1474, A Avg: 110590, D Avg: 89421, [Tekken(188)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 1078, STR: 1893, VIT: 956, SPD: 48, LUK: 1, Attack: 87771, Defense: 85144, Current HP: 1078, A Avg: 110591, D Avg: 85144, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 714, STR: 307, VIT: 176, SPD: 51, LUK: 1, Attack: 88474, Defense: 83899, Current HP: 714, A Avg: 110592, D Avg: 83899, [Basic(169)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 974: HP: 714, STR: 307, VIT: 176, SPD: 51, LUK: 1, Attack: 88474, Defense: 83909, Current HP: 714, A Avg: 110592, D Avg: 83909, [Basic(169)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 973: HP: 680, STR: 307, VIT: 196, SPD: 51, LUK: 1, Attack: 88474, Defense: 84065, Current HP: 680, A Avg: 110592, D Avg: 84065, [Basic(169)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 972: HP: 680, STR: 307, VIT: 201, SPD: 51, LUK: 1, Attack: 88474, Defense: 84005, Current HP: 680, A Avg: 110592, D Avg: 84005, [Basic(169)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 680, STR: 307, VIT: 239, SPD: 51, LUK: 1, Attack: 88474, Defense: 84102, Current HP: 680, A Avg: 110592, D Avg: 84102, [Basic(169)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 970: HP: 680, STR: 307, VIT: 257, SPD: 51, LUK: 1, Attack: 88474, Defense: 84146, Current HP: 680, A Avg: 110592, D Avg: 84146, [Basic(169)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 969: HP: 714, STR: 307, VIT: 283, SPD: 51, LUK: 1, Attack: 88474, Defense: 84159, Current HP: 714, A Avg: 110592, D Avg: 84159, [Basic(169)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 968: HP: 990, STR: 307, VIT: 343, SPD: 51, LUK: 1, Attack: 88474, Defense: 84180, Current HP: 990, A Avg: 110592, D Avg: 84180, [Basic(169)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 967: HP: 777, STR: 307, VIT: 234, SPD: 51, LUK: 1, Attack: 88474, Defense: 84006, Current HP: 777, A Avg: 110592, D Avg: 84006, [Basic(169)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 819, STR: 307, VIT: 283, SPD: 51, LUK: 1, Attack: 88474, Defense: 84302, Current HP: 819, A Avg: 110592, D Avg: 84302, [Basic(169)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 965: HP: 760, STR: 307, VIT: 248, SPD: 51, LUK: 1, Attack: 88474, Defense: 84176, Current HP: 760, A Avg: 110592, D Avg: 84176, [Basic(169)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 964: HP: 1245, STR: 307, VIT: 440, SPD: 51, LUK: 1, Attack: 88474, Defense: 85002, Current HP: 1245, A Avg: 110592, D Avg: 85002, [Basic(169)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 963: HP: 1184, STR: 307, VIT: 239, SPD: 51, LUK: 1, Attack: 88474, Defense: 84167, Current HP: 1184, A Avg: 110592, D Avg: 84167, [Basic(169)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 962: HP: 714, STR: 307, VIT: 776, SPD: 51, LUK: 1, Attack: 88474, Defense: 87564, Current HP: 714, A Avg: 110592, D Avg: 87564, [Basic(169)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 961: HP: 2550, STR: 307, VIT: 187, SPD: 51, LUK: 1, Attack: 88474, Defense: 86104, Current HP: 2550, A Avg: 110592, D Avg: 86104, [Basic(169)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 1453, STR: 307, VIT: 506, SPD: 51, LUK: 1, Attack: 88474, Defense: 85240, Current HP: 1453, A Avg: 110592, D Avg: 85240, [Basic(169)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 1165, STR: 307, VIT: 440, SPD: 51, LUK: 1, Attack: 88474, Defense: 85915, Current HP: 1165, A Avg: 110592, D Avg: 85915, [Basic(169)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 880, STR: 307, VIT: 709, SPD: 51, LUK: 1, Attack: 88474, Defense: 85677, Current HP: 880, A Avg: 110592, D Avg: 85677, [Basic(169)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 800, STR: 307, VIT: 788, SPD: 51, LUK: 1, Attack: 88474, Defense: 87628, Current HP: 800, A Avg: 110592, D Avg: 87628, [Basic(169)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 1627, STR: 307, VIT: 620, SPD: 51, LUK: 1, Attack: 88474, Defense: 88045, Current HP: 1627, A Avg: 110592, D Avg: 88045, [Basic(169)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 680, STR: 307, VIT: 176, SPD: 51, LUK: 1, Attack: 88474, Defense: 86965, Current HP: 680, A Avg: 110592, D Avg: 86965, [Basic(169)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 680, STR: 307, VIT: 1162, SPD: 51, LUK: 1, Attack: 88474, Defense: 90940, Current HP: 680, A Avg: 110592, D Avg: 90940, [Basic(169)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 1180, STR: 307, VIT: 1672, SPD: 51, LUK: 1, Attack: 88474, Defense: 88460, Current HP: 1180, A Avg: 110592, D Avg: 88460, [Basic(169)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 980, STR: 307, VIT: 588, SPD: 54, LUK: 1, Attack: 88474, Defense: 86466, Current HP: 980, A Avg: 110592, D Avg: 86466, [Basic(169)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 1616, STR: 307, VIT: 590, SPD: 51, LUK: 1, Attack: 88474, Defense: 86806, Current HP: 1616, A Avg: 110592, D Avg: 86806, [Basic(169)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 1134, STR: 307, VIT: 714, SPD: 51, LUK: 1, Attack: 88474, Defense: 87749, Current HP: 1134, A Avg: 110592, D Avg: 87749, [Basic(169)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 714, STR: 307, VIT: 768, SPD: 51, LUK: 1, Attack: 88474, Defense: 87816, Current HP: 714, A Avg: 110592, D Avg: 87816, [Basic(169)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 948: HP: 1243, STR: 1897, VIT: 1625, SPD: 48, LUK: 1, Attack: 87775, Defense: 88426, Current HP: 1243, A Avg: 110596, D Avg: 88426, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 947: HP: 1078, STR: 1904, VIT: 956, SPD: 51, LUK: 1, Attack: 87782, Defense: 85300, Current HP: 1078, A Avg: 110605, D Avg: 85300, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 946: HP: 700, STR: 319, VIT: 283, SPD: 51, LUK: 1, Attack: 88486, Defense: 84289, Current HP: 700, A Avg: 110607, D Avg: 84289, [Basic(169)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 945: HP: 680, STR: 319, VIT: 2641, SPD: 51, LUK: 1, Attack: 88486, Defense: 88311, Current HP: 680, A Avg: 110607, D Avg: 88311, [Basic(169)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 1785, STR: 2006, VIT: 1326, SPD: 51, LUK: 1, Attack: 88495, Defense: 87438, Current HP: 1785, A Avg: 110618, D Avg: 87438, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 966, STR: 3218, VIT: 366, SPD: 48, LUK: 1, Attack: 87796, Defense: 84385, Current HP: 966, A Avg: 110622, D Avg: 84385, [Magical(187)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 942: HP: 836, STR: 748, VIT: 291, SPD: 48, LUK: 1, Attack: 87799, Defense: 84154, Current HP: 836, A Avg: 110626, D Avg: 84154, [Tekken(188)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 941: HP: 934, STR: 334, VIT: 352, SPD: 51, LUK: 1, Attack: 88501, Defense: 84293, Current HP: 934, A Avg: 110626, D Avg: 84293, [Basic(169)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 940: HP: 1533, STR: 3925, VIT: 549, SPD: 51, LUK: 1, Attack: 88503, Defense: 86661, Current HP: 1533, A Avg: 110628, D Avg: 86661, [Magical(187)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 939: HP: 985, STR: 1924, VIT: 969, SPD: 48, LUK: 1, Attack: 87802, Defense: 85469, Current HP: 985, A Avg: 110630, D Avg: 85469, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 1496, STR: 1456, VIT: 756, SPD: 51, LUK: 1, Attack: 87802, Defense: 85100, Current HP: 1496, A Avg: 110630, D Avg: 85100, [Progress(147)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 937: HP: 990, STR: 1453, VIT: 258, SPD: 51, LUK: 1, Attack: 88504, Defense: 84147, Current HP: 990, A Avg: 110630, D Avg: 84147, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 936: HP: 1533, STR: 1455, VIT: 549, SPD: 51, LUK: 1, Attack: 88506, Defense: 86661, Current HP: 1533, A Avg: 110632, D Avg: 86661, [Tekken(188)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 1260, STR: 2165, VIT: 513, SPD: 54, LUK: 1, Attack: 88511, Defense: 84649, Current HP: 1260, A Avg: 110638, D Avg: 84649, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 2204, STR: 2844, VIT: 447, SPD: 51, LUK: 1, Attack: 87810, Defense: 87235, Current HP: 2204, A Avg: 110640, D Avg: 87235, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 933: HP: 1230, STR: 2024, VIT: 1035, SPD: 51, LUK: 1, Attack: 88513, Defense: 84924, Current HP: 1230, A Avg: 110641, D Avg: 84924, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 932: HP: 640, STR: 3679, VIT: 151, SPD: 51, LUK: 1, Attack: 88520, Defense: 87979, Current HP: 640, A Avg: 110650, D Avg: 87979, [Grand Slam(163)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 1280, STR: 2033, VIT: 1513, SPD: 51, LUK: 1, Attack: 88522, Defense: 86507, Current HP: 1280, A Avg: 110652, D Avg: 86507, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 930: HP: 640, STR: 3596, VIT: 151, SPD: 54, LUK: 1, Attack: 88525, Defense: 84287, Current HP: 640, A Avg: 110656, D Avg: 84287, [Jack Knife(185)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 929: HP: 2783, STR: 1972, VIT: 1034, SPD: 51, LUK: 1, Attack: 87824, Defense: 87822, Current HP: 2783, A Avg: 110658, D Avg: 87822, [Santoku(159)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 928: HP: 1040, STR: 3952, VIT: 691, SPD: 51, LUK: 1, Attack: 88530, Defense: 85685, Current HP: 1040, A Avg: 110662, D Avg: 85685, [Magical(187)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 970, STR: 4018, VIT: 258, SPD: 51, LUK: 1, Attack: 88531, Defense: 88086, Current HP: 970, A Avg: 110663, D Avg: 88086, [Maximum Iron Mass(123)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 926: HP: 1440, STR: 2993, VIT: 1723, SPD: 51, LUK: 1, Attack: 88533, Defense: 89291, Current HP: 1440, A Avg: 110666, D Avg: 89291, [Zodiac(184)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 925: HP: 1040, STR: 1482, VIT: 691, SPD: 51, LUK: 1, Attack: 88533, Defense: 85685, Current HP: 1040, A Avg: 110666, D Avg: 85685, [Tekken(188)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 1340, STR: 3202, VIT: 843, SPD: 54, LUK: 1, Attack: 88536, Defense: 85187, Current HP: 1340, A Avg: 110670, D Avg: 85187, [Impulse(166)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 1548, STR: 4042, VIT: 957, SPD: 48, LUK: 1, Attack: 88542, Defense: 85821, Current HP: 1548, A Avg: 110677, D Avg: 85821, [Divine Dragon Sword(181)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 874, STR: 1492, VIT: 266, SPD: 51, LUK: 1, Attack: 88543, Defense: 84272, Current HP: 874, A Avg: 110678, D Avg: 84272, [Tekken(188)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 1243, STR: 2510, VIT: 681, SPD: 48, LUK: 1, Attack: 87842, Defense: 88509, Current HP: 1243, A Avg: 110680, D Avg: 88509, [Tower(149)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 920: HP: 858, STR: 795, VIT: 733, SPD: 48, LUK: 1, Attack: 87846, Defense: 85324, Current HP: 858, A Avg: 110685, D Avg: 85324, [Tekken(188)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 919: HP: 1177, STR: 795, VIT: 808, SPD: 48, LUK: 1, Attack: 87846, Defense: 87726, Current HP: 1177, A Avg: 110685, D Avg: 87726, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 918: HP: 1114, STR: 2063, VIT: 1043, SPD: 51, LUK: 1, Attack: 88552, Defense: 85049, Current HP: 1114, A Avg: 110690, D Avg: 85049, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 917: HP: 680, STR: 399, VIT: 283, SPD: 54, LUK: 1, Attack: 88566, Defense: 84308, Current HP: 680, A Avg: 110707, D Avg: 84308, [Basic(169)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 860, STR: 3040, VIT: 702, SPD: 51, LUK: 1, Attack: 88580, Defense: 84565, Current HP: 860, A Avg: 110725, D Avg: 84565, [Zodiac(184)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 915: HP: 1070, STR: 413, VIT: 354, SPD: 51, LUK: 1, Attack: 88580, Defense: 84594, Current HP: 1070, A Avg: 110725, D Avg: 84594, [Basic(169)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1794, STR: 828, VIT: 811, SPD: 48, LUK: 1, Attack: 87879, Defense: 86923, Current HP: 1794, A Avg: 110727, D Avg: 86923, [Tekken(188)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 913: HP: 836, STR: 1353, VIT: 805, SPD: 48, LUK: 1, Attack: 87881, Defense: 84993, Current HP: 836, A Avg: 110730, D Avg: 84993, [Moon Knuckle(153)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 912: HP: 1155, STR: 2412, VIT: 605, SPD: 48, LUK: 1, Attack: 87887, Defense: 88433, Current HP: 1155, A Avg: 110737, D Avg: 88433, [Elemental(121)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 911: HP: 660, STR: 2062, VIT: 545, SPD: 54, LUK: 1, Attack: 88590, Defense: 84681, Current HP: 660, A Avg: 110737, D Avg: 84681, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 910: HP: 990, STR: 4015, VIT: 258, SPD: 51, LUK: 1, Attack: 88593, Defense: 84147, Current HP: 990, A Avg: 110741, D Avg: 84147, [Magical(187)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 909: HP: 836, STR: 428, VIT: 283, SPD: 51, LUK: 1, Attack: 88595, Defense: 84783, Current HP: 836, A Avg: 110743, D Avg: 84783, [Basic(169)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 2200, STR: 2913, VIT: 151, SPD: 54, LUK: 1, Attack: 88596, Defense: 86939, Current HP: 2200, A Avg: 110745, D Avg: 86939, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 1672, STR: 3316, VIT: 202, SPD: 51, LUK: 1, Attack: 87894, Defense: 86990, Current HP: 1672, A Avg: 110746, D Avg: 86990, [Magical(187)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 906: HP: 814, STR: 3107, VIT: 1107, SPD: 48, LUK: 1, Attack: 87895, Defense: 88935, Current HP: 814, A Avg: 110747, D Avg: 88935, [Pulse Knife(165)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 905: HP: 1254, STR: 844, VIT: 1007, SPD: 48, LUK: 1, Attack: 87895, Defense: 86001, Current HP: 1254, A Avg: 110747, D Avg: 86001, [Tekken(188)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 904: HP: 1199, STR: 846, VIT: 366, SPD: 48, LUK: 1, Attack: 87897, Defense: 84255, Current HP: 1199, A Avg: 110750, D Avg: 84255, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 903: HP: 858, STR: 2027, VIT: 1336, SPD: 48, LUK: 1, Attack: 87905, Defense: 85927, Current HP: 858, A Avg: 110760, D Avg: 85927, [Blue Sword(180)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 902: HP: 1177, STR: 2027, VIT: 1411, SPD: 48, LUK: 1, Attack: 87905, Defense: 88329, Current HP: 1177, A Avg: 110760, D Avg: 88329, [Blue Sword(180)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
