Rank 1000: HP: 440, STR: 289436, VIT: 99, SPD: 16, LUK: 1, Attack: 374014, Defense: 84118, Current HP: 440, A Avg: 994877, D Avg: 84118, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 962: HP: 540, STR: 404833, VIT: 211, SPD: 16, LUK: 1, Attack: 490373, Defense: 84230, Current HP: 540, A Avg: 995457, D Avg: 84230, [Zodiac(184)[230, 230, 230], Prism Shield(212)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 961: HP: 494, STR: 404833, VIT: 209, SPD: 16, LUK: 1, Attack: 490373, Defense: 84137, Current HP: 494, A Avg: 995457, D Avg: 84137, [Zodiac(184)[230, 230, 230], Tower Shield(213)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 960: HP: 666, STR: 404833, VIT: 262, SPD: 16, LUK: 1, Attack: 490373, Defense: 84824, Current HP: 666, A Avg: 995457, D Avg: 84824, [Zodiac(184)[230, 230, 230], Slime Shield(221)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 959: HP: 592, STR: 404833, VIT: 200, SPD: 16, LUK: 1, Attack: 490373, Defense: 84128, Current HP: 592, A Avg: 995457, D Avg: 84128, [Zodiac(184)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 958: HP: 440, STR: 404833, VIT: 515, SPD: 16, LUK: 1, Attack: 490373, Defense: 87303, Current HP: 440, A Avg: 995457, D Avg: 87303, [Zodiac(184)[230, 230, 230], Energy Shield(227)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 957: HP: 1624, STR: 404833, VIT: 185, SPD: 16, LUK: 1, Attack: 490373, Defense: 86102, Current HP: 1624, A Avg: 995457, D Avg: 86102, [Zodiac(184)[230, 230, 230], Frying Pan(231)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 956: HP: 824, STR: 404833, VIT: 292, SPD: 16, LUK: 1, Attack: 490373, Defense: 85026, Current HP: 824, A Avg: 995457, D Avg: 85026, [Zodiac(184)[230, 230, 230], Slafield(232)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 955: HP: 670, STR: 404833, VIT: 262, SPD: 16, LUK: 1, Attack: 490373, Defense: 85737, Current HP: 670, A Avg: 995457, D Avg: 85737, [Zodiac(184)[230, 230, 230], Mist Shield(233)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 954: HP: 608, STR: 404833, VIT: 338, SPD: 16, LUK: 1, Attack: 490373, Defense: 85306, Current HP: 608, A Avg: 995457, D Avg: 85306, [Zodiac(184)[230, 230, 230], Huge Shield(234)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 953: HP: 532, STR: 404833, VIT: 430, SPD: 16, LUK: 1, Attack: 490373, Defense: 87270, Current HP: 532, A Avg: 995457, D Avg: 87270, [Zodiac(184)[230, 230, 230], Aurora Shield(240)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 952: HP: 710, STR: 404833, VIT: 304, SPD: 16, LUK: 1, Attack: 490373, Defense: 87729, Current HP: 710, A Avg: 995457, D Avg: 87729, [Zodiac(184)[230, 230, 230], Cloud Shield(241)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 951: HP: 418, STR: 404833, VIT: 174, SPD: 16, LUK: 1, Attack: 490373, Defense: 86963, Current HP: 418, A Avg: 995457, D Avg: 86963, [Zodiac(184)[230, 230, 230], Graffiti(243)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 950: HP: 418, STR: 404833, VIT: 462, SPD: 16, LUK: 1, Attack: 490373, Defense: 90240, Current HP: 418, A Avg: 995457, D Avg: 90240, [Zodiac(184)[230, 230, 230], Blank Shield(244)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 949: HP: 893, STR: 404833, VIT: 737, SPD: 16, LUK: 1, Attack: 490373, Defense: 87525, Current HP: 893, A Avg: 995457, D Avg: 87525, [Zodiac(184)[230, 230, 230], Golem Shield(245)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 948: HP: 703, STR: 404833, VIT: 305, SPD: 17, LUK: 1, Attack: 490373, Defense: 86183, Current HP: 703, A Avg: 995457, D Avg: 86183, [Zodiac(184)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 947: HP: 851, STR: 404833, VIT: 362, SPD: 16, LUK: 1, Attack: 490373, Defense: 86578, Current HP: 851, A Avg: 995457, D Avg: 86578, [Zodiac(184)[230, 230, 230], King Shield(248)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 946: HP: 840, STR: 404833, VIT: 552, SPD: 16, LUK: 1, Attack: 490373, Defense: 87587, Current HP: 840, A Avg: 995457, D Avg: 87587, [Zodiac(184)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 945: HP: 440, STR: 404833, VIT: 347, SPD: 16, LUK: 1, Attack: 490373, Defense: 87395, Current HP: 440, A Avg: 995457, D Avg: 87395, [Zodiac(184)[230, 230, 230], Ghost shield(251)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 944: HP: 694, STR: 288486, VIT: 216, SPD: 16, LUK: 1, Attack: 374234, Defense: 85834, Current HP: 694, A Avg: 995462, D Avg: 85834, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 943: HP: 260, STR: 403851, VIT: 566, SPD: 16, LUK: 1, Attack: 490379, Defense: 87354, Current HP: 260, A Avg: 995469, D Avg: 87354, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 942: HP: 893, STR: 288687, VIT: 931, SPD: 16, LUK: 1, Attack: 374240, Defense: 88499, Current HP: 893, A Avg: 995478, D Avg: 88499, [Hammer of Justice(186)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 941: HP: 545, STR: 404875, VIT: 239, SPD: 16, LUK: 1, Attack: 490415, Defense: 84180, Current HP: 545, A Avg: 995542, D Avg: 84180, [Zodiac(184)[230, 230, 230], Dragon's Scales(215)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 940: HP: 520, STR: 289688, VIT: 211, SPD: 19, LUK: 1, Attack: 374266, Defense: 84230, Current HP: 520, A Avg: 995547, D Avg: 84230, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 939: HP: 418, STR: 404892, VIT: 211, SPD: 17, LUK: 1, Attack: 490432, Defense: 84236, Current HP: 418, A Avg: 995576, D Avg: 84236, [Zodiac(184)[230, 230, 230], Conductive Barrier(208)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 938: HP: 731, STR: 288316, VIT: 259, SPD: 17, LUK: 1, Attack: 374285, Defense: 86137, Current HP: 731, A Avg: 995598, D Avg: 86137, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 937: HP: 636, STR: 288316, VIT: 243, SPD: 17, LUK: 1, Attack: 374285, Defense: 86121, Current HP: 636, A Avg: 995598, D Avg: 86121, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 936: HP: 731, STR: 288316, VIT: 288, SPD: 17, LUK: 1, Attack: 374285, Defense: 86166, Current HP: 731, A Avg: 995598, D Avg: 86166, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 935: HP: 731, STR: 288316, VIT: 259, SPD: 17, LUK: 1, Attack: 374285, Defense: 86137, Current HP: 731, A Avg: 995598, D Avg: 86137, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 934: HP: 598, STR: 404913, VIT: 241, SPD: 16, LUK: 1, Attack: 490453, Defense: 84481, Current HP: 598, A Avg: 995619, D Avg: 84481, [Zodiac(184)[230, 230, 230], Dragon's Wings(216)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 933: HP: 446, STR: 289785, VIT: 99, SPD: 16, LUK: 1, Attack: 374298, Defense: 87927, Current HP: 446, A Avg: 995632, D Avg: 87927, [Maximum Iron Mass(123)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 932: HP: 340, STR: 289724, VIT: 67, SPD: 16, LUK: 1, Attack: 374302, Defense: 84086, Current HP: 340, A Avg: 995643, D Avg: 84086, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 931: HP: 556, STR: 404926, VIT: 267, SPD: 16, LUK: 1, Attack: 490466, Defense: 85885, Current HP: 556, A Avg: 995645, D Avg: 85885, [Zodiac(184)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 930: HP: 486, STR: 404930, VIT: 394, SPD: 16, LUK: 1, Attack: 490470, Defense: 85232, Current HP: 486, A Avg: 995654, D Avg: 85232, [Zodiac(184)[230, 230, 230], Bulletproof Shield(235)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 929: HP: 864, STR: 288342, VIT: 270, SPD: 17, LUK: 1, Attack: 374311, Defense: 86148, Current HP: 864, A Avg: 995667, D Avg: 86148, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 928: HP: 624, STR: 404618, VIT: 344, SPD: 16, LUK: 1, Attack: 490496, Defense: 85078, Current HP: 624, A Avg: 995706, D Avg: 85078, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 927: HP: 788, STR: 290214, VIT: 112, SPD: 17, LUK: 1, Attack: 374335, Defense: 86900, Current HP: 788, A Avg: 995731, D Avg: 86900, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 926: HP: 693, STR: 290214, VIT: 96, SPD: 17, LUK: 1, Attack: 374335, Defense: 86884, Current HP: 693, A Avg: 995731, D Avg: 86884, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 925: HP: 788, STR: 290214, VIT: 140, SPD: 17, LUK: 1, Attack: 374335, Defense: 86928, Current HP: 788, A Avg: 995731, D Avg: 86928, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 924: HP: 788, STR: 290214, VIT: 112, SPD: 17, LUK: 1, Attack: 374335, Defense: 86900, Current HP: 788, A Avg: 995731, D Avg: 86900, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 923: HP: 598, STR: 404972, VIT: 409, SPD: 16, LUK: 1, Attack: 490512, Defense: 87210, Current HP: 598, A Avg: 995739, D Avg: 87210, [Zodiac(184)[230, 230, 230], Riot(236)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 922: HP: 598, STR: 404972, VIT: 256, SPD: 16, LUK: 1, Attack: 490512, Defense: 85120, Current HP: 598, A Avg: 995739, D Avg: 85120, [Zodiac(184)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 921: HP: 522, STR: 404972, VIT: 262, SPD: 17, LUK: 1, Attack: 490512, Defense: 84684, Current HP: 522, A Avg: 995739, D Avg: 84684, [Zodiac(184)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 920: HP: 589, STR: 290340, VIT: 160, SPD: 17, LUK: 1, Attack: 374340, Defense: 86948, Current HP: 589, A Avg: 995744, D Avg: 86948, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 919: HP: 589, STR: 290340, VIT: 160, SPD: 17, LUK: 1, Attack: 374340, Defense: 86948, Current HP: 589, A Avg: 995744, D Avg: 86948, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 918: HP: 454, STR: 288604, VIT: 252, SPD: 16, LUK: 1, Attack: 374352, Defense: 85870, Current HP: 454, A Avg: 995776, D Avg: 85870, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 917: HP: 454, STR: 288604, VIT: 252, SPD: 16, LUK: 1, Attack: 374352, Defense: 85870, Current HP: 454, A Avg: 995776, D Avg: 85870, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 916: HP: 912, STR: 288117, VIT: 99, SPD: 16, LUK: 1, Attack: 374359, Defense: 84105, Current HP: 912, A Avg: 995794, D Avg: 84105, [Droid Hammer(177)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 915: HP: 893, STR: 288117, VIT: 782, SPD: 16, LUK: 1, Attack: 374359, Defense: 86452, Current HP: 893, A Avg: 995794, D Avg: 86452, [Droid Hammer(177)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 914: HP: 921, STR: 290239, VIT: 123, SPD: 17, LUK: 1, Attack: 374360, Defense: 86911, Current HP: 921, A Avg: 995797, D Avg: 86911, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 913: HP: 627, STR: 289029, VIT: 241, SPD: 16, LUK: 1, Attack: 374361, Defense: 85469, Current HP: 627, A Avg: 995800, D Avg: 85469, [Tower(149)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 912: HP: 744, STR: 405629, VIT: 164, SPD: 17, LUK: 1, Attack: 490595, Defense: 86952, Current HP: 744, A Avg: 995907, D Avg: 86952, [Red Shark(134)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 911: HP: 456, STR: 405060, VIT: 308, SPD: 16, LUK: 1, Attack: 490600, Defense: 84899, Current HP: 456, A Avg: 995917, D Avg: 84899, [Zodiac(184)[230, 230, 230], Black Hole(229)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 910: HP: 541, STR: 405060, VIT: 323, SPD: 16, LUK: 1, Attack: 490600, Defense: 87241, Current HP: 541, A Avg: 995917, D Avg: 87241, [Zodiac(184)[230, 230, 230], White Hole(230)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 909: HP: 503, STR: 289580, VIT: 248, SPD: 20, LUK: 1, Attack: 374405, Defense: 84384, Current HP: 503, A Avg: 995917, D Avg: 84384, [Kraken(145)[230, 230, 230], Magnum(237)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 908: HP: 965, STR: 288174, VIT: 99, SPD: 16, LUK: 1, Attack: 374416, Defense: 84599, Current HP: 965, A Avg: 995946, D Avg: 84599, [Droid Hammer(177)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 907: HP: 1919, STR: 288572, VIT: 270, SPD: 16, LUK: 1, Attack: 374424, Defense: 86187, Current HP: 1919, A Avg: 995967, D Avg: 86187, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 906: HP: 1919, STR: 288572, VIT: 270, SPD: 16, LUK: 1, Attack: 374424, Defense: 86187, Current HP: 1919, A Avg: 995967, D Avg: 86187, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 905: HP: 636, STR: 288460, VIT: 307, SPD: 17, LUK: 1, Attack: 374429, Defense: 86185, Current HP: 636, A Avg: 995981, D Avg: 86185, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 904: HP: 636, STR: 288460, VIT: 307, SPD: 17, LUK: 1, Attack: 374429, Defense: 86185, Current HP: 636, A Avg: 995981, D Avg: 86185, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 903: HP: 760, STR: 290448, VIT: 224, SPD: 20, LUK: 1, Attack: 374448, Defense: 87012, Current HP: 760, A Avg: 996031, D Avg: 87012, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 902: HP: 2052, STR: 288597, VIT: 282, SPD: 16, LUK: 1, Attack: 374449, Defense: 86199, Current HP: 2052, A Avg: 996034, D Avg: 86199, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
