Rank 1000: HP: 1127, STR: 180, VIT: 293, SPD: 64, LUK: 1, Attack: 88347, Defense: 84026, Current HP: 1127, A Avg: 111317, D Avg: 84026, [Basic(169)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 1808, STR: 180, VIT: 410, SPD: 64, LUK: 1, Attack: 88347, Defense: 84338, Current HP: 1808, A Avg: 111317, D Avg: 84338, [Basic(169)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 1127, STR: 180, VIT: 1393, SPD: 64, LUK: 1, Attack: 88347, Defense: 88181, Current HP: 1127, A Avg: 111317, D Avg: 88181, [Basic(169)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 3465, STR: 180, VIT: 305, SPD: 64, LUK: 1, Attack: 88347, Defense: 86222, Current HP: 3465, A Avg: 111317, D Avg: 86222, [Basic(169)[0, 0, 0], Frying Pan(231)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 2120, STR: 180, VIT: 954, SPD: 64, LUK: 1, Attack: 88347, Defense: 85688, Current HP: 2120, A Avg: 111317, D Avg: 85688, [Basic(169)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 1736, STR: 180, VIT: 826, SPD: 64, LUK: 1, Attack: 88347, Defense: 86301, Current HP: 1736, A Avg: 111317, D Avg: 86301, [Basic(169)[0, 0, 0], Mist Shield(233)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 984: HP: 1298, STR: 180, VIT: 1358, SPD: 64, LUK: 1, Attack: 88347, Defense: 86326, Current HP: 1298, A Avg: 111317, D Avg: 86326, [Basic(169)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 1210, STR: 180, VIT: 1489, SPD: 64, LUK: 1, Attack: 88347, Defense: 88329, Current HP: 1210, A Avg: 111317, D Avg: 88329, [Basic(169)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 2472, STR: 180, VIT: 1206, SPD: 64, LUK: 1, Attack: 88347, Defense: 88631, Current HP: 2472, A Avg: 111317, D Avg: 88631, [Basic(169)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 1078, STR: 180, VIT: 293, SPD: 64, LUK: 1, Attack: 88347, Defense: 87082, Current HP: 1078, A Avg: 111317, D Avg: 87082, [Basic(169)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 980: HP: 1078, STR: 180, VIT: 2321, SPD: 64, LUK: 1, Attack: 88347, Defense: 92099, Current HP: 1078, A Avg: 111317, D Avg: 92099, [Basic(169)[0, 0, 0], Blank Shield(244)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 1628, STR: 180, VIT: 3207, SPD: 64, LUK: 1, Attack: 88347, Defense: 89995, Current HP: 1628, A Avg: 111317, D Avg: 89995, [Basic(169)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 1408, STR: 180, VIT: 1130, SPD: 68, LUK: 1, Attack: 88347, Defense: 87008, Current HP: 1408, A Avg: 111317, D Avg: 87008, [Basic(169)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 2371, STR: 180, VIT: 1071, SPD: 64, LUK: 1, Attack: 88347, Defense: 87287, Current HP: 2371, A Avg: 111317, D Avg: 87287, [Basic(169)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 1587, STR: 180, VIT: 1219, SPD: 64, LUK: 1, Attack: 88347, Defense: 88254, Current HP: 1587, A Avg: 111317, D Avg: 88254, [Basic(169)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 1127, STR: 180, VIT: 1510, SPD: 64, LUK: 1, Attack: 88347, Defense: 88558, Current HP: 1127, A Avg: 111317, D Avg: 88558, [Basic(169)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 1034, STR: 3510, VIT: 792, SPD: 64, LUK: 1, Attack: 88348, Defense: 88620, Current HP: 1034, A Avg: 111318, D Avg: 88620, [Classic(168)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 973: HP: 1374, STR: 2567, VIT: 1315, SPD: 68, LUK: 1, Attack: 89056, Defense: 85321, Current HP: 1374, A Avg: 111320, D Avg: 85321, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 972: HP: 1628, STR: 2472, VIT: 1684, SPD: 64, LUK: 1, Attack: 88350, Defense: 87302, Current HP: 1628, A Avg: 111321, D Avg: 87302, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 971: HP: 1377, STR: 2473, VIT: 2006, SPD: 64, LUK: 1, Attack: 88351, Defense: 86844, Current HP: 1377, A Avg: 111322, D Avg: 86844, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 970: HP: 1374, STR: 3186, VIT: 980, SPD: 68, LUK: 1, Attack: 89064, Defense: 84986, Current HP: 1374, A Avg: 111330, D Avg: 84986, [God Hand(179)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 969: HP: 1100, STR: 192, VIT: 509, SPD: 64, LUK: 1, Attack: 88359, Defense: 84515, Current HP: 1100, A Avg: 111332, D Avg: 84515, [Basic(169)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 968: HP: 1078, STR: 192, VIT: 5363, SPD: 64, LUK: 1, Attack: 88359, Defense: 91033, Current HP: 1078, A Avg: 111332, D Avg: 91033, [Basic(169)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 967: HP: 840, STR: 4947, VIT: 168, SPD: 68, LUK: 1, Attack: 89070, Defense: 87996, Current HP: 840, A Avg: 111337, D Avg: 87996, [Pinpoint(112)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 1423, STR: 196, VIT: 634, SPD: 64, LUK: 1, Attack: 88363, Defense: 84575, Current HP: 1423, A Avg: 111337, D Avg: 84575, [Basic(169)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 965: HP: 1056, STR: 2487, VIT: 1281, SPD: 64, LUK: 1, Attack: 88365, Defense: 85287, Current HP: 1056, A Avg: 111339, D Avg: 85287, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 964: HP: 1034, STR: 2487, VIT: 6135, SPD: 64, LUK: 1, Attack: 88365, Defense: 91805, Current HP: 1034, A Avg: 111339, D Avg: 91805, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 963: HP: 1573, STR: 2489, VIT: 1544, SPD: 64, LUK: 1, Attack: 88367, Defense: 86408, Current HP: 1573, A Avg: 111342, D Avg: 86408, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 962: HP: 1485, STR: 2489, VIT: 1598, SPD: 68, LUK: 1, Attack: 88367, Defense: 86020, Current HP: 1485, A Avg: 111342, D Avg: 86020, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 961: HP: 840, STR: 4687, VIT: 1494, SPD: 68, LUK: 1, Attack: 89075, Defense: 89322, Current HP: 840, A Avg: 111343, D Avg: 89322, [Encryption Key(173)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 882, STR: 4506, VIT: 168, SPD: 68, LUK: 1, Attack: 89084, Defense: 83891, Current HP: 882, A Avg: 111355, D Avg: 83891, [Magical(187)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 882, STR: 4506, VIT: 168, SPD: 68, LUK: 1, Attack: 89084, Defense: 83901, Current HP: 882, A Avg: 111355, D Avg: 83901, [Magical(187)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 840, STR: 4506, VIT: 187, SPD: 68, LUK: 1, Attack: 89084, Defense: 84056, Current HP: 840, A Avg: 111355, D Avg: 84056, [Magical(187)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 840, STR: 4506, VIT: 192, SPD: 68, LUK: 1, Attack: 89084, Defense: 83996, Current HP: 840, A Avg: 111355, D Avg: 83996, [Magical(187)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 840, STR: 4506, VIT: 248, SPD: 68, LUK: 1, Attack: 89084, Defense: 84111, Current HP: 840, A Avg: 111355, D Avg: 84111, [Magical(187)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 840, STR: 4506, VIT: 266, SPD: 68, LUK: 1, Attack: 89084, Defense: 84155, Current HP: 840, A Avg: 111355, D Avg: 84155, [Magical(187)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 882, STR: 4506, VIT: 309, SPD: 68, LUK: 1, Attack: 89084, Defense: 84185, Current HP: 882, A Avg: 111355, D Avg: 84185, [Magical(187)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 1250, STR: 4506, VIT: 388, SPD: 68, LUK: 1, Attack: 89084, Defense: 84225, Current HP: 1250, A Avg: 111355, D Avg: 84225, [Magical(187)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 945, STR: 4506, VIT: 243, SPD: 68, LUK: 1, Attack: 89084, Defense: 84015, Current HP: 945, A Avg: 111355, D Avg: 84015, [Magical(187)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 920, STR: 4506, VIT: 257, SPD: 68, LUK: 1, Attack: 89084, Defense: 84185, Current HP: 920, A Avg: 111355, D Avg: 84185, [Magical(187)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 1560, STR: 4506, VIT: 516, SPD: 68, LUK: 1, Attack: 89084, Defense: 85078, Current HP: 1560, A Avg: 111355, D Avg: 85078, [Magical(187)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 1504, STR: 4506, VIT: 248, SPD: 68, LUK: 1, Attack: 89084, Defense: 84176, Current HP: 1504, A Avg: 111355, D Avg: 84176, [Magical(187)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 948: HP: 882, STR: 4506, VIT: 887, SPD: 68, LUK: 1, Attack: 89084, Defense: 87675, Current HP: 882, A Avg: 111355, D Avg: 87675, [Magical(187)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 3010, STR: 4506, VIT: 178, SPD: 68, LUK: 1, Attack: 89084, Defense: 86095, Current HP: 3010, A Avg: 111355, D Avg: 86095, [Magical(187)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 1789, STR: 4506, VIT: 600, SPD: 68, LUK: 1, Attack: 89084, Defense: 85334, Current HP: 1789, A Avg: 111355, D Avg: 85334, [Magical(187)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 945: HP: 1438, STR: 4506, VIT: 516, SPD: 68, LUK: 1, Attack: 89084, Defense: 85991, Current HP: 1438, A Avg: 111355, D Avg: 85991, [Magical(187)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 1040, STR: 4506, VIT: 880, SPD: 68, LUK: 1, Attack: 89084, Defense: 85848, Current HP: 1040, A Avg: 111355, D Avg: 85848, [Magical(187)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 960, STR: 4506, VIT: 950, SPD: 68, LUK: 1, Attack: 89084, Defense: 87790, Current HP: 960, A Avg: 111355, D Avg: 87790, [Magical(187)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 942: HP: 2110, STR: 4506, VIT: 765, SPD: 68, LUK: 1, Attack: 89084, Defense: 88190, Current HP: 2110, A Avg: 111355, D Avg: 88190, [Magical(187)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 840, STR: 4506, VIT: 168, SPD: 68, LUK: 1, Attack: 89084, Defense: 86957, Current HP: 840, A Avg: 111355, D Avg: 86957, [Magical(187)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 940: HP: 840, STR: 4506, VIT: 1494, SPD: 68, LUK: 1, Attack: 89084, Defense: 91272, Current HP: 840, A Avg: 111355, D Avg: 91272, [Magical(187)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 939: HP: 1340, STR: 4506, VIT: 2113, SPD: 68, LUK: 1, Attack: 89084, Defense: 88901, Current HP: 1340, A Avg: 111355, D Avg: 88901, [Magical(187)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 938: HP: 1140, STR: 4506, VIT: 715, SPD: 72, LUK: 1, Attack: 89084, Defense: 86593, Current HP: 1140, A Avg: 111355, D Avg: 86593, [Magical(187)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 937: HP: 2016, STR: 4506, VIT: 689, SPD: 68, LUK: 1, Attack: 89084, Defense: 86905, Current HP: 2016, A Avg: 111355, D Avg: 86905, [Magical(187)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 936: HP: 1302, STR: 4506, VIT: 773, SPD: 68, LUK: 1, Attack: 89084, Defense: 87808, Current HP: 1302, A Avg: 111355, D Avg: 87808, [Magical(187)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 882, STR: 4506, VIT: 963, SPD: 68, LUK: 1, Attack: 89084, Defense: 88011, Current HP: 882, A Avg: 111355, D Avg: 88011, [Magical(187)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 1298, STR: 2505, VIT: 1268, SPD: 64, LUK: 1, Attack: 88383, Defense: 85456, Current HP: 1298, A Avg: 111362, D Avg: 85456, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 933: HP: 840, STR: 5014, VIT: 185, SPD: 68, LUK: 1, Attack: 89098, Defense: 88013, Current HP: 840, A Avg: 111372, D Avg: 88013, [Phantom Scythe(116)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 932: HP: 2230, STR: 4271, VIT: 566, SPD: 72, LUK: 1, Attack: 89109, Defense: 87354, Current HP: 2230, A Avg: 111386, D Avg: 87354, [Willow Blade(157)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 1154, STR: 4533, VIT: 397, SPD: 68, LUK: 1, Attack: 89111, Defense: 84338, Current HP: 1154, A Avg: 111388, D Avg: 84338, [Magical(187)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 930: HP: 1040, STR: 3572, VIT: 972, SPD: 72, LUK: 1, Attack: 89112, Defense: 84997, Current HP: 1040, A Avg: 111390, D Avg: 84997, [Zodiac(184)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 929: HP: 1914, STR: 3308, VIT: 686, SPD: 64, LUK: 1, Attack: 88406, Defense: 88514, Current HP: 1914, A Avg: 111391, D Avg: 88514, [Yggdrasil(126)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 928: HP: 2820, STR: 3442, VIT: 577, SPD: 68, LUK: 1, Attack: 88408, Defense: 87365, Current HP: 2820, A Avg: 111394, D Avg: 87365, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 927: HP: 1034, STR: 3831, VIT: 254, SPD: 64, LUK: 1, Attack: 88409, Defense: 84442, Current HP: 1034, A Avg: 111395, D Avg: 84442, [Magical(187)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 926: HP: 2453, STR: 3490, VIT: 863, SPD: 64, LUK: 1, Attack: 88413, Defense: 88691, Current HP: 2453, A Avg: 111400, D Avg: 88691, [Pangaea(164)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 925: HP: 1060, STR: 3581, VIT: 972, SPD: 68, LUK: 1, Attack: 89121, Defense: 84978, Current HP: 1060, A Avg: 111401, D Avg: 84978, [Zodiac(184)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 1040, STR: 3581, VIT: 4146, SPD: 68, LUK: 1, Attack: 89121, Defense: 89816, Current HP: 1040, A Avg: 111401, D Avg: 89816, [Zodiac(184)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 1573, STR: 2537, VIT: 2111, SPD: 64, LUK: 1, Attack: 88415, Defense: 88912, Current HP: 1573, A Avg: 111402, D Avg: 88912, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 922: HP: 840, STR: 5124, VIT: 374, SPD: 68, LUK: 1, Attack: 89124, Defense: 88202, Current HP: 840, A Avg: 111405, D Avg: 88202, [Kirisame(129)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 1530, STR: 3585, VIT: 1101, SPD: 68, LUK: 1, Attack: 89125, Defense: 85341, Current HP: 1530, A Avg: 111406, D Avg: 85341, [Zodiac(184)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 1078, STR: 251, VIT: 509, SPD: 68, LUK: 1, Attack: 88418, Defense: 84534, Current HP: 1078, A Avg: 111406, D Avg: 84534, [Basic(169)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 919: HP: 920, STR: 966, VIT: 642, SPD: 68, LUK: 1, Attack: 89133, Defense: 85233, Current HP: 920, A Avg: 111416, D Avg: 85233, [Basic(169)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 1310, STR: 966, VIT: 708, SPD: 68, LUK: 1, Attack: 89133, Defense: 87626, Current HP: 1310, A Avg: 111416, D Avg: 87626, [Basic(169)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 917: HP: 1617, STR: 259, VIT: 637, SPD: 64, LUK: 1, Attack: 88426, Defense: 84877, Current HP: 1617, A Avg: 111416, D Avg: 84877, [Basic(169)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 916: HP: 1034, STR: 1385, VIT: 254, SPD: 68, LUK: 1, Attack: 88436, Defense: 84390, Current HP: 1034, A Avg: 111429, D Avg: 84390, [Tekken(188)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 915: HP: 1330, STR: 977, VIT: 334, SPD: 68, LUK: 1, Attack: 89144, Defense: 84223, Current HP: 1330, A Avg: 111430, D Avg: 84223, [Basic(169)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1749, STR: 1949, VIT: 2313, SPD: 68, LUK: 1, Attack: 88438, Defense: 86735, Current HP: 1749, A Avg: 111431, D Avg: 86735, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 913: HP: 1293, STR: 275, VIT: 509, SPD: 64, LUK: 1, Attack: 88442, Defense: 85009, Current HP: 1293, A Avg: 111436, D Avg: 85009, [Basic(169)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 912: HP: 1440, STR: 4652, VIT: 902, SPD: 72, LUK: 1, Attack: 89152, Defense: 85038, Current HP: 1440, A Avg: 111440, D Avg: 85038, [Divine Dragon Sword(181)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 911: HP: 1249, STR: 2570, VIT: 1281, SPD: 64, LUK: 1, Attack: 88448, Defense: 85781, Current HP: 1249, A Avg: 111444, D Avg: 85781, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 910: HP: 2800, STR: 3480, VIT: 168, SPD: 72, LUK: 1, Attack: 89163, Defense: 86956, Current HP: 2800, A Avg: 111453, D Avg: 86956, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 909: HP: 1995, STR: 996, VIT: 693, SPD: 68, LUK: 1, Attack: 89163, Defense: 86805, Current HP: 1995, A Avg: 111453, D Avg: 86805, [Basic(169)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 1026, STR: 3289, VIT: 3902, SPD: 64, LUK: 1, Attack: 89167, Defense: 89572, Current HP: 1026, A Avg: 111458, D Avg: 89572, [God Hand(179)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 1668, STR: 3432, VIT: 659, SPD: 68, LUK: 1, Attack: 89180, Defense: 85887, Current HP: 1668, A Avg: 111475, D Avg: 85887, [Scythe of the Grim Reaper(148)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 1700, STR: 3214, VIT: 727, SPD: 68, LUK: 1, Attack: 89183, Defense: 85955, Current HP: 1700, A Avg: 111478, D Avg: 85955, [Fire Chariot(138)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 1740, STR: 3850, VIT: 1081, SPD: 72, LUK: 1, Attack: 89184, Defense: 85425, Current HP: 1740, A Avg: 111480, D Avg: 85425, [Impulse(166)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 1674, STR: 312, VIT: 912, SPD: 64, LUK: 1, Attack: 88479, Defense: 86530, Current HP: 1674, A Avg: 111483, D Avg: 86530, [Basic(169)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 903: HP: 1421, STR: 313, VIT: 1204, SPD: 64, LUK: 1, Attack: 88480, Defense: 86042, Current HP: 1421, A Avg: 111484, D Avg: 86042, [Basic(169)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
