Rank 1000: HP: 1342, STR: 899, VIT: 925, SPD: 56, LUK: 1, Attack: 87950, Defense: 87843, Current HP: 1342, A Avg: 110817, D Avg: 87843, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 1360, STR: 2192, VIT: 1502, SPD: 59, LUK: 1, Attack: 88681, Defense: 88420, Current HP: 1360, A Avg: 110851, D Avg: 88420, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 988: HP: 1140, STR: 1630, VIT: 745, SPD: 59, LUK: 1, Attack: 88681, Defense: 85739, Current HP: 1140, A Avg: 110851, D Avg: 85739, [Tekken(188)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 987: HP: 1255, STR: 515, VIT: 538, SPD: 59, LUK: 1, Attack: 88682, Defense: 86156, Current HP: 1255, A Avg: 110852, D Avg: 86156, [Basic(169)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 986: HP: 1052, STR: 518, VIT: 732, SPD: 59, LUK: 1, Attack: 88685, Defense: 85570, Current HP: 1052, A Avg: 110856, D Avg: 85570, [Basic(169)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 985: HP: 1244, STR: 2808, VIT: 870, SPD: 59, LUK: 1, Attack: 88686, Defense: 84876, Current HP: 1244, A Avg: 110857, D Avg: 84876, [God Hand(179)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 984: HP: 960, STR: 3147, VIT: 861, SPD: 59, LUK: 1, Attack: 88687, Defense: 84867, Current HP: 960, A Avg: 110858, D Avg: 84867, [Zodiac(184)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 983: HP: 940, STR: 3147, VIT: 3627, SPD: 59, LUK: 1, Attack: 88687, Defense: 89297, Current HP: 940, A Avg: 110858, D Avg: 89297, [Zodiac(184)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 982: HP: 1716, STR: 1638, VIT: 873, SPD: 56, LUK: 1, Attack: 87984, Defense: 85061, Current HP: 1716, A Avg: 110859, D Avg: 85061, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 1120, STR: 4578, VIT: 341, SPD: 59, LUK: 1, Attack: 88688, Defense: 88169, Current HP: 1120, A Avg: 110860, D Avg: 88169, [Serpent(144)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 980: HP: 924, STR: 2107, VIT: 1125, SPD: 59, LUK: 1, Attack: 87985, Defense: 85150, Current HP: 924, A Avg: 110861, D Avg: 85150, [Blue Sword(180)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 1380, STR: 3153, VIT: 975, SPD: 59, LUK: 1, Attack: 88693, Defense: 85215, Current HP: 1380, A Avg: 110866, D Avg: 85215, [Zodiac(184)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 978: HP: 1364, STR: 940, VIT: 1101, SPD: 56, LUK: 1, Attack: 87991, Defense: 86095, Current HP: 1364, A Avg: 110868, D Avg: 86095, [Tekken(188)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 1408, STR: 2115, VIT: 1263, SPD: 56, LUK: 1, Attack: 87993, Defense: 85503, Current HP: 1408, A Avg: 110871, D Avg: 85503, [Blue Sword(180)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 1100, STR: 4578, VIT: 340, SPD: 59, LUK: 1, Attack: 88699, Defense: 88168, Current HP: 1100, A Avg: 110873, D Avg: 88168, [Black Kirisame(130)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 975: HP: 1364, STR: 948, VIT: 418, SPD: 56, LUK: 1, Attack: 87999, Defense: 84307, Current HP: 1364, A Avg: 110878, D Avg: 84307, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 1004, STR: 1660, VIT: 292, SPD: 59, LUK: 1, Attack: 88711, Defense: 84298, Current HP: 1004, A Avg: 110888, D Avg: 84298, [Tekken(188)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 973: HP: 1220, STR: 545, VIT: 451, SPD: 59, LUK: 1, Attack: 88712, Defense: 85315, Current HP: 1220, A Avg: 110890, D Avg: 85315, [Basic(169)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 972: HP: 1140, STR: 545, VIT: 491, SPD: 63, LUK: 1, Attack: 88712, Defense: 84913, Current HP: 1140, A Avg: 110890, D Avg: 84913, [Basic(169)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 2178, STR: 3090, VIT: 759, SPD: 56, LUK: 1, Attack: 88013, Defense: 88587, Current HP: 2178, A Avg: 110896, D Avg: 88587, [Pangaea(164)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 970: HP: 1144, STR: 2473, VIT: 1112, SPD: 59, LUK: 1, Attack: 88013, Defense: 85248, Current HP: 1144, A Avg: 110896, D Avg: 85248, [Zodiac(184)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 969: HP: 1892, STR: 3084, VIT: 228, SPD: 59, LUK: 1, Attack: 88013, Defense: 87016, Current HP: 1892, A Avg: 110896, D Avg: 87016, [Jack Knife(185)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 968: HP: 1236, STR: 4687, VIT: 411, SPD: 59, LUK: 1, Attack: 88719, Defense: 88239, Current HP: 1236, A Avg: 110898, D Avg: 88239, [Alucard(146)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 967: HP: 1995, STR: 2235, VIT: 1496, SPD: 59, LUK: 1, Attack: 88724, Defense: 87608, Current HP: 1995, A Avg: 110905, D Avg: 87608, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 1213, STR: 4147, VIT: 513, SPD: 59, LUK: 1, Attack: 88725, Defense: 86131, Current HP: 1213, A Avg: 110906, D Avg: 86131, [Magical(187)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 965: HP: 1188, STR: 2144, VIT: 1112, SPD: 59, LUK: 1, Attack: 88022, Defense: 85456, Current HP: 1188, A Avg: 110907, D Avg: 85456, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 964: HP: 1012, STR: 4149, VIT: 705, SPD: 59, LUK: 1, Attack: 88727, Defense: 85543, Current HP: 1012, A Avg: 110908, D Avg: 85543, [Magical(187)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 963: HP: 1980, STR: 3893, VIT: 506, SPD: 63, LUK: 1, Attack: 88731, Defense: 87294, Current HP: 1980, A Avg: 110913, D Avg: 87294, [Willow Blade(157)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 962: HP: 1214, STR: 980, VIT: 431, SPD: 56, LUK: 1, Attack: 88031, Defense: 84437, Current HP: 1214, A Avg: 110919, D Avg: 84437, [Tekken(188)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 961: HP: 1694, STR: 2934, VIT: 608, SPD: 56, LUK: 1, Attack: 88032, Defense: 88436, Current HP: 1694, A Avg: 110920, D Avg: 88436, [Yggdrasil(126)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 960: HP: 1444, STR: 2160, VIT: 1476, SPD: 56, LUK: 1, Attack: 88038, Defense: 87094, Current HP: 1444, A Avg: 110927, D Avg: 87094, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 959: HP: 1223, STR: 2161, VIT: 1776, SPD: 56, LUK: 1, Attack: 88039, Defense: 86614, Current HP: 1223, A Avg: 110929, D Avg: 86614, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 958: HP: 3168, STR: 2188, VIT: 1190, SPD: 59, LUK: 1, Attack: 88040, Defense: 87978, Current HP: 3168, A Avg: 110930, D Avg: 87978, [Santoku(159)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 957: HP: 1380, STR: 2262, VIT: 1171, SPD: 59, LUK: 1, Attack: 88751, Defense: 85060, Current HP: 1380, A Avg: 110938, D Avg: 85060, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 1380, STR: 2262, VIT: 1684, SPD: 59, LUK: 1, Attack: 88751, Defense: 86678, Current HP: 1380, A Avg: 110938, D Avg: 86678, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 1180, STR: 4176, VIT: 424, SPD: 59, LUK: 1, Attack: 88754, Defense: 85288, Current HP: 1180, A Avg: 110942, D Avg: 85288, [Magical(187)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 1100, STR: 4176, VIT: 465, SPD: 63, LUK: 1, Attack: 88754, Defense: 84887, Current HP: 1100, A Avg: 110942, D Avg: 84887, [Magical(187)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 1460, STR: 2408, VIT: 581, SPD: 63, LUK: 1, Attack: 88754, Defense: 84717, Current HP: 1460, A Avg: 110942, D Avg: 84717, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 946, STR: 2172, VIT: 1125, SPD: 56, LUK: 1, Attack: 88050, Defense: 85131, Current HP: 946, A Avg: 110943, D Avg: 85131, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 951: HP: 924, STR: 2172, VIT: 5355, SPD: 56, LUK: 1, Attack: 88050, Defense: 91025, Current HP: 924, A Avg: 110943, D Avg: 91025, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 950: HP: 1408, STR: 2177, VIT: 1355, SPD: 56, LUK: 1, Attack: 88055, Defense: 86219, Current HP: 1408, A Avg: 110949, D Avg: 86219, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 949: HP: 1320, STR: 2177, VIT: 1403, SPD: 59, LUK: 1, Attack: 88055, Defense: 85825, Current HP: 1320, A Avg: 110949, D Avg: 85825, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 948: HP: 1423, STR: 3229, VIT: 1091, SPD: 59, LUK: 1, Attack: 88769, Defense: 86709, Current HP: 1423, A Avg: 110961, D Avg: 86709, [Zodiac(184)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 1212, STR: 3231, VIT: 1317, SPD: 59, LUK: 1, Attack: 88771, Defense: 86155, Current HP: 1212, A Avg: 110963, D Avg: 86155, [Zodiac(184)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 946, STR: 1539, VIT: 935, SPD: 59, LUK: 1, Attack: 88067, Defense: 85279, Current HP: 946, A Avg: 110964, D Avg: 85279, [Moon Knuckle(153)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 945: HP: 931, STR: 2900, VIT: 3414, SPD: 56, LUK: 1, Attack: 88778, Defense: 89084, Current HP: 931, A Avg: 110972, D Avg: 89084, [God Hand(179)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 1220, STR: 612, VIT: 793, SPD: 59, LUK: 1, Attack: 88779, Defense: 87594, Current HP: 1220, A Avg: 110973, D Avg: 87594, [Basic(169)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 1072, STR: 4670, VIT: 397, SPD: 59, LUK: 1, Attack: 88780, Defense: 88225, Current HP: 1072, A Avg: 110975, D Avg: 88225, [Dragon Killer(139)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 942: HP: 1100, STR: 4592, VIT: 159, SPD: 59, LUK: 1, Attack: 88780, Defense: 87987, Current HP: 1100, A Avg: 110975, D Avg: 87987, [Sword of the Spirit Tree(125)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 1380, STR: 613, VIT: 1392, SPD: 59, LUK: 1, Attack: 88780, Defense: 88960, Current HP: 1380, A Avg: 110975, D Avg: 88960, [Basic(169)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 940: HP: 1188, STR: 2199, VIT: 1112, SPD: 56, LUK: 1, Attack: 88077, Defense: 85300, Current HP: 1188, A Avg: 110977, D Avg: 85300, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 939: HP: 1320, STR: 3240, VIT: 759, SPD: 56, LUK: 1, Attack: 88078, Defense: 88587, Current HP: 1320, A Avg: 110978, D Avg: 88587, [Willow Blade(157)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 750, STR: 4676, VIT: 338, SPD: 59, LUK: 1, Attack: 88786, Defense: 88166, Current HP: 750, A Avg: 110982, D Avg: 88166, [Windmill(137)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 937: HP: 1340, STR: 4287, VIT: 826, SPD: 63, LUK: 1, Attack: 88787, Defense: 84962, Current HP: 1340, A Avg: 110983, D Avg: 84962, [Divine Dragon Sword(181)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 936: HP: 1468, STR: 3040, VIT: 591, SPD: 59, LUK: 1, Attack: 88788, Defense: 85819, Current HP: 1468, A Avg: 110985, D Avg: 85819, [Scythe of the Grim Reaper(148)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 946, STR: 1557, VIT: 935, SPD: 56, LUK: 1, Attack: 88085, Defense: 85123, Current HP: 946, A Avg: 110987, D Avg: 85123, [Moon Knuckle(153)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 934: HP: 1380, STR: 3258, VIT: 1036, SPD: 59, LUK: 1, Attack: 88798, Defense: 85900, Current HP: 1380, A Avg: 110997, D Avg: 85900, [Zodiac(184)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 933: HP: 1300, STR: 3258, VIT: 1043, SPD: 63, LUK: 1, Attack: 88798, Defense: 85465, Current HP: 1300, A Avg: 110997, D Avg: 85465, [Zodiac(184)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 932: HP: 1408, STR: 2217, VIT: 1868, SPD: 56, LUK: 1, Attack: 88095, Defense: 88669, Current HP: 1408, A Avg: 110999, D Avg: 88669, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 931: HP: 916, STR: 4222, VIT: 283, SPD: 59, LUK: 1, Attack: 88800, Defense: 84783, Current HP: 916, A Avg: 111000, D Avg: 84783, [Magical(187)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 930: HP: 1244, STR: 2315, VIT: 1179, SPD: 59, LUK: 1, Attack: 88804, Defense: 85185, Current HP: 1244, A Avg: 111005, D Avg: 85185, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 929: HP: 760, STR: 2278, VIT: 622, SPD: 63, LUK: 1, Attack: 88806, Defense: 84758, Current HP: 760, A Avg: 111007, D Avg: 84758, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 928: HP: 1116, STR: 3270, VIT: 861, SPD: 59, LUK: 1, Attack: 88810, Defense: 85361, Current HP: 1116, A Avg: 111012, D Avg: 85361, [Zodiac(184)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 2512, STR: 3143, VIT: 512, SPD: 59, LUK: 1, Attack: 88109, Defense: 87300, Current HP: 2512, A Avg: 111017, D Avg: 87300, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 926: HP: 1500, STR: 2850, VIT: 651, SPD: 59, LUK: 1, Attack: 88819, Defense: 85879, Current HP: 1500, A Avg: 111023, D Avg: 85879, [Fire Chariot(138)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 925: HP: 1180, STR: 4244, VIT: 766, SPD: 59, LUK: 1, Attack: 88822, Defense: 87567, Current HP: 1180, A Avg: 111027, D Avg: 87567, [Magical(187)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 1117, STR: 2247, VIT: 1125, SPD: 56, LUK: 1, Attack: 88125, Defense: 85625, Current HP: 1117, A Avg: 111037, D Avg: 85625, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 923: HP: 1188, STR: 1648, VIT: 1585, SPD: 59, LUK: 1, Attack: 88137, Defense: 85721, Current HP: 1188, A Avg: 111052, D Avg: 85721, [Cuttlefish(178)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 922: HP: 1120, STR: 4071, VIT: 1105, SPD: 59, LUK: 1, Attack: 88859, Defense: 86333, Current HP: 1120, A Avg: 111073, D Avg: 86333, [Pulse Knife(165)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 1540, STR: 3526, VIT: 962, SPD: 63, LUK: 1, Attack: 88860, Defense: 85306, Current HP: 1540, A Avg: 111075, D Avg: 85306, [Impulse(166)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 1540, STR: 3528, VIT: 962, SPD: 59, LUK: 1, Attack: 88862, Defense: 85150, Current HP: 1540, A Avg: 111077, D Avg: 85150, [Impulse(166)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 919: HP: 1380, STR: 3326, VIT: 1378, SPD: 59, LUK: 1, Attack: 88866, Defense: 88179, Current HP: 1380, A Avg: 111082, D Avg: 88179, [Zodiac(184)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 1120, STR: 3315, VIT: 1275, SPD: 59, LUK: 1, Attack: 88868, Defense: 86503, Current HP: 1120, A Avg: 111085, D Avg: 86503, [Hammer of Justice(186)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 917: HP: 800, STR: 702, VIT: 251, SPD: 59, LUK: 1, Attack: 88869, Defense: 84114, Current HP: 800, A Avg: 111086, D Avg: 84114, [Basic(169)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 2500, STR: 3196, VIT: 159, SPD: 63, LUK: 1, Attack: 88879, Defense: 86947, Current HP: 2500, A Avg: 111098, D Avg: 86947, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 915: HP: 1420, STR: 4564, VIT: 350, SPD: 59, LUK: 1, Attack: 88882, Defense: 88178, Current HP: 1420, A Avg: 111102, D Avg: 88178, [Ruby Knuckle(151)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1956, STR: 3242, VIT: 1055, SPD: 59, LUK: 1, Attack: 88886, Defense: 86283, Current HP: 1956, A Avg: 111107, D Avg: 86283, [Gladius(162)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 913: HP: 740, STR: 3974, VIT: 159, SPD: 63, LUK: 1, Attack: 88903, Defense: 84295, Current HP: 740, A Avg: 111128, D Avg: 84295, [Jack Knife(185)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 912: HP: 1096, STR: 4491, VIT: 159, SPD: 59, LUK: 1, Attack: 88913, Defense: 87987, Current HP: 1096, A Avg: 111141, D Avg: 87987, [Dreaming Sword(128)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 911: HP: 1408, STR: 2876, VIT: 785, SPD: 56, LUK: 1, Attack: 88208, Defense: 88613, Current HP: 1408, A Avg: 111142, D Avg: 88613, [Tower(149)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 910: HP: 1584, STR: 2342, VIT: 2781, SPD: 56, LUK: 1, Attack: 88220, Defense: 90349, Current HP: 1584, A Avg: 111157, D Avg: 90349, [Blue Sword(180)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 909: HP: 1144, STR: 2688, VIT: 1112, SPD: 59, LUK: 1, Attack: 88228, Defense: 85456, Current HP: 1144, A Avg: 111167, D Avg: 85456, [Zodiac(184)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 908: HP: 1691, STR: 4438, VIT: 1067, SPD: 56, LUK: 1, Attack: 88938, Defense: 85931, Current HP: 1691, A Avg: 111172, D Avg: 85931, [Divine Dragon Sword(181)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 1320, STR: 2760, VIT: 696, SPD: 56, LUK: 1, Attack: 88235, Defense: 88524, Current HP: 1320, A Avg: 111176, D Avg: 88524, [Elemental(121)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 906: HP: 1584, STR: 1754, VIT: 2053, SPD: 59, LUK: 1, Attack: 88243, Defense: 86475, Current HP: 1584, A Avg: 111186, D Avg: 86475, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 905: HP: 968, STR: 2371, VIT: 1544, SPD: 56, LUK: 1, Attack: 88249, Defense: 86135, Current HP: 968, A Avg: 111193, D Avg: 86135, [Blue Sword(180)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 904: HP: 1342, STR: 2371, VIT: 1632, SPD: 56, LUK: 1, Attack: 88249, Defense: 88550, Current HP: 1342, A Avg: 111193, D Avg: 88550, [Blue Sword(180)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
