Rank 1000: HP: 414, STR: 224, VIT: 566, SPD: 16, LUK: 1, Attack: 86752, Defense: 87614, Current HP: 414, A Avg: 109307, D Avg: 87614, [Moon Knuckle(153)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 240, STR: 1915, VIT: 470, SPD: 17, LUK: 1, Attack: 87468, Defense: 88298, Current HP: 240, A Avg: 109335, D Avg: 88298, [Hammer of Justice(186)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 988: HP: 396, STR: 246, VIT: 345, SPD: 17, LUK: 1, Attack: 86774, Defense: 84370, Current HP: 396, A Avg: 109335, D Avg: 84370, [Moon Knuckle(153)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 374, STR: 899, VIT: 285, SPD: 16, LUK: 1, Attack: 86777, Defense: 84473, Current HP: 374, A Avg: 109339, D Avg: 84473, [Blue Sword(180)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 620, STR: 1789, VIT: 117, SPD: 17, LUK: 1, Attack: 87472, Defense: 87945, Current HP: 620, A Avg: 109340, D Avg: 87945, [Dancing(155)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 985: HP: 240, STR: 1596, VIT: 239, SPD: 17, LUK: 1, Attack: 87474, Defense: 84427, Current HP: 240, A Avg: 109342, D Avg: 84427, [Blue Sword(180)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 984: HP: 605, STR: 254, VIT: 386, SPD: 16, LUK: 1, Attack: 86782, Defense: 84626, Current HP: 605, A Avg: 109345, D Avg: 84626, [Moon Knuckle(153)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 547, STR: 259, VIT: 436, SPD: 16, LUK: 1, Attack: 86787, Defense: 86054, Current HP: 547, A Avg: 109351, D Avg: 86054, [Moon Knuckle(153)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 475, STR: 260, VIT: 629, SPD: 16, LUK: 1, Attack: 86788, Defense: 85467, Current HP: 475, A Avg: 109352, D Avg: 85467, [Moon Knuckle(153)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 440, STR: 1946, VIT: 270, SPD: 18, LUK: 1, Attack: 87486, Defense: 84614, Current HP: 440, A Avg: 109357, D Avg: 84614, [Zodiac(184)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 980: HP: 832, STR: 917, VIT: 478, SPD: 16, LUK: 1, Attack: 86795, Defense: 85212, Current HP: 832, A Avg: 109361, D Avg: 85212, [Blue Sword(180)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 479, STR: 270, VIT: 345, SPD: 16, LUK: 1, Attack: 86798, Defense: 84845, Current HP: 479, A Avg: 109365, D Avg: 84845, [Moon Knuckle(153)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 481, STR: 1054, VIT: 179, SPD: 16, LUK: 1, Attack: 86802, Defense: 88007, Current HP: 481, A Avg: 109370, D Avg: 88007, [Scythe of the Grim Reaper(148)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 605, STR: 276, VIT: 653, SPD: 16, LUK: 1, Attack: 86804, Defense: 87454, Current HP: 605, A Avg: 109373, D Avg: 87454, [Moon Knuckle(153)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 605, STR: 276, VIT: 410, SPD: 16, LUK: 1, Attack: 86804, Defense: 85274, Current HP: 605, A Avg: 109373, D Avg: 85274, [Moon Knuckle(153)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 517, STR: 276, VIT: 428, SPD: 17, LUK: 1, Attack: 86804, Defense: 84850, Current HP: 517, A Avg: 109373, D Avg: 84850, [Moon Knuckle(153)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 500, STR: 1022, VIT: 476, SPD: 17, LUK: 1, Attack: 87511, Defense: 84339, Current HP: 500, A Avg: 109388, D Avg: 84339, [Cuttlefish(178)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 973: HP: 638, STR: 944, VIT: 332, SPD: 17, LUK: 1, Attack: 86822, Defense: 84676, Current HP: 638, A Avg: 109395, D Avg: 84676, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 972: HP: 590, STR: 1173, VIT: 323, SPD: 17, LUK: 1, Attack: 87519, Defense: 85551, Current HP: 590, A Avg: 109398, D Avg: 85551, [Progress(147)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 260, STR: 999, VIT: 239, SPD: 17, LUK: 1, Attack: 87527, Defense: 84427, Current HP: 260, A Avg: 109408, D Avg: 84427, [Moon Knuckle(153)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 970: HP: 440, STR: 310, VIT: 504, SPD: 16, LUK: 1, Attack: 86838, Defense: 85095, Current HP: 440, A Avg: 109415, D Avg: 85095, [Moon Knuckle(153)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 969: HP: 539, STR: 310, VIT: 527, SPD: 16, LUK: 1, Attack: 86838, Defense: 87445, Current HP: 539, A Avg: 109415, D Avg: 87445, [Moon Knuckle(153)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 968: HP: 460, STR: 1193, VIT: 241, SPD: 18, LUK: 1, Attack: 87539, Defense: 84377, Current HP: 460, A Avg: 109423, D Avg: 84377, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 967: HP: 856, STR: 1898, VIT: 294, SPD: 18, LUK: 1, Attack: 87542, Defense: 87082, Current HP: 856, A Avg: 109427, D Avg: 87082, [Gladius(162)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 594, STR: 1055, VIT: 499, SPD: 17, LUK: 1, Attack: 87544, Defense: 84505, Current HP: 594, A Avg: 109430, D Avg: 84505, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 965: HP: 476, STR: 1912, VIT: 294, SPD: 17, LUK: 1, Attack: 87556, Defense: 88122, Current HP: 476, A Avg: 109445, D Avg: 88122, [Gladius(162)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 964: HP: 418, STR: 334, VIT: 322, SPD: 16, LUK: 1, Attack: 86862, Defense: 84185, Current HP: 418, A Avg: 109446, D Avg: 84185, [Moon Knuckle(153)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 963: HP: 374, STR: 985, VIT: 285, SPD: 17, LUK: 1, Attack: 86863, Defense: 84421, Current HP: 374, A Avg: 109447, D Avg: 84421, [Blue Sword(180)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 962: HP: 630, STR: 1072, VIT: 491, SPD: 17, LUK: 1, Attack: 87561, Defense: 84380, Current HP: 630, A Avg: 109451, D Avg: 84380, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 961: HP: 616, STR: 533, VIT: 288, SPD: 16, LUK: 1, Attack: 86879, Defense: 84476, Current HP: 616, A Avg: 109467, D Avg: 84476, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 960: HP: 945, STR: 1088, VIT: 646, SPD: 17, LUK: 1, Attack: 87577, Defense: 86758, Current HP: 945, A Avg: 109471, D Avg: 86758, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 521, STR: 355, VIT: 358, SPD: 16, LUK: 1, Attack: 86883, Defense: 84364, Current HP: 521, A Avg: 109472, D Avg: 84364, [Moon Knuckle(153)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 958: HP: 517, STR: 1008, VIT: 410, SPD: 16, LUK: 1, Attack: 86886, Defense: 85638, Current HP: 517, A Avg: 109476, D Avg: 85638, [Blue Sword(180)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 957: HP: 480, STR: 1703, VIT: 270, SPD: 18, LUK: 1, Attack: 87581, Defense: 84614, Current HP: 480, A Avg: 109476, D Avg: 84614, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 1012, STR: 1348, VIT: 332, SPD: 17, LUK: 1, Attack: 86888, Defense: 87120, Current HP: 1012, A Avg: 109478, D Avg: 87120, [Zodiac(184)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 955: HP: 718, STR: 1838, VIT: 170, SPD: 18, LUK: 1, Attack: 87586, Defense: 86958, Current HP: 718, A Avg: 109482, D Avg: 86958, [Scythe of the Grim Reaper(148)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 414, STR: 363, VIT: 839, SPD: 16, LUK: 1, Attack: 86891, Defense: 87627, Current HP: 414, A Avg: 109482, D Avg: 87627, [Moon Knuckle(153)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 953: HP: 561, STR: 365, VIT: 345, SPD: 16, LUK: 1, Attack: 86893, Defense: 84234, Current HP: 561, A Avg: 109485, D Avg: 84234, [Moon Knuckle(153)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 952: HP: 620, STR: 1949, VIT: 423, SPD: 18, LUK: 1, Attack: 87593, Defense: 87211, Current HP: 620, A Avg: 109491, D Avg: 87211, [Portal Sword(176)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 1034, STR: 656, VIT: 98, SPD: 17, LUK: 1, Attack: 86898, Defense: 84442, Current HP: 1034, A Avg: 109491, D Avg: 84442, [Droid Hammer(177)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 950: HP: 338, STR: 1850, VIT: 170, SPD: 17, LUK: 1, Attack: 87598, Defense: 87998, Current HP: 338, A Avg: 109497, D Avg: 87998, [Scythe of the Grim Reaper(148)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 897, STR: 376, VIT: 582, SPD: 16, LUK: 1, Attack: 86904, Defense: 86694, Current HP: 897, A Avg: 109499, D Avg: 86694, [Moon Knuckle(153)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 948: HP: 880, STR: 1115, VIT: 829, SPD: 17, LUK: 1, Attack: 87604, Defense: 85823, Current HP: 880, A Avg: 109505, D Avg: 85823, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 240, STR: 1965, VIT: 423, SPD: 17, LUK: 1, Attack: 87609, Defense: 88251, Current HP: 240, A Avg: 109511, D Avg: 88251, [Portal Sword(176)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 667, STR: 427, VIT: 610, SPD: 16, LUK: 1, Attack: 86916, Defense: 84333, Current HP: 667, A Avg: 109514, D Avg: 84333, [Cuttlefish(178)[0, 0, 0], Pot Lid(201)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 945: HP: 667, STR: 427, VIT: 610, SPD: 16, LUK: 1, Attack: 86916, Defense: 84343, Current HP: 667, A Avg: 109514, D Avg: 84343, [Cuttlefish(178)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 944: HP: 638, STR: 427, VIT: 648, SPD: 16, LUK: 1, Attack: 86916, Defense: 84517, Current HP: 638, A Avg: 109514, D Avg: 84517, [Cuttlefish(178)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 943: HP: 638, STR: 427, VIT: 656, SPD: 16, LUK: 1, Attack: 86916, Defense: 84460, Current HP: 638, A Avg: 109514, D Avg: 84460, [Cuttlefish(178)[0, 0, 0], Iron Shield(204)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 942: HP: 638, STR: 427, VIT: 658, SPD: 16, LUK: 1, Attack: 86916, Defense: 84521, Current HP: 638, A Avg: 109514, D Avg: 84521, [Cuttlefish(178)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 941: HP: 638, STR: 427, VIT: 685, SPD: 16, LUK: 1, Attack: 86916, Defense: 84574, Current HP: 638, A Avg: 109514, D Avg: 84574, [Cuttlefish(178)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 940: HP: 667, STR: 427, VIT: 670, SPD: 16, LUK: 1, Attack: 86916, Defense: 84546, Current HP: 667, A Avg: 109514, D Avg: 84546, [Cuttlefish(178)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 939: HP: 759, STR: 427, VIT: 707, SPD: 16, LUK: 1, Attack: 86916, Defense: 84544, Current HP: 759, A Avg: 109514, D Avg: 84544, [Cuttlefish(178)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 736, STR: 427, VIT: 647, SPD: 16, LUK: 1, Attack: 86916, Defense: 84419, Current HP: 736, A Avg: 109514, D Avg: 84419, [Cuttlefish(178)[0, 0, 0], Clear Shield(211)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 937: HP: 782, STR: 427, VIT: 670, SPD: 16, LUK: 1, Attack: 86916, Defense: 84689, Current HP: 782, A Avg: 109514, D Avg: 84689, [Cuttlefish(178)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 936: HP: 726, STR: 427, VIT: 672, SPD: 16, LUK: 1, Attack: 86916, Defense: 84600, Current HP: 726, A Avg: 109514, D Avg: 84600, [Cuttlefish(178)[0, 0, 0], Tower Shield(213)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 935: HP: 926, STR: 427, VIT: 753, SPD: 16, LUK: 1, Attack: 86916, Defense: 85315, Current HP: 926, A Avg: 109514, D Avg: 85315, [Cuttlefish(178)[0, 0, 0], Slime Shield(221)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 934: HP: 840, STR: 427, VIT: 658, SPD: 16, LUK: 1, Attack: 86916, Defense: 84586, Current HP: 840, A Avg: 109514, D Avg: 84586, [Cuttlefish(178)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 933: HP: 667, STR: 427, VIT: 1164, SPD: 16, LUK: 1, Attack: 86916, Defense: 87952, Current HP: 667, A Avg: 109514, D Avg: 87952, [Cuttlefish(178)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 932: HP: 2035, STR: 427, VIT: 634, SPD: 16, LUK: 1, Attack: 86916, Defense: 86551, Current HP: 2035, A Avg: 109514, D Avg: 86551, [Cuttlefish(178)[0, 0, 0], Frying Pan(231)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 931: HP: 1108, STR: 427, VIT: 803, SPD: 16, LUK: 1, Attack: 86916, Defense: 85537, Current HP: 1108, A Avg: 109514, D Avg: 85537, [Cuttlefish(178)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 930: HP: 931, STR: 427, VIT: 753, SPD: 16, LUK: 1, Attack: 86916, Defense: 86228, Current HP: 931, A Avg: 109514, D Avg: 86228, [Cuttlefish(178)[0, 0, 0], Mist Shield(233)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 929: HP: 858, STR: 427, VIT: 877, SPD: 16, LUK: 1, Attack: 86916, Defense: 85845, Current HP: 858, A Avg: 109514, D Avg: 85845, [Cuttlefish(178)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 928: HP: 770, STR: 427, VIT: 1026, SPD: 16, LUK: 1, Attack: 86916, Defense: 87866, Current HP: 770, A Avg: 109514, D Avg: 87866, [Cuttlefish(178)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 927: HP: 977, STR: 427, VIT: 821, SPD: 16, LUK: 1, Attack: 86916, Defense: 88246, Current HP: 977, A Avg: 109514, D Avg: 88246, [Cuttlefish(178)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 926: HP: 638, STR: 427, VIT: 610, SPD: 16, LUK: 1, Attack: 86916, Defense: 87399, Current HP: 638, A Avg: 109514, D Avg: 87399, [Cuttlefish(178)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 925: HP: 638, STR: 427, VIT: 1078, SPD: 16, LUK: 1, Attack: 86916, Defense: 90856, Current HP: 638, A Avg: 109514, D Avg: 90856, [Cuttlefish(178)[0, 0, 0], Blank Shield(244)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 924: HP: 1188, STR: 427, VIT: 1512, SPD: 16, LUK: 1, Attack: 86916, Defense: 88300, Current HP: 1188, A Avg: 109514, D Avg: 88300, [Cuttlefish(178)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 923: HP: 968, STR: 427, VIT: 824, SPD: 17, LUK: 1, Attack: 86916, Defense: 86702, Current HP: 968, A Avg: 109514, D Avg: 86702, [Cuttlefish(178)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 922: HP: 1139, STR: 427, VIT: 915, SPD: 16, LUK: 1, Attack: 86916, Defense: 87131, Current HP: 1139, A Avg: 109514, D Avg: 87131, [Cuttlefish(178)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 921: HP: 1127, STR: 427, VIT: 1224, SPD: 16, LUK: 1, Attack: 86916, Defense: 88259, Current HP: 1127, A Avg: 109514, D Avg: 88259, [Cuttlefish(178)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 920: HP: 667, STR: 427, VIT: 891, SPD: 16, LUK: 1, Attack: 86916, Defense: 87939, Current HP: 667, A Avg: 109514, D Avg: 87939, [Cuttlefish(178)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 919: HP: 836, STR: 392, VIT: 823, SPD: 16, LUK: 1, Attack: 86920, Defense: 85817, Current HP: 836, A Avg: 109519, D Avg: 85817, [Moon Knuckle(153)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 918: HP: 785, STR: 443, VIT: 720, SPD: 16, LUK: 1, Attack: 86932, Defense: 84661, Current HP: 785, A Avg: 109534, D Avg: 84661, [Cuttlefish(178)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 917: HP: 1080, STR: 1142, VIT: 1021, SPD: 17, LUK: 1, Attack: 87631, Defense: 88589, Current HP: 1080, A Avg: 109538, D Avg: 88589, [Cuttlefish(178)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 1056, STR: 408, VIT: 1156, SPD: 16, LUK: 1, Attack: 86936, Defense: 88724, Current HP: 1056, A Avg: 109539, D Avg: 88724, [Moon Knuckle(153)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 915: HP: 638, STR: 449, VIT: 670, SPD: 17, LUK: 1, Attack: 86938, Defense: 84695, Current HP: 638, A Avg: 109541, D Avg: 84695, [Cuttlefish(178)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 914: HP: 594, STR: 1399, VIT: 332, SPD: 16, LUK: 1, Attack: 86939, Defense: 88160, Current HP: 594, A Avg: 109543, D Avg: 88160, [Zodiac(184)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 913: HP: 660, STR: 453, VIT: 670, SPD: 16, LUK: 1, Attack: 86942, Defense: 84676, Current HP: 660, A Avg: 109546, D Avg: 84676, [Cuttlefish(178)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 912: HP: 638, STR: 453, VIT: 1780, SPD: 16, LUK: 1, Attack: 86942, Defense: 87450, Current HP: 638, A Avg: 109546, D Avg: 87450, [Cuttlefish(178)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 911: HP: 847, STR: 457, VIT: 723, SPD: 16, LUK: 1, Attack: 86946, Defense: 84963, Current HP: 847, A Avg: 109551, D Avg: 84963, [Cuttlefish(178)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 910: HP: 800, STR: 462, VIT: 761, SPD: 16, LUK: 1, Attack: 86951, Defense: 86379, Current HP: 800, A Avg: 109558, D Avg: 86379, [Cuttlefish(178)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 909: HP: 717, STR: 464, VIT: 966, SPD: 16, LUK: 1, Attack: 86953, Defense: 85804, Current HP: 717, A Avg: 109560, D Avg: 85804, [Cuttlefish(178)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 908: HP: 240, STR: 1773, VIT: 239, SPD: 18, LUK: 1, Attack: 87651, Defense: 84375, Current HP: 240, A Avg: 109563, D Avg: 84375, [Blue Sword(180)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 370, STR: 1775, VIT: 321, SPD: 17, LUK: 1, Attack: 87653, Defense: 85549, Current HP: 370, A Avg: 109566, D Avg: 85549, [Blue Sword(180)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 252, STR: 604, VIT: 117, SPD: 17, LUK: 1, Attack: 87655, Defense: 83840, Current HP: 252, A Avg: 109568, D Avg: 83840, [Tekken(188)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 252, STR: 604, VIT: 117, SPD: 17, LUK: 1, Attack: 87655, Defense: 83850, Current HP: 252, A Avg: 109568, D Avg: 83850, [Tekken(188)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 240, STR: 604, VIT: 133, SPD: 17, LUK: 1, Attack: 87655, Defense: 84002, Current HP: 240, A Avg: 109568, D Avg: 84002, [Tekken(188)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 903: HP: 240, STR: 604, VIT: 138, SPD: 17, LUK: 1, Attack: 87655, Defense: 83942, Current HP: 240, A Avg: 109568, D Avg: 83942, [Tekken(188)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
