Rank 1000: HP: 1064, STR: 288928, VIT: 539, SPD: 42, LUK: 1, Attack: 374897, Defense: 86417, Current HP: 1064, A Avg: 997226, D Avg: 86417, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 965: HP: 1121, STR: 288912, VIT: 456, SPD: 40, LUK: 1, Attack: 375258, Defense: 84462, Current HP: 1121, A Avg: 998186, D Avg: 84462, [Progress(147)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 964: HP: 1102, STR: 288912, VIT: 2291, SPD: 40, LUK: 1, Attack: 375258, Defense: 87961, Current HP: 1102, A Avg: 998186, D Avg: 87961, [Progress(147)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 963: HP: 2156, STR: 290228, VIT: 1044, SPD: 47, LUK: 1, Attack: 375271, Defense: 87156, Current HP: 2156, A Avg: 998220, D Avg: 87156, [White Snake(160)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 962: HP: 1254, STR: 291276, VIT: 208, SPD: 42, LUK: 1, Attack: 375276, Defense: 86996, Current HP: 1254, A Avg: 998234, D Avg: 86996, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 961: HP: 1159, STR: 291276, VIT: 192, SPD: 42, LUK: 1, Attack: 375276, Defense: 86980, Current HP: 1159, A Avg: 998234, D Avg: 86980, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 960: HP: 1254, STR: 291276, VIT: 284, SPD: 42, LUK: 1, Attack: 375276, Defense: 87072, Current HP: 1254, A Avg: 998234, D Avg: 87072, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 959: HP: 1254, STR: 291276, VIT: 208, SPD: 42, LUK: 1, Attack: 375276, Defense: 86996, Current HP: 1254, A Avg: 998234, D Avg: 86996, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 958: HP: 2964, STR: 289454, VIT: 516, SPD: 40, LUK: 1, Attack: 375306, Defense: 86433, Current HP: 2964, A Avg: 998313, D Avg: 86433, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 957: HP: 1744, STR: 290264, VIT: 1222, SPD: 47, LUK: 1, Attack: 375307, Defense: 86216, Current HP: 1744, A Avg: 998316, D Avg: 86216, [White Snake(160)[230, 230, 230], Metalization(228)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 956: HP: 1542, STR: 406817, VIT: 260, SPD: 42, LUK: 1, Attack: 491783, Defense: 87048, Current HP: 1542, A Avg: 998319, D Avg: 87048, [Red Shark(134)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 955: HP: 627, STR: 291441, VIT: 86, SPD: 40, LUK: 1, Attack: 375330, Defense: 87914, Current HP: 627, A Avg: 998377, D Avg: 87914, [Iron Lumps(108)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 954: HP: 617, STR: 291354, VIT: 86, SPD: 40, LUK: 1, Attack: 375347, Defense: 87914, Current HP: 617, A Avg: 998423, D Avg: 87914, [Sword of Wood(124)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 953: HP: 1083, STR: 405346, VIT: 998, SPD: 42, LUK: 1, Attack: 491835, Defense: 85420, Current HP: 1083, A Avg: 998425, D Avg: 85420, [Cuttlefish(178)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 952: HP: 1269, STR: 290307, VIT: 539, SPD: 40, LUK: 1, Attack: 375350, Defense: 85767, Current HP: 1269, A Avg: 998430, D Avg: 85767, [White Snake(160)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 951: HP: 646, STR: 288828, VIT: 478, SPD: 40, LUK: 1, Attack: 375356, Defense: 84484, Current HP: 646, A Avg: 998446, D Avg: 84484, [Moon Knuckle(153)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 950: HP: 627, STR: 288828, VIT: 2313, SPD: 40, LUK: 1, Attack: 375356, Defense: 87983, Current HP: 627, A Avg: 998446, D Avg: 87983, [Moon Knuckle(153)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 949: HP: 1231, STR: 289014, VIT: 456, SPD: 40, LUK: 1, Attack: 375360, Defense: 84956, Current HP: 1231, A Avg: 998457, D Avg: 84956, [Progress(147)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 948: HP: 1520, STR: 289432, VIT: 923, SPD: 50, LUK: 1, Attack: 375401, Defense: 86801, Current HP: 1520, A Avg: 998566, D Avg: 86801, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 947: HP: 1501, STR: 291294, VIT: 208, SPD: 42, LUK: 1, Attack: 375415, Defense: 86996, Current HP: 1501, A Avg: 998603, D Avg: 86996, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 946: HP: 1406, STR: 291294, VIT: 192, SPD: 42, LUK: 1, Attack: 375415, Defense: 86980, Current HP: 1406, A Avg: 998603, D Avg: 86980, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 945: HP: 1501, STR: 291294, VIT: 284, SPD: 42, LUK: 1, Attack: 375415, Defense: 87072, Current HP: 1501, A Avg: 998603, D Avg: 87072, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 944: HP: 1501, STR: 291294, VIT: 208, SPD: 42, LUK: 1, Attack: 375415, Defense: 86996, Current HP: 1501, A Avg: 998603, D Avg: 86996, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 943: HP: 1159, STR: 291420, VIT: 256, SPD: 42, LUK: 1, Attack: 375420, Defense: 87044, Current HP: 1159, A Avg: 998617, D Avg: 87044, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 942: HP: 1159, STR: 291420, VIT: 256, SPD: 42, LUK: 1, Attack: 375420, Defense: 87044, Current HP: 1159, A Avg: 998617, D Avg: 87044, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 941: HP: 617, STR: 291441, VIT: 86, SPD: 40, LUK: 1, Attack: 375440, Defense: 87914, Current HP: 617, A Avg: 998670, D Avg: 87914, [Greatsword(127)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 940: HP: 756, STR: 288930, VIT: 478, SPD: 40, LUK: 1, Attack: 375458, Defense: 84978, Current HP: 756, A Avg: 998718, D Avg: 84978, [Moon Knuckle(153)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 939: HP: 1387, STR: 291463, VIT: 291, SPD: 42, LUK: 1, Attack: 375463, Defense: 87079, Current HP: 1387, A Avg: 998731, D Avg: 87079, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 938: HP: 855, STR: 289602, VIT: 555, SPD: 40, LUK: 1, Attack: 375480, Defense: 84561, Current HP: 855, A Avg: 998776, D Avg: 84561, [God Hand(179)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 937: HP: 627, STR: 291513, VIT: 86, SPD: 40, LUK: 1, Attack: 375519, Defense: 87914, Current HP: 627, A Avg: 998880, D Avg: 87914, [Great Iron Mass(122)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 936: HP: 560, STR: 288993, VIT: 886, SPD: 40, LUK: 1, Attack: 375521, Defense: 87674, Current HP: 560, A Avg: 998885, D Avg: 87674, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 935: HP: 660, STR: 288993, VIT: 979, SPD: 40, LUK: 1, Attack: 375521, Defense: 87767, Current HP: 660, A Avg: 998885, D Avg: 87767, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 934: HP: 1564, STR: 289792, VIT: 796, SPD: 47, LUK: 1, Attack: 375540, Defense: 86414, Current HP: 1564, A Avg: 998936, D Avg: 86414, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 933: HP: 1672, STR: 289212, VIT: 1267, SPD: 40, LUK: 1, Attack: 375558, Defense: 88835, Current HP: 1672, A Avg: 998984, D Avg: 88835, [Progress(147)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 932: HP: 1406, STR: 291438, VIT: 256, SPD: 42, LUK: 1, Attack: 375559, Defense: 87044, Current HP: 1406, A Avg: 998986, D Avg: 87044, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 931: HP: 1406, STR: 291438, VIT: 256, SPD: 42, LUK: 1, Attack: 375559, Defense: 87044, Current HP: 1406, A Avg: 998986, D Avg: 87044, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 930: HP: 1178, STR: 289320, VIT: 86, SPD: 40, LUK: 1, Attack: 375562, Defense: 84274, Current HP: 1178, A Avg: 998994, D Avg: 84274, [Droid Hammer(177)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 929: HP: 1121, STR: 289218, VIT: 417, SPD: 40, LUK: 1, Attack: 375564, Defense: 84280, Current HP: 1121, A Avg: 999000, D Avg: 84280, [Progress(147)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 928: HP: 1406, STR: 407622, VIT: 761, SPD: 40, LUK: 1, Attack: 492122, Defense: 85625, Current HP: 1406, A Avg: 999007, D Avg: 85625, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 927: HP: 1197, STR: 290244, VIT: 505, SPD: 40, LUK: 1, Attack: 375576, Defense: 85733, Current HP: 1197, A Avg: 999032, D Avg: 85733, [Tower(149)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 926: HP: 965, STR: 289704, VIT: 555, SPD: 40, LUK: 1, Attack: 375582, Defense: 85055, Current HP: 965, A Avg: 999048, D Avg: 85055, [God Hand(179)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 925: HP: 608, STR: 290040, VIT: 707, SPD: 40, LUK: 1, Attack: 375593, Defense: 84895, Current HP: 608, A Avg: 999077, D Avg: 84895, [Hammer of Justice(186)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 924: HP: 1634, STR: 291481, VIT: 291, SPD: 42, LUK: 1, Attack: 375602, Defense: 87079, Current HP: 1634, A Avg: 999101, D Avg: 87079, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 923: HP: 608, STR: 407425, VIT: 624, SPD: 42, LUK: 1, Attack: 492213, Defense: 84968, Current HP: 608, A Avg: 999192, D Avg: 84968, [Pulse Knife(165)[230, 230, 230], V Magnum(238)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 922: HP: 1197, STR: 289128, VIT: 1289, SPD: 40, LUK: 1, Attack: 375656, Defense: 88857, Current HP: 1197, A Avg: 999244, D Avg: 88857, [Moon Knuckle(153)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 921: HP: 646, STR: 289134, VIT: 440, SPD: 40, LUK: 1, Attack: 375662, Defense: 84303, Current HP: 646, A Avg: 999260, D Avg: 84303, [Moon Knuckle(153)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 920: HP: 560, STR: 289137, VIT: 950, SPD: 40, LUK: 1, Attack: 375665, Defense: 87738, Current HP: 560, A Avg: 999268, D Avg: 87738, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 919: HP: 560, STR: 289137, VIT: 950, SPD: 40, LUK: 1, Attack: 375665, Defense: 87738, Current HP: 560, A Avg: 999268, D Avg: 87738, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 918: HP: 874, STR: 291585, VIT: 209, SPD: 40, LUK: 1, Attack: 375695, Defense: 88037, Current HP: 874, A Avg: 999348, D Avg: 88037, [Serpent(144)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 917: HP: 1216, STR: 290876, VIT: 608, SPD: 50, LUK: 1, Attack: 375701, Defense: 84744, Current HP: 1216, A Avg: 999364, D Avg: 84744, [Kraken(145)[230, 230, 230], Magnum(237)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 916: HP: 946, STR: 291672, VIT: 259, SPD: 40, LUK: 1, Attack: 375704, Defense: 88087, Current HP: 946, A Avg: 999372, D Avg: 88087, [Alucard(146)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 915: HP: 1387, STR: 289362, VIT: 456, SPD: 40, LUK: 1, Attack: 375708, Defense: 84345, Current HP: 1387, A Avg: 999383, D Avg: 84345, [Progress(147)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 914: HP: 800, STR: 289180, VIT: 985, SPD: 40, LUK: 1, Attack: 375708, Defense: 87773, Current HP: 800, A Avg: 999383, D Avg: 87773, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 913: HP: 1178, STR: 406988, VIT: 710, SPD: 42, LUK: 1, Attack: 492322, Defense: 84846, Current HP: 1178, A Avg: 999413, D Avg: 84846, [Impulse(166)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 912: HP: 740, STR: 406786, VIT: 438, SPD: 40, LUK: 1, Attack: 492326, Defense: 84161, Current HP: 740, A Avg: 999421, D Avg: 84161, [Zodiac(184)[230, 230, 230], Pot Lid(201)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 911: HP: 740, STR: 406786, VIT: 438, SPD: 40, LUK: 1, Attack: 492326, Defense: 84171, Current HP: 740, A Avg: 999421, D Avg: 84171, [Zodiac(184)[230, 230, 230], High Pot Lid(202)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 910: HP: 703, STR: 406786, VIT: 474, SPD: 40, LUK: 1, Attack: 492326, Defense: 84343, Current HP: 703, A Avg: 999421, D Avg: 84343, [Zodiac(184)[230, 230, 230], Wooden Shield(203)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 909: HP: 703, STR: 406786, VIT: 479, SPD: 40, LUK: 1, Attack: 492326, Defense: 84283, Current HP: 703, A Avg: 999421, D Avg: 84283, [Zodiac(184)[230, 230, 230], Iron Shield(204)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 908: HP: 703, STR: 406786, VIT: 506, SPD: 40, LUK: 1, Attack: 492326, Defense: 84369, Current HP: 703, A Avg: 999421, D Avg: 84369, [Zodiac(184)[230, 230, 230], Titanium Shield(205)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 907: HP: 703, STR: 406786, VIT: 523, SPD: 40, LUK: 1, Attack: 492326, Defense: 84412, Current HP: 703, A Avg: 999421, D Avg: 84412, [Zodiac(184)[230, 230, 230], Large iron Shield(206)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 906: HP: 740, STR: 406786, VIT: 523, SPD: 40, LUK: 1, Attack: 492326, Defense: 84399, Current HP: 740, A Avg: 999421, D Avg: 84399, [Zodiac(184)[230, 230, 230], Magic Shield(207)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 905: HP: 950, STR: 406786, VIT: 588, SPD: 40, LUK: 1, Attack: 492326, Defense: 84425, Current HP: 950, A Avg: 999421, D Avg: 84425, [Zodiac(184)[230, 230, 230], Emerald Shield(209)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 904: HP: 800, STR: 406786, VIT: 484, SPD: 40, LUK: 1, Attack: 492326, Defense: 84256, Current HP: 800, A Avg: 999421, D Avg: 84256, [Zodiac(184)[230, 230, 230], Clear Shield(211)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 903: HP: 840, STR: 406786, VIT: 523, SPD: 40, LUK: 1, Attack: 492326, Defense: 84542, Current HP: 840, A Avg: 999421, D Avg: 84542, [Zodiac(184)[230, 230, 230], Prism Shield(212)[230, 230, 230], Ring of power(314)[67, 68, 807]]
