Rank 1000: HP: 950, STR: 5437, VIT: 193, SPD: 76, LUK: 1, Attack: 89336, Defense: 88021, Current HP: 950, A Avg: 111670, D Avg: 88021, [Sylph(119)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 989: HP: 1531, STR: 2785, VIT: 2235, SPD: 72, LUK: 1, Attack: 88663, Defense: 87073, Current HP: 1531, A Avg: 111715, D Avg: 87073, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 1166, STR: 2801, VIT: 1437, SPD: 72, LUK: 1, Attack: 88679, Defense: 85443, Current HP: 1166, A Avg: 111735, D Avg: 85443, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 1144, STR: 2801, VIT: 6915, SPD: 72, LUK: 1, Attack: 88679, Defense: 92585, Current HP: 1144, A Avg: 111735, D Avg: 92585, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 1738, STR: 2801, VIT: 1733, SPD: 72, LUK: 1, Attack: 88679, Defense: 86597, Current HP: 1738, A Avg: 111735, D Avg: 86597, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 1650, STR: 2801, VIT: 1793, SPD: 76, LUK: 1, Attack: 88679, Defense: 86215, Current HP: 1650, A Avg: 111735, D Avg: 86215, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 984: HP: 1408, STR: 2198, VIT: 1975, SPD: 76, LUK: 1, Attack: 88687, Defense: 86319, Current HP: 1408, A Avg: 111745, D Avg: 86319, [Cuttlefish(178)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 1408, STR: 2811, VIT: 1424, SPD: 72, LUK: 1, Attack: 88689, Defense: 85612, Current HP: 1408, A Avg: 111748, D Avg: 85612, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 2124, STR: 4478, VIT: 710, SPD: 72, LUK: 1, Attack: 89407, Defense: 86926, Current HP: 2124, A Avg: 111758, D Avg: 86926, [Jack Knife(185)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 981: HP: 1197, STR: 3871, VIT: 924, SPD: 76, LUK: 1, Attack: 89411, Defense: 84647, Current HP: 1197, A Avg: 111763, D Avg: 84647, [Zodiac(184)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 980: HP: 1197, STR: 3871, VIT: 924, SPD: 76, LUK: 1, Attack: 89411, Defense: 84657, Current HP: 1197, A Avg: 111763, D Avg: 84657, [Zodiac(184)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 979: HP: 1140, STR: 3871, VIT: 988, SPD: 76, LUK: 1, Attack: 89411, Defense: 84857, Current HP: 1140, A Avg: 111763, D Avg: 84857, [Zodiac(184)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 978: HP: 1140, STR: 3871, VIT: 993, SPD: 76, LUK: 1, Attack: 89411, Defense: 84797, Current HP: 1140, A Avg: 111763, D Avg: 84797, [Zodiac(184)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 977: HP: 1140, STR: 3871, VIT: 1058, SPD: 76, LUK: 1, Attack: 89411, Defense: 84921, Current HP: 1140, A Avg: 111763, D Avg: 84921, [Zodiac(184)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 976: HP: 1140, STR: 3871, VIT: 1076, SPD: 76, LUK: 1, Attack: 89411, Defense: 84965, Current HP: 1140, A Avg: 111763, D Avg: 84965, [Zodiac(184)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 975: HP: 1197, STR: 3871, VIT: 1082, SPD: 76, LUK: 1, Attack: 89411, Defense: 84958, Current HP: 1197, A Avg: 111763, D Avg: 84958, [Zodiac(184)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 974: HP: 1600, STR: 3871, VIT: 1216, SPD: 76, LUK: 1, Attack: 89411, Defense: 85053, Current HP: 1600, A Avg: 111763, D Avg: 85053, [Zodiac(184)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 973: HP: 1260, STR: 3871, VIT: 1008, SPD: 76, LUK: 1, Attack: 89411, Defense: 84780, Current HP: 1260, A Avg: 111763, D Avg: 84780, [Zodiac(184)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 972: HP: 1302, STR: 3871, VIT: 1082, SPD: 76, LUK: 1, Attack: 89411, Defense: 85101, Current HP: 1302, A Avg: 111763, D Avg: 85101, [Zodiac(184)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 1220, STR: 3871, VIT: 1067, SPD: 76, LUK: 1, Attack: 89411, Defense: 84995, Current HP: 1220, A Avg: 111763, D Avg: 84995, [Zodiac(184)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 970: HP: 1948, STR: 3871, VIT: 1315, SPD: 76, LUK: 1, Attack: 89411, Defense: 85877, Current HP: 1948, A Avg: 111763, D Avg: 85877, [Zodiac(184)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 969: HP: 1884, STR: 3871, VIT: 1058, SPD: 76, LUK: 1, Attack: 89411, Defense: 84986, Current HP: 1884, A Avg: 111763, D Avg: 84986, [Zodiac(184)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 968: HP: 1197, STR: 3871, VIT: 1703, SPD: 76, LUK: 1, Attack: 89411, Defense: 88491, Current HP: 1197, A Avg: 111763, D Avg: 88491, [Zodiac(184)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 967: HP: 3460, STR: 3871, VIT: 979, SPD: 76, LUK: 1, Attack: 89411, Defense: 86896, Current HP: 3460, A Avg: 111763, D Avg: 86896, [Zodiac(184)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 2188, STR: 3871, VIT: 1407, SPD: 76, LUK: 1, Attack: 89411, Defense: 86141, Current HP: 2188, A Avg: 111763, D Avg: 86141, [Zodiac(184)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 965: HP: 1806, STR: 3871, VIT: 1315, SPD: 76, LUK: 1, Attack: 89411, Defense: 86790, Current HP: 1806, A Avg: 111763, D Avg: 86790, [Zodiac(184)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 964: HP: 1340, STR: 3871, VIT: 1771, SPD: 76, LUK: 1, Attack: 89411, Defense: 86739, Current HP: 1340, A Avg: 111763, D Avg: 86739, [Zodiac(184)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 963: HP: 1260, STR: 3871, VIT: 1791, SPD: 76, LUK: 1, Attack: 89411, Defense: 88631, Current HP: 1260, A Avg: 111763, D Avg: 88631, [Zodiac(184)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 962: HP: 2583, STR: 3871, VIT: 1598, SPD: 76, LUK: 1, Attack: 89411, Defense: 89023, Current HP: 2583, A Avg: 111763, D Avg: 89023, [Zodiac(184)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 961: HP: 1140, STR: 3871, VIT: 924, SPD: 76, LUK: 1, Attack: 89411, Defense: 87713, Current HP: 1140, A Avg: 111763, D Avg: 87713, [Zodiac(184)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 1140, STR: 3871, VIT: 2420, SPD: 76, LUK: 1, Attack: 89411, Defense: 92198, Current HP: 1140, A Avg: 111763, D Avg: 92198, [Zodiac(184)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 1640, STR: 3871, VIT: 3139, SPD: 76, LUK: 1, Attack: 89411, Defense: 89927, Current HP: 1640, A Avg: 111763, D Avg: 89927, [Zodiac(184)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 1440, STR: 3871, VIT: 1540, SPD: 81, LUK: 1, Attack: 89411, Defense: 87418, Current HP: 1440, A Avg: 111763, D Avg: 87418, [Zodiac(184)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 2436, STR: 3871, VIT: 1544, SPD: 76, LUK: 1, Attack: 89411, Defense: 87760, Current HP: 2436, A Avg: 111763, D Avg: 87760, [Zodiac(184)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 1617, STR: 3871, VIT: 1564, SPD: 76, LUK: 1, Attack: 89411, Defense: 88599, Current HP: 1617, A Avg: 111763, D Avg: 88599, [Zodiac(184)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 1197, STR: 3871, VIT: 1822, SPD: 76, LUK: 1, Attack: 89411, Defense: 88870, Current HP: 1197, A Avg: 111763, D Avg: 88870, [Zodiac(184)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 2620, STR: 3169, VIT: 176, SPD: 81, LUK: 1, Attack: 89411, Defense: 86964, Current HP: 2620, A Avg: 111763, D Avg: 86964, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 3128, STR: 3741, VIT: 642, SPD: 76, LUK: 1, Attack: 88707, Defense: 87430, Current HP: 3128, A Avg: 111770, D Avg: 87430, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 952: HP: 6716, STR: 2899, VIT: 998, SPD: 72, LUK: 1, Attack: 88712, Defense: 84721, Current HP: 6716, A Avg: 111777, D Avg: 84721, [Spear of Regression(182)[0, 0, 0], Pot Lid(201)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 951: HP: 6716, STR: 2899, VIT: 998, SPD: 72, LUK: 1, Attack: 88712, Defense: 84731, Current HP: 6716, A Avg: 111777, D Avg: 84731, [Spear of Regression(182)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 950: HP: 6424, STR: 2899, VIT: 1050, SPD: 72, LUK: 1, Attack: 88712, Defense: 84919, Current HP: 6424, A Avg: 111777, D Avg: 84919, [Spear of Regression(182)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 949: HP: 6424, STR: 2899, VIT: 1058, SPD: 72, LUK: 1, Attack: 88712, Defense: 84862, Current HP: 6424, A Avg: 111777, D Avg: 84862, [Spear of Regression(182)[0, 0, 0], Iron Shield(204)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 948: HP: 6424, STR: 2899, VIT: 1155, SPD: 72, LUK: 1, Attack: 88712, Defense: 85018, Current HP: 6424, A Avg: 111777, D Avg: 85018, [Spear of Regression(182)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 947: HP: 6424, STR: 2899, VIT: 1182, SPD: 72, LUK: 1, Attack: 88712, Defense: 85071, Current HP: 6424, A Avg: 111777, D Avg: 85071, [Spear of Regression(182)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 946: HP: 6716, STR: 2899, VIT: 1240, SPD: 72, LUK: 1, Attack: 88712, Defense: 85116, Current HP: 6716, A Avg: 111777, D Avg: 85116, [Spear of Regression(182)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 945: HP: 6930, STR: 2899, VIT: 1393, SPD: 72, LUK: 1, Attack: 88712, Defense: 85230, Current HP: 6930, A Avg: 111777, D Avg: 85230, [Spear of Regression(182)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 944: HP: 6785, STR: 2899, VIT: 1125, SPD: 72, LUK: 1, Attack: 88712, Defense: 84897, Current HP: 6785, A Avg: 111777, D Avg: 84897, [Spear of Regression(182)[0, 0, 0], Clear Shield(211)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 943: HP: 6831, STR: 2899, VIT: 1240, SPD: 72, LUK: 1, Attack: 88712, Defense: 85259, Current HP: 6831, A Avg: 111777, D Avg: 85259, [Spear of Regression(182)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 942: HP: 6512, STR: 2899, VIT: 1169, SPD: 72, LUK: 1, Attack: 88712, Defense: 85097, Current HP: 6512, A Avg: 111777, D Avg: 85097, [Spear of Regression(182)[0, 0, 0], Tower Shield(213)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 941: HP: 7539, STR: 2899, VIT: 1596, SPD: 72, LUK: 1, Attack: 88712, Defense: 86158, Current HP: 7539, A Avg: 111777, D Avg: 86158, [Spear of Regression(182)[0, 0, 0], Slime Shield(221)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 940: HP: 7242, STR: 2899, VIT: 1155, SPD: 72, LUK: 1, Attack: 88712, Defense: 85083, Current HP: 7242, A Avg: 111777, D Avg: 85083, [Spear of Regression(182)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 939: HP: 6716, STR: 2899, VIT: 2189, SPD: 72, LUK: 1, Attack: 88712, Defense: 88977, Current HP: 6716, A Avg: 111777, D Avg: 88977, [Spear of Regression(182)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 8976, STR: 2899, VIT: 1036, SPD: 72, LUK: 1, Attack: 88712, Defense: 86953, Current HP: 8976, A Avg: 111777, D Avg: 86953, [Spear of Regression(182)[0, 0, 0], Frying Pan(231)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 937: HP: 7801, STR: 2899, VIT: 1736, SPD: 72, LUK: 1, Attack: 88712, Defense: 86470, Current HP: 7801, A Avg: 111777, D Avg: 86470, [Spear of Regression(182)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 936: HP: 7383, STR: 2899, VIT: 1596, SPD: 72, LUK: 1, Attack: 88712, Defense: 87071, Current HP: 7383, A Avg: 111777, D Avg: 87071, [Spear of Regression(182)[0, 0, 0], Mist Shield(233)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 935: HP: 6644, STR: 2899, VIT: 2224, SPD: 72, LUK: 1, Attack: 88712, Defense: 87192, Current HP: 6644, A Avg: 111777, D Avg: 87192, [Spear of Regression(182)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 934: HP: 6556, STR: 2899, VIT: 2324, SPD: 72, LUK: 1, Attack: 88712, Defense: 89164, Current HP: 6556, A Avg: 111777, D Avg: 89164, [Spear of Regression(182)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 933: HP: 8234, STR: 2899, VIT: 2027, SPD: 72, LUK: 1, Attack: 88712, Defense: 89452, Current HP: 8234, A Avg: 111777, D Avg: 89452, [Spear of Regression(182)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 932: HP: 6424, STR: 2899, VIT: 998, SPD: 72, LUK: 1, Attack: 88712, Defense: 87787, Current HP: 6424, A Avg: 111777, D Avg: 87787, [Spear of Regression(182)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 931: HP: 6974, STR: 2899, VIT: 4276, SPD: 72, LUK: 1, Attack: 88712, Defense: 91064, Current HP: 6974, A Avg: 111777, D Avg: 91064, [Spear of Regression(182)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 930: HP: 6754, STR: 2899, VIT: 1939, SPD: 76, LUK: 1, Attack: 88712, Defense: 87817, Current HP: 6754, A Avg: 111777, D Avg: 87817, [Spear of Regression(182)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 929: HP: 7849, STR: 2899, VIT: 1884, SPD: 72, LUK: 1, Attack: 88712, Defense: 88100, Current HP: 7849, A Avg: 111777, D Avg: 88100, [Spear of Regression(182)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 928: HP: 7176, STR: 2899, VIT: 1975, SPD: 72, LUK: 1, Attack: 88712, Defense: 89010, Current HP: 7176, A Avg: 111777, D Avg: 89010, [Spear of Regression(182)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 927: HP: 6716, STR: 2899, VIT: 2371, SPD: 72, LUK: 1, Attack: 88712, Defense: 89419, Current HP: 6716, A Avg: 111777, D Avg: 89419, [Spear of Regression(182)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 926: HP: 1909, STR: 3677, VIT: 1099, SPD: 72, LUK: 1, Attack: 88720, Defense: 88927, Current HP: 1909, A Avg: 111787, D Avg: 88927, [White Snake(160)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 925: HP: 1484, STR: 3898, VIT: 1225, SPD: 76, LUK: 1, Attack: 89438, Defense: 85166, Current HP: 1484, A Avg: 111797, D Avg: 85166, [Zodiac(184)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 6802, STR: 2915, VIT: 1406, SPD: 72, LUK: 1, Attack: 88728, Defense: 85347, Current HP: 6802, A Avg: 111797, D Avg: 85347, [Spear of Regression(182)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 923: HP: 1504, STR: 3564, VIT: 1091, SPD: 76, LUK: 1, Attack: 89442, Defense: 85097, Current HP: 1504, A Avg: 111802, D Avg: 85097, [God Hand(179)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 1738, STR: 2857, VIT: 2354, SPD: 72, LUK: 1, Attack: 88735, Defense: 89155, Current HP: 1738, A Avg: 111806, D Avg: 89155, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 921: HP: 3100, STR: 3763, VIT: 176, SPD: 81, LUK: 1, Attack: 89446, Defense: 86964, Current HP: 3100, A Avg: 111807, D Avg: 86964, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 950, STR: 5451, VIT: 176, SPD: 76, LUK: 1, Attack: 89450, Defense: 88004, Current HP: 950, A Avg: 111812, D Avg: 88004, [Greatsword(127)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 919: HP: 956, STR: 5451, VIT: 255, SPD: 76, LUK: 1, Attack: 89457, Defense: 88083, Current HP: 956, A Avg: 111821, D Avg: 88083, [Crescent(141)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 1144, STR: 3910, VIT: 883, SPD: 72, LUK: 1, Attack: 88748, Defense: 88711, Current HP: 1144, A Avg: 111822, D Avg: 88711, [Classic(168)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 917: HP: 1380, STR: 5437, VIT: 251, SPD: 76, LUK: 1, Attack: 89462, Defense: 88079, Current HP: 1380, A Avg: 111827, D Avg: 88079, [Fairy Sword(113)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 1204, STR: 5574, VIT: 329, SPD: 76, LUK: 1, Attack: 89476, Defense: 88157, Current HP: 1204, A Avg: 111845, D Avg: 88157, [Crossed Shuriken(136)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 915: HP: 1558, STR: 2991, VIT: 1577, SPD: 76, LUK: 1, Attack: 89480, Defense: 85999, Current HP: 1558, A Avg: 111850, D Avg: 85999, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1381, STR: 2893, VIT: 1437, SPD: 72, LUK: 1, Attack: 88771, Defense: 85937, Current HP: 1381, A Avg: 111851, D Avg: 85937, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 913: HP: 2480, STR: 4649, VIT: 625, SPD: 81, LUK: 1, Attack: 89487, Defense: 87413, Current HP: 2480, A Avg: 111858, D Avg: 87413, [Willow Blade(157)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 912: HP: 1144, STR: 1728, VIT: 280, SPD: 76, LUK: 1, Attack: 88779, Defense: 84624, Current HP: 1144, A Avg: 111861, D Avg: 84624, [Tekken(188)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 911: HP: 2134, STR: 3682, VIT: 764, SPD: 72, LUK: 1, Attack: 88780, Defense: 88592, Current HP: 2134, A Avg: 111862, D Avg: 88592, [Yggdrasil(126)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 910: HP: 1232, STR: 619, VIT: 1084, SPD: 72, LUK: 1, Attack: 88786, Defense: 85675, Current HP: 1232, A Avg: 111870, D Avg: 85675, [Basic(169)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 909: HP: 1716, STR: 619, VIT: 1198, SPD: 72, LUK: 1, Attack: 88786, Defense: 88116, Current HP: 1716, A Avg: 111870, D Avg: 88116, [Basic(169)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 908: HP: 6424, STR: 2977, VIT: 1240, SPD: 76, LUK: 1, Attack: 88790, Defense: 85265, Current HP: 6424, A Avg: 111875, D Avg: 85265, [Spear of Regression(182)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 907: HP: 1000, STR: 5314, VIT: 401, SPD: 76, LUK: 1, Attack: 89502, Defense: 88229, Current HP: 1000, A Avg: 111877, D Avg: 88229, [Cagliostro(133)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 2530, STR: 628, VIT: 1162, SPD: 72, LUK: 1, Attack: 88795, Defense: 87274, Current HP: 2530, A Avg: 111881, D Avg: 87274, [Basic(169)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 905: HP: 1940, STR: 4174, VIT: 1200, SPD: 81, LUK: 1, Attack: 89508, Defense: 85544, Current HP: 1940, A Avg: 111885, D Avg: 85544, [Impulse(166)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
