Rank 1000: HP: 1155, STR: 540554, VIT: 806, SPD: 56, LUK: 1, Attack: 624976, Defense: 87646, Current HP: 1155, A Avg: 1268701, D Avg: 87646, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 987: HP: 3720, STR: 389411, VIT: 2137, SPD: 56, LUK: 1, Attack: 477239, Defense: 89562, Current HP: 3720, A Avg: 1269455, D Avg: 89562, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 986: HP: 4313, STR: 391492, VIT: 1616, SPD: 56, LUK: 1, Attack: 477305, Defense: 91394, Current HP: 4313, A Avg: 1269631, D Avg: 91394, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 985: HP: 4313, STR: 391492, VIT: 1616, SPD: 56, LUK: 1, Attack: 477305, Defense: 91394, Current HP: 4313, A Avg: 1269631, D Avg: 91394, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 984: HP: 1482, STR: 390972, VIT: 499, SPD: 56, LUK: 1, Attack: 477318, Defense: 88327, Current HP: 1482, A Avg: 1269665, D Avg: 88327, [Progress(147)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 983: HP: 3819, STR: 540787, VIT: 836, SPD: 56, LUK: 1, Attack: 625495, Defense: 86753, Current HP: 3819, A Avg: 1269754, D Avg: 86753, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 982: HP: 3724, STR: 540788, VIT: 771, SPD: 56, LUK: 1, Attack: 625496, Defense: 86688, Current HP: 3724, A Avg: 1269756, D Avg: 86688, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 981: HP: 817, STR: 390828, VIT: 537, SPD: 56, LUK: 1, Attack: 477356, Defense: 88365, Current HP: 817, A Avg: 1269766, D Avg: 88365, [Moon Knuckle(153)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 980: HP: 3960, STR: 389563, VIT: 2220, SPD: 56, LUK: 1, Attack: 477391, Defense: 89645, Current HP: 3960, A Avg: 1269860, D Avg: 89645, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 979: HP: 1440, STR: 540964, VIT: 1059, SPD: 56, LUK: 1, Attack: 625614, Defense: 87847, Current HP: 1440, A Avg: 1269996, D Avg: 87847, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 978: HP: 4313, STR: 391636, VIT: 1536, SPD: 56, LUK: 1, Attack: 477449, Defense: 91314, Current HP: 4313, A Avg: 1270014, D Avg: 91314, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 977: HP: 4541, STR: 391643, VIT: 1699, SPD: 56, LUK: 1, Attack: 477456, Defense: 91477, Current HP: 4541, A Avg: 1270032, D Avg: 91477, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 976: HP: 1520, STR: 541127, VIT: 1927, SPD: 56, LUK: 1, Attack: 625640, Defense: 88715, Current HP: 1520, A Avg: 1270049, D Avg: 88715, [Volcano(142)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 975: HP: 1083, STR: 540986, VIT: 703, SPD: 56, LUK: 1, Attack: 625827, Defense: 85697, Current HP: 1083, A Avg: 1270428, D Avg: 85697, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 974: HP: 1254, STR: 540892, VIT: 579, SPD: 56, LUK: 1, Attack: 625860, Defense: 87497, Current HP: 1254, A Avg: 1270495, D Avg: 87497, [Cluster Bomb(170)[630, 630, 630], White Hole(230)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 973: HP: 1352, STR: 585015, VIT: 166, SPD: 56, LUK: 1, Attack: 668741, Defense: 84094, Current HP: 1352, A Avg: 1270607, D Avg: 84094, [Wooden Stick(101)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 972: HP: 1352, STR: 585015, VIT: 166, SPD: 56, LUK: 1, Attack: 668780, Defense: 84094, Current HP: 1352, A Avg: 1270682, D Avg: 84094, [Club(102)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 971: HP: 840, STR: 585015, VIT: 102, SPD: 56, LUK: 1, Attack: 668783, Defense: 83835, Current HP: 840, A Avg: 1270687, D Avg: 83835, [Decorative Swords(109)[630, 630, 630], High Pot Lid(202)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 970: HP: 1520, STR: 541177, VIT: 972, SPD: 56, LUK: 1, Attack: 625989, Defense: 87773, Current HP: 1520, A Avg: 1270757, D Avg: 87773, [Granada(150)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 969: HP: 798, STR: 390732, VIT: 102, SPD: 56, LUK: 1, Attack: 477783, Defense: 87930, Current HP: 798, A Avg: 1270902, D Avg: 87930, [Tekken(188)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 968: HP: 1520, STR: 541368, VIT: 1982, SPD: 56, LUK: 1, Attack: 626102, Defense: 88770, Current HP: 1520, A Avg: 1270987, D Avg: 88770, [Irruption(154)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 967: HP: 1026, STR: 391962, VIT: 646, SPD: 56, LUK: 1, Attack: 477840, Defense: 88474, Current HP: 1026, A Avg: 1271054, D Avg: 88474, [God Hand(179)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 966: HP: 1922, STR: 541051, VIT: 465, SPD: 56, LUK: 1, Attack: 626149, Defense: 84393, Current HP: 1922, A Avg: 1271082, D Avg: 84393, [Yggdrasil(126)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 965: HP: 893, STR: 541540, VIT: 737, SPD: 56, LUK: 1, Attack: 626196, Defense: 85705, Current HP: 893, A Avg: 1271177, D Avg: 85705, [Penetra(161)[630, 630, 630], Huge Shield(234)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 964: HP: 1197, STR: 540928, VIT: 589, SPD: 56, LUK: 1, Attack: 626260, Defense: 84517, Current HP: 1197, A Avg: 1271307, D Avg: 84517, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 963: HP: 1286, STR: 585300, VIT: 1781, SPD: 56, LUK: 1, Attack: 669116, Defense: 88569, Current HP: 1286, A Avg: 1271320, D Avg: 88569, [Hand Axe(140)[630, 630, 630], Golem Shield(245)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 962: HP: 1362, STR: 585148, VIT: 166, SPD: 56, LUK: 1, Attack: 669141, Defense: 84094, Current HP: 1362, A Avg: 1271367, D Avg: 84094, [Sword of Wood(124)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 961: HP: 988, STR: 541665, VIT: 802, SPD: 56, LUK: 1, Attack: 626321, Defense: 85770, Current HP: 988, A Avg: 1271431, D Avg: 85770, [Penetra(161)[630, 630, 630], Huge Shield(234)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 960: HP: 1260, STR: 585300, VIT: 640, SPD: 56, LUK: 1, Attack: 669189, Defense: 87675, Current HP: 1260, A Avg: 1271459, D Avg: 87675, [Iron Lumps(108)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 959: HP: 883, STR: 585300, VIT: 175, SPD: 56, LUK: 1, Attack: 669299, Defense: 84103, Current HP: 883, A Avg: 1271668, D Avg: 84103, [Greatsword(127)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 958: HP: 1922, STR: 541430, VIT: 380, SPD: 56, LUK: 1, Attack: 626528, Defense: 84308, Current HP: 1922, A Avg: 1271851, D Avg: 84308, [Yggdrasil(126)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 957: HP: 1520, STR: 541799, VIT: 1897, SPD: 56, LUK: 1, Attack: 626533, Defense: 88685, Current HP: 1520, A Avg: 1271861, D Avg: 88685, [Irruption(154)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 956: HP: 2964, STR: 541699, VIT: 506, SPD: 56, LUK: 1, Attack: 626537, Defense: 86423, Current HP: 2964, A Avg: 1271870, D Avg: 86423, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 955: HP: 1260, STR: 585432, VIT: 640, SPD: 56, LUK: 1, Attack: 669438, Defense: 87675, Current HP: 1260, A Avg: 1271932, D Avg: 87675, [Great Iron Mass(122)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 954: HP: 840, STR: 585339, VIT: 102, SPD: 56, LUK: 1, Attack: 669462, Defense: 83825, Current HP: 840, A Avg: 1271977, D Avg: 83825, [Pinpoint(112)[630, 630, 630], Pot Lid(201)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 953: HP: 840, STR: 585339, VIT: 102, SPD: 56, LUK: 1, Attack: 669462, Defense: 83835, Current HP: 840, A Avg: 1271977, D Avg: 83835, [Pinpoint(112)[630, 630, 630], High Pot Lid(202)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 952: HP: 798, STR: 585339, VIT: 117, SPD: 56, LUK: 1, Attack: 669462, Defense: 83986, Current HP: 798, A Avg: 1271977, D Avg: 83986, [Pinpoint(112)[630, 630, 630], Wooden Shield(203)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 951: HP: 798, STR: 585339, VIT: 122, SPD: 56, LUK: 1, Attack: 669462, Defense: 83926, Current HP: 798, A Avg: 1271977, D Avg: 83926, [Pinpoint(112)[630, 630, 630], Iron Shield(204)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 950: HP: 798, STR: 585339, VIT: 166, SPD: 56, LUK: 1, Attack: 669462, Defense: 84029, Current HP: 798, A Avg: 1271977, D Avg: 84029, [Pinpoint(112)[630, 630, 630], Titanium Shield(205)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 949: HP: 798, STR: 585339, VIT: 183, SPD: 56, LUK: 1, Attack: 669462, Defense: 84072, Current HP: 798, A Avg: 1271977, D Avg: 84072, [Pinpoint(112)[630, 630, 630], Large iron Shield(206)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 948: HP: 840, STR: 585339, VIT: 219, SPD: 56, LUK: 1, Attack: 669462, Defense: 84095, Current HP: 840, A Avg: 1271977, D Avg: 84095, [Pinpoint(112)[630, 630, 630], Magic Shield(207)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 947: HP: 1140, STR: 585339, VIT: 282, SPD: 56, LUK: 1, Attack: 669462, Defense: 84119, Current HP: 1140, A Avg: 1271977, D Avg: 84119, [Pinpoint(112)[630, 630, 630], Emerald Shield(209)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 946: HP: 900, STR: 585339, VIT: 164, SPD: 56, LUK: 1, Attack: 669462, Defense: 83936, Current HP: 900, A Avg: 1271977, D Avg: 83936, [Pinpoint(112)[630, 630, 630], Clear Shield(211)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 945: HP: 940, STR: 585339, VIT: 219, SPD: 56, LUK: 1, Attack: 669462, Defense: 84238, Current HP: 940, A Avg: 1271977, D Avg: 84238, [Pinpoint(112)[630, 630, 630], Prism Shield(212)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 944: HP: 874, STR: 585339, VIT: 175, SPD: 56, LUK: 1, Attack: 669462, Defense: 84103, Current HP: 874, A Avg: 1271977, D Avg: 84103, [Pinpoint(112)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 943: HP: 1416, STR: 585339, VIT: 390, SPD: 56, LUK: 1, Attack: 669462, Defense: 84952, Current HP: 1416, A Avg: 1271977, D Avg: 84952, [Pinpoint(112)[630, 630, 630], Slime Shield(221)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 942: HP: 1352, STR: 585339, VIT: 166, SPD: 56, LUK: 1, Attack: 669462, Defense: 84094, Current HP: 1352, A Avg: 1271977, D Avg: 84094, [Pinpoint(112)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 941: HP: 840, STR: 585339, VIT: 723, SPD: 56, LUK: 1, Attack: 669462, Defense: 87511, Current HP: 840, A Avg: 1271977, D Avg: 87511, [Pinpoint(112)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 940: HP: 2717, STR: 585339, VIT: 108, SPD: 56, LUK: 1, Attack: 669462, Defense: 86025, Current HP: 2717, A Avg: 1271977, D Avg: 86025, [Pinpoint(112)[630, 630, 630], Frying Pan(231)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 939: HP: 1624, STR: 585339, VIT: 460, SPD: 56, LUK: 1, Attack: 669462, Defense: 85194, Current HP: 1624, A Avg: 1271977, D Avg: 85194, [Pinpoint(112)[630, 630, 630], Slafield(232)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 938: HP: 1320, STR: 585339, VIT: 390, SPD: 56, LUK: 1, Attack: 669462, Defense: 85865, Current HP: 1320, A Avg: 1271977, D Avg: 85865, [Pinpoint(112)[630, 630, 630], Mist Shield(233)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 937: HP: 988, STR: 585339, VIT: 686, SPD: 56, LUK: 1, Attack: 669462, Defense: 85654, Current HP: 988, A Avg: 1271977, D Avg: 85654, [Pinpoint(112)[630, 630, 630], Huge Shield(234)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 936: HP: 912, STR: 585339, VIT: 758, SPD: 56, LUK: 1, Attack: 669462, Defense: 87598, Current HP: 912, A Avg: 1271977, D Avg: 87598, [Pinpoint(112)[630, 630, 630], Aurora Shield(240)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 935: HP: 1860, STR: 585339, VIT: 592, SPD: 56, LUK: 1, Attack: 669462, Defense: 88017, Current HP: 1860, A Avg: 1271977, D Avg: 88017, [Pinpoint(112)[630, 630, 630], Cloud Shield(241)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 934: HP: 798, STR: 585339, VIT: 102, SPD: 56, LUK: 1, Attack: 669462, Defense: 86891, Current HP: 798, A Avg: 1271977, D Avg: 86891, [Pinpoint(112)[630, 630, 630], Graffiti(243)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 933: HP: 798, STR: 585339, VIT: 1190, SPD: 56, LUK: 1, Attack: 669462, Defense: 90968, Current HP: 798, A Avg: 1271977, D Avg: 90968, [Pinpoint(112)[630, 630, 630], Blank Shield(244)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 932: HP: 1273, STR: 585339, VIT: 1723, SPD: 56, LUK: 1, Attack: 669462, Defense: 88511, Current HP: 1273, A Avg: 1271977, D Avg: 88511, [Pinpoint(112)[630, 630, 630], Golem Shield(245)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 931: HP: 1083, STR: 585339, VIT: 553, SPD: 59, LUK: 1, Attack: 669462, Defense: 86431, Current HP: 1083, A Avg: 1271977, D Avg: 86431, [Pinpoint(112)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 930: HP: 1801, STR: 585339, VIT: 540, SPD: 56, LUK: 1, Attack: 669462, Defense: 86756, Current HP: 1801, A Avg: 1271977, D Avg: 86756, [Pinpoint(112)[630, 630, 630], King Shield(248)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 929: HP: 1240, STR: 585339, VIT: 640, SPD: 56, LUK: 1, Attack: 669462, Defense: 87675, Current HP: 1240, A Avg: 1271977, D Avg: 87675, [Pinpoint(112)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 928: HP: 840, STR: 585339, VIT: 755, SPD: 56, LUK: 1, Attack: 669462, Defense: 87803, Current HP: 840, A Avg: 1271977, D Avg: 87803, [Pinpoint(112)[630, 630, 630], Ghost shield(251)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 927: HP: 1067, STR: 585378, VIT: 290, SPD: 56, LUK: 1, Attack: 669501, Defense: 84231, Current HP: 1067, A Avg: 1272051, D Avg: 84231, [Pinpoint(112)[630, 630, 630], Dragon's Scales(215)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 926: HP: 4400, STR: 390419, VIT: 2601, SPD: 66, LUK: 1, Attack: 478247, Defense: 90026, Current HP: 4400, A Avg: 1272137, D Avg: 90026, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 925: HP: 3059, STR: 541850, VIT: 571, SPD: 56, LUK: 1, Attack: 626688, Defense: 86488, Current HP: 3059, A Avg: 1272176, D Avg: 86488, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 924: HP: 2204, STR: 541771, VIT: 1071, SPD: 56, LUK: 1, Attack: 626694, Defense: 87872, Current HP: 2204, A Avg: 1272188, D Avg: 87872, [Pangaea(164)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 923: HP: 798, STR: 585491, VIT: 219, SPD: 59, LUK: 1, Attack: 669614, Defense: 84244, Current HP: 798, A Avg: 1272266, D Avg: 84244, [Pinpoint(112)[630, 630, 630], Conductive Barrier(208)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 922: HP: 1216, STR: 585510, VIT: 292, SPD: 56, LUK: 1, Attack: 669633, Defense: 84532, Current HP: 1216, A Avg: 1272302, D Avg: 84532, [Pinpoint(112)[630, 630, 630], Dragon's Wings(216)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 921: HP: 1349, STR: 540784, VIT: 827, SPD: 59, LUK: 1, Attack: 626753, Defense: 86705, Current HP: 1349, A Avg: 1272308, D Avg: 86705, [Fire Chariot(138)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 920: HP: 4959, STR: 392500, VIT: 2080, SPD: 66, LUK: 1, Attack: 478313, Defense: 91858, Current HP: 4959, A Avg: 1272312, D Avg: 91858, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 919: HP: 1256, STR: 585620, VIT: 435, SPD: 56, LUK: 1, Attack: 669743, Defense: 86053, Current HP: 1256, A Avg: 1272511, D Avg: 86053, [Pinpoint(112)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 918: HP: 1056, STR: 585624, VIT: 615, SPD: 56, LUK: 1, Attack: 669747, Defense: 85453, Current HP: 1056, A Avg: 1272519, D Avg: 85453, [Pinpoint(112)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 917: HP: 1216, STR: 585663, VIT: 350, SPD: 56, LUK: 1, Attack: 669786, Defense: 85214, Current HP: 1216, A Avg: 1272593, D Avg: 85214, [Pinpoint(112)[630, 630, 630], Dragon's Head(217)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 916: HP: 1140, STR: 585663, VIT: 390, SPD: 59, LUK: 1, Attack: 669786, Defense: 84812, Current HP: 1140, A Avg: 1272593, D Avg: 84812, [Pinpoint(112)[630, 630, 630], Superconducting Barrier(220)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 915: HP: 1189, STR: 585694, VIT: 413, SPD: 56, LUK: 1, Attack: 669804, Defense: 84341, Current HP: 1189, A Avg: 1272627, D Avg: 84341, [Dragon Killer(139)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 914: HP: 1760, STR: 586006, VIT: 524, SPD: 56, LUK: 1, Attack: 669830, Defense: 86636, Current HP: 1760, A Avg: 1272677, D Avg: 86636, [Stun Knuckle(106)[630, 630, 630], Goblin Hand(250)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 913: HP: 1520, STR: 585546, VIT: 902, SPD: 56, LUK: 1, Attack: 669864, Defense: 87690, Current HP: 1520, A Avg: 1272741, D Avg: 87690, [Ruby Knuckle(151)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 912: HP: 1216, STR: 585760, VIT: 673, SPD: 56, LUK: 1, Attack: 669883, Defense: 87474, Current HP: 1216, A Avg: 1272777, D Avg: 87474, [Pinpoint(112)[630, 630, 630], Riot(236)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 911: HP: 1504, STR: 541288, VIT: 652, SPD: 56, LUK: 1, Attack: 627036, Defense: 86270, Current HP: 1504, A Avg: 1272883, D Avg: 86270, [Scythe of the Grim Reaper(148)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 910: HP: 1620, STR: 585565, VIT: 756, SPD: 56, LUK: 1, Attack: 670078, Defense: 87791, Current HP: 1620, A Avg: 1273148, D Avg: 87791, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 909: HP: 1729, STR: 386524, VIT: 531, SPD: 56, LUK: 1, Attack: 478710, Defense: 87449, Current HP: 1729, A Avg: 1273368, D Avg: 87449, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 908: HP: 1634, STR: 386524, VIT: 515, SPD: 56, LUK: 1, Attack: 478710, Defense: 87433, Current HP: 1634, A Avg: 1273368, D Avg: 87433, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 907: HP: 1729, STR: 386524, VIT: 640, SPD: 56, LUK: 1, Attack: 478710, Defense: 87558, Current HP: 1729, A Avg: 1273368, D Avg: 87558, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 906: HP: 1729, STR: 386524, VIT: 531, SPD: 56, LUK: 1, Attack: 478710, Defense: 87449, Current HP: 1729, A Avg: 1273368, D Avg: 87449, [Big Bang(171)[630, 630, 630], White Hole(230)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 905: HP: 836, STR: 586134, VIT: 476, SPD: 56, LUK: 1, Attack: 670257, Defense: 85067, Current HP: 836, A Avg: 1273488, D Avg: 85067, [Pinpoint(112)[630, 630, 630], Black Hole(229)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 904: HP: 1159, STR: 586134, VIT: 531, SPD: 56, LUK: 1, Attack: 670257, Defense: 87449, Current HP: 1159, A Avg: 1273488, D Avg: 87449, [Pinpoint(112)[630, 630, 630], White Hole(230)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
