Rank 1000: HP: 748, STR: 323, VIT: 540, SPD: 8, LUK: 1, Attack: 86812, Defense: 85508, Current HP: 748, A Avg: 109383, D Avg: 85508, [Cuttlefish(178)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 924, STR: 576, VIT: 72, SPD: 8, LUK: 1, Attack: 86818, Defense: 84416, Current HP: 924, A Avg: 109390, D Avg: 84416, [Droid Hammer(177)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 528, STR: 337, VIT: 449, SPD: 8, LUK: 1, Attack: 86826, Defense: 84474, Current HP: 528, A Avg: 109400, D Avg: 84474, [Cuttlefish(178)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 642, STR: 339, VIT: 477, SPD: 8, LUK: 1, Attack: 86828, Defense: 84418, Current HP: 642, A Avg: 109403, D Avg: 84418, [Cuttlefish(178)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 616, STR: 342, VIT: 488, SPD: 8, LUK: 1, Attack: 86831, Defense: 86106, Current HP: 616, A Avg: 109407, D Avg: 86106, [Cuttlefish(178)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 550, STR: 343, VIT: 449, SPD: 8, LUK: 1, Attack: 86832, Defense: 84455, Current HP: 550, A Avg: 109408, D Avg: 84455, [Cuttlefish(178)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 984: HP: 528, STR: 343, VIT: 935, SPD: 8, LUK: 1, Attack: 86832, Defense: 86605, Current HP: 528, A Avg: 109408, D Avg: 86605, [Cuttlefish(178)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 563, STR: 344, VIT: 669, SPD: 8, LUK: 1, Attack: 86833, Defense: 85507, Current HP: 563, A Avg: 109409, D Avg: 85507, [Cuttlefish(178)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 682, STR: 345, VIT: 480, SPD: 8, LUK: 1, Attack: 86834, Defense: 84720, Current HP: 682, A Avg: 109410, D Avg: 84720, [Cuttlefish(178)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 396, STR: 489, VIT: 171, SPD: 8, LUK: 1, Attack: 86835, Defense: 84307, Current HP: 396, A Avg: 109412, D Avg: 84307, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 980: HP: 660, STR: 1657, VIT: 176, SPD: 9, LUK: 1, Attack: 87535, Defense: 86964, Current HP: 660, A Avg: 109418, D Avg: 86964, [God Hand(179)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 979: HP: 682, STR: 352, VIT: 680, SPD: 8, LUK: 1, Attack: 86841, Defense: 87481, Current HP: 682, A Avg: 109419, D Avg: 87481, [Cuttlefish(178)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 682, STR: 360, VIT: 491, SPD: 8, LUK: 1, Attack: 86849, Defense: 85355, Current HP: 682, A Avg: 109429, D Avg: 85355, [Cuttlefish(178)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 572, STR: 361, VIT: 556, SPD: 8, LUK: 1, Attack: 86850, Defense: 85147, Current HP: 572, A Avg: 109431, D Avg: 85147, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 616, STR: 361, VIT: 566, SPD: 8, LUK: 1, Attack: 86850, Defense: 87484, Current HP: 616, A Avg: 109431, D Avg: 87484, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 946, STR: 323, VIT: 831, SPD: 8, LUK: 1, Attack: 86851, Defense: 88399, Current HP: 946, A Avg: 109432, D Avg: 88399, [Moon Knuckle(153)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 589, STR: 367, VIT: 449, SPD: 8, LUK: 1, Attack: 86856, Defense: 84949, Current HP: 589, A Avg: 109438, D Avg: 84949, [Cuttlefish(178)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 973: HP: 286, STR: 333, VIT: 155, SPD: 8, LUK: 1, Attack: 86861, Defense: 84343, Current HP: 286, A Avg: 109444, D Avg: 84343, [Moon Knuckle(153)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 972: HP: 924, STR: 625, VIT: 72, SPD: 8, LUK: 1, Attack: 86867, Defense: 87900, Current HP: 924, A Avg: 109452, D Avg: 87900, [Droid Hammer(177)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 971: HP: 147, STR: 523, VIT: 108, SPD: 8, LUK: 1, Attack: 87574, Defense: 83831, Current HP: 147, A Avg: 109467, D Avg: 83831, [Tekken(188)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 970: HP: 147, STR: 523, VIT: 108, SPD: 8, LUK: 1, Attack: 87574, Defense: 83841, Current HP: 147, A Avg: 109467, D Avg: 83841, [Tekken(188)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 969: HP: 140, STR: 523, VIT: 124, SPD: 8, LUK: 1, Attack: 87574, Defense: 83993, Current HP: 140, A Avg: 109467, D Avg: 83993, [Tekken(188)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 968: HP: 140, STR: 523, VIT: 129, SPD: 8, LUK: 1, Attack: 87574, Defense: 83933, Current HP: 140, A Avg: 109467, D Avg: 83933, [Tekken(188)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 967: HP: 140, STR: 523, VIT: 122, SPD: 8, LUK: 1, Attack: 87574, Defense: 83985, Current HP: 140, A Avg: 109467, D Avg: 83985, [Tekken(188)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 140, STR: 523, VIT: 140, SPD: 8, LUK: 1, Attack: 87574, Defense: 84029, Current HP: 140, A Avg: 109467, D Avg: 84029, [Tekken(188)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 965: HP: 147, STR: 523, VIT: 130, SPD: 8, LUK: 1, Attack: 87574, Defense: 84006, Current HP: 147, A Avg: 109467, D Avg: 84006, [Tekken(188)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 964: HP: 200, STR: 523, VIT: 136, SPD: 8, LUK: 1, Attack: 87574, Defense: 83973, Current HP: 200, A Avg: 109467, D Avg: 83973, [Tekken(188)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 963: HP: 210, STR: 523, VIT: 124, SPD: 8, LUK: 1, Attack: 87574, Defense: 83896, Current HP: 210, A Avg: 109467, D Avg: 83896, [Tekken(188)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 962: HP: 252, STR: 523, VIT: 130, SPD: 8, LUK: 1, Attack: 87574, Defense: 84149, Current HP: 252, A Avg: 109467, D Avg: 84149, [Tekken(188)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 961: HP: 220, STR: 523, VIT: 131, SPD: 8, LUK: 1, Attack: 87574, Defense: 84059, Current HP: 220, A Avg: 109467, D Avg: 84059, [Tekken(188)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 310, STR: 523, VIT: 159, SPD: 8, LUK: 1, Attack: 87574, Defense: 84721, Current HP: 310, A Avg: 109467, D Avg: 84721, [Tekken(188)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 244, STR: 523, VIT: 122, SPD: 8, LUK: 1, Attack: 87574, Defense: 84050, Current HP: 244, A Avg: 109467, D Avg: 84050, [Tekken(188)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 147, STR: 523, VIT: 411, SPD: 8, LUK: 1, Attack: 87574, Defense: 87199, Current HP: 147, A Avg: 109467, D Avg: 87199, [Tekken(188)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 1260, STR: 523, VIT: 115, SPD: 8, LUK: 1, Attack: 87574, Defense: 86032, Current HP: 1260, A Avg: 109467, D Avg: 86032, [Tekken(188)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 466, STR: 523, VIT: 183, SPD: 8, LUK: 1, Attack: 87574, Defense: 84917, Current HP: 466, A Avg: 109467, D Avg: 84917, [Tekken(188)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 336, STR: 523, VIT: 159, SPD: 8, LUK: 1, Attack: 87574, Defense: 85634, Current HP: 336, A Avg: 109467, D Avg: 85634, [Tekken(188)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 340, STR: 523, VIT: 187, SPD: 8, LUK: 1, Attack: 87574, Defense: 85155, Current HP: 340, A Avg: 109467, D Avg: 85155, [Tekken(188)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 260, STR: 523, VIT: 295, SPD: 8, LUK: 1, Attack: 87574, Defense: 87135, Current HP: 260, A Avg: 109467, D Avg: 87135, [Tekken(188)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 273, STR: 523, VIT: 170, SPD: 8, LUK: 1, Attack: 87574, Defense: 87595, Current HP: 273, A Avg: 109467, D Avg: 87595, [Tekken(188)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 140, STR: 523, VIT: 108, SPD: 8, LUK: 1, Attack: 87574, Defense: 86897, Current HP: 140, A Avg: 109467, D Avg: 86897, [Tekken(188)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 140, STR: 523, VIT: 244, SPD: 8, LUK: 1, Attack: 87574, Defense: 90022, Current HP: 140, A Avg: 109467, D Avg: 90022, [Tekken(188)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 640, STR: 523, VIT: 475, SPD: 8, LUK: 1, Attack: 87574, Defense: 87263, Current HP: 640, A Avg: 109467, D Avg: 87263, [Tekken(188)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 948: HP: 440, STR: 523, VIT: 180, SPD: 9, LUK: 1, Attack: 87574, Defense: 86058, Current HP: 440, A Avg: 109467, D Avg: 86058, [Tekken(188)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 476, STR: 523, VIT: 248, SPD: 8, LUK: 1, Attack: 87574, Defense: 86464, Current HP: 476, A Avg: 109467, D Avg: 86464, [Tekken(188)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 567, STR: 523, VIT: 476, SPD: 8, LUK: 1, Attack: 87574, Defense: 87511, Current HP: 567, A Avg: 109467, D Avg: 87511, [Tekken(188)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 945: HP: 147, STR: 523, VIT: 190, SPD: 8, LUK: 1, Attack: 87574, Defense: 87238, Current HP: 147, A Avg: 109467, D Avg: 87238, [Tekken(188)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 460, STR: 1086, VIT: 380, SPD: 8, LUK: 1, Attack: 87575, Defense: 85608, Current HP: 460, A Avg: 109468, D Avg: 85608, [Cuttlefish(178)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 572, STR: 1004, VIT: 155, SPD: 8, LUK: 1, Attack: 86882, Defense: 86943, Current HP: 572, A Avg: 109471, D Avg: 86943, [Blue Sword(180)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 942: HP: 260, STR: 1231, VIT: 173, SPD: 9, LUK: 1, Attack: 87577, Defense: 84517, Current HP: 260, A Avg: 109471, D Avg: 84517, [Progress(147)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 620, STR: 409, VIT: 462, SPD: 8, LUK: 1, Attack: 86898, Defense: 84468, Current HP: 620, A Avg: 109491, D Avg: 84468, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 940: HP: 160, STR: 543, VIT: 130, SPD: 8, LUK: 1, Attack: 87594, Defense: 84136, Current HP: 160, A Avg: 109492, D Avg: 84136, [Tekken(188)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 939: HP: 140, STR: 543, VIT: 448, SPD: 8, LUK: 1, Attack: 87594, Defense: 86118, Current HP: 140, A Avg: 109492, D Avg: 86118, [Tekken(188)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 938: HP: 550, STR: 414, VIT: 439, SPD: 8, LUK: 1, Attack: 86903, Defense: 84302, Current HP: 550, A Avg: 109497, D Avg: 84302, [Cuttlefish(178)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 937: HP: 140, STR: 548, VIT: 130, SPD: 9, LUK: 1, Attack: 87599, Defense: 84155, Current HP: 140, A Avg: 109498, D Avg: 84155, [Tekken(188)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 936: HP: 244, STR: 550, VIT: 145, SPD: 8, LUK: 1, Attack: 87601, Defense: 84086, Current HP: 244, A Avg: 109501, D Avg: 84086, [Tekken(188)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 205, STR: 556, VIT: 156, SPD: 8, LUK: 1, Attack: 87607, Defense: 85774, Current HP: 205, A Avg: 109508, D Avg: 85774, [Tekken(188)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 172, STR: 558, VIT: 273, SPD: 8, LUK: 1, Attack: 87609, Defense: 85111, Current HP: 172, A Avg: 109511, D Avg: 85111, [Tekken(188)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 933: HP: 638, STR: 428, VIT: 449, SPD: 8, LUK: 1, Attack: 86917, Defense: 84338, Current HP: 638, A Avg: 109515, D Avg: 84338, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 932: HP: 280, STR: 561, VIT: 147, SPD: 8, LUK: 1, Attack: 87612, Defense: 84387, Current HP: 280, A Avg: 109515, D Avg: 84387, [Tekken(188)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 374, STR: 391, VIT: 228, SPD: 8, LUK: 1, Attack: 86919, Defense: 85456, Current HP: 374, A Avg: 109517, D Avg: 85456, [Moon Knuckle(153)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 930: HP: 920, STR: 435, VIT: 634, SPD: 8, LUK: 1, Attack: 86924, Defense: 86746, Current HP: 920, A Avg: 109524, D Avg: 86746, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 929: HP: 280, STR: 572, VIT: 280, SPD: 8, LUK: 1, Attack: 87623, Defense: 87081, Current HP: 280, A Avg: 109528, D Avg: 87081, [Tekken(188)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 928: HP: 196, STR: 582, VIT: 130, SPD: 8, LUK: 1, Attack: 87633, Defense: 84630, Current HP: 196, A Avg: 109541, D Avg: 84630, [Tekken(188)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 968, STR: 451, VIT: 891, SPD: 8, LUK: 1, Attack: 86940, Defense: 85885, Current HP: 968, A Avg: 109544, D Avg: 85885, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 926: HP: 280, STR: 585, VIT: 154, SPD: 8, LUK: 1, Attack: 87636, Defense: 85018, Current HP: 280, A Avg: 109545, D Avg: 85018, [Tekken(188)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 925: HP: 200, STR: 585, VIT: 159, SPD: 9, LUK: 1, Attack: 87636, Defense: 84581, Current HP: 200, A Avg: 109545, D Avg: 84581, [Tekken(188)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 180, STR: 588, VIT: 200, SPD: 8, LUK: 1, Attack: 87639, Defense: 84791, Current HP: 180, A Avg: 109548, D Avg: 84791, [Tekken(188)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 220, STR: 588, VIT: 207, SPD: 8, LUK: 1, Attack: 87639, Defense: 87125, Current HP: 220, A Avg: 109548, D Avg: 87125, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 260, STR: 1299, VIT: 173, SPD: 8, LUK: 1, Attack: 87645, Defense: 88001, Current HP: 260, A Avg: 109556, D Avg: 88001, [Progress(147)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 1020, STR: 1441, VIT: 108, SPD: 9, LUK: 1, Attack: 87683, Defense: 86896, Current HP: 1020, A Avg: 109603, D Avg: 86896, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 420, STR: 1819, VIT: 163, SPD: 9, LUK: 1, Attack: 87697, Defense: 86951, Current HP: 420, A Avg: 109621, D Avg: 86951, [Blue Sword(180)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 919: HP: 396, STR: 656, VIT: 171, SPD: 8, LUK: 1, Attack: 87002, Defense: 84515, Current HP: 396, A Avg: 109622, D Avg: 84515, [Progress(147)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 918: HP: 1188, STR: 513, VIT: 1091, SPD: 8, LUK: 1, Attack: 87002, Defense: 88659, Current HP: 1188, A Avg: 109622, D Avg: 88659, [Cuttlefish(178)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 917: HP: 224, STR: 652, VIT: 139, SPD: 8, LUK: 1, Attack: 87703, Defense: 84145, Current HP: 224, A Avg: 109628, D Avg: 84145, [Tekken(188)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 528, STR: 523, VIT: 415, SPD: 8, LUK: 1, Attack: 87012, Defense: 84603, Current HP: 528, A Avg: 109635, D Avg: 84603, [Cuttlefish(178)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 915: HP: 160, STR: 660, VIT: 124, SPD: 8, LUK: 1, Attack: 87711, Defense: 83987, Current HP: 160, A Avg: 109638, D Avg: 83987, [Tekken(188)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1232, STR: 780, VIT: 72, SPD: 8, LUK: 1, Attack: 87022, Defense: 86860, Current HP: 1232, A Avg: 109647, D Avg: 86860, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 913: HP: 286, STR: 508, VIT: 155, SPD: 8, LUK: 1, Attack: 87036, Defense: 84291, Current HP: 286, A Avg: 109665, D Avg: 84291, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 912: HP: 240, STR: 683, VIT: 130, SPD: 8, LUK: 1, Attack: 87734, Defense: 84019, Current HP: 240, A Avg: 109667, D Avg: 84019, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 911: HP: 396, STR: 710, VIT: 171, SPD: 8, LUK: 1, Attack: 87056, Defense: 87999, Current HP: 396, A Avg: 109690, D Avg: 87999, [Progress(147)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 910: HP: 483, STR: 712, VIT: 251, SPD: 8, LUK: 1, Attack: 87763, Defense: 86363, Current HP: 483, A Avg: 109703, D Avg: 86363, [Tekken(188)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 909: HP: 616, STR: 581, VIT: 488, SPD: 8, LUK: 1, Attack: 87070, Defense: 85716, Current HP: 616, A Avg: 109708, D Avg: 85716, [Cuttlefish(178)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 908: HP: 594, STR: 584, VIT: 493, SPD: 8, LUK: 1, Attack: 87073, Defense: 84915, Current HP: 594, A Avg: 109711, D Avg: 84915, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 907: HP: 380, STR: 1285, VIT: 333, SPD: 9, LUK: 1, Attack: 87774, Defense: 84469, Current HP: 380, A Avg: 109717, D Avg: 84469, [Cuttlefish(178)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 540, STR: 739, VIT: 421, SPD: 8, LUK: 1, Attack: 87790, Defense: 85415, Current HP: 540, A Avg: 109737, D Avg: 85415, [Tekken(188)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 160, STR: 1263, VIT: 163, SPD: 9, LUK: 1, Attack: 87791, Defense: 84507, Current HP: 160, A Avg: 109738, D Avg: 84507, [Moon Knuckle(153)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 160, STR: 1332, VIT: 163, SPD: 8, LUK: 1, Attack: 87860, Defense: 87991, Current HP: 160, A Avg: 109825, D Avg: 87991, [Moon Knuckle(153)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 903: HP: 740, STR: 823, VIT: 550, SPD: 8, LUK: 1, Attack: 87874, Defense: 88118, Current HP: 740, A Avg: 109842, D Avg: 88118, [Tekken(188)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 902: HP: 528, STR: 688, VIT: 415, SPD: 8, LUK: 1, Attack: 87177, Defense: 84551, Current HP: 528, A Avg: 109843, D Avg: 84551, [Cuttlefish(178)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
