Rank 1000: HP: 1560, STR: 500046, VIT: 468, SPD: 48, LUK: 1, Attack: 584169, Defense: 86580, Current HP: 1560, A Avg: 1109921, D Avg: 86580, [Pinpoint(112)[630, 630, 630], Goblin Hand(250)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 974: HP: 2213, STR: 333485, VIT: 673, SPD: 60, LUK: 1, Attack: 417595, Defense: 87461, Current HP: 2213, A Avg: 1110802, D Avg: 87461, [Serpent(144)[630, 630, 630], C Magnum(239)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 973: HP: 1083, STR: 499800, VIT: 601, SPD: 48, LUK: 1, Attack: 584641, Defense: 85595, Current HP: 1083, A Avg: 1110817, D Avg: 85595, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 972: HP: 2194, STR: 333485, VIT: 672, SPD: 60, LUK: 1, Attack: 417606, Defense: 87460, Current HP: 2194, A Avg: 1110831, D Avg: 87460, [Black Kirisame(130)[630, 630, 630], C Magnum(239)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 971: HP: 1206, STR: 461296, VIT: 723, SPD: 51, LUK: 1, Attack: 547265, Defense: 86601, Current HP: 1206, A Avg: 1110947, D Avg: 86601, [Fire Chariot(138)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 970: HP: 1292, STR: 331305, VIT: 435, SPD: 48, LUK: 1, Attack: 417651, Defense: 84623, Current HP: 1292, A Avg: 1110951, D Avg: 84623, [Progress(147)[630, 630, 630], Dragon Sword(225)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 969: HP: 1358, STR: 331192, VIT: 1180, SPD: 51, LUK: 1, Attack: 417681, Defense: 85602, Current HP: 1358, A Avg: 1111031, D Avg: 85602, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 968: HP: 1903, STR: 332729, VIT: 244, SPD: 51, LUK: 1, Attack: 417695, Defense: 87032, Current HP: 1903, A Avg: 1111068, D Avg: 87032, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 967: HP: 1808, STR: 332729, VIT: 228, SPD: 51, LUK: 1, Attack: 417695, Defense: 87016, Current HP: 1808, A Avg: 1111068, D Avg: 87016, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 966: HP: 1903, STR: 332729, VIT: 337, SPD: 51, LUK: 1, Attack: 417695, Defense: 87125, Current HP: 1903, A Avg: 1111068, D Avg: 87125, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 965: HP: 1903, STR: 332729, VIT: 244, SPD: 51, LUK: 1, Attack: 417695, Defense: 87032, Current HP: 1903, A Avg: 1111068, D Avg: 87032, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 964: HP: 722, STR: 331191, VIT: 465, SPD: 48, LUK: 1, Attack: 417719, Defense: 84653, Current HP: 722, A Avg: 1111132, D Avg: 84653, [Moon Knuckle(153)[630, 630, 630], Dragon Sword(225)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 963: HP: 1130, STR: 331239, VIT: 1041, SPD: 51, LUK: 1, Attack: 417728, Defense: 85463, Current HP: 1130, A Avg: 1111156, D Avg: 85463, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 962: HP: 997, STR: 333060, VIT: 156, SPD: 48, LUK: 1, Attack: 417742, Defense: 87984, Current HP: 997, A Avg: 1111193, D Avg: 87984, [Thunder Whip(143)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 961: HP: 1620, STR: 332715, VIT: 862, SPD: 60, LUK: 1, Attack: 417758, Defense: 85206, Current HP: 1620, A Avg: 1111236, D Avg: 85206, [White Snake(160)[630, 630, 630], V Magnum(238)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 960: HP: 1294, STR: 461728, VIT: 572, SPD: 48, LUK: 1, Attack: 547476, Defense: 86190, Current HP: 1294, A Avg: 1111376, D Avg: 86190, [Scythe of the Grim Reaper(148)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 959: HP: 840, STR: 333248, VIT: 195, SPD: 48, LUK: 1, Attack: 417826, Defense: 84214, Current HP: 840, A Avg: 1111417, D Avg: 84214, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 958: HP: 740, STR: 333248, VIT: 179, SPD: 48, LUK: 1, Attack: 417826, Defense: 84198, Current HP: 740, A Avg: 1111417, D Avg: 84198, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 957: HP: 840, STR: 333248, VIT: 288, SPD: 48, LUK: 1, Attack: 417826, Defense: 84307, Current HP: 840, A Avg: 1111417, D Avg: 84307, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 956: HP: 840, STR: 333248, VIT: 195, SPD: 48, LUK: 1, Attack: 417826, Defense: 84214, Current HP: 840, A Avg: 1111417, D Avg: 84214, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 955: HP: 1808, STR: 332873, VIT: 292, SPD: 51, LUK: 1, Attack: 417839, Defense: 87080, Current HP: 1808, A Avg: 1111451, D Avg: 87080, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 954: HP: 1808, STR: 332873, VIT: 292, SPD: 51, LUK: 1, Attack: 417839, Defense: 87080, Current HP: 1808, A Avg: 1111451, D Avg: 87080, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 953: HP: 703, STR: 500857, VIT: 94, SPD: 51, LUK: 1, Attack: 584980, Defense: 84230, Current HP: 703, A Avg: 1111462, D Avg: 84230, [Pinpoint(112)[630, 630, 630], Magnum(237)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 952: HP: 1149, STR: 499718, VIT: 470, SPD: 48, LUK: 1, Attack: 585050, Defense: 84398, Current HP: 1149, A Avg: 1111595, D Avg: 84398, [Tower(149)[630, 630, 630], Tower Shield(213)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 951: HP: 1273, STR: 333264, VIT: 342, SPD: 48, LUK: 1, Attack: 417914, Defense: 88170, Current HP: 1273, A Avg: 1111651, D Avg: 88170, [Diamond Knuckle(152)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 950: HP: 2036, STR: 332971, VIT: 352, SPD: 51, LUK: 1, Attack: 417937, Defense: 87140, Current HP: 2036, A Avg: 1111712, D Avg: 87140, [Red Shark(134)[630, 630, 630], C Magnum(239)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 949: HP: 2048, STR: 333032, VIT: 940, SPD: 57, LUK: 1, Attack: 417961, Defense: 87156, Current HP: 2048, A Avg: 1111776, D Avg: 87156, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 948: HP: 740, STR: 333392, VIT: 243, SPD: 48, LUK: 1, Attack: 417970, Defense: 84262, Current HP: 740, A Avg: 1111800, D Avg: 84262, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 947: HP: 740, STR: 333392, VIT: 243, SPD: 48, LUK: 1, Attack: 417970, Defense: 84262, Current HP: 740, A Avg: 1111800, D Avg: 84262, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 946: HP: 740, STR: 462898, VIT: 744, SPD: 48, LUK: 1, Attack: 547686, Defense: 84467, Current HP: 740, A Avg: 1111802, D Avg: 84467, [Pulse Knife(165)[630, 630, 630], Pot Lid(201)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 945: HP: 740, STR: 462898, VIT: 744, SPD: 48, LUK: 1, Attack: 547686, Defense: 84477, Current HP: 740, A Avg: 1111802, D Avg: 84477, [Pulse Knife(165)[630, 630, 630], High Pot Lid(202)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 944: HP: 703, STR: 462898, VIT: 799, SPD: 48, LUK: 1, Attack: 547686, Defense: 84668, Current HP: 703, A Avg: 1111802, D Avg: 84668, [Pulse Knife(165)[630, 630, 630], Wooden Shield(203)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 943: HP: 703, STR: 462898, VIT: 804, SPD: 48, LUK: 1, Attack: 547686, Defense: 84608, Current HP: 703, A Avg: 1111802, D Avg: 84608, [Pulse Knife(165)[630, 630, 630], Iron Shield(204)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 942: HP: 703, STR: 462898, VIT: 839, SPD: 48, LUK: 1, Attack: 547686, Defense: 84702, Current HP: 703, A Avg: 1111802, D Avg: 84702, [Pulse Knife(165)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 941: HP: 703, STR: 462898, VIT: 856, SPD: 48, LUK: 1, Attack: 547686, Defense: 84745, Current HP: 703, A Avg: 1111802, D Avg: 84745, [Pulse Knife(165)[630, 630, 630], Large iron Shield(206)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 940: HP: 740, STR: 462898, VIT: 844, SPD: 48, LUK: 1, Attack: 547686, Defense: 84720, Current HP: 740, A Avg: 1111802, D Avg: 84720, [Pulse Knife(165)[630, 630, 630], Magic Shield(207)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 939: HP: 997, STR: 462898, VIT: 938, SPD: 48, LUK: 1, Attack: 547686, Defense: 84775, Current HP: 997, A Avg: 1111802, D Avg: 84775, [Pulse Knife(165)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 938: HP: 800, STR: 462898, VIT: 798, SPD: 48, LUK: 1, Attack: 547686, Defense: 84570, Current HP: 800, A Avg: 1111802, D Avg: 84570, [Pulse Knife(165)[630, 630, 630], Clear Shield(211)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 937: HP: 840, STR: 462898, VIT: 844, SPD: 48, LUK: 1, Attack: 547686, Defense: 84863, Current HP: 840, A Avg: 1111802, D Avg: 84863, [Pulse Knife(165)[630, 630, 630], Prism Shield(212)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 936: HP: 779, STR: 462898, VIT: 848, SPD: 48, LUK: 1, Attack: 547686, Defense: 84776, Current HP: 779, A Avg: 1111802, D Avg: 84776, [Pulse Knife(165)[630, 630, 630], Tower Shield(213)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 935: HP: 1246, STR: 462898, VIT: 992, SPD: 48, LUK: 1, Attack: 547686, Defense: 85554, Current HP: 1246, A Avg: 1111802, D Avg: 85554, [Pulse Knife(165)[630, 630, 630], Slime Shield(221)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 934: HP: 1181, STR: 462898, VIT: 839, SPD: 48, LUK: 1, Attack: 547686, Defense: 84767, Current HP: 1181, A Avg: 1111802, D Avg: 84767, [Pulse Knife(165)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 933: HP: 740, STR: 462898, VIT: 1308, SPD: 48, LUK: 1, Attack: 547686, Defense: 88096, Current HP: 740, A Avg: 1111802, D Avg: 88096, [Pulse Knife(165)[630, 630, 630], Energy Shield(227)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 932: HP: 2479, STR: 462898, VIT: 790, SPD: 48, LUK: 1, Attack: 547686, Defense: 86707, Current HP: 2479, A Avg: 1111802, D Avg: 86707, [Pulse Knife(165)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 931: HP: 1444, STR: 462898, VIT: 1054, SPD: 48, LUK: 1, Attack: 547686, Defense: 85788, Current HP: 1444, A Avg: 1111802, D Avg: 85788, [Pulse Knife(165)[630, 630, 630], Slafield(232)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 930: HP: 1170, STR: 462898, VIT: 992, SPD: 48, LUK: 1, Attack: 547686, Defense: 86467, Current HP: 1170, A Avg: 1111802, D Avg: 86467, [Pulse Knife(165)[630, 630, 630], Mist Shield(233)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 929: HP: 893, STR: 462898, VIT: 1283, SPD: 48, LUK: 1, Attack: 547686, Defense: 86251, Current HP: 893, A Avg: 1111802, D Avg: 86251, [Pulse Knife(165)[630, 630, 630], Huge Shield(234)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 928: HP: 817, STR: 462898, VIT: 1320, SPD: 48, LUK: 1, Attack: 547686, Defense: 88160, Current HP: 817, A Avg: 1111802, D Avg: 88160, [Pulse Knife(165)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 927: HP: 1610, STR: 462898, VIT: 1161, SPD: 48, LUK: 1, Attack: 547686, Defense: 88586, Current HP: 1610, A Avg: 1111802, D Avg: 88586, [Pulse Knife(165)[630, 630, 630], Cloud Shield(241)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 926: HP: 703, STR: 462898, VIT: 744, SPD: 48, LUK: 1, Attack: 547686, Defense: 87533, Current HP: 703, A Avg: 1111802, D Avg: 87533, [Pulse Knife(165)[630, 630, 630], Graffiti(243)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 925: HP: 703, STR: 462898, VIT: 1672, SPD: 48, LUK: 1, Attack: 547686, Defense: 91450, Current HP: 703, A Avg: 1111802, D Avg: 91450, [Pulse Knife(165)[630, 630, 630], Blank Shield(244)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 924: HP: 1178, STR: 462898, VIT: 2193, SPD: 48, LUK: 1, Attack: 547686, Defense: 88981, Current HP: 1178, A Avg: 1111802, D Avg: 88981, [Pulse Knife(165)[630, 630, 630], Golem Shield(245)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 923: HP: 988, STR: 462898, VIT: 1131, SPD: 51, LUK: 1, Attack: 547686, Defense: 87009, Current HP: 988, A Avg: 1111802, D Avg: 87009, [Pulse Knife(165)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 922: HP: 1592, STR: 462898, VIT: 1171, SPD: 48, LUK: 1, Attack: 547686, Defense: 87387, Current HP: 1592, A Avg: 1111802, D Avg: 87387, [Pulse Knife(165)[630, 630, 630], King Shield(248)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 921: HP: 1140, STR: 462898, VIT: 1249, SPD: 48, LUK: 1, Attack: 547686, Defense: 88284, Current HP: 1140, A Avg: 1111802, D Avg: 88284, [Pulse Knife(165)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 920: HP: 740, STR: 462898, VIT: 1300, SPD: 48, LUK: 1, Attack: 547686, Defense: 88348, Current HP: 740, A Avg: 1111802, D Avg: 88348, [Pulse Knife(165)[630, 630, 630], Ghost shield(251)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 919: HP: 944, STR: 462940, VIT: 946, SPD: 48, LUK: 1, Attack: 547728, Defense: 84887, Current HP: 944, A Avg: 1111887, D Avg: 84887, [Pulse Knife(165)[630, 630, 630], Dragon's Scales(215)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 918: HP: 931, STR: 332145, VIT: 558, SPD: 48, LUK: 1, Attack: 418023, Defense: 84746, Current HP: 931, A Avg: 1111941, D Avg: 84746, [God Hand(179)[630, 630, 630], Dragon Sword(225)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 917: HP: 3344, STR: 461912, VIT: 695, SPD: 48, LUK: 1, Attack: 547764, Defense: 86612, Current HP: 3344, A Avg: 1111960, D Avg: 86612, [Santoku(159)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 916: HP: 980, STR: 333489, VIT: 302, SPD: 48, LUK: 1, Attack: 418067, Defense: 84321, Current HP: 980, A Avg: 1112058, D Avg: 84321, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 915: HP: 997, STR: 333243, VIT: 296, SPD: 48, LUK: 1, Attack: 418068, Defense: 88124, Current HP: 997, A Avg: 1112060, D Avg: 88124, [Kraken(145)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 914: HP: 703, STR: 463041, VIT: 844, SPD: 51, LUK: 1, Attack: 547829, Defense: 84869, Current HP: 703, A Avg: 1112092, D Avg: 84869, [Pulse Knife(165)[630, 630, 630], Conductive Barrier(208)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 913: HP: 3439, STR: 461995, VIT: 742, SPD: 48, LUK: 1, Attack: 547847, Defense: 86659, Current HP: 3439, A Avg: 1112129, D Avg: 86659, [Santoku(159)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 912: HP: 1073, STR: 463062, VIT: 948, SPD: 48, LUK: 1, Attack: 547850, Defense: 85188, Current HP: 1073, A Avg: 1112135, D Avg: 85188, [Pulse Knife(165)[630, 630, 630], Dragon's Wings(216)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 911: HP: 1294, STR: 462117, VIT: 492, SPD: 48, LUK: 1, Attack: 547865, Defense: 86110, Current HP: 1294, A Avg: 1112165, D Avg: 86110, [Scythe of the Grim Reaper(148)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 910: HP: 740, STR: 333536, VIT: 163, SPD: 48, LUK: 1, Attack: 418114, Defense: 84182, Current HP: 740, A Avg: 1112183, D Avg: 84182, [Magical(187)[630, 630, 630], Prism Shield(212)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 909: HP: 1096, STR: 463159, VIT: 1028, SPD: 48, LUK: 1, Attack: 547947, Defense: 86646, Current HP: 1096, A Avg: 1112332, D Avg: 86646, [Pulse Knife(165)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 908: HP: 923, STR: 463163, VIT: 1237, SPD: 48, LUK: 1, Attack: 547951, Defense: 86075, Current HP: 923, A Avg: 1112340, D Avg: 86075, [Pulse Knife(165)[630, 630, 630], Bulletproof Shield(235)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 907: HP: 703, STR: 331140, VIT: 94, SPD: 48, LUK: 1, Attack: 418191, Defense: 84282, Current HP: 703, A Avg: 1112388, D Avg: 84282, [Tekken(188)[630, 630, 630], Dragon Sword(225)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 906: HP: 703, STR: 501360, VIT: 94, SPD: 51, LUK: 1, Attack: 585483, Defense: 84438, Current HP: 703, A Avg: 1112417, D Avg: 84438, [Pinpoint(112)[630, 630, 630], V Magnum(238)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 905: HP: 1605, STR: 331857, VIT: 640, SPD: 48, LUK: 1, Attack: 418203, Defense: 85868, Current HP: 1605, A Avg: 1112419, D Avg: 85868, [Progress(147)[630, 630, 630], Wave Motion Sword(226)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 904: HP: 1073, STR: 463205, VIT: 997, SPD: 48, LUK: 1, Attack: 547993, Defense: 85861, Current HP: 1073, A Avg: 1112425, D Avg: 85861, [Pulse Knife(165)[630, 630, 630], Dragon's Head(217)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
