Rank 1000: HP: 440, STR: 2035, VIT: 424, SPD: 34, LUK: 1, Attack: 87913, Defense: 84293, Current HP: 440, A Avg: 109891, D Avg: 84293, [Blue Sword(180)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 940: HP: 869, STR: 1441, VIT: 657, SPD: 32, LUK: 1, Attack: 87319, Defense: 84546, Current HP: 869, A Avg: 110021, D Avg: 84546, [Blue Sword(180)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 939: HP: 1056, STR: 975, VIT: 522, SPD: 32, LUK: 1, Attack: 87321, Defense: 84710, Current HP: 1056, A Avg: 110024, D Avg: 84710, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 785, STR: 1448, VIT: 670, SPD: 32, LUK: 1, Attack: 87326, Defense: 84676, Current HP: 785, A Avg: 110030, D Avg: 84676, [Blue Sword(180)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 937: HP: 860, STR: 1679, VIT: 377, SPD: 36, LUK: 1, Attack: 88025, Defense: 84513, Current HP: 860, A Avg: 110031, D Avg: 84513, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 936: HP: 709, STR: 2149, VIT: 593, SPD: 34, LUK: 1, Attack: 88027, Defense: 86211, Current HP: 709, A Avg: 110033, D Avg: 86211, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 592, STR: 2151, VIT: 763, SPD: 34, LUK: 1, Attack: 88029, Defense: 85601, Current HP: 592, A Avg: 110036, D Avg: 85601, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 1600, STR: 2346, VIT: 134, SPD: 36, LUK: 1, Attack: 88029, Defense: 86922, Current HP: 1600, A Avg: 110036, D Avg: 86922, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 933: HP: 1518, STR: 844, VIT: 2261, SPD: 32, LUK: 1, Attack: 87333, Defense: 89829, Current HP: 1518, A Avg: 110039, D Avg: 89829, [Cuttlefish(178)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 932: HP: 1365, STR: 1547, VIT: 986, SPD: 34, LUK: 1, Attack: 88036, Defense: 87098, Current HP: 1365, A Avg: 110045, D Avg: 87098, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 930, STR: 1548, VIT: 763, SPD: 34, LUK: 1, Attack: 88037, Defense: 84652, Current HP: 930, A Avg: 110046, D Avg: 84652, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 930: HP: 860, STR: 1694, VIT: 377, SPD: 34, LUK: 1, Attack: 88040, Defense: 84565, Current HP: 860, A Avg: 110050, D Avg: 84565, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 929: HP: 680, STR: 2165, VIT: 457, SPD: 36, LUK: 1, Attack: 88043, Defense: 84593, Current HP: 680, A Avg: 110053, D Avg: 84593, [God Hand(179)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 928: HP: 854, STR: 1559, VIT: 771, SPD: 34, LUK: 1, Attack: 88048, Defense: 84777, Current HP: 854, A Avg: 110060, D Avg: 84777, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 1067, STR: 1815, VIT: 873, SPD: 32, LUK: 1, Attack: 87355, Defense: 86101, Current HP: 1067, A Avg: 110067, D Avg: 86101, [Zodiac(184)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 926: HP: 1610, STR: 867, VIT: 1453, SPD: 32, LUK: 1, Attack: 87356, Defense: 87565, Current HP: 1610, A Avg: 110068, D Avg: 87565, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 925: HP: 730, STR: 2178, VIT: 563, SPD: 34, LUK: 1, Attack: 88056, Defense: 85427, Current HP: 730, A Avg: 110070, D Avg: 85427, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 650, STR: 2178, VIT: 571, SPD: 36, LUK: 1, Attack: 88056, Defense: 84993, Current HP: 650, A Avg: 110070, D Avg: 84993, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 1254, STR: 2862, VIT: 857, SPD: 32, LUK: 1, Attack: 87362, Defense: 88685, Current HP: 1254, A Avg: 110076, D Avg: 88685, [Divine Dragon Sword(181)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 922: HP: 1080, STR: 1574, VIT: 1171, SPD: 34, LUK: 1, Attack: 88063, Defense: 86165, Current HP: 1080, A Avg: 110078, D Avg: 86165, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 1111, STR: 1492, VIT: 873, SPD: 32, LUK: 1, Attack: 87370, Defense: 86101, Current HP: 1111, A Avg: 110086, D Avg: 86101, [God Hand(179)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 920: HP: 556, STR: 2192, VIT: 465, SPD: 34, LUK: 1, Attack: 88070, Defense: 84965, Current HP: 556, A Avg: 110087, D Avg: 84965, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 919: HP: 1298, STR: 883, VIT: 1701, SPD: 32, LUK: 1, Attack: 87372, Defense: 86695, Current HP: 1298, A Avg: 110088, D Avg: 86695, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 918: HP: 440, STR: 3236, VIT: 316, SPD: 34, LUK: 1, Attack: 88074, Defense: 88144, Current HP: 440, A Avg: 110092, D Avg: 88144, [Classic(168)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 917: HP: 1133, STR: 887, VIT: 1112, SPD: 32, LUK: 1, Attack: 87376, Defense: 85001, Current HP: 1133, A Avg: 110093, D Avg: 85001, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 916: HP: 680, STR: 2198, VIT: 457, SPD: 34, LUK: 1, Attack: 88076, Defense: 84645, Current HP: 680, A Avg: 110095, D Avg: 84645, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 915: HP: 1049, STR: 894, VIT: 1125, SPD: 32, LUK: 1, Attack: 87383, Defense: 85131, Current HP: 1049, A Avg: 110102, D Avg: 85131, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 914: HP: 730, STR: 2205, VIT: 797, SPD: 34, LUK: 1, Attack: 88083, Defense: 87598, Current HP: 730, A Avg: 110103, D Avg: 87598, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 913: HP: 460, STR: 1038, VIT: 175, SPD: 34, LUK: 1, Attack: 88089, Defense: 84038, Current HP: 460, A Avg: 110111, D Avg: 84038, [Tekken(188)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 912: HP: 440, STR: 3512, VIT: 134, SPD: 36, LUK: 1, Attack: 88090, Defense: 84478, Current HP: 440, A Avg: 110112, D Avg: 84478, [Magical(187)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 911: HP: 440, STR: 3161, VIT: 134, SPD: 36, LUK: 1, Attack: 88090, Defense: 84478, Current HP: 440, A Avg: 110112, D Avg: 84478, [Jack Knife(185)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 910: HP: 2013, STR: 1540, VIT: 722, SPD: 34, LUK: 1, Attack: 87392, Defense: 87510, Current HP: 2013, A Avg: 110113, D Avg: 87510, [Santoku(159)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 909: HP: 786, STR: 3063, VIT: 372, SPD: 34, LUK: 1, Attack: 88106, Defense: 88200, Current HP: 786, A Avg: 110132, D Avg: 88200, [White Snake(160)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 1270, STR: 3612, VIT: 746, SPD: 34, LUK: 1, Attack: 88112, Defense: 85974, Current HP: 1270, A Avg: 110140, D Avg: 85974, [Divine Dragon Sword(181)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 1232, STR: 1730, VIT: 150, SPD: 32, LUK: 1, Attack: 87413, Defense: 87978, Current HP: 1232, A Avg: 110140, D Avg: 87978, [Dancing(155)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 906: HP: 480, STR: 1074, VIT: 379, SPD: 34, LUK: 1, Attack: 88125, Defense: 84970, Current HP: 480, A Avg: 110156, D Avg: 84970, [Tekken(188)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 670, STR: 1074, VIT: 411, SPD: 34, LUK: 1, Attack: 88125, Defense: 87329, Current HP: 670, A Avg: 110156, D Avg: 87329, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 1130, STR: 3203, VIT: 328, SPD: 34, LUK: 1, Attack: 88126, Defense: 88156, Current HP: 1130, A Avg: 110157, D Avg: 88156, [Pangaea(164)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 903: HP: 1040, STR: 1075, VIT: 958, SPD: 34, LUK: 1, Attack: 88126, Defense: 88526, Current HP: 1040, A Avg: 110157, D Avg: 88526, [Tekken(188)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
