Rank 1000: HP: 7414, STR: 3043, VIT: 2121, SPD: 85, LUK: 1, Attack: 88856, Defense: 87999, Current HP: 7414, A Avg: 111958, D Avg: 87999, [Spear of Regression(182)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 962: HP: 1518, STR: 3117, VIT: 1580, SPD: 80, LUK: 1, Attack: 88995, Defense: 85768, Current HP: 1518, A Avg: 112133, D Avg: 85768, [God Hand(179)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 961: HP: 3436, STR: 4040, VIT: 707, SPD: 85, LUK: 1, Attack: 89006, Defense: 87495, Current HP: 3436, A Avg: 112147, D Avg: 87495, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 960: HP: 1254, STR: 4432, VIT: 306, SPD: 85, LUK: 1, Attack: 89010, Defense: 84650, Current HP: 1254, A Avg: 112152, D Avg: 84650, [Magical(187)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 959: HP: 1830, STR: 3847, VIT: 1193, SPD: 85, LUK: 1, Attack: 89725, Defense: 85082, Current HP: 1830, A Avg: 112156, D Avg: 85082, [God Hand(179)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 3400, STR: 4047, VIT: 185, SPD: 90, LUK: 1, Attack: 89730, Defense: 86973, Current HP: 3400, A Avg: 112162, D Avg: 86973, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 8091, STR: 3206, VIT: 1851, SPD: 80, LUK: 1, Attack: 89019, Defense: 87469, Current HP: 8091, A Avg: 112163, D Avg: 87469, [Spear of Regression(182)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 956: HP: 1700, STR: 3243, VIT: 1729, SPD: 85, LUK: 1, Attack: 89732, Defense: 86151, Current HP: 1700, A Avg: 112165, D Avg: 86151, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 7515, STR: 3208, VIT: 2205, SPD: 80, LUK: 1, Attack: 89021, Defense: 87043, Current HP: 7515, A Avg: 112166, D Avg: 87043, [Spear of Regression(182)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 954: HP: 1040, STR: 5969, VIT: 185, SPD: 85, LUK: 1, Attack: 89741, Defense: 88013, Current HP: 1040, A Avg: 112176, D Avg: 88013, [Wasp Knife(105)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 7733, STR: 3224, VIT: 1663, SPD: 80, LUK: 1, Attack: 89037, Defense: 86527, Current HP: 7733, A Avg: 112186, D Avg: 86527, [Spear of Regression(182)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 952: HP: 7645, STR: 3224, VIT: 1739, SPD: 85, LUK: 1, Attack: 89037, Defense: 86161, Current HP: 7645, A Avg: 112186, D Avg: 86161, [Spear of Regression(182)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 951: HP: 1254, STR: 4389, VIT: 306, SPD: 80, LUK: 1, Attack: 89045, Defense: 88134, Current HP: 1254, A Avg: 112196, D Avg: 88134, [Penetra(161)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 950: HP: 7106, STR: 3233, VIT: 1344, SPD: 80, LUK: 1, Attack: 89046, Defense: 85350, Current HP: 7106, A Avg: 112197, D Avg: 85350, [Spear of Regression(182)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 949: HP: 7084, STR: 3233, VIT: 7446, SPD: 80, LUK: 1, Attack: 89046, Defense: 93116, Current HP: 7084, A Avg: 112197, D Avg: 93116, [Spear of Regression(182)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 948: HP: 1903, STR: 3177, VIT: 2597, SPD: 80, LUK: 1, Attack: 89055, Defense: 89398, Current HP: 1903, A Avg: 112209, D Avg: 89398, [Blue Sword(180)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 947: HP: 1040, STR: 2718, VIT: 185, SPD: 90, LUK: 1, Attack: 89769, Defense: 84321, Current HP: 1040, A Avg: 112211, D Avg: 84321, [Tekken(188)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 2080, STR: 4947, VIT: 1038, SPD: 85, LUK: 1, Attack: 89785, Defense: 86266, Current HP: 2080, A Avg: 112231, D Avg: 86266, [Willow Blade(157)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 945: HP: 2333, STR: 4856, VIT: 770, SPD: 80, LUK: 1, Attack: 89785, Defense: 86986, Current HP: 2333, A Avg: 112231, D Avg: 86986, [Jack Knife(185)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 1254, STR: 5989, VIT: 270, SPD: 85, LUK: 1, Attack: 89787, Defense: 88098, Current HP: 1254, A Avg: 112233, D Avg: 88098, [Ninja(135)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 1518, STR: 2589, VIT: 2170, SPD: 80, LUK: 1, Attack: 89078, Defense: 86358, Current HP: 1518, A Avg: 112238, D Avg: 86358, [Cuttlefish(178)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 942: HP: 1054, STR: 5983, VIT: 268, SPD: 85, LUK: 1, Attack: 89799, Defense: 88096, Current HP: 1054, A Avg: 112248, D Avg: 88096, [Hand Axe(140)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 1254, STR: 2038, VIT: 306, SPD: 80, LUK: 1, Attack: 89089, Defense: 84494, Current HP: 1254, A Avg: 112252, D Avg: 84494, [Tekken(188)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 940: HP: 2096, STR: 4051, VIT: 1216, SPD: 80, LUK: 1, Attack: 89094, Defense: 89044, Current HP: 2096, A Avg: 112258, D Avg: 89044, [White Snake(160)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 939: HP: 1513, STR: 3216, VIT: 1593, SPD: 80, LUK: 1, Attack: 89094, Defense: 86093, Current HP: 1513, A Avg: 112258, D Avg: 86093, [Blue Sword(180)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 1050, STR: 5969, VIT: 202, SPD: 85, LUK: 1, Attack: 89812, Defense: 88030, Current HP: 1050, A Avg: 112265, D Avg: 88030, [Salamander(110)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 937: HP: 7733, STR: 3288, VIT: 2338, SPD: 80, LUK: 1, Attack: 89101, Defense: 89139, Current HP: 7733, A Avg: 112267, D Avg: 89139, [Spear of Regression(182)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 936: HP: 1634, STR: 3942, VIT: 1201, SPD: 85, LUK: 1, Attack: 89820, Defense: 85207, Current HP: 1634, A Avg: 112275, D Avg: 85207, [God Hand(179)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 1570, STR: 5969, VIT: 351, SPD: 85, LUK: 1, Attack: 89825, Defense: 88179, Current HP: 1570, A Avg: 112281, D Avg: 88179, [Emerald Sword(115)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 1050, STR: 5832, VIT: 185, SPD: 85, LUK: 1, Attack: 89825, Defense: 88013, Current HP: 1050, A Avg: 112281, D Avg: 88013, [Sword of Wood(124)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 933: HP: 1040, STR: 5983, VIT: 185, SPD: 85, LUK: 1, Attack: 89826, Defense: 88013, Current HP: 1040, A Avg: 112282, D Avg: 88013, [Battle Scythe(107)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 932: HP: 1302, STR: 4290, VIT: 1018, SPD: 85, LUK: 1, Attack: 89830, Defense: 84741, Current HP: 1302, A Avg: 112287, D Avg: 84741, [Zodiac(184)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 1302, STR: 4290, VIT: 1018, SPD: 85, LUK: 1, Attack: 89830, Defense: 84751, Current HP: 1302, A Avg: 112287, D Avg: 84751, [Zodiac(184)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 930: HP: 1240, STR: 4290, VIT: 1087, SPD: 85, LUK: 1, Attack: 89830, Defense: 84956, Current HP: 1240, A Avg: 112287, D Avg: 84956, [Zodiac(184)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 929: HP: 1240, STR: 4290, VIT: 1092, SPD: 85, LUK: 1, Attack: 89830, Defense: 84896, Current HP: 1240, A Avg: 112287, D Avg: 84896, [Zodiac(184)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 928: HP: 1240, STR: 4290, VIT: 1166, SPD: 85, LUK: 1, Attack: 89830, Defense: 85029, Current HP: 1240, A Avg: 112287, D Avg: 85029, [Zodiac(184)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 1240, STR: 4290, VIT: 1184, SPD: 85, LUK: 1, Attack: 89830, Defense: 85073, Current HP: 1240, A Avg: 112287, D Avg: 85073, [Zodiac(184)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 926: HP: 1302, STR: 4290, VIT: 1193, SPD: 85, LUK: 1, Attack: 89830, Defense: 85069, Current HP: 1302, A Avg: 112287, D Avg: 85069, [Zodiac(184)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 925: HP: 1750, STR: 4290, VIT: 1342, SPD: 85, LUK: 1, Attack: 89830, Defense: 85179, Current HP: 1750, A Avg: 112287, D Avg: 85179, [Zodiac(184)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 1365, STR: 4290, VIT: 1110, SPD: 85, LUK: 1, Attack: 89830, Defense: 84882, Current HP: 1365, A Avg: 112287, D Avg: 84882, [Zodiac(184)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 1407, STR: 4290, VIT: 1193, SPD: 85, LUK: 1, Attack: 89830, Defense: 85212, Current HP: 1407, A Avg: 112287, D Avg: 85212, [Zodiac(184)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 1320, STR: 4290, VIT: 1175, SPD: 85, LUK: 1, Attack: 89830, Defense: 85103, Current HP: 1320, A Avg: 112287, D Avg: 85103, [Zodiac(184)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 2127, STR: 4290, VIT: 1451, SPD: 85, LUK: 1, Attack: 89830, Defense: 86013, Current HP: 2127, A Avg: 112287, D Avg: 86013, [Zodiac(184)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 2064, STR: 4290, VIT: 1166, SPD: 85, LUK: 1, Attack: 89830, Defense: 85094, Current HP: 2064, A Avg: 112287, D Avg: 85094, [Zodiac(184)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 919: HP: 1302, STR: 4290, VIT: 1856, SPD: 85, LUK: 1, Attack: 89830, Defense: 88644, Current HP: 1302, A Avg: 112287, D Avg: 88644, [Zodiac(184)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 3710, STR: 4290, VIT: 1078, SPD: 85, LUK: 1, Attack: 89830, Defense: 86995, Current HP: 3710, A Avg: 112287, D Avg: 86995, [Zodiac(184)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 917: HP: 2377, STR: 4290, VIT: 1552, SPD: 85, LUK: 1, Attack: 89830, Defense: 86286, Current HP: 2377, A Avg: 112287, D Avg: 86286, [Zodiac(184)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 1963, STR: 4290, VIT: 1451, SPD: 85, LUK: 1, Attack: 89830, Defense: 86926, Current HP: 1963, A Avg: 112287, D Avg: 86926, [Zodiac(184)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 915: HP: 1440, STR: 4290, VIT: 1960, SPD: 85, LUK: 1, Attack: 89830, Defense: 86928, Current HP: 1440, A Avg: 112287, D Avg: 86928, [Zodiac(184)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1360, STR: 4290, VIT: 1970, SPD: 85, LUK: 1, Attack: 89830, Defense: 88810, Current HP: 1360, A Avg: 112287, D Avg: 88810, [Zodiac(184)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 913: HP: 2845, STR: 4290, VIT: 1768, SPD: 85, LUK: 1, Attack: 89830, Defense: 89193, Current HP: 2845, A Avg: 112287, D Avg: 89193, [Zodiac(184)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 912: HP: 1240, STR: 4290, VIT: 1018, SPD: 85, LUK: 1, Attack: 89830, Defense: 87807, Current HP: 1240, A Avg: 112287, D Avg: 87807, [Zodiac(184)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 911: HP: 1240, STR: 4290, VIT: 2684, SPD: 85, LUK: 1, Attack: 89830, Defense: 92462, Current HP: 1240, A Avg: 112287, D Avg: 92462, [Zodiac(184)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 910: HP: 1740, STR: 4290, VIT: 3463, SPD: 85, LUK: 1, Attack: 89830, Defense: 90251, Current HP: 1740, A Avg: 112287, D Avg: 90251, [Zodiac(184)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 909: HP: 1540, STR: 4290, VIT: 1701, SPD: 90, LUK: 1, Attack: 89830, Defense: 87579, Current HP: 1540, A Avg: 112287, D Avg: 87579, [Zodiac(184)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 2656, STR: 4290, VIT: 1697, SPD: 85, LUK: 1, Attack: 89830, Defense: 87913, Current HP: 2656, A Avg: 112287, D Avg: 87913, [Zodiac(184)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 1722, STR: 4290, VIT: 1691, SPD: 85, LUK: 1, Attack: 89830, Defense: 88726, Current HP: 1722, A Avg: 112287, D Avg: 88726, [Zodiac(184)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 1302, STR: 4290, VIT: 2017, SPD: 85, LUK: 1, Attack: 89830, Defense: 89065, Current HP: 1302, A Avg: 112287, D Avg: 89065, [Zodiac(184)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 2140, STR: 4498, VIT: 1319, SPD: 90, LUK: 1, Attack: 89832, Defense: 85663, Current HP: 2140, A Avg: 112290, D Avg: 85663, [Impulse(166)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
