Rank 1000: HP: 736, STR: 460, VIT: 176, SPD: 40, LUK: 1, Attack: 87511, Defense: 83899, Current HP: 736, A Avg: 110263, D Avg: 83899, [Tekken(188)[0, 0, 0], Pot Lid(201)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 969: HP: 820, STR: 2581, VIT: 1142, SPD: 42, LUK: 1, Attack: 88225, Defense: 86370, Current HP: 820, A Avg: 110281, D Avg: 86370, [Portal Sword(176)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 968: HP: 950, STR: 476, VIT: 391, SPD: 40, LUK: 1, Attack: 87527, Defense: 84332, Current HP: 950, A Avg: 110284, D Avg: 84332, [Tekken(188)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 967: HP: 3420, STR: 3175, VIT: 142, SPD: 42, LUK: 1, Attack: 88228, Defense: 87970, Current HP: 3420, A Avg: 110285, D Avg: 87970, [Common Key(174)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 1298, STR: 1040, VIT: 1333, SPD: 40, LUK: 1, Attack: 87529, Defense: 85222, Current HP: 1298, A Avg: 110286, D Avg: 85222, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 965: HP: 1400, STR: 3525, VIT: 584, SPD: 42, LUK: 1, Attack: 88233, Defense: 88412, Current HP: 1400, A Avg: 110291, D Avg: 88412, [Thin Blade(158)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 964: HP: 924, STR: 1995, VIT: 800, SPD: 40, LUK: 1, Attack: 87535, Defense: 84988, Current HP: 924, A Avg: 110294, D Avg: 84988, [Zodiac(184)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 963: HP: 990, STR: 2063, VIT: 514, SPD: 40, LUK: 1, Attack: 87538, Defense: 88342, Current HP: 990, A Avg: 110297, D Avg: 88342, [Elemental(121)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 962: HP: 1040, STR: 2699, VIT: 640, SPD: 42, LUK: 1, Attack: 88239, Defense: 84529, Current HP: 1040, A Avg: 110298, D Avg: 84529, [Zodiac(184)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 961: HP: 1140, STR: 3740, VIT: 673, SPD: 42, LUK: 1, Attack: 88240, Defense: 84861, Current HP: 1140, A Avg: 110300, D Avg: 84861, [Divine Dragon Sword(181)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 726, STR: 489, VIT: 314, SPD: 40, LUK: 1, Attack: 87540, Defense: 84320, Current HP: 726, A Avg: 110300, D Avg: 84320, [Tekken(188)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 959: HP: 704, STR: 489, VIT: 3296, SPD: 40, LUK: 1, Attack: 87540, Defense: 88966, Current HP: 704, A Avg: 110300, D Avg: 88966, [Tekken(188)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 958: HP: 968, STR: 1664, VIT: 800, SPD: 42, LUK: 1, Attack: 87542, Defense: 85144, Current HP: 968, A Avg: 110302, D Avg: 85144, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 957: HP: 1276, STR: 1196, VIT: 639, SPD: 40, LUK: 1, Attack: 87542, Defense: 84827, Current HP: 1276, A Avg: 110302, D Avg: 84827, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 956: HP: 1192, STR: 1055, VIT: 1346, SPD: 40, LUK: 1, Attack: 87544, Defense: 85352, Current HP: 1192, A Avg: 110305, D Avg: 85352, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 955: HP: 704, STR: 507, VIT: 314, SPD: 42, LUK: 1, Attack: 87558, Defense: 84339, Current HP: 704, A Avg: 110323, D Avg: 84339, [Tekken(188)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 954: HP: 748, STR: 1683, VIT: 1128, SPD: 40, LUK: 1, Attack: 87561, Defense: 85719, Current HP: 748, A Avg: 110326, D Avg: 85719, [Blue Sword(180)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 953: HP: 1012, STR: 1683, VIT: 1190, SPD: 40, LUK: 1, Attack: 87561, Defense: 88108, Current HP: 1012, A Avg: 110326, D Avg: 88108, [Blue Sword(180)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 952: HP: 944, STR: 2724, VIT: 649, SPD: 42, LUK: 1, Attack: 88264, Defense: 84655, Current HP: 944, A Avg: 110330, D Avg: 84655, [Zodiac(184)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 1575, STR: 1776, VIT: 1156, SPD: 42, LUK: 1, Attack: 88265, Defense: 87268, Current HP: 1575, A Avg: 110331, D Avg: 87268, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 2112, STR: 1324, VIT: 176, SPD: 42, LUK: 1, Attack: 87566, Defense: 86964, Current HP: 2112, A Avg: 110333, D Avg: 86964, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 949: HP: 1078, STR: 515, VIT: 394, SPD: 40, LUK: 1, Attack: 87566, Defense: 84634, Current HP: 1078, A Avg: 110333, D Avg: 84634, [Tekken(188)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 948: HP: 1060, STR: 1922, VIT: 445, SPD: 45, LUK: 1, Attack: 88268, Defense: 84581, Current HP: 1060, A Avg: 110335, D Avg: 84581, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 1080, STR: 1786, VIT: 899, SPD: 42, LUK: 1, Attack: 88275, Defense: 84788, Current HP: 1080, A Avg: 110343, D Avg: 84788, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 726, STR: 1052, VIT: 675, SPD: 42, LUK: 1, Attack: 87580, Defense: 84811, Current HP: 726, A Avg: 110350, D Avg: 84811, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 945: HP: 1040, STR: 3634, VIT: 363, SPD: 42, LUK: 1, Attack: 88284, Defense: 88191, Current HP: 1040, A Avg: 110355, D Avg: 88191, [Diamond Knuckle(152)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 580, STR: 1236, VIT: 438, SPD: 42, LUK: 1, Attack: 88287, Defense: 85029, Current HP: 580, A Avg: 110358, D Avg: 85029, [Tekken(188)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 820, STR: 1236, VIT: 479, SPD: 42, LUK: 1, Attack: 88287, Defense: 87397, Current HP: 820, A Avg: 110358, D Avg: 87397, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 942: HP: 924, STR: 2048, VIT: 800, SPD: 42, LUK: 1, Attack: 87588, Defense: 85144, Current HP: 924, A Avg: 110360, D Avg: 85144, [Zodiac(184)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 941: HP: 1364, STR: 1713, VIT: 2131, SPD: 40, LUK: 1, Attack: 87591, Defense: 89699, Current HP: 1364, A Avg: 110364, D Avg: 89699, [Blue Sword(180)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 940: HP: 1180, STR: 1803, VIT: 1342, SPD: 42, LUK: 1, Attack: 88292, Defense: 86336, Current HP: 1180, A Avg: 110365, D Avg: 86336, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 939: HP: 726, STR: 1717, VIT: 751, SPD: 40, LUK: 1, Attack: 87595, Defense: 84614, Current HP: 726, A Avg: 110369, D Avg: 84614, [Blue Sword(180)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 938: HP: 1076, STR: 544, VIT: 561, SPD: 40, LUK: 1, Attack: 87595, Defense: 86179, Current HP: 1076, A Avg: 110369, D Avg: 86179, [Tekken(188)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 937: HP: 915, STR: 545, VIT: 799, SPD: 40, LUK: 1, Attack: 87596, Defense: 85637, Current HP: 915, A Avg: 110370, D Avg: 85637, [Tekken(188)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 936: HP: 853, STR: 547, VIT: 314, SPD: 40, LUK: 1, Attack: 87598, Defense: 84814, Current HP: 853, A Avg: 110373, D Avg: 84814, [Tekken(188)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 935: HP: 984, STR: 1811, VIT: 907, SPD: 42, LUK: 1, Attack: 88300, Defense: 84913, Current HP: 984, A Avg: 110375, D Avg: 84913, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 934: HP: 1564, STR: 1724, VIT: 1206, SPD: 40, LUK: 1, Attack: 87602, Defense: 87318, Current HP: 1564, A Avg: 110378, D Avg: 87318, [Blue Sword(180)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 933: HP: 2398, STR: 1756, VIT: 878, SPD: 42, LUK: 1, Attack: 87608, Defense: 87666, Current HP: 2398, A Avg: 110386, D Avg: 87666, [Santoku(159)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 932: HP: 1900, STR: 2629, VIT: 142, SPD: 45, LUK: 1, Attack: 88312, Defense: 86930, Current HP: 1900, A Avg: 110390, D Avg: 86930, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 1078, STR: 561, VIT: 459, SPD: 40, LUK: 1, Attack: 87612, Defense: 85323, Current HP: 1078, A Avg: 110391, D Avg: 85323, [Tekken(188)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 930: HP: 990, STR: 561, VIT: 514, SPD: 42, LUK: 1, Attack: 87612, Defense: 84936, Current HP: 990, A Avg: 110391, D Avg: 84936, [Tekken(188)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 929: HP: 540, STR: 3388, VIT: 142, SPD: 42, LUK: 1, Attack: 88317, Defense: 84330, Current HP: 540, A Avg: 110396, D Avg: 84330, [Jack Knife(185)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 928: HP: 1144, STR: 1740, VIT: 1431, SPD: 40, LUK: 1, Attack: 87618, Defense: 86425, Current HP: 1144, A Avg: 110398, D Avg: 86425, [Blue Sword(180)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 927: HP: 1220, STR: 3547, VIT: 632, SPD: 45, LUK: 1, Attack: 88335, Defense: 87420, Current HP: 1220, A Avg: 110418, D Avg: 87420, [Pulse Knife(165)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 926: HP: 860, STR: 3525, VIT: 323, SPD: 42, LUK: 1, Attack: 88337, Defense: 88151, Current HP: 860, A Avg: 110421, D Avg: 88151, [Granada(150)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 925: HP: 1078, STR: 585, VIT: 864, SPD: 40, LUK: 1, Attack: 87636, Defense: 87665, Current HP: 1078, A Avg: 110421, D Avg: 87665, [Tekken(188)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 924: HP: 1276, STR: 1296, VIT: 639, SPD: 42, LUK: 1, Attack: 87642, Defense: 84983, Current HP: 1276, A Avg: 110428, D Avg: 84983, [Progress(147)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 923: HP: 840, STR: 1299, VIT: 232, SPD: 42, LUK: 1, Attack: 88350, Defense: 84121, Current HP: 840, A Avg: 110437, D Avg: 84121, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 1323, STR: 1306, VIT: 489, SPD: 42, LUK: 1, Attack: 88357, Defense: 86601, Current HP: 1323, A Avg: 110446, D Avg: 86601, [Tekken(188)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 640, STR: 3794, VIT: 219, SPD: 40, LUK: 1, Attack: 88372, Defense: 84238, Current HP: 640, A Avg: 110465, D Avg: 84238, [Magical(187)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 920: HP: 560, STR: 1846, VIT: 469, SPD: 45, LUK: 1, Attack: 88374, Defense: 84605, Current HP: 560, A Avg: 110467, D Avg: 84605, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 919: HP: 744, STR: 1324, VIT: 241, SPD: 42, LUK: 1, Attack: 88375, Defense: 84247, Current HP: 744, A Avg: 110468, D Avg: 84247, [Tekken(188)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 1034, STR: 1798, VIT: 813, SPD: 40, LUK: 1, Attack: 87676, Defense: 84702, Current HP: 1034, A Avg: 110471, D Avg: 84702, [Blue Sword(180)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 917: HP: 726, STR: 1149, VIT: 675, SPD: 40, LUK: 1, Attack: 87677, Defense: 84863, Current HP: 726, A Avg: 110473, D Avg: 84863, [Moon Knuckle(153)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 916: HP: 1680, STR: 2531, VIT: 785, SPD: 42, LUK: 1, Attack: 88383, Defense: 86013, Current HP: 1680, A Avg: 110478, D Avg: 86013, [Santoku(159)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 915: HP: 940, STR: 1333, VIT: 637, SPD: 42, LUK: 1, Attack: 88384, Defense: 85631, Current HP: 940, A Avg: 110480, D Avg: 85631, [Tekken(188)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1060, STR: 2044, VIT: 445, SPD: 42, LUK: 1, Attack: 88390, Defense: 84633, Current HP: 1060, A Avg: 110487, D Avg: 84633, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 913: HP: 928, STR: 1813, VIT: 826, SPD: 40, LUK: 1, Attack: 87691, Defense: 84832, Current HP: 928, A Avg: 110490, D Avg: 84832, [Blue Sword(180)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 912: HP: 1140, STR: 3893, VIT: 673, SPD: 45, LUK: 1, Attack: 88393, Defense: 85017, Current HP: 1140, A Avg: 110491, D Avg: 85017, [Divine Dragon Sword(181)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 911: HP: 567, STR: 2521, VIT: 469, SPD: 42, LUK: 1, Attack: 88399, Defense: 84192, Current HP: 567, A Avg: 110498, D Avg: 84192, [Blue Sword(180)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 910: HP: 567, STR: 2521, VIT: 469, SPD: 42, LUK: 1, Attack: 88399, Defense: 84202, Current HP: 567, A Avg: 110498, D Avg: 84202, [Blue Sword(180)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 909: HP: 540, STR: 2521, VIT: 505, SPD: 42, LUK: 1, Attack: 88399, Defense: 84374, Current HP: 540, A Avg: 110498, D Avg: 84374, [Blue Sword(180)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 540, STR: 2521, VIT: 511, SPD: 42, LUK: 1, Attack: 88399, Defense: 84315, Current HP: 540, A Avg: 110498, D Avg: 84315, [Blue Sword(180)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 540, STR: 2521, VIT: 540, SPD: 42, LUK: 1, Attack: 88399, Defense: 84403, Current HP: 540, A Avg: 110498, D Avg: 84403, [Blue Sword(180)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 540, STR: 2521, VIT: 558, SPD: 42, LUK: 1, Attack: 88399, Defense: 84447, Current HP: 540, A Avg: 110498, D Avg: 84447, [Blue Sword(180)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 567, STR: 2521, VIT: 559, SPD: 42, LUK: 1, Attack: 88399, Defense: 84435, Current HP: 567, A Avg: 110498, D Avg: 84435, [Blue Sword(180)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 800, STR: 2521, VIT: 626, SPD: 42, LUK: 1, Attack: 88399, Defense: 84463, Current HP: 800, A Avg: 110498, D Avg: 84463, [Blue Sword(180)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 903: HP: 630, STR: 2521, VIT: 518, SPD: 42, LUK: 1, Attack: 88399, Defense: 84290, Current HP: 630, A Avg: 110498, D Avg: 84290, [Blue Sword(180)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 902: HP: 672, STR: 2521, VIT: 559, SPD: 42, LUK: 1, Attack: 88399, Defense: 84578, Current HP: 672, A Avg: 110498, D Avg: 84578, [Blue Sword(180)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
