Rank 1000: HP: 380, STR: 288330, VIT: 123, SPD: 8, LUK: 1, Attack: 373662, Defense: 83986, Current HP: 380, A Avg: 993940, D Avg: 83986, [Tower(149)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 989: HP: 323, STR: 404182, VIT: 105, SPD: 8, LUK: 1, Attack: 489722, Defense: 83909, Current HP: 323, A Avg: 994135, D Avg: 83909, [Zodiac(184)[230, 230, 230], Iron Shield(204)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 988: HP: 323, STR: 404182, VIT: 98, SPD: 8, LUK: 1, Attack: 489722, Defense: 83961, Current HP: 323, A Avg: 994135, D Avg: 83961, [Zodiac(184)[230, 230, 230], Titanium Shield(205)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 987: HP: 323, STR: 404182, VIT: 115, SPD: 8, LUK: 1, Attack: 489722, Defense: 84004, Current HP: 323, A Avg: 994135, D Avg: 84004, [Zodiac(184)[230, 230, 230], Large iron Shield(206)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 986: HP: 340, STR: 404182, VIT: 107, SPD: 8, LUK: 1, Attack: 489722, Defense: 83983, Current HP: 340, A Avg: 994135, D Avg: 83983, [Zodiac(184)[230, 230, 230], Magic Shield(207)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 985: HP: 380, STR: 404182, VIT: 112, SPD: 8, LUK: 1, Attack: 489722, Defense: 83949, Current HP: 380, A Avg: 994135, D Avg: 83949, [Zodiac(184)[230, 230, 230], Emerald Shield(209)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 984: HP: 400, STR: 404182, VIT: 100, SPD: 8, LUK: 1, Attack: 489722, Defense: 83872, Current HP: 400, A Avg: 994135, D Avg: 83872, [Zodiac(184)[230, 230, 230], Clear Shield(211)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 983: HP: 440, STR: 404182, VIT: 107, SPD: 8, LUK: 1, Attack: 489722, Defense: 84126, Current HP: 440, A Avg: 994135, D Avg: 84126, [Zodiac(184)[230, 230, 230], Prism Shield(212)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 982: HP: 399, STR: 404182, VIT: 107, SPD: 8, LUK: 1, Attack: 489722, Defense: 84035, Current HP: 399, A Avg: 994135, D Avg: 84035, [Zodiac(184)[230, 230, 230], Tower Shield(213)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 981: HP: 496, STR: 404182, VIT: 134, SPD: 8, LUK: 1, Attack: 489722, Defense: 84696, Current HP: 496, A Avg: 994135, D Avg: 84696, [Zodiac(184)[230, 230, 230], Slime Shield(221)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 980: HP: 421, STR: 404182, VIT: 98, SPD: 8, LUK: 1, Attack: 489722, Defense: 84026, Current HP: 421, A Avg: 994135, D Avg: 84026, [Zodiac(184)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 979: HP: 340, STR: 404182, VIT: 371, SPD: 8, LUK: 1, Attack: 489722, Defense: 87159, Current HP: 340, A Avg: 994135, D Avg: 87159, [Zodiac(184)[230, 230, 230], Energy Shield(227)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 978: HP: 1387, STR: 404182, VIT: 91, SPD: 8, LUK: 1, Attack: 489722, Defense: 86008, Current HP: 1387, A Avg: 994135, D Avg: 86008, [Zodiac(184)[230, 230, 230], Frying Pan(231)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 977: HP: 644, STR: 404182, VIT: 156, SPD: 8, LUK: 1, Attack: 489722, Defense: 84890, Current HP: 644, A Avg: 994135, D Avg: 84890, [Zodiac(184)[230, 230, 230], Slafield(232)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 976: HP: 520, STR: 404182, VIT: 134, SPD: 8, LUK: 1, Attack: 489722, Defense: 85609, Current HP: 520, A Avg: 994135, D Avg: 85609, [Zodiac(184)[230, 230, 230], Mist Shield(233)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 975: HP: 513, STR: 404182, VIT: 159, SPD: 8, LUK: 1, Attack: 489722, Defense: 85127, Current HP: 513, A Avg: 994135, D Avg: 85127, [Zodiac(184)[230, 230, 230], Huge Shield(234)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 974: HP: 437, STR: 404182, VIT: 262, SPD: 8, LUK: 1, Attack: 489722, Defense: 87102, Current HP: 437, A Avg: 994135, D Avg: 87102, [Zodiac(184)[230, 230, 230], Aurora Shield(240)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 973: HP: 460, STR: 404182, VIT: 144, SPD: 8, LUK: 1, Attack: 489722, Defense: 87569, Current HP: 460, A Avg: 994135, D Avg: 87569, [Zodiac(184)[230, 230, 230], Cloud Shield(241)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 972: HP: 323, STR: 404182, VIT: 86, SPD: 8, LUK: 1, Attack: 489722, Defense: 86875, Current HP: 323, A Avg: 994135, D Avg: 86875, [Zodiac(184)[230, 230, 230], Graffiti(243)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 971: HP: 323, STR: 404182, VIT: 214, SPD: 8, LUK: 1, Attack: 489722, Defense: 89992, Current HP: 323, A Avg: 994135, D Avg: 89992, [Zodiac(184)[230, 230, 230], Blank Shield(244)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 970: HP: 798, STR: 404182, VIT: 431, SPD: 8, LUK: 1, Attack: 489722, Defense: 87219, Current HP: 798, A Avg: 994135, D Avg: 87219, [Zodiac(184)[230, 230, 230], Golem Shield(245)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 969: HP: 608, STR: 404182, VIT: 153, SPD: 8, LUK: 1, Attack: 489722, Defense: 86031, Current HP: 608, A Avg: 994135, D Avg: 86031, [Zodiac(184)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 968: HP: 642, STR: 404182, VIT: 217, SPD: 8, LUK: 1, Attack: 489722, Defense: 86433, Current HP: 642, A Avg: 994135, D Avg: 86433, [Zodiac(184)[230, 230, 230], King Shield(248)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 967: HP: 740, STR: 404182, VIT: 432, SPD: 8, LUK: 1, Attack: 489722, Defense: 87467, Current HP: 740, A Avg: 994135, D Avg: 87467, [Zodiac(184)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 966: HP: 340, STR: 404182, VIT: 163, SPD: 8, LUK: 1, Attack: 489722, Defense: 87211, Current HP: 340, A Avg: 994135, D Avg: 87211, [Zodiac(184)[230, 230, 230], Ghost shield(251)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 965: HP: 760, STR: 404392, VIT: 332, SPD: 8, LUK: 1, Attack: 489726, Defense: 86444, Current HP: 760, A Avg: 994143, D Avg: 86444, [Impulse(166)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 964: HP: 323, STR: 404220, VIT: 107, SPD: 8, LUK: 1, Attack: 489760, Defense: 84132, Current HP: 323, A Avg: 994212, D Avg: 84132, [Zodiac(184)[230, 230, 230], Conductive Barrier(208)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 963: HP: 228, STR: 404972, VIT: 144, SPD: 8, LUK: 1, Attack: 489760, Defense: 84280, Current HP: 228, A Avg: 994212, D Avg: 84280, [Pulse Knife(165)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 962: HP: 836, STR: 405262, VIT: 404, SPD: 8, LUK: 1, Attack: 489762, Defense: 85268, Current HP: 836, A Avg: 994216, D Avg: 85268, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 961: HP: 421, STR: 404224, VIT: 120, SPD: 8, LUK: 1, Attack: 489764, Defense: 84061, Current HP: 421, A Avg: 994220, D Avg: 84061, [Zodiac(184)[230, 230, 230], Dragon's Scales(215)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 960: HP: 798, STR: 404434, VIT: 499, SPD: 8, LUK: 1, Attack: 489768, Defense: 85493, Current HP: 798, A Avg: 994229, D Avg: 85493, [Impulse(166)[230, 230, 230], Metalization(228)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 959: HP: 396, STR: 404233, VIT: 131, SPD: 8, LUK: 1, Attack: 489773, Defense: 85749, Current HP: 396, A Avg: 994239, D Avg: 85749, [Zodiac(184)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 958: HP: 247, STR: 288222, VIT: 312, SPD: 8, LUK: 1, Attack: 373775, Defense: 84318, Current HP: 247, A Avg: 994241, D Avg: 84318, [Hammer of Justice(186)[230, 230, 230], Wings of Beast(210)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 957: HP: 228, STR: 288222, VIT: 611, SPD: 8, LUK: 1, Attack: 373775, Defense: 86281, Current HP: 228, A Avg: 994241, D Avg: 86281, [Hammer of Justice(186)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 956: HP: 353, STR: 404237, VIT: 241, SPD: 8, LUK: 1, Attack: 489777, Defense: 85079, Current HP: 353, A Avg: 994247, D Avg: 85079, [Zodiac(184)[230, 230, 230], Bulletproof Shield(235)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 955: HP: 456, STR: 404241, VIT: 122, SPD: 8, LUK: 1, Attack: 489781, Defense: 84362, Current HP: 456, A Avg: 994255, D Avg: 84362, [Zodiac(184)[230, 230, 230], Dragon's Wings(216)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 954: HP: 456, STR: 404258, VIT: 248, SPD: 8, LUK: 1, Attack: 489798, Defense: 87049, Current HP: 456, A Avg: 994289, D Avg: 87049, [Zodiac(184)[230, 230, 230], Riot(236)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 953: HP: 627, STR: 289807, VIT: 67, SPD: 8, LUK: 1, Attack: 373807, Defense: 86855, Current HP: 627, A Avg: 994326, D Avg: 86855, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 952: HP: 456, STR: 404279, VIT: 129, SPD: 8, LUK: 1, Attack: 489819, Defense: 84993, Current HP: 456, A Avg: 994332, D Avg: 84993, [Zodiac(184)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 951: HP: 380, STR: 404279, VIT: 134, SPD: 8, LUK: 1, Attack: 489819, Defense: 84556, Current HP: 380, A Avg: 994332, D Avg: 84556, [Zodiac(184)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 950: HP: 456, STR: 405698, VIT: 48, SPD: 8, LUK: 1, Attack: 489819, Defense: 86836, Current HP: 456, A Avg: 994332, D Avg: 86836, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 949: HP: 361, STR: 404283, VIT: 172, SPD: 8, LUK: 1, Attack: 489823, Defense: 84763, Current HP: 361, A Avg: 994340, D Avg: 84763, [Zodiac(184)[230, 230, 230], Black Hole(229)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 948: HP: 399, STR: 404283, VIT: 179, SPD: 8, LUK: 1, Attack: 489823, Defense: 87097, Current HP: 399, A Avg: 994340, D Avg: 87097, [Zodiac(184)[230, 230, 230], White Hole(230)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 947: HP: 281, STR: 288264, VIT: 312, SPD: 8, LUK: 1, Attack: 373817, Defense: 84812, Current HP: 281, A Avg: 994353, D Avg: 84812, [Hammer of Justice(186)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 946: HP: 444, STR: 403970, VIT: 224, SPD: 8, LUK: 1, Attack: 489848, Defense: 84958, Current HP: 444, A Avg: 994391, D Avg: 84958, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 945: HP: 494, STR: 289836, VIT: 80, SPD: 8, LUK: 1, Attack: 373836, Defense: 86868, Current HP: 494, A Avg: 994403, D Avg: 86868, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 944: HP: 399, STR: 289836, VIT: 64, SPD: 8, LUK: 1, Attack: 373836, Defense: 86852, Current HP: 399, A Avg: 994403, D Avg: 86852, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 943: HP: 494, STR: 289836, VIT: 92, SPD: 8, LUK: 1, Attack: 373836, Defense: 86880, Current HP: 494, A Avg: 994403, D Avg: 86880, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 942: HP: 494, STR: 289836, VIT: 80, SPD: 8, LUK: 1, Attack: 373836, Defense: 86868, Current HP: 494, A Avg: 994403, D Avg: 86868, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 941: HP: 931, STR: 288504, VIT: 524, SPD: 8, LUK: 1, Attack: 373836, Defense: 88092, Current HP: 931, A Avg: 994403, D Avg: 88092, [Tower(149)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 940: HP: 361, STR: 288522, VIT: 108, SPD: 8, LUK: 1, Attack: 373854, Defense: 84296, Current HP: 361, A Avg: 994451, D Avg: 84296, [Tower(149)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 939: HP: 342, STR: 288532, VIT: 96, SPD: 8, LUK: 1, Attack: 373864, Defense: 84024, Current HP: 342, A Avg: 994478, D Avg: 84024, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 938: HP: 285, STR: 289200, VIT: 76, SPD: 8, LUK: 1, Attack: 373882, Defense: 87904, Current HP: 285, A Avg: 994526, D Avg: 87904, [Thunder Whip(143)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 937: HP: 307, STR: 288339, VIT: 320, SPD: 8, LUK: 1, Attack: 373892, Defense: 84326, Current HP: 307, A Avg: 994552, D Avg: 84326, [Hammer of Justice(186)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 936: HP: 247, STR: 288348, VIT: 305, SPD: 8, LUK: 1, Attack: 373901, Defense: 84168, Current HP: 247, A Avg: 994576, D Avg: 84168, [Hammer of Justice(186)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 935: HP: 323, STR: 289254, VIT: 102, SPD: 8, LUK: 1, Attack: 373904, Defense: 87930, Current HP: 323, A Avg: 994584, D Avg: 87930, [Diamond Knuckle(152)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 934: HP: 475, STR: 289908, VIT: 112, SPD: 10, LUK: 1, Attack: 373908, Defense: 86900, Current HP: 475, A Avg: 994595, D Avg: 86900, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 933: HP: 323, STR: 288372, VIT: 312, SPD: 8, LUK: 1, Attack: 373925, Defense: 84201, Current HP: 323, A Avg: 994640, D Avg: 84201, [Hammer of Justice(186)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 932: HP: 684, STR: 289825, VIT: 67, SPD: 8, LUK: 1, Attack: 373946, Defense: 86855, Current HP: 684, A Avg: 994696, D Avg: 86855, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 931: HP: 437, STR: 288624, VIT: 153, SPD: 8, LUK: 1, Attack: 373956, Defense: 85381, Current HP: 437, A Avg: 994722, D Avg: 85381, [Tower(149)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 930: HP: 660, STR: 404476, VIT: 220, SPD: 8, LUK: 1, Attack: 490016, Defense: 86332, Current HP: 660, A Avg: 994732, D Avg: 86332, [Zodiac(184)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 929: HP: 228, STR: 289122, VIT: 54, SPD: 8, LUK: 1, Attack: 373963, Defense: 87882, Current HP: 228, A Avg: 994741, D Avg: 87882, [Grand Slam(163)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 928: HP: 266, STR: 289148, VIT: 128, SPD: 10, LUK: 1, Attack: 373973, Defense: 84264, Current HP: 266, A Avg: 994768, D Avg: 84264, [Kraken(145)[230, 230, 230], Magnum(237)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 927: HP: 551, STR: 289854, VIT: 80, SPD: 8, LUK: 1, Attack: 373975, Defense: 86868, Current HP: 551, A Avg: 994773, D Avg: 86868, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 926: HP: 456, STR: 289854, VIT: 64, SPD: 8, LUK: 1, Attack: 373975, Defense: 86852, Current HP: 456, A Avg: 994773, D Avg: 86852, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 925: HP: 551, STR: 289854, VIT: 92, SPD: 8, LUK: 1, Attack: 373975, Defense: 86880, Current HP: 551, A Avg: 994773, D Avg: 86880, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 924: HP: 551, STR: 289854, VIT: 80, SPD: 8, LUK: 1, Attack: 373975, Defense: 86868, Current HP: 551, A Avg: 994773, D Avg: 86868, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 923: HP: 399, STR: 289980, VIT: 128, SPD: 8, LUK: 1, Attack: 373980, Defense: 86916, Current HP: 399, A Avg: 994786, D Avg: 86916, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 922: HP: 399, STR: 289980, VIT: 128, SPD: 8, LUK: 1, Attack: 373980, Defense: 86916, Current HP: 399, A Avg: 994786, D Avg: 86916, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 921: HP: 703, STR: 404518, VIT: 380, SPD: 8, LUK: 1, Attack: 490058, Defense: 85374, Current HP: 703, A Avg: 994817, D Avg: 85374, [Zodiac(184)[230, 230, 230], Metalization(228)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 920: HP: 484, STR: 288252, VIT: 112, SPD: 8, LUK: 1, Attack: 374000, Defense: 85730, Current HP: 484, A Avg: 994839, D Avg: 85730, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 919: HP: 344, STR: 288280, VIT: 124, SPD: 8, LUK: 1, Attack: 374028, Defense: 85742, Current HP: 344, A Avg: 994914, D Avg: 85742, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 918: HP: 244, STR: 288280, VIT: 108, SPD: 8, LUK: 1, Attack: 374028, Defense: 85726, Current HP: 244, A Avg: 994914, D Avg: 85726, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 917: HP: 344, STR: 288280, VIT: 137, SPD: 8, LUK: 1, Attack: 374028, Defense: 85755, Current HP: 344, A Avg: 994914, D Avg: 85755, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 916: HP: 344, STR: 288280, VIT: 124, SPD: 8, LUK: 1, Attack: 374028, Defense: 85742, Current HP: 344, A Avg: 994914, D Avg: 85742, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 915: HP: 551, STR: 289926, VIT: 113, SPD: 10, LUK: 1, Attack: 374036, Defense: 86901, Current HP: 551, A Avg: 994935, D Avg: 86901, [Serpent(144)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 914: HP: 532, STR: 289926, VIT: 112, SPD: 10, LUK: 1, Attack: 374047, Defense: 86900, Current HP: 532, A Avg: 994965, D Avg: 86900, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 913: HP: 444, STR: 404266, VIT: 144, SPD: 8, LUK: 1, Attack: 490144, Defense: 84878, Current HP: 444, A Avg: 994992, D Avg: 84878, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 912: HP: 285, STR: 289233, VIT: 96, SPD: 8, LUK: 1, Attack: 374058, Defense: 87924, Current HP: 285, A Avg: 994994, D Avg: 87924, [Kraken(145)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 911: HP: 260, STR: 437174, VIT: 390, SPD: 8, LUK: 1, Attack: 523702, Defense: 87178, Current HP: 260, A Avg: 995033, D Avg: 87178, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 910: HP: 798, STR: 288522, VIT: 707, SPD: 8, LUK: 1, Attack: 374075, Defense: 88275, Current HP: 798, A Avg: 995039, D Avg: 88275, [Hammer of Justice(186)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 909: HP: 228, STR: 288540, VIT: 291, SPD: 8, LUK: 1, Attack: 374093, Defense: 84479, Current HP: 228, A Avg: 995087, D Avg: 84479, [Hammer of Justice(186)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 908: HP: 228, STR: 405409, VIT: 144, SPD: 8, LUK: 1, Attack: 490197, Defense: 84488, Current HP: 228, A Avg: 995099, D Avg: 84488, [Pulse Knife(165)[230, 230, 230], V Magnum(238)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 907: HP: 478, STR: 405233, VIT: 132, SPD: 8, LUK: 1, Attack: 490199, Defense: 86920, Current HP: 478, A Avg: 995103, D Avg: 86920, [Red Shark(134)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 906: HP: 324, STR: 288352, VIT: 156, SPD: 9, LUK: 1, Attack: 374100, Defense: 85774, Current HP: 324, A Avg: 995105, D Avg: 85774, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 905: HP: 160, STR: 403689, VIT: 438, SPD: 8, LUK: 1, Attack: 490217, Defense: 87226, Current HP: 160, A Avg: 995140, D Avg: 87226, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 904: HP: 456, STR: 289998, VIT: 128, SPD: 8, LUK: 1, Attack: 374119, Defense: 86916, Current HP: 456, A Avg: 995156, D Avg: 86916, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 903: HP: 456, STR: 289998, VIT: 128, SPD: 8, LUK: 1, Attack: 374119, Defense: 86916, Current HP: 456, A Avg: 995156, D Avg: 86916, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 902: HP: 722, STR: 288180, VIT: 142, SPD: 8, LUK: 1, Attack: 374149, Defense: 86020, Current HP: 722, A Avg: 995236, D Avg: 86020, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
