Rank 1000: HP: 1121, STR: 506685, VIT: 329, SPD: 72, LUK: 1, Attack: 594346, Defense: 84133, Current HP: 1121, A Avg: 1580960, D Avg: 84133, [Neural Edge(190)[630, 630, 630], Iron Shield(204)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 982: HP: 1121, STR: 506685, VIT: 1705, SPD: 72, LUK: 1, Attack: 594346, Defense: 91483, Current HP: 1121, A Avg: 1580960, D Avg: 91483, [Neural Edge(190)[630, 630, 630], Blank Shield(244)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 981: HP: 1596, STR: 506685, VIT: 2356, SPD: 72, LUK: 1, Attack: 594346, Defense: 89144, Current HP: 1596, A Avg: 1580960, D Avg: 89144, [Neural Edge(190)[630, 630, 630], Golem Shield(245)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 980: HP: 1406, STR: 506685, VIT: 876, SPD: 76, LUK: 1, Attack: 594346, Defense: 86754, Current HP: 1406, A Avg: 1580960, D Avg: 86754, [Neural Edge(190)[630, 630, 630], Sticky thread shield(247)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 979: HP: 2352, STR: 506685, VIT: 850, SPD: 72, LUK: 1, Attack: 594346, Defense: 87066, Current HP: 2352, A Avg: 1580960, D Avg: 87066, [Neural Edge(190)[630, 630, 630], King Shield(248)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 978: HP: 1580, STR: 506685, VIT: 899, SPD: 72, LUK: 1, Attack: 594346, Defense: 87934, Current HP: 1580, A Avg: 1580960, D Avg: 87934, [Neural Edge(190)[630, 630, 630], Warrior's Shield(249)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 977: HP: 1180, STR: 506685, VIT: 1142, SPD: 72, LUK: 1, Attack: 594346, Defense: 88190, Current HP: 1180, A Avg: 1580960, D Avg: 88190, [Neural Edge(190)[630, 630, 630], Ghost shield(251)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 976: HP: 1447, STR: 506721, VIT: 549, SPD: 72, LUK: 1, Attack: 594382, Defense: 84490, Current HP: 1447, A Avg: 1581056, D Avg: 84490, [Neural Edge(190)[630, 630, 630], Dragon's Scales(215)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 975: HP: 1121, STR: 506861, VIT: 446, SPD: 76, LUK: 1, Attack: 594522, Defense: 84471, Current HP: 1121, A Avg: 1581428, D Avg: 84471, [Neural Edge(190)[630, 630, 630], Conductive Barrier(208)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 974: HP: 1634, STR: 506879, VIT: 550, SPD: 72, LUK: 1, Attack: 594540, Defense: 84790, Current HP: 1634, A Avg: 1581476, D Avg: 84790, [Neural Edge(190)[630, 630, 630], Dragon's Wings(216)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 973: HP: 1716, STR: 507016, VIT: 726, SPD: 72, LUK: 1, Attack: 594677, Defense: 86344, Current HP: 1716, A Avg: 1581840, D Avg: 86344, [Neural Edge(190)[630, 630, 630], Mask of the Grim Reaper(214)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 972: HP: 1455, STR: 507020, VIT: 941, SPD: 72, LUK: 1, Attack: 594681, Defense: 85779, Current HP: 1455, A Avg: 1581851, D Avg: 85779, [Neural Edge(190)[630, 630, 630], Bulletproof Shield(235)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 971: HP: 1634, STR: 507056, VIT: 625, SPD: 72, LUK: 1, Attack: 594717, Defense: 85489, Current HP: 1634, A Avg: 1581947, D Avg: 85489, [Neural Edge(190)[630, 630, 630], Dragon's Head(217)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 970: HP: 1558, STR: 507056, VIT: 665, SPD: 76, LUK: 1, Attack: 594717, Defense: 85087, Current HP: 1558, A Avg: 1581947, D Avg: 85087, [Neural Edge(190)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 969: HP: 1634, STR: 507182, VIT: 1016, SPD: 72, LUK: 1, Attack: 594843, Defense: 87817, Current HP: 1634, A Avg: 1582282, D Avg: 87817, [Neural Edge(190)[630, 630, 630], Riot(236)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 968: HP: 1159, STR: 507635, VIT: 768, SPD: 72, LUK: 1, Attack: 595296, Defense: 85359, Current HP: 1159, A Avg: 1583487, D Avg: 85359, [Neural Edge(190)[630, 630, 630], Black Hole(229)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 967: HP: 1577, STR: 507635, VIT: 838, SPD: 72, LUK: 1, Attack: 595296, Defense: 87756, Current HP: 1577, A Avg: 1583487, D Avg: 87756, [Neural Edge(190)[630, 630, 630], White Hole(230)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 966: HP: 2300, STR: 507657, VIT: 816, SPD: 72, LUK: 1, Attack: 595318, Defense: 86928, Current HP: 2300, A Avg: 1583545, D Avg: 86928, [Neural Edge(190)[630, 630, 630], Goblin Hand(250)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 965: HP: 1501, STR: 507693, VIT: 945, SPD: 72, LUK: 1, Attack: 595354, Defense: 85939, Current HP: 1501, A Avg: 1583641, D Avg: 85939, [Neural Edge(190)[630, 630, 630], Metalization(228)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 964: HP: 1121, STR: 508514, VIT: 297, SPD: 76, LUK: 1, Attack: 596175, Defense: 84433, Current HP: 1121, A Avg: 1585825, D Avg: 84433, [Neural Edge(190)[630, 630, 630], Magnum(237)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 963: HP: 1121, STR: 509032, VIT: 297, SPD: 76, LUK: 1, Attack: 596693, Defense: 84641, Current HP: 1121, A Avg: 1587203, D Avg: 84641, [Neural Edge(190)[630, 630, 630], V Magnum(238)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 962: HP: 1599, STR: 698954, VIT: 251, SPD: 72, LUK: 1, Attack: 782680, Defense: 84179, Current HP: 1599, A Avg: 1588840, D Avg: 84179, [Wooden Stick(101)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 961: HP: 1599, STR: 698954, VIT: 251, SPD: 72, LUK: 1, Attack: 782719, Defense: 84179, Current HP: 1599, A Avg: 1588919, D Avg: 84179, [Club(102)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 960: HP: 940, STR: 698954, VIT: 166, SPD: 72, LUK: 1, Attack: 782722, Defense: 83899, Current HP: 940, A Avg: 1588925, D Avg: 83899, [Decorative Swords(109)[630, 630, 630], High Pot Lid(202)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 959: HP: 969, STR: 698965, VIT: 260, SPD: 72, LUK: 1, Attack: 782737, Defense: 84188, Current HP: 969, A Avg: 1588956, D Avg: 84188, [Short Sword(103)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 958: HP: 969, STR: 699130, VIT: 260, SPD: 72, LUK: 1, Attack: 782941, Defense: 84188, Current HP: 969, A Avg: 1589370, D Avg: 84188, [Long Sword(104)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 957: HP: 969, STR: 699203, VIT: 175, SPD: 72, LUK: 1, Attack: 782975, Defense: 84103, Current HP: 969, A Avg: 1589439, D Avg: 84103, [Short Sword(103)[630, 630, 630], Tower Shield(213)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 956: HP: 988, STR: 699224, VIT: 350, SPD: 72, LUK: 1, Attack: 782996, Defense: 84213, Current HP: 988, A Avg: 1589481, D Avg: 84213, [Wasp Knife(105)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 955: HP: 893, STR: 699271, VIT: 251, SPD: 72, LUK: 1, Attack: 783043, Defense: 84114, Current HP: 893, A Avg: 1589577, D Avg: 84114, [Wasp Knife(105)[630, 630, 630], Titanium Shield(205)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 954: HP: 1362, STR: 699296, VIT: 817, SPD: 76, LUK: 1, Attack: 783094, Defense: 86695, Current HP: 1362, A Avg: 1589680, D Avg: 86695, [Ninja(135)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 953: HP: 1381, STR: 699289, VIT: 2291, SPD: 72, LUK: 1, Attack: 783105, Defense: 89079, Current HP: 1381, A Avg: 1589703, D Avg: 89079, [Hand Axe(140)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 952: HP: 1609, STR: 699112, VIT: 251, SPD: 72, LUK: 1, Attack: 783105, Defense: 84179, Current HP: 1609, A Avg: 1589703, D Avg: 84179, [Sword of Wood(124)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 951: HP: 1786, STR: 699271, VIT: 550, SPD: 72, LUK: 1, Attack: 783127, Defense: 84387, Current HP: 1786, A Avg: 1589747, D Avg: 84387, [Emerald Sword(115)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 950: HP: 1558, STR: 513807, VIT: 1564, SPD: 72, LUK: 1, Attack: 597683, Defense: 89132, Current HP: 1558, A Avg: 1589836, D Avg: 89132, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 949: HP: 1463, STR: 513807, VIT: 1548, SPD: 72, LUK: 1, Attack: 597683, Defense: 89116, Current HP: 1463, A Avg: 1589836, D Avg: 89116, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 948: HP: 1558, STR: 513807, VIT: 1705, SPD: 72, LUK: 1, Attack: 597683, Defense: 89273, Current HP: 1558, A Avg: 1589836, D Avg: 89273, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 947: HP: 1558, STR: 513807, VIT: 1564, SPD: 72, LUK: 1, Attack: 597683, Defense: 89132, Current HP: 1558, A Avg: 1589836, D Avg: 89132, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 946: HP: 1360, STR: 699289, VIT: 768, SPD: 72, LUK: 1, Attack: 783178, Defense: 87803, Current HP: 1360, A Avg: 1589851, D Avg: 87803, [Iron Lumps(108)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 945: HP: 969, STR: 699396, VIT: 175, SPD: 72, LUK: 1, Attack: 783207, Defense: 84103, Current HP: 969, A Avg: 1589910, D Avg: 84103, [Long Sword(104)[630, 630, 630], Tower Shield(213)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 944: HP: 1425, STR: 699487, VIT: 877, SPD: 72, LUK: 1, Attack: 783262, Defense: 87678, Current HP: 1425, A Avg: 1590021, D Avg: 87678, [Peacemaker(131)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 943: HP: 978, STR: 699289, VIT: 260, SPD: 72, LUK: 1, Attack: 783288, Defense: 84188, Current HP: 978, A Avg: 1590074, D Avg: 84188, [Greatsword(127)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 942: HP: 1383, STR: 699289, VIT: 2295, SPD: 72, LUK: 1, Attack: 783295, Defense: 89083, Current HP: 1383, A Avg: 1590088, D Avg: 89083, [Crescent(141)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 941: HP: 1428, STR: 699447, VIT: 889, SPD: 76, LUK: 1, Attack: 783349, Defense: 86767, Current HP: 1428, A Avg: 1590198, D Avg: 86767, [Crossed Shuriken(136)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 940: HP: 1463, STR: 699451, VIT: 877, SPD: 72, LUK: 1, Attack: 783353, Defense: 87678, Current HP: 1463, A Avg: 1590206, D Avg: 87678, [Daydream(132)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 939: HP: 1463, STR: 513955, VIT: 1612, SPD: 72, LUK: 1, Attack: 597831, Defense: 89180, Current HP: 1463, A Avg: 1590230, D Avg: 89180, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 938: HP: 1463, STR: 513955, VIT: 1612, SPD: 72, LUK: 1, Attack: 597831, Defense: 89180, Current HP: 1463, A Avg: 1590230, D Avg: 89180, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 937: HP: 1786, STR: 699560, VIT: 465, SPD: 72, LUK: 1, Attack: 783416, Defense: 84302, Current HP: 1786, A Avg: 1590334, D Avg: 84302, [Emerald Sword(115)[630, 630, 630], Emerald Shield(209)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 936: HP: 1425, STR: 699454, VIT: 992, SPD: 72, LUK: 1, Attack: 783421, Defense: 87832, Current HP: 1425, A Avg: 1590344, D Avg: 87832, [Phantom Sword(117)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 935: HP: 1360, STR: 699447, VIT: 768, SPD: 72, LUK: 1, Attack: 783453, Defense: 87803, Current HP: 1360, A Avg: 1590409, D Avg: 87803, [Great Iron Mass(122)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 934: HP: 1383, STR: 699581, VIT: 2210, SPD: 72, LUK: 1, Attack: 783587, Defense: 88998, Current HP: 1383, A Avg: 1590681, D Avg: 88998, [Crescent(141)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 933: HP: 3534, STR: 699764, VIT: 550, SPD: 72, LUK: 1, Attack: 783705, Defense: 86467, Current HP: 3534, A Avg: 1590921, D Avg: 86467, [Rusty Knife(156)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 932: HP: 1691, STR: 514222, VIT: 1744, SPD: 72, LUK: 1, Attack: 598098, Defense: 89312, Current HP: 1691, A Avg: 1590940, D Avg: 89312, [Tornado(111)[630, 630, 630], Storm Wall(242)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 931: HP: 3629, STR: 699799, VIT: 649, SPD: 72, LUK: 1, Attack: 783740, Defense: 86566, Current HP: 3629, A Avg: 1590992, D Avg: 86566, [Rusty Knife(156)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 930: HP: 1425, STR: 699774, VIT: 912, SPD: 72, LUK: 1, Attack: 783741, Defense: 87752, Current HP: 1425, A Avg: 1590994, D Avg: 87752, [Phantom Sword(117)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 929: HP: 1558, STR: 513989, VIT: 1564, SPD: 72, LUK: 1, Attack: 598138, Defense: 89132, Current HP: 1558, A Avg: 1591047, D Avg: 89132, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 928: HP: 1463, STR: 513989, VIT: 1548, SPD: 72, LUK: 1, Attack: 598138, Defense: 89116, Current HP: 1463, A Avg: 1591047, D Avg: 89116, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 927: HP: 1558, STR: 513989, VIT: 1705, SPD: 72, LUK: 1, Attack: 598138, Defense: 89273, Current HP: 1558, A Avg: 1591047, D Avg: 89273, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 926: HP: 1558, STR: 513989, VIT: 1564, SPD: 72, LUK: 1, Attack: 598138, Defense: 89132, Current HP: 1558, A Avg: 1591047, D Avg: 89132, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 925: HP: 1463, STR: 699609, VIT: 1101, SPD: 72, LUK: 1, Attack: 783797, Defense: 87902, Current HP: 1463, A Avg: 1591107, D Avg: 87902, [Cagliostro(133)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 924: HP: 2147, STR: 510501, VIT: 297, SPD: 76, LUK: 1, Attack: 598162, Defense: 87085, Current HP: 2147, A Avg: 1591110, D Avg: 87085, [Neural Edge(190)[630, 630, 630], C Magnum(239)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 923: HP: 2036, STR: 699623, VIT: 251, SPD: 72, LUK: 1, Attack: 783811, Defense: 84179, Current HP: 2036, A Avg: 1591136, D Avg: 84179, [Sword of the Spirit Tree(125)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 922: HP: 1360, STR: 699760, VIT: 566, SPD: 72, LUK: 1, Attack: 783870, Defense: 84494, Current HP: 1360, A Avg: 1591256, D Avg: 84494, [Dragon Killer(139)[630, 630, 630], Tower Shield(213)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 921: HP: 1187, STR: 699767, VIT: 961, SPD: 76, LUK: 1, Attack: 783877, Defense: 86839, Current HP: 1187, A Avg: 1591270, D Avg: 86839, [Windmill(137)[630, 630, 630], Sticky thread shield(247)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 920: HP: 1440, STR: 699458, VIT: 982, SPD: 72, LUK: 1, Attack: 783880, Defense: 87822, Current HP: 1440, A Avg: 1591276, D Avg: 87822, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 919: HP: 1820, STR: 699587, VIT: 1126, SPD: 72, LUK: 1, Attack: 783905, Defense: 87914, Current HP: 1820, A Avg: 1591327, D Avg: 87914, [Ruby Knuckle(151)[630, 630, 630], Energy Shield(227)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 918: HP: 2060, STR: 700084, VIT: 684, SPD: 72, LUK: 1, Attack: 783908, Defense: 86796, Current HP: 2060, A Avg: 1591333, D Avg: 86796, [Stun Knuckle(106)[630, 630, 630], Goblin Hand(250)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 917: HP: 1463, STR: 514137, VIT: 1612, SPD: 72, LUK: 1, Attack: 598286, Defense: 89180, Current HP: 1463, A Avg: 1591440, D Avg: 89180, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 916: HP: 1463, STR: 514137, VIT: 1612, SPD: 72, LUK: 1, Attack: 598286, Defense: 89180, Current HP: 1463, A Avg: 1591440, D Avg: 89180, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 915: HP: 1820, STR: 699605, VIT: 916, SPD: 72, LUK: 1, Attack: 784118, Defense: 87951, Current HP: 1820, A Avg: 1591759, D Avg: 87951, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 914: HP: 2036, STR: 699971, VIT: 166, SPD: 72, LUK: 1, Attack: 784159, Defense: 84094, Current HP: 2036, A Avg: 1591842, D Avg: 84094, [Sword of the Spirit Tree(125)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 913: HP: 1440, STR: 699778, VIT: 902, SPD: 72, LUK: 1, Attack: 784200, Defense: 87742, Current HP: 1440, A Avg: 1591925, D Avg: 87742, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 912: HP: 1805, STR: 699767, VIT: 2522, SPD: 72, LUK: 1, Attack: 784280, Defense: 89310, Current HP: 1805, A Avg: 1592088, D Avg: 89310, [Volcano(142)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 911: HP: 1691, STR: 514403, VIT: 1744, SPD: 72, LUK: 1, Attack: 598552, Defense: 89312, Current HP: 1691, A Avg: 1592148, D Avg: 89312, [Giant Tornado(114)[630, 630, 630], Storm Wall(242)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 910: HP: 4484, STR: 699764, VIT: 958, SPD: 72, LUK: 1, Attack: 784472, Defense: 86875, Current HP: 4484, A Avg: 1592478, D Avg: 86875, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 909: HP: 4579, STR: 699799, VIT: 1057, SPD: 72, LUK: 1, Attack: 784507, Defense: 86974, Current HP: 4579, A Avg: 1592549, D Avg: 86974, [Thin Blade(158)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 908: HP: 1840, STR: 699976, VIT: 1267, SPD: 72, LUK: 1, Attack: 784626, Defense: 88055, Current HP: 1840, A Avg: 1592790, D Avg: 88055, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 907: HP: 1805, STR: 700139, VIT: 2437, SPD: 72, LUK: 1, Attack: 784652, Defense: 89225, Current HP: 1805, A Avg: 1592843, D Avg: 89225, [Volcano(142)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 906: HP: 1273, STR: 699962, VIT: 805, SPD: 72, LUK: 1, Attack: 784803, Defense: 85799, Current HP: 1273, A Avg: 1593150, D Avg: 85799, [Grand Slam(163)[630, 630, 630], Metalization(228)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 905: HP: 1539, STR: 699904, VIT: 707, SPD: 72, LUK: 1, Attack: 784872, Defense: 87625, Current HP: 1539, A Avg: 1593290, D Avg: 87625, [Cluster Bomb(170)[630, 630, 630], White Hole(230)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
