Rank 1000: HP: 760, STR: 1220, VIT: 788, SPD: 25, LUK: 1, Attack: 87709, Defense: 87706, Current HP: 760, A Avg: 109636, D Avg: 87706, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 976: HP: 1298, STR: 531, VIT: 2052, SPD: 24, LUK: 1, Attack: 87020, Defense: 88840, Current HP: 1298, A Avg: 109645, D Avg: 88840, [Cuttlefish(178)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 1078, STR: 531, VIT: 1123, SPD: 25, LUK: 1, Attack: 87020, Defense: 87001, Current HP: 1078, A Avg: 109645, D Avg: 87001, [Cuttlefish(178)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 1381, STR: 531, VIT: 1198, SPD: 24, LUK: 1, Attack: 87020, Defense: 87414, Current HP: 1381, A Avg: 109645, D Avg: 87414, [Cuttlefish(178)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 973: HP: 1242, STR: 531, VIT: 1471, SPD: 24, LUK: 1, Attack: 87020, Defense: 88506, Current HP: 1242, A Avg: 109645, D Avg: 88506, [Cuttlefish(178)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 972: HP: 782, STR: 531, VIT: 1242, SPD: 24, LUK: 1, Attack: 87020, Defense: 88290, Current HP: 782, A Avg: 109645, D Avg: 88290, [Cuttlefish(178)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 971: HP: 529, STR: 493, VIT: 1060, SPD: 24, LUK: 1, Attack: 87021, Defense: 87848, Current HP: 529, A Avg: 109646, D Avg: 87848, [Moon Knuckle(153)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 970: HP: 726, STR: 493, VIT: 501, SPD: 24, LUK: 1, Attack: 87021, Defense: 84390, Current HP: 726, A Avg: 109646, D Avg: 84390, [Moon Knuckle(153)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 969: HP: 1166, STR: 493, VIT: 1481, SPD: 24, LUK: 1, Attack: 87021, Defense: 89049, Current HP: 1166, A Avg: 109646, D Avg: 89049, [Moon Knuckle(153)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 968: HP: 1127, STR: 496, VIT: 790, SPD: 24, LUK: 1, Attack: 87024, Defense: 86902, Current HP: 1127, A Avg: 109650, D Avg: 86902, [Moon Knuckle(153)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 967: HP: 600, STR: 1232, VIT: 603, SPD: 25, LUK: 1, Attack: 87721, Defense: 84466, Current HP: 600, A Avg: 109651, D Avg: 84466, [Cuttlefish(178)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 928, STR: 547, VIT: 963, SPD: 24, LUK: 1, Attack: 87036, Defense: 84904, Current HP: 928, A Avg: 109665, D Avg: 84904, [Cuttlefish(178)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 965: HP: 946, STR: 512, VIT: 1026, SPD: 24, LUK: 1, Attack: 87040, Defense: 86020, Current HP: 946, A Avg: 109670, D Avg: 86020, [Moon Knuckle(153)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 964: HP: 357, STR: 685, VIT: 125, SPD: 25, LUK: 1, Attack: 87736, Defense: 83848, Current HP: 357, A Avg: 109670, D Avg: 83848, [Tekken(188)[0, 0, 0], Pot Lid(201)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 963: HP: 357, STR: 685, VIT: 125, SPD: 25, LUK: 1, Attack: 87736, Defense: 83858, Current HP: 357, A Avg: 109670, D Avg: 83858, [Tekken(188)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 962: HP: 340, STR: 685, VIT: 142, SPD: 25, LUK: 1, Attack: 87736, Defense: 84011, Current HP: 340, A Avg: 109670, D Avg: 84011, [Tekken(188)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 961: HP: 340, STR: 685, VIT: 147, SPD: 25, LUK: 1, Attack: 87736, Defense: 83951, Current HP: 340, A Avg: 109670, D Avg: 83951, [Tekken(188)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 340, STR: 685, VIT: 158, SPD: 25, LUK: 1, Attack: 87736, Defense: 84021, Current HP: 340, A Avg: 109670, D Avg: 84021, [Tekken(188)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 340, STR: 685, VIT: 176, SPD: 25, LUK: 1, Attack: 87736, Defense: 84065, Current HP: 340, A Avg: 109670, D Avg: 84065, [Tekken(188)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 958: HP: 357, STR: 685, VIT: 181, SPD: 25, LUK: 1, Attack: 87736, Defense: 84057, Current HP: 357, A Avg: 109670, D Avg: 84057, [Tekken(188)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 957: HP: 500, STR: 685, VIT: 208, SPD: 25, LUK: 1, Attack: 87736, Defense: 84045, Current HP: 500, A Avg: 109670, D Avg: 84045, [Tekken(188)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 420, STR: 685, VIT: 158, SPD: 25, LUK: 1, Attack: 87736, Defense: 83930, Current HP: 420, A Avg: 109670, D Avg: 83930, [Tekken(188)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 462, STR: 685, VIT: 181, SPD: 25, LUK: 1, Attack: 87736, Defense: 84200, Current HP: 462, A Avg: 109670, D Avg: 84200, [Tekken(188)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 954: HP: 420, STR: 685, VIT: 167, SPD: 25, LUK: 1, Attack: 87736, Defense: 84095, Current HP: 420, A Avg: 109670, D Avg: 84095, [Tekken(188)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 667, STR: 685, VIT: 261, SPD: 25, LUK: 1, Attack: 87736, Defense: 84823, Current HP: 667, A Avg: 109670, D Avg: 84823, [Tekken(188)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 604, STR: 685, VIT: 158, SPD: 25, LUK: 1, Attack: 87736, Defense: 84086, Current HP: 604, A Avg: 109670, D Avg: 84086, [Tekken(188)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 951: HP: 357, STR: 685, VIT: 547, SPD: 25, LUK: 1, Attack: 87736, Defense: 87335, Current HP: 357, A Avg: 109670, D Avg: 87335, [Tekken(188)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 1760, STR: 685, VIT: 133, SPD: 25, LUK: 1, Attack: 87736, Defense: 86050, Current HP: 1760, A Avg: 109670, D Avg: 86050, [Tekken(188)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 844, STR: 685, VIT: 302, SPD: 25, LUK: 1, Attack: 87736, Defense: 85036, Current HP: 844, A Avg: 109670, D Avg: 85036, [Tekken(188)[0, 0, 0], Slafield(232)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 948: HP: 651, STR: 685, VIT: 261, SPD: 25, LUK: 1, Attack: 87736, Defense: 85736, Current HP: 651, A Avg: 109670, D Avg: 85736, [Tekken(188)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 947: HP: 540, STR: 685, VIT: 385, SPD: 25, LUK: 1, Attack: 87736, Defense: 85353, Current HP: 540, A Avg: 109670, D Avg: 85353, [Tekken(188)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 460, STR: 685, VIT: 482, SPD: 25, LUK: 1, Attack: 87736, Defense: 87322, Current HP: 460, A Avg: 109670, D Avg: 87322, [Tekken(188)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 945: HP: 798, STR: 685, VIT: 340, SPD: 25, LUK: 1, Attack: 87736, Defense: 87765, Current HP: 798, A Avg: 109670, D Avg: 87765, [Tekken(188)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 944: HP: 340, STR: 685, VIT: 125, SPD: 25, LUK: 1, Attack: 87736, Defense: 86914, Current HP: 340, A Avg: 109670, D Avg: 86914, [Tekken(188)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 943: HP: 340, STR: 685, VIT: 601, SPD: 25, LUK: 1, Attack: 87736, Defense: 90379, Current HP: 340, A Avg: 109670, D Avg: 90379, [Tekken(188)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 942: HP: 840, STR: 685, VIT: 943, SPD: 25, LUK: 1, Attack: 87736, Defense: 87731, Current HP: 840, A Avg: 109670, D Avg: 87731, [Tekken(188)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 640, STR: 685, VIT: 333, SPD: 27, LUK: 1, Attack: 87736, Defense: 86211, Current HP: 640, A Avg: 109670, D Avg: 86211, [Tekken(188)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 940: HP: 916, STR: 685, VIT: 374, SPD: 25, LUK: 1, Attack: 87736, Defense: 86590, Current HP: 916, A Avg: 109670, D Avg: 86590, [Tekken(188)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 939: HP: 777, STR: 685, VIT: 561, SPD: 25, LUK: 1, Attack: 87736, Defense: 87596, Current HP: 777, A Avg: 109670, D Avg: 87596, [Tekken(188)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 938: HP: 357, STR: 685, VIT: 411, SPD: 25, LUK: 1, Attack: 87736, Defense: 87459, Current HP: 357, A Avg: 109670, D Avg: 87459, [Tekken(188)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 937: HP: 484, STR: 1492, VIT: 821, SPD: 24, LUK: 1, Attack: 87045, Defense: 88649, Current HP: 484, A Avg: 109676, D Avg: 88649, [Hammer of Justice(186)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 936: HP: 1300, STR: 2062, VIT: 125, SPD: 27, LUK: 1, Attack: 87745, Defense: 86913, Current HP: 1300, A Avg: 109681, D Avg: 86913, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 935: HP: 748, STR: 561, VIT: 891, SPD: 25, LUK: 1, Attack: 87050, Defense: 84916, Current HP: 748, A Avg: 109683, D Avg: 84916, [Cuttlefish(178)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 934: HP: 770, STR: 564, VIT: 891, SPD: 24, LUK: 1, Attack: 87053, Defense: 84897, Current HP: 770, A Avg: 109686, D Avg: 84897, [Cuttlefish(178)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 933: HP: 748, STR: 564, VIT: 2625, SPD: 24, LUK: 1, Attack: 87053, Defense: 88295, Current HP: 748, A Avg: 109686, D Avg: 88295, [Cuttlefish(178)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 932: HP: 903, STR: 1873, VIT: 561, SPD: 25, LUK: 1, Attack: 87751, Defense: 86673, Current HP: 903, A Avg: 109688, D Avg: 86673, [Blue Sword(180)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 931: HP: 1012, STR: 1373, VIT: 124, SPD: 24, LUK: 1, Attack: 87056, Defense: 87952, Current HP: 1012, A Avg: 109690, D Avg: 87952, [Dancing(155)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 930: HP: 1012, STR: 569, VIT: 966, SPD: 24, LUK: 1, Attack: 87058, Defense: 85206, Current HP: 1012, A Avg: 109693, D Avg: 85206, [Cuttlefish(178)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 929: HP: 748, STR: 1184, VIT: 488, SPD: 25, LUK: 1, Attack: 87062, Defense: 84832, Current HP: 748, A Avg: 109698, D Avg: 84832, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 928: HP: 580, STR: 2430, VIT: 285, SPD: 25, LUK: 1, Attack: 87762, Defense: 88113, Current HP: 580, A Avg: 109702, D Avg: 88113, [Tower(149)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 927: HP: 484, STR: 1884, VIT: 380, SPD: 25, LUK: 1, Attack: 87762, Defense: 84386, Current HP: 484, A Avg: 109702, D Avg: 84386, [Blue Sword(180)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 926: HP: 360, STR: 711, VIT: 181, SPD: 25, LUK: 1, Attack: 87762, Defense: 84187, Current HP: 360, A Avg: 109702, D Avg: 84187, [Tekken(188)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 925: HP: 340, STR: 711, VIT: 1315, SPD: 25, LUK: 1, Attack: 87762, Defense: 86985, Current HP: 340, A Avg: 109702, D Avg: 86985, [Tekken(188)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 924: HP: 504, STR: 712, VIT: 217, SPD: 25, LUK: 1, Attack: 87763, Defense: 84158, Current HP: 504, A Avg: 109703, D Avg: 84158, [Tekken(188)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 923: HP: 540, STR: 1887, VIT: 372, SPD: 25, LUK: 1, Attack: 87765, Defense: 84261, Current HP: 540, A Avg: 109706, D Avg: 84261, [Blue Sword(180)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 922: HP: 940, STR: 1887, VIT: 1013, SPD: 25, LUK: 1, Attack: 87765, Defense: 88581, Current HP: 940, A Avg: 109706, D Avg: 88581, [Blue Sword(180)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 921: HP: 984, STR: 582, VIT: 1034, SPD: 24, LUK: 1, Attack: 87071, Defense: 86652, Current HP: 984, A Avg: 109709, D Avg: 86652, [Cuttlefish(178)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 920: HP: 871, STR: 584, VIT: 1263, SPD: 24, LUK: 1, Attack: 87073, Defense: 86101, Current HP: 871, A Avg: 109711, D Avg: 86101, [Cuttlefish(178)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 919: HP: 740, STR: 1900, VIT: 730, SPD: 25, LUK: 1, Attack: 87778, Defense: 85724, Current HP: 740, A Avg: 109722, D Avg: 85724, [Blue Sword(180)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 918: HP: 484, STR: 2155, VIT: 124, SPD: 24, LUK: 1, Attack: 87084, Defense: 87952, Current HP: 484, A Avg: 109725, D Avg: 87952, [Jack Knife(185)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 917: HP: 660, STR: 1436, VIT: 309, SPD: 27, LUK: 1, Attack: 87782, Defense: 84445, Current HP: 660, A Avg: 109727, D Avg: 84445, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 916: HP: 1012, STR: 600, VIT: 1004, SPD: 24, LUK: 1, Attack: 87089, Defense: 85868, Current HP: 1012, A Avg: 109732, D Avg: 85868, [Cuttlefish(178)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 915: HP: 340, STR: 737, VIT: 181, SPD: 27, LUK: 1, Attack: 87788, Defense: 84206, Current HP: 340, A Avg: 109735, D Avg: 84206, [Tekken(188)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 914: HP: 1010, STR: 2825, VIT: 196, SPD: 25, LUK: 1, Attack: 87791, Defense: 86984, Current HP: 1010, A Avg: 109738, D Avg: 86984, [Red Shark(134)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 913: HP: 853, STR: 605, VIT: 891, SPD: 24, LUK: 1, Attack: 87094, Defense: 85391, Current HP: 853, A Avg: 109738, D Avg: 85391, [Cuttlefish(178)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 912: HP: 1012, STR: 608, VIT: 1301, SPD: 24, LUK: 1, Attack: 87097, Defense: 88102, Current HP: 1012, A Avg: 109742, D Avg: 88102, [Cuttlefish(178)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 911: HP: 724, STR: 1307, VIT: 635, SPD: 25, LUK: 1, Attack: 87796, Defense: 84641, Current HP: 724, A Avg: 109745, D Avg: 84641, [Cuttlefish(178)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 910: HP: 836, STR: 754, VIT: 405, SPD: 24, LUK: 1, Attack: 87100, Defense: 84593, Current HP: 836, A Avg: 109746, D Avg: 84593, [Progress(147)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 909: HP: 780, STR: 1310, VIT: 627, SPD: 25, LUK: 1, Attack: 87799, Defense: 84516, Current HP: 780, A Avg: 109748, D Avg: 84516, [Cuttlefish(178)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 908: HP: 1180, STR: 1310, VIT: 1268, SPD: 25, LUK: 1, Attack: 87799, Defense: 88836, Current HP: 1180, A Avg: 109748, D Avg: 88836, [Cuttlefish(178)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 907: HP: 580, STR: 750, VIT: 219, SPD: 25, LUK: 1, Attack: 87801, Defense: 84459, Current HP: 580, A Avg: 109751, D Avg: 84459, [Tekken(188)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 906: HP: 820, STR: 2251, VIT: 581, SPD: 27, LUK: 1, Attack: 87804, Defense: 87369, Current HP: 820, A Avg: 109755, D Avg: 87369, [Hammer of Justice(186)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 905: HP: 1155, STR: 1317, VIT: 816, SPD: 25, LUK: 1, Attack: 87806, Defense: 86928, Current HP: 1155, A Avg: 109757, D Avg: 86928, [Cuttlefish(178)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 904: HP: 340, STR: 3035, VIT: 411, SPD: 25, LUK: 1, Attack: 87823, Defense: 88239, Current HP: 340, A Avg: 109778, D Avg: 88239, [Pulse Knife(165)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 903: HP: 875, STR: 1482, VIT: 538, SPD: 24, LUK: 1, Attack: 87126, Defense: 88366, Current HP: 875, A Avg: 109778, D Avg: 88366, [Gladius(162)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
