Rank 1000: HP: 988, STR: 288132, VIT: 1190, SPD: 24, LUK: 1, Attack: 374374, Defense: 86860, Current HP: 988, A Avg: 995834, D Avg: 86860, [Droid Hammer(177)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 985: HP: 1178, STR: 405316, VIT: 856, SPD: 24, LUK: 1, Attack: 490650, Defense: 85850, Current HP: 1178, A Avg: 996019, D Avg: 85850, [Impulse(166)[230, 230, 230], Metalization(228)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 984: HP: 1079, STR: 288204, VIT: 123, SPD: 24, LUK: 1, Attack: 374446, Defense: 84623, Current HP: 1079, A Avg: 996026, D Avg: 84623, [Droid Hammer(177)[230, 230, 230], Hard Wings of Beast(222)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 983: HP: 931, STR: 406538, VIT: 112, SPD: 25, LUK: 1, Attack: 490659, Defense: 86900, Current HP: 931, A Avg: 996037, D Avg: 86900, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 982: HP: 904, STR: 288720, VIT: 320, SPD: 24, LUK: 1, Attack: 374468, Defense: 85938, Current HP: 904, A Avg: 996084, D Avg: 85938, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 981: HP: 1007, STR: 288504, VIT: 398, SPD: 25, LUK: 1, Attack: 374473, Defense: 86276, Current HP: 1007, A Avg: 996098, D Avg: 86276, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 980: HP: 623, STR: 290442, VIT: 179, SPD: 24, LUK: 1, Attack: 374474, Defense: 88007, Current HP: 623, A Avg: 996100, D Avg: 88007, [Alucard(146)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 979: HP: 1231, STR: 289436, VIT: 831, SPD: 28, LUK: 1, Attack: 374479, Defense: 85825, Current HP: 1231, A Avg: 996114, D Avg: 85825, [White Snake(160)[230, 230, 230], Metalization(228)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 978: HP: 646, STR: 289152, VIT: 220, SPD: 24, LUK: 1, Attack: 374484, Defense: 84408, Current HP: 646, A Avg: 996127, D Avg: 84408, [Tower(149)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 977: HP: 589, STR: 290385, VIT: 145, SPD: 24, LUK: 1, Attack: 374495, Defense: 87973, Current HP: 589, A Avg: 996156, D Avg: 87973, [Serpent(144)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 976: HP: 418, STR: 405938, VIT: 384, SPD: 25, LUK: 1, Attack: 490726, Defense: 84520, Current HP: 418, A Avg: 996173, D Avg: 84520, [Pulse Knife(165)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 975: HP: 851, STR: 289467, VIT: 347, SPD: 24, LUK: 1, Attack: 374510, Defense: 85575, Current HP: 851, A Avg: 996196, D Avg: 85575, [White Snake(160)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 974: HP: 664, STR: 288784, VIT: 332, SPD: 24, LUK: 1, Attack: 374532, Defense: 85950, Current HP: 664, A Avg: 996255, D Avg: 85950, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 973: HP: 664, STR: 288784, VIT: 332, SPD: 24, LUK: 1, Attack: 374532, Defense: 85950, Current HP: 664, A Avg: 996255, D Avg: 85950, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 972: HP: 581, STR: 290424, VIT: 166, SPD: 24, LUK: 1, Attack: 374534, Defense: 87994, Current HP: 581, A Avg: 996260, D Avg: 87994, [Dragon Killer(139)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 971: HP: 779, STR: 288568, VIT: 411, SPD: 25, LUK: 1, Attack: 374537, Defense: 86289, Current HP: 779, A Avg: 996268, D Avg: 86289, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 970: HP: 779, STR: 288568, VIT: 411, SPD: 25, LUK: 1, Attack: 374537, Defense: 86289, Current HP: 779, A Avg: 996268, D Avg: 86289, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 969: HP: 874, STR: 290556, VIT: 144, SPD: 25, LUK: 1, Attack: 374556, Defense: 86932, Current HP: 874, A Avg: 996318, D Avg: 86932, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 968: HP: 779, STR: 290556, VIT: 128, SPD: 25, LUK: 1, Attack: 374556, Defense: 86916, Current HP: 779, A Avg: 996318, D Avg: 86916, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 967: HP: 874, STR: 290556, VIT: 188, SPD: 25, LUK: 1, Attack: 374556, Defense: 86976, Current HP: 874, A Avg: 996318, D Avg: 86976, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 966: HP: 874, STR: 290556, VIT: 144, SPD: 25, LUK: 1, Attack: 374556, Defense: 86932, Current HP: 874, A Avg: 996318, D Avg: 86932, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 965: HP: 1007, STR: 288348, VIT: 100, SPD: 24, LUK: 1, Attack: 374590, Defense: 83963, Current HP: 1007, A Avg: 996409, D Avg: 83963, [Droid Hammer(177)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 964: HP: 2299, STR: 288770, VIT: 363, SPD: 24, LUK: 1, Attack: 374622, Defense: 86280, Current HP: 2299, A Avg: 996494, D Avg: 86280, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 963: HP: 2299, STR: 288770, VIT: 363, SPD: 24, LUK: 1, Attack: 374622, Defense: 86280, Current HP: 2299, A Avg: 996494, D Avg: 86280, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 962: HP: 1007, STR: 290635, VIT: 179, SPD: 25, LUK: 1, Attack: 374635, Defense: 86967, Current HP: 1007, A Avg: 996529, D Avg: 86967, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 961: HP: 1124, STR: 288429, VIT: 131, SPD: 24, LUK: 1, Attack: 374671, Defense: 84137, Current HP: 1124, A Avg: 996624, D Avg: 84137, [Droid Hammer(177)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 960: HP: 1178, STR: 288432, VIT: 123, SPD: 24, LUK: 1, Attack: 374674, Defense: 84012, Current HP: 1178, A Avg: 996632, D Avg: 84012, [Droid Hammer(177)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 959: HP: 1558, STR: 288432, VIT: 726, SPD: 24, LUK: 1, Attack: 374674, Defense: 88294, Current HP: 1558, A Avg: 996632, D Avg: 88294, [Droid Hammer(177)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 958: HP: 779, STR: 288712, VIT: 331, SPD: 25, LUK: 1, Attack: 374681, Defense: 86209, Current HP: 779, A Avg: 996651, D Avg: 86209, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 957: HP: 684, STR: 290370, VIT: 153, SPD: 24, LUK: 1, Attack: 374688, Defense: 87981, Current HP: 684, A Avg: 996670, D Avg: 87981, [Ruby Knuckle(151)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 956: HP: 1026, STR: 290574, VIT: 144, SPD: 25, LUK: 1, Attack: 374695, Defense: 86932, Current HP: 1026, A Avg: 996688, D Avg: 86932, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 955: HP: 931, STR: 290574, VIT: 128, SPD: 25, LUK: 1, Attack: 374695, Defense: 86916, Current HP: 931, A Avg: 996688, D Avg: 86916, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 954: HP: 1026, STR: 290574, VIT: 188, SPD: 25, LUK: 1, Attack: 374695, Defense: 86976, Current HP: 1026, A Avg: 996688, D Avg: 86976, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 953: HP: 1026, STR: 290574, VIT: 144, SPD: 25, LUK: 1, Attack: 374695, Defense: 86932, Current HP: 1026, A Avg: 996688, D Avg: 86932, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 952: HP: 779, STR: 290700, VIT: 192, SPD: 25, LUK: 1, Attack: 374700, Defense: 86980, Current HP: 779, A Avg: 996701, D Avg: 86980, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 951: HP: 779, STR: 290700, VIT: 192, SPD: 25, LUK: 1, Attack: 374700, Defense: 86980, Current HP: 779, A Avg: 996701, D Avg: 86980, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 950: HP: 2432, STR: 288849, VIT: 401, SPD: 24, LUK: 1, Attack: 374701, Defense: 86318, Current HP: 2432, A Avg: 996704, D Avg: 86318, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 949: HP: 1010, STR: 406025, VIT: 196, SPD: 25, LUK: 1, Attack: 490991, Defense: 86984, Current HP: 1010, A Avg: 996711, D Avg: 86984, [Red Shark(134)[230, 230, 230], C Magnum(239)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 948: HP: 540, STR: 405484, VIT: 262, SPD: 24, LUK: 1, Attack: 491024, Defense: 83985, Current HP: 540, A Avg: 996778, D Avg: 83985, [Zodiac(184)[230, 230, 230], Pot Lid(201)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 947: HP: 540, STR: 405484, VIT: 262, SPD: 24, LUK: 1, Attack: 491024, Defense: 83995, Current HP: 540, A Avg: 996778, D Avg: 83995, [Zodiac(184)[230, 230, 230], High Pot Lid(202)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 946: HP: 513, STR: 405484, VIT: 287, SPD: 24, LUK: 1, Attack: 491024, Defense: 84156, Current HP: 513, A Avg: 996778, D Avg: 84156, [Zodiac(184)[230, 230, 230], Wooden Shield(203)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 945: HP: 513, STR: 405484, VIT: 292, SPD: 24, LUK: 1, Attack: 491024, Defense: 84096, Current HP: 513, A Avg: 996778, D Avg: 84096, [Zodiac(184)[230, 230, 230], Iron Shield(204)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 944: HP: 513, STR: 405484, VIT: 302, SPD: 24, LUK: 1, Attack: 491024, Defense: 84165, Current HP: 513, A Avg: 996778, D Avg: 84165, [Zodiac(184)[230, 230, 230], Titanium Shield(205)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 943: HP: 513, STR: 405484, VIT: 319, SPD: 24, LUK: 1, Attack: 491024, Defense: 84208, Current HP: 513, A Avg: 996778, D Avg: 84208, [Zodiac(184)[230, 230, 230], Large iron Shield(206)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 942: HP: 540, STR: 405484, VIT: 315, SPD: 24, LUK: 1, Attack: 491024, Defense: 84191, Current HP: 540, A Avg: 996778, D Avg: 84191, [Zodiac(184)[230, 230, 230], Magic Shield(207)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 941: HP: 665, STR: 405484, VIT: 350, SPD: 24, LUK: 1, Attack: 491024, Defense: 84187, Current HP: 665, A Avg: 996778, D Avg: 84187, [Zodiac(184)[230, 230, 230], Emerald Shield(209)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 940: HP: 600, STR: 405484, VIT: 292, SPD: 24, LUK: 1, Attack: 491024, Defense: 84064, Current HP: 600, A Avg: 996778, D Avg: 84064, [Zodiac(184)[230, 230, 230], Clear Shield(211)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 939: HP: 640, STR: 405484, VIT: 315, SPD: 24, LUK: 1, Attack: 491024, Defense: 84334, Current HP: 640, A Avg: 996778, D Avg: 84334, [Zodiac(184)[230, 230, 230], Prism Shield(212)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 938: HP: 589, STR: 405484, VIT: 311, SPD: 24, LUK: 1, Attack: 491024, Defense: 84239, Current HP: 589, A Avg: 996778, D Avg: 84239, [Zodiac(184)[230, 230, 230], Tower Shield(213)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 937: HP: 836, STR: 405484, VIT: 390, SPD: 24, LUK: 1, Attack: 491024, Defense: 84952, Current HP: 836, A Avg: 996778, D Avg: 84952, [Zodiac(184)[230, 230, 230], Slime Shield(221)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 936: HP: 763, STR: 405484, VIT: 302, SPD: 24, LUK: 1, Attack: 491024, Defense: 84230, Current HP: 763, A Avg: 996778, D Avg: 84230, [Zodiac(184)[230, 230, 230], Hardwood Shield(223)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 935: HP: 540, STR: 405484, VIT: 659, SPD: 24, LUK: 1, Attack: 491024, Defense: 87447, Current HP: 540, A Avg: 996778, D Avg: 87447, [Zodiac(184)[230, 230, 230], Energy Shield(227)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 934: HP: 1862, STR: 405484, VIT: 278, SPD: 24, LUK: 1, Attack: 491024, Defense: 86195, Current HP: 1862, A Avg: 996778, D Avg: 86195, [Zodiac(184)[230, 230, 230], Frying Pan(231)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 933: HP: 1004, STR: 405484, VIT: 428, SPD: 24, LUK: 1, Attack: 491024, Defense: 85162, Current HP: 1004, A Avg: 996778, D Avg: 85162, [Zodiac(184)[230, 230, 230], Slafield(232)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 932: HP: 820, STR: 405484, VIT: 390, SPD: 24, LUK: 1, Attack: 491024, Defense: 85865, Current HP: 820, A Avg: 996778, D Avg: 85865, [Zodiac(184)[230, 230, 230], Mist Shield(233)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 931: HP: 703, STR: 405484, VIT: 516, SPD: 24, LUK: 1, Attack: 491024, Defense: 85484, Current HP: 703, A Avg: 996778, D Avg: 85484, [Zodiac(184)[230, 230, 230], Huge Shield(234)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 930: HP: 627, STR: 405484, VIT: 598, SPD: 24, LUK: 1, Attack: 491024, Defense: 87438, Current HP: 627, A Avg: 996778, D Avg: 87438, [Zodiac(184)[230, 230, 230], Aurora Shield(240)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 929: HP: 960, STR: 405484, VIT: 464, SPD: 24, LUK: 1, Attack: 491024, Defense: 87889, Current HP: 960, A Avg: 996778, D Avg: 87889, [Zodiac(184)[230, 230, 230], Cloud Shield(241)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 928: HP: 513, STR: 405484, VIT: 262, SPD: 24, LUK: 1, Attack: 491024, Defense: 87051, Current HP: 513, A Avg: 996778, D Avg: 87051, [Zodiac(184)[230, 230, 230], Graffiti(243)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 927: HP: 513, STR: 405484, VIT: 710, SPD: 24, LUK: 1, Attack: 491024, Defense: 90488, Current HP: 513, A Avg: 996778, D Avg: 90488, [Zodiac(184)[230, 230, 230], Blank Shield(244)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 926: HP: 988, STR: 405484, VIT: 1043, SPD: 24, LUK: 1, Attack: 491024, Defense: 87831, Current HP: 988, A Avg: 996778, D Avg: 87831, [Zodiac(184)[230, 230, 230], Golem Shield(245)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 925: HP: 798, STR: 405484, VIT: 457, SPD: 25, LUK: 1, Attack: 491024, Defense: 86335, Current HP: 798, A Avg: 996778, D Avg: 86335, [Zodiac(184)[230, 230, 230], Sticky thread shield(247)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 924: HP: 1060, STR: 405484, VIT: 506, SPD: 24, LUK: 1, Attack: 491024, Defense: 86722, Current HP: 1060, A Avg: 996778, D Avg: 86722, [Zodiac(184)[230, 230, 230], King Shield(248)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 923: HP: 940, STR: 405484, VIT: 672, SPD: 24, LUK: 1, Attack: 491024, Defense: 87707, Current HP: 940, A Avg: 996778, D Avg: 87707, [Zodiac(184)[230, 230, 230], Warrior's Shield(249)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 922: HP: 540, STR: 405484, VIT: 531, SPD: 24, LUK: 1, Attack: 491024, Defense: 87579, Current HP: 540, A Avg: 996778, D Avg: 87579, [Zodiac(184)[230, 230, 230], Ghost shield(251)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 921: HP: 540, STR: 290174, VIT: 123, SPD: 24, LUK: 1, Attack: 374752, Defense: 84142, Current HP: 540, A Avg: 996840, D Avg: 84142, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 920: HP: 440, STR: 290174, VIT: 107, SPD: 24, LUK: 1, Attack: 374752, Defense: 84126, Current HP: 440, A Avg: 996840, D Avg: 84126, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 919: HP: 540, STR: 290174, VIT: 168, SPD: 24, LUK: 1, Attack: 374752, Defense: 84187, Current HP: 540, A Avg: 996840, D Avg: 84187, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 918: HP: 540, STR: 290174, VIT: 123, SPD: 24, LUK: 1, Attack: 374752, Defense: 84142, Current HP: 540, A Avg: 996840, D Avg: 84142, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 917: HP: 668, STR: 405526, VIT: 358, SPD: 24, LUK: 1, Attack: 491066, Defense: 84299, Current HP: 668, A Avg: 996863, D Avg: 84299, [Zodiac(184)[230, 230, 230], Dragon's Scales(215)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 916: HP: 817, STR: 289434, VIT: 329, SPD: 24, LUK: 1, Attack: 374766, Defense: 85557, Current HP: 817, A Avg: 996877, D Avg: 85557, [Tower(149)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 915: HP: 2204, STR: 288914, VIT: 414, SPD: 24, LUK: 1, Attack: 374766, Defense: 86331, Current HP: 2204, A Avg: 996877, D Avg: 86331, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 914: HP: 2204, STR: 288914, VIT: 414, SPD: 24, LUK: 1, Attack: 374766, Defense: 86331, Current HP: 2204, A Avg: 996877, D Avg: 86331, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 913: HP: 1159, STR: 290653, VIT: 179, SPD: 25, LUK: 1, Attack: 374774, Defense: 86967, Current HP: 1159, A Avg: 996898, D Avg: 86967, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 912: HP: 513, STR: 405564, VIT: 315, SPD: 25, LUK: 1, Attack: 491104, Defense: 84340, Current HP: 513, A Avg: 996941, D Avg: 84340, [Zodiac(184)[230, 230, 230], Conductive Barrier(208)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 911: HP: 741, STR: 405585, VIT: 360, SPD: 24, LUK: 1, Attack: 491125, Defense: 84600, Current HP: 741, A Avg: 996983, D Avg: 84600, [Zodiac(184)[230, 230, 230], Dragon's Wings(216)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 910: HP: 944, STR: 289072, VIT: 476, SPD: 28, LUK: 1, Attack: 374820, Defense: 86094, Current HP: 944, A Avg: 997021, D Avg: 86094, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 909: HP: 804, STR: 405266, VIT: 464, SPD: 24, LUK: 1, Attack: 491144, Defense: 85198, Current HP: 804, A Avg: 997022, D Avg: 85198, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 908: HP: 1045, STR: 288856, VIT: 555, SPD: 30, LUK: 1, Attack: 374825, Defense: 86433, Current HP: 1045, A Avg: 997034, D Avg: 86433, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 907: HP: 680, STR: 290253, VIT: 158, SPD: 24, LUK: 1, Attack: 374831, Defense: 84177, Current HP: 680, A Avg: 997050, D Avg: 84177, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 906: HP: 716, STR: 405619, VIT: 403, SPD: 24, LUK: 1, Attack: 491159, Defense: 86021, Current HP: 716, A Avg: 997052, D Avg: 86021, [Zodiac(184)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 905: HP: 619, STR: 405623, VIT: 547, SPD: 24, LUK: 1, Attack: 491163, Defense: 85385, Current HP: 619, A Avg: 997060, D Avg: 85385, [Zodiac(184)[230, 230, 230], Bulletproof Shield(235)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 904: HP: 741, STR: 290012, VIT: 368, SPD: 30, LUK: 1, Attack: 374837, Defense: 84504, Current HP: 741, A Avg: 997066, D Avg: 84504, [Kraken(145)[230, 230, 230], Magnum(237)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 903: HP: 931, STR: 290718, VIT: 192, SPD: 25, LUK: 1, Attack: 374839, Defense: 86980, Current HP: 931, A Avg: 997071, D Avg: 86980, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
