Rank 1000: HP: 95, STR: 30, VIT: 21, SPD: 1, LUK: 1, Attack: 148945, Defense: 83949, Current HP: 95, A Avg: 1240711, D Avg: 117528, [Sword of Evil[189, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 977: HP: 60, STR: 31, VIT: 30, SPD: 1, LUK: 1, Attack: 148946, Defense: 83763, Current HP: 60, A Avg: 1240720, D Avg: 117268, [Sword of Evil[189, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 976: HP: 60, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 83794, Current HP: 60, A Avg: 1240720, D Avg: 117311, [Sword of Evil[189, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 975: HP: 240, STR: 31, VIT: 51, SPD: 1, LUK: 1, Attack: 148946, Defense: 83784, Current HP: 240, A Avg: 1240720, D Avg: 117297, [Sword of Evil[189, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 974: HP: 57, STR: 31, VIT: 47, SPD: 1, LUK: 1, Attack: 148946, Defense: 83916, Current HP: 57, A Avg: 1240720, D Avg: 117482, [Sword of Evil[189, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 973: HP: 57, STR: 31, VIT: 79, SPD: 1, LUK: 1, Attack: 148946, Defense: 83948, Current HP: 57, A Avg: 1240720, D Avg: 117527, [Sword of Evil[189, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 972: HP: 232, STR: 31, VIT: 65, SPD: 1, LUK: 1, Attack: 148946, Defense: 83934, Current HP: 232, A Avg: 1240720, D Avg: 117507, [Sword of Evil[189, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 971: HP: 57, STR: 31, VIT: 57, SPD: 1, LUK: 1, Attack: 148946, Defense: 83861, Current HP: 57, A Avg: 1240720, D Avg: 117405, [Sword of Evil[189, 0, 0, 0], Iron Shield[204, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 970: HP: 57, STR: 31, VIT: 88, SPD: 1, LUK: 1, Attack: 148946, Defense: 83892, Current HP: 57, A Avg: 1240720, D Avg: 117448, [Sword of Evil[189, 0, 0, 0], Iron Shield[204, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 969: HP: 232, STR: 31, VIT: 71, SPD: 1, LUK: 1, Attack: 148946, Defense: 83875, Current HP: 232, A Avg: 1240720, D Avg: 117424, [Sword of Evil[189, 0, 0, 0], Iron Shield[204, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 968: HP: 57, STR: 31, VIT: 31, SPD: 1, LUK: 1, Attack: 148946, Defense: 83894, Current HP: 57, A Avg: 1240720, D Avg: 117451, [Sword of Evil[189, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 967: HP: 57, STR: 31, VIT: 63, SPD: 1, LUK: 1, Attack: 148946, Defense: 83926, Current HP: 57, A Avg: 1240720, D Avg: 117496, [Sword of Evil[189, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 966: HP: 232, STR: 31, VIT: 54, SPD: 1, LUK: 1, Attack: 148946, Defense: 83917, Current HP: 232, A Avg: 1240720, D Avg: 117483, [Sword of Evil[189, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 965: HP: 57, STR: 31, VIT: 63, SPD: 1, LUK: 1, Attack: 148946, Defense: 83952, Current HP: 57, A Avg: 1240720, D Avg: 117532, [Sword of Evil[189, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 964: HP: 57, STR: 31, VIT: 95, SPD: 1, LUK: 1, Attack: 148946, Defense: 83984, Current HP: 57, A Avg: 1240720, D Avg: 117577, [Sword of Evil[189, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 963: HP: 232, STR: 31, VIT: 76, SPD: 1, LUK: 1, Attack: 148946, Defense: 83965, Current HP: 232, A Avg: 1240720, D Avg: 117550, [Sword of Evil[189, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 962: HP: 60, STR: 31, VIT: 46, SPD: 1, LUK: 1, Attack: 148946, Defense: 83922, Current HP: 60, A Avg: 1240720, D Avg: 117490, [Sword of Evil[189, 0, 0, 0], Magic Shield[207, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 961: HP: 60, STR: 31, VIT: 76, SPD: 1, LUK: 1, Attack: 148946, Defense: 83952, Current HP: 60, A Avg: 1240720, D Avg: 117532, [Sword of Evil[189, 0, 0, 0], Magic Shield[207, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 960: HP: 240, STR: 31, VIT: 62, SPD: 1, LUK: 1, Attack: 148946, Defense: 83938, Current HP: 240, A Avg: 1240720, D Avg: 117513, [Sword of Evil[189, 0, 0, 0], Magic Shield[207, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 959: HP: 66, STR: 31, VIT: 46, SPD: 1, LUK: 1, Attack: 148946, Defense: 84071, Current HP: 66, A Avg: 1240720, D Avg: 117699, [Sword of Evil[189, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 958: HP: 87, STR: 31, VIT: 41, SPD: 1, LUK: 1, Attack: 148946, Defense: 84066, Current HP: 87, A Avg: 1240720, D Avg: 117692, [Sword of Evil[189, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 957: HP: 95, STR: 31, VIT: 41, SPD: 3, LUK: 1, Attack: 148946, Defense: 84066, Current HP: 95, A Avg: 1240720, D Avg: 117692, [Sword of Evil[189, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 956: HP: 286, STR: 31, VIT: 76, SPD: 1, LUK: 1, Attack: 148946, Defense: 84101, Current HP: 286, A Avg: 1240720, D Avg: 117741, [Sword of Evil[189, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 955: HP: 76, STR: 31, VIT: 31, SPD: 1, LUK: 1, Attack: 148946, Defense: 83868, Current HP: 76, A Avg: 1240720, D Avg: 117415, [Sword of Evil[189, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 954: HP: 76, STR: 31, VIT: 63, SPD: 1, LUK: 1, Attack: 148946, Defense: 83900, Current HP: 76, A Avg: 1240720, D Avg: 117459, [Sword of Evil[189, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 953: HP: 261, STR: 31, VIT: 54, SPD: 1, LUK: 1, Attack: 148946, Defense: 83891, Current HP: 261, A Avg: 1240720, D Avg: 117447, [Sword of Evil[189, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 952: HP: 120, STR: 31, VIT: 46, SPD: 1, LUK: 1, Attack: 148946, Defense: 83818, Current HP: 120, A Avg: 1240720, D Avg: 117345, [Sword of Evil[189, 0, 0, 0], Clear Shield[211, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 951: HP: 120, STR: 31, VIT: 76, SPD: 1, LUK: 1, Attack: 148946, Defense: 83848, Current HP: 120, A Avg: 1240720, D Avg: 117387, [Sword of Evil[189, 0, 0, 0], Clear Shield[211, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 950: HP: 330, STR: 31, VIT: 62, SPD: 1, LUK: 1, Attack: 148946, Defense: 83834, Current HP: 330, A Avg: 1240720, D Avg: 117367, [Sword of Evil[189, 0, 0, 0], Clear Shield[211, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 949: HP: 160, STR: 31, VIT: 46, SPD: 1, LUK: 1, Attack: 148946, Defense: 84065, Current HP: 160, A Avg: 1240720, D Avg: 117690, [Sword of Evil[189, 0, 0, 0], Prism Shield[212, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 948: HP: 160, STR: 31, VIT: 76, SPD: 1, LUK: 1, Attack: 148946, Defense: 84095, Current HP: 160, A Avg: 1240720, D Avg: 117732, [Sword of Evil[189, 0, 0, 0], Prism Shield[212, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 947: HP: 390, STR: 31, VIT: 62, SPD: 1, LUK: 1, Attack: 148946, Defense: 84081, Current HP: 390, A Avg: 1240720, D Avg: 117713, [Sword of Evil[189, 0, 0, 0], Prism Shield[212, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 946: HP: 133, STR: 31, VIT: 47, SPD: 1, LUK: 1, Attack: 148946, Defense: 83975, Current HP: 133, A Avg: 1240720, D Avg: 117564, [Sword of Evil[189, 0, 0, 0], Tower Shield[213, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 945: HP: 133, STR: 31, VIT: 79, SPD: 1, LUK: 1, Attack: 148946, Defense: 84007, Current HP: 133, A Avg: 1240720, D Avg: 117609, [Sword of Evil[189, 0, 0, 0], Tower Shield[213, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 944: HP: 348, STR: 31, VIT: 65, SPD: 1, LUK: 1, Attack: 148946, Defense: 83993, Current HP: 348, A Avg: 1240720, D Avg: 117590, [Sword of Evil[189, 0, 0, 0], Tower Shield[213, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 943: HP: 160, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 84623, Current HP: 160, A Avg: 1240720, D Avg: 118472, [Sword of Evil[189, 0, 0, 0], Slime Shield[221, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 942: HP: 160, STR: 31, VIT: 92, SPD: 1, LUK: 1, Attack: 148946, Defense: 84654, Current HP: 160, A Avg: 1240720, D Avg: 118515, [Sword of Evil[189, 0, 0, 0], Slime Shield[221, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 941: HP: 390, STR: 31, VIT: 72, SPD: 1, LUK: 1, Attack: 148946, Defense: 84634, Current HP: 390, A Avg: 1240720, D Avg: 118487, [Sword of Evil[189, 0, 0, 0], Slime Shield[221, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 940: HP: 95, STR: 31, VIT: 31, SPD: 1, LUK: 1, Attack: 148946, Defense: 83959, Current HP: 95, A Avg: 1240720, D Avg: 117542, [Sword of Evil[189, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 939: HP: 95, STR: 31, VIT: 63, SPD: 1, LUK: 1, Attack: 148946, Defense: 83991, Current HP: 95, A Avg: 1240720, D Avg: 117587, [Sword of Evil[189, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 938: HP: 290, STR: 31, VIT: 54, SPD: 1, LUK: 1, Attack: 148946, Defense: 83982, Current HP: 290, A Avg: 1240720, D Avg: 117574, [Sword of Evil[189, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 937: HP: 60, STR: 31, VIT: 491, SPD: 1, LUK: 1, Attack: 148946, Defense: 87279, Current HP: 60, A Avg: 1240720, D Avg: 122190, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 936: HP: 60, STR: 31, VIT: 522, SPD: 1, LUK: 1, Attack: 148946, Defense: 87310, Current HP: 60, A Avg: 1240720, D Avg: 122233, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 935: HP: 240, STR: 31, VIT: 363, SPD: 1, LUK: 1, Attack: 148946, Defense: 87151, Current HP: 240, A Avg: 1240720, D Avg: 122011, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 934: HP: 95, STR: 31, VIT: 122, SPD: 1, LUK: 1, Attack: 148946, Defense: 84713, Current HP: 95, A Avg: 1240720, D Avg: 118598, [Sword of Evil[189, 0, 0, 0], Black Hole[229, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 933: HP: 95, STR: 31, VIT: 153, SPD: 1, LUK: 1, Attack: 148946, Defense: 84744, Current HP: 95, A Avg: 1240720, D Avg: 118641, [Sword of Evil[189, 0, 0, 0], Black Hole[229, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 932: HP: 290, STR: 31, VIT: 114, SPD: 1, LUK: 1, Attack: 148946, Defense: 84705, Current HP: 290, A Avg: 1240720, D Avg: 118586, [Sword of Evil[189, 0, 0, 0], Black Hole[229, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 931: HP: 95, STR: 31, VIT: 122, SPD: 1, LUK: 1, Attack: 148946, Defense: 87040, Current HP: 95, A Avg: 1240720, D Avg: 121855, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 930: HP: 95, STR: 31, VIT: 153, SPD: 1, LUK: 1, Attack: 148946, Defense: 87071, Current HP: 95, A Avg: 1240720, D Avg: 121899, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 929: HP: 290, STR: 31, VIT: 114, SPD: 1, LUK: 1, Attack: 148946, Defense: 87032, Current HP: 290, A Avg: 1240720, D Avg: 121844, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 928: HP: 1007, STR: 31, VIT: 31, SPD: 1, LUK: 1, Attack: 148946, Defense: 85948, Current HP: 1007, A Avg: 1240720, D Avg: 120327, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 927: HP: 1007, STR: 31, VIT: 63, SPD: 1, LUK: 1, Attack: 148946, Defense: 85980, Current HP: 1007, A Avg: 1240720, D Avg: 120371, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 926: HP: 1682, STR: 31, VIT: 54, SPD: 1, LUK: 1, Attack: 148946, Defense: 85971, Current HP: 1682, A Avg: 1240720, D Avg: 120359, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 925: HP: 300, STR: 31, VIT: 92, SPD: 1, LUK: 1, Attack: 148946, Defense: 84826, Current HP: 300, A Avg: 1240720, D Avg: 118756, [Sword of Evil[189, 0, 0, 0], Slafield[232, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 924: HP: 300, STR: 31, VIT: 122, SPD: 1, LUK: 1, Attack: 148946, Defense: 84856, Current HP: 300, A Avg: 1240720, D Avg: 118798, [Sword of Evil[189, 0, 0, 0], Slafield[232, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 923: HP: 600, STR: 31, VIT: 93, SPD: 1, LUK: 1, Attack: 148946, Defense: 84827, Current HP: 600, A Avg: 1240720, D Avg: 118757, [Sword of Evil[189, 0, 0, 0], Slafield[232, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 922: HP: 200, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 85536, Current HP: 200, A Avg: 1240720, D Avg: 119750, [Sword of Evil[189, 0, 0, 0], Mist Shield[233, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 921: HP: 200, STR: 31, VIT: 92, SPD: 1, LUK: 1, Attack: 148946, Defense: 85567, Current HP: 200, A Avg: 1240720, D Avg: 119793, [Sword of Evil[189, 0, 0, 0], Mist Shield[233, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 920: HP: 450, STR: 31, VIT: 72, SPD: 1, LUK: 1, Attack: 148946, Defense: 85547, Current HP: 450, A Avg: 1240720, D Avg: 119765, [Sword of Evil[189, 0, 0, 0], Mist Shield[233, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 919: HP: 247, STR: 31, VIT: 31, SPD: 1, LUK: 1, Attack: 148946, Defense: 84999, Current HP: 247, A Avg: 1240720, D Avg: 118998, [Sword of Evil[189, 0, 0, 0], Huge Shield[234, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 918: HP: 247, STR: 31, VIT: 63, SPD: 1, LUK: 1, Attack: 148946, Defense: 85031, Current HP: 247, A Avg: 1240720, D Avg: 119043, [Sword of Evil[189, 0, 0, 0], Huge Shield[234, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 917: HP: 522, STR: 31, VIT: 54, SPD: 1, LUK: 1, Attack: 148946, Defense: 85022, Current HP: 522, A Avg: 1240720, D Avg: 119030, [Sword of Evil[189, 0, 0, 0], Huge Shield[234, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 916: HP: 66, STR: 31, VIT: 222, SPD: 1, LUK: 1, Attack: 148946, Defense: 85060, Current HP: 66, A Avg: 1240720, D Avg: 119083, [Sword of Evil[189, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 915: HP: 87, STR: 31, VIT: 163, SPD: 1, LUK: 1, Attack: 148946, Defense: 85001, Current HP: 87, A Avg: 1240720, D Avg: 119001, [Sword of Evil[189, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 914: HP: 95, STR: 31, VIT: 163, SPD: 2, LUK: 1, Attack: 148946, Defense: 85001, Current HP: 95, A Avg: 1240720, D Avg: 119001, [Sword of Evil[189, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 913: HP: 286, STR: 31, VIT: 254, SPD: 1, LUK: 1, Attack: 148946, Defense: 85092, Current HP: 286, A Avg: 1240720, D Avg: 119128, [Sword of Evil[189, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 912: HP: 171, STR: 31, VIT: 245, SPD: 1, LUK: 1, Attack: 148946, Defense: 87085, Current HP: 171, A Avg: 1240720, D Avg: 121918, [Sword of Evil[189, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 911: HP: 171, STR: 31, VIT: 276, SPD: 1, LUK: 1, Attack: 148946, Defense: 87116, Current HP: 171, A Avg: 1240720, D Avg: 121962, [Sword of Evil[189, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 910: HP: 406, STR: 31, VIT: 197, SPD: 1, LUK: 1, Attack: 148946, Defense: 87037, Current HP: 406, A Avg: 1240720, D Avg: 121851, [Sword of Evil[189, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 909: HP: 60, STR: 31, VIT: 30, SPD: 1, LUK: 1, Attack: 148946, Defense: 87455, Current HP: 60, A Avg: 1240720, D Avg: 122436, [Sword of Evil[189, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 908: HP: 60, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 87486, Current HP: 60, A Avg: 1240720, D Avg: 122480, [Sword of Evil[189, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 907: HP: 240, STR: 31, VIT: 51, SPD: 1, LUK: 1, Attack: 148946, Defense: 87476, Current HP: 240, A Avg: 1240720, D Avg: 122466, [Sword of Evil[189, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 906: HP: 57, STR: 31, VIT: 30, SPD: 1, LUK: 1, Attack: 148946, Defense: 86819, Current HP: 57, A Avg: 1240720, D Avg: 121546, [Sword of Evil[189, 0, 0, 0], Graffiti[243, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 905: HP: 57, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 86850, Current HP: 57, A Avg: 1240720, D Avg: 121589, [Sword of Evil[189, 0, 0, 0], Graffiti[243, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 904: HP: 232, STR: 31, VIT: 51, SPD: 1, LUK: 1, Attack: 148946, Defense: 86840, Current HP: 232, A Avg: 1240720, D Avg: 121575, [Sword of Evil[189, 0, 0, 0], Graffiti[243, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 903: HP: 57, STR: 31, VIT: 30, SPD: 1, LUK: 1, Attack: 148946, Defense: 89808, Current HP: 57, A Avg: 1240720, D Avg: 125731, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 902: HP: 57, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 89839, Current HP: 57, A Avg: 1240720, D Avg: 125774, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
