Rank 1000: HP: 4142, STR: 1046285, VIT: 1661, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87578, Current HP: 4142, A Avg: 14139583, D Avg: 122609, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 966: HP: 1938, STR: 1046285, VIT: 3411, SPD: 71, LUK: 1, Attack: 1697429, Defense: 93189, Current HP: 1938, A Avg: 14139583, D Avg: 130464, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 965: HP: 2413, STR: 1046285, VIT: 4271, SPD: 71, LUK: 1, Attack: 1697429, Defense: 91059, Current HP: 2413, A Avg: 14139583, D Avg: 127482, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 964: HP: 2223, STR: 1046285, VIT: 2336, SPD: 76, LUK: 1, Attack: 1697429, Defense: 88214, Current HP: 2223, A Avg: 14139583, D Avg: 123499, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 963: HP: 3169, STR: 1046285, VIT: 2344, SPD: 71, LUK: 1, Attack: 1697429, Defense: 88560, Current HP: 3169, A Avg: 14139583, D Avg: 123983, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 962: HP: 2440, STR: 1046285, VIT: 2365, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89400, Current HP: 2440, A Avg: 14139583, D Avg: 125159, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 961: HP: 2040, STR: 1046285, VIT: 2680, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89728, Current HP: 2040, A Avg: 14139583, D Avg: 125619, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 960: HP: 2040, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85308, Current HP: 2040, A Avg: 14139583, D Avg: 119431, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 959: HP: 2040, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85318, Current HP: 2040, A Avg: 14139583, D Avg: 119445, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 958: HP: 1938, STR: 1046285, VIT: 1672, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85541, Current HP: 1938, A Avg: 14139583, D Avg: 119757, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 957: HP: 1938, STR: 1046285, VIT: 1679, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85483, Current HP: 1938, A Avg: 14139583, D Avg: 119676, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 956: HP: 1938, STR: 1046285, VIT: 1757, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85620, Current HP: 1938, A Avg: 14139583, D Avg: 119867, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 955: HP: 1938, STR: 1046285, VIT: 1779, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85668, Current HP: 1938, A Avg: 14139583, D Avg: 119935, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 954: HP: 2040, STR: 1046285, VIT: 1778, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85654, Current HP: 2040, A Avg: 14139583, D Avg: 119915, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 953: HP: 2375, STR: 1046285, VIT: 1948, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85785, Current HP: 2375, A Avg: 14139583, D Avg: 120098, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 952: HP: 2100, STR: 1046285, VIT: 1686, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85458, Current HP: 2100, A Avg: 14139583, D Avg: 119641, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 951: HP: 2140, STR: 1046285, VIT: 1778, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85797, Current HP: 2140, A Avg: 14139583, D Avg: 120115, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 950: HP: 2014, STR: 1046285, VIT: 1768, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85696, Current HP: 2014, A Avg: 14139583, D Avg: 119974, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 949: HP: 2756, STR: 1046285, VIT: 2062, SPD: 71, LUK: 1, Attack: 1697429, Defense: 86624, Current HP: 2756, A Avg: 14139583, D Avg: 121273, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 948: HP: 2644, STR: 1046285, VIT: 1757, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85685, Current HP: 2644, A Avg: 14139583, D Avg: 119958, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 947: HP: 2040, STR: 1046285, VIT: 2535, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89323, Current HP: 2040, A Avg: 14139583, D Avg: 125052, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 946: HP: 4142, STR: 1046285, VIT: 1661, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87578, Current HP: 4142, A Avg: 14139583, D Avg: 122609, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 945: HP: 2984, STR: 1046285, VIT: 2174, SPD: 71, LUK: 1, Attack: 1697429, Defense: 86908, Current HP: 2984, A Avg: 14139583, D Avg: 121671, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 944: HP: 2620, STR: 1046285, VIT: 2062, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87537, Current HP: 2620, A Avg: 14139583, D Avg: 122551, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 943: HP: 2128, STR: 1046285, VIT: 2618, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87586, Current HP: 2128, A Avg: 14139583, D Avg: 122620, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 942: HP: 2052, STR: 1046285, VIT: 2643, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89483, Current HP: 2052, A Avg: 14139583, D Avg: 125276, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 941: HP: 3360, STR: 1046285, VIT: 2407, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89832, Current HP: 3360, A Avg: 14139583, D Avg: 125764, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 940: HP: 1938, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 88374, Current HP: 1938, A Avg: 14139583, D Avg: 123723, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 939: HP: 1938, STR: 1046285, VIT: 3411, SPD: 71, LUK: 1, Attack: 1697429, Defense: 93189, Current HP: 1938, A Avg: 14139583, D Avg: 130464, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 938: HP: 2413, STR: 1046285, VIT: 4271, SPD: 71, LUK: 1, Attack: 1697429, Defense: 91059, Current HP: 2413, A Avg: 14139583, D Avg: 127482, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 937: HP: 2223, STR: 1046285, VIT: 2336, SPD: 76, LUK: 1, Attack: 1697429, Defense: 88214, Current HP: 2223, A Avg: 14139583, D Avg: 123499, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 936: HP: 3169, STR: 1046285, VIT: 2344, SPD: 71, LUK: 1, Attack: 1697429, Defense: 88560, Current HP: 3169, A Avg: 14139583, D Avg: 123983, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 935: HP: 2440, STR: 1046285, VIT: 2365, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89400, Current HP: 2440, A Avg: 14139583, D Avg: 125159, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 934: HP: 2040, STR: 1046285, VIT: 2680, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89728, Current HP: 2040, A Avg: 14139583, D Avg: 125619, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 933: HP: 1501, STR: 1046840, VIT: 2396, SPD: 71, LUK: 1, Attack: 1697442, Defense: 89197, Current HP: 1501, A Avg: 14139691, D Avg: 124875, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 932: HP: 1501, STR: 1046840, VIT: 2396, SPD: 71, LUK: 1, Attack: 1697442, Defense: 89197, Current HP: 1501, A Avg: 14139691, D Avg: 124875, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 931: HP: 1501, STR: 1046840, VIT: 2396, SPD: 71, LUK: 1, Attack: 1697442, Defense: 89197, Current HP: 1501, A Avg: 14139691, D Avg: 124875, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 930: HP: 1501, STR: 1046840, VIT: 2396, SPD: 71, LUK: 1, Attack: 1697442, Defense: 89197, Current HP: 1501, A Avg: 14139691, D Avg: 124875, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 929: HP: 1501, STR: 1046840, VIT: 2396, SPD: 71, LUK: 1, Attack: 1697442, Defense: 89197, Current HP: 1501, A Avg: 14139691, D Avg: 124875, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 928: HP: 2264, STR: 1046332, VIT: 1959, SPD: 71, LUK: 1, Attack: 1697499, Defense: 85900, Current HP: 2264, A Avg: 14140166, D Avg: 120259, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 927: HP: 2264, STR: 1046332, VIT: 1959, SPD: 71, LUK: 1, Attack: 1697499, Defense: 85900, Current HP: 2264, A Avg: 14140166, D Avg: 120259, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 926: HP: 2264, STR: 1046332, VIT: 1959, SPD: 71, LUK: 1, Attack: 1697499, Defense: 85900, Current HP: 2264, A Avg: 14140166, D Avg: 120259, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 925: HP: 2264, STR: 1046332, VIT: 1959, SPD: 71, LUK: 1, Attack: 1697499, Defense: 85900, Current HP: 2264, A Avg: 14140166, D Avg: 120259, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 924: HP: 2264, STR: 1046332, VIT: 1959, SPD: 71, LUK: 1, Attack: 1697499, Defense: 85900, Current HP: 2264, A Avg: 14140166, D Avg: 120259, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 923: HP: 1938, STR: 1046516, VIT: 1778, SPD: 76, LUK: 1, Attack: 1697775, Defense: 85803, Current HP: 1938, A Avg: 14142465, D Avg: 120124, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 922: HP: 1938, STR: 1046516, VIT: 1778, SPD: 76, LUK: 1, Attack: 1697775, Defense: 85803, Current HP: 1938, A Avg: 14142465, D Avg: 120124, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 921: HP: 1938, STR: 1046516, VIT: 1778, SPD: 76, LUK: 1, Attack: 1697775, Defense: 85803, Current HP: 1938, A Avg: 14142465, D Avg: 120124, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 920: HP: 1938, STR: 1046516, VIT: 1778, SPD: 76, LUK: 1, Attack: 1697775, Defense: 85803, Current HP: 1938, A Avg: 14142465, D Avg: 120124, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 919: HP: 1938, STR: 1046516, VIT: 1778, SPD: 76, LUK: 1, Attack: 1697775, Defense: 85803, Current HP: 1938, A Avg: 14142465, D Avg: 120124, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 918: HP: 2451, STR: 1046539, VIT: 1961, SPD: 71, LUK: 1, Attack: 1697810, Defense: 86201, Current HP: 2451, A Avg: 14142757, D Avg: 120681, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 917: HP: 2451, STR: 1046539, VIT: 1961, SPD: 71, LUK: 1, Attack: 1697810, Defense: 86201, Current HP: 2451, A Avg: 14142757, D Avg: 120681, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 916: HP: 2451, STR: 1046539, VIT: 1961, SPD: 71, LUK: 1, Attack: 1697810, Defense: 86201, Current HP: 2451, A Avg: 14142757, D Avg: 120681, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 915: HP: 2451, STR: 1046539, VIT: 1961, SPD: 71, LUK: 1, Attack: 1697810, Defense: 86201, Current HP: 2451, A Avg: 14142757, D Avg: 120681, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 914: HP: 2451, STR: 1046539, VIT: 1961, SPD: 71, LUK: 1, Attack: 1697810, Defense: 86201, Current HP: 2451, A Avg: 14142757, D Avg: 120681, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 913: HP: 2576, STR: 1046718, VIT: 2141, SPD: 71, LUK: 1, Attack: 1698078, Defense: 87759, Current HP: 2576, A Avg: 14144989, D Avg: 122862, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 912: HP: 2576, STR: 1046718, VIT: 2141, SPD: 71, LUK: 1, Attack: 1698078, Defense: 87759, Current HP: 2576, A Avg: 14144989, D Avg: 122862, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 911: HP: 2576, STR: 1046718, VIT: 2141, SPD: 71, LUK: 1, Attack: 1698078, Defense: 87759, Current HP: 2576, A Avg: 14144989, D Avg: 122862, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 910: HP: 2576, STR: 1046718, VIT: 2141, SPD: 71, LUK: 1, Attack: 1698078, Defense: 87759, Current HP: 2576, A Avg: 14144989, D Avg: 122862, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 909: HP: 2576, STR: 1046718, VIT: 2141, SPD: 71, LUK: 1, Attack: 1698078, Defense: 87759, Current HP: 2576, A Avg: 14144989, D Avg: 122862, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 908: HP: 2272, STR: 1046722, VIT: 2462, SPD: 71, LUK: 1, Attack: 1698084, Defense: 87300, Current HP: 2272, A Avg: 14145039, D Avg: 122219, [Impulse[166, 630, 630, 630], Bulletproof Shield[235, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 907: HP: 2272, STR: 1046722, VIT: 2462, SPD: 71, LUK: 1, Attack: 1698084, Defense: 87300, Current HP: 2272, A Avg: 14145039, D Avg: 122219, [Impulse[166, 630, 630, 630], Bulletproof Shield[235, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 906: HP: 2272, STR: 1046722, VIT: 2462, SPD: 71, LUK: 1, Attack: 1698084, Defense: 87300, Current HP: 2272, A Avg: 14145039, D Avg: 122219, [Impulse[166, 630, 630, 630], Bulletproof Shield[235, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
