Rank 1000: HP: 1045, STR: 269, VIT: 236, SPD: 25, LUK: 1, Attack: 138683, Defense: 84658, Current HP: 1045, A Avg: 1155229, D Avg: 118521, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 989: HP: 1412, STR: 270, VIT: 221, SPD: 23, LUK: 1, Attack: 138685, Defense: 84227, Current HP: 1412, A Avg: 1155246, D Avg: 117917, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 988: HP: 1086, STR: 270, VIT: 170, SPD: 38, LUK: 1, Attack: 138685, Defense: 84176, Current HP: 1086, A Avg: 1155246, D Avg: 117846, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 987: HP: 1092, STR: 272, VIT: 175, SPD: 23, LUK: 1, Attack: 138688, Defense: 84064, Current HP: 1092, A Avg: 1155271, D Avg: 117689, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 986: HP: 1653, STR: 272, VIT: 128, SPD: 23, LUK: 1, Attack: 138688, Defense: 84017, Current HP: 1653, A Avg: 1155271, D Avg: 117623, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 985: HP: 1121, STR: 272, VIT: 128, SPD: 43, LUK: 1, Attack: 138688, Defense: 84017, Current HP: 1121, A Avg: 1155271, D Avg: 117623, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 984: HP: 1102, STR: 272, VIT: 139, SPD: 38, LUK: 1, Attack: 138688, Defense: 84028, Current HP: 1102, A Avg: 1155271, D Avg: 117639, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 983: HP: 1474, STR: 272, VIT: 206, SPD: 23, LUK: 1, Attack: 138688, Defense: 84095, Current HP: 1474, A Avg: 1155271, D Avg: 117732, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 982: HP: 1140, STR: 272, VIT: 159, SPD: 38, LUK: 1, Attack: 138688, Defense: 84048, Current HP: 1140, A Avg: 1155271, D Avg: 117667, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 981: HP: 893, STR: 272, VIT: 118, SPD: 25, LUK: 2, Attack: 138688, Defense: 84143, Current HP: 893, A Avg: 1155271, D Avg: 117800, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 980: HP: 1472, STR: 272, VIT: 1334, SPD: 23, LUK: 1, Attack: 138688, Defense: 88902, Current HP: 1472, A Avg: 1155271, D Avg: 124462, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 979: HP: 2233, STR: 272, VIT: 910, SPD: 23, LUK: 1, Attack: 138688, Defense: 88478, Current HP: 2233, A Avg: 1155271, D Avg: 123869, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 978: HP: 1501, STR: 272, VIT: 910, SPD: 43, LUK: 1, Attack: 138688, Defense: 88478, Current HP: 1501, A Avg: 1155271, D Avg: 123869, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 977: HP: 1482, STR: 272, VIT: 921, SPD: 38, LUK: 1, Attack: 138688, Defense: 88489, Current HP: 1482, A Avg: 1155271, D Avg: 123884, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 976: HP: 1914, STR: 272, VIT: 1365, SPD: 23, LUK: 1, Attack: 138688, Defense: 88933, Current HP: 1914, A Avg: 1155271, D Avg: 124506, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 975: HP: 1520, STR: 272, VIT: 942, SPD: 38, LUK: 1, Attack: 138688, Defense: 88510, Current HP: 1520, A Avg: 1155271, D Avg: 123913, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 974: HP: 2299, STR: 6649, VIT: 664, SPD: 28, LUK: 1, Attack: 138693, Defense: 88492, Current HP: 2299, A Avg: 1155312, D Avg: 123888, [Spear of Regression[182, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 973: HP: 1188, STR: 277, VIT: 498, SPD: 23, LUK: 1, Attack: 138695, Defense: 85089, Current HP: 1188, A Avg: 1155329, D Avg: 119124, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 972: HP: 1567, STR: 277, VIT: 99, SPD: 23, LUK: 1, Attack: 138695, Defense: 83962, Current HP: 1567, A Avg: 1155329, D Avg: 117546, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 971: HP: 1188, STR: 277, VIT: 89, SPD: 23, LUK: 2, Attack: 138695, Defense: 83952, Current HP: 1188, A Avg: 1155329, D Avg: 117532, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 970: HP: 960, STR: 277, VIT: 232, SPD: 25, LUK: 1, Attack: 138695, Defense: 84238, Current HP: 960, A Avg: 1155329, D Avg: 117933, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 969: HP: 940, STR: 277, VIT: 1683, SPD: 25, LUK: 1, Attack: 138695, Defense: 87353, Current HP: 940, A Avg: 1155329, D Avg: 122294, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 968: HP: 722, STR: 2556, VIT: 222, SPD: 40, LUK: 1, Attack: 138697, Defense: 84247, Current HP: 722, A Avg: 1155346, D Avg: 117945, [Spectral Sword Shigure[172, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 967: HP: 1238, STR: 280, VIT: 225, SPD: 28, LUK: 1, Attack: 138700, Defense: 84250, Current HP: 1238, A Avg: 1155370, D Avg: 117949, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 966: HP: 1448, STR: 280, VIT: 864, SPD: 27, LUK: 1, Attack: 138700, Defense: 87665, Current HP: 1448, A Avg: 1155370, D Avg: 122730, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 965: HP: 1029, STR: 281, VIT: 221, SPD: 23, LUK: 1, Attack: 138701, Defense: 84227, Current HP: 1029, A Avg: 1155379, D Avg: 117917, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 964: HP: 1716, STR: 281, VIT: 159, SPD: 23, LUK: 1, Attack: 138701, Defense: 84165, Current HP: 1716, A Avg: 1155379, D Avg: 117830, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 963: HP: 912, STR: 282, VIT: 132, SPD: 23, LUK: 1, Attack: 138703, Defense: 83995, Current HP: 912, A Avg: 1155395, D Avg: 117592, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 962: HP: 950, STR: 283, VIT: 307, SPD: 23, LUK: 2, Attack: 138704, Defense: 84898, Current HP: 950, A Avg: 1155404, D Avg: 118857, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 961: HP: 1083, STR: 283, VIT: 206, SPD: 23, LUK: 1, Attack: 138704, Defense: 84095, Current HP: 1083, A Avg: 1155404, D Avg: 117732, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 960: HP: 1798, STR: 283, VIT: 149, SPD: 23, LUK: 1, Attack: 138704, Defense: 84038, Current HP: 1798, A Avg: 1155404, D Avg: 117653, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 959: HP: 1463, STR: 283, VIT: 1365, SPD: 23, LUK: 1, Attack: 138704, Defense: 88933, Current HP: 1463, A Avg: 1155404, D Avg: 124506, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 958: HP: 2378, STR: 283, VIT: 931, SPD: 23, LUK: 1, Attack: 138704, Defense: 88499, Current HP: 2378, A Avg: 1155404, D Avg: 123898, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 957: HP: 1121, STR: 285, VIT: 448, SPD: 23, LUK: 1, Attack: 138707, Defense: 87249, Current HP: 1121, A Avg: 1155429, D Avg: 122148, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 956: HP: 1216, STR: 285, VIT: 530, SPD: 23, LUK: 1, Attack: 138707, Defense: 87331, Current HP: 1216, A Avg: 1155429, D Avg: 122263, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 955: HP: 1216, STR: 285, VIT: 469, SPD: 23, LUK: 1, Attack: 138707, Defense: 87270, Current HP: 1216, A Avg: 1155429, D Avg: 122177, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 954: HP: 1121, STR: 286, VIT: 156, SPD: 23, LUK: 2, Attack: 138709, Defense: 84396, Current HP: 1121, A Avg: 1155445, D Avg: 118154, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 953: HP: 1599, STR: 289, VIT: 296, SPD: 23, LUK: 1, Attack: 138713, Defense: 84887, Current HP: 1599, A Avg: 1155479, D Avg: 118841, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 952: HP: 1210, STR: 289, VIT: 286, SPD: 23, LUK: 2, Attack: 138713, Defense: 84877, Current HP: 1210, A Avg: 1155479, D Avg: 118827, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 951: HP: 896, STR: 2567, VIT: 253, SPD: 38, LUK: 1, Attack: 138714, Defense: 84259, Current HP: 896, A Avg: 1155487, D Avg: 117962, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 950: HP: 950, STR: 2570, VIT: 242, SPD: 38, LUK: 1, Attack: 138718, Defense: 84131, Current HP: 950, A Avg: 1155520, D Avg: 117783, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 949: HP: 950, STR: 2570, VIT: 265, SPD: 38, LUK: 1, Attack: 138718, Defense: 84505, Current HP: 950, A Avg: 1155520, D Avg: 118306, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 948: HP: 1330, STR: 2570, VIT: 1025, SPD: 38, LUK: 1, Attack: 138718, Defense: 88593, Current HP: 1330, A Avg: 1155520, D Avg: 124030, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 947: HP: 712, STR: 2574, VIT: 196, SPD: 25, LUK: 1, Attack: 138724, Defense: 84332, Current HP: 712, A Avg: 1155570, D Avg: 118064, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 946: HP: 1073, STR: 2574, VIT: 143, SPD: 25, LUK: 1, Attack: 138724, Defense: 84279, Current HP: 1073, A Avg: 1155570, D Avg: 117990, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 945: HP: 741, STR: 2574, VIT: 143, SPD: 45, LUK: 1, Attack: 138724, Defense: 84279, Current HP: 741, A Avg: 1155570, D Avg: 117990, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 944: HP: 1034, STR: 2574, VIT: 227, SPD: 25, LUK: 1, Attack: 138724, Defense: 84363, Current HP: 1034, A Avg: 1155570, D Avg: 118108, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 943: HP: 984, STR: 296, VIT: 118, SPD: 23, LUK: 2, Attack: 138724, Defense: 84618, Current HP: 984, A Avg: 1155570, D Avg: 118465, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 942: HP: 1490, STR: 297, VIT: 270, SPD: 27, LUK: 1, Attack: 138725, Defense: 84510, Current HP: 1490, A Avg: 1155579, D Avg: 118313, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 941: HP: 1104, STR: 300, VIT: 275, SPD: 25, LUK: 1, Attack: 138730, Defense: 84216, Current HP: 1104, A Avg: 1155620, D Avg: 117902, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 940: HP: 1470, STR: 302, VIT: 516, SPD: 23, LUK: 1, Attack: 138733, Defense: 86628, Current HP: 1470, A Avg: 1155645, D Avg: 121279, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 939: HP: 2190, STR: 302, VIT: 358, SPD: 23, LUK: 1, Attack: 138733, Defense: 86470, Current HP: 2190, A Avg: 1155645, D Avg: 121057, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 938: HP: 1500, STR: 302, VIT: 358, SPD: 43, LUK: 1, Attack: 138733, Defense: 86470, Current HP: 1500, A Avg: 1155645, D Avg: 121057, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 937: HP: 1480, STR: 302, VIT: 369, SPD: 38, LUK: 1, Attack: 138733, Defense: 86481, Current HP: 1480, A Avg: 1155645, D Avg: 121073, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 936: HP: 1909, STR: 302, VIT: 547, SPD: 23, LUK: 1, Attack: 138733, Defense: 86659, Current HP: 1909, A Avg: 1155645, D Avg: 121322, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 935: HP: 1520, STR: 302, VIT: 390, SPD: 38, LUK: 1, Attack: 138733, Defense: 86502, Current HP: 1520, A Avg: 1155645, D Avg: 121102, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 934: HP: 712, STR: 2582, VIT: 196, SPD: 23, LUK: 1, Attack: 138736, Defense: 84384, Current HP: 712, A Avg: 1155670, D Avg: 118137, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 933: HP: 1073, STR: 2582, VIT: 143, SPD: 23, LUK: 1, Attack: 138736, Defense: 84331, Current HP: 1073, A Avg: 1155670, D Avg: 118063, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 932: HP: 741, STR: 2582, VIT: 143, SPD: 43, LUK: 1, Attack: 138736, Defense: 84331, Current HP: 741, A Avg: 1155670, D Avg: 118063, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 931: HP: 1034, STR: 2582, VIT: 227, SPD: 23, LUK: 1, Attack: 138736, Defense: 84415, Current HP: 1034, A Avg: 1155670, D Avg: 118180, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 930: HP: 931, STR: 305, VIT: 424, SPD: 23, LUK: 1, Attack: 138737, Defense: 85015, Current HP: 931, A Avg: 1155679, D Avg: 119020, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 929: HP: 1138, STR: 2584, VIT: 530, SPD: 27, LUK: 1, Attack: 138739, Defense: 84536, Current HP: 1138, A Avg: 1155695, D Avg: 118350, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 928: HP: 1339, STR: 306, VIT: 225, SPD: 27, LUK: 1, Attack: 138739, Defense: 84725, Current HP: 1339, A Avg: 1155695, D Avg: 118614, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 927: HP: 1116, STR: 307, VIT: 232, SPD: 23, LUK: 2, Attack: 138740, Defense: 85850, Current HP: 1116, A Avg: 1155704, D Avg: 120189, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 926: HP: 703, STR: 2585, VIT: 196, SPD: 25, LUK: 1, Attack: 138741, Defense: 84332, Current HP: 703, A Avg: 1155712, D Avg: 118064, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 925: HP: 703, STR: 2585, VIT: 227, SPD: 25, LUK: 1, Attack: 138741, Defense: 84363, Current HP: 703, A Avg: 1155712, D Avg: 118108, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 924: HP: 1218, STR: 2585, VIT: 163, SPD: 25, LUK: 1, Attack: 138741, Defense: 84299, Current HP: 1218, A Avg: 1155712, D Avg: 118018, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 923: HP: 1196, STR: 2587, VIT: 514, SPD: 27, LUK: 1, Attack: 138744, Defense: 84403, Current HP: 1196, A Avg: 1155737, D Avg: 118164, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 922: HP: 1616, STR: 2587, VIT: 1748, SPD: 27, LUK: 1, Attack: 138744, Defense: 89316, Current HP: 1616, A Avg: 1155737, D Avg: 125042, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 921: HP: 999, STR: 310, VIT: 395, SPD: 23, LUK: 2, Attack: 138745, Defense: 85233, Current HP: 999, A Avg: 1155745, D Avg: 119326, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 920: HP: 1460, STR: 312, VIT: 547, SPD: 23, LUK: 1, Attack: 138748, Defense: 86659, Current HP: 1460, A Avg: 1155770, D Avg: 121322, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 919: HP: 2340, STR: 312, VIT: 379, SPD: 23, LUK: 1, Attack: 138748, Defense: 86491, Current HP: 2340, A Avg: 1155770, D Avg: 121087, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 918: HP: 936, STR: 2592, VIT: 336, SPD: 38, LUK: 1, Attack: 138751, Defense: 85954, Current HP: 936, A Avg: 1155795, D Avg: 120335, [Spectral Sword Shigure[172, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 917: HP: 703, STR: 2593, VIT: 196, SPD: 23, LUK: 1, Attack: 138753, Defense: 84384, Current HP: 703, A Avg: 1155812, D Avg: 118137, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 916: HP: 703, STR: 2593, VIT: 227, SPD: 23, LUK: 1, Attack: 138753, Defense: 84415, Current HP: 703, A Avg: 1155812, D Avg: 118180, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 915: HP: 1218, STR: 2593, VIT: 163, SPD: 23, LUK: 1, Attack: 138753, Defense: 84351, Current HP: 1218, A Avg: 1155812, D Avg: 118091, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 914: HP: 828, STR: 2594, VIT: 504, SPD: 38, LUK: 1, Attack: 138754, Defense: 85342, Current HP: 828, A Avg: 1155820, D Avg: 119478, [Spectral Sword Shigure[172, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 913: HP: 722, STR: 2595, VIT: 153, SPD: 25, LUK: 2, Attack: 138756, Defense: 84289, Current HP: 722, A Avg: 1155837, D Avg: 118004, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 912: HP: 1420, STR: 319, VIT: 467, SPD: 23, LUK: 1, Attack: 138758, Defense: 84190, Current HP: 1420, A Avg: 1155854, D Avg: 117865, [Big Bang[171, 0, 0, 0], Pot Lid[201, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 911: HP: 1420, STR: 319, VIT: 467, SPD: 23, LUK: 1, Attack: 138758, Defense: 84200, Current HP: 1420, A Avg: 1155854, D Avg: 117879, [Big Bang[171, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 910: HP: 1349, STR: 319, VIT: 498, SPD: 23, LUK: 1, Attack: 138758, Defense: 84367, Current HP: 1349, A Avg: 1155854, D Avg: 118113, [Big Bang[171, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 909: HP: 1349, STR: 319, VIT: 508, SPD: 23, LUK: 1, Attack: 138758, Defense: 84312, Current HP: 1349, A Avg: 1155854, D Avg: 118036, [Big Bang[171, 0, 0, 0], Iron Shield[204, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 908: HP: 1349, STR: 319, VIT: 527, SPD: 23, LUK: 1, Attack: 138758, Defense: 84390, Current HP: 1349, A Avg: 1155854, D Avg: 118145, [Big Bang[171, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 907: HP: 1349, STR: 319, VIT: 558, SPD: 23, LUK: 1, Attack: 138758, Defense: 84447, Current HP: 1349, A Avg: 1155854, D Avg: 118225, [Big Bang[171, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 906: HP: 1420, STR: 319, VIT: 568, SPD: 23, LUK: 1, Attack: 138758, Defense: 84444, Current HP: 1420, A Avg: 1155854, D Avg: 118221, [Big Bang[171, 0, 0, 0], Magic Shield[207, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 905: HP: 1501, STR: 319, VIT: 615, SPD: 23, LUK: 1, Attack: 138758, Defense: 84452, Current HP: 1501, A Avg: 1155854, D Avg: 118232, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 904: HP: 1480, STR: 319, VIT: 525, SPD: 23, LUK: 1, Attack: 138758, Defense: 84297, Current HP: 1480, A Avg: 1155854, D Avg: 118015, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
