Rank 1000: HP: 1740, STR: 808653, VIT: 1404, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85423, Current HP: 1740, A Avg: 11170371, D Avg: 119592, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 982: HP: 1640, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 84976, Current HP: 1640, A Avg: 11170371, D Avg: 118966, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 981: HP: 1640, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 84986, Current HP: 1640, A Avg: 11170371, D Avg: 118980, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 980: HP: 1558, STR: 808653, VIT: 1324, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85193, Current HP: 1558, A Avg: 11170371, D Avg: 119270, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 979: HP: 1558, STR: 808653, VIT: 1331, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85135, Current HP: 1558, A Avg: 11170371, D Avg: 119188, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 978: HP: 1558, STR: 808653, VIT: 1387, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85250, Current HP: 1558, A Avg: 11170371, D Avg: 119349, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 977: HP: 1558, STR: 808653, VIT: 1409, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85298, Current HP: 1558, A Avg: 11170371, D Avg: 119417, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 976: HP: 1640, STR: 808653, VIT: 1404, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85280, Current HP: 1640, A Avg: 11170371, D Avg: 119391, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 975: HP: 1900, STR: 808653, VIT: 1535, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85372, Current HP: 1900, A Avg: 11170371, D Avg: 119520, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 974: HP: 1700, STR: 808653, VIT: 1334, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85106, Current HP: 1700, A Avg: 11170371, D Avg: 119148, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 973: HP: 1740, STR: 808653, VIT: 1404, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85423, Current HP: 1740, A Avg: 11170371, D Avg: 119592, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 972: HP: 1634, STR: 808653, VIT: 1398, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85326, Current HP: 1634, A Avg: 11170371, D Avg: 119456, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 971: HP: 2216, STR: 808653, VIT: 1626, SPD: 55, LUK: 1, Attack: 1340981, Defense: 86188, Current HP: 2216, A Avg: 11170371, D Avg: 120663, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 970: HP: 2112, STR: 808653, VIT: 1387, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85315, Current HP: 2112, A Avg: 11170371, D Avg: 119440, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 969: HP: 1640, STR: 808653, VIT: 2058, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88846, Current HP: 1640, A Avg: 11170371, D Avg: 124384, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 968: HP: 3477, STR: 808653, VIT: 1313, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87230, Current HP: 3477, A Avg: 11170371, D Avg: 122121, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 967: HP: 2424, STR: 808653, VIT: 1718, SPD: 55, LUK: 1, Attack: 1340981, Defense: 86452, Current HP: 2424, A Avg: 11170371, D Avg: 121032, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 966: HP: 2120, STR: 808653, VIT: 1626, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87101, Current HP: 2120, A Avg: 11170371, D Avg: 121941, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 965: HP: 1748, STR: 808653, VIT: 2053, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87021, Current HP: 1748, A Avg: 11170371, D Avg: 121829, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 964: HP: 1672, STR: 808653, VIT: 2104, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88944, Current HP: 1672, A Avg: 11170371, D Avg: 124521, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 963: HP: 2660, STR: 808653, VIT: 1888, SPD: 55, LUK: 1, Attack: 1340981, Defense: 89313, Current HP: 2660, A Avg: 11170371, D Avg: 125038, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 962: HP: 1558, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88042, Current HP: 1558, A Avg: 11170371, D Avg: 123258, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 961: HP: 1558, STR: 808653, VIT: 2664, SPD: 55, LUK: 1, Attack: 1340981, Defense: 92442, Current HP: 1558, A Avg: 11170371, D Avg: 129418, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 960: HP: 2033, STR: 808653, VIT: 3379, SPD: 55, LUK: 1, Attack: 1340981, Defense: 90167, Current HP: 2033, A Avg: 11170371, D Avg: 126233, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 959: HP: 1843, STR: 808653, VIT: 1838, SPD: 59, LUK: 1, Attack: 1340981, Defense: 87716, Current HP: 1843, A Avg: 11170371, D Avg: 122802, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 958: HP: 2561, STR: 808653, VIT: 1866, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88082, Current HP: 2561, A Avg: 11170371, D Avg: 123314, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 957: HP: 2040, STR: 808653, VIT: 1950, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88985, Current HP: 2040, A Avg: 11170371, D Avg: 124578, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 956: HP: 1640, STR: 808653, VIT: 2099, SPD: 55, LUK: 1, Attack: 1340981, Defense: 89147, Current HP: 1640, A Avg: 11170371, D Avg: 124805, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 955: HP: 1640, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 84976, Current HP: 1640, A Avg: 11170371, D Avg: 118966, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 954: HP: 1640, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 84986, Current HP: 1640, A Avg: 11170371, D Avg: 118980, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 953: HP: 1558, STR: 808653, VIT: 1324, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85193, Current HP: 1558, A Avg: 11170371, D Avg: 119270, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 952: HP: 1558, STR: 808653, VIT: 1331, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85135, Current HP: 1558, A Avg: 11170371, D Avg: 119188, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 951: HP: 1558, STR: 808653, VIT: 1387, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85250, Current HP: 1558, A Avg: 11170371, D Avg: 119349, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 950: HP: 1558, STR: 808653, VIT: 1409, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85298, Current HP: 1558, A Avg: 11170371, D Avg: 119417, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 949: HP: 1640, STR: 808653, VIT: 1404, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85280, Current HP: 1640, A Avg: 11170371, D Avg: 119391, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 948: HP: 1900, STR: 808653, VIT: 1535, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85372, Current HP: 1900, A Avg: 11170371, D Avg: 119520, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 947: HP: 1700, STR: 808653, VIT: 1334, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85106, Current HP: 1700, A Avg: 11170371, D Avg: 119148, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 946: HP: 1740, STR: 808653, VIT: 1404, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85423, Current HP: 1740, A Avg: 11170371, D Avg: 119592, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 945: HP: 1634, STR: 808653, VIT: 1398, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85326, Current HP: 1634, A Avg: 11170371, D Avg: 119456, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 944: HP: 2216, STR: 808653, VIT: 1626, SPD: 55, LUK: 1, Attack: 1340981, Defense: 86188, Current HP: 2216, A Avg: 11170371, D Avg: 120663, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 943: HP: 2112, STR: 808653, VIT: 1387, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85315, Current HP: 2112, A Avg: 11170371, D Avg: 119440, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 942: HP: 1640, STR: 808653, VIT: 2058, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88846, Current HP: 1640, A Avg: 11170371, D Avg: 124384, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 941: HP: 3477, STR: 808653, VIT: 1313, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87230, Current HP: 3477, A Avg: 11170371, D Avg: 122121, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 940: HP: 2424, STR: 808653, VIT: 1718, SPD: 55, LUK: 1, Attack: 1340981, Defense: 86452, Current HP: 2424, A Avg: 11170371, D Avg: 121032, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 939: HP: 2120, STR: 808653, VIT: 1626, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87101, Current HP: 2120, A Avg: 11170371, D Avg: 121941, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 938: HP: 1748, STR: 808653, VIT: 2053, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87021, Current HP: 1748, A Avg: 11170371, D Avg: 121829, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 937: HP: 1672, STR: 808653, VIT: 2104, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88944, Current HP: 1672, A Avg: 11170371, D Avg: 124521, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 936: HP: 2660, STR: 808653, VIT: 1888, SPD: 55, LUK: 1, Attack: 1340981, Defense: 89313, Current HP: 2660, A Avg: 11170371, D Avg: 125038, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 935: HP: 1558, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88042, Current HP: 1558, A Avg: 11170371, D Avg: 123258, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 934: HP: 1558, STR: 808653, VIT: 2664, SPD: 55, LUK: 1, Attack: 1340981, Defense: 92442, Current HP: 1558, A Avg: 11170371, D Avg: 129418, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 933: HP: 2033, STR: 808653, VIT: 3379, SPD: 55, LUK: 1, Attack: 1340981, Defense: 90167, Current HP: 2033, A Avg: 11170371, D Avg: 126233, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 932: HP: 1843, STR: 808653, VIT: 1838, SPD: 59, LUK: 1, Attack: 1340981, Defense: 87716, Current HP: 1843, A Avg: 11170371, D Avg: 122802, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 931: HP: 2561, STR: 808653, VIT: 1866, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88082, Current HP: 2561, A Avg: 11170371, D Avg: 123314, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 930: HP: 2040, STR: 808653, VIT: 1950, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88985, Current HP: 2040, A Avg: 11170371, D Avg: 124578, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 929: HP: 1640, STR: 808653, VIT: 2099, SPD: 55, LUK: 1, Attack: 1340981, Defense: 89147, Current HP: 1640, A Avg: 11170371, D Avg: 124805, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 928: HP: 1827, STR: 808700, VIT: 1546, SPD: 55, LUK: 1, Attack: 1341051, Defense: 85487, Current HP: 1827, A Avg: 11170954, D Avg: 119681, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 927: HP: 1827, STR: 808700, VIT: 1546, SPD: 55, LUK: 1, Attack: 1341051, Defense: 85487, Current HP: 1827, A Avg: 11170954, D Avg: 119681, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 926: HP: 1827, STR: 808700, VIT: 1546, SPD: 55, LUK: 1, Attack: 1341051, Defense: 85487, Current HP: 1827, A Avg: 11170954, D Avg: 119681, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 925: HP: 1827, STR: 808700, VIT: 1546, SPD: 55, LUK: 1, Attack: 1341051, Defense: 85487, Current HP: 1827, A Avg: 11170954, D Avg: 119681, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 924: HP: 1827, STR: 808700, VIT: 1546, SPD: 55, LUK: 1, Attack: 1341051, Defense: 85487, Current HP: 1827, A Avg: 11170954, D Avg: 119681, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 923: HP: 1558, STR: 808837, VIT: 1404, SPD: 59, LUK: 1, Attack: 1341257, Defense: 85429, Current HP: 1558, A Avg: 11172670, D Avg: 119600, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 922: HP: 1558, STR: 808837, VIT: 1404, SPD: 59, LUK: 1, Attack: 1341257, Defense: 85429, Current HP: 1558, A Avg: 11172670, D Avg: 119600, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 921: HP: 1558, STR: 808837, VIT: 1404, SPD: 59, LUK: 1, Attack: 1341257, Defense: 85429, Current HP: 1558, A Avg: 11172670, D Avg: 119600, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 920: HP: 1558, STR: 808837, VIT: 1404, SPD: 59, LUK: 1, Attack: 1341257, Defense: 85429, Current HP: 1558, A Avg: 11172670, D Avg: 119600, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 919: HP: 1558, STR: 808837, VIT: 1404, SPD: 59, LUK: 1, Attack: 1341257, Defense: 85429, Current HP: 1558, A Avg: 11172670, D Avg: 119600, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 918: HP: 1976, STR: 808860, VIT: 1548, SPD: 55, LUK: 1, Attack: 1341291, Defense: 85788, Current HP: 1976, A Avg: 11172954, D Avg: 120103, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 917: HP: 1976, STR: 808860, VIT: 1548, SPD: 55, LUK: 1, Attack: 1341291, Defense: 85788, Current HP: 1976, A Avg: 11172954, D Avg: 120103, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 916: HP: 1976, STR: 808860, VIT: 1548, SPD: 55, LUK: 1, Attack: 1341291, Defense: 85788, Current HP: 1976, A Avg: 11172954, D Avg: 120103, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 915: HP: 1976, STR: 808860, VIT: 1548, SPD: 55, LUK: 1, Attack: 1341291, Defense: 85788, Current HP: 1976, A Avg: 11172954, D Avg: 120103, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 914: HP: 1976, STR: 808860, VIT: 1548, SPD: 55, LUK: 1, Attack: 1341291, Defense: 85788, Current HP: 1976, A Avg: 11172954, D Avg: 120103, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 913: HP: 836, STR: 809518, VIT: 1606, SPD: 55, LUK: 1, Attack: 1341459, Defense: 86197, Current HP: 836, A Avg: 11174353, D Avg: 120675, [Pulse Knife[165, 630, 630, 630], Black Hole[229, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 912: HP: 1159, STR: 809518, VIT: 1676, SPD: 55, LUK: 1, Attack: 1341459, Defense: 88594, Current HP: 1159, A Avg: 11174353, D Avg: 124031, [Pulse Knife[165, 630, 630, 630], White Hole[230, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 911: HP: 836, STR: 809518, VIT: 1606, SPD: 55, LUK: 1, Attack: 1341459, Defense: 86197, Current HP: 836, A Avg: 11174353, D Avg: 120675, [Pulse Knife[165, 630, 630, 630], Black Hole[229, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 910: HP: 1159, STR: 809518, VIT: 1676, SPD: 55, LUK: 1, Attack: 1341459, Defense: 88594, Current HP: 1159, A Avg: 11174353, D Avg: 124031, [Pulse Knife[165, 630, 630, 630], White Hole[230, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 909: HP: 836, STR: 809518, VIT: 1606, SPD: 55, LUK: 1, Attack: 1341459, Defense: 86197, Current HP: 836, A Avg: 11174353, D Avg: 120675, [Pulse Knife[165, 630, 630, 630], Black Hole[229, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 908: HP: 1159, STR: 809518, VIT: 1676, SPD: 55, LUK: 1, Attack: 1341459, Defense: 88594, Current HP: 1159, A Avg: 11174353, D Avg: 124031, [Pulse Knife[165, 630, 630, 630], White Hole[230, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 907: HP: 836, STR: 809518, VIT: 1606, SPD: 55, LUK: 1, Attack: 1341459, Defense: 86197, Current HP: 836, A Avg: 11174353, D Avg: 120675, [Pulse Knife[165, 630, 630, 630], Black Hole[229, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 906: HP: 1159, STR: 809518, VIT: 1676, SPD: 55, LUK: 1, Attack: 1341459, Defense: 88594, Current HP: 1159, A Avg: 11174353, D Avg: 124031, [Pulse Knife[165, 630, 630, 630], White Hole[230, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 905: HP: 836, STR: 809518, VIT: 1606, SPD: 55, LUK: 1, Attack: 1341459, Defense: 86197, Current HP: 836, A Avg: 11174353, D Avg: 120675, [Pulse Knife[165, 630, 630, 630], Black Hole[229, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
