Rank 1000: HP: 4474, STR: 1165101, VIT: 1835, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87752, Current HP: 4474, A Avg: 15624189, D Avg: 122852, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 989: HP: 2640, STR: 1165101, VIT: 2573, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89608, Current HP: 2640, A Avg: 15624189, D Avg: 125451, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 988: HP: 2240, STR: 1165101, VIT: 2971, SPD: 79, LUK: 1, Attack: 1875653, Defense: 90019, Current HP: 2240, A Avg: 15624189, D Avg: 126026, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 987: HP: 2240, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85474, Current HP: 2240, A Avg: 15624189, D Avg: 119663, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 986: HP: 2240, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85484, Current HP: 2240, A Avg: 15624189, D Avg: 119677, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 985: HP: 2128, STR: 1165101, VIT: 1846, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85715, Current HP: 2128, A Avg: 15624189, D Avg: 120000, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 984: HP: 2128, STR: 1165101, VIT: 1853, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85657, Current HP: 2128, A Avg: 15624189, D Avg: 119919, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 983: HP: 2128, STR: 1165101, VIT: 1942, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85805, Current HP: 2128, A Avg: 15624189, D Avg: 120126, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 982: HP: 2128, STR: 1165101, VIT: 1964, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85853, Current HP: 2128, A Avg: 15624189, D Avg: 120194, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 981: HP: 2240, STR: 1165101, VIT: 1965, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85841, Current HP: 2240, A Avg: 15624189, D Avg: 120177, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 980: HP: 2612, STR: 1165101, VIT: 2155, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85992, Current HP: 2612, A Avg: 15624189, D Avg: 120388, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 979: HP: 2300, STR: 1165101, VIT: 1863, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85635, Current HP: 2300, A Avg: 15624189, D Avg: 119888, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 978: HP: 2340, STR: 1165101, VIT: 1965, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85984, Current HP: 2340, A Avg: 15624189, D Avg: 120377, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 977: HP: 2204, STR: 1165101, VIT: 1953, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85881, Current HP: 2204, A Avg: 15624189, D Avg: 120233, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 976: HP: 3026, STR: 1165101, VIT: 2280, SPD: 79, LUK: 1, Attack: 1875653, Defense: 86842, Current HP: 3026, A Avg: 15624189, D Avg: 121578, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 975: HP: 2910, STR: 1165101, VIT: 1942, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85870, Current HP: 2910, A Avg: 15624189, D Avg: 120217, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 974: HP: 2240, STR: 1165101, VIT: 2774, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89562, Current HP: 2240, A Avg: 15624189, D Avg: 125386, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 973: HP: 4474, STR: 1165101, VIT: 1835, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87752, Current HP: 4474, A Avg: 15624189, D Avg: 122852, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 972: HP: 3264, STR: 1165101, VIT: 2402, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87136, Current HP: 3264, A Avg: 15624189, D Avg: 121990, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 971: HP: 2870, STR: 1165101, VIT: 2280, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87755, Current HP: 2870, A Avg: 15624189, D Avg: 122856, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 970: HP: 2318, STR: 1165101, VIT: 2901, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87869, Current HP: 2318, A Avg: 15624189, D Avg: 123016, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 969: HP: 2242, STR: 1165101, VIT: 2913, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89753, Current HP: 2242, A Avg: 15624189, D Avg: 125654, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 968: HP: 3710, STR: 1165101, VIT: 2666, SPD: 79, LUK: 1, Attack: 1875653, Defense: 90091, Current HP: 3710, A Avg: 15624189, D Avg: 126127, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 967: HP: 2128, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 88540, Current HP: 2128, A Avg: 15624189, D Avg: 123955, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 966: HP: 2128, STR: 1165101, VIT: 3784, SPD: 79, LUK: 1, Attack: 1875653, Defense: 93562, Current HP: 2128, A Avg: 15624189, D Avg: 130986, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 965: HP: 2603, STR: 1165101, VIT: 4717, SPD: 79, LUK: 1, Attack: 1875653, Defense: 91505, Current HP: 2603, A Avg: 15624189, D Avg: 128106, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 964: HP: 2413, STR: 1165101, VIT: 2585, SPD: 85, LUK: 1, Attack: 1875653, Defense: 88463, Current HP: 2413, A Avg: 15624189, D Avg: 123848, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 963: HP: 3473, STR: 1165101, VIT: 2583, SPD: 79, LUK: 1, Attack: 1875653, Defense: 88799, Current HP: 3473, A Avg: 15624189, D Avg: 124318, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 962: HP: 2640, STR: 1165101, VIT: 2573, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89608, Current HP: 2640, A Avg: 15624189, D Avg: 125451, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 961: HP: 2240, STR: 1165101, VIT: 2971, SPD: 79, LUK: 1, Attack: 1875653, Defense: 90019, Current HP: 2240, A Avg: 15624189, D Avg: 126026, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 960: HP: 2240, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85474, Current HP: 2240, A Avg: 15624189, D Avg: 119663, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 959: HP: 2240, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85484, Current HP: 2240, A Avg: 15624189, D Avg: 119677, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 958: HP: 2128, STR: 1165101, VIT: 1846, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85715, Current HP: 2128, A Avg: 15624189, D Avg: 120000, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 957: HP: 2128, STR: 1165101, VIT: 1853, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85657, Current HP: 2128, A Avg: 15624189, D Avg: 119919, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 956: HP: 2128, STR: 1165101, VIT: 1942, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85805, Current HP: 2128, A Avg: 15624189, D Avg: 120126, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 955: HP: 2128, STR: 1165101, VIT: 1964, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85853, Current HP: 2128, A Avg: 15624189, D Avg: 120194, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 954: HP: 2240, STR: 1165101, VIT: 1965, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85841, Current HP: 2240, A Avg: 15624189, D Avg: 120177, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 953: HP: 2612, STR: 1165101, VIT: 2155, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85992, Current HP: 2612, A Avg: 15624189, D Avg: 120388, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 952: HP: 2300, STR: 1165101, VIT: 1863, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85635, Current HP: 2300, A Avg: 15624189, D Avg: 119888, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 951: HP: 2340, STR: 1165101, VIT: 1965, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85984, Current HP: 2340, A Avg: 15624189, D Avg: 120377, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 950: HP: 2204, STR: 1165101, VIT: 1953, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85881, Current HP: 2204, A Avg: 15624189, D Avg: 120233, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 949: HP: 3026, STR: 1165101, VIT: 2280, SPD: 79, LUK: 1, Attack: 1875653, Defense: 86842, Current HP: 3026, A Avg: 15624189, D Avg: 121578, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 948: HP: 2910, STR: 1165101, VIT: 1942, SPD: 79, LUK: 1, Attack: 1875653, Defense: 85870, Current HP: 2910, A Avg: 15624189, D Avg: 120217, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 947: HP: 2240, STR: 1165101, VIT: 2774, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89562, Current HP: 2240, A Avg: 15624189, D Avg: 125386, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 946: HP: 4474, STR: 1165101, VIT: 1835, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87752, Current HP: 4474, A Avg: 15624189, D Avg: 122852, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 945: HP: 3264, STR: 1165101, VIT: 2402, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87136, Current HP: 3264, A Avg: 15624189, D Avg: 121990, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 944: HP: 2870, STR: 1165101, VIT: 2280, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87755, Current HP: 2870, A Avg: 15624189, D Avg: 122856, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 943: HP: 2318, STR: 1165101, VIT: 2901, SPD: 79, LUK: 1, Attack: 1875653, Defense: 87869, Current HP: 2318, A Avg: 15624189, D Avg: 123016, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 942: HP: 2242, STR: 1165101, VIT: 2913, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89753, Current HP: 2242, A Avg: 15624189, D Avg: 125654, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 941: HP: 3710, STR: 1165101, VIT: 2666, SPD: 79, LUK: 1, Attack: 1875653, Defense: 90091, Current HP: 3710, A Avg: 15624189, D Avg: 126127, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 940: HP: 2128, STR: 1165101, VIT: 1751, SPD: 79, LUK: 1, Attack: 1875653, Defense: 88540, Current HP: 2128, A Avg: 15624189, D Avg: 123955, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 939: HP: 2128, STR: 1165101, VIT: 3784, SPD: 79, LUK: 1, Attack: 1875653, Defense: 93562, Current HP: 2128, A Avg: 15624189, D Avg: 130986, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 938: HP: 2603, STR: 1165101, VIT: 4717, SPD: 79, LUK: 1, Attack: 1875653, Defense: 91505, Current HP: 2603, A Avg: 15624189, D Avg: 128106, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 937: HP: 2413, STR: 1165101, VIT: 2585, SPD: 85, LUK: 1, Attack: 1875653, Defense: 88463, Current HP: 2413, A Avg: 15624189, D Avg: 123848, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 936: HP: 3473, STR: 1165101, VIT: 2583, SPD: 79, LUK: 1, Attack: 1875653, Defense: 88799, Current HP: 3473, A Avg: 15624189, D Avg: 124318, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 935: HP: 2640, STR: 1165101, VIT: 2573, SPD: 79, LUK: 1, Attack: 1875653, Defense: 89608, Current HP: 2640, A Avg: 15624189, D Avg: 125451, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 934: HP: 2240, STR: 1165101, VIT: 2971, SPD: 79, LUK: 1, Attack: 1875653, Defense: 90019, Current HP: 2240, A Avg: 15624189, D Avg: 126026, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 933: HP: 2483, STR: 1165148, VIT: 2166, SPD: 79, LUK: 1, Attack: 1875723, Defense: 86107, Current HP: 2483, A Avg: 15624772, D Avg: 120549, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 932: HP: 2483, STR: 1165148, VIT: 2166, SPD: 79, LUK: 1, Attack: 1875723, Defense: 86107, Current HP: 2483, A Avg: 15624772, D Avg: 120549, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 931: HP: 2483, STR: 1165148, VIT: 2166, SPD: 79, LUK: 1, Attack: 1875723, Defense: 86107, Current HP: 2483, A Avg: 15624772, D Avg: 120549, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 930: HP: 2483, STR: 1165148, VIT: 2166, SPD: 79, LUK: 1, Attack: 1875723, Defense: 86107, Current HP: 2483, A Avg: 15624772, D Avg: 120549, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 929: HP: 2483, STR: 1165148, VIT: 2166, SPD: 79, LUK: 1, Attack: 1875723, Defense: 86107, Current HP: 2483, A Avg: 15624772, D Avg: 120549, [Impulse[166, 630, 630, 630], Dragon's Scales[215, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 928: HP: 1643, STR: 1165726, VIT: 2646, SPD: 79, LUK: 1, Attack: 1875771, Defense: 89447, Current HP: 1643, A Avg: 15625172, D Avg: 125225, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 927: HP: 1643, STR: 1165726, VIT: 2646, SPD: 79, LUK: 1, Attack: 1875771, Defense: 89447, Current HP: 1643, A Avg: 15625172, D Avg: 125225, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 926: HP: 1643, STR: 1165726, VIT: 2646, SPD: 79, LUK: 1, Attack: 1875771, Defense: 89447, Current HP: 1643, A Avg: 15625172, D Avg: 125225, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 925: HP: 1643, STR: 1165726, VIT: 2646, SPD: 79, LUK: 1, Attack: 1875771, Defense: 89447, Current HP: 1643, A Avg: 15625172, D Avg: 125225, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 924: HP: 1643, STR: 1165726, VIT: 2646, SPD: 79, LUK: 1, Attack: 1875771, Defense: 89447, Current HP: 1643, A Avg: 15625172, D Avg: 125225, [Pulse Knife[165, 630, 630, 630], Riot[236, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 923: HP: 2128, STR: 1165355, VIT: 1965, SPD: 85, LUK: 1, Attack: 1876034, Defense: 85990, Current HP: 2128, A Avg: 15627363, D Avg: 120385, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 922: HP: 2128, STR: 1165355, VIT: 1965, SPD: 85, LUK: 1, Attack: 1876034, Defense: 85990, Current HP: 2128, A Avg: 15627363, D Avg: 120385, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 921: HP: 2128, STR: 1165355, VIT: 1965, SPD: 85, LUK: 1, Attack: 1876034, Defense: 85990, Current HP: 2128, A Avg: 15627363, D Avg: 120385, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 920: HP: 2128, STR: 1165355, VIT: 1965, SPD: 85, LUK: 1, Attack: 1876034, Defense: 85990, Current HP: 2128, A Avg: 15627363, D Avg: 120385, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 919: HP: 2128, STR: 1165355, VIT: 1965, SPD: 85, LUK: 1, Attack: 1876034, Defense: 85990, Current HP: 2128, A Avg: 15627363, D Avg: 120385, [Impulse[166, 630, 630, 630], Conductive Barrier[208, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 918: HP: 2688, STR: 1165379, VIT: 2168, SPD: 79, LUK: 1, Attack: 1876070, Defense: 86408, Current HP: 2688, A Avg: 15627663, D Avg: 120971, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 917: HP: 2688, STR: 1165379, VIT: 2168, SPD: 79, LUK: 1, Attack: 1876070, Defense: 86408, Current HP: 2688, A Avg: 15627663, D Avg: 120971, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 916: HP: 2688, STR: 1165379, VIT: 2168, SPD: 79, LUK: 1, Attack: 1876070, Defense: 86408, Current HP: 2688, A Avg: 15627663, D Avg: 120971, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 915: HP: 2688, STR: 1165379, VIT: 2168, SPD: 79, LUK: 1, Attack: 1876070, Defense: 86408, Current HP: 2688, A Avg: 15627663, D Avg: 120971, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 914: HP: 2688, STR: 1165379, VIT: 2168, SPD: 79, LUK: 1, Attack: 1876070, Defense: 86408, Current HP: 2688, A Avg: 15627663, D Avg: 120971, [Impulse[166, 630, 630, 630], Dragon's Wings[216, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 913: HP: 2836, STR: 1165581, VIT: 2369, SPD: 79, LUK: 1, Attack: 1876373, Defense: 87987, Current HP: 2836, A Avg: 15630187, D Avg: 123181, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 912: HP: 2836, STR: 1165581, VIT: 2369, SPD: 79, LUK: 1, Attack: 1876373, Defense: 87987, Current HP: 2836, A Avg: 15630187, D Avg: 123181, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 911: HP: 2836, STR: 1165581, VIT: 2369, SPD: 79, LUK: 1, Attack: 1876373, Defense: 87987, Current HP: 2836, A Avg: 15630187, D Avg: 123181, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 910: HP: 2836, STR: 1165581, VIT: 2369, SPD: 79, LUK: 1, Attack: 1876373, Defense: 87987, Current HP: 2836, A Avg: 15630187, D Avg: 123181, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 909: HP: 2836, STR: 1165581, VIT: 2369, SPD: 79, LUK: 1, Attack: 1876373, Defense: 87987, Current HP: 2836, A Avg: 15630187, D Avg: 123181, [Impulse[166, 630, 630, 630], Mask of the Grim Reaper[214, 630, 630, 630], Mobius Ring[316, 630, 630, 807]]
Rank 908: HP: 2500, STR: 1165585, VIT: 2712, SPD: 79, LUK: 1, Attack: 1876379, Defense: 87550, Current HP: 2500, A Avg: 15630237, D Avg: 122569, [Impulse[166, 630, 630, 630], Bulletproof Shield[235, 630, 630, 630], Mobius Ring[316, 630, 630, 66]]
Rank 907: HP: 2500, STR: 1165585, VIT: 2712, SPD: 79, LUK: 1, Attack: 1876379, Defense: 87550, Current HP: 2500, A Avg: 15630237, D Avg: 122569, [Impulse[166, 630, 630, 630], Bulletproof Shield[235, 630, 630, 630], Mobius Ring[316, 630, 630, 67]]
Rank 906: HP: 2500, STR: 1165585, VIT: 2712, SPD: 79, LUK: 1, Attack: 1876379, Defense: 87550, Current HP: 2500, A Avg: 15630237, D Avg: 122569, [Impulse[166, 630, 630, 630], Bulletproof Shield[235, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
