Rank 1000: HP: 1514, STR: 9302, VIT: 1363, SPD: 79, LUK: 1, Attack: 142263, Defense: 85369, Current HP: 1514, A Avg: 1185050, D Avg: 119516, [Zodiac[184, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 963: HP: 1080, STR: 6761, VIT: 269, SPD: 85, LUK: 1, Attack: 142392, Defense: 88097, Current HP: 1080, A Avg: 1186125, D Avg: 123335, [Basic[169, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 962: HP: 2861, STR: 5019, VIT: 2222, SPD: 79, LUK: 1, Attack: 142392, Defense: 87060, Current HP: 2861, A Avg: 1186125, D Avg: 121883, [Spectral Sword Shigure[172, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 961: HP: 6574, STR: 7048, VIT: 3225, SPD: 79, LUK: 1, Attack: 142395, Defense: 91053, Current HP: 6574, A Avg: 1186150, D Avg: 127474, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 960: HP: 10179, STR: 7048, VIT: 2187, SPD: 79, LUK: 1, Attack: 142395, Defense: 90015, Current HP: 10179, A Avg: 1186150, D Avg: 126020, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 959: HP: 2825, STR: 2745, VIT: 1363, SPD: 95, LUK: 1, Attack: 142397, Defense: 85369, Current HP: 2825, A Avg: 1186167, D Avg: 119516, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 958: HP: 1767, STR: 5030, VIT: 1096, SPD: 129, LUK: 1, Attack: 142408, Defense: 86090, Current HP: 1767, A Avg: 1186258, D Avg: 120525, [Spectral Sword Shigure[172, 0, 0, 0], Metalization[228, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 957: HP: 2488, STR: 2757, VIT: 1070, SPD: 90, LUK: 1, Attack: 142415, Defense: 86298, Current HP: 2488, A Avg: 1186316, D Avg: 120817, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 956: HP: 1491, STR: 9068, VIT: 1388, SPD: 79, LUK: 1, Attack: 142419, Defense: 86616, Current HP: 1491, A Avg: 1186350, D Avg: 121262, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 955: HP: 1586, STR: 9068, VIT: 1612, SPD: 79, LUK: 1, Attack: 142419, Defense: 86840, Current HP: 1586, A Avg: 1186350, D Avg: 121575, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 954: HP: 1586, STR: 9068, VIT: 1408, SPD: 79, LUK: 1, Attack: 142419, Defense: 86636, Current HP: 1586, A Avg: 1186350, D Avg: 121290, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 953: HP: 1461, STR: 9199, VIT: 435, SPD: 79, LUK: 1, Attack: 142420, Defense: 88263, Current HP: 1461, A Avg: 1186358, D Avg: 123568, [Scythe of the Grim Reaper[148, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 952: HP: 1425, STR: 5042, VIT: 246, SPD: 135, LUK: 1, Attack: 142426, Defense: 84382, Current HP: 1425, A Avg: 1186408, D Avg: 118134, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 951: HP: 1548, STR: 7291, VIT: 589, SPD: 79, LUK: 1, Attack: 142428, Defense: 85453, Current HP: 1548, A Avg: 1186425, D Avg: 119634, [Neural Edge[190, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 950: HP: 1643, STR: 7291, VIT: 824, SPD: 79, LUK: 1, Attack: 142428, Defense: 85688, Current HP: 1643, A Avg: 1186425, D Avg: 119963, [Neural Edge[190, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 949: HP: 1643, STR: 7291, VIT: 611, SPD: 79, LUK: 1, Attack: 142428, Defense: 85475, Current HP: 1643, A Avg: 1186425, D Avg: 119664, [Neural Edge[190, 0, 0, 0], Dragon's Head[217, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 948: HP: 1472, STR: 7291, VIT: 672, SPD: 85, LUK: 1, Attack: 142428, Defense: 85094, Current HP: 1472, A Avg: 1186425, D Avg: 119131, [Neural Edge[190, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 947: HP: 1567, STR: 7291, VIT: 896, SPD: 85, LUK: 1, Attack: 142428, Defense: 85318, Current HP: 1567, A Avg: 1186425, D Avg: 119445, [Neural Edge[190, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 946: HP: 1567, STR: 7291, VIT: 693, SPD: 85, LUK: 1, Attack: 142428, Defense: 85115, Current HP: 1567, A Avg: 1186425, D Avg: 119160, [Neural Edge[190, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 945: HP: 6866, STR: 9139, VIT: 1359, SPD: 90, LUK: 1, Attack: 142428, Defense: 89187, Current HP: 6866, A Avg: 1186425, D Avg: 124861, [Spear of Regression[182, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 944: HP: 1092, STR: 7292, VIT: 237, SPD: 85, LUK: 1, Attack: 142430, Defense: 83960, Current HP: 1092, A Avg: 1186441, D Avg: 117543, [Neural Edge[190, 0, 0, 0], Pot Lid[201, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 943: HP: 1092, STR: 7292, VIT: 237, SPD: 85, LUK: 1, Attack: 142430, Defense: 83970, Current HP: 1092, A Avg: 1186441, D Avg: 117557, [Neural Edge[190, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 942: HP: 1040, STR: 7292, VIT: 259, SPD: 85, LUK: 1, Attack: 142430, Defense: 84128, Current HP: 1040, A Avg: 1186441, D Avg: 117779, [Neural Edge[190, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 941: HP: 1040, STR: 7292, VIT: 266, SPD: 85, LUK: 1, Attack: 142430, Defense: 84070, Current HP: 1040, A Avg: 1186441, D Avg: 117697, [Neural Edge[190, 0, 0, 0], Iron Shield[204, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 940: HP: 1040, STR: 7292, VIT: 359, SPD: 85, LUK: 1, Attack: 142430, Defense: 84222, Current HP: 1040, A Avg: 1186441, D Avg: 117910, [Neural Edge[190, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 939: HP: 1040, STR: 7292, VIT: 382, SPD: 85, LUK: 1, Attack: 142430, Defense: 84271, Current HP: 1040, A Avg: 1186441, D Avg: 117979, [Neural Edge[190, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 938: HP: 1092, STR: 7292, VIT: 461, SPD: 85, LUK: 1, Attack: 142430, Defense: 84337, Current HP: 1092, A Avg: 1186441, D Avg: 118071, [Neural Edge[190, 0, 0, 0], Magic Shield[207, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 937: HP: 1550, STR: 7292, VIT: 582, SPD: 85, LUK: 1, Attack: 142430, Defense: 84419, Current HP: 1550, A Avg: 1186441, D Avg: 118186, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 936: HP: 1155, STR: 7292, VIT: 354, SPD: 85, LUK: 1, Attack: 142430, Defense: 84126, Current HP: 1155, A Avg: 1186441, D Avg: 117776, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 935: HP: 1197, STR: 7292, VIT: 461, SPD: 85, LUK: 1, Attack: 142430, Defense: 84480, Current HP: 1197, A Avg: 1186441, D Avg: 118271, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 934: HP: 1120, STR: 7292, VIT: 370, SPD: 85, LUK: 1, Attack: 142430, Defense: 84298, Current HP: 1120, A Avg: 1186441, D Avg: 118017, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 933: HP: 1917, STR: 7292, VIT: 791, SPD: 85, LUK: 1, Attack: 142430, Defense: 85353, Current HP: 1917, A Avg: 1186441, D Avg: 119494, [Neural Edge[190, 0, 0, 0], Slime Shield[221, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 932: HP: 1864, STR: 7292, VIT: 359, SPD: 85, LUK: 1, Attack: 142430, Defense: 84287, Current HP: 1864, A Avg: 1186441, D Avg: 118001, [Neural Edge[190, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 931: HP: 1092, STR: 7292, VIT: 1309, SPD: 85, LUK: 1, Attack: 142430, Defense: 88097, Current HP: 1092, A Avg: 1186441, D Avg: 123335, [Neural Edge[190, 0, 0, 0], Energy Shield[227, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 930: HP: 3510, STR: 7292, VIT: 247, SPD: 85, LUK: 1, Attack: 142430, Defense: 86164, Current HP: 3510, A Avg: 1186441, D Avg: 120629, [Neural Edge[190, 0, 0, 0], Frying Pan[231, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 929: HP: 2167, STR: 7292, VIT: 920, SPD: 85, LUK: 1, Attack: 142430, Defense: 85654, Current HP: 2167, A Avg: 1186441, D Avg: 119915, [Neural Edge[190, 0, 0, 0], Slafield[232, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 928: HP: 1753, STR: 7292, VIT: 791, SPD: 85, LUK: 1, Attack: 142430, Defense: 86266, Current HP: 1753, A Avg: 1186441, D Avg: 120772, [Neural Edge[190, 0, 0, 0], Mist Shield[233, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 927: HP: 1240, STR: 7292, VIT: 1362, SPD: 85, LUK: 1, Attack: 142430, Defense: 86330, Current HP: 1240, A Avg: 1186441, D Avg: 120861, [Neural Edge[190, 0, 0, 0], Huge Shield[234, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 926: HP: 1160, STR: 7292, VIT: 1455, SPD: 85, LUK: 1, Attack: 142430, Defense: 88295, Current HP: 1160, A Avg: 1186441, D Avg: 123612, [Neural Edge[190, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 925: HP: 2635, STR: 7292, VIT: 1196, SPD: 85, LUK: 1, Attack: 142430, Defense: 88621, Current HP: 2635, A Avg: 1186441, D Avg: 124069, [Neural Edge[190, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 924: HP: 1040, STR: 7292, VIT: 237, SPD: 85, LUK: 1, Attack: 142430, Defense: 87026, Current HP: 1040, A Avg: 1186441, D Avg: 121836, [Neural Edge[190, 0, 0, 0], Graffiti[243, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 923: HP: 1040, STR: 7292, VIT: 2368, SPD: 85, LUK: 1, Attack: 142430, Defense: 92146, Current HP: 1040, A Avg: 1186441, D Avg: 129004, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 922: HP: 1540, STR: 7292, VIT: 3262, SPD: 85, LUK: 1, Attack: 142430, Defense: 90050, Current HP: 1540, A Avg: 1186441, D Avg: 126069, [Neural Edge[190, 0, 0, 0], Golem Shield[245, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 921: HP: 1340, STR: 7292, VIT: 1111, SPD: 90, LUK: 1, Attack: 142430, Defense: 86989, Current HP: 1340, A Avg: 1186441, D Avg: 121784, [Neural Edge[190, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 920: HP: 2456, STR: 7292, VIT: 1030, SPD: 85, LUK: 1, Attack: 142430, Defense: 87246, Current HP: 2456, A Avg: 1186441, D Avg: 122144, [Neural Edge[190, 0, 0, 0], King Shield[248, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 919: HP: 1512, STR: 7292, VIT: 1098, SPD: 85, LUK: 1, Attack: 142430, Defense: 88133, Current HP: 1512, A Avg: 1186441, D Avg: 123386, [Neural Edge[190, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 918: HP: 1092, STR: 7292, VIT: 1515, SPD: 85, LUK: 1, Attack: 142430, Defense: 88563, Current HP: 1092, A Avg: 1186441, D Avg: 123988, [Neural Edge[190, 0, 0, 0], Ghost shield[251, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 917: HP: 1377, STR: 5046, VIT: 304, SPD: 79, LUK: 1, Attack: 142432, Defense: 84492, Current HP: 1377, A Avg: 1186458, D Avg: 118288, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 916: HP: 2088, STR: 5046, VIT: 215, SPD: 79, LUK: 1, Attack: 142432, Defense: 84403, Current HP: 2088, A Avg: 1186458, D Avg: 118164, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 915: HP: 1406, STR: 5046, VIT: 215, SPD: 145, LUK: 1, Attack: 142432, Defense: 84403, Current HP: 1406, A Avg: 1186458, D Avg: 118164, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 914: HP: 1804, STR: 5046, VIT: 335, SPD: 79, LUK: 1, Attack: 142432, Defense: 84523, Current HP: 1804, A Avg: 1186458, D Avg: 118332, [Spectral Sword Shigure[172, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 913: HP: 3049, STR: 5046, VIT: 1584, SPD: 79, LUK: 1, Attack: 142432, Defense: 86448, Current HP: 3049, A Avg: 1186458, D Avg: 121027, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 912: HP: 2973, STR: 5046, VIT: 1697, SPD: 85, LUK: 1, Attack: 142432, Defense: 86119, Current HP: 2973, A Avg: 1186458, D Avg: 120566, [Spectral Sword Shigure[172, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 911: HP: 2109, STR: 9079, VIT: 956, SPD: 85, LUK: 1, Attack: 142435, Defense: 87744, Current HP: 2109, A Avg: 1186483, D Avg: 122841, [Blue Sword[180, 0, 0, 0], C Magnum[239, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 910: HP: 2204, STR: 9079, VIT: 1180, SPD: 85, LUK: 1, Attack: 142435, Defense: 87968, Current HP: 2204, A Avg: 1186483, D Avg: 123155, [Blue Sword[180, 0, 0, 0], C Magnum[239, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 909: HP: 2204, STR: 9079, VIT: 977, SPD: 85, LUK: 1, Attack: 142435, Defense: 87765, Current HP: 2204, A Avg: 1186483, D Avg: 122870, [Blue Sword[180, 0, 0, 0], C Magnum[239, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 908: HP: 1387, STR: 5049, VIT: 439, SPD: 79, LUK: 1, Attack: 142437, Defense: 84445, Current HP: 1387, A Avg: 1186500, D Avg: 118222, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 907: HP: 1482, STR: 5049, VIT: 664, SPD: 79, LUK: 1, Attack: 142437, Defense: 84670, Current HP: 1482, A Avg: 1186500, D Avg: 118537, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 906: HP: 1482, STR: 5049, VIT: 460, SPD: 79, LUK: 1, Attack: 142437, Defense: 84466, Current HP: 1482, A Avg: 1186500, D Avg: 118252, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
