Rank 1000: HP: 1040, STR: 603733, VIT: 1228, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88276, Current HP: 1040, A Avg: 8609896, D Avg: 123586, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 989: HP: 1064, STR: 603733, VIT: 843, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84771, Current HP: 1064, A Avg: 8609896, D Avg: 118679, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 988: HP: 1406, STR: 603733, VIT: 973, SPD: 31, LUK: 1, Attack: 1033601, Defense: 85535, Current HP: 1406, A Avg: 8609896, D Avg: 119748, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 987: HP: 1314, STR: 603733, VIT: 833, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84761, Current HP: 1314, A Avg: 8609896, D Avg: 118665, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 986: HP: 1040, STR: 603733, VIT: 1342, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88130, Current HP: 1040, A Avg: 8609896, D Avg: 123381, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 985: HP: 2479, STR: 603733, VIT: 791, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86708, Current HP: 2479, A Avg: 8609896, D Avg: 121391, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 984: HP: 1584, STR: 603733, VIT: 1033, SPD: 31, LUK: 1, Attack: 1033601, Defense: 85767, Current HP: 1584, A Avg: 8609896, D Avg: 120073, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 983: HP: 1370, STR: 603733, VIT: 973, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86448, Current HP: 1370, A Avg: 8609896, D Avg: 121027, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 982: HP: 1178, STR: 603733, VIT: 1204, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86172, Current HP: 1178, A Avg: 8609896, D Avg: 120640, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 981: HP: 1102, STR: 603733, VIT: 1294, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88134, Current HP: 1102, A Avg: 8609896, D Avg: 123387, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 980: HP: 1610, STR: 603733, VIT: 1110, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88535, Current HP: 1610, A Avg: 8609896, D Avg: 123948, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 979: HP: 988, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 87544, Current HP: 988, A Avg: 8609896, D Avg: 122561, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 978: HP: 988, STR: 603733, VIT: 1543, SPD: 31, LUK: 1, Attack: 1033601, Defense: 91321, Current HP: 988, A Avg: 8609896, D Avg: 127849, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 977: HP: 1463, STR: 603733, VIT: 2042, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88830, Current HP: 1463, A Avg: 8609896, D Avg: 124361, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 976: HP: 1273, STR: 603733, VIT: 1091, SPD: 34, LUK: 1, Attack: 1033601, Defense: 86969, Current HP: 1273, A Avg: 8609896, D Avg: 121756, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 975: HP: 1649, STR: 603733, VIT: 1148, SPD: 31, LUK: 1, Attack: 1033601, Defense: 87364, Current HP: 1649, A Avg: 8609896, D Avg: 122309, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 974: HP: 1440, STR: 603733, VIT: 1328, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88363, Current HP: 1440, A Avg: 8609896, D Avg: 123708, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 973: HP: 1040, STR: 603733, VIT: 1228, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88276, Current HP: 1040, A Avg: 8609896, D Avg: 123586, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 972: HP: 1040, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84478, Current HP: 1040, A Avg: 8609896, D Avg: 118269, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 971: HP: 1040, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84488, Current HP: 1040, A Avg: 8609896, D Avg: 118283, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 970: HP: 988, STR: 603733, VIT: 802, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84671, Current HP: 988, A Avg: 8609896, D Avg: 118539, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 969: HP: 988, STR: 603733, VIT: 809, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84613, Current HP: 988, A Avg: 8609896, D Avg: 118458, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 968: HP: 988, STR: 603733, VIT: 833, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84696, Current HP: 988, A Avg: 8609896, D Avg: 118574, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 967: HP: 988, STR: 603733, VIT: 854, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84743, Current HP: 988, A Avg: 8609896, D Avg: 118640, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 966: HP: 1040, STR: 603733, VIT: 844, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84720, Current HP: 1040, A Avg: 8609896, D Avg: 118607, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 965: HP: 1187, STR: 603733, VIT: 915, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84752, Current HP: 1187, A Avg: 8609896, D Avg: 118652, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 964: HP: 1100, STR: 603733, VIT: 805, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84577, Current HP: 1100, A Avg: 8609896, D Avg: 118407, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 963: HP: 1140, STR: 603733, VIT: 844, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84863, Current HP: 1140, A Avg: 8609896, D Avg: 118808, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 962: HP: 1064, STR: 603733, VIT: 843, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84771, Current HP: 1064, A Avg: 8609896, D Avg: 118679, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 961: HP: 1406, STR: 603733, VIT: 973, SPD: 31, LUK: 1, Attack: 1033601, Defense: 85535, Current HP: 1406, A Avg: 8609896, D Avg: 119748, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 960: HP: 1314, STR: 603733, VIT: 833, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84761, Current HP: 1314, A Avg: 8609896, D Avg: 118665, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 959: HP: 1040, STR: 603733, VIT: 1342, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88130, Current HP: 1040, A Avg: 8609896, D Avg: 123381, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 958: HP: 2479, STR: 603733, VIT: 791, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86708, Current HP: 2479, A Avg: 8609896, D Avg: 121391, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 957: HP: 1584, STR: 603733, VIT: 1033, SPD: 31, LUK: 1, Attack: 1033601, Defense: 85767, Current HP: 1584, A Avg: 8609896, D Avg: 120073, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 956: HP: 1370, STR: 603733, VIT: 973, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86448, Current HP: 1370, A Avg: 8609896, D Avg: 121027, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 955: HP: 1178, STR: 603733, VIT: 1204, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86172, Current HP: 1178, A Avg: 8609896, D Avg: 120640, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 954: HP: 1102, STR: 603733, VIT: 1294, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88134, Current HP: 1102, A Avg: 8609896, D Avg: 123387, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 953: HP: 1610, STR: 603733, VIT: 1110, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88535, Current HP: 1610, A Avg: 8609896, D Avg: 123948, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 952: HP: 988, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 87544, Current HP: 988, A Avg: 8609896, D Avg: 122561, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 951: HP: 988, STR: 603733, VIT: 1543, SPD: 31, LUK: 1, Attack: 1033601, Defense: 91321, Current HP: 988, A Avg: 8609896, D Avg: 127849, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 950: HP: 1463, STR: 603733, VIT: 2042, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88830, Current HP: 1463, A Avg: 8609896, D Avg: 124361, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 949: HP: 1273, STR: 603733, VIT: 1091, SPD: 34, LUK: 1, Attack: 1033601, Defense: 86969, Current HP: 1273, A Avg: 8609896, D Avg: 121756, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 948: HP: 1649, STR: 603733, VIT: 1148, SPD: 31, LUK: 1, Attack: 1033601, Defense: 87364, Current HP: 1649, A Avg: 8609896, D Avg: 122309, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 947: HP: 1440, STR: 603733, VIT: 1328, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88363, Current HP: 1440, A Avg: 8609896, D Avg: 123708, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 946: HP: 1040, STR: 603733, VIT: 1228, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88276, Current HP: 1040, A Avg: 8609896, D Avg: 123586, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 945: HP: 1040, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84478, Current HP: 1040, A Avg: 8609896, D Avg: 118269, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 944: HP: 1040, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84488, Current HP: 1040, A Avg: 8609896, D Avg: 118283, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 943: HP: 988, STR: 603733, VIT: 802, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84671, Current HP: 988, A Avg: 8609896, D Avg: 118539, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 942: HP: 988, STR: 603733, VIT: 809, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84613, Current HP: 988, A Avg: 8609896, D Avg: 118458, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 941: HP: 988, STR: 603733, VIT: 833, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84696, Current HP: 988, A Avg: 8609896, D Avg: 118574, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 940: HP: 988, STR: 603733, VIT: 854, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84743, Current HP: 988, A Avg: 8609896, D Avg: 118640, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 939: HP: 1040, STR: 603733, VIT: 844, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84720, Current HP: 1040, A Avg: 8609896, D Avg: 118607, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 938: HP: 1187, STR: 603733, VIT: 915, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84752, Current HP: 1187, A Avg: 8609896, D Avg: 118652, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 937: HP: 1100, STR: 603733, VIT: 805, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84577, Current HP: 1100, A Avg: 8609896, D Avg: 118407, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 936: HP: 1140, STR: 603733, VIT: 844, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84863, Current HP: 1140, A Avg: 8609896, D Avg: 118808, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 935: HP: 1064, STR: 603733, VIT: 843, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84771, Current HP: 1064, A Avg: 8609896, D Avg: 118679, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 934: HP: 1406, STR: 603733, VIT: 973, SPD: 31, LUK: 1, Attack: 1033601, Defense: 85535, Current HP: 1406, A Avg: 8609896, D Avg: 119748, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 933: HP: 1314, STR: 603733, VIT: 833, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84761, Current HP: 1314, A Avg: 8609896, D Avg: 118665, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 932: HP: 1040, STR: 603733, VIT: 1342, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88130, Current HP: 1040, A Avg: 8609896, D Avg: 123381, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 931: HP: 2479, STR: 603733, VIT: 791, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86708, Current HP: 2479, A Avg: 8609896, D Avg: 121391, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 930: HP: 1584, STR: 603733, VIT: 1033, SPD: 31, LUK: 1, Attack: 1033601, Defense: 85767, Current HP: 1584, A Avg: 8609896, D Avg: 120073, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 929: HP: 1370, STR: 603733, VIT: 973, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86448, Current HP: 1370, A Avg: 8609896, D Avg: 121027, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 928: HP: 1178, STR: 603733, VIT: 1204, SPD: 31, LUK: 1, Attack: 1033601, Defense: 86172, Current HP: 1178, A Avg: 8609896, D Avg: 120640, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 927: HP: 1102, STR: 603733, VIT: 1294, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88134, Current HP: 1102, A Avg: 8609896, D Avg: 123387, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 926: HP: 1610, STR: 603733, VIT: 1110, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88535, Current HP: 1610, A Avg: 8609896, D Avg: 123948, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 925: HP: 988, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 87544, Current HP: 988, A Avg: 8609896, D Avg: 122561, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 924: HP: 988, STR: 603733, VIT: 1543, SPD: 31, LUK: 1, Attack: 1033601, Defense: 91321, Current HP: 988, A Avg: 8609896, D Avg: 127849, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 923: HP: 1463, STR: 603733, VIT: 2042, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88830, Current HP: 1463, A Avg: 8609896, D Avg: 124361, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 922: HP: 1273, STR: 603733, VIT: 1091, SPD: 34, LUK: 1, Attack: 1033601, Defense: 86969, Current HP: 1273, A Avg: 8609896, D Avg: 121756, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 921: HP: 1649, STR: 603733, VIT: 1148, SPD: 31, LUK: 1, Attack: 1033601, Defense: 87364, Current HP: 1649, A Avg: 8609896, D Avg: 122309, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 920: HP: 1440, STR: 603733, VIT: 1328, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88363, Current HP: 1440, A Avg: 8609896, D Avg: 123708, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 919: HP: 1040, STR: 603733, VIT: 1228, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88276, Current HP: 1040, A Avg: 8609896, D Avg: 123586, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 918: HP: 1160, STR: 604321, VIT: 1014, SPD: 31, LUK: 1, Attack: 1033664, Defense: 87126, Current HP: 1160, A Avg: 8610421, D Avg: 121976, [Pulse Knife[165, 230, 230, 230], Goblin Hand[250, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 917: HP: 1160, STR: 604321, VIT: 1014, SPD: 31, LUK: 1, Attack: 1033664, Defense: 87126, Current HP: 1160, A Avg: 8610421, D Avg: 121976, [Pulse Knife[165, 230, 230, 230], Goblin Hand[250, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 916: HP: 1160, STR: 604321, VIT: 1014, SPD: 31, LUK: 1, Attack: 1033664, Defense: 87126, Current HP: 1160, A Avg: 8610421, D Avg: 121976, [Pulse Knife[165, 230, 230, 230], Goblin Hand[250, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 915: HP: 1160, STR: 604321, VIT: 1014, SPD: 31, LUK: 1, Attack: 1033664, Defense: 87126, Current HP: 1160, A Avg: 8610421, D Avg: 121976, [Pulse Knife[165, 230, 230, 230], Goblin Hand[250, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 914: HP: 1160, STR: 604321, VIT: 1014, SPD: 31, LUK: 1, Attack: 1033664, Defense: 87126, Current HP: 1160, A Avg: 8610421, D Avg: 121976, [Pulse Knife[165, 230, 230, 230], Goblin Hand[250, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 913: HP: 1172, STR: 603780, VIT: 926, SPD: 31, LUK: 1, Attack: 1033671, Defense: 84867, Current HP: 1172, A Avg: 8610479, D Avg: 118813, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 912: HP: 1172, STR: 603780, VIT: 926, SPD: 31, LUK: 1, Attack: 1033671, Defense: 84867, Current HP: 1172, A Avg: 8610479, D Avg: 118813, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 911: HP: 1172, STR: 603780, VIT: 926, SPD: 31, LUK: 1, Attack: 1033671, Defense: 84867, Current HP: 1172, A Avg: 8610479, D Avg: 118813, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 910: HP: 1172, STR: 603780, VIT: 926, SPD: 31, LUK: 1, Attack: 1033671, Defense: 84867, Current HP: 1172, A Avg: 8610479, D Avg: 118813, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 909: HP: 1172, STR: 603780, VIT: 926, SPD: 31, LUK: 1, Attack: 1033671, Defense: 84867, Current HP: 1172, A Avg: 8610479, D Avg: 118813, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 908: HP: 893, STR: 604368, VIT: 1218, SPD: 31, LUK: 1, Attack: 1033734, Defense: 86212, Current HP: 893, A Avg: 8611004, D Avg: 120696, [Pulse Knife[165, 230, 230, 230], Metalization[228, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 907: HP: 893, STR: 604368, VIT: 1218, SPD: 31, LUK: 1, Attack: 1033734, Defense: 86212, Current HP: 893, A Avg: 8611004, D Avg: 120696, [Pulse Knife[165, 230, 230, 230], Metalization[228, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 906: HP: 893, STR: 604368, VIT: 1218, SPD: 31, LUK: 1, Attack: 1033734, Defense: 86212, Current HP: 893, A Avg: 8611004, D Avg: 120696, [Pulse Knife[165, 230, 230, 230], Metalization[228, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 905: HP: 893, STR: 604368, VIT: 1218, SPD: 31, LUK: 1, Attack: 1033734, Defense: 86212, Current HP: 893, A Avg: 8611004, D Avg: 120696, [Pulse Knife[165, 230, 230, 230], Metalization[228, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 904: HP: 893, STR: 604368, VIT: 1218, SPD: 31, LUK: 1, Attack: 1033734, Defense: 86212, Current HP: 893, A Avg: 8611004, D Avg: 120696, [Pulse Knife[165, 230, 230, 230], Metalization[228, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
