Rank 1000: HP: 285, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83967, Current HP: 285, A Avg: 8592036, D Avg: 117553, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 962: HP: 1216, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86047, Current HP: 1216, A Avg: 8592036, D Avg: 120465, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 961: HP: 520, STR: 602304, VIT: 166, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84900, Current HP: 520, A Avg: 8592036, D Avg: 118859, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 960: HP: 420, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 85620, Current HP: 420, A Avg: 8592036, D Avg: 119867, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 959: HP: 456, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 85098, Current HP: 456, A Avg: 8592036, D Avg: 119137, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 958: HP: 380, STR: 602304, VIT: 269, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87109, Current HP: 380, A Avg: 8592036, D Avg: 121952, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 957: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87549, Current HP: 280, A Avg: 8592036, D Avg: 122568, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 956: HP: 266, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86913, Current HP: 266, A Avg: 8592036, D Avg: 121678, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 955: HP: 266, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 89902, Current HP: 266, A Avg: 8592036, D Avg: 125862, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 954: HP: 741, STR: 602304, VIT: 348, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87136, Current HP: 741, A Avg: 8592036, D Avg: 121990, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 953: HP: 551, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86023, Current HP: 551, A Avg: 8592036, D Avg: 120432, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 952: HP: 494, STR: 602304, VIT: 239, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86455, Current HP: 494, A Avg: 8592036, D Avg: 121036, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 951: HP: 680, STR: 602304, VIT: 539, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87574, Current HP: 680, A Avg: 8592036, D Avg: 122603, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 950: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87172, Current HP: 280, A Avg: 8592036, D Avg: 122040, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 949: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83847, Current HP: 280, A Avg: 8592036, D Avg: 117385, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 948: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83857, Current HP: 280, A Avg: 8592036, D Avg: 117399, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 947: HP: 266, STR: 602304, VIT: 141, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84010, Current HP: 266, A Avg: 8592036, D Avg: 117613, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 946: HP: 266, STR: 602304, VIT: 147, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83951, Current HP: 266, A Avg: 8592036, D Avg: 117531, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 945: HP: 266, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83993, Current HP: 266, A Avg: 8592036, D Avg: 117590, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 944: HP: 266, STR: 602304, VIT: 152, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84041, Current HP: 266, A Avg: 8592036, D Avg: 117657, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 943: HP: 280, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84010, Current HP: 280, A Avg: 8592036, D Avg: 117613, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 942: HP: 285, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83967, Current HP: 285, A Avg: 8592036, D Avg: 117553, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 941: HP: 340, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83906, Current HP: 340, A Avg: 8592036, D Avg: 117468, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 940: HP: 380, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84153, Current HP: 380, A Avg: 8592036, D Avg: 117814, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 939: HP: 342, STR: 602304, VIT: 141, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84069, Current HP: 342, A Avg: 8592036, D Avg: 117696, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 938: HP: 380, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84707, Current HP: 380, A Avg: 8592036, D Avg: 118589, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 937: HP: 304, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84058, Current HP: 304, A Avg: 8592036, D Avg: 117681, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 936: HP: 280, STR: 602304, VIT: 435, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87223, Current HP: 280, A Avg: 8592036, D Avg: 122112, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 935: HP: 304, STR: 602304, VIT: 186, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84777, Current HP: 304, A Avg: 8592036, D Avg: 118687, [Impulse[166, 230, 230, 230], Black Hole[229, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 934: HP: 304, STR: 602304, VIT: 186, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87104, Current HP: 304, A Avg: 8592036, D Avg: 121945, [Impulse[166, 230, 230, 230], White Hole[230, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 933: HP: 1216, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86047, Current HP: 1216, A Avg: 8592036, D Avg: 120465, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 932: HP: 520, STR: 602304, VIT: 166, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84900, Current HP: 520, A Avg: 8592036, D Avg: 118859, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 931: HP: 420, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 85620, Current HP: 420, A Avg: 8592036, D Avg: 119867, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 930: HP: 456, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 85098, Current HP: 456, A Avg: 8592036, D Avg: 119137, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 929: HP: 380, STR: 602304, VIT: 269, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87109, Current HP: 380, A Avg: 8592036, D Avg: 121952, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 928: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87549, Current HP: 280, A Avg: 8592036, D Avg: 122568, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 927: HP: 266, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86913, Current HP: 266, A Avg: 8592036, D Avg: 121678, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 926: HP: 266, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 89902, Current HP: 266, A Avg: 8592036, D Avg: 125862, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 925: HP: 741, STR: 602304, VIT: 348, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87136, Current HP: 741, A Avg: 8592036, D Avg: 121990, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 924: HP: 551, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86023, Current HP: 551, A Avg: 8592036, D Avg: 120432, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 923: HP: 494, STR: 602304, VIT: 239, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86455, Current HP: 494, A Avg: 8592036, D Avg: 121036, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 922: HP: 680, STR: 602304, VIT: 539, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87574, Current HP: 680, A Avg: 8592036, D Avg: 122603, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 921: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87172, Current HP: 280, A Avg: 8592036, D Avg: 122040, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 920: HP: 260, STR: 602116, VIT: 20, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83743, Current HP: 260, A Avg: 8592261, D Avg: 117240, [Zodiac[184, 230, 230, 230], Pot Lid[201, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 919: HP: 260, STR: 602116, VIT: 20, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83753, Current HP: 260, A Avg: 8592261, D Avg: 117254, [Zodiac[184, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 918: HP: 247, STR: 602116, VIT: 32, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83901, Current HP: 247, A Avg: 8592261, D Avg: 117461, [Zodiac[184, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 917: HP: 247, STR: 602116, VIT: 39, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83843, Current HP: 247, A Avg: 8592261, D Avg: 117380, [Zodiac[184, 230, 230, 230], Iron Shield[204, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 916: HP: 247, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83884, Current HP: 247, A Avg: 8592261, D Avg: 117437, [Zodiac[184, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 915: HP: 247, STR: 602116, VIT: 43, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83932, Current HP: 247, A Avg: 8592261, D Avg: 117504, [Zodiac[184, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 914: HP: 260, STR: 602116, VIT: 31, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83907, Current HP: 260, A Avg: 8592261, D Avg: 117469, [Zodiac[184, 230, 230, 230], Magic Shield[207, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 913: HP: 266, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83858, Current HP: 266, A Avg: 8592261, D Avg: 117401, [Zodiac[184, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 912: HP: 320, STR: 602116, VIT: 31, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83803, Current HP: 320, A Avg: 8592261, D Avg: 117324, [Zodiac[184, 230, 230, 230], Clear Shield[211, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 911: HP: 360, STR: 602116, VIT: 31, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84050, Current HP: 360, A Avg: 8592261, D Avg: 117669, [Zodiac[184, 230, 230, 230], Prism Shield[212, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 910: HP: 323, STR: 602116, VIT: 32, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83960, Current HP: 323, A Avg: 8592261, D Avg: 117543, [Zodiac[184, 230, 230, 230], Tower Shield[213, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 909: HP: 360, STR: 602116, VIT: 41, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84603, Current HP: 360, A Avg: 8592261, D Avg: 118444, [Zodiac[184, 230, 230, 230], Slime Shield[221, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 908: HP: 285, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 83949, Current HP: 285, A Avg: 8592261, D Avg: 117528, [Zodiac[184, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 907: HP: 260, STR: 602116, VIT: 332, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87120, Current HP: 260, A Avg: 8592261, D Avg: 121967, [Zodiac[184, 230, 230, 230], Energy Shield[227, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 906: HP: 285, STR: 602116, VIT: 83, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84674, Current HP: 285, A Avg: 8592261, D Avg: 118543, [Zodiac[184, 230, 230, 230], Black Hole[229, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 905: HP: 285, STR: 602116, VIT: 83, SPD: 1, LUK: 1, Attack: 1031484, Defense: 87001, Current HP: 285, A Avg: 8592261, D Avg: 121801, [Zodiac[184, 230, 230, 230], White Hole[230, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 904: HP: 1197, STR: 602116, VIT: 21, SPD: 1, LUK: 1, Attack: 1031484, Defense: 85938, Current HP: 1197, A Avg: 8592261, D Avg: 120313, [Zodiac[184, 230, 230, 230], Frying Pan[231, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 903: HP: 500, STR: 602116, VIT: 62, SPD: 1, LUK: 1, Attack: 1031484, Defense: 84796, Current HP: 500, A Avg: 8592261, D Avg: 118714, [Zodiac[184, 230, 230, 230], Slafield[232, 230, 230, 230], Ring of power[314, 230, 230, 66]]
