Rank 1000: HP: 2204, STR: 8078, VIT: 1146, SPD: 81, LUK: 1, Attack: 141636, Defense: 88974, Current HP: 2204, A Avg: 1179827, D Avg: 124563, [Progress[147, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 972: HP: 5311, STR: 6666, VIT: 2562, SPD: 71, LUK: 1, Attack: 141741, Defense: 90390, Current HP: 5311, A Avg: 1180702, D Avg: 126545, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 971: HP: 3762, STR: 6666, VIT: 2552, SPD: 71, LUK: 2, Attack: 141741, Defense: 90380, Current HP: 3762, A Avg: 1180702, D Avg: 126531, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 970: HP: 2372, STR: 9919, VIT: 423, SPD: 85, LUK: 1, Attack: 141745, Defense: 87211, Current HP: 2372, A Avg: 1180735, D Avg: 122095, [Magical[187, 0, 0, 0], C Magnum[239, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 969: HP: 1121, STR: 8620, VIT: 1045, SPD: 71, LUK: 1, Attack: 141747, Defense: 88873, Current HP: 1121, A Avg: 1180752, D Avg: 124422, [God Hand[179, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 968: HP: 1216, STR: 8620, VIT: 1249, SPD: 71, LUK: 1, Attack: 141747, Defense: 89077, Current HP: 1216, A Avg: 1180752, D Avg: 124707, [God Hand[179, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 967: HP: 6278, STR: 8690, VIT: 1051, SPD: 81, LUK: 1, Attack: 141754, Defense: 85239, Current HP: 6278, A Avg: 1180810, D Avg: 119334, [Spear of Regression[182, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 966: HP: 3116, STR: 8652, VIT: 2000, SPD: 85, LUK: 1, Attack: 141756, Defense: 89828, Current HP: 3116, A Avg: 1180827, D Avg: 125759, [Santoku[159, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 965: HP: 960, STR: 6844, VIT: 428, SPD: 76, LUK: 1, Attack: 141758, Defense: 84434, Current HP: 960, A Avg: 1180844, D Avg: 118207, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 964: HP: 940, STR: 6844, VIT: 5011, SPD: 76, LUK: 1, Attack: 141758, Defense: 90681, Current HP: 940, A Avg: 1180844, D Avg: 126953, [Neural Edge[190, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 963: HP: 6004, STR: 8697, VIT: 1116, SPD: 71, LUK: 1, Attack: 141765, Defense: 86344, Current HP: 6004, A Avg: 1180902, D Avg: 120881, [Spear of Regression[182, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 962: HP: 2299, STR: 4603, VIT: 1153, SPD: 76, LUK: 1, Attack: 141768, Defense: 85178, Current HP: 2299, A Avg: 1180927, D Avg: 119249, [Spectral Sword Shigure[172, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 961: HP: 1121, STR: 8025, VIT: 1464, SPD: 71, LUK: 1, Attack: 141771, Defense: 89292, Current HP: 1121, A Avg: 1180952, D Avg: 125008, [Cuttlefish[178, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 960: HP: 4617, STR: 6686, VIT: 4938, SPD: 71, LUK: 1, Attack: 141771, Defense: 90166, Current HP: 4617, A Avg: 1180952, D Avg: 126232, [Stargazer[183, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 959: HP: 1729, STR: 8640, VIT: 1755, SPD: 85, LUK: 1, Attack: 141777, Defense: 85943, Current HP: 1729, A Avg: 1181002, D Avg: 120320, [Blue Sword[180, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 958: HP: 6782, STR: 6636, VIT: 2425, SPD: 81, LUK: 1, Attack: 141777, Defense: 86613, Current HP: 6782, A Avg: 1181002, D Avg: 121258, [Wild Card[175, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 957: HP: 988, STR: 7469, VIT: 153, SPD: 71, LUK: 1, Attack: 141781, Defense: 87981, Current HP: 988, A Avg: 1181035, D Avg: 123173, [Tekken[188, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 956: HP: 1340, STR: 4612, VIT: 215, SPD: 71, LUK: 1, Attack: 141781, Defense: 83938, Current HP: 1340, A Avg: 1181035, D Avg: 117513, [Spectral Sword Shigure[172, 0, 0, 0], Pot Lid[201, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 955: HP: 1440, STR: 4612, VIT: 419, SPD: 71, LUK: 1, Attack: 141781, Defense: 84142, Current HP: 1440, A Avg: 1181035, D Avg: 117798, [Spectral Sword Shigure[172, 0, 0, 0], Pot Lid[201, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 954: HP: 1440, STR: 4612, VIT: 236, SPD: 71, LUK: 1, Attack: 141781, Defense: 83959, Current HP: 1440, A Avg: 1181035, D Avg: 117542, [Spectral Sword Shigure[172, 0, 0, 0], Pot Lid[201, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 953: HP: 1340, STR: 4612, VIT: 215, SPD: 71, LUK: 1, Attack: 141781, Defense: 83948, Current HP: 1340, A Avg: 1181035, D Avg: 117527, [Spectral Sword Shigure[172, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 952: HP: 1440, STR: 4612, VIT: 419, SPD: 71, LUK: 1, Attack: 141781, Defense: 84152, Current HP: 1440, A Avg: 1181035, D Avg: 117812, [Spectral Sword Shigure[172, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 951: HP: 1440, STR: 4612, VIT: 236, SPD: 71, LUK: 1, Attack: 141781, Defense: 83969, Current HP: 1440, A Avg: 1181035, D Avg: 117556, [Spectral Sword Shigure[172, 0, 0, 0], High Pot Lid[202, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 950: HP: 1273, STR: 4612, VIT: 237, SPD: 71, LUK: 1, Attack: 141781, Defense: 84106, Current HP: 1273, A Avg: 1181035, D Avg: 117748, [Spectral Sword Shigure[172, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 949: HP: 1368, STR: 4612, VIT: 450, SPD: 71, LUK: 1, Attack: 141781, Defense: 84319, Current HP: 1368, A Avg: 1181035, D Avg: 118046, [Spectral Sword Shigure[172, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 948: HP: 1368, STR: 4612, VIT: 258, SPD: 71, LUK: 1, Attack: 141781, Defense: 84127, Current HP: 1368, A Avg: 1181035, D Avg: 117777, [Spectral Sword Shigure[172, 0, 0, 0], Wooden Shield[203, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 947: HP: 1273, STR: 4612, VIT: 243, SPD: 71, LUK: 1, Attack: 141781, Defense: 84047, Current HP: 1273, A Avg: 1181035, D Avg: 117665, [Spectral Sword Shigure[172, 0, 0, 0], Iron Shield[204, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 946: HP: 1368, STR: 4612, VIT: 456, SPD: 71, LUK: 1, Attack: 141781, Defense: 84260, Current HP: 1368, A Avg: 1181035, D Avg: 117963, [Spectral Sword Shigure[172, 0, 0, 0], Iron Shield[204, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 945: HP: 1368, STR: 4612, VIT: 265, SPD: 71, LUK: 1, Attack: 141781, Defense: 84069, Current HP: 1368, A Avg: 1181035, D Avg: 117696, [Spectral Sword Shigure[172, 0, 0, 0], Iron Shield[204, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 944: HP: 1273, STR: 4612, VIT: 321, SPD: 71, LUK: 1, Attack: 141781, Defense: 84184, Current HP: 1273, A Avg: 1181035, D Avg: 117857, [Spectral Sword Shigure[172, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 943: HP: 1368, STR: 4612, VIT: 535, SPD: 71, LUK: 1, Attack: 141781, Defense: 84398, Current HP: 1368, A Avg: 1181035, D Avg: 118157, [Spectral Sword Shigure[172, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 942: HP: 1368, STR: 4612, VIT: 343, SPD: 71, LUK: 1, Attack: 141781, Defense: 84206, Current HP: 1368, A Avg: 1181035, D Avg: 117888, [Spectral Sword Shigure[172, 0, 0, 0], Titanium Shield[205, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 941: HP: 1273, STR: 4612, VIT: 343, SPD: 71, LUK: 1, Attack: 141781, Defense: 84232, Current HP: 1273, A Avg: 1181035, D Avg: 117924, [Spectral Sword Shigure[172, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 940: HP: 1368, STR: 4612, VIT: 556, SPD: 71, LUK: 1, Attack: 141781, Defense: 84445, Current HP: 1368, A Avg: 1181035, D Avg: 118222, [Spectral Sword Shigure[172, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 939: HP: 1368, STR: 4612, VIT: 365, SPD: 71, LUK: 1, Attack: 141781, Defense: 84254, Current HP: 1368, A Avg: 1181035, D Avg: 117955, [Spectral Sword Shigure[172, 0, 0, 0], Large iron Shield[206, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 938: HP: 1340, STR: 4612, VIT: 408, SPD: 71, LUK: 1, Attack: 141781, Defense: 84284, Current HP: 1340, A Avg: 1181035, D Avg: 117997, [Spectral Sword Shigure[172, 0, 0, 0], Magic Shield[207, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 937: HP: 1440, STR: 4612, VIT: 612, SPD: 71, LUK: 1, Attack: 141781, Defense: 84488, Current HP: 1440, A Avg: 1181035, D Avg: 118283, [Spectral Sword Shigure[172, 0, 0, 0], Magic Shield[207, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 936: HP: 1440, STR: 4612, VIT: 429, SPD: 71, LUK: 1, Attack: 141781, Defense: 84305, Current HP: 1440, A Avg: 1181035, D Avg: 118026, [Spectral Sword Shigure[172, 0, 0, 0], Magic Shield[207, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 935: HP: 1710, STR: 4612, VIT: 513, SPD: 71, LUK: 1, Attack: 141781, Defense: 84350, Current HP: 1710, A Avg: 1181035, D Avg: 118089, [Spectral Sword Shigure[172, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 934: HP: 1805, STR: 4612, VIT: 726, SPD: 71, LUK: 1, Attack: 141781, Defense: 84563, Current HP: 1805, A Avg: 1181035, D Avg: 118388, [Spectral Sword Shigure[172, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 933: HP: 1805, STR: 4612, VIT: 535, SPD: 71, LUK: 1, Attack: 141781, Defense: 84372, Current HP: 1805, A Avg: 1181035, D Avg: 118120, [Spectral Sword Shigure[172, 0, 0, 0], Emerald Shield[209, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 932: HP: 1400, STR: 4612, VIT: 317, SPD: 71, LUK: 1, Attack: 141781, Defense: 84089, Current HP: 1400, A Avg: 1181035, D Avg: 117724, [Spectral Sword Shigure[172, 0, 0, 0], Clear Shield[211, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 931: HP: 1500, STR: 4612, VIT: 520, SPD: 71, LUK: 1, Attack: 141781, Defense: 84292, Current HP: 1500, A Avg: 1181035, D Avg: 118008, [Spectral Sword Shigure[172, 0, 0, 0], Clear Shield[211, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 930: HP: 1500, STR: 4612, VIT: 338, SPD: 71, LUK: 1, Attack: 141781, Defense: 84110, Current HP: 1500, A Avg: 1181035, D Avg: 117753, [Spectral Sword Shigure[172, 0, 0, 0], Clear Shield[211, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 929: HP: 1440, STR: 4612, VIT: 408, SPD: 71, LUK: 1, Attack: 141781, Defense: 84427, Current HP: 1440, A Avg: 1181035, D Avg: 118197, [Spectral Sword Shigure[172, 0, 0, 0], Prism Shield[212, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 928: HP: 1540, STR: 4612, VIT: 612, SPD: 71, LUK: 1, Attack: 141781, Defense: 84631, Current HP: 1540, A Avg: 1181035, D Avg: 118483, [Spectral Sword Shigure[172, 0, 0, 0], Prism Shield[212, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 927: HP: 1540, STR: 4612, VIT: 429, SPD: 71, LUK: 1, Attack: 141781, Defense: 84448, Current HP: 1540, A Avg: 1181035, D Avg: 118227, [Spectral Sword Shigure[172, 0, 0, 0], Prism Shield[212, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 926: HP: 1349, STR: 4612, VIT: 332, SPD: 71, LUK: 1, Attack: 141781, Defense: 84260, Current HP: 1349, A Avg: 1181035, D Avg: 117963, [Spectral Sword Shigure[172, 0, 0, 0], Tower Shield[213, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 925: HP: 1444, STR: 4612, VIT: 545, SPD: 71, LUK: 1, Attack: 141781, Defense: 84473, Current HP: 1444, A Avg: 1181035, D Avg: 118262, [Spectral Sword Shigure[172, 0, 0, 0], Tower Shield[213, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 924: HP: 1444, STR: 4612, VIT: 354, SPD: 71, LUK: 1, Attack: 141781, Defense: 84282, Current HP: 1444, A Avg: 1181035, D Avg: 117994, [Spectral Sword Shigure[172, 0, 0, 0], Tower Shield[213, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 923: HP: 2056, STR: 4612, VIT: 693, SPD: 71, LUK: 1, Attack: 141781, Defense: 85255, Current HP: 2056, A Avg: 1181035, D Avg: 119356, [Spectral Sword Shigure[172, 0, 0, 0], Slime Shield[221, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 922: HP: 2156, STR: 4612, VIT: 896, SPD: 71, LUK: 1, Attack: 141781, Defense: 85458, Current HP: 2156, A Avg: 1181035, D Avg: 119641, [Spectral Sword Shigure[172, 0, 0, 0], Slime Shield[221, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 921: HP: 2156, STR: 4612, VIT: 713, SPD: 71, LUK: 1, Attack: 141781, Defense: 85275, Current HP: 2156, A Avg: 1181035, D Avg: 119384, [Spectral Sword Shigure[172, 0, 0, 0], Slime Shield[221, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 920: HP: 1979, STR: 4612, VIT: 321, SPD: 71, LUK: 1, Attack: 141781, Defense: 84249, Current HP: 1979, A Avg: 1181035, D Avg: 117948, [Spectral Sword Shigure[172, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 919: HP: 2074, STR: 4612, VIT: 535, SPD: 71, LUK: 1, Attack: 141781, Defense: 84463, Current HP: 2074, A Avg: 1181035, D Avg: 118248, [Spectral Sword Shigure[172, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 918: HP: 2074, STR: 4612, VIT: 343, SPD: 71, LUK: 1, Attack: 141781, Defense: 84271, Current HP: 2074, A Avg: 1181035, D Avg: 117979, [Spectral Sword Shigure[172, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 917: HP: 1340, STR: 4612, VIT: 1166, SPD: 71, LUK: 1, Attack: 141781, Defense: 87954, Current HP: 1340, A Avg: 1181035, D Avg: 123135, [Spectral Sword Shigure[172, 0, 0, 0], Energy Shield[227, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 916: HP: 1440, STR: 4612, VIT: 1369, SPD: 71, LUK: 1, Attack: 141781, Defense: 88157, Current HP: 1440, A Avg: 1181035, D Avg: 123419, [Spectral Sword Shigure[172, 0, 0, 0], Energy Shield[227, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 915: HP: 1440, STR: 4612, VIT: 1186, SPD: 71, LUK: 1, Attack: 141781, Defense: 87974, Current HP: 1440, A Avg: 1181035, D Avg: 123163, [Spectral Sword Shigure[172, 0, 0, 0], Energy Shield[227, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 914: HP: 3477, STR: 4612, VIT: 226, SPD: 71, LUK: 1, Attack: 141781, Defense: 86143, Current HP: 3477, A Avg: 1181035, D Avg: 120600, [Spectral Sword Shigure[172, 0, 0, 0], Frying Pan[231, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 913: HP: 3572, STR: 4612, VIT: 439, SPD: 71, LUK: 1, Attack: 141781, Defense: 86356, Current HP: 3572, A Avg: 1181035, D Avg: 120898, [Spectral Sword Shigure[172, 0, 0, 0], Frying Pan[231, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 912: HP: 3572, STR: 4612, VIT: 247, SPD: 71, LUK: 1, Attack: 141781, Defense: 86164, Current HP: 3572, A Avg: 1181035, D Avg: 120629, [Spectral Sword Shigure[172, 0, 0, 0], Frying Pan[231, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 911: HP: 2284, STR: 4612, VIT: 805, SPD: 71, LUK: 1, Attack: 141781, Defense: 85539, Current HP: 2284, A Avg: 1181035, D Avg: 119754, [Spectral Sword Shigure[172, 0, 0, 0], Slafield[232, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 910: HP: 2384, STR: 4612, VIT: 1008, SPD: 71, LUK: 1, Attack: 141781, Defense: 85742, Current HP: 2384, A Avg: 1181035, D Avg: 120038, [Spectral Sword Shigure[172, 0, 0, 0], Slafield[232, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 909: HP: 2384, STR: 4612, VIT: 825, SPD: 71, LUK: 1, Attack: 141781, Defense: 85559, Current HP: 2384, A Avg: 1181035, D Avg: 119782, [Spectral Sword Shigure[172, 0, 0, 0], Slafield[232, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 908: HP: 1920, STR: 4612, VIT: 693, SPD: 71, LUK: 1, Attack: 141781, Defense: 86168, Current HP: 1920, A Avg: 1181035, D Avg: 120635, [Spectral Sword Shigure[172, 0, 0, 0], Mist Shield[233, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 907: HP: 2020, STR: 4612, VIT: 896, SPD: 71, LUK: 1, Attack: 141781, Defense: 86371, Current HP: 2020, A Avg: 1181035, D Avg: 120919, [Spectral Sword Shigure[172, 0, 0, 0], Mist Shield[233, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
