Rank 1000: HP: 1083, STR: 602981, VIT: 1150, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87938, Current HP: 1083, A Avg: 8600500, D Avg: 123113, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 981: HP: 1814, STR: 602981, VIT: 443, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86360, Current HP: 1814, A Avg: 8600500, D Avg: 120903, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 980: HP: 1024, STR: 602981, VIT: 576, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85310, Current HP: 1024, A Avg: 8600500, D Avg: 119433, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 979: HP: 870, STR: 602981, VIT: 537, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86012, Current HP: 870, A Avg: 8600500, D Avg: 120416, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 978: HP: 798, STR: 602981, VIT: 639, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85607, Current HP: 798, A Avg: 8600500, D Avg: 119849, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 977: HP: 722, STR: 602981, VIT: 755, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87595, Current HP: 722, A Avg: 8600500, D Avg: 122632, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 976: HP: 910, STR: 602981, VIT: 591, SPD: 15, LUK: 1, Attack: 1032473, Defense: 88016, Current HP: 910, A Avg: 8600500, D Avg: 123222, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 975: HP: 608, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87212, Current HP: 608, A Avg: 8600500, D Avg: 122096, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 974: HP: 608, STR: 602981, VIT: 796, SPD: 15, LUK: 1, Attack: 1032473, Defense: 90574, Current HP: 608, A Avg: 8600500, D Avg: 126803, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 973: HP: 1083, STR: 602981, VIT: 1150, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87938, Current HP: 1083, A Avg: 8600500, D Avg: 123113, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 972: HP: 893, STR: 602981, VIT: 593, SPD: 17, LUK: 1, Attack: 1032473, Defense: 86471, Current HP: 893, A Avg: 8600500, D Avg: 121059, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 971: HP: 1041, STR: 602981, VIT: 669, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86885, Current HP: 1041, A Avg: 8600500, D Avg: 121638, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 970: HP: 1040, STR: 602981, VIT: 913, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87948, Current HP: 1040, A Avg: 8600500, D Avg: 123127, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 969: HP: 640, STR: 602981, VIT: 647, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87695, Current HP: 640, A Avg: 8600500, D Avg: 122772, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 968: HP: 640, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84146, Current HP: 640, A Avg: 8600500, D Avg: 117804, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 967: HP: 640, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84156, Current HP: 640, A Avg: 8600500, D Avg: 117818, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 966: HP: 608, STR: 602981, VIT: 454, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84323, Current HP: 608, A Avg: 8600500, D Avg: 118052, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 965: HP: 608, STR: 602981, VIT: 461, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84265, Current HP: 608, A Avg: 8600500, D Avg: 117970, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 964: HP: 608, STR: 602981, VIT: 463, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84326, Current HP: 608, A Avg: 8600500, D Avg: 118056, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 963: HP: 608, STR: 602981, VIT: 485, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84374, Current HP: 608, A Avg: 8600500, D Avg: 118123, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 962: HP: 640, STR: 602981, VIT: 471, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84347, Current HP: 640, A Avg: 8600500, D Avg: 118085, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 961: HP: 712, STR: 602981, VIT: 502, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84339, Current HP: 712, A Avg: 8600500, D Avg: 118074, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 960: HP: 700, STR: 602981, VIT: 452, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84224, Current HP: 700, A Avg: 8600500, D Avg: 117913, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 959: HP: 740, STR: 602981, VIT: 471, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84490, Current HP: 740, A Avg: 8600500, D Avg: 118285, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 958: HP: 684, STR: 602981, VIT: 474, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84402, Current HP: 684, A Avg: 8600500, D Avg: 118162, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 957: HP: 866, STR: 602981, VIT: 537, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85099, Current HP: 866, A Avg: 8600500, D Avg: 119138, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 956: HP: 782, STR: 602981, VIT: 463, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84391, Current HP: 782, A Avg: 8600500, D Avg: 118147, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 955: HP: 640, STR: 602981, VIT: 865, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87653, Current HP: 640, A Avg: 8600500, D Avg: 122714, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 954: HP: 1814, STR: 602981, VIT: 443, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86360, Current HP: 1814, A Avg: 8600500, D Avg: 120903, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 953: HP: 1024, STR: 602981, VIT: 576, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85310, Current HP: 1024, A Avg: 8600500, D Avg: 119433, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 952: HP: 870, STR: 602981, VIT: 537, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86012, Current HP: 870, A Avg: 8600500, D Avg: 120416, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 951: HP: 798, STR: 602981, VIT: 639, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85607, Current HP: 798, A Avg: 8600500, D Avg: 119849, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 950: HP: 722, STR: 602981, VIT: 755, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87595, Current HP: 722, A Avg: 8600500, D Avg: 122632, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 949: HP: 910, STR: 602981, VIT: 591, SPD: 15, LUK: 1, Attack: 1032473, Defense: 88016, Current HP: 910, A Avg: 8600500, D Avg: 123222, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 948: HP: 608, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87212, Current HP: 608, A Avg: 8600500, D Avg: 122096, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 947: HP: 608, STR: 602981, VIT: 796, SPD: 15, LUK: 1, Attack: 1032473, Defense: 90574, Current HP: 608, A Avg: 8600500, D Avg: 126803, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 946: HP: 1083, STR: 602981, VIT: 1150, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87938, Current HP: 1083, A Avg: 8600500, D Avg: 123113, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 945: HP: 893, STR: 602981, VIT: 593, SPD: 17, LUK: 1, Attack: 1032473, Defense: 86471, Current HP: 893, A Avg: 8600500, D Avg: 121059, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 944: HP: 1041, STR: 602981, VIT: 669, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86885, Current HP: 1041, A Avg: 8600500, D Avg: 121638, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 943: HP: 1040, STR: 602981, VIT: 913, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87948, Current HP: 1040, A Avg: 8600500, D Avg: 123127, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 942: HP: 640, STR: 602981, VIT: 647, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87695, Current HP: 640, A Avg: 8600500, D Avg: 122772, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 941: HP: 640, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84146, Current HP: 640, A Avg: 8600500, D Avg: 117804, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 940: HP: 640, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84156, Current HP: 640, A Avg: 8600500, D Avg: 117818, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 939: HP: 608, STR: 602981, VIT: 454, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84323, Current HP: 608, A Avg: 8600500, D Avg: 118052, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 938: HP: 608, STR: 602981, VIT: 461, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84265, Current HP: 608, A Avg: 8600500, D Avg: 117970, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 937: HP: 608, STR: 602981, VIT: 463, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84326, Current HP: 608, A Avg: 8600500, D Avg: 118056, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 936: HP: 608, STR: 602981, VIT: 485, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84374, Current HP: 608, A Avg: 8600500, D Avg: 118123, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 935: HP: 640, STR: 602981, VIT: 471, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84347, Current HP: 640, A Avg: 8600500, D Avg: 118085, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 934: HP: 712, STR: 602981, VIT: 502, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84339, Current HP: 712, A Avg: 8600500, D Avg: 118074, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 933: HP: 700, STR: 602981, VIT: 452, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84224, Current HP: 700, A Avg: 8600500, D Avg: 117913, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 932: HP: 740, STR: 602981, VIT: 471, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84490, Current HP: 740, A Avg: 8600500, D Avg: 118285, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 931: HP: 684, STR: 602981, VIT: 474, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84402, Current HP: 684, A Avg: 8600500, D Avg: 118162, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 930: HP: 866, STR: 602981, VIT: 537, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85099, Current HP: 866, A Avg: 8600500, D Avg: 119138, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 929: HP: 782, STR: 602981, VIT: 463, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84391, Current HP: 782, A Avg: 8600500, D Avg: 118147, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 928: HP: 640, STR: 602981, VIT: 865, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87653, Current HP: 640, A Avg: 8600500, D Avg: 122714, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 927: HP: 1814, STR: 602981, VIT: 443, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86360, Current HP: 1814, A Avg: 8600500, D Avg: 120903, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 926: HP: 1024, STR: 602981, VIT: 576, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85310, Current HP: 1024, A Avg: 8600500, D Avg: 119433, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 925: HP: 870, STR: 602981, VIT: 537, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86012, Current HP: 870, A Avg: 8600500, D Avg: 120416, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 924: HP: 798, STR: 602981, VIT: 639, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85607, Current HP: 798, A Avg: 8600500, D Avg: 119849, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 923: HP: 722, STR: 602981, VIT: 755, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87595, Current HP: 722, A Avg: 8600500, D Avg: 122632, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 922: HP: 910, STR: 602981, VIT: 591, SPD: 15, LUK: 1, Attack: 1032473, Defense: 88016, Current HP: 910, A Avg: 8600500, D Avg: 123222, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 921: HP: 608, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87212, Current HP: 608, A Avg: 8600500, D Avg: 122096, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 920: HP: 608, STR: 602981, VIT: 796, SPD: 15, LUK: 1, Attack: 1032473, Defense: 90574, Current HP: 608, A Avg: 8600500, D Avg: 126803, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 919: HP: 1083, STR: 602981, VIT: 1150, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87938, Current HP: 1083, A Avg: 8600500, D Avg: 123113, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 918: HP: 893, STR: 602981, VIT: 593, SPD: 17, LUK: 1, Attack: 1032473, Defense: 86471, Current HP: 893, A Avg: 8600500, D Avg: 121059, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 917: HP: 1041, STR: 602981, VIT: 669, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86885, Current HP: 1041, A Avg: 8600500, D Avg: 121638, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 916: HP: 1040, STR: 602981, VIT: 913, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87948, Current HP: 1040, A Avg: 8600500, D Avg: 123127, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 915: HP: 640, STR: 602981, VIT: 647, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87695, Current HP: 640, A Avg: 8600500, D Avg: 122772, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 914: HP: 454, STR: 602577, VIT: 224, SPD: 15, LUK: 1, Attack: 1032487, Defense: 85842, Current HP: 454, A Avg: 8600616, D Avg: 120178, [Scythe of the Grim Reaper[148, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 66]]
Rank 913: HP: 454, STR: 602577, VIT: 224, SPD: 15, LUK: 1, Attack: 1032487, Defense: 85842, Current HP: 454, A Avg: 8600616, D Avg: 120178, [Scythe of the Grim Reaper[148, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 67]]
Rank 912: HP: 454, STR: 602577, VIT: 224, SPD: 15, LUK: 1, Attack: 1032487, Defense: 85842, Current HP: 454, A Avg: 8600616, D Avg: 120178, [Scythe of the Grim Reaper[148, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 68]]
Rank 911: HP: 454, STR: 602577, VIT: 224, SPD: 15, LUK: 1, Attack: 1032487, Defense: 85842, Current HP: 454, A Avg: 8600616, D Avg: 120178, [Scythe of the Grim Reaper[148, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 803]]
Rank 910: HP: 454, STR: 602577, VIT: 224, SPD: 15, LUK: 1, Attack: 1032487, Defense: 85842, Current HP: 454, A Avg: 8600616, D Avg: 120178, [Scythe of the Grim Reaper[148, 230, 230, 230], Mask of the Grim Reaper[214, 230, 230, 230], Ring of power[314, 230, 230, 807]]
Rank 909: HP: 735, STR: 603028, VIT: 513, SPD: 15, LUK: 1, Attack: 1032543, Defense: 84454, Current HP: 735, A Avg: 8601083, D Avg: 118235, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
Rank 908: HP: 735, STR: 603028, VIT: 513, SPD: 15, LUK: 1, Attack: 1032543, Defense: 84454, Current HP: 735, A Avg: 8601083, D Avg: 118235, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 907: HP: 735, STR: 603028, VIT: 513, SPD: 15, LUK: 1, Attack: 1032543, Defense: 84454, Current HP: 735, A Avg: 8601083, D Avg: 118235, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 906: HP: 735, STR: 603028, VIT: 513, SPD: 15, LUK: 1, Attack: 1032543, Defense: 84454, Current HP: 735, A Avg: 8601083, D Avg: 118235, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 905: HP: 735, STR: 603028, VIT: 513, SPD: 15, LUK: 1, Attack: 1032543, Defense: 84454, Current HP: 735, A Avg: 8601083, D Avg: 118235, [Impulse[166, 230, 230, 230], Dragon's Scales[215, 230, 230, 230], Mobius Ring[316, 230, 230, 807]]
Rank 904: HP: 608, STR: 603047, VIT: 471, SPD: 17, LUK: 1, Attack: 1032572, Defense: 84496, Current HP: 608, A Avg: 8601324, D Avg: 118294, [Impulse[166, 230, 230, 230], Conductive Barrier[208, 230, 230, 230], Mobius Ring[316, 230, 230, 66]]
