Rank 1000: HP: 874, STR: 180, VIT: 71, SPD: 15, LUK: 2, Attack: 138550, Defense: 83999, Current HP: 874, A Avg: 1154121, D Avg: 117598, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 989: HP: 798, STR: 180, VIT: 412, SPD: 15, LUK: 2, Attack: 138550, Defense: 90190, Current HP: 798, A Avg: 1154121, D Avg: 126265, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 988: HP: 1273, STR: 180, VIT: 748, SPD: 15, LUK: 2, Attack: 138550, Defense: 87536, Current HP: 1273, A Avg: 1154121, D Avg: 122550, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 987: HP: 1083, STR: 180, VIT: 209, SPD: 17, LUK: 2, Attack: 138550, Defense: 86087, Current HP: 1083, A Avg: 1154121, D Avg: 120521, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 986: HP: 1231, STR: 180, VIT: 267, SPD: 15, LUK: 2, Attack: 138550, Defense: 86483, Current HP: 1231, A Avg: 1154121, D Avg: 121076, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 985: HP: 1240, STR: 180, VIT: 529, SPD: 15, LUK: 2, Attack: 138550, Defense: 87564, Current HP: 1240, A Avg: 1154121, D Avg: 122589, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 984: HP: 840, STR: 180, VIT: 263, SPD: 15, LUK: 2, Attack: 138550, Defense: 87311, Current HP: 840, A Avg: 1154121, D Avg: 122235, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 983: HP: 1232, STR: 181, VIT: 374, SPD: 18, LUK: 1, Attack: 138551, Defense: 84315, Current HP: 1232, A Avg: 1154129, D Avg: 118040, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 982: HP: 456, STR: 4708, VIT: 95, SPD: 15, LUK: 1, Attack: 138554, Defense: 87923, Current HP: 456, A Avg: 1154154, D Avg: 123092, [Neural Edge[190, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 981: HP: 1274, STR: 184, VIT: 185, SPD: 18, LUK: 1, Attack: 138556, Defense: 84126, Current HP: 1274, A Avg: 1154171, D Avg: 117776, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 980: HP: 870, STR: 185, VIT: 107, SPD: 15, LUK: 1, Attack: 138557, Defense: 84607, Current HP: 870, A Avg: 1154179, D Avg: 118449, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 979: HP: 965, STR: 185, VIT: 166, SPD: 15, LUK: 1, Attack: 138557, Defense: 84666, Current HP: 965, A Avg: 1154179, D Avg: 118532, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 978: HP: 965, STR: 185, VIT: 128, SPD: 15, LUK: 1, Attack: 138557, Defense: 84628, Current HP: 965, A Avg: 1154179, D Avg: 118479, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 977: HP: 817, STR: 187, VIT: 87, SPD: 15, LUK: 2, Attack: 138560, Defense: 84093, Current HP: 817, A Avg: 1154204, D Avg: 117730, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 976: HP: 798, STR: 187, VIT: 973, SPD: 15, LUK: 2, Attack: 138560, Defense: 86643, Current HP: 798, A Avg: 1154204, D Avg: 121300, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 975: HP: 956, STR: 189, VIT: 180, SPD: 15, LUK: 1, Attack: 138563, Defense: 85798, Current HP: 956, A Avg: 1154229, D Avg: 120117, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 974: HP: 1056, STR: 189, VIT: 238, SPD: 15, LUK: 1, Attack: 138563, Defense: 85856, Current HP: 1056, A Avg: 1154229, D Avg: 120198, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 973: HP: 1056, STR: 189, VIT: 201, SPD: 15, LUK: 1, Attack: 138563, Defense: 85819, Current HP: 1056, A Avg: 1154229, D Avg: 120146, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 972: HP: 1091, STR: 190, VIT: 334, SPD: 19, LUK: 1, Attack: 138565, Defense: 84359, Current HP: 1091, A Avg: 1154246, D Avg: 118102, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 971: HP: 866, STR: 192, VIT: 330, SPD: 15, LUK: 1, Attack: 138568, Defense: 85168, Current HP: 866, A Avg: 1154271, D Avg: 119235, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 970: HP: 961, STR: 192, VIT: 391, SPD: 15, LUK: 1, Attack: 138568, Defense: 85229, Current HP: 961, A Avg: 1154271, D Avg: 119320, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 969: HP: 961, STR: 192, VIT: 352, SPD: 15, LUK: 1, Attack: 138568, Defense: 85190, Current HP: 961, A Avg: 1154271, D Avg: 119265, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 968: HP: 1078, STR: 193, VIT: 375, SPD: 15, LUK: 1, Attack: 138569, Defense: 84966, Current HP: 1078, A Avg: 1154279, D Avg: 118952, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 967: HP: 915, STR: 193, VIT: 144, SPD: 15, LUK: 1, Attack: 138569, Defense: 84150, Current HP: 915, A Avg: 1154279, D Avg: 117809, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 966: HP: 1383, STR: 193, VIT: 107, SPD: 15, LUK: 1, Attack: 138569, Defense: 84113, Current HP: 1383, A Avg: 1154279, D Avg: 117758, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 965: HP: 944, STR: 193, VIT: 107, SPD: 29, LUK: 1, Attack: 138569, Defense: 84113, Current HP: 944, A Avg: 1154279, D Avg: 117758, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 964: HP: 925, STR: 193, VIT: 118, SPD: 25, LUK: 1, Attack: 138569, Defense: 84124, Current HP: 925, A Avg: 1154279, D Avg: 117773, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 963: HP: 1269, STR: 193, VIT: 175, SPD: 15, LUK: 1, Attack: 138569, Defense: 84181, Current HP: 1269, A Avg: 1154279, D Avg: 117853, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 962: HP: 963, STR: 193, VIT: 139, SPD: 25, LUK: 1, Attack: 138569, Defense: 84145, Current HP: 963, A Avg: 1154279, D Avg: 117802, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 961: HP: 1133, STR: 198, VIT: 156, SPD: 19, LUK: 1, Attack: 138577, Defense: 84181, Current HP: 1133, A Avg: 1154346, D Avg: 117853, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 960: HP: 855, STR: 199, VIT: 234, SPD: 15, LUK: 2, Attack: 138578, Defense: 84825, Current HP: 855, A Avg: 1154354, D Avg: 118754, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 959: HP: 731, STR: 2477, VIT: 222, SPD: 15, LUK: 2, Attack: 138579, Defense: 85450, Current HP: 731, A Avg: 1154363, D Avg: 119629, [Spectral Sword Shigure[172, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 958: HP: 1291, STR: 202, VIT: 378, SPD: 18, LUK: 1, Attack: 138583, Defense: 84618, Current HP: 1291, A Avg: 1154396, D Avg: 118465, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 957: HP: 906, STR: 204, VIT: 175, SPD: 15, LUK: 1, Attack: 138586, Defense: 84181, Current HP: 906, A Avg: 1154421, D Avg: 117853, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 956: HP: 1528, STR: 204, VIT: 128, SPD: 15, LUK: 1, Attack: 138586, Defense: 84134, Current HP: 1528, A Avg: 1154421, D Avg: 117787, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 955: HP: 950, STR: 206, VIT: 129, SPD: 15, LUK: 1, Attack: 138589, Defense: 84018, Current HP: 950, A Avg: 1154446, D Avg: 117625, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 954: HP: 1435, STR: 206, VIT: 97, SPD: 15, LUK: 1, Attack: 138589, Defense: 83986, Current HP: 1435, A Avg: 1154446, D Avg: 117580, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 953: HP: 978, STR: 206, VIT: 97, SPD: 29, LUK: 1, Attack: 138589, Defense: 83986, Current HP: 978, A Avg: 1154446, D Avg: 117580, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 952: HP: 959, STR: 206, VIT: 107, SPD: 25, LUK: 1, Attack: 138589, Defense: 83996, Current HP: 959, A Avg: 1154446, D Avg: 117594, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 951: HP: 1309, STR: 206, VIT: 159, SPD: 15, LUK: 1, Attack: 138589, Defense: 84048, Current HP: 1309, A Avg: 1154446, D Avg: 117667, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 950: HP: 997, STR: 206, VIT: 128, SPD: 25, LUK: 1, Attack: 138589, Defense: 84017, Current HP: 997, A Avg: 1154446, D Avg: 117623, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 949: HP: 925, STR: 207, VIT: 110, SPD: 15, LUK: 2, Attack: 138590, Defense: 84051, Current HP: 925, A Avg: 1154454, D Avg: 117671, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 948: HP: 1056, STR: 209, VIT: 159, SPD: 15, LUK: 1, Attack: 138593, Defense: 84022, Current HP: 1056, A Avg: 1154479, D Avg: 117630, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 947: HP: 1271, STR: 209, VIT: 448, SPD: 18, LUK: 1, Attack: 138593, Defense: 86066, Current HP: 1271, A Avg: 1154479, D Avg: 120492, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 946: HP: 836, STR: 210, VIT: 316, SPD: 15, LUK: 1, Attack: 138595, Defense: 84907, Current HP: 836, A Avg: 1154496, D Avg: 118869, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 945: HP: 1167, STR: 211, VIT: 681, SPD: 18, LUK: 1, Attack: 138596, Defense: 85519, Current HP: 1167, A Avg: 1154504, D Avg: 119726, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 944: HP: 1171, STR: 211, VIT: 334, SPD: 18, LUK: 1, Attack: 138596, Defense: 84834, Current HP: 1171, A Avg: 1154504, D Avg: 118767, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 943: HP: 1333, STR: 214, VIT: 187, SPD: 18, LUK: 1, Attack: 138601, Defense: 84427, Current HP: 1333, A Avg: 1154546, D Avg: 118197, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 942: HP: 836, STR: 215, VIT: 89, SPD: 15, LUK: 2, Attack: 138602, Defense: 83952, Current HP: 836, A Avg: 1154554, D Avg: 117532, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 941: HP: 1439, STR: 216, VIT: 224, SPD: 15, LUK: 1, Attack: 138604, Defense: 84815, Current HP: 1439, A Avg: 1154571, D Avg: 118740, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 940: HP: 1100, STR: 216, VIT: 213, SPD: 15, LUK: 2, Attack: 138604, Defense: 84804, Current HP: 1100, A Avg: 1154571, D Avg: 118725, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 939: HP: 940, STR: 217, VIT: 159, SPD: 15, LUK: 1, Attack: 138605, Defense: 84048, Current HP: 940, A Avg: 1154579, D Avg: 117667, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 938: HP: 1580, STR: 217, VIT: 118, SPD: 15, LUK: 1, Attack: 138605, Defense: 84007, Current HP: 1580, A Avg: 1154579, D Avg: 117609, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 937: HP: 798, STR: 218, VIT: 87, SPD: 17, LUK: 2, Attack: 138607, Defense: 84112, Current HP: 798, A Avg: 1154596, D Avg: 117756, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 936: HP: 1213, STR: 221, VIT: 156, SPD: 18, LUK: 1, Attack: 138611, Defense: 84656, Current HP: 1213, A Avg: 1154629, D Avg: 118518, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 935: HP: 978, STR: 223, VIT: 350, SPD: 15, LUK: 1, Attack: 138614, Defense: 87151, Current HP: 978, A Avg: 1154654, D Avg: 122011, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 934: HP: 1073, STR: 223, VIT: 411, SPD: 15, LUK: 1, Attack: 138614, Defense: 87212, Current HP: 1073, A Avg: 1154654, D Avg: 122096, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 933: HP: 1073, STR: 223, VIT: 371, SPD: 15, LUK: 1, Attack: 138614, Defense: 87172, Current HP: 1073, A Avg: 1154654, D Avg: 122040, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 932: HP: 978, STR: 223, VIT: 154, SPD: 15, LUK: 1, Attack: 138614, Defense: 85018, Current HP: 978, A Avg: 1154654, D Avg: 119025, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 931: HP: 1073, STR: 223, VIT: 215, SPD: 15, LUK: 1, Attack: 138614, Defense: 85079, Current HP: 1073, A Avg: 1154654, D Avg: 119110, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 930: HP: 1073, STR: 223, VIT: 176, SPD: 15, LUK: 1, Attack: 138614, Defense: 85040, Current HP: 1073, A Avg: 1154654, D Avg: 119055, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 929: HP: 902, STR: 223, VIT: 174, SPD: 17, LUK: 1, Attack: 138614, Defense: 84596, Current HP: 902, A Avg: 1154654, D Avg: 118434, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 928: HP: 997, STR: 223, VIT: 232, SPD: 17, LUK: 1, Attack: 138614, Defense: 84654, Current HP: 997, A Avg: 1154654, D Avg: 118515, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 927: HP: 997, STR: 223, VIT: 195, SPD: 17, LUK: 1, Attack: 138614, Defense: 84617, Current HP: 997, A Avg: 1154654, D Avg: 118463, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 926: HP: 1315, STR: 224, VIT: 236, SPD: 18, LUK: 1, Attack: 138616, Defense: 85854, Current HP: 1315, A Avg: 1154671, D Avg: 120195, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 925: HP: 931, STR: 226, VIT: 344, SPD: 15, LUK: 1, Attack: 138619, Defense: 87262, Current HP: 931, A Avg: 1154696, D Avg: 122166, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 924: HP: 1406, STR: 226, VIT: 242, SPD: 15, LUK: 1, Attack: 138619, Defense: 87160, Current HP: 1406, A Avg: 1154696, D Avg: 122023, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 923: HP: 959, STR: 226, VIT: 242, SPD: 29, LUK: 1, Attack: 138619, Defense: 87160, Current HP: 959, A Avg: 1154696, D Avg: 122023, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 922: HP: 940, STR: 226, VIT: 253, SPD: 25, LUK: 1, Attack: 138619, Defense: 87171, Current HP: 940, A Avg: 1154696, D Avg: 122039, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 921: HP: 1287, STR: 226, VIT: 375, SPD: 15, LUK: 1, Attack: 138619, Defense: 87293, Current HP: 1287, A Avg: 1154696, D Avg: 122210, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 920: HP: 978, STR: 226, VIT: 273, SPD: 25, LUK: 1, Attack: 138619, Defense: 87191, Current HP: 978, A Avg: 1154696, D Avg: 122067, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 919: HP: 817, STR: 226, VIT: 101, SPD: 15, LUK: 1, Attack: 138619, Defense: 83964, Current HP: 817, A Avg: 1154696, D Avg: 117549, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 918: HP: 1209, STR: 227, VIT: 401, SPD: 18, LUK: 1, Attack: 138620, Defense: 85239, Current HP: 1209, A Avg: 1154704, D Avg: 119334, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 917: HP: 646, STR: 2506, VIT: 172, SPD: 25, LUK: 1, Attack: 138622, Defense: 84035, Current HP: 646, A Avg: 1154721, D Avg: 117648, [Spectral Sword Shigure[172, 0, 0, 0], Small Sword[218, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 916: HP: 978, STR: 232, VIT: 113, SPD: 15, LUK: 2, Attack: 138628, Defense: 84353, Current HP: 978, A Avg: 1154771, D Avg: 118094, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 915: HP: 1407, STR: 233, VIT: 78, SPD: 15, LUK: 1, Attack: 138629, Defense: 83941, Current HP: 1407, A Avg: 1154779, D Avg: 117517, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 914: HP: 1078, STR: 233, VIT: 68, SPD: 15, LUK: 2, Attack: 138629, Defense: 83931, Current HP: 1078, A Avg: 1154779, D Avg: 117503, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 913: HP: 1291, STR: 234, VIT: 712, SPD: 18, LUK: 1, Attack: 138631, Defense: 87513, Current HP: 1291, A Avg: 1154796, D Avg: 122518, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 912: HP: 1291, STR: 234, VIT: 408, SPD: 18, LUK: 1, Attack: 138631, Defense: 85272, Current HP: 1291, A Avg: 1154796, D Avg: 119380, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 911: HP: 1207, STR: 234, VIT: 438, SPD: 19, LUK: 1, Attack: 138631, Defense: 84860, Current HP: 1207, A Avg: 1154796, D Avg: 118803, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 910: HP: 1159, STR: 235, VIT: 202, SPD: 15, LUK: 1, Attack: 138632, Defense: 84208, Current HP: 1159, A Avg: 1154804, D Avg: 117891, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 909: HP: 1270, STR: 239, VIT: 408, SPD: 15, LUK: 1, Attack: 138638, Defense: 86520, Current HP: 1270, A Avg: 1154854, D Avg: 121127, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 908: HP: 1890, STR: 239, VIT: 286, SPD: 15, LUK: 1, Attack: 138638, Defense: 86398, Current HP: 1890, A Avg: 1154854, D Avg: 120957, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 907: HP: 1300, STR: 239, VIT: 286, SPD: 29, LUK: 1, Attack: 138638, Defense: 86398, Current HP: 1300, A Avg: 1154854, D Avg: 120957, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 906: HP: 1280, STR: 239, VIT: 296, SPD: 25, LUK: 1, Attack: 138638, Defense: 86408, Current HP: 1280, A Avg: 1154854, D Avg: 120971, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 905: HP: 1679, STR: 239, VIT: 439, SPD: 15, LUK: 1, Attack: 138638, Defense: 86551, Current HP: 1679, A Avg: 1154854, D Avg: 121171, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 904: HP: 1320, STR: 239, VIT: 317, SPD: 25, LUK: 1, Attack: 138638, Defense: 86429, Current HP: 1320, A Avg: 1154854, D Avg: 121000, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 903: HP: 956, STR: 240, VIT: 159, SPD: 15, LUK: 2, Attack: 138640, Defense: 85777, Current HP: 956, A Avg: 1154871, D Avg: 120087, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Search Ring[317, 0, 0, 0]]
