Rank 1000: HP: 1007, STR: 3234, VIT: 204, SPD: 77, LUK: 1, Attack: 139714, Defense: 84073, Current HP: 1007, A Avg: 1163817, D Avg: 117702, [Spectral Sword Shigure[172, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 989: HP: 1060, STR: 3234, VIT: 917, SPD: 77, LUK: 1, Attack: 139714, Defense: 87705, Current HP: 1060, A Avg: 1163817, D Avg: 122786, [Spectral Sword Shigure[172, 0, 0, 0], Energy Shield[227, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 988: HP: 2783, STR: 3234, VIT: 193, SPD: 77, LUK: 1, Attack: 139714, Defense: 86110, Current HP: 2783, A Avg: 1163817, D Avg: 120553, [Spectral Sword Shigure[172, 0, 0, 0], Frying Pan[231, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 987: HP: 1764, STR: 3234, VIT: 587, SPD: 77, LUK: 1, Attack: 139714, Defense: 85321, Current HP: 1764, A Avg: 1163817, D Avg: 119449, [Spectral Sword Shigure[172, 0, 0, 0], Slafield[232, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 986: HP: 1490, STR: 3234, VIT: 506, SPD: 77, LUK: 1, Attack: 139714, Defense: 85981, Current HP: 1490, A Avg: 1163817, D Avg: 120373, [Spectral Sword Shigure[172, 0, 0, 0], Mist Shield[233, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 985: HP: 1197, STR: 3234, VIT: 824, SPD: 77, LUK: 1, Attack: 139714, Defense: 85792, Current HP: 1197, A Avg: 1163817, D Avg: 120108, [Spectral Sword Shigure[172, 0, 0, 0], Huge Shield[234, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 984: HP: 1121, STR: 3234, VIT: 931, SPD: 77, LUK: 1, Attack: 139714, Defense: 87771, Current HP: 1121, A Avg: 1163817, D Avg: 122879, [Spectral Sword Shigure[172, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 983: HP: 1930, STR: 3234, VIT: 726, SPD: 77, LUK: 1, Attack: 139714, Defense: 88151, Current HP: 1930, A Avg: 1163817, D Avg: 123411, [Spectral Sword Shigure[172, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 982: HP: 1007, STR: 3234, VIT: 184, SPD: 77, LUK: 1, Attack: 139714, Defense: 86973, Current HP: 1007, A Avg: 1163817, D Avg: 121762, [Spectral Sword Shigure[172, 0, 0, 0], Graffiti[243, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 981: HP: 1007, STR: 3234, VIT: 1388, SPD: 77, LUK: 1, Attack: 139714, Defense: 91166, Current HP: 1007, A Avg: 1163817, D Avg: 127632, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 980: HP: 1482, STR: 3234, VIT: 1987, SPD: 77, LUK: 1, Attack: 139714, Defense: 88775, Current HP: 1482, A Avg: 1163817, D Avg: 124284, [Spectral Sword Shigure[172, 0, 0, 0], Golem Shield[245, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 979: HP: 1292, STR: 3234, VIT: 686, SPD: 81, LUK: 1, Attack: 139714, Defense: 86564, Current HP: 1292, A Avg: 1163817, D Avg: 121189, [Spectral Sword Shigure[172, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 978: HP: 1896, STR: 3234, VIT: 680, SPD: 77, LUK: 1, Attack: 139714, Defense: 86896, Current HP: 1896, A Avg: 1163817, D Avg: 121654, [Spectral Sword Shigure[172, 0, 0, 0], King Shield[248, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 977: HP: 1460, STR: 3234, VIT: 840, SPD: 77, LUK: 1, Attack: 139714, Defense: 87875, Current HP: 1460, A Avg: 1163817, D Avg: 123024, [Spectral Sword Shigure[172, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 976: HP: 1060, STR: 3234, VIT: 906, SPD: 77, LUK: 1, Attack: 139714, Defense: 87954, Current HP: 1060, A Avg: 1163817, D Avg: 123135, [Spectral Sword Shigure[172, 0, 0, 0], Ghost shield[251, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 975: HP: 1931, STR: 3235, VIT: 2534, SPD: 54, LUK: 1, Attack: 139716, Defense: 90102, Current HP: 1931, A Avg: 1163834, D Avg: 126142, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 974: HP: 4655, STR: 5266, VIT: 1284, SPD: 51, LUK: 1, Attack: 139722, Defense: 88072, Current HP: 4655, A Avg: 1163884, D Avg: 123300, [Wild Card[175, 0, 0, 0], C Magnum[239, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 973: HP: 1210, STR: 3245, VIT: 305, SPD: 47, LUK: 2, Attack: 139731, Defense: 84311, Current HP: 1210, A Avg: 1163959, D Avg: 118035, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 972: HP: 1615, STR: 3245, VIT: 1523, SPD: 77, LUK: 1, Attack: 139731, Defense: 89091, Current HP: 1615, A Avg: 1163959, D Avg: 124727, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 971: HP: 1197, STR: 4988, VIT: 713, SPD: 57, LUK: 1, Attack: 139732, Defense: 88541, Current HP: 1197, A Avg: 1163967, D Avg: 123957, [Basic[169, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 970: HP: 1216, STR: 970, VIT: 504, SPD: 47, LUK: 1, Attack: 139735, Defense: 85095, Current HP: 1216, A Avg: 1163992, D Avg: 119132, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 969: HP: 1640, STR: 972, VIT: 873, SPD: 51, LUK: 1, Attack: 139738, Defense: 85867, Current HP: 1640, A Avg: 1164017, D Avg: 120213, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 968: HP: 4294, STR: 7351, VIT: 2334, SPD: 57, LUK: 1, Attack: 139746, Defense: 92112, Current HP: 4294, A Avg: 1164084, D Avg: 128956, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 967: HP: 1248, STR: 3261, VIT: 393, SPD: 77, LUK: 1, Attack: 139755, Defense: 84334, Current HP: 1248, A Avg: 1164159, D Avg: 118067, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 966: HP: 1595, STR: 990, VIT: 750, SPD: 54, LUK: 1, Attack: 139765, Defense: 85341, Current HP: 1595, A Avg: 1164242, D Avg: 119477, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 965: HP: 2015, STR: 991, VIT: 91, SPD: 51, LUK: 1, Attack: 139766, Defense: 84227, Current HP: 2015, A Avg: 1164250, D Avg: 117917, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 964: HP: 1496, STR: 991, VIT: 80, SPD: 51, LUK: 2, Attack: 139766, Defense: 84216, Current HP: 1496, A Avg: 1164250, D Avg: 117902, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 963: HP: 1343, STR: 3270, VIT: 1123, SPD: 54, LUK: 1, Attack: 139768, Defense: 85714, Current HP: 1343, A Avg: 1164267, D Avg: 119999, [Spectral Sword Shigure[172, 0, 0, 0], Black Hole[229, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 962: HP: 1648, STR: 3270, VIT: 1218, SPD: 54, LUK: 1, Attack: 139768, Defense: 88136, Current HP: 1648, A Avg: 1164267, D Avg: 123390, [Spectral Sword Shigure[172, 0, 0, 0], White Hole[230, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 961: HP: 1322, STR: 3276, VIT: 566, SPD: 54, LUK: 1, Attack: 139777, Defense: 84429, Current HP: 1322, A Avg: 1164342, D Avg: 118200, [Spectral Sword Shigure[172, 0, 0, 0], Small Sword[218, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 960: HP: 1529, STR: 5524, VIT: 1350, SPD: 57, LUK: 1, Attack: 139778, Defense: 88151, Current HP: 1529, A Avg: 1164350, D Avg: 123411, [Neural Edge[190, 0, 0, 0], Riot[236, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 959: HP: 1307, STR: 5529, VIT: 813, SPD: 57, LUK: 1, Attack: 139785, Defense: 85313, Current HP: 1307, A Avg: 1164409, D Avg: 119438, [Neural Edge[190, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 958: HP: 4900, STR: 5308, VIT: 1455, SPD: 54, LUK: 1, Attack: 139785, Defense: 88243, Current HP: 4900, A Avg: 1164409, D Avg: 123540, [Wild Card[175, 0, 0, 0], C Magnum[239, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 957: HP: 1510, STR: 1004, VIT: 211, SPD: 47, LUK: 1, Attack: 139786, Defense: 84100, Current HP: 1510, A Avg: 1164417, D Avg: 117739, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 956: HP: 1064, STR: 3287, VIT: 275, SPD: 77, LUK: 1, Attack: 139794, Defense: 84138, Current HP: 1064, A Avg: 1164484, D Avg: 117793, [Spectral Sword Shigure[172, 0, 0, 0], Small Sword[218, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 955: HP: 1474, STR: 1010, VIT: 239, SPD: 51, LUK: 1, Attack: 139795, Defense: 84375, Current HP: 1474, A Avg: 1164492, D Avg: 118124, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 954: HP: 1083, STR: 3292, VIT: 628, SPD: 77, LUK: 1, Attack: 139801, Defense: 85219, Current HP: 1083, A Avg: 1164542, D Avg: 119306, [Spectral Sword Shigure[172, 0, 0, 0], Black Hole[229, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 953: HP: 1358, STR: 3292, VIT: 688, SPD: 77, LUK: 1, Attack: 139801, Defense: 87606, Current HP: 1358, A Avg: 1164542, D Avg: 122648, [Spectral Sword Shigure[172, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 952: HP: 608, STR: 7324, VIT: 583, SPD: 47, LUK: 1, Attack: 139803, Defense: 88411, Current HP: 608, A Avg: 1164558, D Avg: 123775, [Blue Sword[180, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 951: HP: 703, STR: 7324, VIT: 724, SPD: 47, LUK: 1, Attack: 139803, Defense: 88552, Current HP: 703, A Avg: 1164558, D Avg: 123972, [Blue Sword[180, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 950: HP: 703, STR: 7324, VIT: 603, SPD: 47, LUK: 1, Attack: 139803, Defense: 88431, Current HP: 703, A Avg: 1164558, D Avg: 123803, [Blue Sword[180, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 949: HP: 1820, STR: 1019, VIT: 682, SPD: 57, LUK: 1, Attack: 139808, Defense: 84405, Current HP: 1820, A Avg: 1164600, D Avg: 118166, [Big Bang[171, 0, 0, 0], Pot Lid[201, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 948: HP: 1820, STR: 1019, VIT: 682, SPD: 57, LUK: 1, Attack: 139808, Defense: 84415, Current HP: 1820, A Avg: 1164600, D Avg: 118180, [Big Bang[171, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 947: HP: 1729, STR: 1019, VIT: 726, SPD: 57, LUK: 1, Attack: 139808, Defense: 84595, Current HP: 1729, A Avg: 1164600, D Avg: 118432, [Big Bang[171, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 946: HP: 1729, STR: 1019, VIT: 732, SPD: 57, LUK: 1, Attack: 139808, Defense: 84536, Current HP: 1729, A Avg: 1164600, D Avg: 118350, [Big Bang[171, 0, 0, 0], Iron Shield[204, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 945: HP: 1729, STR: 1019, VIT: 778, SPD: 57, LUK: 1, Attack: 139808, Defense: 84641, Current HP: 1729, A Avg: 1164600, D Avg: 118497, [Big Bang[171, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 944: HP: 1729, STR: 1019, VIT: 800, SPD: 57, LUK: 1, Attack: 139808, Defense: 84689, Current HP: 1729, A Avg: 1164600, D Avg: 118564, [Big Bang[171, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 943: HP: 1820, STR: 1019, VIT: 813, SPD: 57, LUK: 1, Attack: 139808, Defense: 84689, Current HP: 1820, A Avg: 1164600, D Avg: 118564, [Big Bang[171, 0, 0, 0], Magic Shield[207, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 942: HP: 2023, STR: 1019, VIT: 904, SPD: 57, LUK: 1, Attack: 139808, Defense: 84741, Current HP: 2023, A Avg: 1164600, D Avg: 118637, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 941: HP: 1880, STR: 1019, VIT: 753, SPD: 57, LUK: 1, Attack: 139808, Defense: 84525, Current HP: 1880, A Avg: 1164600, D Avg: 118334, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 940: HP: 1920, STR: 1019, VIT: 813, SPD: 57, LUK: 1, Attack: 139808, Defense: 84832, Current HP: 1920, A Avg: 1164600, D Avg: 118764, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 939: HP: 1805, STR: 1019, VIT: 789, SPD: 57, LUK: 1, Attack: 139808, Defense: 84717, Current HP: 1805, A Avg: 1164600, D Avg: 118603, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 938: HP: 2326, STR: 1019, VIT: 1004, SPD: 57, LUK: 1, Attack: 139808, Defense: 85566, Current HP: 2326, A Avg: 1164600, D Avg: 119792, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 937: HP: 2207, STR: 1019, VIT: 778, SPD: 57, LUK: 1, Attack: 139808, Defense: 84706, Current HP: 2207, A Avg: 1164600, D Avg: 118588, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 936: HP: 1820, STR: 1019, VIT: 1415, SPD: 57, LUK: 1, Attack: 139808, Defense: 88203, Current HP: 1820, A Avg: 1164600, D Avg: 123484, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 935: HP: 3505, STR: 1019, VIT: 715, SPD: 57, LUK: 1, Attack: 139808, Defense: 86632, Current HP: 3505, A Avg: 1164600, D Avg: 121284, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 934: HP: 2524, STR: 1019, VIT: 1085, SPD: 57, LUK: 1, Attack: 139808, Defense: 85819, Current HP: 2524, A Avg: 1164600, D Avg: 120146, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 933: HP: 2250, STR: 1019, VIT: 1004, SPD: 57, LUK: 1, Attack: 139808, Defense: 86479, Current HP: 2250, A Avg: 1164600, D Avg: 121070, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 932: HP: 1919, STR: 1019, VIT: 1346, SPD: 57, LUK: 1, Attack: 139808, Defense: 86314, Current HP: 1919, A Avg: 1164600, D Avg: 120839, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 931: HP: 1843, STR: 1019, VIT: 1429, SPD: 57, LUK: 1, Attack: 139808, Defense: 88269, Current HP: 1843, A Avg: 1164600, D Avg: 123576, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 930: HP: 2690, STR: 1019, VIT: 1224, SPD: 57, LUK: 1, Attack: 139808, Defense: 88649, Current HP: 2690, A Avg: 1164600, D Avg: 124108, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 929: HP: 1729, STR: 1019, VIT: 682, SPD: 57, LUK: 1, Attack: 139808, Defense: 87471, Current HP: 1729, A Avg: 1164600, D Avg: 122459, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 928: HP: 1729, STR: 1019, VIT: 1886, SPD: 57, LUK: 1, Attack: 139808, Defense: 91664, Current HP: 1729, A Avg: 1164600, D Avg: 128329, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 927: HP: 2204, STR: 1019, VIT: 2509, SPD: 57, LUK: 1, Attack: 139808, Defense: 89297, Current HP: 2204, A Avg: 1164600, D Avg: 125015, [Big Bang[171, 0, 0, 0], Golem Shield[245, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 926: HP: 2014, STR: 1019, VIT: 1184, SPD: 60, LUK: 1, Attack: 139808, Defense: 87062, Current HP: 2014, A Avg: 1164600, D Avg: 121886, [Big Bang[171, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 925: HP: 2618, STR: 1019, VIT: 1202, SPD: 57, LUK: 1, Attack: 139808, Defense: 87418, Current HP: 2618, A Avg: 1164600, D Avg: 122385, [Big Bang[171, 0, 0, 0], King Shield[248, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 924: HP: 2220, STR: 1019, VIT: 1338, SPD: 57, LUK: 1, Attack: 139808, Defense: 88373, Current HP: 2220, A Avg: 1164600, D Avg: 123722, [Big Bang[171, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 923: HP: 1820, STR: 1019, VIT: 1404, SPD: 57, LUK: 1, Attack: 139808, Defense: 88452, Current HP: 1820, A Avg: 1164600, D Avg: 123832, [Big Bang[171, 0, 0, 0], Ghost shield[251, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 922: HP: 640, STR: 5546, VIT: 80, SPD: 47, LUK: 1, Attack: 139811, Defense: 83803, Current HP: 640, A Avg: 1164625, D Avg: 117324, [Neural Edge[190, 0, 0, 0], Pot Lid[201, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 921: HP: 640, STR: 5546, VIT: 80, SPD: 47, LUK: 1, Attack: 139811, Defense: 83813, Current HP: 640, A Avg: 1164625, D Avg: 117338, [Neural Edge[190, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 920: HP: 608, STR: 5546, VIT: 95, SPD: 47, LUK: 1, Attack: 139811, Defense: 83964, Current HP: 608, A Avg: 1164625, D Avg: 117549, [Neural Edge[190, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 919: HP: 608, STR: 5546, VIT: 102, SPD: 47, LUK: 1, Attack: 139811, Defense: 83906, Current HP: 608, A Avg: 1164625, D Avg: 117468, [Neural Edge[190, 0, 0, 0], Iron Shield[204, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 918: HP: 608, STR: 5546, VIT: 147, SPD: 47, LUK: 1, Attack: 139811, Defense: 84010, Current HP: 608, A Avg: 1164625, D Avg: 117613, [Neural Edge[190, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 917: HP: 608, STR: 5546, VIT: 169, SPD: 47, LUK: 1, Attack: 139811, Defense: 84058, Current HP: 608, A Avg: 1164625, D Avg: 117681, [Neural Edge[190, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 916: HP: 640, STR: 5546, VIT: 211, SPD: 47, LUK: 1, Attack: 139811, Defense: 84087, Current HP: 640, A Avg: 1164625, D Avg: 117721, [Neural Edge[190, 0, 0, 0], Magic Shield[207, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 915: HP: 902, STR: 5546, VIT: 274, SPD: 47, LUK: 1, Attack: 139811, Defense: 84111, Current HP: 902, A Avg: 1164625, D Avg: 117755, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 914: HP: 700, STR: 5546, VIT: 151, SPD: 47, LUK: 1, Attack: 139811, Defense: 83923, Current HP: 700, A Avg: 1164625, D Avg: 117492, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 913: HP: 740, STR: 5546, VIT: 211, SPD: 47, LUK: 1, Attack: 139811, Defense: 84230, Current HP: 740, A Avg: 1164625, D Avg: 117921, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 912: HP: 684, STR: 5546, VIT: 158, SPD: 47, LUK: 1, Attack: 139811, Defense: 84086, Current HP: 684, A Avg: 1164625, D Avg: 117720, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 911: HP: 1146, STR: 5546, VIT: 402, SPD: 47, LUK: 1, Attack: 139811, Defense: 84964, Current HP: 1146, A Avg: 1164625, D Avg: 118949, [Neural Edge[190, 0, 0, 0], Slime Shield[221, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 910: HP: 1086, STR: 5546, VIT: 147, SPD: 47, LUK: 1, Attack: 139811, Defense: 84075, Current HP: 1086, A Avg: 1164625, D Avg: 117704, [Neural Edge[190, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 909: HP: 640, STR: 5546, VIT: 813, SPD: 47, LUK: 1, Attack: 139811, Defense: 87601, Current HP: 640, A Avg: 1164625, D Avg: 122641, [Neural Edge[190, 0, 0, 0], Energy Shield[227, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 908: HP: 2384, STR: 5546, VIT: 84, SPD: 47, LUK: 1, Attack: 139811, Defense: 86001, Current HP: 2384, A Avg: 1164625, D Avg: 120401, [Neural Edge[190, 0, 0, 0], Frying Pan[231, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 907: HP: 1344, STR: 5546, VIT: 483, SPD: 47, LUK: 1, Attack: 139811, Defense: 85217, Current HP: 1344, A Avg: 1164625, D Avg: 119303, [Neural Edge[190, 0, 0, 0], Slafield[232, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 906: HP: 1070, STR: 5546, VIT: 402, SPD: 47, LUK: 1, Attack: 139811, Defense: 85877, Current HP: 1070, A Avg: 1164625, D Avg: 120227, [Neural Edge[190, 0, 0, 0], Mist Shield[233, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 905: HP: 798, STR: 5546, VIT: 715, SPD: 47, LUK: 1, Attack: 139811, Defense: 85683, Current HP: 798, A Avg: 1164625, D Avg: 119956, [Neural Edge[190, 0, 0, 0], Huge Shield[234, 0, 0, 0], Ring of power[314, 0, 0, 0]]
