Rank 1000: HP: 1406, STR: 551, VIT: 522, SPD: 64, LUK: 1, Attack: 139106, Defense: 87440, Current HP: 1406, A Avg: 1158752, D Avg: 122415, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 988: HP: 1553, STR: 2842, VIT: 1302, SPD: 45, LUK: 1, Attack: 139126, Defense: 88103, Current HP: 1553, A Avg: 1158919, D Avg: 123344, [Spectral Sword Shigure[172, 0, 0, 0], Riot[236, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 987: HP: 1860, STR: 564, VIT: 731, SPD: 39, LUK: 1, Attack: 139126, Defense: 86843, Current HP: 1860, A Avg: 1158919, D Avg: 121580, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 986: HP: 1349, STR: 567, VIT: 744, SPD: 39, LUK: 1, Attack: 139130, Defense: 87662, Current HP: 1349, A Avg: 1158952, D Avg: 122726, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 985: HP: 2204, STR: 567, VIT: 512, SPD: 39, LUK: 1, Attack: 139130, Defense: 87430, Current HP: 2204, A Avg: 1158952, D Avg: 122401, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 984: HP: 1273, STR: 2846, VIT: 752, SPD: 64, LUK: 1, Attack: 139132, Defense: 87553, Current HP: 1273, A Avg: 1158969, D Avg: 122574, [Spectral Sword Shigure[172, 0, 0, 0], Riot[236, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 983: HP: 2717, STR: 4928, VIT: 2236, SPD: 47, LUK: 1, Attack: 139134, Defense: 87464, Current HP: 2717, A Avg: 1158986, D Avg: 122449, [Stargazer[183, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 982: HP: 1660, STR: 2847, VIT: 576, SPD: 39, LUK: 2, Attack: 139134, Defense: 86688, Current HP: 1660, A Avg: 1158986, D Avg: 121363, [Spectral Sword Shigure[172, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 981: HP: 1162, STR: 5097, VIT: 688, SPD: 47, LUK: 1, Attack: 139137, Defense: 84694, Current HP: 1162, A Avg: 1159011, D Avg: 118571, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 980: HP: 1862, STR: 2853, VIT: 284, SPD: 39, LUK: 1, Attack: 139143, Defense: 84290, Current HP: 1862, A Avg: 1159061, D Avg: 118005, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 979: HP: 1390, STR: 2853, VIT: 273, SPD: 39, LUK: 2, Attack: 139143, Defense: 84279, Current HP: 1390, A Avg: 1159061, D Avg: 117990, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 978: HP: 1436, STR: 576, VIT: 377, SPD: 39, LUK: 1, Attack: 139144, Defense: 85995, Current HP: 1436, A Avg: 1159069, D Avg: 120392, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 977: HP: 1079, STR: 2855, VIT: 305, SPD: 64, LUK: 1, Attack: 139146, Defense: 84805, Current HP: 1079, A Avg: 1159086, D Avg: 118726, [Spectral Sword Shigure[172, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 976: HP: 1265, STR: 579, VIT: 569, SPD: 39, LUK: 1, Attack: 139148, Defense: 85407, Current HP: 1265, A Avg: 1159102, D Avg: 119569, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 975: HP: 1339, STR: 2860, VIT: 612, SPD: 45, LUK: 1, Attack: 139153, Defense: 85112, Current HP: 1339, A Avg: 1159144, D Avg: 119156, [Spectral Sword Shigure[172, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 974: HP: 1621, STR: 583, VIT: 497, SPD: 45, LUK: 1, Attack: 139154, Defense: 84503, Current HP: 1621, A Avg: 1159152, D Avg: 118304, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 973: HP: 969, STR: 6892, VIT: 966, SPD: 47, LUK: 1, Attack: 139155, Defense: 88794, Current HP: 969, A Avg: 1159161, D Avg: 124311, [Blue Sword[180, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 972: HP: 1368, STR: 2862, VIT: 510, SPD: 39, LUK: 1, Attack: 139156, Defense: 84516, Current HP: 1368, A Avg: 1159169, D Avg: 118322, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 971: HP: 2266, STR: 584, VIT: 975, SPD: 45, LUK: 1, Attack: 139156, Defense: 87087, Current HP: 2266, A Avg: 1159169, D Avg: 121921, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 970: HP: 1273, STR: 2868, VIT: 748, SPD: 39, LUK: 2, Attack: 139165, Defense: 85742, Current HP: 1273, A Avg: 1159244, D Avg: 120038, [Spectral Sword Shigure[172, 0, 0, 0], Metalization[228, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 969: HP: 1463, STR: 591, VIT: 965, SPD: 39, LUK: 1, Attack: 139166, Defense: 85959, Current HP: 1463, A Avg: 1159252, D Avg: 120342, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 968: HP: 1653, STR: 593, VIT: 1232, SPD: 39, LUK: 2, Attack: 139169, Defense: 88800, Current HP: 1653, A Avg: 1159277, D Avg: 124319, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 967: HP: 513, STR: 5120, VIT: 91, SPD: 39, LUK: 1, Attack: 139172, Defense: 84279, Current HP: 513, A Avg: 1159302, D Avg: 117990, [Neural Edge[190, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 966: HP: 608, STR: 5120, VIT: 211, SPD: 39, LUK: 1, Attack: 139172, Defense: 84399, Current HP: 608, A Avg: 1159302, D Avg: 118158, [Neural Edge[190, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 965: HP: 608, STR: 5120, VIT: 112, SPD: 39, LUK: 1, Attack: 139172, Defense: 84300, Current HP: 608, A Avg: 1159302, D Avg: 118019, [Neural Edge[190, 0, 0, 0], Dragon Sword[225, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 964: HP: 1102, STR: 599, VIT: 130, SPD: 39, LUK: 2, Attack: 139178, Defense: 83993, Current HP: 1102, A Avg: 1159352, D Avg: 117590, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 963: HP: 1805, STR: 607, VIT: 850, SPD: 45, LUK: 1, Attack: 139190, Defense: 87651, Current HP: 1805, A Avg: 1159452, D Avg: 122711, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 962: HP: 1826, STR: 607, VIT: 1228, SPD: 45, LUK: 1, Attack: 139190, Defense: 86222, Current HP: 1826, A Avg: 1159452, D Avg: 120710, [Big Bang[171, 0, 0, 0], Metalization[228, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 961: HP: 1406, STR: 610, VIT: 295, SPD: 39, LUK: 1, Attack: 139195, Defense: 85159, Current HP: 1406, A Avg: 1159494, D Avg: 119222, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 960: HP: 1330, STR: 610, VIT: 340, SPD: 42, LUK: 1, Attack: 139195, Defense: 84762, Current HP: 1330, A Avg: 1159494, D Avg: 118666, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 959: HP: 1121, STR: 613, VIT: 452, SPD: 39, LUK: 1, Attack: 139199, Defense: 85043, Current HP: 1121, A Avg: 1159527, D Avg: 119060, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 958: HP: 1216, STR: 613, VIT: 572, SPD: 39, LUK: 1, Attack: 139199, Defense: 85163, Current HP: 1216, A Avg: 1159527, D Avg: 119228, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 957: HP: 1216, STR: 613, VIT: 473, SPD: 39, LUK: 1, Attack: 139199, Defense: 85064, Current HP: 1216, A Avg: 1159527, D Avg: 119089, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 956: HP: 2299, STR: 620, VIT: 2281, SPD: 39, LUK: 1, Attack: 139210, Defense: 89849, Current HP: 2299, A Avg: 1159619, D Avg: 125788, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 955: HP: 1748, STR: 624, VIT: 648, SPD: 39, LUK: 1, Attack: 139216, Defense: 84511, Current HP: 1748, A Avg: 1159669, D Avg: 118315, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 954: HP: 1368, STR: 639, VIT: 502, SPD: 39, LUK: 2, Attack: 139238, Defense: 87420, Current HP: 1368, A Avg: 1159852, D Avg: 122387, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 953: HP: 1740, STR: 640, VIT: 1400, SPD: 42, LUK: 1, Attack: 139240, Defense: 88968, Current HP: 1740, A Avg: 1159869, D Avg: 124555, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 952: HP: 1995, STR: 5002, VIT: 1514, SPD: 42, LUK: 1, Attack: 139245, Defense: 85858, Current HP: 1995, A Avg: 1159910, D Avg: 120201, [Stargazer[183, 0, 0, 0], V Magnum[238, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 951: HP: 2303, STR: 644, VIT: 491, SPD: 39, LUK: 1, Attack: 139246, Defense: 87409, Current HP: 2303, A Avg: 1159919, D Avg: 122372, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 950: HP: 1694, STR: 644, VIT: 481, SPD: 39, LUK: 2, Attack: 139246, Defense: 87399, Current HP: 1694, A Avg: 1159919, D Avg: 122358, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 949: HP: 1160, STR: 646, VIT: 245, SPD: 42, LUK: 1, Attack: 139249, Defense: 84108, Current HP: 1160, A Avg: 1159944, D Avg: 117751, [Big Bang[171, 0, 0, 0], Small Sword[218, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 948: HP: 1368, STR: 652, VIT: 201, SPD: 39, LUK: 1, Attack: 139258, Defense: 84090, Current HP: 1368, A Avg: 1160019, D Avg: 117725, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 947: HP: 1463, STR: 652, VIT: 321, SPD: 39, LUK: 1, Attack: 139258, Defense: 84210, Current HP: 1463, A Avg: 1160019, D Avg: 117893, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 946: HP: 1463, STR: 652, VIT: 222, SPD: 39, LUK: 1, Attack: 139258, Defense: 84111, Current HP: 1463, A Avg: 1160019, D Avg: 117755, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 945: HP: 1672, STR: 657, VIT: 817, SPD: 39, LUK: 1, Attack: 139265, Defense: 87735, Current HP: 1672, A Avg: 1160077, D Avg: 122828, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 944: HP: 1406, STR: 657, VIT: 622, SPD: 39, LUK: 1, Attack: 139265, Defense: 87423, Current HP: 1406, A Avg: 1160077, D Avg: 122392, [Big Bang[171, 0, 0, 0], Riot[236, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 943: HP: 3895, STR: 7033, VIT: 1199, SPD: 47, LUK: 1, Attack: 139269, Defense: 86427, Current HP: 3895, A Avg: 1160110, D Avg: 120997, [Spear of Regression[182, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 942: HP: 1178, STR: 2939, VIT: 263, SPD: 39, LUK: 2, Attack: 139272, Defense: 84152, Current HP: 1178, A Avg: 1160135, D Avg: 117812, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 941: HP: 780, STR: 5190, VIT: 219, SPD: 39, LUK: 1, Attack: 139277, Defense: 83942, Current HP: 780, A Avg: 1160177, D Avg: 117518, [Neural Edge[190, 0, 0, 0], Pot Lid[201, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 940: HP: 780, STR: 5190, VIT: 219, SPD: 39, LUK: 1, Attack: 139277, Defense: 83952, Current HP: 780, A Avg: 1160177, D Avg: 117532, [Neural Edge[190, 0, 0, 0], High Pot Lid[202, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 939: HP: 741, STR: 5190, VIT: 241, SPD: 39, LUK: 1, Attack: 139277, Defense: 84110, Current HP: 741, A Avg: 1160177, D Avg: 117753, [Neural Edge[190, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 938: HP: 741, STR: 5190, VIT: 247, SPD: 39, LUK: 1, Attack: 139277, Defense: 84051, Current HP: 741, A Avg: 1160177, D Avg: 117671, [Neural Edge[190, 0, 0, 0], Iron Shield[204, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 937: HP: 741, STR: 5190, VIT: 282, SPD: 39, LUK: 1, Attack: 139277, Defense: 84145, Current HP: 741, A Avg: 1160177, D Avg: 117802, [Neural Edge[190, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 936: HP: 741, STR: 5190, VIT: 304, SPD: 39, LUK: 1, Attack: 139277, Defense: 84193, Current HP: 741, A Avg: 1160177, D Avg: 117870, [Neural Edge[190, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 935: HP: 780, STR: 5190, VIT: 329, SPD: 39, LUK: 1, Attack: 139277, Defense: 84205, Current HP: 780, A Avg: 1160177, D Avg: 117886, [Neural Edge[190, 0, 0, 0], Magic Shield[207, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 934: HP: 988, STR: 5190, VIT: 387, SPD: 39, LUK: 1, Attack: 139277, Defense: 84224, Current HP: 988, A Avg: 1160177, D Avg: 117913, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 933: HP: 840, STR: 5190, VIT: 280, SPD: 39, LUK: 1, Attack: 139277, Defense: 84052, Current HP: 840, A Avg: 1160177, D Avg: 117672, [Neural Edge[190, 0, 0, 0], Clear Shield[211, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 932: HP: 880, STR: 5190, VIT: 329, SPD: 39, LUK: 1, Attack: 139277, Defense: 84348, Current HP: 880, A Avg: 1160177, D Avg: 118087, [Neural Edge[190, 0, 0, 0], Prism Shield[212, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 931: HP: 817, STR: 5190, VIT: 293, SPD: 39, LUK: 1, Attack: 139277, Defense: 84221, Current HP: 817, A Avg: 1160177, D Avg: 117909, [Neural Edge[190, 0, 0, 0], Tower Shield[213, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 930: HP: 1216, STR: 5190, VIT: 489, SPD: 39, LUK: 1, Attack: 139277, Defense: 85051, Current HP: 1216, A Avg: 1160177, D Avg: 119071, [Neural Edge[190, 0, 0, 0], Slime Shield[221, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 929: HP: 1143, STR: 5190, VIT: 282, SPD: 39, LUK: 1, Attack: 139277, Defense: 84210, Current HP: 1143, A Avg: 1160177, D Avg: 117893, [Neural Edge[190, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 928: HP: 780, STR: 5190, VIT: 879, SPD: 39, LUK: 1, Attack: 139277, Defense: 87667, Current HP: 780, A Avg: 1160177, D Avg: 122733, [Neural Edge[190, 0, 0, 0], Energy Shield[227, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 927: HP: 2375, STR: 5190, VIT: 230, SPD: 39, LUK: 1, Attack: 139277, Defense: 86147, Current HP: 2375, A Avg: 1160177, D Avg: 120605, [Neural Edge[190, 0, 0, 0], Frying Pan[231, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 926: HP: 1404, STR: 5190, VIT: 560, SPD: 39, LUK: 1, Attack: 139277, Defense: 85294, Current HP: 1404, A Avg: 1160177, D Avg: 119411, [Neural Edge[190, 0, 0, 0], Slafield[232, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 925: HP: 1160, STR: 5190, VIT: 489, SPD: 39, LUK: 1, Attack: 139277, Defense: 85964, Current HP: 1160, A Avg: 1160177, D Avg: 120349, [Neural Edge[190, 0, 0, 0], Mist Shield[233, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 924: HP: 931, STR: 5190, VIT: 752, SPD: 39, LUK: 1, Attack: 139277, Defense: 85720, Current HP: 931, A Avg: 1160177, D Avg: 120007, [Neural Edge[190, 0, 0, 0], Huge Shield[234, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 923: HP: 855, STR: 5190, VIT: 863, SPD: 39, LUK: 1, Attack: 139277, Defense: 87703, Current HP: 855, A Avg: 1160177, D Avg: 122784, [Neural Edge[190, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 922: HP: 1500, STR: 5190, VIT: 668, SPD: 39, LUK: 1, Attack: 139277, Defense: 88093, Current HP: 1500, A Avg: 1160177, D Avg: 123330, [Neural Edge[190, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 921: HP: 741, STR: 5190, VIT: 219, SPD: 39, LUK: 1, Attack: 139277, Defense: 87008, Current HP: 741, A Avg: 1160177, D Avg: 121811, [Neural Edge[190, 0, 0, 0], Graffiti[243, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 920: HP: 741, STR: 5190, VIT: 1215, SPD: 39, LUK: 1, Attack: 139277, Defense: 90993, Current HP: 741, A Avg: 1160177, D Avg: 127390, [Neural Edge[190, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 919: HP: 1216, STR: 5190, VIT: 1753, SPD: 39, LUK: 1, Attack: 139277, Defense: 88541, Current HP: 1216, A Avg: 1160177, D Avg: 123957, [Neural Edge[190, 0, 0, 0], Golem Shield[245, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 918: HP: 1026, STR: 5190, VIT: 639, SPD: 42, LUK: 1, Attack: 139277, Defense: 86517, Current HP: 1026, A Avg: 1160177, D Avg: 121123, [Neural Edge[190, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 917: HP: 1516, STR: 5190, VIT: 652, SPD: 39, LUK: 1, Attack: 139277, Defense: 86868, Current HP: 1516, A Avg: 1160177, D Avg: 121615, [Neural Edge[190, 0, 0, 0], King Shield[248, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 916: HP: 1180, STR: 5190, VIT: 834, SPD: 39, LUK: 1, Attack: 139277, Defense: 87869, Current HP: 1180, A Avg: 1160177, D Avg: 123016, [Neural Edge[190, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 915: HP: 780, STR: 5190, VIT: 817, SPD: 39, LUK: 1, Attack: 139277, Defense: 87865, Current HP: 780, A Avg: 1160177, D Avg: 123010, [Neural Edge[190, 0, 0, 0], Ghost shield[251, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 914: HP: 540, STR: 5190, VIT: 182, SPD: 45, LUK: 1, Attack: 139277, Defense: 84318, Current HP: 540, A Avg: 1160177, D Avg: 118045, [Neural Edge[190, 0, 0, 0], Magnum[237, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 913: HP: 1349, STR: 677, VIT: 713, SPD: 39, LUK: 1, Attack: 139295, Defense: 87631, Current HP: 1349, A Avg: 1160327, D Avg: 122683, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 912: HP: 1276, STR: 681, VIT: 211, SPD: 39, LUK: 1, Attack: 139301, Defense: 84217, Current HP: 1276, A Avg: 1160377, D Avg: 117903, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 911: HP: 1371, STR: 681, VIT: 332, SPD: 39, LUK: 1, Attack: 139301, Defense: 84338, Current HP: 1371, A Avg: 1160377, D Avg: 118073, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 910: HP: 1371, STR: 681, VIT: 232, SPD: 39, LUK: 1, Attack: 139301, Defense: 84238, Current HP: 1371, A Avg: 1160377, D Avg: 117933, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 909: HP: 2014, STR: 5040, VIT: 1535, SPD: 64, LUK: 1, Attack: 139302, Defense: 89363, Current HP: 2014, A Avg: 1160385, D Avg: 125108, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 908: HP: 1086, STR: 2959, VIT: 273, SPD: 39, LUK: 2, Attack: 139302, Defense: 84279, Current HP: 1086, A Avg: 1160385, D Avg: 117990, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 907: HP: 1767, STR: 684, VIT: 1094, SPD: 39, LUK: 1, Attack: 139306, Defense: 85685, Current HP: 1767, A Avg: 1160418, D Avg: 119958, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 906: HP: 3819, STR: 7061, VIT: 477, SPD: 42, LUK: 1, Attack: 139311, Defense: 87265, Current HP: 3819, A Avg: 1160460, D Avg: 122170, [Spear of Regression[182, 0, 0, 0], C Magnum[239, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 905: HP: 1121, STR: 691, VIT: 431, SPD: 39, LUK: 2, Attack: 139316, Defense: 85022, Current HP: 1121, A Avg: 1160502, D Avg: 119030, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 904: HP: 1860, STR: 694, VIT: 514, SPD: 39, LUK: 1, Attack: 139321, Defense: 86626, Current HP: 1860, A Avg: 1160543, D Avg: 121276, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
