Rank 000 - [2584, 59, White Point] - HP: 173151, STR: 100858, VIT: 96, SPD: 2, LUK: 2, Attack: 186502, Defense: 84024, Current HP: 0, A Avg: 234992, D Avg: 84024, [Gladius[162, 130, 130, 130], Tower Shield[213, 130, 230, 230], Marriage Ring[321, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160350, STR: 101135, VIT: 94, SPD: 2, LUK: 3, Attack: 186469, Defense: 84113, Current HP: 0, A Avg: 195792, D Avg: 84113, [Impulse[166, 130, 130, 130], Prism Shield[212, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153888, STR: 101072, VIT: 110, SPD: 3, LUK: 2, Attack: 186406, Defense: 84038, Current HP: 0, A Avg: 195726, D Avg: 84038, [Impulse[166, 130, 130, 130], Hardwood Shield[223, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154056, STR: 101083, VIT: 128, SPD: 2, LUK: 2, Attack: 186417, Defense: 85096, Current HP: 0, A Avg: 195737, D Avg: 85096, [Impulse[166, 130, 130, 130], Huge Shield[234, 130, 230, 230], Silver Ring[302, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154428, STR: 101072, VIT: 448, SPD: 2, LUK: 2, Attack: 186406, Defense: 87236, Current HP: 0, A Avg: 195726, D Avg: 87236, [Impulse[166, 130, 130, 130], Golem Shield[245, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153936, STR: 101030, VIT: 368, SPD: 2, LUK: 2, Attack: 185023, Defense: 84237, Current HP: 0, A Avg: 194274, D Avg: 84237, [Wooden Boomerang[167, 130, 130, 130], Wooden Shield[203, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160360, STR: 101039, VIT: 353, SPD: 2, LUK: 2, Attack: 185032, Defense: 85971, Current HP: 0, A Avg: 194283, D Avg: 85971, [Wooden Boomerang[167, 130, 130, 130], Mask of the Grim Reaper[214, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 166763, STR: 115464, VIT: 231, SPD: 2, LUK: 2, Attack: 199457, Defense: 84419, Current HP: 0, A Avg: 209429, D Avg: 84419, [Wooden Boomerang[167, 130, 130, 130], Dragon Sword[225, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154056, STR: 101043, VIT: 544, SPD: 2, LUK: 2, Attack: 185036, Defense: 87345, Current HP: 0, A Avg: 194287, D Avg: 87345, [Wooden Boomerang[167, 130, 130, 130], Riot[236, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 167153, STR: 110538, VIT: 264, SPD: 2, LUK: 2, Attack: 194531, Defense: 86142, Current HP: 0, A Avg: 204257, D Avg: 86142, [Wooden Boomerang[167, 130, 130, 130], Sticky thread shield[247, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153696, STR: 100846, VIT: 92, SPD: 3, LUK: 2, Attack: 185684, Defense: 83981, Current HP: 0, A Avg: 194968, D Avg: 83981, [Classic[168, 130, 130, 130], Large iron Shield[206, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153804, STR: 100877, VIT: 89, SPD: 2, LUK: 2, Attack: 185715, Defense: 84953, Current HP: 0, A Avg: 195000, D Avg: 84953, [Classic[168, 130, 130, 130], Dragon's Head[217, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154164, STR: 100972, VIT: 550, SPD: 2, LUK: 2, Attack: 185810, Defense: 85544, Current HP: 0, A Avg: 195100, D Avg: 85544, [Classic[168, 130, 130, 130], Metalization[228, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 166737, STR: 111255, VIT: 270, SPD: 2, LUK: 2, Attack: 196093, Defense: 84614, Current HP: 0, A Avg: 205897, D Avg: 84614, [Classic[168, 130, 130, 130], V Magnum[238, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160387, STR: 100951, VIT: 254, SPD: 2, LUK: 2, Attack: 185789, Defense: 86366, Current HP: 0, A Avg: 195078, D Avg: 86366, [Classic[168, 130, 130, 130], Goblin Hand[250, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173097, STR: 100925, VIT: 62, SPD: 2, LUK: 3, Attack: 189092, Defense: 84087, Current HP: 0, A Avg: 198546, D Avg: 84087, [Basic[169, 130, 130, 130], Conductive Barrier[208, 130, 230, 230], Pandora Ring[312, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173286, STR: 105721, VIT: 123, SPD: 2, LUK: 2, Attack: 193888, Defense: 84012, Current HP: 0, A Avg: 203582, D Avg: 84012, [Basic[169, 130, 130, 130], Small Lion[219, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153768, STR: 100862, VIT: 201, SPD: 2, LUK: 2, Attack: 189029, Defense: 87119, Current HP: 0, A Avg: 198480, D Avg: 87119, [Basic[169, 130, 130, 130], White Hole[230, 130, 230, 230], Summon Ring[306, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160150, STR: 100852, VIT: 73, SPD: 3, LUK: 2, Attack: 189019, Defense: 87498, Current HP: 0, A Avg: 198469, D Avg: 87498, [Basic[169, 130, 130, 130], Cloud Shield[241, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153732, STR: 106095, VIT: 77, SPD: 2, LUK: 2, Attack: 194262, Defense: 87905, Current HP: 0, A Avg: 203975, D Avg: 87905, [Basic[169, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154176, STR: 105842, VIT: 356, SPD: 2, LUK: 2, Attack: 190810, Defense: 84362, Current HP: 0, A Avg: 200350, D Avg: 84362, [Cluster Bomb[170, 130, 130, 130], Wings of Beast[210, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173556, STR: 110538, VIT: 264, SPD: 2, LUK: 2, Attack: 195506, Defense: 84826, Current HP: 0, A Avg: 205281, D Avg: 84826, [Cluster Bomb[170, 130, 130, 130], Slime Shield[221, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160875, STR: 101030, VIT: 402, SPD: 2, LUK: 2, Attack: 185998, Defense: 85136, Current HP: 0, A Avg: 195297, D Avg: 85136, [Cluster Bomb[170, 130, 130, 130], Slafield[232, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154152, STR: 101030, VIT: 340, SPD: 2, LUK: 2, Attack: 185998, Defense: 87129, Current HP: 0, A Avg: 195297, D Avg: 87129, [Cluster Bomb[170, 130, 130, 130], Graffiti[243, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 161075, STR: 101030, VIT: 340, SPD: 2, LUK: 2, Attack: 193216, Defense: 84073, Current HP: 0, A Avg: 202876, D Avg: 84073, [Big Bang[171, 130, 130, 130], High Pot Lid[202, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154512, STR: 100820, VIT: 55, SPD: 3, LUK: 2, Attack: 193006, Defense: 83983, Current HP: 0, A Avg: 202656, D Avg: 83983, [Big Bang[171, 130, 130, 130], Tower Shield[213, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154488, STR: 105655, VIT: 62, SPD: 3, LUK: 2, Attack: 197841, Defense: 84068, Current HP: 0, A Avg: 207733, D Avg: 84068, [Big Bang[171, 130, 130, 130], Small Dragon Sword[224, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154404, STR: 100831, VIT: 224, SPD: 2, LUK: 2, Attack: 193017, Defense: 85062, Current HP: 0, A Avg: 202667, D Avg: 85062, [Big Bang[171, 130, 130, 130], Bulletproof Shield[235, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 155232, STR: 101030, VIT: 672, SPD: 2, LUK: 2, Attack: 193216, Defense: 87460, Current HP: 0, A Avg: 202876, D Avg: 87460, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154152, STR: 102282, VIT: 127, SPD: 2, LUK: 3, Attack: 192191, Defense: 83931, Current HP: 0, A Avg: 201800, D Avg: 83931, [Spectral Sword Shigure[172, 130, 130, 130], Iron Shield[204, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154248, STR: 102303, VIT: 121, SPD: 2, LUK: 3, Attack: 192212, Defense: 84062, Current HP: 0, A Avg: 201822, D Avg: 84062, [Spectral Sword Shigure[172, 130, 130, 130], Dragon's Scales[215, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154200, STR: 107285, VIT: 130, SPD: 2, LUK: 3, Attack: 197194, Defense: 85358, Current HP: 0, A Avg: 207053, D Avg: 85358, [Spectral Sword Shigure[172, 130, 130, 130], Wave Motion Sword[226, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173691, STR: 102639, VIT: 185, SPD: 2, LUK: 2, Attack: 192548, Defense: 84321, Current HP: 0, A Avg: 202175, D Avg: 84321, [Spectral Sword Shigure[172, 130, 130, 130], Magnum[237, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154440, STR: 102230, VIT: 352, SPD: 2, LUK: 2, Attack: 192139, Defense: 86568, Current HP: 0, A Avg: 201745, D Avg: 86568, [Spectral Sword Shigure[172, 130, 130, 130], King Shield[248, 130, 230, 230], Summon Ring[306, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160087, STR: 100820, VIT: 46, SPD: 2, LUK: 2, Attack: 185208, Defense: 83922, Current HP: 0, A Avg: 194468, D Avg: 83922, [Encryption Key[173, 130, 130, 130], Magic Shield[207, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153708, STR: 105688, VIT: 46, SPD: 2, LUK: 2, Attack: 190076, Defense: 83909, Current HP: 0, A Avg: 199579, D Avg: 83909, [Encryption Key[173, 130, 130, 130], Small Sword[218, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 167257, STR: 110676, VIT: 748, SPD: 2, LUK: 2, Attack: 195064, Defense: 85742, Current HP: 0, A Avg: 204817, D Avg: 85742, [Encryption Key[173, 130, 130, 130], Metalization[228, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154152, STR: 101870, VIT: 340, SPD: 2, LUK: 2, Attack: 186258, Defense: 87128, Current HP: 0, A Avg: 195570, D Avg: 87128, [Encryption Key[173, 130, 130, 130], C Magnum[239, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160625, STR: 101135, VIT: 526, SPD: 2, LUK: 2, Attack: 185523, Defense: 86638, Current HP: 0, A Avg: 194799, D Avg: 86638, [Encryption Key[173, 130, 130, 130], Goblin Hand[250, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173178, STR: 100820, VIT: 64, SPD: 2, LUK: 2, Attack: 185873, Defense: 83901, Current HP: 0, A Avg: 195166, D Avg: 83901, [Common Key[174, 130, 130, 130], Emerald Shield[209, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153696, STR: 100862, VIT: 92, SPD: 2, LUK: 2, Attack: 185915, Defense: 84514, Current HP: 0, A Avg: 195210, D Avg: 84514, [Common Key[174, 130, 130, 130], Superconducting Barrier[220, 130, 230, 230], Summon Ring[306, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154896, STR: 100820, VIT: 44, SPD: 3, LUK: 2, Attack: 185873, Defense: 85961, Current HP: 0, A Avg: 195166, D Avg: 85961, [Common Key[174, 130, 130, 130], Frying Pan[231, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154404, STR: 105842, VIT: 650, SPD: 2, LUK: 2, Attack: 190895, Defense: 88218, Current HP: 0, A Avg: 200439, D Avg: 88218, [Common Key[174, 130, 130, 130], Storm Wall[242, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153912, STR: 106282, VIT: 340, SPD: 2, LUK: 2, Attack: 191335, Defense: 88168, Current HP: 0, A Avg: 200901, D Avg: 88168, [Common Key[174, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173232, STR: 110538, VIT: 247, SPD: 2, LUK: 2, Attack: 198420, Defense: 84019, Current HP: 0, A Avg: 208341, D Avg: 84019, [Wild Card[175, 130, 130, 130], Clear Shield[211, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153960, STR: 105864, VIT: 356, SPD: 2, LUK: 2, Attack: 193746, Defense: 84856, Current HP: 0, A Avg: 203433, D Avg: 84856, [Wild Card[175, 130, 130, 130], Hard Wings of Beast[222, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160500, STR: 101030, VIT: 371, SPD: 2, LUK: 2, Attack: 188912, Defense: 85846, Current HP: 0, A Avg: 198357, D Avg: 85846, [Wild Card[175, 130, 130, 130], Mist Shield[233, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154284, STR: 100820, VIT: 352, SPD: 2, LUK: 2, Attack: 188702, Defense: 87140, Current HP: 0, A Avg: 198137, D Avg: 87140, [Wild Card[175, 130, 130, 130], Golem Shield[245, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153696, STR: 100820, VIT: 55, SPD: 3, LUK: 2, Attack: 186464, Defense: 83924, Current HP: 0, A Avg: 195787, D Avg: 83924, [Portal Sword[176, 130, 130, 130], Wooden Shield[203, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160085, STR: 100839, VIT: 43, SPD: 2, LUK: 2, Attack: 186483, Defense: 85661, Current HP: 0, A Avg: 195807, D Avg: 85661, [Portal Sword[176, 130, 130, 130], Mask of the Grim Reaper[214, 130, 230, 230], Silver Ring[302, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153684, STR: 105732, VIT: 30, SPD: 2, LUK: 2, Attack: 191376, Defense: 84218, Current HP: 0, A Avg: 200944, D Avg: 84218, [Portal Sword[176, 130, 130, 130], Dragon Sword[225, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153912, STR: 101041, VIT: 544, SPD: 2, LUK: 2, Attack: 186685, Defense: 85382, Current HP: 0, A Avg: 196019, D Avg: 85382, [Portal Sword[176, 130, 130, 130], Bulletproof Shield[235, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153672, STR: 105688, VIT: 20, SPD: 2, LUK: 3, Attack: 191332, Defense: 85690, Current HP: 0, A Avg: 200898, D Avg: 85690, [Portal Sword[176, 130, 130, 130], Shield of Thousand[246, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154392, STR: 100883, VIT: 22, SPD: 2, LUK: 3, Attack: 187125, Defense: 83885, Current HP: 0, A Avg: 196481, D Avg: 83885, [Droid Hammer[177, 130, 130, 130], Titanium Shield[205, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 174096, STR: 100841, VIT: 83, SPD: 2, LUK: 2, Attack: 187083, Defense: 84323, Current HP: 0, A Avg: 196437, D Avg: 84323, [Droid Hammer[177, 130, 130, 130], Dragon's Wings[216, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160825, STR: 100883, VIT: 335, SPD: 2, LUK: 3, Attack: 187125, Defense: 87123, Current HP: 0, A Avg: 196481, D Avg: 87123, [Droid Hammer[177, 130, 130, 130], Energy Shield[227, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154416, STR: 101450, VIT: 41, SPD: 3, LUK: 2, Attack: 187692, Defense: 84385, Current HP: 0, A Avg: 197076, D Avg: 84385, [Droid Hammer[177, 130, 130, 130], V Magnum[238, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 161325, STR: 100831, VIT: 650, SPD: 2, LUK: 2, Attack: 187073, Defense: 87685, Current HP: 0, A Avg: 196426, D Avg: 87685, [Droid Hammer[177, 130, 130, 130], Warrior's Shield[249, 130, 230, 230], Silver Ring[302, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153972, STR: 101104, VIT: 294, SPD: 2, LUK: 2, Attack: 187593, Defense: 84319, Current HP: 0, A Avg: 196972, D Avg: 84319, [Cuttlefish[178, 130, 130, 130], Conductive Barrier[208, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154224, STR: 106194, VIT: 604, SPD: 2, LUK: 2, Attack: 192683, Defense: 84467, Current HP: 0, A Avg: 202317, D Avg: 84467, [Cuttlefish[178, 130, 130, 130], Small Sword[218, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154008, STR: 101156, VIT: 251, SPD: 2, LUK: 3, Attack: 187645, Defense: 84842, Current HP: 0, A Avg: 197027, D Avg: 84842, [Cuttlefish[178, 130, 130, 130], Black Hole[229, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154104, STR: 101156, VIT: 335, SPD: 2, LUK: 3, Attack: 187645, Defense: 87175, Current HP: 0, A Avg: 197027, D Avg: 87175, [Cuttlefish[178, 130, 130, 130], Aurora Shield[240, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160375, STR: 101156, VIT: 188, SPD: 2, LUK: 3, Attack: 187645, Defense: 87236, Current HP: 0, A Avg: 197027, D Avg: 87236, [Cuttlefish[178, 130, 130, 130], Ghost shield[251, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153984, STR: 105633, VIT: 77, SPD: 2, LUK: 2, Attack: 191511, Defense: 84083, Current HP: 0, A Avg: 201086, D Avg: 84083, [God Hand[179, 130, 130, 130], Wings of Beast[210, 130, 230, 230], Summon Ring[306, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160525, STR: 100820, VIT: 62, SPD: 3, LUK: 2, Attack: 186698, Defense: 84624, Current HP: 0, A Avg: 196032, D Avg: 84624, [God Hand[179, 130, 130, 130], Slime Shield[221, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160675, STR: 100831, VIT: 92, SPD: 2, LUK: 2, Attack: 186709, Defense: 84826, Current HP: 0, A Avg: 196044, D Avg: 84826, [God Hand[179, 130, 130, 130], Slafield[232, 130, 230, 230], Silver Ring[302, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154920, STR: 106062, VIT: 960, SPD: 2, LUK: 2, Attack: 191940, Defense: 88528, Current HP: 0, A Avg: 201537, D Avg: 88528, [God Hand[179, 130, 130, 130], Storm Wall[242, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160075, STR: 100883, VIT: 20, SPD: 2, LUK: 3, Attack: 186761, Defense: 83743, Current HP: 0, A Avg: 196099, D Avg: 83743, [Blue Sword[180, 130, 130, 130], Pot Lid[201, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160200, STR: 100883, VIT: 31, SPD: 2, LUK: 3, Attack: 186761, Defense: 84050, Current HP: 0, A Avg: 196099, D Avg: 84050, [Blue Sword[180, 130, 130, 130], Prism Shield[212, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173205, STR: 100820, VIT: 64, SPD: 2, LUK: 2, Attack: 186698, Defense: 83992, Current HP: 0, A Avg: 196032, D Avg: 83992, [Blue Sword[180, 130, 130, 130], Hardwood Shield[223, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153912, STR: 100883, VIT: 22, SPD: 2, LUK: 3, Attack: 186761, Defense: 84990, Current HP: 0, A Avg: 196099, D Avg: 84990, [Blue Sword[180, 130, 130, 130], Huge Shield[234, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154272, STR: 100831, VIT: 384, SPD: 2, LUK: 2, Attack: 186709, Defense: 87172, Current HP: 0, A Avg: 196044, D Avg: 87172, [Blue Sword[180, 130, 130, 130], Golem Shield[245, 130, 230, 230], Summon Ring[306, 230, 630, 630]]
