Rank 40333: 285 - [11224, 6661, 414] - HP: 94163, STR: 180972, VIT: 894, SPD: 40, LUK: 1, Attack: 270881, Defense: 90672, Current HP: 94163, A Avg: 284425, D Avg: 90672, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 40409: 13517 - [11310, 6479, 510] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 326696, D Avg: 164754, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 66, 68, 807]]
Rank 40409: 13637 - [11310, 6479, 510] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 326696, D Avg: 230655, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 68, 806, 807]]
Rank 40425: 13487 - [11310, 6495, 494] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 331202, D Avg: 164754, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 66, 67, 807]]
Rank 40425: 13607 - [11310, 6495, 494] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 331202, D Avg: 230655, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 67, 806, 807]]
Rank 40426: 8221 - [12238, 3712, 2349] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 222504, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 803]]
Rank 40432: 10937 - [11484, 5980, 835] - HP: 94163, STR: 135399, VIT: 25726, SPD: 40, LUK: 1, Attack: 225308, Defense: 113554, Current HP: 94163, A Avg: 247838, D Avg: 113554, [Spectral Sword Shigure[172, 130, 130, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 66, 803, 807]]
Rank 40435: 2415 - [11569, 5728, 1002] - HP: 47763, STR: 104172, VIT: 77694, SPD: 40, LUK: 1, Attack: 194081, Defense: 167472, Current HP: 47763, A Avg: 203785, D Avg: 167472, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 40435: 2465 - [11569, 5728, 1002] - HP: 47763, STR: 104172, VIT: 77694, SPD: 40, LUK: 1, Attack: 194081, Defense: 167472, Current HP: 47763, A Avg: 203785, D Avg: 167472, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 40438: 178 - [12042, 4312, 1945] - HP: 187253, STR: 83425, VIT: 51262, SPD: 40, LUK: 1, Attack: 175611, Defense: 139090, Current HP: 187253, A Avg: 184391, D Avg: 139090, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 230, 330, 330]]
Rank 40439: 2081 - [11943, 4610, 1746] - HP: 64429, STR: 121168, VIT: 103920, SPD: 47, LUK: 1, Attack: 206981, Defense: 193698, Current HP: 64429, A Avg: 222504, D Avg: 193698, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 330, 803]]
Rank 40441: 15237 - [11790, 5071, 1438] - HP: 94163, STR: 135399, VIT: 126, SPD: 40, LUK: 1, Attack: 225308, Defense: 87954, Current HP: 94163, A Avg: 326696, D Avg: 123135, [Spectral Sword Shigure[172, 130, 130, 230], Black Sword Breath[252, 230, 230, 66], Gold Ring[303, 68, 806, 807]]
Rank 40446: 13457 - [11311, 6513, 475] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 337962, D Avg: 164754, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 66, 67, 68]]
Rank 40446: 13567 - [11311, 6513, 475] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 337962, D Avg: 197704, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 67, 68, 806]]
Rank 40450: 153 - [11579, 5713, 1007] - HP: 122702, STR: 152083, VIT: 838, SPD: 40, LUK: 2, Attack: 244269, Defense: 90616, Current HP: 122702, A Avg: 256482, D Avg: 90616, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Tears of the Dragon[307, 230, 230, 230]]
Rank 40455: 8231 - [12263, 3666, 2370] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 217330, D Avg: 263157, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 806]]
Rank 40456: 1198 - [12621, 2593, 3085] - HP: 187253, STR: 110625, VIT: 62, SPD: 40, LUK: 1, Attack: 202811, Defense: 87890, Current HP: 187253, A Avg: 212951, D Avg: 105468, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 40459: 1913 - [11422, 6193, 684] - HP: 61902, STR: 152083, VIT: 26438, SPD: 40, LUK: 2, Attack: 244269, Defense: 116216, Current HP: 61902, A Avg: 256482, D Avg: 139459, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 806]]
Rank 40464: 5147 - [11877, 4833, 1589] - HP: 140563, STR: 92199, VIT: 51326, SPD: 40, LUK: 1, Attack: 182108, Defense: 139154, Current HP: 140563, A Avg: 250398, D Avg: 139154, [Spectral Sword Shigure[172, 130, 130, 130], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 68, 803]]
Rank 40470: 8331 - [12239, 3753, 2307] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 227679, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 803, 807]]
Rank 40472: 4407 - [12430, 3182, 2687] - HP: 186963, STR: 92199, VIT: 25726, SPD: 40, LUK: 1, Attack: 182108, Defense: 113554, Current HP: 186963, A Avg: 227635, D Avg: 136264, [Spectral Sword Shigure[172, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 330, 68, 806]]
Rank 40476: 8321 - [12263, 3687, 2349] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 222504, D Avg: 263157, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 803, 806]]
Rank 40486: 2410 - [11589, 5719, 991] - HP: 48053, STR: 102454, VIT: 77630, SPD: 40, LUK: 1, Attack: 194640, Defense: 167408, Current HP: 48053, A Avg: 204372, D Avg: 167408, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 66]]
Rank 40486: 2460 - [11589, 5719, 991] - HP: 48053, STR: 102454, VIT: 77630, SPD: 40, LUK: 1, Attack: 194640, Defense: 167408, Current HP: 48053, A Avg: 204372, D Avg: 167408, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 807]]
Rank 40491: 8341 - [12281, 3648, 2370] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 217330, D Avg: 307017, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 806, 807]]
Rank 40499: 13597 - [11324, 6527, 448] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 346974, D Avg: 164754, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 67, 803, 807]]
Rank 40507: 11957 - [11138, 7093, 068] - HP: 47763, STR: 178599, VIT: 25726, SPD: 40, LUK: 1, Attack: 268508, Defense: 113554, Current HP: 47763, A Avg: 443038, D Avg: 113554, [Spectral Sword Shigure[172, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 67, 68, 803]]
Rank 40511: 243 - [11591, 5738, 970] - HP: 92302, STR: 91283, VIT: 77638, SPD: 40, LUK: 2, Attack: 183469, Defense: 167416, Current HP: 92302, A Avg: 192642, D Avg: 167416, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 330]]
Rank 40513: 6597 - [11161, 7030, 108] - HP: 47763, STR: 221799, VIT: 25726, SPD: 40, LUK: 1, Attack: 311708, Defense: 113554, Current HP: 47763, A Avg: 327293, D Avg: 113554, [Spectral Sword Shigure[172, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 66, 807]]
Rank 40514: 8211 - [12242, 3788, 2269] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 258726, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 68]]
Rank 40519: 4377 - [12450, 3169, 2680] - HP: 186963, STR: 92199, VIT: 25726, SPD: 40, LUK: 1, Attack: 182108, Defense: 113554, Current HP: 186963, A Avg: 229456, D Avg: 136264, [Spectral Sword Shigure[172, 130, 130, 130], Black Sword Breath[252, 130, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 40525: 8201 - [12242, 3799, 2258] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 260796, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 67]]
Rank 40527: 213 - [11279, 6690, 330] - HP: 92302, STR: 182483, VIT: 838, SPD: 40, LUK: 2, Attack: 274669, Defense: 90616, Current HP: 92302, A Avg: 288402, D Avg: 90616, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 230]]
Rank 40530: 2445 - [11593, 5751, 955] - HP: 47763, STR: 104172, VIT: 77694, SPD: 40, LUK: 1, Attack: 194081, Defense: 167472, Current HP: 47763, A Avg: 208637, D Avg: 167472, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 40530: 8261 - [12242, 3804, 2253] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 267005, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 803]]
Rank 40533: 1611 - [12070, 4323, 1906] - HP: 94829, STR: 178768, VIT: 52720, SPD: 47, LUK: 1, Attack: 264581, Defense: 142498, Current HP: 94829, A Avg: 277810, D Avg: 170997, [Spear of Regression[182, 130, 130, 130], Blank Shield[244, 230, 230, 230], Black Box[323, 330, 330, 806]]
Rank 40533: 6052 - [12144, 4101, 2054] - HP: 64068, STR: 140439, VIT: 78044, SPD: 40, LUK: 1, Attack: 226252, Defense: 167822, Current HP: 64068, A Avg: 282815, D Avg: 201386, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Mobius Ring[316, 330, 68, 806]]
Rank 40542: 6022 - [12148, 4098, 2053] - HP: 64068, STR: 140439, VIT: 78044, SPD: 40, LUK: 1, Attack: 226252, Defense: 167822, Current HP: 64068, A Avg: 285077, D Avg: 201386, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Mobius Ring[316, 330, 67, 806]]
Rank 40556: 8301 - [12263, 3767, 2269] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 258726, D Avg: 263157, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 806]]
Rank 40562: 2954 - [11577, 5831, 891] - HP: 2523, STR: 109027, VIT: 103358, SPD: 40, LUK: 1, Attack: 201213, Defense: 190926, Current HP: 2523, A Avg: 211273, D Avg: 190926, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 40562: 2994 - [11577, 5831, 891] - HP: 2523, STR: 109027, VIT: 103358, SPD: 40, LUK: 1, Attack: 201213, Defense: 190926, Current HP: 2523, A Avg: 211273, D Avg: 229111, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 40562: 3004 - [11577, 5831, 891] - HP: 2523, STR: 109027, VIT: 103358, SPD: 40, LUK: 1, Attack: 201213, Defense: 190926, Current HP: 2523, A Avg: 211273, D Avg: 190926, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 40563: 10667 - [11323, 6594, 382] - HP: 94163, STR: 178599, VIT: 126, SPD: 40, LUK: 1, Attack: 268508, Defense: 87954, Current HP: 94163, A Avg: 346375, D Avg: 87954, [Spectral Sword Shigure[172, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 66, 67, 803]]
Rank 40566: 12137 - [11496, 6078, 725] - HP: 47763, STR: 135399, VIT: 51326, SPD: 40, LUK: 1, Attack: 225308, Defense: 139154, Current HP: 47763, A Avg: 247838, D Avg: 139154, [Spectral Sword Shigure[172, 130, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 66, 803, 807]]
Rank 40567: 8271 - [12263, 3778, 2258] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 260796, D Avg: 263157, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 806]]
Rank 40569: 15207 - [11849, 5022, 1428] - HP: 94163, STR: 135399, VIT: 126, SPD: 40, LUK: 1, Attack: 225308, Defense: 87954, Current HP: 94163, A Avg: 331202, D Avg: 123135, [Spectral Sword Shigure[172, 130, 130, 230], Black Sword Breath[252, 230, 230, 66], Gold Ring[303, 67, 806, 807]]
Rank 40572: 8291 - [12244, 3840, 2215] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 284598, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 803]]
Rank 40590: 8091 - [12743, 2361, 3195] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 277810, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 807]]
Rank 40592: 6577 - [11190, 7022, 087] - HP: 47763, STR: 221799, VIT: 25726, SPD: 40, LUK: 1, Attack: 311708, Defense: 113554, Current HP: 47763, A Avg: 335086, D Avg: 113554, [Spectral Sword Shigure[172, 130, 230, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 330, 66, 803]]
Rank 40596: 2440 - [11617, 5745, 937] - HP: 48053, STR: 102454, VIT: 77630, SPD: 40, LUK: 1, Attack: 194640, Defense: 167408, Current HP: 48053, A Avg: 209238, D Avg: 167408, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 40598: 1858 - [11470, 6188, 641] - HP: 94453, STR: 165025, VIT: 62, SPD: 40, LUK: 1, Attack: 257211, Defense: 87890, Current HP: 94453, A Avg: 270071, D Avg: 105468, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 40602: 8311 - [12245, 3867, 2187] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 300122, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 807]]
Rank 40612: 1536 - [11615, 5767, 917] - HP: 92872, STR: 128288, VIT: 26566, SPD: 40, LUK: 2, Attack: 220474, Defense: 114134, Current HP: 92872, A Avg: 275592, D Avg: 114134, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 68]]
Rank 40613: 8071 - [12743, 2384, 3172] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 284424, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 803]]
Rank 40622: 8081 - [12759, 2345, 3195] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 277810, D Avg: 232437, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 806]]
Rank 40622: 8181 - [12743, 2393, 3163] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 291039, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 803, 807]]
Rank 40623: 8281 - [12245, 3888, 2166] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 304262, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 807]]
Rank 40625: 2958 - [11599, 5828, 872] - HP: 1653, STR: 110625, VIT: 102462, SPD: 40, LUK: 1, Attack: 202811, Defense: 190290, Current HP: 1653, A Avg: 212951, D Avg: 190290, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 40625: 2998 - [11599, 5828, 872] - HP: 1653, STR: 110625, VIT: 102462, SPD: 40, LUK: 1, Attack: 202811, Defense: 190290, Current HP: 1653, A Avg: 212951, D Avg: 228348, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 40625: 3008 - [11599, 5828, 872] - HP: 1653, STR: 110625, VIT: 102462, SPD: 40, LUK: 1, Attack: 202811, Defense: 190290, Current HP: 1653, A Avg: 212951, D Avg: 190290, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 40630: 8061 - [12743, 2401, 3155] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 330726, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 68]]
Rank 40630: 8251 - [12245, 3895, 2159] - HP: 3629, STR: 121168, VIT: 129520, SPD: 47, LUK: 1, Attack: 206981, Defense: 219298, Current HP: 3629, A Avg: 310471, D Avg: 219298, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 68]]
Rank 40635: 8051 - [12743, 2406, 3150] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 333372, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 66, 67]]
Rank 40638: 8191 - [12767, 2337, 3195] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 277810, D Avg: 271177, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 806, 807]]
Rank 40640: 8111 - [12743, 2411, 3145] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 341309, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 803]]
Rank 40642: 13557 - [11340, 6622, 337] - HP: 1363, STR: 135399, VIT: 76926, SPD: 40, LUK: 1, Attack: 225308, Defense: 164754, Current HP: 1363, A Avg: 371758, D Avg: 164754, [Spectral Sword Shigure[172, 230, 230, 230], Black Sword Breath[252, 330, 330, 330], Gold Ring[303, 67, 68, 803]]
Rank 40644: 8141 - [12743, 2415, 3141] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 363798, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 803]]
Rank 40645: 1526 - [11630, 5755, 914] - HP: 92872, STR: 128288, VIT: 26566, SPD: 40, LUK: 2, Attack: 220474, Defense: 114134, Current HP: 92872, A Avg: 277797, D Avg: 114134, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 67]]
Rank 40645: 8171 - [12759, 2368, 3172] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 284424, D Avg: 232437, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 803, 806]]
Rank 40646: 8101 - [12743, 2417, 3139] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 396871, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 68]]
Rank 40646: 8131 - [12743, 2417, 3139] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 388934, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 67, 807]]
Rank 40646: 8161 - [12743, 2417, 3139] - HP: 3629, STR: 178768, VIT: 103920, SPD: 47, LUK: 1, Attack: 264581, Defense: 193698, Current HP: 3629, A Avg: 383642, D Avg: 193698, [Spear of Regression[182, 230, 230, 230], Blank Shield[244, 330, 330, 330], Black Box[323, 330, 68, 807]]
Rank 40647: 11907 - [11294, 6765, 240] - HP: 47763, STR: 178599, VIT: 25726, SPD: 40, LUK: 1, Attack: 268508, Defense: 113554, Current HP: 47763, A Avg: 335635, D Avg: 136264, [Spectral Sword Shigure[172, 130, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 66, 68, 806]]
Rank 40651: 2984 - [11599, 5854, 846] - HP: 2523, STR: 109027, VIT: 103358, SPD: 40, LUK: 1, Attack: 201213, Defense: 190926, Current HP: 2523, A Avg: 216303, D Avg: 190926, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 40653: 1874 - [11588, 5889, 822] - HP: 95323, STR: 136227, VIT: 26558, SPD: 40, LUK: 1, Attack: 228413, Defense: 114126, Current HP: 95323, A Avg: 239833, D Avg: 114126, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 330, 66]]
