Rank 38312: 7905 - [10289, 7445, 565] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 440461, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 66, 67]]
Rank 38355: 8013 - [10276, 7527, 496] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 507766, D Avg: 307730, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 68, 807]]
Rank 38356: 7983 - [10276, 7528, 495] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 514770, D Avg: 307730, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 67, 807]]
Rank 38358: 7953 - [10276, 7530, 493] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 525276, D Avg: 307730, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 67, 68]]
Rank 38364: 1945 - [10300, 7464, 535] - HP: 111245, STR: 261691, VIT: 146572, SPD: 72, LUK: 1, Attack: 349573, Defense: 234400, Current HP: 111245, A Avg: 440461, D Avg: 234400, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 67]]
Rank 38372: 7995 - [10292, 7496, 511] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 480662, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 68, 803]]
Rank 38374: 308 - [10290, 7504, 505] - HP: 117100, STR: 396351, VIT: 95920, SPD: 76, LUK: 1, Attack: 484233, Defense: 183748, Current HP: 117100, A Avg: 605291, D Avg: 183748, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Oculus Ring[315, 630, 730, 730]]
Rank 38385: 8015 - [10292, 7509, 498] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 506880, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 68, 807]]
Rank 38388: 7985 - [10292, 7512, 495] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 513872, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 67, 807]]
Rank 38390: 7955 - [10292, 7514, 493] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 524359, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 67, 68]]
Rank 38400: 6994 - [10897, 5709, 1693] - HP: 58596, STR: 172128, VIT: 134566, SPD: 72, LUK: 2, Attack: 260010, Defense: 222394, Current HP: 58596, A Avg: 273010, D Avg: 311351, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 806, 807]]
Rank 38405: 2576 - [10418, 7151, 730] - HP: 60940, STR: 205703, VIT: 225065, SPD: 85, LUK: 1, Attack: 293531, Defense: 312490, Current HP: 60940, A Avg: 308207, D Avg: 374988, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 730, 730, 730], Black Box[323, 730, 730, 806]]
Rank 38419: 2572 - [10433, 7120, 746] - HP: 58957, STR: 207496, VIT: 224400, SPD: 85, LUK: 1, Attack: 293309, Defense: 314178, Current HP: 58957, A Avg: 307974, D Avg: 377013, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Black Box[323, 730, 730, 806]]
Rank 38426: 8249 - [10442, 7100, 757] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 342434, D Avg: 313646, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 807]]
Rank 38435: 5042 - [10455, 7070, 774] - HP: 164293, STR: 307288, VIT: 46992, SPD: 85, LUK: 1, Attack: 393101, Defense: 136770, Current HP: 164293, A Avg: 412756, D Avg: 191478, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 806, 807]]
Rank 38435: 8003 - [10352, 7379, 568] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 437730, D Avg: 369276, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 68, 806]]
Rank 38437: 5946 - [10366, 7339, 594] - HP: 116380, STR: 305495, VIT: 92009, SPD: 85, LUK: 1, Attack: 393323, Defense: 179434, Current HP: 116380, A Avg: 412989, D Avg: 251207, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 730], Black Box[323, 730, 806, 807]]
Rank 38445: 8229 - [10443, 7116, 740] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 350587, D Avg: 313646, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 803]]
Rank 38446: 7973 - [10353, 7387, 559] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 441231, D Avg: 369276, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 67, 806]]
Rank 38454: 8005 - [10364, 7362, 573] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 436966, D Avg: 367766, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 68, 806]]
Rank 38464: 7975 - [10365, 7369, 565] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 440461, D Avg: 367766, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 67, 806]]
Rank 38468: 8239 - [10463, 7079, 757] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 342434, D Avg: 376375, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 806]]
Rank 38469: 4296 - [10705, 6354, 1240] - HP: 227260, STR: 305495, VIT: 3305, SPD: 85, LUK: 1, Attack: 393323, Defense: 90730, Current HP: 227260, A Avg: 412989, D Avg: 127021, [Stargazer[183, 530, 530, 530], Cloud Shield[241, 530, 630, 630], Black Box[323, 630, 806, 807]]
Rank 38473: 7109 - [10375, 7348, 576] - HP: 58216, STR: 240315, VIT: 179516, SPD: 72, LUK: 1, Attack: 326128, Defense: 269294, Current HP: 58216, A Avg: 407660, D Avg: 323152, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 68, 806]]
Rank 38475: 16824 - [11160, 4995, 2144] - HP: 5928, STR: 172128, VIT: 90214, SPD: 72, LUK: 2, Attack: 260010, Defense: 178042, Current HP: 5928, A Avg: 527820, D Avg: 178042, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 66], Tears of the Dragon[307, 67, 68, 807]]
Rank 38475: 16924 - [11160, 4995, 2144] - HP: 5928, STR: 172128, VIT: 90214, SPD: 72, LUK: 2, Attack: 260010, Defense: 178042, Current HP: 5928, A Avg: 527820, D Avg: 249258, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 67], Tears of the Dragon[307, 68, 806, 807]]
Rank 38479: 7079 - [10377, 7348, 574] - HP: 58216, STR: 240315, VIT: 179516, SPD: 72, LUK: 1, Attack: 326128, Defense: 269294, Current HP: 58216, A Avg: 410921, D Avg: 323152, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 67, 806]]
Rank 38485: 8329 - [10463, 7096, 740] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 350587, D Avg: 376375, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 803, 806]]
Rank 38487: 8339 - [10444, 7155, 700] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 358740, D Avg: 313646, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 803, 807]]
Rank 38489: 240 - [10456, 7121, 722] - HP: 164749, STR: 233533, VIT: 135254, SPD: 85, LUK: 1, Attack: 321415, Defense: 223082, Current HP: 164749, A Avg: 337485, D Avg: 223082, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Black Box[323, 730, 730, 730]]
Rank 38496: 392 - [10330, 7506, 463] - HP: 58957, STR: 506872, VIT: 135696, SPD: 85, LUK: 1, Attack: 592685, Defense: 225474, Current HP: 58957, A Avg: 622319, D Avg: 225474, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 730]]
Rank 38496: 396 - [10330, 7506, 463] - HP: 60940, STR: 505079, VIT: 136361, SPD: 85, LUK: 1, Attack: 592907, Defense: 223786, Current HP: 60940, A Avg: 622552, D Avg: 223786, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 630, 630, 630], Black Box[323, 730, 730, 730]]
Rank 38496: 2419 - [10330, 7506, 463] - HP: 58216, STR: 473163, VIT: 135164, SPD: 72, LUK: 1, Attack: 558976, Defense: 224942, Current HP: 58216, A Avg: 586924, D Avg: 224942, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 66]]
Rank 38496: 2429 - [10330, 7506, 463] - HP: 58216, STR: 473163, VIT: 135164, SPD: 72, LUK: 1, Attack: 558976, Defense: 224942, Current HP: 58216, A Avg: 704309, D Avg: 224942, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 67]]
Rank 38496: 2439 - [10330, 7506, 463] - HP: 58216, STR: 473163, VIT: 135164, SPD: 72, LUK: 1, Attack: 558976, Defense: 224942, Current HP: 58216, A Avg: 698720, D Avg: 224942, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 68]]
Rank 38496: 2449 - [10330, 7506, 463] - HP: 58216, STR: 473163, VIT: 135164, SPD: 72, LUK: 1, Attack: 558976, Defense: 224942, Current HP: 58216, A Avg: 600899, D Avg: 224942, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 803]]
Rank 38496: 2469 - [10330, 7506, 463] - HP: 58216, STR: 473163, VIT: 135164, SPD: 72, LUK: 1, Attack: 558976, Defense: 224942, Current HP: 58216, A Avg: 586924, D Avg: 224942, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 807]]
Rank 38500: 8349 - [10479, 7063, 757] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 342434, D Avg: 439104, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 806, 807]]
Rank 38507: 428 - [10364, 7415, 520] - HP: 61660, STR: 163503, VIT: 284416, SPD: 76, LUK: 1, Attack: 251385, Defense: 372244, Current HP: 61660, A Avg: 314231, D Avg: 372244, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Oculus Ring[315, 730, 730, 730]]
Rank 38511: 2552 - [10412, 7275, 612] - HP: 58957, STR: 207496, VIT: 224400, SPD: 85, LUK: 1, Attack: 293309, Defense: 314178, Current HP: 58957, A Avg: 366636, D Avg: 314178, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Black Box[323, 730, 730, 68]]
Rank 38512: 2556 - [10413, 7273, 613] - HP: 60940, STR: 205703, VIT: 225065, SPD: 85, LUK: 1, Attack: 293531, Defense: 312490, Current HP: 60940, A Avg: 366913, D Avg: 312490, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 730, 730, 730], Black Box[323, 730, 730, 68]]
Rank 38517: 2546 - [10413, 7278, 608] - HP: 60940, STR: 205703, VIT: 225065, SPD: 85, LUK: 1, Attack: 293531, Defense: 312490, Current HP: 60940, A Avg: 369849, D Avg: 312490, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 730, 730, 730], Black Box[323, 730, 730, 67]]
Rank 38520: 230 - [10398, 7326, 575] - HP: 164749, STR: 308377, VIT: 90902, SPD: 85, LUK: 1, Attack: 396259, Defense: 178730, Current HP: 164749, A Avg: 416071, D Avg: 178730, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Black Box[323, 630, 730, 730]]
Rank 38531: 15814 - [11746, 3293, 3260] - HP: 58596, STR: 227568, VIT: 1510, SPD: 72, LUK: 2, Attack: 315450, Defense: 89338, Current HP: 58596, A Avg: 433743, D Avg: 107205, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 66], Tears of the Dragon[307, 68, 803, 806]]
Rank 38538: 2542 - [10422, 7272, 605] - HP: 58957, STR: 207496, VIT: 224400, SPD: 85, LUK: 1, Attack: 293309, Defense: 314178, Current HP: 58957, A Avg: 369569, D Avg: 314178, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Black Box[323, 730, 730, 67]]
Rank 38544: 1978 - [10385, 7389, 525] - HP: 117100, STR: 318735, VIT: 95920, SPD: 76, LUK: 1, Attack: 406617, Defense: 183748, Current HP: 117100, A Avg: 508271, D Avg: 220497, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Oculus Ring[315, 730, 730, 806]]
Rank 38559: 6099 - [10480, 7119, 700] - HP: 110884, STR: 240315, VIT: 135164, SPD: 72, LUK: 1, Attack: 326128, Defense: 224942, Current HP: 110884, A Avg: 342434, D Avg: 314918, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 730, 730], Mobius Ring[316, 730, 806, 807]]
Rank 38567: 101 - [10618, 6713, 968] - HP: 297842, STR: 330327, VIT: 1918, SPD: 81, LUK: 1, Attack: 418209, Defense: 89746, Current HP: 297842, A Avg: 439119, D Avg: 89746, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 530, 530, 630], Seal of the High King[319, 630, 630, 630]]
Rank 38595: 7149 - [10497, 7104, 698] - HP: 58216, STR: 240315, VIT: 179516, SPD: 72, LUK: 1, Attack: 326128, Defense: 269294, Current HP: 58216, A Avg: 342434, D Avg: 377011, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 806, 807]]
Rank 38596: 1236 - [10526, 7018, 755] - HP: 227260, STR: 305495, VIT: 47657, SPD: 85, LUK: 1, Attack: 393323, Defense: 135082, Current HP: 227260, A Avg: 491653, D Avg: 135082, [Stargazer[183, 530, 530, 530], Cloud Shield[241, 530, 630, 630], Black Box[323, 630, 730, 68]]
Rank 38613: 423 - [10235, 7908, 156] - HP: 56829, STR: 134844, VIT: 436118, SPD: 72, LUK: 1, Attack: 222672, Defense: 523946, Current HP: 56829, A Avg: 233805, D Avg: 523946, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Obsidian Ring[320, 730, 730, 730]]
Rank 38618: 1226 - [10537, 7007, 755] - HP: 227260, STR: 305495, VIT: 47657, SPD: 85, LUK: 1, Attack: 393323, Defense: 135082, Current HP: 227260, A Avg: 495586, D Avg: 135082, [Stargazer[183, 530, 530, 530], Cloud Shield[241, 530, 630, 630], Black Box[323, 630, 730, 67]]
Rank 38648: 399 - [10406, 7430, 463] - HP: 58216, STR: 589587, VIT: 135164, SPD: 72, LUK: 1, Attack: 675400, Defense: 224942, Current HP: 58216, A Avg: 709170, D Avg: 224942, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 730, 730, 730]]
Rank 38650: 2395 - [10414, 7408, 477] - HP: 58577, STR: 325447, VIT: 146572, SPD: 72, LUK: 1, Attack: 413329, Defense: 234400, Current HP: 58577, A Avg: 433995, D Avg: 281280, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 806]]
Rank 38658: 2452 - [10400, 7458, 441] - HP: 58957, STR: 407080, VIT: 135696, SPD: 85, LUK: 1, Attack: 492893, Defense: 225474, Current HP: 58957, A Avg: 517537, D Avg: 270568, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 730], Black Box[323, 730, 730, 806]]
Rank 38673: 6864 - [10971, 5760, 1568] - HP: 58596, STR: 172128, VIT: 134566, SPD: 72, LUK: 2, Attack: 260010, Defense: 222394, Current HP: 58596, A Avg: 325012, D Avg: 222394, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 66, 68]]
Rank 38685: 2458 - [10426, 7407, 466] - HP: 61660, STR: 318735, VIT: 143044, SPD: 76, LUK: 1, Attack: 406617, Defense: 230872, Current HP: 61660, A Avg: 508271, D Avg: 277046, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 806]]
Rank 38689: 2478 - [10450, 7339, 510] - HP: 61660, STR: 241119, VIT: 190168, SPD: 76, LUK: 1, Attack: 329001, Defense: 277996, Current HP: 61660, A Avg: 411251, D Avg: 277996, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Oculus Ring[315, 730, 730, 66]]
Rank 38689: 2498 - [10450, 7339, 510] - HP: 61660, STR: 241119, VIT: 190168, SPD: 76, LUK: 1, Attack: 329001, Defense: 277996, Current HP: 61660, A Avg: 411251, D Avg: 277996, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Oculus Ring[315, 730, 730, 68]]
Rank 38692: 2393 - [10432, 7396, 471] - HP: 56829, STR: 326112, VIT: 147830, SPD: 72, LUK: 1, Attack: 413940, Defense: 235658, Current HP: 56829, A Avg: 434637, D Avg: 282789, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 806]]
Rank 38693: 1995 - [10541, 7070, 688] - HP: 111245, STR: 197935, VIT: 218644, SPD: 72, LUK: 1, Attack: 285817, Defense: 306472, Current HP: 111245, A Avg: 300107, D Avg: 306472, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Silver Ring[302, 730, 730, 66]]
Rank 38693: 2045 - [10541, 7070, 688] - HP: 111245, STR: 197935, VIT: 218644, SPD: 72, LUK: 1, Attack: 285817, Defense: 306472, Current HP: 111245, A Avg: 300107, D Avg: 306472, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Silver Ring[302, 730, 730, 807]]
Rank 38694: 1192 - [10521, 7131, 647] - HP: 216961, STR: 407080, VIT: 2640, SPD: 85, LUK: 1, Attack: 492893, Defense: 92418, Current HP: 216961, A Avg: 517537, D Avg: 110901, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 530, 630, 630], Black Box[323, 630, 630, 806]]
Rank 38698: 2456 - [10426, 7420, 453] - HP: 60940, STR: 405287, VIT: 136361, SPD: 85, LUK: 1, Attack: 493115, Defense: 223786, Current HP: 60940, A Avg: 517770, D Avg: 268543, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 630, 630, 730], Black Box[323, 730, 730, 806]]
Rank 38702: 1991 - [10513, 7163, 623] - HP: 123206, STR: 249939, VIT: 151606, SPD: 81, LUK: 1, Attack: 337821, Defense: 239434, Current HP: 123206, A Avg: 354712, D Avg: 239434, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 66]]
Rank 38702: 2041 - [10513, 7163, 623] - HP: 123206, STR: 249939, VIT: 151606, SPD: 81, LUK: 1, Attack: 337821, Defense: 239434, Current HP: 123206, A Avg: 354712, D Avg: 239434, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 807]]
Rank 38707: 6854 - [10988, 5743, 1568] - HP: 58596, STR: 172128, VIT: 134566, SPD: 72, LUK: 2, Attack: 260010, Defense: 222394, Current HP: 58596, A Avg: 327612, D Avg: 222394, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 66, 67]]
Rank 38708: 8219 - [10447, 7367, 485] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 407660, D Avg: 313646, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 68]]
Rank 38710: 8209 - [10447, 7369, 483] - HP: 5548, STR: 240315, VIT: 223868, SPD: 72, LUK: 1, Attack: 326128, Defense: 313646, Current HP: 5548, A Avg: 410921, D Avg: 313646, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 66, 67]]
Rank 38718: 398 - [10430, 7428, 441] - HP: 61660, STR: 396351, VIT: 143044, SPD: 76, LUK: 1, Attack: 484233, Defense: 230872, Current HP: 61660, A Avg: 605291, D Avg: 230872, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Oculus Ring[315, 730, 730, 730]]
