Rank 38490: 18043 - [11897, 2799, 3603] - HP: 6593, STR: 253378, VIT: 1678, SPD: 80, LUK: 2, Attack: 341260, Defense: 89506, Current HP: 6593, A Avg: 648394, D Avg: 125308, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 66, 68], Tears of the Dragon[307, 803, 806, 807]]
Rank 38570: 3020 - [10359, 7493, 447] - HP: 7505, STR: 260007, VIT: 249406, SPD: 95, LUK: 1, Attack: 347889, Defense: 337234, Current HP: 7505, A Avg: 438340, D Avg: 337234, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Black Box[323, 730, 730, 67]]
Rank 38574: 2416 - [10383, 7425, 491] - HP: 68660, STR: 354869, VIT: 159288, SPD: 85, LUK: 1, Attack: 442751, Defense: 247116, Current HP: 68660, A Avg: 553438, D Avg: 247116, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 66]]
Rank 38574: 2436 - [10383, 7425, 491] - HP: 68660, STR: 354869, VIT: 159288, SPD: 85, LUK: 1, Attack: 442751, Defense: 247116, Current HP: 68660, A Avg: 553438, D Avg: 247116, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 68]]
Rank 38575: 8079 - [10362, 7489, 448] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 290265, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 66, 803]]
Rank 38579: 1932 - [10422, 7313, 564] - HP: 124260, STR: 452926, VIT: 101704, SPD: 95, LUK: 1, Attack: 538739, Defense: 191482, Current HP: 124260, A Avg: 565675, D Avg: 191482, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 66]]
Rank 38579: 1982 - [10422, 7313, 564] - HP: 124260, STR: 452926, VIT: 101704, SPD: 95, LUK: 1, Attack: 538739, Defense: 191482, Current HP: 124260, A Avg: 565675, D Avg: 191482, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 807]]
Rank 38580: 8189 - [10362, 7494, 443] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 297015, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 803, 807]]
Rank 38583: 1962 - [10424, 7311, 564] - HP: 124260, STR: 452926, VIT: 101704, SPD: 95, LUK: 1, Attack: 538739, Defense: 191482, Current HP: 124260, A Avg: 579144, D Avg: 191482, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 803]]
Rank 38584: 13593 - [10939, 5767, 1593] - HP: 6593, STR: 191638, VIT: 149854, SPD: 80, LUK: 2, Attack: 279520, Defense: 237682, Current HP: 6593, A Avg: 430460, D Avg: 237682, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Tears of the Dragon[307, 67, 803, 807]]
Rank 38586: 1961 - [10443, 7257, 599] - HP: 137171, STR: 367795, VIT: 113266, SPD: 90, LUK: 1, Attack: 455677, Defense: 201094, Current HP: 137171, A Avg: 489852, D Avg: 201094, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Seal of the High King[319, 730, 730, 803]]
Rank 38586: 2446 - [10387, 7425, 487] - HP: 68660, STR: 354869, VIT: 159288, SPD: 85, LUK: 1, Attack: 442751, Defense: 247116, Current HP: 68660, A Avg: 608782, D Avg: 247116, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 803]]
Rank 38586: 2466 - [10387, 7425, 487] - HP: 68660, STR: 354869, VIT: 159288, SPD: 85, LUK: 1, Attack: 442751, Defense: 247116, Current HP: 68660, A Avg: 641988, D Avg: 247116, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 807]]
Rank 38587: 1942 - [10426, 7309, 564] - HP: 124260, STR: 452926, VIT: 101704, SPD: 95, LUK: 1, Attack: 538739, Defense: 191482, Current HP: 124260, A Avg: 678811, D Avg: 191482, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 67]]
Rank 38587: 1952 - [10426, 7309, 564] - HP: 124260, STR: 452926, VIT: 101704, SPD: 95, LUK: 1, Attack: 538739, Defense: 191482, Current HP: 124260, A Avg: 673423, D Avg: 191482, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 630], Black Box[323, 730, 730, 68]]
Rank 38588: 2426 - [10387, 7427, 485] - HP: 68660, STR: 354869, VIT: 159288, SPD: 85, LUK: 1, Attack: 442751, Defense: 247116, Current HP: 68660, A Avg: 664126, D Avg: 247116, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 67]]
Rank 38594: 529 - [10158, 8120, 021] - HP: 7475, STR: 123479, VIT: 608129, SPD: 90, LUK: 1, Attack: 211361, Defense: 695957, Current HP: 7475, A Avg: 221929, D Avg: 695957, [Wild Card[175, 630, 630, 730], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 38598: 1556 - [10565, 6903, 831] - HP: 192140, STR: 354869, VIT: 54330, SPD: 85, LUK: 1, Attack: 442751, Defense: 142158, Current HP: 192140, A Avg: 553438, D Avg: 170589, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Oculus Ring[315, 630, 730, 806]]
Rank 38607: 2355 - [10415, 7362, 522] - HP: 65227, STR: 362374, VIT: 163225, SPD: 80, LUK: 1, Attack: 450256, Defense: 251053, Current HP: 65227, A Avg: 472768, D Avg: 251053, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 66]]
Rank 38607: 2405 - [10415, 7362, 522] - HP: 65227, STR: 362374, VIT: 163225, SPD: 80, LUK: 1, Attack: 450256, Defense: 251053, Current HP: 65227, A Avg: 472768, D Avg: 251053, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 807]]
Rank 38614: 2354 - [10415, 7369, 515] - HP: 63194, STR: 363050, VIT: 164561, SPD: 80, LUK: 1, Attack: 450878, Defense: 252389, Current HP: 63194, A Avg: 473421, D Avg: 252389, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 66]]
Rank 38614: 2404 - [10415, 7369, 515] - HP: 63194, STR: 363050, VIT: 164561, SPD: 80, LUK: 1, Attack: 450878, Defense: 252389, Current HP: 63194, A Avg: 473421, D Avg: 252389, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 807]]
Rank 38615: 239 - [10565, 6920, 814] - HP: 201956, STR: 240785, VIT: 175949, SPD: 90, LUK: 1, Attack: 328667, Defense: 263777, Current HP: 201956, A Avg: 345100, D Avg: 263777, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Endpoint[318, 630, 730, 730]]
Rank 38620: 2385 - [10417, 7369, 513] - HP: 65227, STR: 362374, VIT: 163225, SPD: 80, LUK: 1, Attack: 450256, Defense: 251053, Current HP: 65227, A Avg: 484025, D Avg: 251053, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 803]]
Rank 38621: 2384 - [10417, 7370, 512] - HP: 63194, STR: 363050, VIT: 164561, SPD: 80, LUK: 1, Attack: 450878, Defense: 252389, Current HP: 63194, A Avg: 484693, D Avg: 252389, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 803]]
Rank 38633: 1613 - [11306, 4715, 2278] - HP: 182552, STR: 191638, VIT: 100462, SPD: 80, LUK: 2, Attack: 279520, Defense: 188290, Current HP: 182552, A Avg: 293496, D Avg: 225948, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 730, 730, 806]]
Rank 38636: 5942 - [10514, 7094, 691] - HP: 124260, STR: 341794, VIT: 101704, SPD: 95, LUK: 1, Attack: 427607, Defense: 191482, Current HP: 124260, A Avg: 448987, D Avg: 268074, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 730], Black Box[323, 730, 806, 807]]
Rank 38645: 240 - [10551, 6992, 756] - HP: 183464, STR: 260007, VIT: 150622, SPD: 95, LUK: 1, Attack: 347889, Defense: 238450, Current HP: 183464, A Avg: 365283, D Avg: 238450, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Black Box[323, 730, 730, 730]]
Rank 38648: 1593 - [11270, 4838, 2191] - HP: 182552, STR: 191638, VIT: 100462, SPD: 80, LUK: 2, Attack: 279520, Defense: 188290, Current HP: 182552, A Avg: 349400, D Avg: 188290, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 730, 730, 68]]
Rank 38654: 2046 - [10494, 7172, 633] - HP: 130400, STR: 268433, VIT: 159288, SPD: 85, LUK: 1, Attack: 356315, Defense: 247116, Current HP: 130400, A Avg: 516656, D Avg: 247116, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 807]]
Rank 38658: 1583 - [11274, 4836, 2189] - HP: 182552, STR: 191638, VIT: 100462, SPD: 80, LUK: 2, Attack: 279520, Defense: 188290, Current HP: 182552, A Avg: 352195, D Avg: 188290, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 730, 730, 67]]
Rank 38659: 2374 - [10423, 7390, 486] - HP: 63194, STR: 363050, VIT: 164561, SPD: 80, LUK: 1, Attack: 450878, Defense: 252389, Current HP: 63194, A Avg: 563597, D Avg: 252389, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 68]]
Rank 38659: 2375 - [10423, 7390, 486] - HP: 65227, STR: 362374, VIT: 163225, SPD: 80, LUK: 1, Attack: 450256, Defense: 251053, Current HP: 65227, A Avg: 562820, D Avg: 251053, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 68]]
Rank 38659: 8069 - [10362, 7573, 364] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 337517, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 66, 68]]
Rank 38660: 2364 - [10423, 7391, 485] - HP: 63194, STR: 363050, VIT: 164561, SPD: 80, LUK: 1, Attack: 450878, Defense: 252389, Current HP: 63194, A Avg: 568106, D Avg: 252389, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 67]]
Rank 38660: 2365 - [10423, 7391, 485] - HP: 65227, STR: 362374, VIT: 163225, SPD: 80, LUK: 1, Attack: 450256, Defense: 251053, Current HP: 65227, A Avg: 567322, D Avg: 251053, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 67]]
Rank 38660: 8089 - [10406, 7442, 451] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 283514, D Avg: 523978, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 66, 806]]
Rank 38663: 4773 - [11939, 2846, 3514] - HP: 182552, STR: 253378, VIT: 1678, SPD: 80, LUK: 2, Attack: 341260, Defense: 89506, Current HP: 182552, A Avg: 366854, D Avg: 89506, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 630, 66, 803]]
Rank 38664: 8059 - [10362, 7578, 359] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 340217, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 66, 67]]
Rank 38674: 16593 - [11428, 4390, 2481] - HP: 6593, STR: 315118, VIT: 1678, SPD: 80, LUK: 2, Attack: 403000, Defense: 89506, Current HP: 6593, A Avg: 443300, D Avg: 125308, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 630, 66], Tears of the Dragon[307, 803, 806, 807]]
Rank 38675: 8119 - [10362, 7589, 348] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 348318, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 67, 803]]
Rank 38685: 1935 - [10510, 7155, 634] - HP: 123880, STR: 291373, VIT: 163225, SPD: 80, LUK: 1, Attack: 379255, Defense: 251053, Current HP: 123880, A Avg: 398217, D Avg: 251053, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 66]]
Rank 38685: 1985 - [10510, 7155, 634] - HP: 123880, STR: 291373, VIT: 163225, SPD: 80, LUK: 1, Attack: 379255, Defense: 251053, Current HP: 123880, A Avg: 398217, D Avg: 251053, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 807]]
Rank 38689: 397 - [10456, 7321, 522] - HP: 67279, STR: 408873, VIT: 150622, SPD: 100, LUK: 1, Attack: 496755, Defense: 237410, Current HP: 67279, A Avg: 521592, D Avg: 237410, [Wild Card[175, 530, 630, 630], C Magnum[239, 630, 630, 630], Black Box[323, 730, 730, 730]]
Rank 38696: 8149 - [10362, 7610, 327] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 371269, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 68, 803]]
Rank 38697: 1938 - [10481, 7254, 564] - HP: 129530, STR: 451277, VIT: 102441, SPD: 95, LUK: 1, Attack: 539105, Defense: 189866, Current HP: 129530, A Avg: 566060, D Avg: 189866, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 630], Black Box[323, 730, 730, 66]]
Rank 38697: 1988 - [10481, 7254, 564] - HP: 129530, STR: 451277, VIT: 102441, SPD: 95, LUK: 1, Attack: 539105, Defense: 189866, Current HP: 129530, A Avg: 566060, D Avg: 189866, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 630], Black Box[323, 730, 730, 807]]
Rank 38699: 1951 - [10498, 7205, 596] - HP: 137171, STR: 367795, VIT: 113266, SPD: 90, LUK: 1, Attack: 455677, Defense: 201094, Current HP: 137171, A Avg: 569596, D Avg: 201094, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Seal of the High King[319, 730, 730, 68]]
Rank 38701: 228 - [10487, 7240, 572] - HP: 191270, STR: 562410, VIT: 53049, SPD: 95, LUK: 1, Attack: 650238, Defense: 140474, Current HP: 191270, A Avg: 682749, D Avg: 140474, [Stargazer[183, 530, 530, 530], Cloud Shield[241, 630, 630, 630], Black Box[323, 630, 630, 730]]
Rank 38701: 1968 - [10483, 7252, 564] - HP: 129530, STR: 451277, VIT: 102441, SPD: 95, LUK: 1, Attack: 539105, Defense: 189866, Current HP: 129530, A Avg: 579537, D Avg: 189866, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 630], Black Box[323, 730, 730, 803]]
Rank 38702: 8179 - [10411, 7469, 419] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 290265, D Avg: 523978, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 803, 806]]
Rank 38703: 1941 - [10500, 7203, 596] - HP: 137171, STR: 367795, VIT: 113266, SPD: 90, LUK: 1, Attack: 455677, Defense: 201094, Current HP: 137171, A Avg: 574153, D Avg: 201094, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Seal of the High King[319, 730, 730, 67]]
Rank 38704: 2006 - [10516, 7156, 627] - HP: 130400, STR: 268433, VIT: 159288, SPD: 85, LUK: 1, Attack: 356315, Defense: 247116, Current HP: 130400, A Avg: 534472, D Avg: 247116, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Oculus Ring[315, 730, 730, 67]]
Rank 38705: 424 - [10245, 7970, 084] - HP: 63194, STR: 150047, VIT: 485609, SPD: 80, LUK: 1, Attack: 237875, Defense: 573437, Current HP: 63194, A Avg: 249768, D Avg: 573437, [Stargazer[183, 530, 630, 630], Black Sword Breath[252, 730, 730, 730], Obsidian Ring[320, 730, 730, 730]]
Rank 38705: 1934 - [10519, 7148, 632] - HP: 121847, STR: 292049, VIT: 164561, SPD: 80, LUK: 1, Attack: 379877, Defense: 252389, Current HP: 121847, A Avg: 398870, D Avg: 252389, [Stargazer[183, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 66]]
Rank 38705: 1984 - [10519, 7148, 632] - HP: 121847, STR: 292049, VIT: 164561, SPD: 80, LUK: 1, Attack: 379877, Defense: 252389, Current HP: 121847, A Avg: 398870, D Avg: 252389, [Stargazer[183, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 807]]
Rank 38707: 1948 - [10486, 7249, 564] - HP: 129530, STR: 451277, VIT: 102441, SPD: 95, LUK: 1, Attack: 539105, Defense: 189866, Current HP: 129530, A Avg: 679272, D Avg: 189866, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 630], Black Box[323, 730, 730, 67]]
Rank 38707: 1958 - [10486, 7249, 564] - HP: 129530, STR: 451277, VIT: 102441, SPD: 95, LUK: 1, Attack: 539105, Defense: 189866, Current HP: 129530, A Avg: 673881, D Avg: 189866, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 630], Black Box[323, 730, 730, 68]]
Rank 38713: 2039 - [10495, 7228, 576] - HP: 137129, STR: 182132, VIT: 262385, SPD: 90, LUK: 1, Attack: 270014, Defense: 350213, Current HP: 137129, A Avg: 283514, D Avg: 420255, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Endpoint[318, 730, 730, 806]]
Rank 38716: 1238 - [10694, 6634, 971] - HP: 253010, STR: 340145, VIT: 53049, SPD: 95, LUK: 1, Attack: 427973, Defense: 140474, Current HP: 253010, A Avg: 534966, D Avg: 140474, [Stargazer[183, 530, 530, 530], Cloud Shield[241, 530, 630, 630], Black Box[323, 630, 730, 68]]
Rank 38720: 8169 - [10362, 7634, 303] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 391520, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 68, 807]]
Rank 38721: 6953 - [11004, 5709, 1586] - HP: 65246, STR: 191638, VIT: 149854, SPD: 80, LUK: 2, Attack: 279520, Defense: 237682, Current HP: 65246, A Avg: 349400, D Avg: 285218, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 68, 806]]
Rank 38721: 8139 - [10362, 7635, 302] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 396920, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 67, 807]]
Rank 38726: 2578 - [10524, 7154, 621] - HP: 67790, STR: 229013, VIT: 250617, SPD: 95, LUK: 1, Attack: 316841, Defense: 338042, Current HP: 67790, A Avg: 332683, D Avg: 405650, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 730, 730, 730], Black Box[323, 730, 730, 806]]
Rank 38728: 2572 - [10533, 7129, 637] - HP: 65607, STR: 230662, VIT: 249880, SPD: 95, LUK: 1, Attack: 316475, Defense: 339658, Current HP: 65607, A Avg: 332298, D Avg: 407589, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Black Box[323, 730, 730, 806]]
Rank 38729: 5948 - [10558, 7055, 686] - HP: 129530, STR: 340145, VIT: 102441, SPD: 95, LUK: 1, Attack: 427973, Defense: 189866, Current HP: 129530, A Avg: 449371, D Avg: 265812, [Stargazer[183, 530, 530, 630], Cloud Shield[241, 630, 630, 730], Black Box[323, 730, 806, 807]]
Rank 38733: 6923 - [11010, 5703, 1586] - HP: 65246, STR: 191638, VIT: 149854, SPD: 80, LUK: 2, Attack: 279520, Defense: 237682, Current HP: 65246, A Avg: 352195, D Avg: 285218, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 67, 806]]
Rank 38734: 1228 - [10703, 6625, 971] - HP: 253010, STR: 340145, VIT: 53049, SPD: 95, LUK: 1, Attack: 427973, Defense: 140474, Current HP: 253010, A Avg: 539245, D Avg: 140474, [Stargazer[183, 530, 530, 530], Cloud Shield[241, 530, 630, 630], Black Box[323, 630, 730, 67]]
Rank 38738: 8109 - [10362, 7652, 285] - HP: 7475, STR: 182132, VIT: 348821, SPD: 90, LUK: 1, Attack: 270014, Defense: 436649, Current HP: 7475, A Avg: 405021, D Avg: 436649, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 730, 730, 730], Endpoint[318, 730, 67, 68]]
Rank 38740: 2552 - [10488, 7276, 535] - HP: 65607, STR: 230662, VIT: 249880, SPD: 95, LUK: 1, Attack: 316475, Defense: 339658, Current HP: 65607, A Avg: 395593, D Avg: 339658, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 730, 730, 730], Black Box[323, 730, 730, 68]]
Rank 38741: 2558 - [10489, 7274, 536] - HP: 67790, STR: 229013, VIT: 250617, SPD: 95, LUK: 1, Attack: 316841, Defense: 338042, Current HP: 67790, A Avg: 396051, D Avg: 338042, [Stargazer[183, 530, 630, 630], Cloud Shield[241, 730, 730, 730], Black Box[323, 730, 730, 68]]
