Rank 38354: 5728 - [10794, 5972, 1533] - HP: 94598, STR: 110394, VIT: 26238, SPD: 16, LUK: 1, Attack: 200303, Defense: 113806, Current HP: 94598, A Avg: 252381, D Avg: 136567, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38406: 2089 - [10401, 7203, 695] - HP: 97665, STR: 51230, VIT: 102568, SPD: 16, LUK: 1, Attack: 143416, Defense: 189993, Current HP: 97665, A Avg: 154172, D Avg: 189993, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38408: 5752 - [10810, 5978, 1511] - HP: 94888, STR: 109002, VIT: 26174, SPD: 16, LUK: 1, Attack: 201188, Defense: 113742, Current HP: 94888, A Avg: 251485, D Avg: 136490, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 68, 806]]
Rank 38415: 3100 - [10182, 7869, 248] - HP: 1218, STR: 51230, VIT: 153926, SPD: 16, LUK: 1, Attack: 143416, Defense: 243704, Current HP: 1218, A Avg: 154172, D Avg: 243704, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38415: 5722 - [10811, 5982, 1506] - HP: 94888, STR: 109002, VIT: 26174, SPD: 16, LUK: 1, Attack: 201188, Defense: 113742, Current HP: 94888, A Avg: 253496, D Avg: 136490, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38424: 6990 - [10592, 6648, 1059] - HP: 47618, STR: 76830, VIT: 77126, SPD: 16, LUK: 1, Attack: 169016, Defense: 166904, Current HP: 47618, A Avg: 177466, D Avg: 233665, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38427: 285 - [10217, 7776, 306] - HP: 93728, STR: 180540, VIT: 390, SPD: 16, LUK: 1, Attack: 270449, Defense: 90168, Current HP: 93728, A Avg: 283971, D Avg: 90168, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 38432: 3095 - [10173, 7913, 213] - HP: 928, STR: 52540, VIT: 153990, SPD: 16, LUK: 1, Attack: 142449, Defense: 243768, Current HP: 928, A Avg: 178061, D Avg: 243768, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38433: 3085 - [10173, 7914, 212] - HP: 928, STR: 52540, VIT: 153990, SPD: 16, LUK: 1, Attack: 142449, Defense: 243768, Current HP: 928, A Avg: 179485, D Avg: 243768, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38440: 2531 - [10201, 7837, 261] - HP: 31217, STR: 60855, VIT: 128334, SPD: 16, LUK: 2, Attack: 153041, Defense: 218112, Current HP: 31217, A Avg: 160693, D Avg: 218112, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38440: 2581 - [10201, 7837, 261] - HP: 31217, STR: 60855, VIT: 128334, SPD: 16, LUK: 2, Attack: 153041, Defense: 218112, Current HP: 31217, A Avg: 160693, D Avg: 218112, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38441: 3071 - [10169, 7934, 196] - HP: 817, STR: 60855, VIT: 153934, SPD: 16, LUK: 2, Attack: 153041, Defense: 243712, Current HP: 817, A Avg: 160693, D Avg: 243712, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38441: 3121 - [10169, 7934, 196] - HP: 817, STR: 60855, VIT: 153934, SPD: 16, LUK: 2, Attack: 153041, Defense: 243712, Current HP: 817, A Avg: 160693, D Avg: 243712, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38445: 2014 - [10512, 6909, 878] - HP: 61427, STR: 78156, VIT: 77198, SPD: 16, LUK: 2, Attack: 168065, Defense: 166976, Current HP: 61427, A Avg: 210081, D Avg: 166976, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38445: 3101 - [10169, 7938, 192] - HP: 817, STR: 60855, VIT: 153934, SPD: 16, LUK: 2, Attack: 153041, Defense: 243712, Current HP: 817, A Avg: 164519, D Avg: 243712, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38447: 8017 - [10418, 7193, 688] - HP: 1943, STR: 102430, VIT: 82193, SPD: 16, LUK: 1, Attack: 194616, Defense: 168981, Current HP: 1943, A Avg: 282193, D Avg: 168981, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 68, 807]]
Rank 38449: 3111 - [10173, 7930, 196] - HP: 817, STR: 60855, VIT: 153934, SPD: 16, LUK: 2, Attack: 153041, Defense: 243712, Current HP: 817, A Avg: 160693, D Avg: 292454, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38450: 280 - [10226, 7772, 301] - HP: 94018, STR: 179230, VIT: 326, SPD: 16, LUK: 1, Attack: 271416, Defense: 90104, Current HP: 94018, A Avg: 284986, D Avg: 90104, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
Rank 38450: 2561 - [10205, 7835, 259] - HP: 31217, STR: 60855, VIT: 128334, SPD: 16, LUK: 2, Attack: 153041, Defense: 218112, Current HP: 31217, A Avg: 164519, D Avg: 218112, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38454: 7957 - [10418, 7200, 681] - HP: 1943, STR: 102430, VIT: 82193, SPD: 16, LUK: 1, Attack: 194616, Defense: 168981, Current HP: 1943, A Avg: 291924, D Avg: 168981, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 67, 68]]
Rank 38454: 7987 - [10418, 7200, 681] - HP: 1943, STR: 102430, VIT: 82193, SPD: 16, LUK: 1, Attack: 194616, Defense: 168981, Current HP: 1943, A Avg: 286085, D Avg: 168981, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 67, 807]]
Rank 38459: 182 - [10809, 6032, 1458] - HP: 187688, STR: 54602, VIT: 77374, SPD: 16, LUK: 1, Attack: 146788, Defense: 164942, Current HP: 187688, A Avg: 154127, D Avg: 164942, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38460: 2574 - [10258, 7686, 355] - HP: 31027, STR: 52556, VIT: 128398, SPD: 16, LUK: 2, Attack: 142465, Defense: 218176, Current HP: 31027, A Avg: 149588, D Avg: 261811, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38460: 6977 - [10572, 6744, 983] - HP: 48343, STR: 76830, VIT: 82193, SPD: 16, LUK: 1, Attack: 169016, Defense: 168981, Current HP: 48343, A Avg: 181692, D Avg: 202777, [Big Bang[171, 130, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 803, 806]]
Rank 38461: 2004 - [10519, 6904, 876] - HP: 61427, STR: 78156, VIT: 77198, SPD: 16, LUK: 2, Attack: 168065, Defense: 166976, Current HP: 61427, A Avg: 211761, D Avg: 166976, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38466: 2543 - [10185, 7911, 203] - HP: 31787, STR: 64258, VIT: 128582, SPD: 16, LUK: 2, Attack: 156444, Defense: 216150, Current HP: 31787, A Avg: 197119, D Avg: 216150, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38466: 2553 - [10185, 7911, 203] - HP: 31787, STR: 64258, VIT: 128582, SPD: 16, LUK: 2, Attack: 156444, Defense: 216150, Current HP: 31787, A Avg: 195555, D Avg: 216150, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38474: 4892 - [11650, 3524, 3125] - HP: 141288, STR: 109002, VIT: 574, SPD: 16, LUK: 1, Attack: 201188, Defense: 88142, Current HP: 141288, A Avg: 211247, D Avg: 123398, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Gold Ring[303, 230, 806, 807]]
Rank 38488: 3091 - [10174, 7966, 159] - HP: 817, STR: 60855, VIT: 153934, SPD: 16, LUK: 2, Attack: 153041, Defense: 243712, Current HP: 817, A Avg: 191301, D Avg: 243712, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38492: 2050 - [10423, 7223, 653] - HP: 94018, STR: 51230, VIT: 102726, SPD: 16, LUK: 1, Attack: 143416, Defense: 192504, Current HP: 94018, A Avg: 150586, D Avg: 192504, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38492: 2100 - [10423, 7223, 653] - HP: 94018, STR: 51230, VIT: 102726, SPD: 16, LUK: 1, Attack: 143416, Defense: 192504, Current HP: 94018, A Avg: 150586, D Avg: 192504, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38494: 3081 - [10174, 7972, 153] - HP: 817, STR: 60855, VIT: 153934, SPD: 16, LUK: 2, Attack: 153041, Defense: 243712, Current HP: 817, A Avg: 192831, D Avg: 243712, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38503: 1855 - [10485, 7048, 766] - HP: 93728, STR: 154940, VIT: 390, SPD: 16, LUK: 1, Attack: 244849, Defense: 90168, Current HP: 93728, A Avg: 257091, D Avg: 108201, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38507: 3090 - [10201, 7904, 194] - HP: 1218, STR: 51230, VIT: 153926, SPD: 16, LUK: 1, Attack: 143416, Defense: 243704, Current HP: 1218, A Avg: 179270, D Avg: 243704, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38508: 3080 - [10201, 7905, 193] - HP: 1218, STR: 51230, VIT: 153926, SPD: 16, LUK: 1, Attack: 143416, Defense: 243704, Current HP: 1218, A Avg: 180704, D Avg: 243704, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38510: 3110 - [10239, 7793, 267] - HP: 1218, STR: 51230, VIT: 153926, SPD: 16, LUK: 1, Attack: 143416, Defense: 243704, Current HP: 1218, A Avg: 150586, D Avg: 292444, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38541: 211 - [10253, 7782, 264] - HP: 92017, STR: 182455, VIT: 334, SPD: 16, LUK: 2, Attack: 274641, Defense: 90112, Current HP: 92017, A Avg: 288373, D Avg: 90112, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 230, 230]]
Rank 38543: 1513 - [10617, 6692, 990] - HP: 92587, STR: 128258, VIT: 26182, SPD: 16, LUK: 2, Attack: 220444, Defense: 113750, Current HP: 92587, A Avg: 231466, D Avg: 113750, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 66]]
Rank 38543: 1563 - [10617, 6692, 990] - HP: 92587, STR: 128258, VIT: 26182, SPD: 16, LUK: 2, Attack: 220444, Defense: 113750, Current HP: 92587, A Avg: 231466, D Avg: 113750, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 807]]
Rank 38549: 2551 - [10233, 7850, 216] - HP: 31217, STR: 60855, VIT: 128334, SPD: 16, LUK: 2, Attack: 153041, Defense: 218112, Current HP: 31217, A Avg: 191301, D Avg: 218112, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38560: 2541 - [10236, 7852, 211] - HP: 31217, STR: 60855, VIT: 128334, SPD: 16, LUK: 2, Attack: 153041, Defense: 218112, Current HP: 31217, A Avg: 192831, D Avg: 218112, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38612: 2080 - [10472, 7196, 631] - HP: 94018, STR: 51230, VIT: 102726, SPD: 16, LUK: 1, Attack: 143416, Defense: 192504, Current HP: 94018, A Avg: 154172, D Avg: 192504, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38623: 103 - [11046, 5485, 1768] - HP: 153387, STR: 128258, VIT: 582, SPD: 16, LUK: 2, Attack: 220444, Defense: 88150, Current HP: 153387, A Avg: 231466, D Avg: 88150, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 130, 230], Tears of the Dragon[307, 230, 230, 230]]
Rank 38624: 5947 - [11068, 5420, 1811] - HP: 94743, STR: 76830, VIT: 54993, SPD: 16, LUK: 1, Attack: 169016, Defense: 141781, Current HP: 94743, A Avg: 177466, D Avg: 198493, [Big Bang[171, 130, 130, 230], Golem Shield[245, 230, 230, 330], Gold Ring[303, 330, 806, 807]]
Rank 38632: 1850 - [10538, 7018, 743] - HP: 94018, STR: 153630, VIT: 326, SPD: 16, LUK: 1, Attack: 245816, Defense: 90104, Current HP: 94018, A Avg: 258106, D Avg: 108124, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38661: 110 - [11899, 2964, 3436] - HP: 233218, STR: 76830, VIT: 25926, SPD: 16, LUK: 1, Attack: 169016, Defense: 115704, Current HP: 233218, A Avg: 177466, D Avg: 115704, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 38663: 2076 - [10506, 7145, 648] - HP: 97860, STR: 51230, VIT: 102816, SPD: 16, LUK: 1, Attack: 143416, Defense: 189851, Current HP: 97860, A Avg: 179270, D Avg: 189851, [Big Bang[171, 130, 130, 230], Warrior's Shield[249, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38666: 2058 - [10483, 7217, 599] - HP: 94598, STR: 55994, VIT: 103038, SPD: 16, LUK: 1, Attack: 145903, Defense: 190606, Current HP: 94598, A Avg: 153198, D Avg: 190606, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38666: 2108 - [10483, 7217, 599] - HP: 94598, STR: 55994, VIT: 103038, SPD: 16, LUK: 1, Attack: 145903, Defense: 190606, Current HP: 94598, A Avg: 153198, D Avg: 190606, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38679: 2075 - [10508, 7155, 636] - HP: 93728, STR: 52540, VIT: 102790, SPD: 16, LUK: 1, Attack: 142449, Defense: 192568, Current HP: 93728, A Avg: 178061, D Avg: 192568, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38686: 2066 - [10516, 7138, 645] - HP: 97860, STR: 51230, VIT: 102816, SPD: 16, LUK: 1, Attack: 143416, Defense: 189851, Current HP: 97860, A Avg: 180704, D Avg: 189851, [Big Bang[171, 130, 130, 230], Warrior's Shield[249, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38689: 2065 - [10512, 7153, 634] - HP: 93728, STR: 52540, VIT: 102790, SPD: 16, LUK: 1, Attack: 142449, Defense: 192568, Current HP: 93728, A Avg: 179485, D Avg: 192568, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38694: 1575 - [11126, 5316, 1857] - HP: 140128, STR: 78140, VIT: 51590, SPD: 16, LUK: 1, Attack: 168049, Defense: 141368, Current HP: 140128, A Avg: 176451, D Avg: 141368, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 38694: 1625 - [11126, 5316, 1857] - HP: 140128, STR: 78140, VIT: 51590, SPD: 16, LUK: 1, Attack: 168049, Defense: 141368, Current HP: 140128, A Avg: 176451, D Avg: 141368, [Spectral Sword Shigure[172, 130, 130, 130], Blank Shield[244, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 38695: 2079 - [10519, 7138, 642] - HP: 97665, STR: 51230, VIT: 102568, SPD: 16, LUK: 1, Attack: 143416, Defense: 189993, Current HP: 97665, A Avg: 179270, D Avg: 189993, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 68]]
Rank 38701: 2088 - [10496, 7213, 590] - HP: 94598, STR: 55994, VIT: 103038, SPD: 16, LUK: 1, Attack: 145903, Defense: 190606, Current HP: 94598, A Avg: 156845, D Avg: 190606, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38705: 1197 - [12013, 2666, 3620] - HP: 187543, STR: 102430, VIT: 593, SPD: 16, LUK: 1, Attack: 194616, Defense: 87381, Current HP: 187543, A Avg: 204346, D Avg: 104857, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38711: 2069 - [10526, 7133, 640] - HP: 97665, STR: 51230, VIT: 102568, SPD: 16, LUK: 1, Attack: 143416, Defense: 189993, Current HP: 97665, A Avg: 180704, D Avg: 189993, [Big Bang[171, 130, 130, 230], Cloud Shield[241, 230, 330, 330], Gold Ring[303, 330, 330, 67]]
Rank 38725: 2052 - [10503, 7216, 580] - HP: 94888, STR: 54602, VIT: 102974, SPD: 16, LUK: 1, Attack: 146788, Defense: 190542, Current HP: 94888, A Avg: 154127, D Avg: 190542, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38725: 2102 - [10503, 7216, 580] - HP: 94888, STR: 54602, VIT: 102974, SPD: 16, LUK: 1, Attack: 146788, Defense: 190542, Current HP: 94888, A Avg: 154127, D Avg: 190542, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38751: 2573 - [10330, 7761, 208] - HP: 31787, STR: 64258, VIT: 128582, SPD: 16, LUK: 2, Attack: 156444, Defense: 216150, Current HP: 31787, A Avg: 164266, D Avg: 259380, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38754: 6998 - [10680, 6714, 905] - HP: 48198, STR: 83194, VIT: 77438, SPD: 16, LUK: 1, Attack: 173103, Defense: 165006, Current HP: 48198, A Avg: 181758, D Avg: 231008, [Spectral Sword Shigure[172, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38766: 2082 - [10519, 7209, 571] - HP: 94888, STR: 54602, VIT: 102974, SPD: 16, LUK: 1, Attack: 146788, Defense: 190542, Current HP: 94888, A Avg: 157797, D Avg: 190542, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38778: 1576 - [11188, 5214, 1897] - HP: 145860, STR: 76830, VIT: 51616, SPD: 16, LUK: 1, Attack: 169016, Defense: 138651, Current HP: 145860, A Avg: 177466, D Avg: 138651, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 38778: 1626 - [11188, 5214, 1897] - HP: 145860, STR: 76830, VIT: 51616, SPD: 16, LUK: 1, Attack: 169016, Defense: 138651, Current HP: 145860, A Avg: 177466, D Avg: 138651, [Big Bang[171, 130, 130, 130], Warrior's Shield[249, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 38791: 1477 - [11089, 5524, 1686] - HP: 141143, STR: 128030, VIT: 593, SPD: 16, LUK: 1, Attack: 220216, Defense: 87381, Current HP: 141143, A Avg: 275270, D Avg: 87381, [Big Bang[171, 130, 130, 130], Golem Shield[245, 230, 230, 230], Gold Ring[303, 230, 230, 68]]
Rank 38794: 6992 - [10696, 6706, 897] - HP: 48488, STR: 81802, VIT: 77374, SPD: 16, LUK: 1, Attack: 173988, Defense: 164942, Current HP: 48488, A Avg: 182687, D Avg: 230918, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 806, 807]]
Rank 38805: 1579 - [11196, 5217, 1886] - HP: 145665, STR: 76830, VIT: 51368, SPD: 16, LUK: 1, Attack: 169016, Defense: 138793, Current HP: 145665, A Avg: 177466, D Avg: 138793, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 66]]
Rank 38805: 1629 - [11196, 5217, 1886] - HP: 145665, STR: 76830, VIT: 51368, SPD: 16, LUK: 1, Attack: 169016, Defense: 138793, Current HP: 145665, A Avg: 177466, D Avg: 138793, [Big Bang[171, 130, 130, 130], Cloud Shield[241, 230, 230, 230], Gold Ring[303, 330, 330, 807]]
Rank 38814: 1893 - [10376, 7686, 237] - HP: 62187, STR: 160258, VIT: 26182, SPD: 16, LUK: 2, Attack: 252444, Defense: 113750, Current HP: 62187, A Avg: 315555, D Avg: 113750, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 330, 68]]
Rank 38817: 2571 - [10367, 7716, 216] - HP: 31217, STR: 60855, VIT: 128334, SPD: 16, LUK: 2, Attack: 153041, Defense: 218112, Current HP: 31217, A Avg: 160693, D Avg: 261734, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38829: 2034 - [10752, 6573, 974] - HP: 61427, STR: 78156, VIT: 77198, SPD: 16, LUK: 2, Attack: 168065, Defense: 166976, Current HP: 61427, A Avg: 176468, D Avg: 200371, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38835: 1611 - [10940, 6015, 1344] - HP: 92017, STR: 91255, VIT: 51534, SPD: 16, LUK: 2, Attack: 183441, Defense: 141312, Current HP: 92017, A Avg: 192613, D Avg: 169574, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 38851: 2536 - [10430, 7561, 308] - HP: 49860, STR: 51230, VIT: 128416, SPD: 16, LUK: 1, Attack: 143416, Defense: 215451, Current HP: 49860, A Avg: 150586, D Avg: 215451, [Big Bang[171, 130, 230, 230], Warrior's Shield[249, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
